ID;TypeOfMonument;Regions;Periods;ListedMonumentsAndHistoricBuildings_1
81;Listed monuments total;Noord-Nederland (LD);1990;5543
82;Listed monuments total;Noord-Nederland (LD);1991;5600
83;Listed monuments total;Noord-Nederland (LD);1992;5621
84;Listed monuments total;Noord-Nederland (LD);1993;5645
85;Listed monuments total;Noord-Nederland (LD);1994;5984
86;Listed monuments total;Noord-Nederland (LD);1995;6342
87;Listed monuments total;Noord-Nederland (LD);1996;6399
88;Listed monuments total;Noord-Nederland (LD);1997;6584
89;Listed monuments total;Noord-Nederland (LD);1998;6865
90;Listed monuments total;Noord-Nederland (LD);1999;7268
91;Listed monuments total;Noord-Nederland (LD);2000;7495
92;Listed monuments total;Noord-Nederland (LD);2001;8167
93;Listed monuments total;Noord-Nederland (LD);2002;8245
94;Listed monuments total;Noord-Nederland (LD);2003;8371
95;Listed monuments total;Noord-Nederland (LD);2004;8455
96;Listed monuments total;Noord-Nederland (LD);2005;8559
97;Listed monuments total;Noord-Nederland (LD);2006;8583
98;Listed monuments total;Noord-Nederland (LD);2007;8593
99;Listed monuments total;Noord-Nederland (LD);2008;8592
100;Listed monuments total;Noord-Nederland (LD);2009;8590
101;Listed monuments total;Noord-Nederland (LD);2010;8596
102;Listed monuments total;Noord-Nederland (LD);2011;8601
103;Listed monuments total;Noord-Nederland (LD);2012;8598
104;Listed monuments total;Noord-Nederland (LD);2013;8511
105;Listed monuments total;Noord-Nederland (LD);2014;8503
106;Listed monuments total;Noord-Nederland (LD);2015;8494
107;Listed monuments total;Noord-Nederland (LD);2016;8492
108;Listed monuments total;Noord-Nederland (LD);2017;8487
109;Listed monuments total;Noord-Nederland (LD);2018;8481
110;Listed monuments total;Noord-Nederland (LD);2019;8474
111;Listed monuments total;Noord-Nederland (LD);2020;8464
112;Listed monuments total;Oost-Nederland (LD);1965;448
113;Listed monuments total;Oost-Nederland (LD);1966;1354
114;Listed monuments total;Oost-Nederland (LD);1967;1920
115;Listed monuments total;Oost-Nederland (LD);1968;2487
116;Listed monuments total;Oost-Nederland (LD);1969;2538
117;Listed monuments total;Oost-Nederland (LD);1970;2881
118;Listed monuments total;Oost-Nederland (LD);1971;4166
119;Listed monuments total;Oost-Nederland (LD);1972;4769
120;Listed monuments total;Oost-Nederland (LD);1973;5379
121;Listed monuments total;Oost-Nederland (LD);1974;5478
122;Listed monuments total;Oost-Nederland (LD);1975;5614
123;Listed monuments total;Oost-Nederland (LD);1976;5761
124;Listed monuments total;Oost-Nederland (LD);1977;5871
125;Listed monuments total;Oost-Nederland (LD);1978;6018
126;Listed monuments total;Oost-Nederland (LD);1979;6055
127;Listed monuments total;Oost-Nederland (LD);1980;6147
128;Listed monuments total;Oost-Nederland (LD);1981;6196
129;Listed monuments total;Oost-Nederland (LD);1982;6234
130;Listed monuments total;Oost-Nederland (LD);1983;6257
131;Listed monuments total;Oost-Nederland (LD);1984;6276
132;Listed monuments total;Oost-Nederland (LD);1985;6308
133;Listed monuments total;Oost-Nederland (LD);1986;6347
134;Listed monuments total;Oost-Nederland (LD);1987;6374
135;Listed monuments total;Oost-Nederland (LD);1988;6395
136;Listed monuments total;Oost-Nederland (LD);1989;6392
137;Listed monuments total;Oost-Nederland (LD);1990;6394
138;Listed monuments total;Oost-Nederland (LD);1991;6434
139;Listed monuments total;Oost-Nederland (LD);1992;6476
140;Listed monuments total;Oost-Nederland (LD);1993;6524
141;Listed monuments total;Oost-Nederland (LD);1994;6611
142;Listed monuments total;Oost-Nederland (LD);1995;6628
143;Listed monuments total;Oost-Nederland (LD);1996;6631
144;Listed monuments total;Oost-Nederland (LD);1997;6819
145;Listed monuments total;Oost-Nederland (LD);1998;6955
146;Listed monuments total;Oost-Nederland (LD);1999;7443
147;Listed monuments total;Oost-Nederland (LD);2000;7936
148;Listed monuments total;Oost-Nederland (LD);2001;8343
149;Listed monuments total;Oost-Nederland (LD);2002;9122
150;Listed monuments total;Oost-Nederland (LD);2003;9206
151;Listed monuments total;Oost-Nederland (LD);2004;9476
152;Listed monuments total;Oost-Nederland (LD);2005;9937
153;Listed monuments total;Oost-Nederland (LD);2006;10288
154;Listed monuments total;Oost-Nederland (LD);2007;10420
155;Listed monuments total;Oost-Nederland (LD);2008;10472
156;Listed monuments total;Oost-Nederland (LD);2009;10481
157;Listed monuments total;Oost-Nederland (LD);2010;10625
158;Listed monuments total;Oost-Nederland (LD);2011;10664
159;Listed monuments total;Oost-Nederland (LD);2012;10793
160;Listed monuments total;Oost-Nederland (LD);2013;10521
161;Listed monuments total;Oost-Nederland (LD);2014;10574
162;Listed monuments total;Oost-Nederland (LD);2015;10619
163;Listed monuments total;Oost-Nederland (LD);2016;10622
164;Listed monuments total;Oost-Nederland (LD);2017;10627
165;Listed monuments total;Oost-Nederland (LD);2018;10618
166;Listed monuments total;Oost-Nederland (LD);2019;10607
167;Listed monuments total;Oost-Nederland (LD);2020;10602
168;Listed monuments total;West-Nederland (LD);1965;487
169;Listed monuments total;West-Nederland (LD);1966;3192
170;Listed monuments total;West-Nederland (LD);1967;6018
171;Listed monuments total;West-Nederland (LD);1968;7689
172;Listed monuments total;West-Nederland (LD);1969;9332
173;Listed monuments total;West-Nederland (LD);1970;16101
174;Listed monuments total;West-Nederland (LD);1971;16741
175;Listed monuments total;West-Nederland (LD);1972;17405
176;Listed monuments total;West-Nederland (LD);1973;18762
177;Listed monuments total;West-Nederland (LD);1974;19292
178;Listed monuments total;West-Nederland (LD);1975;19657
179;Listed monuments total;West-Nederland (LD);1976;20173
180;Listed monuments total;West-Nederland (LD);1977;20375
181;Listed monuments total;West-Nederland (LD);1978;20561
182;Listed monuments total;West-Nederland (LD);1979;20651
183;Listed monuments total;West-Nederland (LD);1980;20761
184;Listed monuments total;West-Nederland (LD);1981;20838
185;Listed monuments total;West-Nederland (LD);1982;20909
186;Listed monuments total;West-Nederland (LD);1983;20960
187;Listed monuments total;West-Nederland (LD);1984;21027
188;Listed monuments total;West-Nederland (LD);1985;21181
189;Listed monuments total;West-Nederland (LD);1986;21236
190;Listed monuments total;West-Nederland (LD);1987;21279
191;Listed monuments total;West-Nederland (LD);1988;21348
192;Listed monuments total;West-Nederland (LD);1989;21378
193;Listed monuments total;West-Nederland (LD);1990;21474
194;Listed monuments total;West-Nederland (LD);1991;21599
195;Listed monuments total;West-Nederland (LD);1992;21849
196;Listed monuments total;West-Nederland (LD);1993;22167
197;Listed monuments total;West-Nederland (LD);1994;22358
198;Listed monuments total;West-Nederland (LD);1995;22405
199;Listed monuments total;West-Nederland (LD);1996;22665
200;Listed monuments total;West-Nederland (LD);1997;22885
201;Listed monuments total;West-Nederland (LD);1998;23506
202;Listed monuments total;West-Nederland (LD);1999;24260
203;Listed monuments total;West-Nederland (LD);2000;24893
204;Listed monuments total;West-Nederland (LD);2001;26298
205;Listed monuments total;West-Nederland (LD);2002;27496
206;Listed monuments total;West-Nederland (LD);2003;27783
207;Listed monuments total;West-Nederland (LD);2004;28173
208;Listed monuments total;West-Nederland (LD);2005;28374
209;Listed monuments total;West-Nederland (LD);2006;28625
210;Listed monuments total;West-Nederland (LD);2007;28724
211;Listed monuments total;West-Nederland (LD);2008;28816
212;Listed monuments total;West-Nederland (LD);2009;28878
213;Listed monuments total;West-Nederland (LD);2010;29005
214;Listed monuments total;West-Nederland (LD);2011;29166
215;Listed monuments total;West-Nederland (LD);2012;29301
216;Listed monuments total;West-Nederland (LD);2013;29007
217;Listed monuments total;West-Nederland (LD);2014;29016
218;Listed monuments total;West-Nederland (LD);2015;29034
219;Listed monuments total;West-Nederland (LD);2016;29156
220;Listed monuments total;West-Nederland (LD);2017;29175
221;Listed monuments total;West-Nederland (LD);2018;29137
222;Listed monuments total;West-Nederland (LD);2019;29118
223;Listed monuments total;West-Nederland (LD);2020;29090
224;Listed monuments total;Zuid-Nederland (LD);1965;492
225;Listed monuments total;Zuid-Nederland (LD);1966;4193
226;Listed monuments total;Zuid-Nederland (LD);1967;6517
227;Listed monuments total;Zuid-Nederland (LD);1968;6909
228;Listed monuments total;Zuid-Nederland (LD);1969;7018
229;Listed monuments total;Zuid-Nederland (LD);1970;7320
230;Listed monuments total;Zuid-Nederland (LD);1971;7720
231;Listed monuments total;Zuid-Nederland (LD);1972;7934
232;Listed monuments total;Zuid-Nederland (LD);1973;8423
233;Listed monuments total;Zuid-Nederland (LD);1974;8754
234;Listed monuments total;Zuid-Nederland (LD);1975;8891
235;Listed monuments total;Zuid-Nederland (LD);1976;9103
236;Listed monuments total;Zuid-Nederland (LD);1977;9169
237;Listed monuments total;Zuid-Nederland (LD);1978;9247
238;Listed monuments total;Zuid-Nederland (LD);1979;9384
239;Listed monuments total;Zuid-Nederland (LD);1980;9527
240;Listed monuments total;Zuid-Nederland (LD);1981;9563
241;Listed monuments total;Zuid-Nederland (LD);1982;9605
242;Listed monuments total;Zuid-Nederland (LD);1983;9661
243;Listed monuments total;Zuid-Nederland (LD);1984;9937
244;Listed monuments total;Zuid-Nederland (LD);1985;9975
245;Listed monuments total;Zuid-Nederland (LD);1986;10029
246;Listed monuments total;Zuid-Nederland (LD);1987;10044
247;Listed monuments total;Zuid-Nederland (LD);1988;10075
248;Listed monuments total;Zuid-Nederland (LD);1989;10092
249;Listed monuments total;Zuid-Nederland (LD);1990;10095
250;Listed monuments total;Zuid-Nederland (LD);1991;10110
251;Listed monuments total;Zuid-Nederland (LD);1992;10152
252;Listed monuments total;Zuid-Nederland (LD);1993;10206
253;Listed monuments total;Zuid-Nederland (LD);1994;10233
254;Listed monuments total;Zuid-Nederland (LD);1995;10281
255;Listed monuments total;Zuid-Nederland (LD);1996;10381
256;Listed monuments total;Zuid-Nederland (LD);1997;10907
257;Listed monuments total;Zuid-Nederland (LD);1998;11102
258;Listed monuments total;Zuid-Nederland (LD);1999;11261
259;Listed monuments total;Zuid-Nederland (LD);2000;11711
260;Listed monuments total;Zuid-Nederland (LD);2001;12635
261;Listed monuments total;Zuid-Nederland (LD);2002;14487
262;Listed monuments total;Zuid-Nederland (LD);2003;14699
263;Listed monuments total;Zuid-Nederland (LD);2004;14983
264;Listed monuments total;Zuid-Nederland (LD);2005;15033
265;Listed monuments total;Zuid-Nederland (LD);2006;15186
266;Listed monuments total;Zuid-Nederland (LD);2007;15232
267;Listed monuments total;Zuid-Nederland (LD);2008;15229
268;Listed monuments total;Zuid-Nederland (LD);2009;15241
269;Listed monuments total;Zuid-Nederland (LD);2010;15260
270;Listed monuments total;Zuid-Nederland (LD);2011;15285
271;Listed monuments total;Zuid-Nederland (LD);2012;15283
272;Listed monuments total;Zuid-Nederland (LD);2013;15124
273;Listed monuments total;Zuid-Nederland (LD);2014;15108
274;Listed monuments total;Zuid-Nederland (LD);2015;15136
275;Listed monuments total;Zuid-Nederland (LD);2016;15136
276;Listed monuments total;Zuid-Nederland (LD);2017;15135
277;Listed monuments total;Zuid-Nederland (LD);2018;15130
278;Listed monuments total;Zuid-Nederland (LD);2019;15122
279;Listed monuments total;Zuid-Nederland (LD);2020;15116
280;Listed monuments total;Groningen (PV);1965;0
281;Listed monuments total;Groningen (PV);1966;0
282;Listed monuments total;Groningen (PV);1967;0
283;Listed monuments total;Groningen (PV);1968;84
284;Listed monuments total;Groningen (PV);1969;84
285;Listed monuments total;Groningen (PV);1970;106
286;Listed monuments total;Groningen (PV);1971;499
287;Listed monuments total;Groningen (PV);1972;642
288;Listed monuments total;Groningen (PV);1973;1051
289;Listed monuments total;Groningen (PV);1974;1059
290;Listed monuments total;Groningen (PV);1975;1151
291;Listed monuments total;Groningen (PV);1976;1266
292;Listed monuments total;Groningen (PV);1977;1299
293;Listed monuments total;Groningen (PV);1978;1349
294;Listed monuments total;Groningen (PV);1979;1360
295;Listed monuments total;Groningen (PV);1980;1384
296;Listed monuments total;Groningen (PV);1981;1411
297;Listed monuments total;Groningen (PV);1982;1430
298;Listed monuments total;Groningen (PV);1983;1441
299;Listed monuments total;Groningen (PV);1984;1454
300;Listed monuments total;Groningen (PV);1985;1462
301;Listed monuments total;Groningen (PV);1986;1471
302;Listed monuments total;Groningen (PV);1987;1476
303;Listed monuments total;Groningen (PV);1988;1480
304;Listed monuments total;Groningen (PV);1989;1501
305;Listed monuments total;Groningen (PV);1990;1501
306;Listed monuments total;Groningen (PV);1991;1505
307;Listed monuments total;Groningen (PV);1992;1507
308;Listed monuments total;Groningen (PV);1993;1511
309;Listed monuments total;Groningen (PV);1994;1512
310;Listed monuments total;Groningen (PV);1995;1799
311;Listed monuments total;Groningen (PV);1996;1800
312;Listed monuments total;Groningen (PV);1997;1808
313;Listed monuments total;Groningen (PV);1998;1912
314;Listed monuments total;Groningen (PV);1999;2097
315;Listed monuments total;Groningen (PV);2000;2194
316;Listed monuments total;Groningen (PV);2001;2617
317;Listed monuments total;Groningen (PV);2002;2646
318;Listed monuments total;Groningen (PV);2003;2688
319;Listed monuments total;Groningen (PV);2004;2719
320;Listed monuments total;Groningen (PV);2005;2774
321;Listed monuments total;Groningen (PV);2006;2782
322;Listed monuments total;Groningen (PV);2007;2783
323;Listed monuments total;Groningen (PV);2008;2783
324;Listed monuments total;Groningen (PV);2009;2783
325;Listed monuments total;Groningen (PV);2010;2790
326;Listed monuments total;Groningen (PV);2011;2797
327;Listed monuments total;Groningen (PV);2012;2797
328;Listed monuments total;Groningen (PV);2013;2768
329;Listed monuments total;Groningen (PV);2014;2769
330;Listed monuments total;Groningen (PV);2015;2770
331;Listed monuments total;Groningen (PV);2016;2771
332;Listed monuments total;Groningen (PV);2017;2770
333;Listed monuments total;Groningen (PV);2018;2770
334;Listed monuments total;Groningen (PV);2019;2767
335;Listed monuments total;Groningen (PV);2020;2764
336;Listed monuments total;Fryslân (PV);1965;85
337;Listed monuments total;Fryslân (PV);1966;594
338;Listed monuments total;Fryslân (PV);1967;1354
339;Listed monuments total;Fryslân (PV);1968;1976
340;Listed monuments total;Fryslân (PV);1969;1978
341;Listed monuments total;Fryslân (PV);1970;2259
342;Listed monuments total;Fryslân (PV);1971;2729
343;Listed monuments total;Fryslân (PV);1972;2807
344;Listed monuments total;Fryslân (PV);1973;2877
345;Listed monuments total;Fryslân (PV);1974;2929
346;Listed monuments total;Fryslân (PV);1975;3124
347;Listed monuments total;Fryslân (PV);1976;3181
348;Listed monuments total;Fryslân (PV);1977;3204
349;Listed monuments total;Fryslân (PV);1978;3224
350;Listed monuments total;Fryslân (PV);1979;3269
351;Listed monuments total;Fryslân (PV);1980;3280
352;Listed monuments total;Fryslân (PV);1981;3282
353;Listed monuments total;Fryslân (PV);1982;3291
354;Listed monuments total;Fryslân (PV);1983;3341
355;Listed monuments total;Fryslân (PV);1984;3351
356;Listed monuments total;Fryslân (PV);1985;3363
357;Listed monuments total;Fryslân (PV);1986;3372
358;Listed monuments total;Fryslân (PV);1987;3377
359;Listed monuments total;Fryslân (PV);1988;3392
360;Listed monuments total;Fryslân (PV);1989;3396
361;Listed monuments total;Fryslân (PV);1990;3403
362;Listed monuments total;Fryslân (PV);1991;3444
363;Listed monuments total;Fryslân (PV);1992;3452
364;Listed monuments total;Fryslân (PV);1993;3461
365;Listed monuments total;Fryslân (PV);1994;3496
366;Listed monuments total;Fryslân (PV);1995;3493
367;Listed monuments total;Fryslân (PV);1996;3546
368;Listed monuments total;Fryslân (PV);1997;3618
369;Listed monuments total;Fryslân (PV);1998;3676
370;Listed monuments total;Fryslân (PV);1999;3890
371;Listed monuments total;Fryslân (PV);2000;4016
372;Listed monuments total;Fryslân (PV);2001;4245
373;Listed monuments total;Fryslân (PV);2002;4291
374;Listed monuments total;Fryslân (PV);2003;4354
375;Listed monuments total;Fryslân (PV);2004;4371
376;Listed monuments total;Fryslân (PV);2005;4407
377;Listed monuments total;Fryslân (PV);2006;4423
378;Listed monuments total;Fryslân (PV);2007;4425
379;Listed monuments total;Fryslân (PV);2008;4424
380;Listed monuments total;Fryslân (PV);2009;4424
381;Listed monuments total;Fryslân (PV);2010;4423
382;Listed monuments total;Fryslân (PV);2011;4421
383;Listed monuments total;Fryslân (PV);2012;4420
384;Listed monuments total;Fryslân (PV);2013;4371
385;Listed monuments total;Fryslân (PV);2014;4353
386;Listed monuments total;Fryslân (PV);2015;4352
387;Listed monuments total;Fryslân (PV);2016;4349
388;Listed monuments total;Fryslân (PV);2017;4344
389;Listed monuments total;Fryslân (PV);2018;4339
390;Listed monuments total;Fryslân (PV);2019;4336
391;Listed monuments total;Fryslân (PV);2020;4332
392;Listed monuments total;Drenthe (PV);1965;324
393;Listed monuments total;Drenthe (PV);1966;330
394;Listed monuments total;Drenthe (PV);1967;332
395;Listed monuments total;Drenthe (PV);1968;346
396;Listed monuments total;Drenthe (PV);1969;352
397;Listed monuments total;Drenthe (PV);1970;357
398;Listed monuments total;Drenthe (PV);1971;371
399;Listed monuments total;Drenthe (PV);1972;374
400;Listed monuments total;Drenthe (PV);1973;387
401;Listed monuments total;Drenthe (PV);1974;388
402;Listed monuments total;Drenthe (PV);1975;407
403;Listed monuments total;Drenthe (PV);1976;408
404;Listed monuments total;Drenthe (PV);1977;414
405;Listed monuments total;Drenthe (PV);1978;441
406;Listed monuments total;Drenthe (PV);1979;461
407;Listed monuments total;Drenthe (PV);1980;470
408;Listed monuments total;Drenthe (PV);1981;477
409;Listed monuments total;Drenthe (PV);1982;509
410;Listed monuments total;Drenthe (PV);1983;534
411;Listed monuments total;Drenthe (PV);1984;545
412;Listed monuments total;Drenthe (PV);1985;604
413;Listed monuments total;Drenthe (PV);1986;614
414;Listed monuments total;Drenthe (PV);1987;617
415;Listed monuments total;Drenthe (PV);1988;621
416;Listed monuments total;Drenthe (PV);1989;623
417;Listed monuments total;Drenthe (PV);1990;639
418;Listed monuments total;Drenthe (PV);1991;651
419;Listed monuments total;Drenthe (PV);1992;662
420;Listed monuments total;Drenthe (PV);1993;673
421;Listed monuments total;Drenthe (PV);1994;976
422;Listed monuments total;Drenthe (PV);1995;1050
423;Listed monuments total;Drenthe (PV);1996;1053
424;Listed monuments total;Drenthe (PV);1997;1158
425;Listed monuments total;Drenthe (PV);1998;1277
426;Listed monuments total;Drenthe (PV);1999;1281
427;Listed monuments total;Drenthe (PV);2000;1285
428;Listed monuments total;Drenthe (PV);2001;1305
429;Listed monuments total;Drenthe (PV);2002;1308
430;Listed monuments total;Drenthe (PV);2003;1329
431;Listed monuments total;Drenthe (PV);2004;1365
432;Listed monuments total;Drenthe (PV);2005;1378
433;Listed monuments total;Drenthe (PV);2006;1378
434;Listed monuments total;Drenthe (PV);2007;1385
435;Listed monuments total;Drenthe (PV);2008;1385
436;Listed monuments total;Drenthe (PV);2009;1383
437;Listed monuments total;Drenthe (PV);2010;1383
438;Listed monuments total;Drenthe (PV);2011;1383
439;Listed monuments total;Drenthe (PV);2012;1381
440;Listed monuments total;Drenthe (PV);2013;1372
441;Listed monuments total;Drenthe (PV);2014;1381
442;Listed monuments total;Drenthe (PV);2015;1372
443;Listed monuments total;Drenthe (PV);2016;1372
444;Listed monuments total;Drenthe (PV);2017;1373
445;Listed monuments total;Drenthe (PV);2018;1372
446;Listed monuments total;Drenthe (PV);2019;1371
447;Listed monuments total;Drenthe (PV);2020;1368
448;Listed monuments total;Overijssel (PV);1965;117
449;Listed monuments total;Overijssel (PV);1966;275
450;Listed monuments total;Overijssel (PV);1967;599
451;Listed monuments total;Overijssel (PV);1968;1049
452;Listed monuments total;Overijssel (PV);1969;1059
453;Listed monuments total;Overijssel (PV);1970;1065
454;Listed monuments total;Overijssel (PV);1971;1357
455;Listed monuments total;Overijssel (PV);1972;1931
456;Listed monuments total;Overijssel (PV);1973;2360
457;Listed monuments total;Overijssel (PV);1974;2365
458;Listed monuments total;Overijssel (PV);1975;2438
459;Listed monuments total;Overijssel (PV);1976;2474
460;Listed monuments total;Overijssel (PV);1977;2522
461;Listed monuments total;Overijssel (PV);1978;2605
462;Listed monuments total;Overijssel (PV);1979;2623
463;Listed monuments total;Overijssel (PV);1980;2666
464;Listed monuments total;Overijssel (PV);1981;2681
465;Listed monuments total;Overijssel (PV);1982;2701
466;Listed monuments total;Overijssel (PV);1983;2707
467;Listed monuments total;Overijssel (PV);1984;2710
468;Listed monuments total;Overijssel (PV);1985;2731
469;Listed monuments total;Overijssel (PV);1986;2754
470;Listed monuments total;Overijssel (PV);1987;2762
471;Listed monuments total;Overijssel (PV);1988;2769
472;Listed monuments total;Overijssel (PV);1989;2768
473;Listed monuments total;Overijssel (PV);1990;2765
474;Listed monuments total;Overijssel (PV);1991;2799
475;Listed monuments total;Overijssel (PV);1992;2822
476;Listed monuments total;Overijssel (PV);1993;2824
477;Listed monuments total;Overijssel (PV);1994;2883
478;Listed monuments total;Overijssel (PV);1995;2900
479;Listed monuments total;Overijssel (PV);1996;2902
480;Listed monuments total;Overijssel (PV);1997;3083
481;Listed monuments total;Overijssel (PV);1998;3203
482;Listed monuments total;Overijssel (PV);1999;3580
483;Listed monuments total;Overijssel (PV);2000;3626
484;Listed monuments total;Overijssel (PV);2001;3653
485;Listed monuments total;Overijssel (PV);2002;3773
486;Listed monuments total;Overijssel (PV);2003;3781
487;Listed monuments total;Overijssel (PV);2004;3834
488;Listed monuments total;Overijssel (PV);2005;3981
489;Listed monuments total;Overijssel (PV);2006;4080
490;Listed monuments total;Overijssel (PV);2007;4121
491;Listed monuments total;Overijssel (PV);2008;4146
492;Listed monuments total;Overijssel (PV);2009;4153
493;Listed monuments total;Overijssel (PV);2010;4161
494;Listed monuments total;Overijssel (PV);2011;4161
495;Listed monuments total;Overijssel (PV);2012;4162
496;Listed monuments total;Overijssel (PV);2013;4061
497;Listed monuments total;Overijssel (PV);2014;4059
498;Listed monuments total;Overijssel (PV);2015;4060
499;Listed monuments total;Overijssel (PV);2016;4059
500;Listed monuments total;Overijssel (PV);2017;4055
501;Listed monuments total;Overijssel (PV);2018;4048
502;Listed monuments total;Overijssel (PV);2019;4045
503;Listed monuments total;Overijssel (PV);2020;4044
504;Listed monuments total;Flevoland (PV);1965;2
505;Listed monuments total;Flevoland (PV);1966;2
506;Listed monuments total;Flevoland (PV);1967;2
507;Listed monuments total;Flevoland (PV);1968;2
508;Listed monuments total;Flevoland (PV);1969;3
509;Listed monuments total;Flevoland (PV);1970;3
510;Listed monuments total;Flevoland (PV);1971;3
511;Listed monuments total;Flevoland (PV);1972;3
512;Listed monuments total;Flevoland (PV);1973;27
513;Listed monuments total;Flevoland (PV);1974;27
514;Listed monuments total;Flevoland (PV);1975;27
515;Listed monuments total;Flevoland (PV);1976;27
516;Listed monuments total;Flevoland (PV);1977;27
517;Listed monuments total;Flevoland (PV);1978;27
518;Listed monuments total;Flevoland (PV);1979;27
519;Listed monuments total;Flevoland (PV);1980;32
520;Listed monuments total;Flevoland (PV);1981;33
521;Listed monuments total;Flevoland (PV);1982;33
522;Listed monuments total;Flevoland (PV);1983;34
523;Listed monuments total;Flevoland (PV);1984;34
524;Listed monuments total;Flevoland (PV);1985;34
525;Listed monuments total;Flevoland (PV);1986;36
526;Listed monuments total;Flevoland (PV);1987;38
527;Listed monuments total;Flevoland (PV);1988;40
528;Listed monuments total;Flevoland (PV);1989;40
529;Listed monuments total;Flevoland (PV);1990;40
530;Listed monuments total;Flevoland (PV);1991;40
531;Listed monuments total;Flevoland (PV);1992;40
532;Listed monuments total;Flevoland (PV);1993;40
533;Listed monuments total;Flevoland (PV);1994;40
534;Listed monuments total;Flevoland (PV);1995;40
535;Listed monuments total;Flevoland (PV);1996;40
536;Listed monuments total;Flevoland (PV);1997;40
537;Listed monuments total;Flevoland (PV);1998;40
538;Listed monuments total;Flevoland (PV);1999;40
539;Listed monuments total;Flevoland (PV);2000;45
540;Listed monuments total;Flevoland (PV);2001;45
541;Listed monuments total;Flevoland (PV);2002;93
