ID;SectorBranchesSIC2008;Periods;LabourPriceIndex_1;YearOnYearChangePriceOfLabour_2;WageCostsPerHourWorked_3;YearOnYearChangeWageCostsPerHour_4;StructuralEffect_5
65;A-U All economic activities;2016 April - 2017 March;89.5;0.2;88.9;-0.1;-0.3
66;A-U All economic activities;2016 July - 2017 June;90.1;1.5;89.4;1.1;-0.3
67;A-U All economic activities;2016 October - 2017 September;90.4;1.3;89.6;0.8;-0.5
68;A-U All economic activities;2017 January - 2017 December;91.3;1.5;90.3;0.9;-0.5
69;A-U All economic activities;2017 April - 2018 March;92.2;3.0;91.1;2.4;-0.6
70;A-U All economic activities;2017 July - 2018 June;92.8;3.1;91.7;2.5;-0.6
71;A-U All economic activities;2017 October - 2018 September;93.5;3.4;92.2;2.9;-0.5
72;A-U All economic activities;2018 January - 2018 December;93.7;2.6;92.4;2.3;-0.3
73;A-U All economic activities;2018 April - 2019 March;94.5;2.5;93.1;2.3;-0.2
74;A-U All economic activities;2018 July - 2019 June;95.1;2.4;93.8;2.3;-0.1
75;A-U All economic activities;2018 October - 2019 September;95.2;1.8;94.0;1.9;0.0
76;A-U All economic activities;2019 January - 2019 December;96.1;2.7;94.9;2.8;0.1
77;A-U All economic activities;2019 April - 2020 March;97.7;3.5;96.7;3.8;0.3
78;A-U All economic activities;2019 July - 2020 June;97.2;2.3;96.7;3.1;0.8
79;A-U All economic activities;2019 October - 2020 September;98.9;3.8;98.6;4.9;1.0
80;A-U All economic activities;2020 January - 2020 December;98.8;2.7;98.9;4.2;1.4
81;A-U All economic activities;2020 April - 2021 March;97.5;-0.3;98.0;1.4;1.7
82;A-U All economic activities;2020 July - 2021 June;98.7;1.5;99.0;2.5;1.0
83;A-U All economic activities;2020 October - 2021 September;99.5;0.6;99.7;1.2;0.5
84;A-U All economic activities;2021 January - 2021 December;100.0;1.2;100.0;1.1;-0.2
85;A-U All economic activities;2021 April - 2022 March;101.4;4.1;101.1;3.1;-0.9
86;A-U All economic activities;2021 July - 2022 June;103.5;4.9;103.0;3.9;-0.9
87;A-U All economic activities;2021 October - 2022 September;103.8;4.3;103.3;3.6;-0.7
88;A-U All economic activities;2022 January - 2022 December;106.0;6.0;105.5;5.5;-0.5
89;A-U All economic activities;2022 April - 2023 March;107.1;5.6;106.7;5.5;-0.1
90;A-U All economic activities;2022 July - 2023 June;109.0;5.3;108.7;5.6;0.2
91;A-U All economic activities;2022 October - 2023 September;110.7;6.7;110.5;6.9;0.3
92;A-U All economic activities;2023 January - 2023 December;112.9;6.5;112.7;6.9;0.4
93;A-U All economic activities;2023 April - 2024 March;114.8;7.2;114.8;7.6;0.4
94;A-U All economic activities;2023 July - 2024 June;116.2;6.6;116.3;7.0;0.3
95;A-U All economic activities;2023 October - 2024 September;117.4;6.1;117.6;6.5;0.4
96;A-U All economic activities;2024 January - 2024 December;118.9;5.4;119.2;5.8;0.4
97;A Agriculture, forestry and fishing;2001;73.8;;66.5;;
98;A Agriculture, forestry and fishing;2002;77.8;5.5;70.5;6.1;0.6
99;A Agriculture, forestry and fishing;2003;80.3;3.2;73.2;3.8;0.5
100;A Agriculture, forestry and fishing;2004;79.3;-1.3;72.9;-0.3;1.0
101;A Agriculture, forestry and fishing;2005;80.8;1.9;73.1;0.2;-1.7
102;A Agriculture, forestry and fishing;2006;81.3;0.6;74.2;1.6;0.9
103;A Agriculture, forestry and fishing;2007;83.8;3.0;76.9;3.6;0.6
104;A Agriculture, forestry and fishing;2008;86.8;3.6;80.3;4.4;0.7
105;A Agriculture, forestry and fishing;2009;86.7;-0.2;80.2;-0.1;0.1
106;A Agriculture, forestry and fishing;2010;88.8;2.4;83.7;4.4;2.0
107;A Agriculture, forestry and fishing;2011;91.0;2.4;86.3;3.0;0.6
108;A Agriculture, forestry and fishing;2012;93.8;3.1;89.4;3.7;0.5
109;A Agriculture, forestry and fishing;2013;93.4;-0.4;89.9;0.5;0.9
110;A Agriculture, forestry and fishing;2014;93.7;0.3;91.0;1.3;1.0
111;A Agriculture, forestry and fishing;2015;94.6;1.0;92.2;1.4;0.4
112;A Agriculture, forestry and fishing;2016;93.5;-1.2;91.7;-0.6;0.6
113;A Agriculture, forestry and fishing;2017;94.1;0.6;92.2;0.5;-0.2
114;A Agriculture, forestry and fishing;2018;96.6;2.6;94.9;3.0;0.4
115;A Agriculture, forestry and fishing;2019;98.1;1.6;97.1;2.3;0.6
116;A Agriculture, forestry and fishing;2020;98.6;0.5;97.6;0.5;0.0
117;A Agriculture, forestry and fishing;2021;100.0;1.4;100.0;2.5;1.0
118;A Agriculture, forestry and fishing;2022;104.9;4.9;106.4;6.4;1.5
119;A Agriculture, forestry and fishing;2023;113.5;8.2;115.8;8.8;0.6
120;A Agriculture, forestry and fishing;2024;121.5;7.1;124.1;7.1;0.1
121;A Agriculture, forestry and fishing;2006 January - 2006 December;81.3;0.6;74.2;1.6;0.9
122;A Agriculture, forestry and fishing;2006 April - 2007 March;81.7;;74.6;;
123;A Agriculture, forestry and fishing;2006 July - 2007 June;81.9;;74.9;;
124;A Agriculture, forestry and fishing;2006 October - 2007 September;83.0;;76.0;;
125;A Agriculture, forestry and fishing;2007 January - 2007 December;83.8;3.0;76.9;3.6;0.6
126;A Agriculture, forestry and fishing;2007 April - 2008 March;84.2;3.0;77.3;3.6;0.6
127;A Agriculture, forestry and fishing;2007 July - 2008 June;85.0;3.8;78.2;4.4;0.6
128;A Agriculture, forestry and fishing;2007 October - 2008 September;86.7;4.5;80.0;5.3;0.8
129;A Agriculture, forestry and fishing;2008 January - 2008 December;86.8;3.6;80.3;4.4;0.7
130;A Agriculture, forestry and fishing;2008 April - 2009 March;87.4;3.9;80.9;4.6;0.7
131;A Agriculture, forestry and fishing;2008 July - 2009 June;87.6;3.1;81.1;3.7;0.6
132;A Agriculture, forestry and fishing;2008 October - 2009 September;87.7;1.1;81.2;1.4;0.3
133;A Agriculture, forestry and fishing;2009 January - 2009 December;86.7;-0.2;80.2;-0.1;0.1
134;A Agriculture, forestry and fishing;2009 April - 2010 March;88.9;1.7;82.6;2.2;0.5
135;A Agriculture, forestry and fishing;2009 July - 2010 June;89.3;1.9;83.5;3.0;1.1
136;A Agriculture, forestry and fishing;2009 October - 2010 September;87.8;0.1;82.4;1.6;1.5
137;A Agriculture, forestry and fishing;2010 January - 2010 December;88.8;2.4;83.7;4.4;2.0
138;A Agriculture, forestry and fishing;2010 April - 2011 March;89.0;0.1;84.0;1.6;1.5
139;A Agriculture, forestry and fishing;2010 July - 2011 June;89.1;-0.2;84.2;0.9;1.1
140;A Agriculture, forestry and fishing;2010 October - 2011 September;89.7;2.2;84.9;3.0;0.8
141;A Agriculture, forestry and fishing;2011 January - 2011 December;91.0;2.4;86.3;3.0;0.6
142;A Agriculture, forestry and fishing;2011 April - 2012 March;91.3;2.6;86.6;3.1;0.5
143;A Agriculture, forestry and fishing;2011 July - 2012 June;92.0;3.2;87.4;3.8;0.6
144;A Agriculture, forestry and fishing;2011 October - 2012 September;92.9;3.6;88.4;4.1;0.5
145;A Agriculture, forestry and fishing;2012 January - 2012 December;93.8;3.1;89.4;3.7;0.5
146;A Agriculture, forestry and fishing;2012 April - 2013 March;94.5;3.5;90.2;4.2;0.7
147;A Agriculture, forestry and fishing;2012 July - 2013 June;94.2;2.5;90.2;3.2;0.7
148;A Agriculture, forestry and fishing;2012 October - 2013 September;94.2;1.4;90.4;2.3;0.8
149;A Agriculture, forestry and fishing;2013 January - 2013 December;93.4;-0.4;89.9;0.5;0.9
150;A Agriculture, forestry and fishing;2013 April - 2014 March;93.2;-1.4;89.9;-0.4;1.0
151;A Agriculture, forestry and fishing;2013 July - 2014 June;93.2;-1.2;89.9;-0.3;0.8
152;A Agriculture, forestry and fishing;2013 October - 2014 September;92.8;-1.5;90.0;-0.5;1.0
153;A Agriculture, forestry and fishing;2014 January - 2014 December;93.7;0.3;91.0;1.3;1.0
154;A Agriculture, forestry and fishing;2014 April - 2015 March ;94.0;0.8;91.4;1.7;0.8
155;A Agriculture, forestry and fishing;2014 July - 2015 June;94.7;1.7;92.3;2.7;1.0
156;A Agriculture, forestry and fishing;2014 October - 2015 September;95.3;2.7;93.0;3.3;0.6
157;A Agriculture, forestry and fishing;2015 January - 2015 December;94.6;1.0;92.2;1.4;0.4
158;A Agriculture, forestry and fishing;2015 April - 2016 March;94.6;0.7;92.4;1.1;0.3
159;A Agriculture, forestry and fishing;2015 July - 2016 June;93.1;-1.7;91.0;-1.4;0.3
160;A Agriculture, forestry and fishing;2015 October - 2016 September;93.1;-2.3;91.2;-1.9;0.4
161;A Agriculture, forestry and fishing;2016 January - 2016 December;93.5;-1.2;91.7;-0.6;0.6
162;A Agriculture, forestry and fishing;2016 April - 2017 March;92.8;-1.9;91.1;-1.4;0.5
163;A Agriculture, forestry and fishing;2016 July - 2017 June;93.4;0.2;91.6;0.6;0.4
164;A Agriculture, forestry and fishing;2016 October - 2017 September;93.3;0.2;91.4;0.3;0.1
165;A Agriculture, forestry and fishing;2017 January - 2017 December;94.1;0.6;92.2;0.5;-0.2
166;A Agriculture, forestry and fishing;2017 April - 2018 March;94.9;2.3;93.0;2.1;-0.1
167;A Agriculture, forestry and fishing;2017 July - 2018 June;96.0;2.8;94.2;2.8;0.0
168;A Agriculture, forestry and fishing;2017 October - 2018 September;96.7;3.6;95.0;3.9;0.2
169;A Agriculture, forestry and fishing;2018 January - 2018 December;96.6;2.6;94.9;3.0;0.4
170;A Agriculture, forestry and fishing;2018 April - 2019 March;97.1;2.3;95.5;2.7;0.4
171;A Agriculture, forestry and fishing;2018 July - 2019 June;97.4;1.5;96.0;1.9;0.4
172;A Agriculture, forestry and fishing;2018 October - 2019 September;97.5;0.8;96.2;1.3;0.5
173;A Agriculture, forestry and fishing;2019 January - 2019 December;98.1;1.6;97.1;2.3;0.6
174;A Agriculture, forestry and fishing;2019 April - 2020 March;99.3;2.2;98.5;3.1;0.8
175;A Agriculture, forestry and fishing;2019 July - 2020 June;98.4;1.0;97.3;1.4;0.4
176;A Agriculture, forestry and fishing;2019 October - 2020 September;99.5;2.0;98.4;2.3;0.3
177;A Agriculture, forestry and fishing;2020 January - 2020 December;98.6;0.5;97.6;0.5;0.0
178;A Agriculture, forestry and fishing;2020 April - 2021 March;97.3;-2.0;96.4;-2.1;-0.2
179;A Agriculture, forestry and fishing;2020 July - 2021 June;98.6;0.2;98.1;0.8;0.6
180;A Agriculture, forestry and fishing;2020 October - 2021 September;99.4;-0.1;99.2;0.7;0.8
181;A Agriculture, forestry and fishing;2021 January - 2021 December;100.0;1.4;100.0;2.5;1.0
182;A Agriculture, forestry and fishing;2021 April - 2022 March;101.2;4.0;101.6;5.5;1.4
183;A Agriculture, forestry and fishing;2021 July - 2022 June;103.4;4.8;104.2;6.2;1.3
184;A Agriculture, forestry and fishing;2021 October - 2022 September;103.2;3.8;104.4;5.3;1.4
185;A Agriculture, forestry and fishing;2022 January - 2022 December;104.9;4.9;106.4;6.4;1.5
186;A Agriculture, forestry and fishing;2022 April - 2023 March;106.4;5.1;108.2;6.5;1.3
187;A Agriculture, forestry and fishing;2022 July - 2023 June;108.5;4.9;110.5;6.0;1.0
188;A Agriculture, forestry and fishing;2022 October - 2023 September;111.2;7.8;113.5;8.6;0.8
189;A Agriculture, forestry and fishing;2023 January - 2023 December;113.5;8.2;115.8;8.8;0.6
190;A Agriculture, forestry and fishing;2023 April - 2024 March;115.7;8.7;118.1;9.1;0.4
191;A Agriculture, forestry and fishing;2023 July - 2024 June;117.4;8.3;119.9;8.5;0.2
192;A Agriculture, forestry and fishing;2023 October - 2024 September;119.7;7.6;122.3;7.8;0.2
193;A Agriculture, forestry and fishing;2024 January - 2024 December;121.5;7.1;124.1;7.1;0.1
194;B-F Manufacturing and energy;2001;68.8;;60.7;;
195;B-F Manufacturing and energy;2002;71.7;4.3;64.1;5.5;1.1
196;B-F Manufacturing and energy;2003;73.7;2.7;66.5;3.8;1.1
197;B-F Manufacturing and energy;2004;75.0;1.8;68.4;2.9;1.1
198;B-F Manufacturing and energy;2005;75.8;1.0;69.9;2.1;1.0
199;B-F Manufacturing and energy;2006;77.3;2.0;71.7;2.7;0.7
200;B-F Manufacturing and energy;2007;79.1;2.3;73.7;2.8;0.5
201;B-F Manufacturing and energy;2008;82.9;4.9;77.5;5.1;0.2
202;B-F Manufacturing and energy;2009;85.6;3.3;80.9;4.4;1.0
203;B-F Manufacturing and energy;2010;83.2;-2.9;79.8;-1.3;1.6
204;B-F Manufacturing and energy;2011;84.6;1.7;81.5;2.1;0.4
205;B-F Manufacturing and energy;2012;87.0;2.9;84.6;3.7;0.8
206;B-F Manufacturing and energy;2013;86.8;-0.2;85.4;1.0;1.2
207;B-F Manufacturing and energy;2014;88.4;1.9;87.7;2.8;0.8
208;B-F Manufacturing and energy;2015;88.2;-0.3;87.8;0.2;0.4
209;B-F Manufacturing and energy;2016;89.8;1.8;89.7;2.1;0.3
210;B-F Manufacturing and energy;2017;90.8;1.2;90.7;1.1;-0.1
211;B-F Manufacturing and energy;2018;93.2;2.6;93.0;2.5;-0.1
212;B-F Manufacturing and energy;2019;95.3;2.2;95.1;2.2;0.0
213;B-F Manufacturing and energy;2020;99.9;4.9;99.8;5.0;0.1
214;B-F Manufacturing and energy;2021;100.0;0.1;100.0;0.2;0.1
215;B-F Manufacturing and energy;2022;104.8;4.8;104.9;4.9;0.1
216;B-F Manufacturing and energy;2023;111.0;5.9;111.4;6.2;0.3
217;B-F Manufacturing and energy;2024;116.5;5.0;117.2;5.2;0.2
218;B-F Manufacturing and energy;2006 January - 2006 December;77.3;2.0;71.7;2.7;0.7
219;B-F Manufacturing and energy;2006 April - 2007 March;78.0;;72.4;;
220;B-F Manufacturing and energy;2006 July - 2007 June;78.4;;73.0;;
221;B-F Manufacturing and energy;2006 October - 2007 September;78.7;;73.3;;
222;B-F Manufacturing and energy;2007 January - 2007 December;79.1;2.3;73.7;2.8;0.5
223;B-F Manufacturing and energy;2007 April - 2008 March;80.5;3.2;75.1;3.7;0.4
224;B-F Manufacturing and energy;2007 July - 2008 June;81.7;4.2;76.3;4.5;0.3
225;B-F Manufacturing and energy;2007 October - 2008 September;82.3;4.6;76.8;4.8;0.3
226;B-F Manufacturing and energy;2008 January - 2008 December;82.9;4.9;77.5;5.1;0.2
227;B-F Manufacturing and energy;2008 April - 2009 March;83.7;4.0;78.3;4.3;0.4
228;B-F Manufacturing and energy;2008 July - 2009 June;84.7;3.7;79.5;4.3;0.6
229;B-F Manufacturing and energy;2008 October - 2009 September;85.3;3.7;80.3;4.5;0.8
230;B-F Manufacturing and energy;2009 January - 2009 December;85.6;3.3;80.9;4.4;1.0
231;B-F Manufacturing and energy;2009 April - 2010 March;85.6;2.3;81.2;3.6;1.3
232;B-F Manufacturing and energy;2009 July - 2010 June;85.1;0.5;81.1;2.0;1.5
233;B-F Manufacturing and energy;2009 October - 2010 September;83.8;-1.8;80.1;-0.2;1.6
234;B-F Manufacturing and energy;2010 January - 2010 December;83.2;-2.9;79.8;-1.3;1.6
235;B-F Manufacturing and energy;2010 April - 2011 March;83.2;-2.7;80.0;-1.5;1.3
236;B-F Manufacturing and energy;2010 July - 2011 June;83.2;-2.3;80.0;-1.3;1.0
237;B-F Manufacturing and energy;2010 October - 2011 September;83.5;-0.4;80.4;0.3;0.7
238;B-F Manufacturing and energy;2011 January - 2011 December;84.6;1.7;81.5;2.1;0.4
239;B-F Manufacturing and energy;2011 April - 2012 March;84.7;1.8;81.8;2.3;0.5
240;B-F Manufacturing and energy;2011 July - 2012 June;85.2;2.4;82.4;2.9;0.5
241;B-F Manufacturing and energy;2011 October - 2012 September;86.1;3.1;83.4;3.8;0.7
242;B-F Manufacturing and energy;2012 January - 2012 December;87.0;2.9;84.6;3.7;0.8
243;B-F Manufacturing and energy;2012 April - 2013 March;87.9;3.8;85.7;4.8;1.0
244;B-F Manufacturing and energy;2012 July - 2013 June;87.7;2.9;85.7;4.1;1.1
245;B-F Manufacturing and energy;2012 October - 2013 September;87.3;1.4;85.6;2.6;1.2
246;B-F Manufacturing and energy;2013 January - 2013 December;86.8;-0.2;85.4;1.0;1.2
247;B-F Manufacturing and energy;2013 April - 2014 March;86.7;-1.4;85.5;-0.3;1.1
248;B-F Manufacturing and energy;2013 July - 2014 June;87.2;-0.6;86.1;0.5;1.0
249;B-F Manufacturing and energy;2013 October - 2014 September;87.4;0.1;86.5;1.1;1.0
250;B-F Manufacturing and energy;2014 January - 2014 December;88.4;1.9;87.7;2.8;0.8
251;B-F Manufacturing and energy;2014 April - 2015 March ;88.6;2.1;88.0;2.9;0.7
252;B-F Manufacturing and energy;2014 July - 2015 June;88.8;1.8;88.3;2.5;0.6
253;B-F Manufacturing and energy;2014 October - 2015 September;88.9;1.8;88.5;2.3;0.5
254;B-F Manufacturing and energy;2015 January - 2015 December;88.2;-0.3;87.8;0.2;0.4
255;B-F Manufacturing and energy;2015 April - 2016 March;88.8;0.3;88.6;0.7;0.4
256;B-F Manufacturing and energy;2015 July - 2016 June;88.6;-0.2;88.4;0.2;0.3
257;B-F Manufacturing and energy;2015 October - 2016 September;89.1;0.2;89.0;0.5;0.3
258;B-F Manufacturing and energy;2016 January - 2016 December;89.8;1.8;89.7;2.1;0.3
259;B-F Manufacturing and energy;2016 April - 2017 March;89.2;0.4;89.2;0.7;0.3
260;B-F Manufacturing and energy;2016 July - 2017 June;89.7;1.2;89.7;1.4;0.2
261;B-F Manufacturing and energy;2016 October - 2017 September;90.0;1.0;89.9;1.0;0.1
262;B-F Manufacturing and energy;2017 January - 2017 December;90.8;1.2;90.7;1.1;-0.1
263;B-F Manufacturing and energy;2017 April - 2018 March;91.8;2.9;91.7;2.8;-0.1
264;B-F Manufacturing and energy;2017 July - 2018 June;92.6;3.3;92.5;3.2;-0.2
265;B-F Manufacturing and energy;2017 October - 2018 September;93.3;3.7;93.1;3.6;-0.1
266;B-F Manufacturing and energy;2018 January - 2018 December;93.2;2.6;93.0;2.5;-0.1
267;B-F Manufacturing and energy;2018 April - 2019 March;93.7;2.0;93.5;1.9;-0.1
268;B-F Manufacturing and energy;2018 July - 2019 June;94.3;1.7;94.0;1.6;-0.1
269;B-F Manufacturing and energy;2018 October - 2019 September;94.4;1.2;94.1;1.1;-0.1
270;B-F Manufacturing and energy;2019 January - 2019 December;95.3;2.2;95.1;2.2;0.0
271;B-F Manufacturing and energy;2019 April - 2020 March;96.8;3.3;96.6;3.4;0.1
272;B-F Manufacturing and energy;2019 July - 2020 June;96.9;2.8;96.8;3.0;0.2
273;B-F Manufacturing and energy;2019 October - 2020 September;99.3;5.3;99.2;5.4;0.1
274;B-F Manufacturing and energy;2020 January - 2020 December;99.9;4.9;99.8;5.0;0.1
275;B-F Manufacturing and energy;2020 April - 2021 March;99.5;2.8;99.5;3.0;0.1
276;B-F Manufacturing and energy;2020 July - 2021 June;100.2;3.4;100.2;3.5;0.1
277;B-F Manufacturing and energy;2020 October - 2021 September;100.1;0.8;100.2;0.9;0.1
278;B-F Manufacturing and energy;2021 January - 2021 December;100.0;0.1;100.0;0.2;0.1
279;B-F Manufacturing and energy;2021 April - 2022 March;100.8;1.3;100.8;1.3;0.0
280;B-F Manufacturing and energy;2021 July - 2022 June;102.7;2.5;102.7;2.5;0.0
281;B-F Manufacturing and energy;2021 October - 2022 September;103.0;2.8;103.0;2.8;0.0
282;B-F Manufacturing and energy;2022 January - 2022 December;104.8;4.8;104.9;4.9;0.1
283;B-F Manufacturing and energy;2022 April - 2023 March;105.9;5.1;106.1;5.3;0.2
284;B-F Manufacturing and energy;2022 July - 2023 June;107.8;4.9;108.1;5.2;0.3
285;B-F Manufacturing and energy;2022 October - 2023 September;109.2;6.1;109.6;6.4;0.3
286;B-F Manufacturing and energy;2023 January - 2023 December;111.0;5.9;111.4;6.2;0.3
287;B-F Manufacturing and energy;2023 April - 2024 March;112.8;6.5;113.3;6.7;0.3
288;B-F Manufacturing and energy;2023 July - 2024 June;113.8;5.6;114.4;5.8;0.2
289;B-F Manufacturing and energy;2023 October - 2024 September;115.2;5.4;115.8;5.7;0.2
290;B-F Manufacturing and energy;2024 January - 2024 December;116.5;5.0;117.2;5.2;0.2
291;B-E Industry (no construction), energy;2001;67.3;;59.4;;
292;B-E Industry (no construction), energy;2002;70.3;4.3;62.8;5.7;1.3
293;B-E Industry (no construction), energy;2003;72.0;2.5;65.0;3.6;1.1
294;B-E Industry (no construction), energy;2004;73.2;1.7;66.9;2.9;1.3
295;B-E Industry (no construction), energy;2005;74.0;1.0;68.4;2.1;1.1
296;B-E Industry (no construction), energy;2006;75.4;1.9;70.1;2.6;0.6
297;B-E Industry (no construction), energy;2007;77.3;2.6;72.3;3.1;0.5
298;B-E Industry (no construction), energy;2008;81.5;5.3;76.3;5.5;0.2
299;B-E Industry (no construction), energy;2009;85.2;4.5;80.7;5.8;1.2
300;B-E Industry (no construction), energy;2010;81.2;-4.7;78.2;-3.2;1.6
301;B-E Industry (no construction), energy;2011;83.4;2.7;80.6;3.1;0.3
302;B-E Industry (no construction), energy;2012;85.7;2.8;83.3;3.5;0.7
303;B-E Industry (no construction), energy;2013;85.9;0.2;84.3;1.2;1.0
304;B-E Industry (no construction), energy;2014;88.4;3.0;87.5;3.7;0.7
305;B-E Industry (no construction), energy;2015;88.2;-0.3;87.6;0.1;0.4
306;B-E Industry (no construction), energy;2016;89.6;1.5;89.1;1.8;0.3
307;B-E Industry (no construction), energy;2017;90.9;1.5;90.5;1.5;0.0
308;B-E Industry (no construction), energy;2018;93.3;2.6;92.8;2.5;0.0
309;B-E Industry (no construction), energy;2019;95.4;2.3;95.0;2.4;0.1
310;B-E Industry (no construction), energy;2020;99.2;4.0;98.9;4.1;0.1
311;B-E Industry (no construction), energy;2021;100.0;0.8;100.0;1.1;0.3
312;B-E Industry (no construction), energy;2022;105.0;5.0;105.1;5.1;0.1
313;B-E Industry (no construction), energy;2023;111.6;6.3;112.2;6.7;0.4
314;B-E Industry (no construction), energy;2024;117.0;4.8;117.9;5.1;0.3
315;B-E Industry (no construction), energy;2006 January - 2006 December;75.4;1.9;70.1;2.6;0.6
316;B-E Industry (no construction), energy;2006 April - 2007 March;76.0;;70.8;;
317;B-E Industry (no construction), energy;2006 July - 2007 June;76.5;;71.4;;
318;B-E Industry (no construction), energy;2006 October - 2007 September;76.8;;71.7;;
319;B-E Industry (no construction), energy;2007 January - 2007 December;77.3;2.6;72.3;3.1;0.5
320;B-E Industry (no construction), energy;2007 April - 2008 March;78.9;3.8;73.8;4.3;0.5
