ID;Vakantiekenmerken;Perioden;Totaal_1;Auto_2;TreinAutoslaaptrein_3;Touringcar_4;Vliegtuig_5;OverigeVervoermiddelen_6;GeorganiseerdeReisPerAuto_7;GeorganiseerdeReisPerTouringcar_8;GeorganiseerdeReisPerVliegtuig_9;GeorganiseerdeReisMetOverigVervoer_10;NietGeorganiseerdeReizen_11
468;49;2005;342.0;186.0;15.0;20.0;99.0;22.0;40.0;20.0;99.0;26.0;156.0
469;49;2006;326.0;195.0;11.0;20.0;71.0;29.0;59.0;20.0;71.0;34.0;143.0
470;49;2007;335.0;183.0;22.0;14.0;99.0;17.0;74.0;14.0;99.0;30.0;118.0
471;49;2008;344.0;180.0;10.0;9.0;131.0;14.0;43.0;9.0;131.0;20.0;141.0
472;49;2009;421.0;249.0;15.0;0.0;117.0;39.0;71.0;0.0;113.0;48.0;188.0
473;49;2010;422.0;237.0;19.0;14.0;138.0;14.0;72.0;14.0;138.0;23.0;174.0
474;49;2011;395.0;228.0;14.0;19.0;111.0;23.0;75.0;17.0;111.0;25.0;166.0
475;49;2012;461.0;256.0;21.0;20.0;147.0;17.0;60.0;20.0;147.0;36.0;197.0
476;49;2013;363.0;211.0;11.0;0.0;129.0;12.0;60.0;0.0;129.0;19.0;156.0
477;49;2014;428.0;190.0;14.0;19.0;176.0;28.0;56.0;19.0;176.0;40.0;137.0
478;49;2015;435.0;206.0;6.0;7.0;190.0;26.0;98.0;7.0;190.0;23.0;116.0
479;49;2016;435.0;182.0;25.0;6.0;201.0;21.0;91.0;5.0;201.0;36.0;103.0
480;50;2002;1935.0;707.0;46.0;100.0;1064.0;19.0;370.0;100.0;1064.0;63.0;338.0
481;50;2003;2091.0;823.0;45.0;79.0;1121.0;23.0;456.0;79.0;1121.0;67.0;368.0
482;50;2004;1986.0;843.0;38.0;69.0;1019.0;16.0;441.0;69.0;1019.0;51.0;405.0
483;50;2005;1886.0;736.0;20.0;61.0;1055.0;14.0;392.0;61.0;1055.0;33.0;346.0
484;50;2006;1893.0;807.0;37.0;60.0;979.0;10.0;415.0;60.0;979.0;47.0;392.0
485;50;2007;1810.0;686.0;36.0;60.0;1023.0;5.0;370.0;60.0;1023.0;37.0;320.0
486;50;2008;1940.0;767.0;34.0;68.0;1061.0;10.0;377.0;68.0;1061.0;38.0;396.0
487;50;2009;2012.0;889.0;54.0;61.0;1000.0;8.0;419.0;61.0;1000.0;52.0;479.0
488;50;2010;1886.0;784.0;35.0;65.0;998.0;4.0;366.0;65.0;998.0;35.0;423.0
489;50;2011;1927.0;825.0;32.0;48.0;1017.0;5.0;408.0;48.0;1017.0;36.0;417.0
490;50;2012;1988.0;829.0;33.0;49.0;1064.0;11.0;420.0;49.0;1064.0;45.0;409.0
491;50;2013;1797.0;781.0;35.0;49.0;919.0;13.0;392.0;49.0;919.0;45.0;392.0
492;50;2014;1943.0;758.0;38.0;45.0;1075.0;27.0;406.0;45.0;1075.0;65.0;352.0
493;50;2015;1785.0;709.0;29.0;54.0;982.0;10.0;390.0;54.0;982.0;37.0;322.0
494;50;2016;1548.0;682.0;19.0;22.0;809.0;15.0;392.0;22.0;809.0;32.0;292.0
495;51;2002;1733.0;1462.0;44.0;2.0;181.0;45.0;801.0;2.0;181.0;57.0;692.0
496;51;2003;1610.0;1369.0;9.0;18.0;196.0;19.0;858.0;18.0;196.0;22.0;518.0
497;51;2004;1641.0;1396.0;23.0;4.0;164.0;54.0;886.0;4.0;164.0;74.0;513.0
498;51;2005;1613.0;1321.0;15.0;15.0;226.0;36.0;885.0;15.0;226.0;35.0;452.0
499;51;2006;1568.0;1309.0;15.0;13.0;217.0;15.0;820.0;13.0;217.0;26.0;493.0
500;51;2007;1640.0;1377.0;9.0;19.0;212.0;24.0;904.0;17.0;212.0;30.0;478.0
501;51;2008;1743.0;1483.0;13.0;6.0;233.0;10.0;1018.0;6.0;233.0;22.0;465.0
502;51;2009;1691.0;1430.0;6.0;14.0;210.0;32.0;1003.0;14.0;210.0;35.0;430.0
503;51;2010;1573.0;1359.0;6.0;3.0;184.0;20.0;893.0;3.0;184.0;21.0;472.0
504;51;2011;1911.0;1477.0;25.0;15.0;368.0;27.0;1112.0;15.0;368.0;42.0;375.0
505;51;2012;1841.0;1474.0;15.0;12.0;321.0;19.0;1129.0;12.0;321.0;31.0;348.0
506;51;2013;1722.0;1303.0;18.0;15.0;355.0;31.0;1010.0;15.0;355.0;49.0;292.0
507;51;2014;1687.0;1292.0;4.0;7.0;367.0;15.0;951.0;7.0;367.0;18.0;343.0
508;51;2015;1622.0;1230.0;9.0;0.0;361.0;22.0;927.0;0.0;361.0;31.0;303.0
509;51;2016;1839.0;1376.0;5.0;9.0;420.0;30.0;1059.0;9.0;420.0;27.0;325.0
510;52;2002;1267.0;1101.0;23.0;56.0;38.0;49.0;155.0;56.0;38.0;27.0;991.0
511;52;2003;1041.0;921.0;16.0;34.0;50.0;20.0;79.0;34.0;50.0;23.0;856.0
512;52;2004;1041.0;873.0;17.0;36.0;81.0;33.0;221.0;36.0;81.0;27.0;676.0
513;52;2005;888.0;754.0;13.0;46.0;52.0;23.0;246.0;46.0;52.0;17.0;526.0
514;52;2006;870.0;759.0;17.0;16.0;61.0;16.0;231.0;16.0;61.0;25.0;537.0
515;52;2007;933.0;788.0;16.0;39.0;59.0;30.0;261.0;39.0;59.0;21.0;553.0
516;52;2008;853.0;740.0;19.0;24.0;48.0;22.0;233.0;22.0;48.0;22.0;527.0
517;52;2009;820.0;695.0;27.0;17.0;63.0;18.0;188.0;17.0;63.0;34.0;518.0
518;52;2010;873.0;749.0;17.0;17.0;56.0;35.0;221.0;17.0;56.0;27.0;553.0
519;52;2011;819.0;656.0;31.0;20.0;73.0;38.0;217.0;20.0;73.0;46.0;463.0
520;52;2012;706.0;625.0;2.0;13.0;45.0;21.0;211.0;13.0;45.0;18.0;419.0
521;52;2013;787.0;618.0;20.0;24.0;72.0;54.0;188.0;20.0;72.0;40.0;467.0
522;52;2014;784.0;669.0;18.0;11.0;66.0;20.0;211.0;11.0;66.0;28.0;469.0
523;52;2015;719.0;619.0;15.0;10.0;54.0;21.0;222.0;10.0;54.0;18.0;415.0
524;52;2016;744.0;631.0;6.0;16.0;66.0;26.0;238.0;16.0;66.0;8.0;417.0
525;53;2002;1396.0;1314.0;7.0;2.0;30.0;44.0;194.0;2.0;30.0;14.0;1156.0
526;53;2003;1235.0;1188.0;7.0;2.0;17.0;21.0;100.0;2.0;17.0;24.0;1092.0
527;53;2004;1291.0;1261.0;5.0;0.0;19.0;6.0;425.0;0.0;19.0;8.0;839.0
528;53;2005;1394.0;1366.0;2.0;3.0;11.0;12.0;476.0;3.0;11.0;12.0;892.0
529;53;2006;1365.0;1337.0;0.0;2.0;18.0;9.0;532.0;2.0;18.0;9.0;805.0
530;53;2007;1356.0;1318.0;0.0;2.0;21.0;14.0;539.0;2.0;21.0;14.0;780.0
531;53;2008;1459.0;1407.0;5.0;0.0;35.0;12.0;421.0;0.0;35.0;14.0;990.0
532;53;2009;1515.0;1454.0;4.0;0.0;41.0;16.0;483.0;0.0;41.0;20.0;972.0
533;53;2010;1495.0;1444.0;12.0;0.0;28.0;10.0;492.0;0.0;28.0;20.0;955.0
534;53;2011;1478.0;1431.0;3.0;0.0;21.0;23.0;526.0;0.0;21.0;23.0;908.0
535;53;2012;1302.0;1275.0;1.0;0.0;18.0;8.0;408.0;0.0;18.0;9.0;867.0
536;53;2013;1465.0;1413.0;3.0;4.0;41.0;4.0;469.0;4.0;41.0;0.0;951.0
537;53;2014;1366.0;1302.0;4.0;0.0;42.0;18.0;433.0;0.0;42.0;11.0;880.0
538;53;2015;1317.0;1285.0;2.0;0.0;29.0;1.0;520.0;0.0;29.0;3.0;765.0
539;53;2016;1319.0;1268.0;0.0;0.0;43.0;8.0;457.0;0.0;43.0;8.0;812.0
540;54;2002;121.0;109.0;0.0;0.0;8.0;5.0;8.0;0.0;8.0;3.0;103.0
541;54;2003;214.0;183.0;0.0;0.0;29.0;2.0;22.0;0.0;29.0;2.0;161.0
542;54;2004;220.0;198.0;0.0;0.0;21.0;0.0;20.0;0.0;21.0;0.0;178.0
543;54;2005;203.0;183.0;0.0;0.0;17.0;3.0;26.0;0.0;17.0;3.0;157.0
544;54;2006;177.0;150.0;0.0;0.0;27.0;0.0;16.0;0.0;27.0;0.0;134.0
545;54;2007;186.0;151.0;0.0;0.0;35.0;0.0;29.0;0.0;35.0;0.0;121.0
546;54;2008;252.0;193.0;0.0;0.0;58.0;2.0;24.0;0.0;58.0;2.0;169.0
547;54;2009;235.0;192.0;0.0;0.0;43.0;0.0;54.0;0.0;43.0;0.0;138.0
548;54;2010;212.0;171.0;0.0;0.0;40.0;2.0;33.0;0.0;40.0;0.0;139.0
