ID;Geslacht;Perioden;Totaal_1;HuwendePersonen_2;PersonenDieEenPartnerschapSluiten_3;Totaal_4;NaHuwelijkGescheidenPersonen_5;NaPartnerschapGescheidenPersonen_6;NaHuwelijkVerweduwdePersonen_7;NaPartnerschapVerweduwdePersonen_8
150;Totaal mannen en vrouwen;2021 augustus;18357;13821;4536;9417;3851;448;5020;98
151;Totaal mannen en vrouwen;2021 september;20201;15910;4291;9079;3683;385;4932;79
152;Totaal mannen en vrouwen;2021 oktober;13345;9151;4194;9562;3522;362;5594;84
153;Totaal mannen en vrouwen;2021 november;10981;6582;4399;10730;3676;444;6520;90
154;Totaal mannen en vrouwen;2021 december;10229;6076;4153;11488;3969;503;6915;101
155;Totaal mannen en vrouwen;2021;159105;107060;52045;122655;49363;5297;66950;1045
156;Totaal mannen en vrouwen;2022 januari;7728;4085;3643;9867;3878;379;5523;87
157;Totaal mannen en vrouwen;2022 februari;12012;7974;4038;9378;3663;518;5111;86
158;Totaal mannen en vrouwen;2022 maart;10694;6517;4177;10654;4237;531;5792;94
159;Totaal mannen en vrouwen;2022 april;13475;9729;3746;9509;3543;445;5453;68
160;Totaal mannen en vrouwen;2022 mei;20508;16176;4332;9602;3794;570;5174;64
161;Totaal mannen en vrouwen;2022 juni;22517;18548;3969;9117;3508;471;5041;97
162;Totaal mannen en vrouwen;2022 juli;20280;16239;4041;9503;3800;481;5140;82
163;Totaal mannen en vrouwen;2022 augustus;18880;14646;4234;9473;3820;521;5029;103
164;Totaal mannen en vrouwen;2022 september;21721;17780;3941;8911;3358;474;4962;117
165;Totaal mannen en vrouwen;2022 oktober;13186;9089;4097;9499;3290;541;5570;98
166;Totaal mannen en vrouwen;2022 november;11115;6991;4124;10160;4086;639;5349;86
167;Totaal mannen en vrouwen;2022 december;9874;6232;3642;10933;3740;599;6483;111
168;Totaal mannen en vrouwen;2022;181990;134006;47984;116606;44717;6169;64627;1093
169;Totaal mannen en vrouwen;2023 januari;9299;5472;3827;11054;4280;547;6116;111
170;Totaal mannen en vrouwen;2023 februari;9112;5513;3599;9303;3535;502;5175;91
171;Totaal mannen en vrouwen;2023 maart;11546;7629;3917;10942;4320;610;5880;132
172;Totaal mannen en vrouwen;2023 april;11400;7986;3414;9014;3292;498;5138;86
173;Totaal mannen en vrouwen;2023 mei;18786;14858;3928;9614;3836;641;5040;97
174;Totaal mannen en vrouwen;2023 juni;23648;19790;3858;9662;3995;582;5006;79
175;Totaal mannen en vrouwen;2023 juli;18041;14102;3939;9528;4070;574;4788;96
176;Totaal mannen en vrouwen;2023 augustus;17214;13273;3941;9676;4002;675;4897;102
177;Totaal mannen en vrouwen;2023 september;21479;17723;3756;9021;3500;508;4923;90
178;Totaal mannen en vrouwen;2023 oktober;13855;9590;4265;9810;3690;604;5414;102
179;Totaal mannen en vrouwen;2023 november;10089;6190;3899;10171;3971;616;5476;108
180;Totaal mannen en vrouwen;2023 december;9508;6057;3451;10482;3664;657;6055;106
181;Totaal mannen en vrouwen;2023;173977;128183;45794;118277;46155;7014;63908;1200
182;Totaal mannen en vrouwen;2024 januari;8987;5109;3878;11537;4332;742;6364;99
183;Totaal mannen en vrouwen;2024 februari;9522;5730;3792;10555;3949;694;5797;115
184;Totaal mannen en vrouwen;2024 maart;9695;5941;3754;10526;3867;683;5862;114
185;Totaal mannen en vrouwen;2024 april;14665;10444;4221;10003;3693;624;5572;114
186;Totaal mannen en vrouwen;2024 mei;19114;15406;3708;9704;3593;687;5298;126
187;Totaal mannen en vrouwen;2024 juni;21498;17866;3632;9642;3887;596;5061;98
188;Totaal mannen en vrouwen;2024 juli;18014;13288;4726;10114;4217;703;5083;111
189;Totaal mannen en vrouwen;2024 augustus;18505;14488;4017;9940;3979;671;5179;111
190;Totaal mannen en vrouwen;2024 september;20453;16464;3989;9410;3518;577;5198;117
191;Totaal mannen en vrouwen;2024 oktober;14380;9731;4649;10342;3998;641;5583;120
192;Totaal mannen en vrouwen;2024 november;10813;6559;4254;10055;3769;710;5458;118
193;Totaal mannen en vrouwen;2024 december;11700;7087;4613;10296;3846;624;5716;110
194;Totaal mannen en vrouwen;2024;177346;128113;49233;122124;46648;7952;66171;1353
195;Totaal mannen en vrouwen;2025 januari;9619;5557;4062;11383;4079;751;6424;129
196;Totaal mannen en vrouwen;2025 februari;10200;6097;4103;10799;4095;642;5939;123
197;Mannen;2010 januari;3360;2635;725;4335;2657;79;1583;16
198;Mannen;2010 februari;3748;2995;753;3895;2269;76;1538;12
199;Mannen;2010 maart;4568;3686;882;4592;2860;125;1592;15
200;Mannen;2010 april;6226;5517;709;3986;2524;92;1357;13
201;Mannen;2010 mei;9901;9152;749;3757;2178;75;1494;10
202;Mannen;2010 juni;10361;9616;745;4268;2726;110;1423;9
203;Mannen;2010 juli;8237;7473;764;4106;2545;73;1478;10
204;Mannen;2010 augustus;8409;7637;772;4064;2570;108;1369;17
205;Mannen;2010 september;11305;10504;801;4219;2660;97;1453;9
206;Mannen;2010 oktober;7273;6498;775;4143;2503;94;1534;12
207;Mannen;2010 november;4449;3520;929;4051;2466;92;1473;20
208;Mannen;2010 december;4627;3713;914;4574;2788;121;1653;12
209;Mannen;2010;82464;72946;9518;49990;30746;1142;17947;155
210;Mannen;2011 januari;3289;2559;730;4468;2746;91;1624;7
211;Mannen;2011 februari;3740;2959;781;4036;2547;89;1390;10
212;Mannen;2011 maart;3897;3113;784;4538;2859;122;1550;7
213;Mannen;2011 april;5622;4888;734;3957;2381;93;1473;10
214;Mannen;2011 mei;9460;8541;919;4344;2663;117;1557;7
215;Mannen;2011 juni;10486;9798;688;3978;2424;96;1451;7
216;Mannen;2011 juli;8551;7755;796;4147;2531;97;1506;13
217;Mannen;2011 augustus;7834;6927;907;4303;2765;92;1431;15
218;Mannen;2011 september;10373;9596;777;4004;2535;95;1357;17
219;Mannen;2011 oktober;5566;4723;843;3849;2226;90;1518;15
220;Mannen;2011 november;5983;4987;996;4205;2585;108;1503;9
221;Mannen;2011 december;4342;3392;950;4233;2419;109;1693;12
222;Mannen;2011;79143;69238;9905;50062;30681;1199;18053;129
223;Mannen;2012 januari;3219;2478;741;4395;2621;107;1646;21
224;Mannen;2012 februari;3536;2759;777;4180;2513;97;1554;16
225;Mannen;2012 maart;3994;3283;711;4492;2625;120;1733;14
226;Mannen;2012 april;5918;5274;644;3895;2275;105;1496;19
227;Mannen;2012 mei;9128;8293;835;4085;2488;114;1467;16
228;Mannen;2012 juni;11187;10409;778;4331;2716;118;1483;14
229;Mannen;2012 juli;6864;6107;757;4384;2816;128;1430;10
230;Mannen;2012 augustus;7752;7042;710;4534;2993;104;1424;13
231;Mannen;2012 september;9416;8789;627;3967;2451;138;1369;9
232;Mannen;2012 oktober;5736;4828;908;4275;2642;138;1480;15
233;Mannen;2012 november;4250;3415;835;4435;2813;106;1504;12
234;Mannen;2012 december;6059;5201;858;4151;2406;111;1617;17
235;Mannen;2012;77059;67878;9181;51124;31359;1386;18203;176
236;Mannen;2013 januari;3100;2322;778;4547;2712;142;1673;20
237;Mannen;2013 februari;3163;2411;752;4332;2670;98;1539;25
238;Mannen;2013 maart;4143;3440;703;4622;2750;100;1761;11
239;Mannen;2013 april;5312;4590;722;4158;2409;118;1611;20
240;Mannen;2013 mei;8812;8074;738;4242;2551;123;1545;23
241;Mannen;2013 juni;9425;8658;767;3832;2324;115;1379;14
242;Mannen;2013 juli;6467;5660;807;4614;2938;164;1495;17
243;Mannen;2013 augustus;8108;7369;739;4564;2919;146;1483;16
244;Mannen;2013 september;9286;8423;863;4056;2546;122;1370;18
245;Mannen;2013 oktober;5171;4314;857;4460;2798;128;1519;15
246;Mannen;2013 november;3731;2935;796;4037;2406;120;1496;15
247;Mannen;2013 december;4647;3757;890;4239;2612;124;1489;14
248;Mannen;2013;71365;61953;9412;51703;31635;1500;18360;208
249;Mannen;2014 januari;2985;2270;715;4637;2931;134;1550;22
250;Mannen;2014 februari;3619;2889;730;4214;2594;136;1463;21
251;Mannen;2014 maart;3645;2872;773;4630;2877;140;1599;14
252;Mannen;2014 april;5746;4985;761;4424;2730;154;1523;17
253;Mannen;2014 mei;8697;8022;675;4186;2516;118;1535;17
254;Mannen;2014 juni;9257;8471;786;4360;2778;152;1414;16
255;Mannen;2014 juli;7561;6696;865;4729;3033;171;1502;23
256;Mannen;2014 augustus;8469;7617;852;4377;2703;157;1498;19
257;Mannen;2014 september;9186;8207;979;4497;2830;142;1501;24
258;Mannen;2014 oktober;5738;4692;1046;4612;2855;162;1577;18
259;Mannen;2014 november;3900;2921;979;4339;2608;168;1542;21
260;Mannen;2014 december;4505;3352;1153;4798;2893;145;1737;23
261;Mannen;2014;73308;62994;10314;53803;33348;1779;18441;235
262;Mannen;2015 januari;3096;2224;872;4691;2664;129;1876;22
263;Mannen;2015 februari;3321;2457;864;4369;2649;133;1573;14
264;Mannen;2015 maart;4146;3092;1054;4940;2965;192;1767;16
265;Mannen;2015 april;4832;3966;866;4434;2662;151;1597;24
266;Mannen;2015 mei;9990;9140;850;4022;2305;123;1576;18
267;Mannen;2015 juni;9658;8459;1199;4447;2810;171;1453;13
268;Mannen;2015 juli;7475;6363;1112;4906;3158;204;1520;24
269;Mannen;2015 augustus;8228;7144;1084;4345;2723;128;1480;14
270;Mannen;2015 september;9645;8552;1093;4312;2627;151;1517;17
271;Mannen;2015 oktober;5941;4819;1122;4281;2544;140;1578;19
272;Mannen;2015 november;4125;2890;1235;4271;2530;149;1572;20
273;Mannen;2015 december;4436;3102;1334;4454;2612;200;1619;23
274;Mannen;2015;74893;62208;12685;53472;32249;1871;19128;224
275;Mannen;2016 januari;3279;2239;1040;4713;2777;149;1763;24
276;Mannen;2016 februari;3920;2690;1230;4502;2633;142;1704;23
277;Mannen;2016 maart;4070;2920;1150;4711;2778;159;1752;22
278;Mannen;2016 april;6101;4903;1198;4371;2644;154;1553;20
279;Mannen;2016 mei;8131;6810;1321;4343;2590;144;1592;17
280;Mannen;2016 juni;10928;9621;1307;4461;2764;159;1509;29
281;Mannen;2016 juli;8574;7266;1308;4409;2632;178;1578;21
282;Mannen;2016 augustus;8368;6929;1439;4310;2633;158;1503;16
283;Mannen;2016 september;10311;9052;1259;4244;2548;145;1528;23
284;Mannen;2016 oktober;6113;4605;1508;3957;2204;150;1592;11
285;Mannen;2016 november;4384;2926;1458;4374;2579;166;1608;21
286;Mannen;2016 december;4427;3057;1370;4564;2626;192;1724;22
287;Mannen;2016;78606;63018;15588;52959;31408;1896;19406;249
288;Mannen;2017 januari;4002;2576;1426;4943;2811;148;1966;18
289;Mannen;2017 februari;3949;2599;1350;4490;2546;174;1746;24
290;Mannen;2017 maart;4569;3113;1456;4714;2850;189;1659;16
291;Mannen;2017 april;5380;4097;1283;3921;2189;153;1556;23
292;Mannen;2017 mei;8277;6700;1577;4374;2593;186;1582;13
293;Mannen;2017 juni;9259;7981;1278;4405;2663;193;1533;16
294;Mannen;2017 juli;10169;8634;1535;4489;2732;172;1570;15
295;Mannen;2017 augustus;7877;6308;1569;4465;2742;202;1502;19
296;Mannen;2017 september;10959;9574;1385;3940;2212;171;1539;18
297;Mannen;2017 oktober;6257;4528;1729;4258;2487;183;1567;21
298;Mannen;2017 november;4455;2914;1541;4520;2680;212;1613;15
299;Mannen;2017 december;4706;3092;1614;4241;2277;171;1770;23
300;Mannen;2017;79859;62116;17743;52760;30782;2154;19603;221
301;Mannen;2018 januari;4260;2598;1662;4754;2703;158;1864;29
302;Mannen;2018 februari;4101;2573;1528;4442;2424;171;1826;21
303;Mannen;2018 maart;4482;2948;1534;4859;2586;209;2037;27
304;Mannen;2018 april;5878;4276;1602;4292;2368;207;1694;23
305;Mannen;2018 mei;8289;6707;1582;4276;2494;202;1551;29
306;Mannen;2018 juni;10437;8801;1636;4002;2296;206;1482;18
307;Mannen;2018 juli;8183;6360;1823;4334;2470;213;1627;24
308;Mannen;2018 augustus;10370;8740;1630;4111;2344;193;1555;19
309;Mannen;2018 september;10052;8514;1538;3911;2191;148;1554;18
310;Mannen;2018 oktober;6636;4674;1962;4218;2269;216;1706;27
311;Mannen;2018 november;4584;2913;1671;4332;2441;200;1661;30
312;Mannen;2018 december;4398;2845;1553;4099;2096;216;1769;18
313;Mannen;2018;81670;61949;19721;51630;28682;2339;20326;283
314;Mannen;2019 januari;4299;2593;1706;4721;2655;217;1826;23
315;Mannen;2019 februari;4325;2637;1688;4182;2282;198;1683;19
316;Mannen;2019 maart;4660;3035;1625;4466;2428;216;1802;20
317;Mannen;2019 april;6132;4220;1912;4244;2403;213;1606;22
318;Mannen;2019 mei;9270;7425;1845;4344;2458;219;1645;22
319;Mannen;2019 juni;9785;8187;1598;4057;2190;249;1589;29
320;Mannen;2019 juli;8516;6484;2032;4532;2619;244;1648;21
321;Mannen;2019 augustus;8657;6859;1798;4122;2257;196;1646;23
322;Mannen;2019 september;10538;8760;1778;3737;1998;206;1519;14
323;Mannen;2019 oktober;6683;4659;2024;4231;2299;262;1646;24
324;Mannen;2019 november;4881;3040;1841;4188;2198;195;1774;21
325;Mannen;2019 december;5090;3178;1912;4331;2224;237;1847;23
326;Mannen;2019;82836;61077;21759;51155;28011;2652;20231;261
327;Mannen;2020 januari;4285;2570;1715;4590;2515;222;1823;30
328;Mannen;2020 februari;5409;3602;1807;4103;2227;208;1633;35
329;Mannen;2020 maart;4626;2672;1954;4570;2250;249;2048;23
330;Mannen;2020 april;3639;2223;1416;4515;1994;221;2275;25
331;Mannen;2020 mei;4470;2909;1561;4134;2206;247;1660;21
332;Mannen;2020 juni;6517;4408;2109;4272;2480;245;1510;37
333;Mannen;2020 juli;7584;5272;2312;4510;2618;292;1560;40
334;Mannen;2020 augustus;8660;6374;2286;4145;2235;213;1675;22
335;Mannen;2020 september;9413;7253;2160;3925;2116;217;1557;35
336;Mannen;2020 oktober;7036;4888;2148;4057;1988;211;1828;30
337;Mannen;2020 november;5108;2899;2209;4199;2160;203;1808;28
338;Mannen;2020 december;5446;3154;2292;4649;2328;251;2036;34
339;Mannen;2020;72193;48224;23969;51669;27117;2779;21413;360
340;Mannen;2021 januari;4171;2197;1974;4647;2248;226;2141;32
341;Mannen;2021 februari;4601;2604;1997;4096;2096;212;1770;18
342;Mannen;2021 maart;5475;3054;2421;4534;2476;246;1779;33
343;Mannen;2021 april;5010;3099;1911;4077;2079;230;1735;33
344;Mannen;2021 mei;7050;4875;2175;3902;1929;197;1748;28
