ID;Periods;ImportPriceBasedOnWeight_1;NetCalorificValue_2;ImportPriceBasedOnCalorificValue_3
42;1989 3rd quarter;51.26;26.6;1.75
43;1989 4th quarter;48.62;26.5;1.66
44;1989;49.32;26.8;1.68
45;1990 1st quarter;45.38;26.6;1.55
46;1990 2nd quarter;44.67;26.8;1.52
47;1990 3rd quarter;46.66;26.6;1.59
48;1990 4th quarter;43.21;27.1;1.47
49;1990;44.9;26.8;1.53
50;1991 1st quarter;42.54;26.6;1.45
51;1991 2nd quarter;46.65;26.8;1.59
52;1991 3rd quarter;47.89;26.8;1.63
53;1991 4th quarter;45.1;27.2;1.54
54;1991;45.63;26.9;1.56
55;1992 1st quarter;43.2;26.5;1.47
56;1992 2nd quarter;45.12;26.8;1.54
57;1992 3rd quarter;42.56;26.6;1.45
58;1992 4th quarter;42.03;26.7;1.43
59;1992;43.08;26.7;1.47
60;1993 1st quarter;39.03;26.9;1.33
61;1993 2nd quarter;37.57;26.8;1.28
62;1993 3rd quarter;38.82;26.6;1.33
63;1993 4th quarter;39.66;27.1;1.35
64;1993;38.71;26.8;1.32
65;1994 1st quarter;38.24;26.6;1.31
66;1994 2nd quarter;36.79;26.3;1.26
67;1994 3rd quarter;38.55;26.5;1.32
68;1994 4th quarter;37.06;26.6;1.27
69;1994;37.65;26.5;1.28
70;1995 1st quarter;36.92;26.5;1.26
71;1995 2nd quarter;35.39;26.4;1.21
72;1995 3rd quarter;36.05;26.3;1.23
73;1995 4th quarter;40.45;26.5;1.38
74;1995;37.27;26.4;1.27
75;1996 1st quarter;38.07;26.1;1.3
76;1996 2nd quarter;34.96;25.9;1.19
77;1996 3rd quarter;34.14;25.7;1.17
78;1996 4th quarter;33.83;25.1;1.15
79;1996;35.21;25.7;1.2
80;1997 1st quarter;35.94;25.5;1.23
81;1997 2nd quarter;39.27;24.1;1.34
82;1997 3rd quarter;41.38;24.8;1.41
83;1997 4th quarter;38.6;25.1;1.32
84;1997;38.95;24.9;1.33
85;1998 1st quarter;38.04;24.4;1.3
86;1998 2nd quarter;35.95;24.8;1.23
87;1998 3rd quarter;33.97;25.1;1.16
88;1998 4th quarter;30.57;25.2;1.04
89;1998;34.36;24.9;1.17
90;1999 1st quarter;30.66;25.4;1.05
91;1999 2nd quarter;31.67;25.1;1.08
92;1999 3rd quarter;32.47;25.3;1.11
93;1999 4th quarter;32.3;25.6;1.1
94;1999;31.62;25.3;1.08
95;2000 1st quarter;33.92;25.3;1.16
96;2000 2nd quarter;34.9;25.1;1.19
97;2000 3rd quarter;40.11;24.8;1.37
98;2000 4th quarter;43.98;24.9;1.5
99;2000;38.17;25.0;1.3
100;2001 1st quarter;46.05;24.8;1.57
101;2001 2nd quarter;49.04;25.0;1.67
102;2001 3rd quarter;49.48;25.3;1.69
103;2001 4th quarter;50.33;25.2;1.72
104;2001;48.72;25.1;1.66
105;2002 1st quarter;46.83;25.1;1.6
106;2002 2nd quarter;43.53;25.3;1.49
107;2002 3rd quarter;39.01;25.3;1.33
108;2002 4th quarter;37.12;25.4;1.27
109;2002;42.19;25.3;1.43
110;2003 1st quarter;35.53;25.4;1.21
111;2003 2nd quarter;37.87;25.4;1.29
112;2003 3rd quarter;35.05;25.4;1.2
113;2003 4th quarter;39.22;25.3;1.34
114;2003;36.87;25.4;1.26
115;2004 1st quarter;44.91;25.1;1.53
116;2004 2nd quarter;50.92;25.4;1.74
117;2004 3rd quarter;56.14;25.4;1.92
118;2004 4th quarter;59.11;25.4;2.02
119;2004;52.64;25.3;1.8
120;2005 1st quarter;61.0;25.1;2.08
121;2005 2nd quarter;61.3;25.6;2.09
122;2005 3rd quarter;61.82;25.7;2.11
123;2005 4th quarter;64.41;25.5;2.2
124;2005;62.03;25.5;2.12
125;2006 1st quarter;59.02;25.0;2.01
126;2006 2nd quarter;59.48;25.1;2.03
127;2006 3rd quarter;59.77;24.8;2.04
128;2006 4th quarter;62.7;24.6;2.14
129;2006;60.36;24.9;2.06
130;2007 1st quarter;63.58;24.7;2.17
131;2007 2nd quarter;59.77;24.8;2.04
132;2007 3rd quarter;68.86;24.7;2.35
133;2007 4th quarter;80.87;24.6;2.76
134;2007;70.03;24.7;2.39
135;2008 1st quarter;88.19;24.7;3.01
136;2008 2nd quarter;95.23;24.6;3.25
137;2008 3rd quarter;130.68;24.6;4.46
138;2008 4th quarter;125.4;24.5;4.28
139;2008;112.22;24.6;3.83
140;2009 1st quarter;92.88;24.9;3.17
141;2009 2nd quarter;80.87;24.7;2.76
142;2009 3rd quarter;71.79;24.7;2.45
143;2009 4th quarter;65.05;24.6;2.22
144;2009;77.65;24.7;2.65
145;2010 1st quarter;76.18;24.7;2.6
146;2010 2nd quarter;77.94;24.9;2.66
147;2010 3rd quarter;92.59;24.9;3.16
148;2010 4th quarter;81.16;24.8;2.77
149;2010;82.04;24.8;2.8
150;2011 1st quarter;95.23;24.6;3.25
151;2011 2nd quarter;90.54;24.7;3.09
152;2011 3rd quarter;91.12;24.7;3.11
153;2011 4th quarter;100.79;24.5;3.44
154;2011;94.35;24.6;3.22
155;2012 1st quarter;98.74;24.6;3.37
156;2012 2nd quarter;94.64;24.9;3.23
157;2012 3rd quarter;96.1;24.6;3.28
158;2012 4th quarter;86.44;24.6;2.95
159;2012;94.05;24.7;3.21
160;2013 1st quarter;82.63;24.8;2.82
161;2013 2nd quarter;82.33;24.9;2.81
162;2013 3rd quarter;77.65;25.2;2.65
163;2013 4th quarter;76.47;24.9;2.61
164;2013;79.7;25.0;2.72
165;2014 1st quarter;78.52;25.0;2.68
166;2014 2nd quarter;72.08;25.2;2.46
167;2014 3rd quarter;72.37;25.2;2.47
168;2014 4th quarter;72.66;24.9;2.48
169;2014;73.84;24.9;2.52
170;2015 1st quarter;72.96;24.8;2.49
171;2015 2nd quarter;74.72;25.0;2.55
172;2015 3rd quarter;67.68;25.1;2.31
173;2015 4th quarter;63.58;25.0;2.17
174;2015;69.73;25.0;2.38
175;2016 1st quarter;55.7;25.1;1.9
176;2016 2nd quarter;55.08;25.2;1.88
177;2016 3rd quarter;62.54;25.3;2.13
