ID;ZorginstellingenSBI2008;Perioden;Ondernemingen_1;Totaal_2;KleinerDan0_3;k_0Tot10_4;k_10Tot20_5;k_20Tot35_6;k_35OfMeer_7;Totaal_8;KleinerDan0_9;k_0Tot10_10;k_10Tot15_11;k_15Tot20_12;k_20Tot30_13;k_30OfMeer_14;Totaal_15;KleinerDan30_16;k_30Tot70_17;k_70Tot130_18;k_130OfMeer_19;Totaal_20;KleinerDan30_21;k_30Tot70_22;k_70Tot130_23;k_130OfMeer_24;Totaal_25;KleinerDan0_26;k_0Tot2_27;k_2Tot4_28;k_4OfMeer_29;Leverage_30;AandeelKapitaallasten_31;GemLeeftijdMaterieleVasteActiva_32;Debiteurentermijn_33;AandeelPersoneelskosten_34;OpbrengstenPerArbeidsjaar_35;ArbeidskostenPerArbeidsjaar_36;AandeelOverhead_37;Parttimefactor_38;KleinerDan0_39;k_0Tot10_40;k_10Tot20_41;k_20Tot35_42;k_35OfMeer_43;KleinerDan0_44;k_0Tot10_45;k_10Tot15_46;k_15Tot20_47;k_20Tot30_48;k_30OfMeer_49;KleinerDan30_50;k_30Tot70_51;k_70Tot130_52;k_130OfMeer_53;KleinerDan30_54;k_30Tot70_55;k_70Tot130_56;k_130OfMeer_57;KleinerDan0_58;k_0Tot2_59;k_2Tot4_60;k_4OfMeer_61;MinderDan4MlnEuro_62;k_4Tot10MlnEuro_63;k_10Tot25MlnEuro_64;k_25Tot75MlnEuro_65;k_75Tot125MlnEuro_66;k_125MlnEuroOfMeer_67
10;422800;2007;8.0;28.0;;;;;;29.0;;;;;;;85.0;;;;;85.0;;;;;2.0;;;;;37.0;7.0;13.0;41.0;61.0;105057.0;58181.0;22.0;80.0;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;0.0;0.0;0.0;100.0
11;422800;2008;8.0;17.0;;;;;;16.0;;;;;;;88.0;;;;;83.0;;;;;2.0;;;;;53.0;7.0;12.0;38.0;62.0;110650.0;60954.0;23.0;78.0;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;0.0;0.0;0.0;100.0
12;422800;2009;8.0;18.0;;;;;;17.0;;;;;;;61.0;;;;;87.0;;;;;1.0;;;;;56.0;6.0;13.0;32.0;62.0;114115.0;63503.0;24.0;78.0;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;0.0;0.0;0.0;100.0
13;422800;2010;8.0;17.0;;;;;;16.0;;;;;;;46.0;;;;;89.0;;;;;1.0;;;;;56.0;8.0;10.0;27.0;62.0;118709.0;66463.0;23.0;77.0;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;0.0;0.0;0.0;100.0
14;422800;2011;8.0;17.0;;;;;;17.0;;;;;;;62.0;;;;;103.0;;;;;1.0;;;;;64.0;8.0;11.0;44.0;63.0;120091.0;66800.0;24.0;78.0;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;0.0;0.0;0.0;100.0
15;422900;2007;81.0;10.0;;;;;;12.0;;;;;;;61.0;;;;;65.0;;;;;1.0;;;;;58.0;11.0;10.0;62.0;59.0;88184.0;46307.0;17.0;70.0;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;0.0;19.0;32.0;49.0
16;422900;2008;79.0;10.0;;;;;;12.0;;;;;;;64.0;;;;;64.0;;;;;1.0;;;;;57.0;11.0;10.0;61.0;59.0;93446.0;49074.0;18.0;68.0;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;0.0;10.0;37.0;53.0
17;422900;2009;78.0;12.0;;;;;;13.0;;;;;;;65.0;;;;;65.0;;;;;2.0;;;;;58.0;11.0;10.0;62.0;58.0;97540.0;49713.0;18.0;68.0;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;0.0;10.0;35.0;55.0
18;422900;2010;76.0;14.0;;;;;;14.0;;;;;;;70.0;;;;;77.0;;;;;2.0;;;;;62.0;14.0;6.0;59.0;56.0;103928.0;50960.0;18.0;69.0;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;0.0;8.0;30.0;62.0
19;422900;2011;75.0;15.0;;;;;;17.0;;;;;;;90.0;;;;;88.0;;;;;2.0;;;;;66.0;11.0;9.0;58.0;59.0;101952.0;52255.0;18.0;69.0;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;0.0;7.0;29.0;64.0
20;423000;2007;27.0;17.0;;;;;;20.0;;;;;;;60.0;;;;;71.0;;;;;1.0;;;;;56.0;10.0;13.0;42.0;68.0;84608.0;51172.0;19.0;71.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21;423000;2008;27.0;16.0;;;;;;19.0;;;;;;;58.0;;;;;77.0;;;;;2.0;;;;;58.0;11.0;11.0;43.0;69.0;85532.0;51037.0;22.0;72.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;423000;2009;25.0;17.0;;;;;;20.0;;;;;;;53.0;;;;;77.0;;;;;2.0;;;;;53.0;10.0;11.0;47.0;68.0;92167.0;55087.0;22.0;69.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;423000;2010;23.0;20.0;;;;;;20.0;;;;;;;60.0;;;;;92.0;;;;;2.0;;;;;59.0;10.0;9.0;35.0;67.0;95440.0;55668.0;22.0;69.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;423000;2011;23.0;22.0;;;;;;22.0;;;;;;;67.0;;;;;106.0;;;;;2.0;;;;;62.0;10.0;8.0;26.0;67.0;98706.0;58086.0;22.0;68.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25;800027;2007;102.0;22.0;-6.0;7.0;15.0;26.0;52.0;15.0;-5.0;7.0;12.0;17.0;23.0;38.0;43.0;16.0;45.0;96.0;181.0;51.0;23.0;46.0;96.0;192.0;1.0;-2.0;1.0;3.0;5.0;48.0;9.0;13.0;4.0;73.0;77065.0;50456.0;16.0;75.0;4.0;12.0;31.0;30.0;23.0;4.0;27.0;31.0;20.0;9.0;9.0;28.0;28.0;19.0;25.0;26.0;32.0;24.0;18.0;26.0;34.0;15.0;25.0;15.0;8.0;24.0;29.0;15.0;8.0
26;800027;2008;97.0;15.0;-16.0;8.0;15.0;27.0;58.0;15.0;-4.0;7.0;13.0;18.0;22.0;45.0;37.0;24.0;41.0;83.0;322.0;80.0;27.0;61.0;89.0;182.0;1.0;-2.0;1.0;3.0;7.0;52.0;10.0;13.0;30.0;74.0;78984.0;51777.0;17.0;76.0;6.0;21.0;37.0;21.0;16.0;6.0;21.0;24.0;22.0;19.0;8.0;22.0;50.0;16.0;12.0;6.0;14.0;34.0;46.0;32.0;34.0;17.0;17.0;13.0;7.0;27.0;29.0;11.0;13.0
27;800027;2009;95.0;16.0;-16.0;6.0;15.0;26.0;50.0;16.0;-4.0;8.0;13.0;17.0;23.0;45.0;56.0;24.0;40.0;85.0;165.0;81.0;25.0;52.0;90.0;171.0;2.0;-3.0;1.0;3.0;6.0;51.0;9.0;13.0;36.0;73.0;82574.0;52912.0;17.0;76.0;3.0;13.0;41.0;21.0;22.0;3.0;17.0;23.0;26.0;21.0;9.0;8.0;41.0;27.0;24.0;7.0;15.0;34.0;44.0;10.0;33.0;24.0;33.0;15.0;5.0;24.0;29.0;11.0;16.0
28;800027;2010;95.0;18.0;-10.0;6.0;16.0;24.0;51.0;17.0;-8.0;8.0;13.0;18.0;23.0;39.0;67.0;25.0;48.0;89.0;195.0;83.0;28.0;53.0;90.0;196.0;2.0;-5.0;1.0;3.0;7.0;53.0;10.0;13.0;31.0;73.0;84491.0;54684.0;17.0;75.0;9.0;8.0;29.0;33.0;22.0;9.0;13.0;14.0;29.0;23.0;13.0;6.0;31.0;32.0;30.0;2.0;14.0;45.0;39.0;15.0;27.0;31.0;27.0;18.0;6.0;19.0;30.0;11.0;15.0
29;800027;2011;100.0;21.0;-4.0;6.0;16.0;24.0;52.0;18.0;-3.0;8.0;13.0;17.0;23.0;43.0;66.0;25.0;52.0;93.0;190.0;90.0;27.0;54.0;96.0;217.0;2.0;-3.0;1.0;3.0;8.0;55.0;10.0;11.0;29.0;73.0;87449.0;56201.0;17.0;75.0;6.0;6.0;21.0;35.0;31.0;6.0;15.0;11.0;24.0;27.0;17.0;7.0;33.0;27.0;32.0;1.0;9.0;48.0;42.0;17.0;25.0;20.0;39.0;22.0;6.0;15.0;33.0;8.0;16.0
30;800029;2007;150.0;20.0;-15.0;8.0;14.0;27.0;46.0;16.0;-10.0;8.0;13.0;17.0;24.0;57.0;38.0;16.0;42.0;94.0;186.0;53.0;22.0;43.0;94.0;178.0;1.0;-2.0;1.0;3.0;6.0;50.0;10.0;14.0;3.0;71.0;63553.0;40527.0;8.0;62.0;3.0;14.0;37.0;22.0;24.0;3.0;21.0;33.0;19.0;13.0;12.0;35.0;24.0;19.0;21.0;20.0;35.0;25.0;21.0;26.0;43.0;15.0;17.0;23.0;8.0;19.0;31.0;14.0;5.0
31;800029;2008;150.0;21.0;-54.0;5.0;15.0;27.0;48.0;16.0;-9.0;7.0;13.0;18.0;24.0;45.0;37.0;14.0;46.0;90.0;215.0;52.0;20.0;42.0;99.0;194.0;2.0;-3.0;1.0;3.0;7.0;48.0;10.0;14.0;3.0;71.0;67097.0;41872.0;9.0;63.0;2.0;10.0;31.0;29.0;28.0;2.0;17.0;25.0;25.0;15.0;15.0;35.0;24.0;18.0;23.0;23.0;26.0;26.0;25.0;26.0;32.0;21.0;20.0;23.0;11.0;17.0;28.0;14.0;7.0
32;800029;2009;141.0;23.0;-5.0;8.0;16.0;25.0;49.0;18.0;-5.0;6.0;12.0;18.0;23.0;46.0;43.0;14.0;55.0;93.0;221.0;59.0;19.0;42.0;92.0;195.0;3.0;-3.0;1.0;3.0;7.0;49.0;11.0;12.0;4.0;70.0;70065.0;42628.0;9.0;62.0;3.0;10.0;18.0;35.0;35.0;3.0;10.0;18.0;25.0;22.0;22.0;27.0;21.0;24.0;29.0;27.0;29.0;24.0;19.0;11.0;28.0;21.0;40.0;23.0;12.0;14.0;28.0;14.0;9.0
33;800029;2010;140.0;25.0;;6.0;16.0;26.0;49.0;20.0;;7.0;13.0;18.0;23.0;49.0;50.0;15.0;46.0;92.0;230.0;65.0;18.0;47.0;92.0;199.0;2.0;-2.0;1.0;3.0;7.0;48.0;11.0;12.0;4.0;70.0;71153.0;43815.0;9.0;62.0;1.0;7.0;18.0;38.0;36.0;1.0;10.0;11.0;29.0;23.0;26.0;23.0;20.0;25.0;33.0;12.0;27.0;27.0;34.0;15.0;31.0;26.0;28.0;22.0;14.0;12.0;28.0;12.0;11.0
34;800029;2011;140.0;27.0;-18.0;5.0;16.0;26.0;52.0;21.0;-10.0;7.0;13.0;18.0;23.0;54.0;50.0;16.0;41.0;89.0;244.0;69.0;23.0;42.0;91.0;216.0;2.0;-2.0;1.0;3.0;6.0;47.0;11.0;12.0;3.0;70.0;73703.0;45368.0;9.0;62.0;3.0;4.0;16.0;36.0;41.0;3.0;7.0;14.0;24.0;31.0;22.0;23.0;19.0;27.0;32.0;9.0;26.0;28.0;37.0;17.0;31.0;20.0;32.0;25.0;12.0;12.0;27.0;14.0;11.0
35;800028;2007;537.0;22.0;-14.0;6.0;15.0;26.0;47.0;16.0;-8.0;7.0;13.0;17.0;26.0;40.0;57.0;15.0;49.0;96.0;189.0;66.0;18.0;50.0;95.0;179.0;0.0;-3.0;1.0;3.0;6.0;53.0;11.0;11.0;10.0;72.0;64679.0;40815.0;10.0;54.0;7.0;17.0;39.0;22.0;16.0;7.0;24.0;32.0;12.0;15.0;10.0;17.0;33.0;23.0;27.0;16.0;27.0;34.0;23.0;39.0;34.0;13.0;14.0;27.0;25.0;17.0;20.0;6.0;4.0
36;800028;2008;491.0;22.0;-6.0;8.0;15.0;26.0;45.0;17.0;-5.0;7.0;12.0;17.0;24.0;40.0;56.0;15.0;48.0;95.0;194.0;66.0;18.0;50.0;95.0;188.0;0.0;-4.0;1.0;3.0;6.0;52.0;11.0;12.0;10.0;72.0;68083.0;42880.0;10.0;54.0;5.0;9.0;23.0;30.0;33.0;5.0;18.0;14.0;22.0;22.0;20.0;18.0;23.0;25.0;35.0;18.0;22.0;27.0;33.0;25.0;27.0;18.0;29.0;23.0;26.0;18.0;20.0;8.0;5.0
37;800028;2009;473.0;24.0;-8.0;7.0;15.0;26.0;45.0;18.0;-6.0;7.0;13.0;17.0;24.0;40.0;59.0;16.0;47.0;88.0;194.0;73.0;20.0;48.0;97.0;185.0;2.0;-2.0;1.0;3.0;7.0;52.0;11.0;11.0;9.0;71.0;70013.0;43015.0;9.0;53.0;6.0;7.0;22.0;30.0;36.0;6.0;16.0;14.0;15.0;26.0;23.0;16.0;21.0;28.0;35.0;16.0;24.0;23.0;37.0;17.0;26.0;25.0;32.0;26.0;23.0;18.0;21.0;7.0;5.0
38;800028;2010;465.0;24.0;-7.0;8.0;16.0;26.0;46.0;20.0;-9.0;8.0;13.0;18.0;24.0;43.0;73.0;16.0;48.0;89.0;189.0;85.0;19.0;49.0;95.0;184.0;2.0;-2.0;1.0;3.0;6.0;58.0;12.0;11.0;8.0;71.0;69428.0;43503.0;9.0;52.0;5.0;8.0;20.0;34.0;33.0;5.0;19.0;13.0;13.0;24.0;26.0;9.0;25.0;29.0;38.0;4.0;22.0;30.0;44.0;17.0;31.0;19.0;33.0;30.0;21.0;17.0;19.0;6.0;6.0
39;800028;2011;454.0;25.0;-12.0;8.0;15.0;26.0;45.0;21.0;-7.0;6.0;13.0;17.0;23.0;43.0;81.0;18.0;51.0;92.0;199.0;94.0;20.0;52.0;96.0;196.0;2.0;-2.0;1.0;3.0;6.0;61.0;11.0;12.0;7.0;72.0;69891.0;44119.0;8.0;52.0;5.0;8.0;19.0;32.0;36.0;5.0;15.0;10.0;14.0;26.0;29.0;12.0;22.0;27.0;39.0;6.0;19.0;31.0;44.0;17.0;28.0;27.0;28.0;24.0;23.0;18.0;21.0;8.0;7.0
40;426500;2007;48.0;17.0;-30.0;6.0;16.0;29.0;48.0;9.0;-9.0;4.0;11.0;17.0;23.0;43.0;128.0;0.0;46.0;102.0;195.0;123.0;0.0;45.0;98.0;185.0;-1.0;-3.0;1.0;3.0;8.0;60.0;9.0;10.0;6.0;72.0;68202.0;42334.0;;75.0;16.0;9.0;16.0;25.0;34.0;16.0;30.0;16.0;5.0;14.0;20.0;0.0;7.0;36.0;57.0;9.0;23.0;30.0;39.0;39.0;27.0;11.0;23.0;41.0;39.0;14.0;;;
41;426500;2008;45.0;20.0;-50.0;6.0;16.0;27.0;49.0;10.0;-17.0;4.0;12.0;17.0;23.0;46.0;114.0;0.0;62.0;89.0;191.0;128.0;0.0;55.0;98.0;186.0;0.0;-4.0;1.0;3.0;10.0;59.0;9.0;10.0;5.0;71.0;71416.0;44220.0;;72.0;9.0;7.0;11.0;27.0;45.0;9.0;30.0;16.0;16.0;9.0;20.0;0.0;9.0;45.0;45.0;5.0;11.0;32.0;52.0;23.0;34.0;16.0;27.0;30.0;45.0;18.0;;;
42;426500;2009;41.0;22.0;-7.0;7.0;16.0;29.0;53.0;11.0;-2.0;4.0;13.0;17.0;25.0;55.0;128.0;0.0;65.0;81.0;200.0;135.0;0.0;60.0;98.0;198.0;1.0;-2.0;1.0;3.0;11.0;56.0;9.0;9.0;7.0;70.0;75780.0;45904.0;;71.0;10.0;15.0;15.0;22.0;39.0;10.0;34.0;17.0;7.0;20.0;12.0;0.0;12.0;22.0;66.0;7.0;24.0;37.0;32.0;37.0;20.0;10.0;34.0;24.0;49.0;20.0;;;
43;426500;2010;42.0;26.0;-21.0;6.0;15.0;25.0;53.0;13.0;-8.0;4.0;12.0;17.0;26.0;48.0;127.0;25.0;66.0;103.0;199.0;132.0;21.0;50.0;78.0;197.0;1.0;-3.0;1.0;3.0;7.0;53.0;10.0;8.0;4.0;71.0;78381.0;49311.0;;72.0;10.0;7.0;5.0;29.0;50.0;10.0;29.0;19.0;14.0;14.0;14.0;2.0;10.0;24.0;64.0;2.0;5.0;29.0;64.0;29.0;19.0;21.0;31.0;24.0;40.0;29.0;;;
44;426500;2011;38.0;29.0;-13.0;8.0;15.0;26.0;54.0;13.0;-6.0;5.0;11.0;17.0;25.0;43.0;120.0;0.0;53.0;98.0;195.0;138.0;0.0;69.0;106.0;210.0;1.0;-2.0;1.0;3.0;7.0;55.0;10.0;7.0;5.0;70.0;80094.0;50053.0;;72.0;8.0;5.0;3.0;26.0;58.0;8.0;18.0;18.0;24.0;18.0;13.0;0.0;8.0;32.0;61.0;0.0;11.0;24.0;66.0;32.0;26.0;18.0;24.0;16.0;45.0;32.0;;;
45;426400;2007;41.0;24.0;;;;;;16.0;;;;;;;98.0;;;;;98.0;;;;;1.0;;;;;55.0;3.0;17.0;;71.0;72765.0;47177.0;;73.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46;426400;2008;40.0;22.0;;;;;;14.0;;;;;;;86.0;;;;;86.0;;;;;1.0;;;;;56.0;3.0;18.0;;73.0;75846.0;49881.0;;75.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
47;426400;2009;45.0;21.0;;;;;;14.0;;;;;;;98.0;;;;;98.0;;;;;2.0;;;;;60.0;3.0;18.0;;73.0;77983.0;50478.0;;76.0;;;;;;;;;;;;;;;;;;;;;;;;0.0;13.0;37.0;48.0;2.0;0.0
48;426400;2010;44.0;17.0;;;;;;12.0;;;;;;;100.0;;;;;100.0;;;;;0.0;;;;;67.0;4.0;16.0;;73.0;80600.0;53121.0;;76.0;;;;;;;;;;;;;;;;;;;;;;;;0.0;5.0;33.0;58.0;5.0;0.0
49;426400;2011;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50;427700;2007;16.0;23.0;;;;;;6.0;;;;;;;112.0;;;;;112.0;;;;;-1.0;;;;;21.0;2.0;4.0;;79.0;67611.0;48107.0;;84.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
51;427700;2008;16.0;23.0;;;;;;7.0;;;;;;;111.0;;;;;111.0;;;;;-1.0;;;;;19.0;2.0;4.0;;80.0;69072.0;50697.0;;84.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
52;427700;2009;16.0;24.0;;;;;;6.0;;;;;;;112.0;;;;;112.0;;;;;1.0;;;;;21.0;2.0;4.0;;80.0;73810.0;52558.0;;86.0;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;31.0;69.0;0.0;0.0
53;427700;2010;16.0;26.0;;;;;;6.0;;;;;;;117.0;;;;;117.0;;;;;0.0;;;;;24.0;2.0;3.0;;82.0;75375.0;56029.0;;85.0;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;31.0;63.0;0.0;0.0
54;427700;2011;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
