ID;CharacteristicsOfHouseholds;Periods;NetWorth_1;Total_2;CurrencyAndDeposits_3;DebtSecurities_4;Loans_5;EquityInvestmentFundSharesOrUnits_6;InsurancePensionAndGuaranteeSchemes_7;FinDerivativesEmployeeStockOptions_8;OtherAccountsReceivablePayable_9;Total_10;Loans_11;FinDerivativesEmployeeStockOptions_12;OtherLiabilities_13;Total_14;Dwellings_15;LandUnderlyingDwellings_16;OtherNonFinancialAssets_17;NetWorth_18;Total_19;CurrencyAndDeposits_20;DebtSecurities_21;Loans_22;EquityInvestmentFundSharesOrUnits_23;InsurancePensionAndGuaranteeSchemes_24;FinDerivativesEmployeeStockOptions_25;OtherAccountsReceivablePayable_26;Total_27;Loans_28;FinDerivativesEmployeeStockOptions_29;OtherLiabilities_30;Total_31;Dwellings_32;LandUnderlyingDwellings_33;OtherNonFinancialAssets_34;NetWorth_35;Total_36;CurrencyAndDeposits_37;DebtSecurities_38;Loans_39;EquityInvestmentFundSharesOrUnits_40;InsurancePensionAndGuaranteeSchemes_41;FinDerivativesEmployeeStockOptions_42;OtherAccountsReceivablePayable_43;Total_44;Loans_45;FinDerivativesEmployeeStockOptions_46;OtherLiabilities_47;Total_48;Dwellings_49;LandUnderlyingDwellings_50;OtherNonFinancialAssets_51;NetWorth_52;Total_53;CurrencyAndDeposits_54;DebtSecurities_55;Loans_56;EquityInvestmentFundSharesOrUnits_57;InsurancePensionAndGuaranteeSchemes_58;FinDerivativesEmployeeStockOptions_59;OtherAccountsReceivablePayable_60;Total_61;Loans_62;FinDerivativesEmployeeStockOptions_63;OtherLiabilities_64;Total_65;Dwellings_66;LandUnderlyingDwellings_67;OtherNonFinancialAssets_68
10;Disposable income: 1st 20%-group;2018;241446;204368;41268;738;831;32304;126198;19;3010;34774;32619;12;2143;71852;25601;30023;16228;148.9;126.0;25.5;0.5;0.5;19.9;77.8;0.0;1.9;21.4;20.1;0.0;1.3;44.3;15.8;18.5;10.0;116.3;98.4;19.9;0.4;0.4;15.6;60.8;0.0;1.4;16.7;15.7;0.0;1.0;34.6;12.3;14.5;7.8;100;84.6;17.1;0.3;0.3;13.4;52.3;0.0;1.2;14.4;13.5;0.0;0.9;29.8;10.6;12.4;6.7
11;Disposable income: 1st 20%-group;2019;257407;210355;44675;705;1192;32432;128535;18;2798;34768;32651;8;2109;81820;28468;35550;17802;157.5;128.7;27.3;0.4;0.7;19.8;78.6;0.0;1.7;21.3;20.0;0.0;1.3;50.1;17.4;21.8;10.9;123.7;101.1;21.5;0.3;0.6;15.6;61.8;0.0;1.3;16.7;15.7;0.0;1.0;39.3;13.7;17.1;8.6;100;81.7;17.4;0.3;0.5;12.6;49.9;0.0;1.1;13.5;12.7;0.0;0.8;31.8;11.1;13.8;6.9
12;Disposable income: 1st 20%-group;2020;264476;231621;45191;675;1286;36272;145994;14;2189;31017;29708;9;1300;63872;27390;34688;1794;160.2;140.3;27.4;0.4;0.8;22.0;88.4;0.0;1.3;18.8;18.0;0.0;0.8;38.7;16.6;21.0;1.1;128.5;112.5;22.0;0.3;0.6;17.6;70.9;0.0;1.1;15.1;14.4;0.0;0.6;31.0;13.3;16.9;0.9;100;87.6;17.1;0.3;0.5;13.7;55.2;0.0;0.8;11.7;11.2;0.0;0.5;24.2;10.4;13.1;0.7
13;Disposable income: 1st 20%-group;2021;306822;264770;49767;677;1850;40915;169148;12;2401;31525;30161;6;1358;73577;31097;40277;2203;184.8;159.5;30.0;0.4;1.1;24.6;101.9;0.0;1.4;19.0;18.2;0.0;0.8;44.3;18.7;24.3;1.3;147.9;127.6;24.0;0.3;0.9;19.7;81.5;0.0;1.2;15.2;14.5;0.0;0.7;35.5;15.0;19.4;1.1;100;86.3;16.2;0.2;0.6;13.3;55.1;0.0;0.8;10.3;9.8;0.0;0.4;24.0;10.1;13.1;0.7
14;Disposable income: 2nd 20%-group;2015;253562;204905;43896;309;1096;9032;145552;60;4960;60413;58052;27;2334;109070;57386;46367;5317;160.3;129.5;27.7;0.2;0.7;5.7;92.0;0.0;3.1;38.2;36.7;0.0;1.5;68.9;36.3;29.3;3.4;113.9;92.0;19.7;0.1;0.5;4.1;65.4;0.0;2.2;27.1;26.1;0.0;1.0;49.0;25.8;20.8;2.4;100;80.8;17.3;0.1;0.4;3.6;57.4;0.0;2.0;23.8;22.9;0.0;0.9;43.0;22.6;18.3;2.1
15;Disposable income: 2nd 20%-group;2016;275414;222653;46156;261;1154;12573;157424;60;5025;61886;59591;27;2268;114647;56589;51887;6171;172.7;139.6;28.9;0.2;0.7;7.9;98.7;0.0;3.2;38.8;37.4;0.0;1.4;71.9;35.5;32.5;3.9;122.3;98.9;20.5;0.1;0.5;5.6;69.9;0.0;2.2;27.5;26.5;0.0;1.0;50.9;25.1;23.0;2.7;100;80.8;16.8;0.1;0.4;4.6;57.2;0.0;1.8;22.5;21.6;0.0;0.8;41.6;20.5;18.8;2.2
16;Disposable income: 2nd 20%-group;2017;297383;229250;47174;237;1120;12613;163640;59;4407;59012;56885;26;2101;127145;56162;57654;13329;185.0;142.6;29.3;0.1;0.7;7.8;101.8;0.0;2.7;36.7;35.4;0.0;1.3;79.1;34.9;35.9;8.3;132.1;101.9;21.0;0.1;0.5;5.6;72.7;0.0;2.0;26.2;25.3;0.0;0.9;56.5;25.0;25.6;5.9;100;77.1;15.9;0.1;0.4;4.2;55.0;0.0;1.5;19.8;19.1;0.0;0.7;42.8;18.9;19.4;4.5
17;Disposable income: 2nd 20%-group;2018;320491;243538;49556;273;1077;14961;173274;39;4358;58765;56447;4;2314;135718;56279;66000;13439;197.7;150.2;30.6;0.2;0.7;9.2;106.9;0.0;2.7;36.2;34.8;0.0;1.4;83.7;34.7;40.7;8.3;141.8;107.8;21.9;0.1;0.5;6.6;76.7;0.0;1.9;26.0;25.0;0.0;1.0;60.1;24.9;29.2;5.9;100;76.0;15.5;0.1;0.3;4.7;54.1;0.0;1.4;18.3;17.6;0.0;0.7;42.3;17.6;20.6;4.2
18;Disposable income: 2nd 20%-group;2019;348166;251807;53635;252;1345;15190;176908;38;4439;59186;56877;3;2306;155545;62503;78052;14990;213.0;154.1;32.8;0.2;0.8;9.3;108.2;0.0;2.7;36.2;34.8;0.0;1.4;95.2;38.2;47.8;9.2;153.1;110.7;23.6;0.1;0.6;6.7;77.8;0.0;2.0;26.0;25.0;0.0;1.0;68.4;27.5;34.3;6.6;100;72.3;15.4;0.1;0.4;4.4;50.8;0.0;1.3;17.0;16.3;0.0;0.7;44.7;18.0;22.4;4.3
19;Disposable income: 2nd 20%-group;2020;406900;301020;58404;285;1455;18802;217684;37;4353;61326;59078;4;2244;167206;70128;88814;8264;246.4;182.3;35.4;0.2;0.9;11.4;131.8;0.0;2.6;37.1;35.8;0.0;1.4;101.3;42.5;53.8;5.0;175.9;130.1;25.2;0.1;0.6;8.1;94.1;0.0;1.9;26.5;25.5;0.0;1.0;72.3;30.3;38.4;3.6;100;74.0;14.4;0.1;0.4;4.6;53.5;0.0;1.1;15.1;14.5;0.0;0.6;41.1;17.2;21.8;2.0
20;Disposable income: 2nd 20%-group;2021;448090;325234;64570;257;1482;20673;233548;31;4673;63060;60802;2;2256;185916;77518;100402;7996;269.9;195.9;38.9;0.2;0.9;12.5;140.7;0.0;2.8;38.0;36.6;0.0;1.4;112.0;46.7;60.5;4.8;193.3;140.3;27.9;0.1;0.6;8.9;100.8;0.0;2.0;27.2;26.2;0.0;1.0;80.2;33.4;43.3;3.4;100;72.6;14.4;0.1;0.3;4.6;52.1;0.0;1.0;14.1;13.6;0.0;0.5;41.5;17.3;22.4;1.8
21;Disposable income: 3rd 20%-group;2015;460648;344042;64261;530;1596;23611;245755;126;8163;136365;132106;46;4213;252971;134037;108298;10636;291.2;217.5;40.6;0.3;1.0;14.9;155.3;0.1;5.2;86.2;83.5;0.0;2.7;159.9;84.7;68.5;6.7;184.2;137.6;25.7;0.2;0.6;9.4;98.3;0.1;3.3;54.5;52.8;0.0;1.7;101.2;53.6;43.3;4.3;100;74.7;14.0;0.1;0.3;5.1;53.3;0.0;1.8;29.6;28.7;0.0;0.9;54.9;29.1;23.5;2.3
22;Disposable income: 3rd 20%-group;2016;488965;365061;66232;427;1664;26360;262112;122;8144;138818;134648;44;4126;262722;131221;120318;11183;306.5;228.9;41.5;0.3;1.0;16.5;164.3;0.1;5.1;87.0;84.4;0.0;2.6;164.7;82.3;75.4;7.0;194.8;145.4;26.4;0.2;0.7;10.5;104.4;0.0;3.2;55.3;53.6;0.0;1.6;104.7;52.3;47.9;4.5;100;74.7;13.5;0.1;0.3;5.4;53.6;0.0;1.7;28.4;27.5;0.0;0.8;53.7;26.8;24.6;2.3
23;Disposable income: 3rd 20%-group;2017;521284;373793;67196;378;1642;23345;273976;123;7133;138611;134735;41;3835;286102;129742;133190;23170;324.2;232.5;41.8;0.2;1.0;14.5;170.4;0.1;4.4;86.2;83.8;0.0;2.4;177.9;80.7;82.8;14.4;206.4;148.0;26.6;0.1;0.7;9.2;108.5;0.0;2.8;54.9;53.4;0.0;1.5;113.3;51.4;52.7;9.2;100;71.7;12.9;0.1;0.3;4.5;52.6;0.0;1.4;26.6;25.8;0.0;0.7;54.9;24.9;25.6;4.4
24;Disposable income: 3rd 20%-group;2018;564029;395298;69773;414;1638;25842;290479;88;7064;139699;135512;7;4180;308430;131111;153758;23561;347.9;243.8;43.0;0.3;1.0;15.9;179.2;0.1;4.4;86.2;83.6;0.0;2.6;190.2;80.9;94.8;14.5;222.4;155.9;27.5;0.2;0.6;10.2;114.6;0.0;2.8;55.1;53.4;0.0;1.6;121.6;51.7;60.6;9.3;100;70.1;12.4;0.1;0.3;4.6;51.5;0.0;1.3;24.8;24.0;0.0;0.7;54.7;23.2;27.3;4.2
25;Disposable income: 3rd 20%-group;2019;610988;407823;73920;368;1879;25351;299093;88;7124;141651;137484;4;4163;344816;141717;176972;26127;373.8;249.5;45.2;0.2;1.1;15.5;183.0;0.1;4.4;86.7;84.1;0.0;2.5;211.0;86.7;108.3;16.0;239.0;159.5;28.9;0.1;0.7;9.9;117.0;0.0;2.8;55.4;53.8;0.0;1.6;134.9;55.4;69.2;10.2;100;66.7;12.1;0.1;0.3;4.1;49.0;0.0;1.2;23.2;22.5;0.0;0.7;56.4;23.2;29.0;4.3
26;Disposable income: 3rd 20%-group;2020;702617;478793;79847;406;1985;30900;358147;86;7422;145419;141062;5;4352;369243;154712;195938;18593;425.5;289.9;48.4;0.2;1.2;18.7;216.9;0.1;4.5;88.1;85.4;0.0;2.6;223.6;93.7;118.6;11.3;272.6;185.8;31.0;0.2;0.8;12.0;138.9;0.0;2.9;56.4;54.7;0.0;1.7;143.3;60.0;76.0;7.2;100;68.1;11.4;0.1;0.3;4.4;51.0;0.0;1.1;20.7;20.1;0.0;0.6;52.6;22.0;27.9;2.6
27;Disposable income: 3rd 20%-group;2021;774003;522619;88752;375;1990;31844;391733;70;7855;148198;143847;3;4348;399582;166438;215572;17572;466.2;314.8;53.5;0.2;1.2;19.2;235.9;0.0;4.7;89.3;86.6;0.0;2.6;240.7;100.2;129.8;10.6;299.9;202.5;34.4;0.1;0.8;12.3;151.8;0.0;3.0;57.4;55.7;0.0;1.7;154.8;64.5;83.5;6.8;100;67.5;11.5;0.0;0.3;4.1;50.6;0.0;1.0;19.1;18.6;0.0;0.6;51.6;21.5;27.9;2.3
28;Disposable income: 4th 20%-group;2015;643447;489155;85535;871;2103;31549;356549;197;12351;207249;200644;77;6528;361541;188983;152694;19864;406.7;309.2;54.1;0.6;1.3;19.9;225.4;0.1;7.8;131.0;126.8;0.0;4.1;228.5;119.5;96.5;12.6;250.4;190.4;33.3;0.3;0.8;12.3;138.8;0.1;4.8;80.7;78.1;0.0;2.5;140.7;73.6;59.4;7.7;100;76.0;13.3;0.1;0.3;4.9;55.4;0.0;1.9;32.2;31.2;0.0;1.0;56.2;29.4;23.7;3.1
29;Disposable income: 4th 20%-group;2016;675488;512472;86302;691;2169;37184;374164;190;11772;212001;205501;71;6429;375017;185459;170048;19510;423.5;321.3;54.1;0.4;1.4;23.3;234.6;0.1;7.4;132.9;128.8;0.0;4.0;235.1;116.3;106.6;12.2;261.6;198.5;33.4;0.3;0.8;14.4;144.9;0.1;4.6;82.1;79.6;0.0;2.5;145.2;71.8;65.9;7.6;100;75.9;12.8;0.1;0.3;5.5;55.4;0.0;1.7;31.4;30.4;0.0;1.0;55.5;27.5;25.2;2.9
30;Disposable income: 4th 20%-group;2017;724195;528275;86823;600;2112;38860;389296;192;10392;214579;208505;65;6009;410499;184594;189499;36406;450.4;328.6;54.0;0.4;1.3;24.2;242.1;0.1;6.5;133.5;129.7;0.0;3.7;255.3;114.8;117.9;22.6;277.6;202.5;33.3;0.2;0.8;14.9;149.2;0.1;4.0;82.3;79.9;0.0;2.3;157.4;70.8;72.6;14.0;100;72.9;12.0;0.1;0.3;5.4;53.8;0.0;1.4;29.6;28.8;0.0;0.8;56.7;25.5;26.2;5.0
31;Disposable income: 4th 20%-group;2018;789834;558073;90183;608;2188;42783;411897;135;10279;219078;212539;10;6529;450839;189802;222585;38452;487.1;344.2;55.6;0.4;1.3;26.4;254.0;0.1;6.3;135.1;131.1;0.0;4.0;278.1;117.1;137.3;23.7;299.5;211.6;34.2;0.2;0.8;16.2;156.2;0.1;3.9;83.1;80.6;0.0;2.5;170.9;72.0;84.4;14.6;100;70.7;11.4;0.1;0.3;5.4;52.1;0.0;1.3;27.7;26.9;0.0;0.8;57.1;24.0;28.2;4.9
32;Disposable income: 4th 20%-group;2019;844623;571294;93256;529;2311;42357;422439;135;10267;222065;215545;6;6514;495394;202153;252444;40797;516.8;349.5;57.1;0.3;1.4;25.9;258.5;0.1;6.3;135.9;131.9;0.0;4.0;303.1;123.7;154.5;25.0;317.7;214.9;35.1;0.2;0.9;15.9;158.9;0.1;3.9;83.5;81.1;0.0;2.4;186.3;76.0;94.9;15.3;100;67.6;11.0;0.1;0.3;5.0;50.0;0.0;1.2;26.3;25.5;0.0;0.8;58.7;23.9;29.9;4.8
33;Disposable income: 4th 20%-group;2020;961107;655842;100210;582;2344;49069;492128;136;11373;227737;220469;8;7260;533002;218480;276696;37826;582.0;397.1;60.7;0.4;1.4;29.7;298.0;0.1;6.9;137.9;133.5;0.0;4.4;322.8;132.3;167.6;22.9;357.1;243.7;37.2;0.2;0.9;18.2;182.8;0.1;4.2;84.6;81.9;0.0;2.7;198.0;81.2;102.8;14.1;100;68.2;10.4;0.1;0.2;5.1;51.2;0.0;1.2;23.7;22.9;0.0;0.8;55.5;22.7;28.8;3.9
34;Disposable income: 4th 20%-group;2021;1070310;727507;111812;537;2286;52598;548218;111;11945;232550;225263;5;7282;575353;234718;304010;36625;644.6;438.2;67.3;0.3;1.4;31.7;330.2;0.1;7.2;140.1;135.7;0.0;4.4;346.5;141.4;183.1;22.1;396.1;269.3;41.4;0.2;0.8;19.5;202.9;0.0;4.4;86.1;83.4;0.0;2.7;212.9;86.9;112.5;13.6;100;68.0;10.4;0.1;0.2;4.9;51.2;0.0;1.1;21.7;21.0;0.0;0.7;53.8;21.9;28.4;3.4
35;Disposable income: 5th 20%-group;2015;1326731;999288;171030;4963;4230;234487;556542;525;27511;354072;336050;430;17592;681515;279695;225984;175836;838.6;631.7;108.1;3.1;2.7;148.2;351.8;0.3;17.4;223.8;212.4;0.3;11.1;430.8;176.8;142.8;111.1;525.6;395.9;67.8;2.0;1.7;92.9;220.5;0.2;10.9;140.3;133.1;0.2;7.0;270.0;110.8;89.5;69.7;100;75.3;12.9;0.4;0.3;17.7;41.9;0.0;2.1;26.7;25.3;0.0;1.3;51.4;21.1;17.0;13.3
36;Disposable income: 5th 20%-group;2016;1366044;1019896;168978;3776;4166;233180;580101;528;29167;355152;336402;390;18360;701300;272927;250248;178125;856.3;639.4;105.9;2.4;2.6;146.2;363.7;0.3;18.3;222.6;210.9;0.2;11.5;439.6;171.1;156.9;111.7;535.4;399.7;66.2;1.5;1.6;91.4;227.4;0.2;11.4;139.2;131.8;0.2;7.2;274.9;107.0;98.1;69.8;100;74.7;12.4;0.3;0.3;17.1;42.5;0.0;2.1;26.0;24.6;0.0;1.3;51.3;20.0;18.3;13.0
37;Disposable income: 5th 20%-group;2017;1364036;1026302;169416;2952;3853;226733;593645;477;29226;359925;341401;323;18201;697659;275037;282347;140275;848.4;638.3;105.4;1.8;2.4;141.0;369.2;0.3;18.2;223.9;212.3;0.2;11.3;433.9;171.1;175.6;87.2;527.5;396.9;65.5;1.1;1.5;87.7;229.6;0.2;11.3;139.2;132.0;0.1;7.0;269.8;106.4;109.2;54.2;100;75.2;12.4;0.2;0.3;16.6;43.5;0.0;2.1;26.4;25.0;0.0;1.3;51.1;20.2;20.7;10.3
38;Disposable income: 5th 20%-group;2018;1454396;1064197;168491;2364;4203;254592;604561;221;29765;375217;356479;38;18700;765416;284415;333540;147461;897.0;656.3;103.9;1.5;2.6;157.0;372.9;0.1;18.4;231.4;219.9;0.0;11.5;472.1;175.4;205.7;90.9;554.8;406.0;64.3;0.9;1.6;97.1;230.6;0.1;11.4;143.1;136.0;0.0;7.1;292.0;108.5;127.2;56.3;100;73.2;11.6;0.2;0.3;17.5;41.6;0.0;2.0;25.8;24.5;0.0;1.3;52.6;19.6;22.9;10.1
39;Disposable income: 5th 20%-group;2019;1512172;1073698;163314;2097;3699;253742;620478;220;30148;382576;363587;24;18965;821050;299567;374092;147391;925.3;657.0;99.9;1.3;2.3;155.3;379.7;0.1;18.4;234.1;222.5;0.0;11.6;502.4;183.3;228.9;90.2;571.3;405.7;61.7;0.8;1.4;95.9;234.4;0.1;11.4;144.5;137.4;0.0;7.2;310.2;113.2;141.3;55.7;100;71.0;10.8;0.1;0.2;16.8;41.0;0.0;2.0;25.3;24.0;0.0;1.3;54.3;19.8;24.7;9.7
40;Disposable income: 5th 20%-group;2020;1679290;1151271;166547;1968;3488;260198;691213;214;27643;386689;366404;25;20260;914708;320153;405463;189092;1016.9;697.1;100.9;1.2;2.1;157.6;418.6;0.1;16.7;234.2;221.9;0.0;12.3;553.9;193.9;245.5;114.5;626.0;429.2;62.1;0.7;1.3;97.0;257.7;0.1;10.3;144.2;136.6;0.0;7.6;341.0;119.4;151.2;70.5;100;68.6;9.9;0.1;0.2;15.5;41.2;0.0;1.6;23.0;21.8;0.0;1.2;54.5;19.1;24.1;11.3
41;Disposable income: 5th 20%-group;2021;1847397;1251232;178890;1848;3273;271095;767307;178;28641;393421;372972;16;20433;989586;344476;446168;198942;1112.6;753.6;107.7;1.1;2.0;163.3;462.1;0.1;17.2;236.9;224.6;0.0;12.3;596.0;207.5;268.7;119.8;682.3;462.1;66.1;0.7;1.2;100.1;283.4;0.1;10.6;145.3;137.8;0.0;7.5;365.5;127.2;164.8;73.5;100;67.7;9.7;0.1;0.2;14.7;41.5;0.0;1.6;21.3;20.2;0.0;1.1;53.6;18.6;24.2;10.8
42;Type: Single man;2015;264403;210931;40716;846;945;29193;133819;104;5308;74560;71555;74;2931;128032;60824;49144;18064;195.4;155.9;30.1;0.6;0.7;21.6;98.9;0.1;3.9;55.1;52.9;0.1;2.2;94.6;45.0;36.3;13.3;195.4;155.9;30.1;0.6;0.7;21.6;98.9;0.1;3.9;55.1;52.9;0.1;2.2;94.6;45.0;36.3;13.3;100;79.8;15.4;0.3;0.4;11.0;50.6;0.0;2.0;28.2;27.1;0.0;1.1;48.4;23.0;18.6;6.8
43;Type: Single man;2016;280918;224171;41280;669;964;32649;143090;106;5413;75540;72483;69;2988;132287;60597;55561;16129;203.9;162.7;30.0;0.5;0.7;23.7;103.8;0.1;3.9;54.8;52.6;0.1;2.2;96.0;44.0;40.3;11.7;203.9;162.7;30.0;0.5;0.7;23.7;103.8;0.1;3.9;54.8;52.6;0.1;2.2;96.0;44.0;40.3;11.7;100;79.8;14.7;0.2;0.3;11.6;50.9;0.0;1.9;26.9;25.8;0.0;1.1;47.1;21.6;19.8;5.7
44;Type: Single man;2017;312127;241719;42089;593;930;37047;155963;104;4993;75661;72683;65;2913;146069;61525;63160;21384;221.2;171.3;29.8;0.4;0.7;26.3;110.5;0.1;3.5;53.6;51.5;0.0;2.1;103.5;43.6;44.8;15.2;221.2;171.3;29.8;0.4;0.7;26.3;110.5;0.1;3.5;53.6;51.5;0.0;2.1;103.5;43.6;44.8;15.2;100;77.4;13.5;0.2;0.3;11.9;50.0;0.0;1.6;24.2;23.3;0.0;0.9;46.8;19.7;20.2;6.9
