ID;TypeOfAppeal;Periods;AppealsPendingAtTheBegOfThePeriod_1;AppealsSubmitted_2;SimplifiedProcedure_3;ProtestsSubmitted_4;DroppedInadmissibleUnfounded_5;AdmittedProtests_6;DecisionsMade_7;CourtDecisions_8;AppealsPendingAtTheEndOfThePeriod_9
61;Disciplinary actions;1996 first six months;40;27;3;2;2;0;16;3;45
62;Disciplinary actions;1996 1st-3rd quarter;40;39;3;2;2;0;22;3;51
63;Disciplinary actions;1996 Total;40;47;6;4;2;0;27;6;50
64;Disciplinary actions;1997 1st  quarter;50;16;0;0;2;0;7;2;55
65;Disciplinary actions;1997 first six months;50;34;1;1;2;0;18;5;59
66;Disciplinary actions;1997 1st-3rd quarter;50;51;1;1;3;1;19;10;69
67;Disciplinary actions;1997 Total;50;63;1;1;3;1;26;10;74
68;Disciplinary actions;1998 1st  quarter;74;12;2;0;0;0;12;0;72
69;Disciplinary actions;1998 first six months;74;29;3;1;0;0;28;1;72
70;Disciplinary actions;1998 1st-3rd quarter;74;38;5;2;0;0;45;1;63
71;Disciplinary actions;1998 Total;74;55;5;2;1;0;48;4;73
72;Disciplinary actions;1999 1st  quarter;73;8;2;1;0;0;3;2;75
73;Disciplinary actions;1999 first six months;73;26;2;1;0;0;19;3;76
74;Disciplinary actions;1999 1st-3rd quarter;73;33;3;1;1;0;24;3;76
75;Disciplinary actions;1999 Total;73;43;5;2;3;0;37;6;67
76;Disciplinary actions;2000 1st  quarter;67;20;1;1;0;0;16;2;69
77;Disciplinary actions;2000 first six months;67;29;2;2;2;0;28;3;63
78;Disciplinary actions;2000 1st-3rd quarter;67;41;2;2;2;0;35;7;64
79;Disciplinary actions;2000 Total;67;50;4;3;3;0;50;7;56
80;Disciplinary actions;2001 1st  quarter;56;11;0;0;0;0;7;1;59
81;Disciplinary actions;2001 first six months;56;24;0;0;0;0;20;3;57
82;Disciplinary actions;2001 1st-3rd quarter;56;37;2;1;0;0;27;5;60
83;Disciplinary actions;2001 Total;56;53;2;1;0;0;37;6;65
84;Disciplinary actions;2002 1st quarter;65;14;2;0;0;0;20;0;57
85;Disciplinary actions;2002 first six months;65;33;2;0;0;0;38;1;57
86;Disciplinary actions;2002 1st-3rd quarter;65;60;2;0;0;0;60;4;59
87;Disciplinary actions;2002 Total;65;74;2;0;0;0;74;6;57
