ID;Omzetklassen;Perioden;Bedrijven_1;Bedrijfsopbrengsten_2;TotaalNettoOmzet_3;VerleendeDiensten_4;Handelsgoederen_5;OverigeOpbrengsten_6;TotaalBedrijfslasten_7;KostprijsVanDeOmzet_8;Personeelskosten_9;Afschrijvingen_10;OverigeBedrijfslasten_11;TotaalOverigeBedrijfslasten_12;Huisvestingskosten_13;InventarisEnMachinekosten_14;Autokosten_15;Verkoopkosten_16;AndereKosten_17;Bedrijfsresultaat_18;SaldoFinancieleResultaten_19;ResultaatVoorBelastingen_20;BrutoWinstmarge_21;OperationeleWinstmarge_22;WinstmargeVoorBelastingen_23;Investeringsquote_24;NettoOmzet_25;TotaalHandel_26;TotaalVerleendeDiensten_27;TotaalDranken_28;Gedistilleerd_29;BierAlcoholhoudend_30;BierAlcoholvrijArm_31;ZwakAlcoholischeDranken_32;KoffieEnThee_33;OverigeNietAlcoholischeDranken_34;Keuken_35;IJsEnSorbets_36;Logies_37;VerhuurZalenEnBanen_38;OverigeHorecaActiviteiten_39;OverigeDienstverlening_40;OntvangstenVoorUitleenEnSubsidie_41;TotaalPersoneelskosten_42;BrutoLonenEnSalarissen_43;SocialeLasten_44;Pensioenpremies_45;KostenUitzendkrachten_46;KostenIngeleendPersoneel_47;OverigePersoneelskosten_48;TotaalOverigeBedrijfslasten_49;TotaalHuisvestingskosten_50;BetaaldeHurenPachtenEDVanLeasing_51;OnroerendeZaakbelastingMilieuheffing_52;Energiekosten_53;ReparatieEnOnderhoudskosten_54;Verzekeringen_55;OverigeHuisvestingskosten_56;TotaalInventarisEnMachinekosten_57;BetaaldeHurenEnKostenVanOperLease_58;Onderhoudskosten_59;OverigeInventarisEnMachinekosten_60;TotaalAutokosten_61;BetaaldeHurenEnKostenVanOperLease_62;Brandstof_63;OverigeAutokosten_64;TotaalVerkoopkosten_65;ReclameEnAdvertentiekosten_66;ReisVerblijfsEnRepresentatiekosten_67;OverigeVerkoopkosten_68;TotaalAndereKosten_69;AccountantsEnAdviesdiensten_70;KantoorbenodigdhDrukwerkVakliteratuur_71;OverigeVerzekeringen_72;OverigeKostprijsverhogendeBelastingen_73;Communicatiekosten_74;Beheerskosten_75;OverigeAutomatiseringskosten_76;NogNietEerderGenoemdeBedrijfskosten_77;TotaalAantalWerkzamePersonen_78;WerknemersOpDeLoonlijst_79;WerknemersNietOpLoonlijst_80;OverigPersoneel_81;AantalVte_82;TotaalInvesteringen_83;TotaalMaterieleVasteActiva_84;Bedrijfsruimten_85;Vervoermiddelen_86;Computers_87;OverigeMachinesApparatenED_88;OverigeMaterieleVasteActiva_89;TotaalImmaterieleVasteActiva_90
10;250 000 tot 750 000 euro;1998;29.2;1182;1175;1174;0;7;1035;36.5;29.7;7.6;26.3;272;133;18;9;35;77;147;-21;126;67.9;10.5;10.6;4.0;1175;0.0;100.0;29.7;3.5;10.4;0.5;4.4;4.1;6.8;65.7;1.1;0.6;0.5;2.2;0.1;1.5;307;81.6;13.2;1.4;1.6;0.3;3.5;272;133;;;;;;;18;;;;9;;;;35;;;;77;;;;;;;;;364;85.9;12.0;2.2;186;47;97.1;15.6;14.3;1.6;36.0;29.6;2.9
11;250 000 tot 750 000 euro;1999;31.7;1294;1285;1280;4;9;1150;36.3;30.3;7.1;26.3;303;150;23;11;41;78;144;-26;118;67.5;9.0;9.2;8.5;1285;0.3;99.7;29.9;3.9;9.8;0.5;4.5;4.3;6.9;65.3;1.0;0.7;0.7;1.8;0.2;1.9;348;80.0;13.6;1.6;1.5;1.3;3.8;303;150;;;;;;;23;;;;11;;;;41;;;;78;;;;;;;;;413;87.3;10.5;2.2;201;111;95.0;30.6;11.2;0.9;29.3;22.9;5.0
12;750 000 tot 1 500 000 euro;1996;5.0;501;498;496;2;3;464;32.8;35.0;5.6;26.6;123;54;10;3;18;38;37;-5;32;69.5;5.8;6.4;2.1;498;0.4;99.6;29.3;4.4;7.4;0.5;5.1;5.0;6.8;65.4;1.4;0.8;0.4;2.4;0.0;1.5;162;84.8;10.1;1.3;1.3;0.6;3.3;123;54;53.0;2.5;20.2;8.6;3.0;12.7;10;20.1;42.1;37.8;3;9.3;20.6;70.1;18;35.7;11.0;53.4;38;18.7;7.3;7.8;1.7;5.7;31.7;0.5;26.4;146;95.9;2.2;1.9;90;11;88.1;9.9;13.2;1.3;46.2;17.5;11.9
13;750 000 tot 1 500 000 euro;1997;4.1;420;415;412;2;5;391;33.2;35.5;5.2;26.1;102;45;8;3;16;31;29;-6;23;68.7;5.3;5.6;1.7;415;0.6;99.4;31.2;3.0;8.5;0.5;6.9;5.1;7.3;62.5;1.5;1.3;0.4;2.5;0.0;1.4;138;84.3;9.2;1.7;2.1;1.2;2.9;102;45;45.0;2.8;21.9;16.4;4.0;9.8;8;16.6;50.1;33.3;3;23.7;20.9;55.3;16;31.3;10.5;58.2;31;18.4;7.2;6.8;0.1;6.4;33.0;0.4;27.6;118;94.4;1.8;3.9;70;7;98.0;18.3;11.6;2.1;38.4;27.5;2.0
14;750 000 tot 1 500 000 euro;1998;5.3;517;510;509;1;7;474;34.9;34.5;5.6;25.0;119;52;9;4;17;37;43;-8;35;67.6;6.5;6.8;3.3;510;0.2;99.8;30.0;2.7;7.8;0.5;6.4;5.6;7.1;65.8;0.9;0.8;0.3;2.0;0.0;1.3;164;80.5;12.9;1.9;2.4;0.5;3.2;119;52;;;;;;;9;;;;4;;;;17;;;;37;;;;;;;;;147;94.0;1.9;4.1;84;17;96.3;15.5;20.3;0.7;44.0;15.7;3.7
15;750 000 tot 1 500 000 euro;1999;6.0;613;608;608;1;5;551;34.9;35.7;5.8;23.6;130;53;11;4;24;39;62;-12;50;68.4;8.2;8.2;6.0;608;0.1;99.9;29.1;2.8;7.4;0.3;6.6;5.1;6.8;66.8;1.1;0.5;0.3;2.0;0.0;1.3;197;78.4;12.8;2.6;2.1;1.7;3.7;130;53;;;;;;;11;;;;4;;;;24;;;;39;;;;;;;;;172;84.7;3.3;12.0;90;37;92.4;21.2;15.5;2.9;32.4;20.4;7.6
16;1 500 000 euro en meer;1996;1.1;464;449;394;54;15;439;34.3;35.5;5.2;25.0;110;53;12;2;17;24;26;-8;18;66.5;3.7;3.9;3.9;449;12.1;87.9;28.1;1.8;4.7;0.4;3.7;8.8;8.7;50.7;1.1;2.3;1.8;3.5;0.4;1.3;156;79.7;7.6;1.7;6.3;1.8;4.2;110;53;57.7;3.0;14.7;9.2;1.2;14.1;12;20.8;47.1;32.1;2;36.4;15.4;48.1;17;38.3;6.5;55.1;24;12.6;9.8;6.7;0.5;7.9;28.7;1.8;32.0;132;94.1;0.3;5.5;71;18;98.7;39.6;5.4;2.2;21.1;30.4;1.3
17;1 500 000 euro en meer;1997;1.7;608;592;528;64;16;569;34.5;35.8;5.5;24.3;138;66;14;2;22;33;39;-9;30;66.9;4.8;4.9;4.5;592;10.8;89.2;29.9;2.0;5.3;0.3;3.6;9.2;9.5;51.5;1.1;1.9;1.5;2.9;0.4;1.7;204;77.8;7.2;1.7;8.3;1.6;5.0;138;66;55.4;2.7;15.5;9.8;1.6;14.9;14;22.1;38.2;39.7;2;29.0;18.0;53.0;22;37.1;6.9;55.9;33;21.5;8.0;6.2;0.5;7.3;30.7;1.9;23.9;158;92.4;0.1;7.5;89;27;95.0;22.1;2.7;2.4;11.4;56.5;5.0
18;1 500 000 euro en meer;1998;1.7;675;661;593;68;14;638;34.1;36.3;5.4;24.3;155;80;16;3;23;34;37;-4;33;67.1;4.1;4.9;5.4;661;10.3;89.7;29.8;2.0;5.5;0.3;3.9;8.7;9.4;51.8;1.1;2.2;1.8;2.3;0.6;1.8;231;74.4;11.2;1.7;7.4;2.1;5.1;155;80;;;;;;;16;;;;3;;;;23;;;;34;;;;;;;;;166;93.0;0.1;6.8;94;36;95.9;49.0;5.1;1.6;14.7;25.6;4.1
19;1 500 000 euro en meer;1999;1.5;662;652;581;71;10;629;34.2;36.6;5.2;23.9;150;81;14;2;20;33;33;-4;29;67.0;3.8;4.3;8.2;652;10.9;89.1;30.2;1.8;5.4;0.2;3.2;9.2;10.4;51.1;1.2;1.8;1.9;2.0;0.8;1.8;230;73.3;11.9;1.7;7.8;1.7;5.4;150;81;;;;;;;14;;;;2;;;;20;;;;33;;;;;;;;;163;95.8;0.4;3.8;91;54;92.4;34.6;2.3;2.1;34.8;18.6;7.6
