ID;Perioden;TotaalMisdrijven_1;WetboekVanStrafrechtTotaal_2;Geweldsmisdrijven_3;Vermogensmisdrijven_4;VernielingEnOpenbareOrde_5;WegenverkeerswetTotaal_6;WegenverkeerswetRijdenOnderInvloed_7;WegenverkeerswetDoorrijdenNaOngeval_8;OpgehelderdeMisdrijven_9;TotaalVerdachten_10;MannenVan18JaarOfOuder_11;VrouwenVan18JaarOfOuder_12;JongensJongerDan18Jaar_13;MeisjesJongerDan18Jaar_14;DoorHetOMSepot_15;DoorHetOMTransactie_16;DoorDeRechter_17;DoorHetOMTotaal_18;DoorHetOMSepot_19;DoorDeRechter_20;TotaalSchuldigverklaringen_21;WetboekVanStrafrechtTotaal_22;MisdrijvenTegenDeOpenbareOrde_23;MisdrijvenTegenHetOpenbaarGezag_24;MoordEnDoodslag_25;Mishandeling_26;Vernieling_27;SeksueleMisdrijven_28;Diefstal_29;Verduistering_30;Bedrog_31;Heling_32;TelegraafEnTelefoonwet_33;Vuurwapenwet_34;Opiumwet_35;WegenverkeerswetTotaal_36;WegenverkeerswetRijdenOnderInvloed_37;WegenverkeerswetDoorrijdenNaOngeval_38;WegensOvertredingen_39;OnvoorwaardelijkeGevangenisstraf_40;DeelsVoorwaardelijkeGevangenisstraf_41;VoorwaardelijkeGevangenisstraf_42;GeldboeteMetVoorwaardVrijheidsstraf_43;UitsluitendGeldboete_44;OpnemingenInStrafinrichtingen_45;BevolkingHuisVanBewaring_46;BevolkingGevangenis_47;BevolkingGecombineerdeInrichting_48;BevolkingRijkswerkinrichting_49;AantalIngeschrevenAdvocaten_50;GewoneRechtspraakInclMilitaire_51;AdministratieveRechtspraak_52;TotaalBegroteUitgaven_53;Rechtshandhaving_54;WetgevingRechtsplegingEnBijstand_55;Gevangeniswezen_56;TbrEnReclassering_57;BurgerrechtelijkOndertoezichtstelling_58;StrafrechtelijkOndertoezichtstelling_59;ToevertrouwingAanDeKinderbescherming_60;OntzettingOuderlijkeMachtOfVoogdij_61;OntheffingOuderlijkeMachtOfVoogdij_62;Adoptie_63;BurgerlijkeRechtspraak_64;TotaalGefailleerden_65;OndernemingenTotaal_66;LandbouwEnVisserij_67;Industrie_68;BouwnijverheidEnInstallatiebedrijven_69;Handel_70;TransportOpslagEnCommunicatie_71;OverigeWaaronderDienstverlening_72;TotaalUitgesprokenFaillissementen_73;BedrijvenEnInstellingenTotaal_74;LandEnBosbouwJachtEnVisserij_75;WinningVanDelfstoffenEnIndustrie_76;Bouwnijverheid_77;ReparatieConsumentenartEnHandel_78;Horeca_79;VervoerOpslagEnCommunicatie_80;FinInstVerhuurEnZakDienstverl_81;OnderwGezondhMilieuOvDienstVerl_82;TotaalBranden_83;BrandenWoonhuizen_84;BrandenMetOpgegevenSchadebedrag_85;SchadebedragTotaal_86;SchadebedragWoonhuizen_87
11;1939;;;;;;;;;;;;;;;;315.4;204.7;;;32.4;22476.0;21859.0;410.0;697.0;43.0;3383.0;808.0;1726.0;6149.0;1412.0;881.0;841.0;5.0;1.0;10.0;;;;520.7;5869.0;716.0;3004.0;1561.0;8778.0;24555.0;1273.0;2223.0;;1249.0;0.0;;;13.0;4.0;3.0;2.0;0.0;1948.0;552.0;828.0;1128.0;839.0;;;2058.0;1465.0;95.0;400.0;173.0;662.0;105.0;30.0;;;;;;;;;;;;;;;
12;1940;;;;;;;;;;;;;;;;347.8;167.8;;;31.4;21719.0;19913.0;273.0;594.0;25.0;2686.0;746.0;1211.0;7047.0;1220.0;572.0;1059.0;4.0;1.0;7.0;;;;518.5;5354.0;636.0;2591.0;1715.0;10894.0;17760.0;1234.0;1638.0;;1187.0;1914.0;;;13.0;4.0;3.0;2.0;0.0;1929.0;566.0;875.0;943.0;677.0;;;1146.0;787.0;63.0;188.0;134.0;332.0;57.0;13.0;;;;;;;;;;;;;;;
13;1941;;;;;;;;;;;;;;;;409.8;188.2;;;45.8;32097.0;28152.0;425.0;584.0;24.0;3348.0;825.0;992.0;12135.0;1323.0;506.0;1865.0;0.0;2.0;5.0;;;;589.6;11633.0;45.0;157.0;150.0;31317.0;19836.0;1668.0;1936.0;;1529.0;;;;18.0;8.0;3.0;2.0;0.0;2590.0;1044.0;1939.0;1468.0;1067.0;;;599.0;400.0;26.0;102.0;83.0;140.0;38.0;11.0;;;;;;;;;;;;;;;
14;1942;;;;;;;;;;;;;;;;438.6;151.7;;;49.0;43663.0;42619.0;367.0;419.0;21.0;3045.0;725.0;791.0;23795.0;1791.0;634.0;3506.0;0.0;0.0;14.0;;;;585.3;19946.0;;;;40080.0;24982.0;2355.0;3008.0;;1897.0;;;;43.0;25.0;3.0;3.0;0.0;3666.0;1090.0;2372.0;1917.0;1230.0;;;337.0;;;;;;;;;;;;;;;;;;;;;;
15;1943;;;;;;;;;;;;;;;;285.3;117.1;;;43.1;45314.0;44971.0;208.0;480.0;22.0;3052.0;647.0;764.0;23553.0;2138.0;645.0;3840.0;0.0;0.0;6.0;;;;394.2;21257.0;;;;35044.0;24021.0;2751.0;2869.0;;1618.0;;;;;;4.0;4.0;0.0;3568.0;1448.0;2603.0;1655.0;1050.0;;;262.0;;;;;;;;;;;;;;;;;;;;;;
16;1944;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;153.4;;;;;;16837.0;2515.0;2062.0;;1596.0;;;;;;5.0;4.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;1945;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;224.6;;;;;;17409.0;;;;;;;;;;3.0;2.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;1946;;;;;;;;;;;;;;;;385.8;136.8;;;39.1;37952.0;36339.0;201.0;539.0;44.0;2345.0;593.0;911.0;21953.0;1909.0;465.0;3398.0;5.0;17.0;5.0;;;;512.8;14323.0;1708.0;4699.0;6052.0;22653.0;20855.0;3205.0;2472.0;;1476.0;1704.0;;;93.0;16.0;5.0;5.0;0.0;4737.0;872.0;3927.0;1402.0;877.0;;;287.0;;;;;;;;;;;;;;;;;;7837.0;;3334.0;8.0;
19;1947;;;;;;;;;;;;;;;;482.9;228.2;;;39.2;37337.0;36650.0;323.0;841.0;57.0;2843.0;836.0;1391.0;18597.0;2675.0;830.0;3722.0;4.0;39.0;15.0;;;;693.2;15242.0;2214.0;5268.0;8825.0;25791.0;22836.0;3589.0;3374.0;;47.0;;;;82.0;21.0;5.0;6.0;0.0;4868.0;1291.0;3013.0;1666.0;1069.0;;;783.0;;;;;;;;;;;;;;;;;;10516.0;;4225.0;12.0;
20;1948;;;;;;;;;;;;;;;;501.6;312.1;;;39.6;37391.0;36814.0;413.0;1044.0;45.0;3770.0;1123.0;1825.0;16619.0;2831.0;956.0;3044.0;15.0;35.0;37.0;;;;788.4;13836.0;2082.0;5243.0;9310.0;26196.0;22653.0;3575.0;3664.0;;584.0;1753.0;1814.0;96.0;64.0;18.0;6.0;6.0;0.0;4910.0;1269.0;3060.0;1990.0;1654.0;;;1051.0;670.0;30.0;191.0;97.0;294.0;55.0;3.0;;;;;;;;;;;8951.0;;4130.0;15.0;
21;1949;98.0;;;;;;;;63.0;;;;;;51.7;474.1;316.8;;;35.4;32572.0;31941.0;376.0;963.0;51.0;4276.0;1166.0;2338.0;12378.0;2372.0;941.0;2430.0;27.0;49.0;35.0;;;;825.0;9648.0;1777.0;4265.0;6442.0;20631.0;21170.0;2877.0;2933.0;;930.0;;2788.0;137.0;63.0;18.0;7.0;9.0;1.0;5071.0;1107.0;2471.0;1846.0;1779.0;;;1539.0;1005.0;46.0;318.0;125.0;426.0;72.0;18.0;;;;;;;;;;;10301.0;;4395.0;12.0;
22;1950;96.0;93.0;13.0;61.0;9.0;;;;61.0;;;;;;52.8;470.1;315.7;;;34.1;31318.0;30802.0;467.0;1019.0;28.0;4336.0;1290.0;2663.0;10834.0;2241.0;931.0;1837.0;20.0;48.0;41.0;;;;824.0;7593.0;1647.0;3414.0;4561.0;15908.0;18360.0;2690.0;2448.0;;710.0;;2778.0;131.0;57.0;17.0;8.0;11.0;1.0;5570.0;942.0;1613.0;1201.0;1406.0;;;1782.0;1224.0;38.0;398.0;208.0;491.0;67.0;22.0;;;;;;;;;;;9925.0;5043.0;4315.0;14.0;1.0
23;1951;116.0;108.0;13.0;75.0;10.0;;;;74.0;;;;;;57.3;480.4;302.8;;;41.3;37920.0;33519.0;375.0;961.0;34.0;4264.0;1296.0;2604.0;13391.0;2398.0;927.0;2413.0;45.0;53.0;36.0;4026.0;3512.0;116.0;827.4;9424.0;2293.0;3485.0;5340.0;16990.0;19723.0;2985.0;2100.0;;486.0;;2419.0;119.0;61.0;19.0;8.0;11.0;1.0;5304.0;1082.0;1313.0;1028.0;1301.0;;;2106.0;1420.0;42.0;442.0;285.0;546.0;57.0;48.0;;;;;;;;;;;9534.0;5180.0;4050.0;18.0;1.0
24;1952;113.0;102.0;13.0;70.0;10.0;;4.0;;73.0;83.0;62.0;9.0;10.0;1.0;60.2;477.1;295.2;;;43.4;41784.0;35233.0;437.0;915.0;43.0;4894.0;1398.0;2670.0;13030.0;2532.0;1073.0;2378.0;;;;6218.0;5068.0;373.0;821.3;9014.0;2921.0;3737.0;6147.0;19366.0;20253.0;2900.0;1955.0;;621.0;1970.0;2208.0;88.0;63.0;20.0;8.0;10.0;1.0;5699.0;842.0;1670.0;1012.0;1303.0;;;1904.0;1330.0;28.0;412.0;209.0;585.0;48.0;48.0;;;;;;;;;;;10538.0;5636.0;4422.0;14.0;1.0
25;1953;107.0;96.0;13.0;65.0;9.0;;4.0;;71.0;83.0;61.0;9.0;11.0;1.0;62.7;455.5;283.6;;;38.5;35588.0;29483.0;498.0;868.0;43.0;4430.0;1258.0;2361.0;9812.0;2358.0;920.0;1664.0;48.0;28.0;11.0;5866.0;4544.0;517.0;792.2;7333.0;2527.0;3018.0;5357.0;17126.0;16273.0;2516.0;2103.0;;525.0;1993.0;2190.0;85.0;64.0;20.0;9.0;10.0;2.0;5333.0;577.0;1539.0;806.0;1126.0;;;1610.0;1160.0;34.0;294.0;175.0;564.0;51.0;42.0;;;;;;;;;;;10746.0;5372.0;4523.0;19.0;1.0
26;1954;102.0;91.0;12.0;61.0;9.0;;5.0;;68.0;80.0;57.0;9.0;11.0;1.0;54.1;445.6;263.2;;;37.8;33693.0;26860.0;416.0;842.0;39.0;4299.0;1230.0;2314.0;8624.0;2052.0;883.0;1353.0;111.0;26.0;14.0;6587.0;4869.0;698.0;756.5;6331.0;2307.0;2788.0;5378.0;16266.0;15458.0;1803.0;1687.0;;192.0;2006.0;2277.0;87.0;66.0;20.0;9.0;10.0;2.0;4964.0;596.0;1497.0;773.0;1233.0;;;1304.0;914.0;18.0;226.0;119.0;473.0;40.0;38.0;;;;;;;;;;;12594.0;6164.0;4849.0;21.0;1.0
27;1955;103.0;91.0;12.0;62.0;9.0;;5.0;;67.0;78.0;56.0;8.0;12.0;1.0;63.0;619.4;329.6;;;38.1;33954.0;26508.0;347.0;807.0;26.0;4371.0;1189.0;2389.0;9053.0;1890.0;651.0;1457.0;121.0;19.0;14.0;7195.0;5181.0;785.0;1000.1;6649.0;2340.0;2268.0;5867.0;16030.0;13842.0;1898.0;1326.0;;138.0;2014.0;2361.0;99.0;75.0;22.0;10.0;10.0;3.0;5670.0;652.0;1504.0;678.0;1229.0;;;1123.0;785.0;26.0;203.0;123.0;361.0;30.0;42.0;;;;;;;;;;;11764.0;6142.0;5120.0;15.0;1.0
28;1956;105.0;93.0;12.0;65.0;9.0;;6.0;;66.0;78.0;54.0;8.0;14.0;1.0;65.1;636.7;332.6;;;37.9;34154.0;25955.0;409.0;791.0;27.0;4077.0;1290.0;2462.0;9103.0;1998.0;606.0;1342.0;91.0;17.0;24.0;7973.0;5691.0;802.0;1029.4;6669.0;2861.0;2310.0;5990.0;15413.0;15255.0;2051.0;1387.0;;128.0;1997.0;2372.0;133.0;81.0;26.0;12.0;11.0;3.0;5434.0;538.0;1549.0;729.0;1134.0;;;1144.0;768.0;19.0;190.0;134.0;342.0;40.0;43.0;;;;;;;;;;;13370.0;6535.0;5484.0;21.0;2.0
29;1957;118.0;105.0;12.0;76.0;9.0;12.0;6.0;1.0;70.0;84.0;57.0;8.0;17.0;1.0;63.4;610.7;316.6;29.1;19.0;37.2;34755.0;26617.0;433.0;843.0;28.0;4292.0;1348.0;2368.0;9674.0;1911.0;616.0;1289.0;63.0;12.0;16.0;8013.0;5478.0;866.0;979.6;6192.0;2924.0;2175.0;5967.0;16354.0;14397.0;2106.0;1331.0;;127.0;1961.0;2488.0;131.0;83.0;25.0;13.0;11.0;4.0;5839.0;516.0;1800.0;691.0;1375.0;40.0;;1304.0;845.0;20.0;199.0;153.0;392.0;45.0;36.0;;;;;;;;;;;11248.0;5144.0;4986.0;25.0;1.0
30;1958;124.0;111.0;13.0;81.0;9.0;12.0;5.0;1.0;72.0;87.0;58.0;8.0;18.0;1.0;67.9;710.1;309.0;31.1;19.4;37.6;35555.0;27248.0;519.0;796.0;41.0;4289.0;1382.0;2398.0;10114.0;1863.0;661.0;1301.0;67.0;19.0;10.0;8154.0;5181.0;1144.0;1076.0;6490.0;3138.0;2401.0;5887.0;16295.0;15068.0;2218.0;1473.0;;112.0;1961.0;2542.0;123.0;92.0;27.0;15.0;12.0;4.0;5269.0;638.0;1749.0;674.0;1362.0;355.0;;1569.0;1096.0;34.0;304.0;208.0;442.0;62.0;46.0;;;;;;;;;;;10722.0;5197.0;4940.0;18.0;2.0
31;1959;125.0;111.0;13.0;79.0;11.0;12.0;5.0;2.0;73.0;87.0;58.0;8.0;18.0;1.0;67.4;734.0;342.9;31.2;20.4;37.0;34650.0;26543.0;498.0;840.0;35.0;4269.0;1326.0;2545.0;9575.0;1589.0;667.0;1169.0;80.0;14.0;14.0;7929.0;5034.0;1124.0;1179.0;6292.0;3576.0;2214.0;5776.0;15419.0;15605.0;2090.0;1652.0;;107.0;1958.0;2535.0;126.0;97.0;29.0;15.0;13.0;5.0;5277.0;666.0;1745.0;610.0;1339.0;461.0;;1594.0;1069.0;25.0;289.0;198.0;450.0;58.0;49.0;;;;;;;;;;;16117.0;5140.0;6497.0;29.0;2.0
32;1960;131.0;116.0;14.0;84.0;11.0;14.0;6.0;2.0;73.0;91.0;59.0;8.0;21.0;1.0;70.8;702.0;341.7;32.1;20.5;38.8;36564.0;27790.0;575.0;869.0;26.0;4724.0;1505.0;2565.0;9932.0;1753.0;633.0;1273.0;121.0;12.0;25.0;8708.0;5175.0;1343.0;1221.8;6395.0;3817.0;2364.0;6612.0;15933.0;16015.0;2118.0;1535.0;;100.0;1931.0;2538.0;128.0;102.0;29.0;15.0;14.0;5.0;5505.0;733.0;1756.0;711.0;1435.0;392.0;;1496.0;957.0;16.0;205.0;183.0;470.0;46.0;37.0;;;;;;;;;;;11701.0;4815.0;5110.0;24.0;2.0
33;1961;135.0;119.0;13.0;88.0;11.0;15.0;6.0;2.0;74.0;92.0;59.0;8.0;22.0;2.0;64.5;685.4;333.1;31.8;24.6;38.6;36345.0;27158.0;613.0;911.0;30.0;4433.0;1653.0;2532.0;10376.0;1647.0;545.0;1246.0;96.0;28.0;24.0;9162.0;5248.0;1597.0;1243.2;6411.0;3759.0;1883.0;6600.0;16599.0;15345.0;1717.0;1036.0;760.0;82.0;1964.0;2534.0;132.0;112.0;33.0;17.0;14.0;6.0;5272.0;713.0;1769.0;674.0;1396.0;418.0;;1356.0;915.0;29.0;207.0;185.0;428.0;35.0;31.0;;;;;;;;;;;11008.0;4579.0;5437.0;27.0;2.0
34;1962;145.0;127.0;12.0;97.0;12.0;17.0;6.0;3.0;78.0;82.0;54.0;7.0;19.0;1.0;68.3;627.5;314.6;31.9;24.1;37.9;35585.0;25987.0;586.0;736.0;30.0;3880.0;1762.0;2137.0;10914.0;1605.0;469.0;1180.0;47.0;25.0;20.0;9717.0;5458.0;1686.0;1389.2;6722.0;3854.0;1654.0;6466.0;15640.0;15783.0;1740.0;1095.0;622.0;82.0;1942.0;2584.0;132.0;124.0;38.0;19.0;15.0;6.0;4661.0;647.0;2043.0;740.0;1547.0;537.0;;1382.0;965.0;34.0;233.0;197.0;426.0;30.0;45.0;;;;;;;;;;;13350.0;5261.0;6103.0;34.0;3.0
35;1963;148.0;129.0;13.0;100.0;12.0;17.0;6.0;3.0;79.0;83.0;55.0;7.0;19.0;1.0;72.0;582.2;301.2;32.3;24.0;38.6;36619.0;26779.0;586.0;700.0;31.0;4120.0;1714.0;2250.0;11430.0;1589.0;440.0;1292.0;52.0;28.0;20.0;9906.0;5361.0;2006.0;1505.4;6689.0;3968.0;1719.0;6927.0;16217.0;15771.0;1708.0;981.0;753.0;79.0;1958.0;2584.0;132.0;142.0;44.0;20.0;15.0;8.0;4467.0;673.0;1869.0;632.0;1692.0;357.0;114.0;1400.0;897.0;45.0;191.0;162.0;363.0;47.0;89.0;;;;;;;;;;;13978.0;5196.0;6493.0;63.0;3.0
36;1964;161.0;140.0;14.0;109.0;12.0;19.0;7.0;4.0;84.0;88.0;58.0;7.0;20.0;1.0;75.9;635.7;308.0;35.9;26.0;42.5;39898.0;28894.0;618.0;825.0;41.0;4570.0;1934.0;2310.0;12464.0;1760.0;500.0;1296.0;44.0;23.0;25.0;11017.0;5852.0;2521.0;1771.2;7540.0;4209.0;1823.0;7634.0;17767.0;15933.0;1628.0;989.0;821.0;65.0;1923.0;2584.0;132.0;160.0;49.0;23.0;16.0;10.0;4525.0;649.0;2116.0;609.0;1724.0;373.0;117.0;1346.0;921.0;43.0;217.0;178.0;343.0;56.0;84.0;;;;;;;;;;;16195.0;4941.0;7089.0;68.0;4.0
37;1965;169.0;147.0;14.0;114.0;14.0;21.0;8.0;4.0;87.0;90.0;60.0;7.0;20.0;1.0;79.0;669.2;281.4;35.1;25.3;43.5;40096.0;28363.0;790.0;903.0;59.0;4197.0;1952.0;2200.0;12575.0;1678.0;419.0;1277.0;28.0;29.0;38.0;11819.0;6297.0;2803.0;1859.1;7705.0;4167.0;1794.0;7818.0;17570.0;16734.0;1539.0;966.0;756.0;51.0;1936.0;2625.0;130.0;191.0;59.0;28.0;18.0;12.0;4811.0;653.0;1848.0;542.0;1833.0;455.0;113.0;1432.0;954.0;31.0;207.0;221.0;362.0;48.0;85.0;;;;;;;;;;;14279.0;4441.0;6595.0;65.0;4.0
38;1966;184.0;157.0;14.0;123.0;15.0;25.0;7.0;5.0;88.0;92.0;63.0;7.0;19.0;1.0;83.0;680.1;254.5;38.7;26.7;46.3;41323.0;29244.0;852.0;860.0;65.0;4289.0;2214.0;2137.0;13197.0;1669.0;433.0;1187.0;38.0;19.0;48.0;12192.0;6170.0;3051.0;1863.5;8047.0;4146.0;1551.0;8063.0;18143.0;15331.0;1546.0;866.0;680.0;49.0;1941.0;2736.0;134.0;222.0;65.0;32.0;21.0;15.0;4787.0;697.0;2035.0;599.0;1752.0;661.0;116.0;1628.0;1096.0;55.0;238.0;265.0;390.0;53.0;95.0;;;;;;;;;;;13784.0;4162.0;6622.0;54.0;3.0
39;1967;196.0;166.0;15.0;131.0;15.0;29.0;8.0;5.0;93.0;97.0;67.0;8.0;20.0;1.0;75.7;714.5;268.9;42.5;29.6;47.7;43703.0;31108.0;757.0;816.0;57.0;4453.0;2348.0;2093.0;14510.0;1817.0;472.0;1435.0;36.0;17.0;153.0;12583.0;6423.0;3112.0;1865.3;8701.0;4427.0;1610.0;8070.0;19180.0;17813.0;1657.0;1098.0;759.0;54.0;1943.0;2777.0;138.0;247.0;69.0;36.0;23.0;17.0;4759.0;677.0;1944.0;458.0;1647.0;848.0;121.0;2068.0;1496.0;39.0;377.0;339.0;526.0;89.0;126.0;;;;;;;;;;;15659.0;4072.0;6850.0;78.0;4.0
