ID;AreasOfCivilEngineeringWorks;Periods;InputPriceIndex_1;ChangesComparedWithOneYearEarlier_2
177;"4211a Road construction; brick paving";1990 February;76.5;3.8
178;"4211a Road construction; brick paving";1990 August;77.7;3.5
179;"4211a Road construction; brick paving";1991 February;79.9;4.6
180;"4211a Road construction; brick paving";1991 August;80.1;3.2
181;"4211a Road construction; brick paving";1992 February;82.6;3.3
182;"4211a Road construction; brick paving";1992 August;83.6;4.4
183;"4211a Road construction; brick paving";1993 February;86.2;4.3
184;"4211a Road construction; brick paving";1993 August;86.5;3.4
185;"4211a Road construction; brick paving";1994 February;86.7;0.6
186;"4211a Road construction; brick paving";1994 August;87.2;0.8
187;"4211a Road construction; brick paving";1995 February;88.7;2.2
188;"4211a Road construction; brick paving";1995 August;89.2;2.4
189;"4211a Road construction; brick paving";1996 February;90.6;2.1
190;"4211a Road construction; brick paving";1996 August;91.2;2.2
191;"4211a Road construction; brick paving";1997 February;92.2;1.8
192;"4211a Road construction; brick paving";1997 August;93.0;1.9
193;"4211a Road construction; brick paving";1998 January;94.9;
194;"4211a Road construction; brick paving";1998 April;95.2;
195;"4211a Road construction; brick paving";1998 July;95.6;
196;"4211a Road construction; brick paving";1998 October;95.7;
197;"4211a Road construction; brick paving";1999 January;96.2;1.4
198;"4211a Road construction; brick paving";1999 April;96.8;1.6
199;"4211a Road construction; brick paving";1999 July;97.8;2.3
200;"4211a Road construction; brick paving";1999 October;97.9;2.4
201;"4211a Road construction; brick paving";2000 January;99.1;3.1
202;"4211a Road construction; brick paving";2000 April;99.6;2.9
203;"4211a Road construction; brick paving";2000 July;100.6;2.9
204;"4211a Road construction; brick paving";2000 October;100.7;2.8
205;"4211a Road construction; brick paving";2001 January;103.2;4.1
206;"4211a Road construction; brick paving";2001 April;105.3;5.7
207;"4211a Road construction; brick paving";2001 July;106.5;5.8
208;"4211a Road construction; brick paving";2001 October;106.6;5.9
209;"4211a Road construction; brick paving";2002 January;108.3;4.9
210;"4211a Road construction; brick paving";2002 April;109.1;3.6
211;"4211a Road construction; brick paving";2002 July;110.4;3.6
212;"4211a Road construction; brick paving";2002 October;110.3;3.5
213;"4211a Road construction; brick paving";2003 January;111.9;3.4
214;"4211a Road construction; brick paving";2003 April;111.1;1.9
215;"4211a Road construction; brick paving";2003 July;111.6;1.1
216;"4211a Road construction; brick paving";2003 October;111.9;1.4
217;"4211a Road construction; brick paving";2004 January;112.6;0.6
218;"4211a Road construction; brick paving";2004 April;112.0;0.8
219;"4211a Road construction; brick paving";2004 July;112.9;1.1
220;"4211a Road construction; brick paving";2004 October;113.1;1.0
221;"4211a Road construction; brick paving";2005 January;111.5;-1.0
222;"4211a Road construction; brick paving";2005 April;111.9;-0.1
223;"4211a Road construction; brick paving";2005 July;112.3;-0.5
224;"4211a Road construction; brick paving";2005 October;112.7;-0.3
225;"4211a Road construction; brick paving";2006 January;114.1;2.4
226;"4211a Road construction; brick paving";2006 April;114.1;2.0
227;"4211a Road construction; brick paving";2006 July;114.1;1.6
228;"4211a Road construction; brick paving";2006 October;113.8;1.0
229;"4211a Road construction; brick paving";2007 January;115.5;1.3
230;"4211a Road construction; brick paving";2007 April;116.4;2.0
231;"4211a Road construction; brick paving";2007 July;117.1;2.7
232;"4211a Road construction; brick paving";2007 October;117.4;3.1
233;"4211a Road construction; brick paving";2008 January;119.7;3.6
234;"4211a Road construction; brick paving";2008 April;120.8;3.8
235;"4211a Road construction; brick paving";2008 July;122.3;4.4
236;"4211a Road construction; brick paving";2008 October;122.3;4.1
237;"4211a Road construction; brick paving";2009 January;124.3;3.8
238;"4211a Road construction; brick paving";2009 April;124.4;2.9
239;"4211a Road construction; brick paving";2009 July;124.9;2.1
240;"4211a Road construction; brick paving";2009 October;125.2;2.4
241;"4211a Road construction; brick paving";2010 January;126.9;2.1
242;"4211a Road construction; brick paving";2010 April;126.7;1.9
243;"4211a Road construction; brick paving";2010 July;127.4;2.0
244;"4211a Road construction; brick paving";2010 October;127.0;1.4
245;"4211a Road construction; brick paving";2011 January;128.5;1.3
246;"4211a Road construction; brick paving";2011 April;129.4;2.1
247;"4211a Road construction; brick paving";2011 July;129.5;1.7
248;"4211a Road construction; brick paving";2011 October;129.8;2.2
249;"4211a Road construction; brick paving";2012 January;131.2;2.1
250;"4211a Road construction; brick paving";2012 April;132.1;2.1
251;"4211a Road construction; brick paving";2012 July;132.0;1.9
252;"4211a Road construction; brick paving";2012 October;133.1;2.6
253;"4211a Road construction; brick paving";2013 January;132.6;1.1
254;"4211a Road construction; brick paving";2013 April;132.6;0.4
255;"4211a Road construction; brick paving";2013 July;132.5;0.3
256;"4211a Road construction; brick paving";2013 October;132.2;-0.7
257;"4211a Road construction; brick paving";2014 January;133.6;0.7
258;"4211a Road construction; brick paving";2014 April;133.3;0.5
259;"4211a Road construction; brick paving";2014 July;133.3;0.6
260;"4211a Road construction; brick paving";2014 October;133.5;1.0
261;"4211a Road construction; brick paving";2015 January;131.5;-1.6
262;"4211a Road construction; brick paving";2015 April;132.1;-0.9
263;"4211a Road construction; brick paving";2015 July;133.0;-0.2
264;"4211a Road construction; brick paving";2015 October;132.5;-0.8
265;"4211a Road construction; brick paving";2016 January;132.0;0.4
266;"4211a Road construction; brick paving";2016 April;132.5;0.4
267;"4211a Road construction; brick paving";2016 July;134.4;1.0
268;"4211a Road construction; brick paving";2016 October;134.8;1.7
269;"4211a Road construction; brick paving";2017 January;135.1;2.3
270;"4211a Road construction; brick paving";2017 April;135.2;2.0
271;"4211a Road construction; brick paving";2017 July;134.8;0.3
272;"4211a Road construction; brick paving";2017 October;135.9;0.8
273;"4211a Road construction; brick paving";2018 January;137.7;2.0
274;"4211a Road construction; brick paving";2018 April;138.4;2.4
275;"4211a Road construction; brick paving";2018 July;140.0;3.9
276;"4211a Road construction; brick paving";2018 October;142.3;4.7
277;"4211a Road construction; brick paving";2019 January;142.2;3.3
278;"4211a Road construction; brick paving";2019 April;143.3;3.6
279;"4211a Road construction; brick paving";2019 July;145.0;3.5
280;"4211a Road construction; brick paving";2019 October;145.4;2.2
281;"4211a Road construction; brick paving";2020 January;150.5;5.8
282;"4211a Road construction; brick paving";2020 April;149.8;4.5
283;"4211a Road construction; brick paving";2020 July;151.1;4.2
284;"4211a Road construction; brick paving";2020 October;150.8;3.7
285;"4211a Road construction; brick paving";2021 January;151.6;0.7
286;"4211a Road construction; brick paving";2021 April;152.4;1.7
287;"4211a Road construction; brick paving";2021 July;153.4;1.5
288;"4211a Road construction; brick paving";2021 October;154.2;2.3
289;"4211a Road construction; brick paving";2022 January;160.2;5.7
290;"4211a Road construction; brick paving";2022 April;165.6;8.7
291;"4211a Road construction; brick paving";2022 July;169.3;10.3
292;"4211a Road construction; brick paving";2022 October;172.0;11.5
293;"4211a Road construction; brick paving";2023 January;177.3;10.6
294;"4211a Road construction; brick paving";2023 April;179.8;8.6
295;"4211a Road construction; brick paving";2023 July;181.9;7.5
296;"4211a Road construction; brick paving";2023 October;183.9;6.9
297;"4211a Road construction; brick paving";2024 January;186.2;5.1
298;"4211a Road construction; brick paving";2024 February;186.7;
299;"4211a Road construction; brick paving";2024 March;187.1;
300;"4211a Road construction; brick paving";2024 April;186.8;3.9
301;"4211a Road construction; brick paving";2024 May;186.2;
302;"4211a Road construction; brick paving";2024 June;185.8;
303;"4211a Road construction; brick paving";2024 July;189.1;3.9
304;"4211a Road construction; brick paving";2024 August;188.5;
305;"4211a Road construction; brick paving";2024 September;187.6;
306;"4211a Road construction; brick paving";2024 October;189.0;2.8
307;"4211a Road construction; brick paving";2024 November;189.3;
308;"4211a Road construction; brick paving";2024 December;189.0;
309;"4211a Road construction; brick paving";2025 January;190.9;2.5
310;"4211b Road construction; asphalt paving";1979 February;49.2;
311;"4211b Road construction; asphalt paving";1979 August;53.8;
312;"4211b Road construction; asphalt paving";1980 February;61.5;25.1
313;"4211b Road construction; asphalt paving";1980 August;63.5;18.0
314;"4211b Road construction; asphalt paving";1981 February;68.0;10.6
315;"4211b Road construction; asphalt paving";1981 August;71.5;12.7
316;"4211b Road construction; asphalt paving";1982 February;72.6;6.7
317;"4211b Road construction; asphalt paving";1982 August;72.0;0.7
318;"4211b Road construction; asphalt paving";1983 February;72.1;-0.7
319;"4211b Road construction; asphalt paving";1983 August;73.0;1.4
320;"4211b Road construction; asphalt paving";1984 February;74.2;2.9
321;"4211b Road construction; asphalt paving";1984 August;76.3;4.5
322;"4211b Road construction; asphalt paving";1985 February;80.1;8.0
323;"4211b Road construction; asphalt paving";1985 August;79.8;4.6
324;"4211b Road construction; asphalt paving";1986 February;76.6;-4.5
325;"4211b Road construction; asphalt paving";1986 August;69.5;-12.9
326;"4211b Road construction; asphalt paving";1987 February;68.2;-10.9
327;"4211b Road construction; asphalt paving";1987 August;69.3;-0.3
328;"4211b Road construction; asphalt paving";1988 February;68.4;0.2
329;"4211b Road construction; asphalt paving";1988 August;67.0;-3.4
330;"4211b Road construction; asphalt paving";1989 February;68.6;0.4
331;"4211b Road construction; asphalt paving";1989 August;72.5;8.2
332;"4211b Road construction; asphalt paving";1990 February;74.2;8.2
333;"4211b Road construction; asphalt paving";1990 August;76.6;5.7
334;"4211b Road construction; asphalt paving";1991 February;77.6;4.6
335;"4211b Road construction; asphalt paving";1991 August;76.4;-0.3
336;"4211b Road construction; asphalt paving";1992 February;77.7;0.1
337;"4211b Road construction; asphalt paving";1992 August;80.6;5.5
338;"4211b Road construction; asphalt paving";1993 February;82.4;6.0
339;"4211b Road construction; asphalt paving";1993 August;82.8;2.7
340;"4211b Road construction; asphalt paving";1994 February;83.4;1.2
341;"4211b Road construction; asphalt paving";1994 August;84.1;1.6
342;"4211b Road construction; asphalt paving";1995 February;85.8;2.9
343;"4211b Road construction; asphalt paving";1995 August;86.2;2.5
344;"4211b Road construction; asphalt paving";1996 February;87.2;1.7
345;"4211b Road construction; asphalt paving";1996 August;87.2;1.2
346;"4211b Road construction; asphalt paving";1997 February;88.7;1.6
347;"4211b Road construction; asphalt paving";1997 August;88.9;1.9
348;"4211b Road construction; asphalt paving";1998 January;90.4;
349;"4211b Road construction; asphalt paving";1998 April;90.8;
350;"4211b Road construction; asphalt paving";1998 July;91.1;
351;"4211b Road construction; asphalt paving";1998 October;91.1;
352;"4211b Road construction; asphalt paving";1999 January;91.3;1.1
353;"4211b Road construction; asphalt paving";1999 April;92.1;1.4
354;"4211b Road construction; asphalt paving";1999 July;93.7;2.8
355;"4211b Road construction; asphalt paving";1999 October;95.6;5.0
356;"4211b Road construction; asphalt paving";2000 January;97.8;7.1
357;"4211b Road construction; asphalt paving";2000 April;99.4;7.9
358;"4211b Road construction; asphalt paving";2000 July;100.4;7.1
359;"4211b Road construction; asphalt paving";2000 October;102.4;7.1
360;"4211b Road construction; asphalt paving";2001 January;102.9;5.2
361;"4211b Road construction; asphalt paving";2001 April;103.8;4.5
362;"4211b Road construction; asphalt paving";2001 July;104.5;4.1
363;"4211b Road construction; asphalt paving";2001 October;104.8;2.3
364;"4211b Road construction; asphalt paving";2002 January;105.7;2.7
365;"4211b Road construction; asphalt paving";2002 April;106.7;2.7
366;"4211b Road construction; asphalt paving";2002 July;106.2;1.6
367;"4211b Road construction; asphalt paving";2002 October;106.2;1.3
368;"4211b Road construction; asphalt paving";2003 January;108.2;2.4
369;"4211b Road construction; asphalt paving";2003 April;108.1;1.4
370;"4211b Road construction; asphalt paving";2003 July;108.3;2.0
371;"4211b Road construction; asphalt paving";2003 October;108.1;1.8
372;"4211b Road construction; asphalt paving";2004 January;108.7;0.5
373;"4211b Road construction; asphalt paving";2004 April;109.2;1.0
374;"4211b Road construction; asphalt paving";2004 July;110.8;2.3
375;"4211b Road construction; asphalt paving";2004 October;112.0;3.6
376;"4211b Road construction; asphalt paving";2005 January;108.2;-0.4
377;"4211b Road construction; asphalt paving";2005 April;109.3;0.1
378;"4211b Road construction; asphalt paving";2005 July;114.1;3.0
379;"4211b Road construction; asphalt paving";2005 October;122.7;9.5
380;"4211b Road construction; asphalt paving";2006 January;123.4;14.0
381;"4211b Road construction; asphalt paving";2006 April;131.0;19.8
382;"4211b Road construction; asphalt paving";2006 July;133.9;17.4
383;"4211b Road construction; asphalt paving";2006 October;131.4;7.1
384;"4211b Road construction; asphalt paving";2007 January;127.7;3.5
385;"4211b Road construction; asphalt paving";2007 April;130.3;-0.5
386;"4211b Road construction; asphalt paving";2007 July;137.9;3.0
387;"4211b Road construction; asphalt paving";2007 October;143.5;9.2
388;"4211b Road construction; asphalt paving";2008 January;154.6;21.0
389;"4211b Road construction; asphalt paving";2008 April;152.7;17.2
390;"4211b Road construction; asphalt paving";2008 July;170.9;23.9
391;"4211b Road construction; asphalt paving";2008 October;172.7;20.4
392;"4211b Road construction; asphalt paving";2009 January;138.7;-10.2
393;"4211b Road construction; asphalt paving";2009 April;136.7;-10.5
394;"4211b Road construction; asphalt paving";2009 July;146.0;-14.6
395;"4211b Road construction; asphalt paving";2009 October;149.0;-13.7
396;"4211b Road construction; asphalt paving";2010 January;149.7;7.9
397;"4211b Road construction; asphalt paving";2010 April;155.0;13.4
398;"4211b Road construction; asphalt paving";2010 July;156.6;7.3
399;"4211b Road construction; asphalt paving";2010 October;156.9;5.4
400;"4211b Road construction; asphalt paving";2011 January;159.9;6.8
401;"4211b Road construction; asphalt paving";2011 April;165.7;6.9
402;"4211b Road construction; asphalt paving";2011 July;166.1;6.1
403;"4211b Road construction; asphalt paving";2011 October;166.7;6.2
404;"4211b Road construction; asphalt paving";2012 January;169.5;6.0
405;"4211b Road construction; asphalt paving";2012 April;173.2;4.6
406;"4211b Road construction; asphalt paving";2012 July;173.9;4.7
407;"4211b Road construction; asphalt paving";2012 October;175.3;5.2
408;"4211b Road construction; asphalt paving";2013 January;175.0;3.3
409;"4211b Road construction; asphalt paving";2013 April;173.5;0.2
410;"4211b Road construction; asphalt paving";2013 July;173.5;-0.3
411;"4211b Road construction; asphalt paving";2013 October;173.4;-1.1
412;"4211b Road construction; asphalt paving";2014 January;173.4;-0.9
413;"4211b Road construction; asphalt paving";2014 April;173.0;-0.3
414;"4211b Road construction; asphalt paving";2014 July;173.1;-0.3
415;"4211b Road construction; asphalt paving";2014 October;172.0;-0.8
416;"4211b Road construction; asphalt paving";2015 January;161.7;-6.8
417;"4211b Road construction; asphalt paving";2015 April;163.4;-5.5
418;"4211b Road construction; asphalt paving";2015 July;164.4;-5.0
419;"4211b Road construction; asphalt paving";2015 October;159.1;-7.5
420;"4211b Road construction; asphalt paving";2016 January;152.5;-5.7
421;"4211b Road construction; asphalt paving";2016 April;154.0;-5.8
422;"4211b Road construction; asphalt paving";2016 July;160.4;-2.4
423;"4211b Road construction; asphalt paving";2016 October;162.0;1.8
424;"4211b Road construction; asphalt paving";2017 January;166.8;9.3
425;"4211b Road construction; asphalt paving";2017 April;165.5;7.5
426;"4211b Road construction; asphalt paving";2017 July;162.3;1.2
427;"4211b Road construction; asphalt paving";2017 October;164.7;1.7
428;"4211b Road construction; asphalt paving";2018 January;170.4;2.2
429;"4211b Road construction; asphalt paving";2018 April;165.9;0.2
430;"4211b Road construction; asphalt paving";2018 July;175.1;7.9
431;"4211b Road construction; asphalt paving";2018 October;179.4;8.9
432;"4211b Road construction; asphalt paving";2019 January;167.2;-1.9
433;"4211b Road construction; asphalt paving";2019 April;174.3;5.1
434;"4211b Road construction; asphalt paving";2019 July;178.0;1.7
435;"4211b Road construction; asphalt paving";2019 October;172.2;-4.0
436;"4211b Road construction; asphalt paving";2020 January;167.6;0.2
437;"4211b Road construction; asphalt paving";2020 April;152.0;-12.8
438;"4211b Road construction; asphalt paving";2020 July;161.2;-9.4
439;"4211b Road construction; asphalt paving";2020 October;158.1;-8.2
440;"4211b Road construction; asphalt paving";2021 January;158.7;-5.3
441;"4211b Road construction; asphalt paving";2021 April;172.6;13.5
442;"4211b Road construction; asphalt paving";2021 July;177.8;10.3
443;"4211b Road construction; asphalt paving";2021 October;184.3;16.6
444;"4211b Road construction; asphalt paving";2022 January;189.0;19.1
445;"4211b Road construction; asphalt paving";2022 April;242.6;40.6
446;"4211b Road construction; asphalt paving";2022 July;238.6;34.2
447;"4211b Road construction; asphalt paving";2022 October;216.4;17.4
448;"4211b Road construction; asphalt paving";2023 January;208.8;10.5
449;"4211b Road construction; asphalt paving";2023 April;207.3;-14.5
450;"4211b Road construction; asphalt paving";2023 July;215.3;-9.8
451;"4211b Road construction; asphalt paving";2023 October;237.9;10.0
452;"4211b Road construction; asphalt paving";2024 January;216.6;3.7
453;"4211b Road construction; asphalt paving";2024 February;217.3;
454;"4211b Road construction; asphalt paving";2024 March;219.2;
455;"4211b Road construction; asphalt paving";2024 April;220.1;6.2
456;"4211b Road construction; asphalt paving";2024 May;223.3;
457;"4211b Road construction; asphalt paving";2024 June;220.7;
458;"4211b Road construction; asphalt paving";2024 July;225.5;4.7
459;"4211b Road construction; asphalt paving";2024 August;225.8;
460;"4211b Road construction; asphalt paving";2024 September;217.3;
461;"4211b Road construction; asphalt paving";2024 October;212.1;-10.9
462;"4211b Road construction; asphalt paving";2024 November;221.2;
463;"4211b Road construction; asphalt paving";2024 December;216.8;
464;"4211b Road construction; asphalt paving";2025 January;218.1;0.7
465;4211c Road maintenance;1979 February;48.6;
466;4211c Road maintenance;1979 August;51.5;
467;4211c Road maintenance;1980 February;56.8;16.9
468;4211c Road maintenance;1980 August;58.4;13.3
469;4211c Road maintenance;1981 February;61.5;8.1
470;4211c Road maintenance;1981 August;62.4;6.9
471;4211c Road maintenance;1982 February;64.2;4.5
472;4211c Road maintenance;1982 August;64.9;4.0
473;4211c Road maintenance;1983 February;65.5;1.9
474;4211c Road maintenance;1983 August;66.3;2.2
475;4211c Road maintenance;1984 February;67.5;3.1
476;4211c Road maintenance;1984 August;68.3;3.0
477;4211c Road maintenance;1985 February;69.7;3.2
478;4211c Road maintenance;1985 August;70.4;3.0
479;4211c Road maintenance;1986 February;69.0;-1.0
480;4211c Road maintenance;1986 August;68.4;-2.8
481;4211c Road maintenance;1987 February;68.1;-1.3
482;4211c Road maintenance;1987 August;69.5;1.6
483;4211c Road maintenance;1988 February;69.6;2.3
484;4211c Road maintenance;1988 August;69.4;-0.1
485;4211c Road maintenance;1989 February;70.7;1.5
486;4211c Road maintenance;1989 August;72.9;5.0
487;4211c Road maintenance;1990 February;74.7;5.7
488;4211c Road maintenance;1990 August;76.7;5.1
489;4211c Road maintenance;1991 February;78.8;5.5
490;4211c Road maintenance;1991 August;78.6;2.5
491;4211c Road maintenance;1992 February;80.8;2.5
492;4211c Road maintenance;1992 August;82.2;4.5
493;4211c Road maintenance;1993 February;84.3;4.3
