ID;Bestedingspatroon;Reisduur;SoortCijfers;Perioden;TotaalInterneToeristischeBestedingen_1;TotaalBestedingenDoorNietIngezetenen_2;ZakelijkMotief_3;RecreatiefMotief_4;TotaalBestedingenDoorIngezetenen_5;TotaalBestemmingNederland_6;ZakelijkMotief_7;RecreatiefMotief_8;TotaalBestemmingBuitenland_9;ZakelijkMotief_10;RecreatiefMotief_11;DuurzameRecreatiegoederen_12;SocialeOverdrachten_13
16;Totaal interne toeristische bestedingen;Totaal eendaags en meerdaags;Lopende prijzen;2006;33973.0;6637;1231;5406;22870;18982;2709;16273;3888;588;3300;2752.0;1714.0
17;Totaal interne toeristische bestedingen;Totaal eendaags en meerdaags;Lopende prijzen;2007;35875.0;7034;1283;5751;24194;20018;2862;17156;4176;642;3534;2872.0;1775.0
18;Totaal interne toeristische bestedingen;Totaal eendaags en meerdaags;Lopende prijzen;2008;37085.0;7339;1336;6003;25028;20537;2977;17560;4491;689;3802;2883.0;1835.0
19;Totaal interne toeristische bestedingen;Totaal eendaags en meerdaags;Lopende prijzen;2009;35145.0;6965;1247;5718;23720;19650;2781;16869;4070;629;3441;2628.0;1832.0
20;Totaal interne toeristische bestedingen;Totaal eendaags en meerdaags;Lopende prijzen;2010;35983.0;7355;1285;6070;24218;20058;2865;17193;4160;643;3517;2549.0;1861.0
21;Totaal interne toeristische bestedingen;Totaal eendaags en meerdaags;Lopende prijzen;2011;37280.0;7747;1347;6400;25113;20746;2990;17756;4367;675;3692;2530.0;1890.0
22;Totaal interne toeristische bestedingen;Eendaags;Prijsniveau 2005;2001;;692;49;643;14906;14705;1690;13015;203;67;137;;
23;Totaal interne toeristische bestedingen;Eendaags;Prijsniveau 2005;2002;;689;48;641;14550;14348;1663;12685;203;68;136;;
24;Totaal interne toeristische bestedingen;Eendaags;Prijsniveau 2005;2003;;674;48;626;14130;13926;1622;12304;204;70;135;;
25;Totaal interne toeristische bestedingen;Eendaags;Prijsniveau 2005;2004;;649;48;601;14100;13900;1623;12277;200;69;132;;
26;Totaal interne toeristische bestedingen;Eendaags;Prijsniveau 2005;2005;;648;49;599;14412;14199;1693;12506;213;73;140;;
27;Totaal interne toeristische bestedingen;Eendaags;Prijsniveau 2005;2006;;664;53;611;14933;14712;1765;12947;221;76;145;;
28;Totaal interne toeristische bestedingen;Eendaags;Prijsniveau 2005;2007;;700;54;646;15359;15126;1826;13300;233;80;152;;
29;Totaal interne toeristische bestedingen;Eendaags;Prijsniveau 2005;2008;;709;55;654;15214;14977;1837;13140;237;83;153;;
30;Totaal interne toeristische bestedingen;Eendaags;Prijsniveau 2005;2009;;685;53;631;14501;14261;1739;12522;241;90;150;;
31;Totaal interne toeristische bestedingen;Eendaags;Prijsniveau 2005;2010;;723;54;668;14445;14185;1761;12424;262;103;158;;
32;Totaal interne toeristische bestedingen;Eendaags;Prijsniveau 2005;2011;;756;56;699;14617;14353;1786;12567;266;105;160;;
33;Totaal interne toeristische bestedingen;Eendaags;Lopende prijzen;2001;;634;49;585;13268;13075;1527;11548;193;64;129;;
34;Totaal interne toeristische bestedingen;Eendaags;Lopende prijzen;2002;;653;49;604;13579;13384;1553;11831;195;65;130;;
35;Totaal interne toeristische bestedingen;Eendaags;Lopende prijzen;2003;;654;49;605;13567;13369;1552;11817;198;67;131;;
36;Totaal interne toeristische bestedingen;Eendaags;Lopende prijzen;2004;;643;49;594;13800;13604;1582;12022;196;67;129;;
37;Totaal interne toeristische bestedingen;Eendaags;Lopende prijzen;2005;;648;49;599;14412;14199;1693;12506;213;73;140;;
38;Totaal interne toeristische bestedingen;Eendaags;Lopende prijzen;2006;;673;53;620;15224;14997;1804;13193;227;78;149;;
39;Totaal interne toeristische bestedingen;Eendaags;Lopende prijzen;2007;;721;56;665;16058;15817;1907;13910;241;82;159;;
40;Totaal interne toeristische bestedingen;Eendaags;Lopende prijzen;2008;;753;58;695;16481;16227;1998;14229;254;89;165;;
41;Totaal interne toeristische bestedingen;Eendaags;Lopende prijzen;2009;;728;56;672;15845;15593;1862;13731;252;93;159;;
42;Totaal interne toeristische bestedingen;Eendaags;Lopende prijzen;2010;;783;57;726;16208;15926;1934;13992;282;108;174;;
43;Totaal interne toeristische bestedingen;Eendaags;Lopende prijzen;2011;;827;60;767;16751;16455;2021;14434;296;115;181;;
44;Totaal interne toeristische bestedingen;Meerdaags;Prijsniveau 2005;2001;;5553;1139;4411;7032;3856;852;3005;3187;519;2665;;
45;Totaal interne toeristische bestedingen;Meerdaags;Prijsniveau 2005;2002;;5603;1134;4467;6990;3763;825;2939;3234;510;2722;;
46;Totaal interne toeristische bestedingen;Meerdaags;Prijsniveau 2005;2003;;5427;1078;4348;6926;3658;805;2853;3272;526;2743;;
47;Totaal interne toeristische bestedingen;Meerdaags;Prijsniveau 2005;2004;;5432;1086;4346;7122;3716;814;2902;3408;508;2899;;
48;Totaal interne toeristische bestedingen;Meerdaags;Prijsniveau 2005;2005;;5518;1110;4408;7285;3774;856;2918;3511;517;2994;;
49;Totaal interne toeristische bestedingen;Meerdaags;Prijsniveau 2005;2006;;5832;1150;4683;7462;3907;886;3022;3557;508;3050;;
50;Totaal interne toeristische bestedingen;Meerdaags;Prijsniveau 2005;2007;;6096;1182;4915;7843;3996;908;3089;3843;549;3295;;
51;Totaal interne toeristische bestedingen;Meerdaags;Prijsniveau 2005;2008;;6124;1182;4943;7902;3950;897;3055;3949;563;3388;;
52;Totaal interne toeristische bestedingen;Meerdaags;Prijsniveau 2005;2009;;5858;1119;4740;7431;3717;843;2876;3711;520;3193;;
53;Totaal interne toeristische bestedingen;Meerdaags;Prijsniveau 2005;2010;;6064;1134;4931;7440;3681;833;2850;3759;517;3244;;
54;Totaal interne toeristische bestedingen;Meerdaags;Prijsniveau 2005;2011;;6293;1169;5125;7604;3734;845;2891;3873;531;3344;;
55;Totaal interne toeristische bestedingen;Meerdaags;Lopende prijzen;2001;;5091;1060;4031;6526;3474;780;2694;3052;520;2532;;
56;Totaal interne toeristische bestedingen;Meerdaags;Lopende prijzen;2002;;5373;1113;4260;6805;3566;797;2769;3239;517;2722;;
57;Totaal interne toeristische bestedingen;Meerdaags;Lopende prijzen;2003;;5265;1060;4205;6749;3547;791;2756;3202;522;2680;;
58;Totaal interne toeristische bestedingen;Meerdaags;Lopende prijzen;2004;;5346;1070;4276;6967;3661;804;2857;3306;504;2802;;
59;Totaal interne toeristische bestedingen;Meerdaags;Lopende prijzen;2005;;5518;1110;4408;7285;3774;856;2918;3511;517;2994;;
60;Totaal interne toeristische bestedingen;Meerdaags;Lopende prijzen;2006;;5964;1178;4786;7646;3985;905;3080;3661;510;3151;;
61;Totaal interne toeristische bestedingen;Meerdaags;Lopende prijzen;2007;;6313;1227;5086;8136;4201;955;3246;3935;560;3375;;
62;Totaal interne toeristische bestedingen;Meerdaags;Lopende prijzen;2008;;6586;1278;5308;8547;4310;979;3331;4237;600;3637;;
63;Totaal interne toeristische bestedingen;Meerdaags;Lopende prijzen;2009;;6237;1191;5046;7875;4057;919;3138;3818;536;3282;;
64;Totaal interne toeristische bestedingen;Meerdaags;Lopende prijzen;2010;;6572;1228;5344;8010;4132;931;3201;3878;535;3343;;
65;Totaal interne toeristische bestedingen;Meerdaags;Lopende prijzen;2011;;6920;1287;5633;8362;4291;969;3322;4071;560;3511;;
66;Tot.Karakteristieke goederen en diensten;Totaal eendaags en meerdaags;Prijsniveau 2005;2001;21978.0;3092;873;2220;17186;14140;1603;12537;3078;525;2551;0.0;1703.0
67;Tot.Karakteristieke goederen en diensten;Totaal eendaags en meerdaags;Prijsniveau 2005;2002;21642.0;3126;873;2254;16817;13744;1555;12190;3097;517;2578;0.0;1701.0
68;Tot.Karakteristieke goederen en diensten;Totaal eendaags en meerdaags;Prijsniveau 2005;2003;21010.0;2985;820;2166;16382;13260;1491;11770;3136;535;2598;0.0;1645.0
69;Tot.Karakteristieke goederen en diensten;Totaal eendaags en meerdaags;Prijsniveau 2005;2004;21247.0;3044;833;2212;16593;13330;1512;11819;3268;516;2752;0.0;1611.0
70;Tot.Karakteristieke goederen en diensten;Totaal eendaags en meerdaags;Prijsniveau 2005;2005;21523.0;3108;855;2253;16797;13433;1552;11881;3364;525;2839;0.0;1618.0
71;Tot.Karakteristieke goederen en diensten;Totaal eendaags en meerdaags;Prijsniveau 2005;2006;22181.0;3274;883;2391;17246;13850;1598;12252;3400;516;2885;0.0;1659.0
72;Tot.Karakteristieke goederen en diensten;Totaal eendaags en meerdaags;Prijsniveau 2005;2007;22896.0;3372;900;2472;17860;14170;1637;12532;3680;559;3123;0.0;1690.0
73;Tot.Karakteristieke goederen en diensten;Totaal eendaags en meerdaags;Prijsniveau 2005;2008;22722.0;3364;896;2468;17692;13901;1614;12286;3784;575;3211;0.0;1692.0
74;Tot.Karakteristieke goederen en diensten;Totaal eendaags en meerdaags;Prijsniveau 2005;2009;21556.0;3172;842;2330;16750;13172;1514;11657;3571;543;3030;0.0;1660.0
75;Tot.Karakteristieke goederen en diensten;Totaal eendaags en meerdaags;Prijsniveau 2005;2010;21368.0;3150;834;2317;16584;12955;1492;11462;3629;551;3080;0.0;1659.0
76;Tot.Karakteristieke goederen en diensten;Totaal eendaags en meerdaags;Prijsniveau 2005;2011;21684.0;3210;851;2361;16839;13102;1517;11584;3742;568;3177;0.0;1660.0
77;Tot.Karakteristieke goederen en diensten;Totaal eendaags en meerdaags;Lopende prijzen;2001;19779.0;2853;814;2039;15424;12472;1428;11044;2952;526;2426;0.0;1502.0
78;Tot.Karakteristieke goederen en diensten;Totaal eendaags en meerdaags;Lopende prijzen;2002;20559.0;3056;864;2192;15939;12830;1466;11364;3109;524;2585;0.0;1564.0
79;Tot.Karakteristieke goederen en diensten;Totaal eendaags en meerdaags;Lopende prijzen;2003;20340.0;2922;810;2112;15840;12769;1446;11323;3071;530;2541;0.0;1578.0
80;Tot.Karakteristieke goederen en diensten;Totaal eendaags en meerdaags;Lopende prijzen;2004;20822.0;2991;820;2171;16264;13092;1489;11603;3172;512;2660;0.0;1567.0
81;Tot.Karakteristieke goederen en diensten;Totaal eendaags en meerdaags;Lopende prijzen;2005;21523.0;3108;855;2253;16797;13433;1552;11881;3364;525;2839;0.0;1618.0
82;Tot.Karakteristieke goederen en diensten;Totaal eendaags en meerdaags;Lopende prijzen;2006;22649.0;3351;905;2446;17595;14097;1629;12468;3498;517;2981;0.0;1703.0
83;Tot.Karakteristieke goederen en diensten;Totaal eendaags en meerdaags;Lopende prijzen;2007;23842.0;3492;934;2558;18586;14826;1711;13115;3760;566;3194;0.0;1764.0
84;Tot.Karakteristieke goederen en diensten;Totaal eendaags en meerdaags;Lopende prijzen;2008;24579.0;3640;972;2668;19115;15064;1757;13307;4051;608;3443;0.0;1824.0
85;Tot.Karakteristieke goederen en diensten;Totaal eendaags en meerdaags;Lopende prijzen;2009;23349.0;3364;894;2470;18164;14503;1644;12859;3661;554;3107;0.0;1821.0
86;Tot.Karakteristieke goederen en diensten;Totaal eendaags en meerdaags;Lopende prijzen;2010;23495.0;3385;897;2488;18260;14540;1647;12893;3720;562;3158;0.0;1850.0
87;Tot.Karakteristieke goederen en diensten;Totaal eendaags en meerdaags;Lopende prijzen;2011;24335.0;3524;936;2588;18932;15023;1713;13310;3909;590;3319;0.0;1879.0
88;Tot.Karakteristieke goederen en diensten;Eendaags;Prijsniveau 2005;2001;;230;32;198;11306;11237;893;10344;70;43;27;;
89;Tot.Karakteristieke goederen en diensten;Eendaags;Prijsniveau 2005;2002;;223;31;192;10995;10924;871;10053;71;44;27;;
90;Tot.Karakteristieke goederen en diensten;Eendaags;Prijsniveau 2005;2003;;215;31;184;10612;10540;828;9712;72;46;26;;
91;Tot.Karakteristieke goederen en diensten;Eendaags;Prijsniveau 2005;2004;;201;31;170;10615;10547;838;9709;69;45;24;;
92;Tot.Karakteristieke goederen en diensten;Eendaags;Prijsniveau 2005;2005;;197;31;166;10720;10649;847;9802;71;47;24;;
93;Tot.Karakteristieke goederen en diensten;Eendaags;Prijsniveau 2005;2006;;189;33;156;11056;10984;871;10113;72;49;23;;
94;Tot.Karakteristieke goederen en diensten;Eendaags;Prijsniveau 2005;2007;;194;34;160;11331;11253;895;10358;77;52;25;;
95;Tot.Karakteristieke goederen en diensten;Eendaags;Prijsniveau 2005;2008;;194;34;160;11127;11048;887;10161;78;55;23;;
96;Tot.Karakteristieke goederen en diensten;Eendaags;Prijsniveau 2005;2009;;184;32;152;10590;10502;834;9668;88;64;24;;
97;Tot.Karakteristieke goederen en diensten;Eendaags;Prijsniveau 2005;2010;;182;31;151;10448;10345;827;9518;105;77;28;;
98;Tot.Karakteristieke goederen en diensten;Eendaags;Prijsniveau 2005;2011;;185;31;154;10560;10455;843;9612;108;80;28;;
99;Tot.Karakteristieke goederen en diensten;Eendaags;Lopende prijzen;2001;;209;31;178;9949;9882;781;9101;67;41;26;;
100;Tot.Karakteristieke goederen en diensten;Eendaags;Lopende prijzen;2002;;213;31;182;10224;10156;803;9353;68;42;26;;
101;Tot.Karakteristieke goederen en diensten;Eendaags;Lopende prijzen;2003;;210;31;179;10192;10122;791;9331;70;44;26;;
102;Tot.Karakteristieke goederen en diensten;Eendaags;Lopende prijzen;2004;;199;31;168;10408;10340;821;9519;68;44;24;;
103;Tot.Karakteristieke goederen en diensten;Eendaags;Lopende prijzen;2005;;197;31;166;10720;10649;847;9802;71;47;24;;
104;Tot.Karakteristieke goederen en diensten;Eendaags;Lopende prijzen;2006;;191;33;158;11253;11180;888;10292;73;50;23;;
105;Tot.Karakteristieke goederen en diensten;Eendaags;Lopende prijzen;2007;;201;35;166;11836;11759;930;10829;77;52;25;;
106;Tot.Karakteristieke goederen en diensten;Eendaags;Lopende prijzen;2008;;208;36;172;12033;11952;963;10989;81;57;24;;
107;Tot.Karakteristieke goederen en diensten;Eendaags;Lopende prijzen;2009;;197;34;163;11656;11568;897;10671;88;63;25;;
108;Tot.Karakteristieke goederen en diensten;Eendaags;Lopende prijzen;2010;;198;34;164;11715;11610;901;10709;105;76;29;;
109;Tot.Karakteristieke goederen en diensten;Eendaags;Lopende prijzen;2011;;205;35;170;12093;11982;938;11044;111;81;30;;
110;Tot.Karakteristieke goederen en diensten;Meerdaags;Prijsniveau 2005;2001;;2863;840;2022;5897;2903;710;2192;3007;482;2524;;
111;Tot.Karakteristieke goederen en diensten;Meerdaags;Prijsniveau 2005;2002;;2903;841;2061;5836;2820;684;2136;3025;473;2551;;
112;Tot.Karakteristieke goederen en diensten;Meerdaags;Prijsniveau 2005;2003;;2770;788;1981;5779;2720;663;2057;3063;489;2572;;
113;Tot.Karakteristieke goederen en diensten;Meerdaags;Prijsniveau 2005;2004;;2843;801;2041;5979;2783;674;2109;3199;471;2728;;
114;Tot.Karakteristieke goederen en diensten;Meerdaags;Prijsniveau 2005;2005;;2911;824;2087;6077;2784;705;2079;3293;478;2815;;
115;Tot.Karakteristieke goederen en diensten;Meerdaags;Prijsniveau 2005;2006;;3084;850;2235;6192;2866;727;2139;3328;467;2862;;
116;Tot.Karakteristieke goederen en diensten;Meerdaags;Prijsniveau 2005;2007;;3176;866;2311;6525;2916;742;2174;3603;507;3098;;
117;Tot.Karakteristieke goederen en diensten;Meerdaags;Prijsniveau 2005;2008;;3168;862;2307;6562;2852;727;2125;3706;520;3188;;
118;Tot.Karakteristieke goederen en diensten;Meerdaags;Prijsniveau 2005;2009;;2986;810;2178;6157;2670;680;1989;3484;479;3006;;
119;Tot.Karakteristieke goederen en diensten;Meerdaags;Prijsniveau 2005;2010;;2966;802;2166;6134;2610;665;1944;3525;474;3052;;
120;Tot.Karakteristieke goederen en diensten;Meerdaags;Prijsniveau 2005;2011;;3024;819;2207;6279;2647;675;1972;3635;488;3149;;
121;Tot.Karakteristieke goederen en diensten;Meerdaags;Lopende prijzen;2001;;2644;783;1861;5475;2590;647;1943;2885;485;2400;;
122;Tot.Karakteristieke goederen en diensten;Meerdaags;Lopende prijzen;2002;;2843;833;2010;5715;2674;663;2011;3041;482;2559;;
123;Tot.Karakteristieke goederen en diensten;Meerdaags;Lopende prijzen;2003;;2712;779;1933;5648;2647;655;1992;3001;486;2515;;
124;Tot.Karakteristieke goederen en diensten;Meerdaags;Lopende prijzen;2004;;2792;789;2003;5856;2752;668;2084;3104;468;2636;;
125;Tot.Karakteristieke goederen en diensten;Meerdaags;Lopende prijzen;2005;;2911;824;2087;6077;2784;705;2079;3293;478;2815;;
126;Tot.Karakteristieke goederen en diensten;Meerdaags;Lopende prijzen;2006;;3160;872;2288;6342;2917;741;2176;3425;467;2958;;
127;Tot.Karakteristieke goederen en diensten;Meerdaags;Lopende prijzen;2007;;3291;899;2392;6750;3067;781;2286;3683;514;3169;;
128;Tot.Karakteristieke goederen en diensten;Meerdaags;Lopende prijzen;2008;;3432;936;2496;7082;3112;794;2318;3970;551;3419;;
129;Tot.Karakteristieke goederen en diensten;Meerdaags;Lopende prijzen;2009;;3167;860;2307;6508;2935;747;2188;3573;491;3082;;
130;Tot.Karakteristieke goederen en diensten;Meerdaags;Lopende prijzen;2010;;3187;863;2324;6545;2930;746;2184;3615;486;3129;;
131;Tot.Karakteristieke goederen en diensten;Meerdaags;Lopende prijzen;2011;;3319;901;2418;6839;3041;775;2266;3798;509;3289;;
132;Bestedingen totaal horeca;Totaal eendaags en meerdaags;Prijsniveau 2005;2001;12075.0;1762;593;1169;10313;10313;1196;9120;0;0;0;0.0;0.0
133;Bestedingen totaal horeca;Totaal eendaags en meerdaags;Prijsniveau 2005;2002;11613.0;1773;589;1185;9838;9838;1147;8693;0;0;0;0.0;0.0
134;Bestedingen totaal horeca;Totaal eendaags en meerdaags;Prijsniveau 2005;2003;11060.0;1671;550;1122;9388;9388;1108;8281;0;0;0;0.0;0.0
135;Bestedingen totaal horeca;Totaal eendaags en meerdaags;Prijsniveau 2005;2004;11032.0;1649;542;1107;9382;9382;1137;8246;0;0;0;0.0;0.0
136;Bestedingen totaal horeca;Totaal eendaags en meerdaags;Prijsniveau 2005;2005;11094.0;1641;544;1097;9453;9453;1169;8284;0;0;0;0.0;0.0
137;Bestedingen totaal horeca;Totaal eendaags en meerdaags;Prijsniveau 2005;2006;11383.0;1702;547;1155;9681;9681;1202;8478;0;0;0;0.0;0.0
138;Bestedingen totaal horeca;Totaal eendaags en meerdaags;Prijsniveau 2005;2007;11629.0;1760;557;1203;9868;9868;1230;8637;0;0;0;0.0;0.0
139;Bestedingen totaal horeca;Totaal eendaags en meerdaags;Prijsniveau 2005;2008;11268.0;1714;544;1171;9553;9553;1196;8356;0;0;0;0.0;0.0
140;Bestedingen totaal horeca;Totaal eendaags en meerdaags;Prijsniveau 2005;2009;10512.0;1600;508;1093;8911;8911;1117;7793;0;0;0;0.0;0.0
141;Bestedingen totaal horeca;Totaal eendaags en meerdaags;Prijsniveau 2005;2010;10254.0;1561;495;1067;8692;8692;1089;7602;0;0;0;0.0;0.0
142;Bestedingen totaal horeca;Totaal eendaags en meerdaags;Prijsniveau 2005;2011;10394.0;1582;502;1081;8811;8811;1103;7707;0;0;0;0.0;0.0
143;Bestedingen totaal horeca;Totaal eendaags en meerdaags;Lopende prijzen;2001;10655.0;1588;544;1044;9067;9067;1073;7994;0;0;0;0.0;0.0
144;Bestedingen totaal horeca;Totaal eendaags en meerdaags;Lopende prijzen;2002;10952.0;1708;576;1132;9244;9244;1099;8145;0;0;0;0.0;0.0
145;Bestedingen totaal horeca;Totaal eendaags en meerdaags;Lopende prijzen;2003;10703.0;1645;547;1098;9058;9058;1083;7975;0;0;0;0.0;0.0
146;Bestedingen totaal horeca;Totaal eendaags en meerdaags;Lopende prijzen;2004;10843.0;1630;537;1093;9213;9213;1120;8093;0;0;0;0.0;0.0
147;Bestedingen totaal horeca;Totaal eendaags en meerdaags;Lopende prijzen;2005;11094.0;1641;544;1097;9453;9453;1169;8284;0;0;0;0.0;0.0
148;Bestedingen totaal horeca;Totaal eendaags en meerdaags;Lopende prijzen;2006;11615.0;1736;559;1177;9879;9879;1227;8652;0;0;0;0.0;0.0
149;Bestedingen totaal horeca;Totaal eendaags en meerdaags;Lopende prijzen;2007;12247.0;1851;587;1264;10396;10396;1293;9103;0;0;0;0.0;0.0
150;Bestedingen totaal horeca;Totaal eendaags en meerdaags;Lopende prijzen;2008;12314.0;1871;595;1276;10443;10443;1304;9139;0;0;0;0.0;0.0
151;Bestedingen totaal horeca;Totaal eendaags en meerdaags;Lopende prijzen;2009;11768.0;1774;563;1211;9994;9994;1240;8754;0;0;0;0.0;0.0
152;Bestedingen totaal horeca;Totaal eendaags en meerdaags;Lopende prijzen;2010;11732.0;1769;561;1208;9963;9963;1236;8727;0;0;0;0.0;0.0
153;Bestedingen totaal horeca;Totaal eendaags en meerdaags;Lopende prijzen;2011;12182.0;1837;583;1254;10345;10345;1283;9062;0;0;0;0.0;0.0
154;Bestedingen totaal horeca;Eendaags;Prijsniveau 2005;2001;;160;25;136;7584;7584;518;7067;0;0;0;;
155;Bestedingen totaal horeca;Eendaags;Prijsniveau 2005;2002;;152;24;129;7195;7195;495;6701;0;0;0;;
156;Bestedingen totaal horeca;Eendaags;Prijsniveau 2005;2003;;145;24;122;6834;6834;476;6359;0;0;0;;
157;Bestedingen totaal horeca;Eendaags;Prijsniveau 2005;2004;;134;24;110;6771;6771;496;6275;0;0;0;;
158;Bestedingen totaal horeca;Eendaags;Prijsniveau 2005;2005;;129;24;105;6833;6833;498;6335;0;0;0;;
159;Bestedingen totaal horeca;Eendaags;Prijsniveau 2005;2006;;123;26;97;6989;6989;510;6478;0;0;0;;
160;Bestedingen totaal horeca;Eendaags;Prijsniveau 2005;2007;0.0;128;27;100;7122;7122;522;6598;0;0;0;;
161;Bestedingen totaal horeca;Eendaags;Prijsniveau 2005;2008;;126;27;98;6867;6867;503;6362;0;0;0;;
162;Bestedingen totaal horeca;Eendaags;Prijsniveau 2005;2009;;118;25;92;6401;6401;469;5931;0;0;0;;
163;Bestedingen totaal horeca;Eendaags;Prijsniveau 2005;2010;;115;24;90;6243;6243;457;5785;0;0;0;;
164;Bestedingen totaal horeca;Eendaags;Prijsniveau 2005;2011;;117;24;92;6328;6328;463;5864;0;0;0;;
165;Bestedingen totaal horeca;Eendaags;Lopende prijzen;2001;;141;24;117;6631;6631;456;6175;0;0;0;;
166;Bestedingen totaal horeca;Eendaags;Lopende prijzen;2002;;143;24;119;6730;6730;466;6264;0;0;0;;
167;Bestedingen totaal horeca;Eendaags;Lopende prijzen;2003;;140;24;116;6572;6572;459;6113;0;0;0;;
168;Bestedingen totaal horeca;Eendaags;Lopende prijzen;2004;;131;24;107;6629;6629;485;6144;0;0;0;;
169;Bestedingen totaal horeca;Eendaags;Lopende prijzen;2005;;129;24;105;6833;6833;498;6335;0;0;0;;
170;Bestedingen totaal horeca;Eendaags;Lopende prijzen;2006;;125;26;99;7135;7135;521;6614;0;0;0;;
171;Bestedingen totaal horeca;Eendaags;Lopende prijzen;2007;;134;28;106;7503;7503;547;6956;0;0;0;;
172;Bestedingen totaal horeca;Eendaags;Lopende prijzen;2008;;137;29;108;7508;7508;547;6961;0;0;0;;
173;Bestedingen totaal horeca;Eendaags;Lopende prijzen;2009;;132;28;104;7226;7226;526;6700;0;0;0;;
174;Bestedingen totaal horeca;Eendaags;Lopende prijzen;2010;;132;28;104;7203;7203;524;6679;0;0;0;;
175;Bestedingen totaal horeca;Eendaags;Lopende prijzen;2011;;137;29;108;7479;7479;544;6935;0;0;0;;
176;Bestedingen totaal horeca;Meerdaags;Prijsniveau 2005;2001;;1602;568;1035;2732;2732;678;2054;0;0;0;;
177;Bestedingen totaal horeca;Meerdaags;Prijsniveau 2005;2002;;1621;565;1057;2645;2645;652;1993;0;0;0;;
178;Bestedingen totaal horeca;Meerdaags;Prijsniveau 2005;2003;;1526;526;1001;2555;2555;632;1923;0;0;0;;
179;Bestedingen totaal horeca;Meerdaags;Prijsniveau 2005;2004;;1515;518;998;2611;2611;641;1970;0;0;0;;
180;Bestedingen totaal horeca;Meerdaags;Prijsniveau 2005;2005;;1512;520;992;2620;2620;671;1949;0;0;0;;
181;Bestedingen totaal horeca;Meerdaags;Prijsniveau 2005;2006;;1578;521;1058;2692;2692;692;2000;0;0;0;;
182;Bestedingen totaal horeca;Meerdaags;Prijsniveau 2005;2007;;1631;530;1103;2746;2746;707;2038;0;0;0;;
