ID;Leeftijdsklassen;Herkomst;Perioden;TotaalAdopties_1;AdoptiesViaDeRechtbanken_2;AdoptiesViaHetHaagsAdoptieverdrag_3
53;0 jaar;Kinderen uit Nederland;2000;21;21;0
54;0 jaar;Kinderen uit Nederland;2001;43;43;0
55;0 jaar;Kinderen uit Nederland;2002;26;26;0
56;0 jaar;Kinderen uit Nederland;2003;26;26;0
57;0 jaar;Kinderen uit Nederland;2004;71;71;0
58;0 jaar;Kinderen uit Nederland;2005;35;35;0
59;0 jaar;Kinderen uit Nederland;2006;29;29;0
60;0 jaar;Kinderen uit het buitenland;1995;338;338;0
61;0 jaar;Kinderen uit het buitenland;1996;334;334;0
62;0 jaar;Kinderen uit het buitenland;1997;343;343;0
63;0 jaar;Kinderen uit het buitenland;1998;267;267;0
64;0 jaar;Kinderen uit het buitenland;1999;398;299;99
65;0 jaar;Kinderen uit het buitenland;2000;440;345;95
66;0 jaar;Kinderen uit het buitenland;2001;496;382;114
67;0 jaar;Kinderen uit het buitenland;2002;508;397;111
68;0 jaar;Kinderen uit het buitenland;2003;361;296;65
69;0 jaar;Kinderen uit het buitenland;2004;433;349;84
70;0 jaar;Kinderen uit het buitenland;2005;386;308;78
71;0 jaar;Kinderen uit het buitenland;2006;276;214;62
72;1 jaar;Totaal kinderen;1995;113;113;0
73;1 jaar;Totaal kinderen;1996;108;108;0
74;1 jaar;Totaal kinderen;1997;145;145;0
75;1 jaar;Totaal kinderen;1998;134;134;0
76;1 jaar;Totaal kinderen;1999;243;197;46
77;1 jaar;Totaal kinderen;2000;259;203;56
78;1 jaar;Totaal kinderen;2001;305;236;69
79;1 jaar;Totaal kinderen;2002;299;248;51
80;1 jaar;Totaal kinderen;2003;366;315;51
81;1 jaar;Totaal kinderen;2004;429;379;50
82;1 jaar;Totaal kinderen;2005;563;509;54
83;1 jaar;Totaal kinderen;2006;296;249;47
84;1 jaar;Kinderen uit Nederland;1995;6;6;0
85;1 jaar;Kinderen uit Nederland;1996;3;3;0
86;1 jaar;Kinderen uit Nederland;1997;5;5;0
87;1 jaar;Kinderen uit Nederland;1998;5;5;0
88;1 jaar;Kinderen uit Nederland;1999;1;1;0
89;1 jaar;Kinderen uit Nederland;2000;1;1;0
90;1 jaar;Kinderen uit Nederland;2001;6;6;0
91;1 jaar;Kinderen uit Nederland;2002;3;3;0
92;1 jaar;Kinderen uit Nederland;2003;0;0;0
93;1 jaar;Kinderen uit Nederland;2004;1;1;0
94;1 jaar;Kinderen uit Nederland;2005;8;8;0
95;1 jaar;Kinderen uit Nederland;2006;2;2;0
96;1 jaar;Kinderen uit het buitenland;1995;107;107;0
97;1 jaar;Kinderen uit het buitenland;1996;105;105;0
98;1 jaar;Kinderen uit het buitenland;1997;140;140;0
99;1 jaar;Kinderen uit het buitenland;1998;129;129;0
100;1 jaar;Kinderen uit het buitenland;1999;242;196;46
101;1 jaar;Kinderen uit het buitenland;2000;258;202;56
102;1 jaar;Kinderen uit het buitenland;2001;299;230;69
103;1 jaar;Kinderen uit het buitenland;2002;296;245;51
104;1 jaar;Kinderen uit het buitenland;2003;366;315;51
105;1 jaar;Kinderen uit het buitenland;2004;428;378;50
106;1 jaar;Kinderen uit het buitenland;2005;555;501;54
107;1 jaar;Kinderen uit het buitenland;2006;294;247;47
108;2 jaar;Totaal kinderen;1995;77;77;0
109;2 jaar;Totaal kinderen;1996;65;65;0
110;2 jaar;Totaal kinderen;1997;77;77;0
111;2 jaar;Totaal kinderen;1998;76;76;0
112;2 jaar;Totaal kinderen;1999;143;96;47
113;2 jaar;Totaal kinderen;2000;184;120;64
114;2 jaar;Totaal kinderen;2001;143;103;40
115;2 jaar;Totaal kinderen;2002;136;102;34
116;2 jaar;Totaal kinderen;2003;159;108;51
117;2 jaar;Totaal kinderen;2004;214;172;42
118;2 jaar;Totaal kinderen;2005;237;200;37
119;2 jaar;Totaal kinderen;2006;165;123;42
120;2 jaar;Kinderen uit Nederland;1995;2;2;0
121;2 jaar;Kinderen uit Nederland;1996;1;1;0
122;2 jaar;Kinderen uit Nederland;1997;2;2;0
123;2 jaar;Kinderen uit Nederland;1998;6;6;0
124;2 jaar;Kinderen uit Nederland;1999;0;0;0
125;2 jaar;Kinderen uit Nederland;2000;0;0;0
126;2 jaar;Kinderen uit Nederland;2001;7;7;0
127;2 jaar;Kinderen uit Nederland;2002;2;2;0
128;2 jaar;Kinderen uit Nederland;2003;0;0;0
129;2 jaar;Kinderen uit Nederland;2004;2;2;0
130;2 jaar;Kinderen uit Nederland;2005;1;1;0
131;2 jaar;Kinderen uit Nederland;2006;1;1;0
132;2 jaar;Kinderen uit het buitenland;1995;75;75;0
133;2 jaar;Kinderen uit het buitenland;1996;64;64;0
134;2 jaar;Kinderen uit het buitenland;1997;75;75;0
135;2 jaar;Kinderen uit het buitenland;1998;70;70;0
136;2 jaar;Kinderen uit het buitenland;1999;143;96;47
137;2 jaar;Kinderen uit het buitenland;2000;184;120;64
138;2 jaar;Kinderen uit het buitenland;2001;136;96;40
139;2 jaar;Kinderen uit het buitenland;2002;134;100;34
140;2 jaar;Kinderen uit het buitenland;2003;159;108;51
141;2 jaar;Kinderen uit het buitenland;2004;212;170;42
142;2 jaar;Kinderen uit het buitenland;2005;236;199;37
143;2 jaar;Kinderen uit het buitenland;2006;164;122;42
144;3 en 4 jaar;Totaal kinderen;1995;88;88;0
145;3 en 4 jaar;Totaal kinderen;1996;97;97;0
146;3 en 4 jaar;Totaal kinderen;1997;96;96;0
147;3 en 4 jaar;Totaal kinderen;1998;101;101;0
148;3 en 4 jaar;Totaal kinderen;1999;133;81;52
149;3 en 4 jaar;Totaal kinderen;2000;167;109;58
150;3 en 4 jaar;Totaal kinderen;2001;138;107;31
151;3 en 4 jaar;Totaal kinderen;2002;114;63;51
152;3 en 4 jaar;Totaal kinderen;2003;112;65;47
153;3 en 4 jaar;Totaal kinderen;2004;152;104;48
154;3 en 4 jaar;Totaal kinderen;2005;165;110;55
155;3 en 4 jaar;Totaal kinderen;2006;130;85;45
156;3 en 4 jaar;Kinderen uit Nederland;1995;0;0;0
157;3 en 4 jaar;Kinderen uit Nederland;1996;3;3;0
158;3 en 4 jaar;Kinderen uit Nederland;1997;3;3;0
159;3 en 4 jaar;Kinderen uit Nederland;1998;0;0;0
160;3 en 4 jaar;Kinderen uit Nederland;1999;1;1;0
161;3 en 4 jaar;Kinderen uit Nederland;2000;0;0;0
162;3 en 4 jaar;Kinderen uit Nederland;2001;4;4;0
163;3 en 4 jaar;Kinderen uit Nederland;2002;0;0;0
164;3 en 4 jaar;Kinderen uit Nederland;2003;1;1;0
165;3 en 4 jaar;Kinderen uit Nederland;2004;1;1;0
166;3 en 4 jaar;Kinderen uit Nederland;2005;7;7;0
167;3 en 4 jaar;Kinderen uit Nederland;2006;2;2;0
168;3 en 4 jaar;Kinderen uit het buitenland;1995;88;88;0
169;3 en 4 jaar;Kinderen uit het buitenland;1996;94;94;0
170;3 en 4 jaar;Kinderen uit het buitenland;1997;93;93;0
171;3 en 4 jaar;Kinderen uit het buitenland;1998;101;101;0
172;3 en 4 jaar;Kinderen uit het buitenland;1999;132;80;52
173;3 en 4 jaar;Kinderen uit het buitenland;2000;167;109;58
174;3 en 4 jaar;Kinderen uit het buitenland;2001;134;103;31
175;3 en 4 jaar;Kinderen uit het buitenland;2002;114;63;51
176;3 en 4 jaar;Kinderen uit het buitenland;2003;111;64;47
177;3 en 4 jaar;Kinderen uit het buitenland;2004;151;103;48
178;3 en 4 jaar;Kinderen uit het buitenland;2005;158;103;55
179;3 en 4 jaar;Kinderen uit het buitenland;2006;128;83;45
180;5 jaar en ouder;Totaal kinderen;1995;49;49;0
181;5 jaar en ouder;Totaal kinderen;1996;43;43;0
182;5 jaar en ouder;Totaal kinderen;1997;51;51;0
183;5 jaar en ouder;Totaal kinderen;1998;62;62;0
184;5 jaar en ouder;Totaal kinderen;1999;94;66;28
185;5 jaar en ouder;Totaal kinderen;2000;99;62;37
186;5 jaar en ouder;Totaal kinderen;2001;70;53;17
187;5 jaar en ouder;Totaal kinderen;2002;51;33;18
188;5 jaar en ouder;Totaal kinderen;2003;75;52;23
189;5 jaar en ouder;Totaal kinderen;2004;82;41;41
190;5 jaar en ouder;Totaal kinderen;2005;88;43;45
191;5 jaar en ouder;Totaal kinderen;2006;98;63;35
192;5 jaar en ouder;Kinderen uit Nederland;1995;3;3;0
193;5 jaar en ouder;Kinderen uit Nederland;1996;2;2;0
194;5 jaar en ouder;Kinderen uit Nederland;1997;5;5;0
195;5 jaar en ouder;Kinderen uit Nederland;1998;1;1;0
196;5 jaar en ouder;Kinderen uit Nederland;1999;7;7;0
197;5 jaar en ouder;Kinderen uit Nederland;2000;1;1;0
198;5 jaar en ouder;Kinderen uit Nederland;2001;8;8;0
199;5 jaar en ouder;Kinderen uit Nederland;2002;3;3;0
200;5 jaar en ouder;Kinderen uit Nederland;2003;2;2;0
201;5 jaar en ouder;Kinderen uit Nederland;2004;1;1;0
202;5 jaar en ouder;Kinderen uit Nederland;2005;3;3;0
203;5 jaar en ouder;Kinderen uit Nederland;2006;8;8;0
204;5 jaar en ouder;Kinderen uit het buitenland;1995;46;46;0
205;5 jaar en ouder;Kinderen uit het buitenland;1996;41;41;0
206;5 jaar en ouder;Kinderen uit het buitenland;1997;46;46;0
207;5 jaar en ouder;Kinderen uit het buitenland;1998;61;61;0
208;5 jaar en ouder;Kinderen uit het buitenland;1999;87;59;28
209;5 jaar en ouder;Kinderen uit het buitenland;2000;98;61;37
210;5 jaar en ouder;Kinderen uit het buitenland;2001;62;45;17
211;5 jaar en ouder;Kinderen uit het buitenland;2002;48;30;18
212;5 jaar en ouder;Kinderen uit het buitenland;2003;73;50;23
213;5 jaar en ouder;Kinderen uit het buitenland;2004;81;40;41
214;5 jaar en ouder;Kinderen uit het buitenland;2005;85;40;45
215;5 jaar en ouder;Kinderen uit het buitenland;2006;90;55;35
