ID;Geslacht;Diplomasoort;Studierichting;Vooropleiding;Herkomstgroepering;Opleidingsvorm;Perioden;TotaalGediplomeerden_1;StudieduurInMaanden_2
123;Totaal mannen en vrouwen;Master;0;VWO;Allochtoon;Totaal opleidingsvorm;2010/'11;2971;80.0
124;Totaal mannen en vrouwen;Master;0;VWO;Allochtoon;Totaal opleidingsvorm;2011/'12;3406;79.0
125;Totaal mannen en vrouwen;Master;0;VWO;Allochtoon;Totaal opleidingsvorm;2012/'13;2850;77.0
126;Totaal mannen en vrouwen;Master;0;VWO;Allochtoon;Voltijd;1995/'96;2439;74.0
127;Totaal mannen en vrouwen;Master;0;VWO;Allochtoon;Voltijd;1996/'97;2275;74.0
128;Totaal mannen en vrouwen;Master;0;VWO;Allochtoon;Voltijd;1997/'98;1992;75.0
129;Totaal mannen en vrouwen;Master;0;VWO;Allochtoon;Voltijd;1998/'99;1940;75.0
130;Totaal mannen en vrouwen;Master;0;VWO;Allochtoon;Voltijd;1999/'00;1878;75.0
131;Totaal mannen en vrouwen;Master;0;VWO;Allochtoon;Voltijd;2000/'01;1875;75.0
132;Totaal mannen en vrouwen;Master;0;VWO;Allochtoon;Voltijd;2001/'02;1967;75.0
133;Totaal mannen en vrouwen;Master;0;VWO;Allochtoon;Voltijd;2002/'03;2036;75.0
134;Totaal mannen en vrouwen;Master;0;VWO;Allochtoon;Voltijd;2003/'04;2142;76.0
135;Totaal mannen en vrouwen;Master;0;VWO;Allochtoon;Voltijd;2004/'05;2374;76.0
136;Totaal mannen en vrouwen;Master;0;VWO;Allochtoon;Voltijd;2005/'06;2621;76.0
137;Totaal mannen en vrouwen;Master;0;VWO;Allochtoon;Voltijd;2006/'07;2792;79.0
138;Totaal mannen en vrouwen;Master;0;VWO;Allochtoon;Voltijd;2007/'08;2587;78.0
139;Totaal mannen en vrouwen;Master;0;VWO;Allochtoon;Voltijd;2008/'09;2681;77.0
140;Totaal mannen en vrouwen;Master;0;VWO;Allochtoon;Voltijd;2009/'10;2840;78.0
141;Totaal mannen en vrouwen;Master;0;VWO;Allochtoon;Voltijd;2010/'11;2880;79.0
142;Totaal mannen en vrouwen;Master;0;VWO;Allochtoon;Voltijd;2011/'12;3313;78.0
143;Totaal mannen en vrouwen;Master;0;VWO;Allochtoon;Voltijd;2012/'13;2800;77.0
144;Totaal mannen en vrouwen;Master;0;VWO;Allochtoon;Deeltijd;1995/'96;35;
145;Totaal mannen en vrouwen;Master;0;VWO;Allochtoon;Deeltijd;1996/'97;53;91.0
146;Totaal mannen en vrouwen;Master;0;VWO;Allochtoon;Deeltijd;1997/'98;85;89.0
147;Totaal mannen en vrouwen;Master;0;VWO;Allochtoon;Deeltijd;1998/'99;62;100.0
148;Totaal mannen en vrouwen;Master;0;VWO;Allochtoon;Deeltijd;1999/'00;80;96.0
149;Totaal mannen en vrouwen;Master;0;VWO;Allochtoon;Deeltijd;2000/'01;97;101.0
150;Totaal mannen en vrouwen;Master;0;VWO;Allochtoon;Deeltijd;2001/'02;125;103.0
151;Totaal mannen en vrouwen;Master;0;VWO;Allochtoon;Deeltijd;2002/'03;117;104.0
152;Totaal mannen en vrouwen;Master;0;VWO;Allochtoon;Deeltijd;2003/'04;127;106.0
153;Totaal mannen en vrouwen;Master;0;VWO;Allochtoon;Deeltijd;2004/'05;159;107.0
154;Totaal mannen en vrouwen;Master;0;VWO;Allochtoon;Deeltijd;2005/'06;134;111.0
155;Totaal mannen en vrouwen;Master;0;VWO;Allochtoon;Deeltijd;2006/'07;164;112.0
156;Totaal mannen en vrouwen;Master;0;VWO;Allochtoon;Deeltijd;2007/'08;121;118.0
157;Totaal mannen en vrouwen;Master;0;VWO;Allochtoon;Deeltijd;2008/'09;98;119.0
158;Totaal mannen en vrouwen;Master;0;VWO;Allochtoon;Deeltijd;2009/'10;108;117.0
159;Totaal mannen en vrouwen;Master;0;VWO;Allochtoon;Deeltijd;2010/'11;91;119.0
160;Totaal mannen en vrouwen;Master;0;VWO;Allochtoon;Deeltijd;2011/'12;93;113.0
161;Totaal mannen en vrouwen;Master;0;VWO;Allochtoon;Deeltijd;2012/'13;50;102.0
162;Totaal mannen en vrouwen;Master;0;VWO;Westerse allochtoon;Totaal opleidingsvorm;1995/'96;1788;75.0
163;Totaal mannen en vrouwen;Master;0;VWO;Westerse allochtoon;Totaal opleidingsvorm;1996/'97;1631;75.0
164;Totaal mannen en vrouwen;Master;0;VWO;Westerse allochtoon;Totaal opleidingsvorm;1997/'98;1413;76.0
165;Totaal mannen en vrouwen;Master;0;VWO;Westerse allochtoon;Totaal opleidingsvorm;1998/'99;1355;76.0
166;Totaal mannen en vrouwen;Master;0;VWO;Westerse allochtoon;Totaal opleidingsvorm;1999/'00;1288;76.0
167;Totaal mannen en vrouwen;Master;0;VWO;Westerse allochtoon;Totaal opleidingsvorm;2000/'01;1247;76.0
168;Totaal mannen en vrouwen;Master;0;VWO;Westerse allochtoon;Totaal opleidingsvorm;2001/'02;1309;76.0
169;Totaal mannen en vrouwen;Master;0;VWO;Westerse allochtoon;Totaal opleidingsvorm;2002/'03;1294;78.0
170;Totaal mannen en vrouwen;Master;0;VWO;Westerse allochtoon;Totaal opleidingsvorm;2003/'04;1289;78.0
171;Totaal mannen en vrouwen;Master;0;VWO;Westerse allochtoon;Totaal opleidingsvorm;2004/'05;1446;78.0
172;Totaal mannen en vrouwen;Master;0;VWO;Westerse allochtoon;Totaal opleidingsvorm;2005/'06;1499;79.0
173;Totaal mannen en vrouwen;Master;0;VWO;Westerse allochtoon;Totaal opleidingsvorm;2006/'07;1603;81.0
174;Totaal mannen en vrouwen;Master;0;VWO;Westerse allochtoon;Totaal opleidingsvorm;2007/'08;1445;79.0
175;Totaal mannen en vrouwen;Master;0;VWO;Westerse allochtoon;Totaal opleidingsvorm;2008/'09;1426;79.0
176;Totaal mannen en vrouwen;Master;0;VWO;Westerse allochtoon;Totaal opleidingsvorm;2009/'10;1442;80.0
177;Totaal mannen en vrouwen;Master;0;VWO;Westerse allochtoon;Totaal opleidingsvorm;2010/'11;1539;80.0
178;Totaal mannen en vrouwen;Master;0;VWO;Westerse allochtoon;Totaal opleidingsvorm;2011/'12;1715;80.0
179;Totaal mannen en vrouwen;Master;0;VWO;Westerse allochtoon;Totaal opleidingsvorm;2012/'13;1432;78.0
180;Totaal mannen en vrouwen;Master;0;VWO;Westerse allochtoon;Voltijd;1995/'96;1756;75.0
181;Totaal mannen en vrouwen;Master;0;VWO;Westerse allochtoon;Voltijd;1996/'97;1592;74.0
182;Totaal mannen en vrouwen;Master;0;VWO;Westerse allochtoon;Voltijd;1997/'98;1348;75.0
183;Totaal mannen en vrouwen;Master;0;VWO;Westerse allochtoon;Voltijd;1998/'99;1315;76.0
184;Totaal mannen en vrouwen;Master;0;VWO;Westerse allochtoon;Voltijd;1999/'00;1231;75.0
185;Totaal mannen en vrouwen;Master;0;VWO;Westerse allochtoon;Voltijd;2000/'01;1183;74.0
186;Totaal mannen en vrouwen;Master;0;VWO;Westerse allochtoon;Voltijd;2001/'02;1233;75.0
187;Totaal mannen en vrouwen;Master;0;VWO;Westerse allochtoon;Voltijd;2002/'03;1222;76.0
188;Totaal mannen en vrouwen;Master;0;VWO;Westerse allochtoon;Voltijd;2003/'04;1225;77.0
