ID;TypeOfEducation;IdeologicalBasisOfTheSchool;Schoolsize;Periods;SchoolsInstitutions_1;EnrolledPupilsStudents_2
69;Total primary schools;Total;Less than 101 pupils/students;2024/25;1146;80494
70;Total primary schools;Total;101 to 201 pupils/students;1990/91;4022;593352
71;Total primary schools;Total;101 to 201 pupils/students;1991/92;4047;595157
72;Total primary schools;Total;101 to 201 pupils/students;1992/93;3969;585976
73;Total primary schools;Total;101 to 201 pupils/students;1993/94;3713;549500
74;Total primary schools;Total;101 to 201 pupils/students;1994/95;3421;509463
75;Total primary schools;Total;101 to 201 pupils/students;1995/96;2925;439162
76;Total primary schools;Total;101 to 201 pupils/students;1996/97;2744;411296
77;Total primary schools;Total;101 to 201 pupils/students;1997/98;2642;396813
78;Total primary schools;Total;101 to 201 pupils/students;1998/99;2603;392332
79;Total primary schools;Total;101 to 201 pupils/students;1999/00;2546;384858
80;Total primary schools;Total;101 to 201 pupils/students;2000/01;2515;382881
81;Total primary schools;Total;101 to 201 pupils/students;2001/02;2519;382464
82;Total primary schools;Total;101 to 201 pupils/students;2002/03;2532;384064
83;Total primary schools;Total;101 to 201 pupils/students;2003/04;2552;386899
84;Total primary schools;Total;101 to 201 pupils/students;2004/05;2549;385774
85;Total primary schools;Total;101 to 201 pupils/students;2005/06;2515;380541
86;Total primary schools;Total;101 to 201 pupils/students;2006/07;2508;379883
87;Total primary schools;Total;101 to 201 pupils/students;2007/08;2500;377658
88;Total primary schools;Total;101 to 201 pupils/students;2008/09;2454;370638
89;Total primary schools;Total;101 to 201 pupils/students;2009/10;2438;368543
90;Total primary schools;Total;101 to 201 pupils/students;2010/11;2421;366466
91;Total primary schools;Total;101 to 201 pupils/students;2011/12;2443;369255
92;Total primary schools;Total;101 to 201 pupils/students;2012/13;2445;368906
93;Total primary schools;Total;101 to 201 pupils/students;2013/14;2423;365557
94;Total primary schools;Total;101 to 201 pupils/students;2014/15;2386;358641
95;Total primary schools;Total;101 to 201 pupils/students;2015/16;2309;346533
96;Total primary schools;Total;101 to 201 pupils/students;2016/17;2294;345134
97;Total primary schools;Total;101 to 201 pupils/students;2017/18;2307;347718
98;Total primary schools;Total;101 to 201 pupils/students;2018/19;2295;345671
99;Total primary schools;Total;101 to 201 pupils/students;2019/20;2261;340999
100;Total primary schools;Total;101 to 201 pupils/students;2020/21;2231;336562
101;Total primary schools;Total;101 to 201 pupils/students;2021/22;2242;337144
102;Total primary schools;Total;101 to 201 pupils/students;2022/23;2194;330835
103;Total primary schools;Total;101 to 201 pupils/students;2023/24;2198;332103
104;Total primary schools;Total;101 to 201 pupils/students;2024/25;2183;330645
105;Total primary schools;Total;201 to 501 pupils/students;1990/91;2719;739986
106;Total primary schools;Total;201 to 501 pupils/students;1991/92;2591;702172
107;Total primary schools;Total;201 to 501 pupils/students;1992/93;2637;717854
108;Total primary schools;Total;201 to 501 pupils/students;1993/94;2835;774853
109;Total primary schools;Total;201 to 501 pupils/students;1994/95;3063;846289
110;Total primary schools;Total;201 to 501 pupils/students;1995/96;3358;945271
111;Total primary schools;Total;201 to 501 pupils/students;1996/97;3480;991913
112;Total primary schools;Total;201 to 501 pupils/students;1997/98;3519;1013402
113;Total primary schools;Total;201 to 501 pupils/students;1998/99;3554;1028115
114;Total primary schools;Total;201 to 501 pupils/students;1999/00;3576;1039411
115;Total primary schools;Total;201 to 501 pupils/students;2000/01;3589;1048264
116;Total primary schools;Total;201 to 501 pupils/students;2001/02;3590;1049542
117;Total primary schools;Total;201 to 501 pupils/students;2002/03;3570;1048186
118;Total primary schools;Total;201 to 501 pupils/students;2003/04;3534;1041566
119;Total primary schools;Total;201 to 501 pupils/students;2004/05;3518;1040197
120;Total primary schools;Total;201 to 501 pupils/students;2005/06;3512;1038290
121;Total primary schools;Total;201 to 501 pupils/students;2006/07;3466;1024950
122;Total primary schools;Total;201 to 501 pupils/students;2007/08;3452;1021945
123;Total primary schools;Total;201 to 501 pupils/students;2008/09;3432;1017651
124;Total primary schools;Total;201 to 501 pupils/students;2009/10;3377;1005306
125;Total primary schools;Total;201 to 501 pupils/students;2010/11;3309;985638
126;Total primary schools;Total;201 to 501 pupils/students;2011/12;3224;956701
127;Total primary schools;Total;201 to 501 pupils/students;2012/13;3171;941257
128;Total primary schools;Total;201 to 501 pupils/students;2013/14;3111;926818
129;Total primary schools;Total;201 to 501 pupils/students;2014/15;3054;907784
130;Total primary schools;Total;201 to 501 pupils/students;2015/16;3030;902283
131;Total primary schools;Total;201 to 501 pupils/students;2016/17;2979;885795
132;Total primary schools;Total;201 to 501 pupils/students;2017/18;2925;874572
133;Total primary schools;Total;201 to 501 pupils/students;2018/19;2920;873597
134;Total primary schools;Total;201 to 501 pupils/students;2019/20;2921;875226
135;Total primary schools;Total;201 to 501 pupils/students;2020/21;2923;875137
136;Total primary schools;Total;201 to 501 pupils/students;2021/22;2911;870331
137;Total primary schools;Total;201 to 501 pupils/students;2022/23;2929;874250
138;Total primary schools;Total;201 to 501 pupils/students;2023/24;2943;878085
139;Total primary schools;Total;201 to 501 pupils/students;2024/25;2943;877906
140;Total primary schools;Total;501 to 1 001 pupils/students;1990/91;49;27691
141;Total primary schools;Total;501 to 1 001 pupils/students;1991/92;39;22211
142;Total primary schools;Total;501 to 1 001 pupils/students;1992/93;46;26212
143;Total primary schools;Total;501 to 1 001 pupils/students;1993/94;53;29969
144;Total primary schools;Total;501 to 1 001 pupils/students;1994/95;70;39892
145;Total primary schools;Total;501 to 1 001 pupils/students;1995/96;102;58777
146;Total primary schools;Total;501 to 1 001 pupils/students;1996/97;120;69727
147;Total primary schools;Total;501 to 1 001 pupils/students;1997/98;157;91887
148;Total primary schools;Total;501 to 1 001 pupils/students;1998/99;173;101083
149;Total primary schools;Total;501 to 1 001 pupils/students;1999/00;184;109518
150;Total primary schools;Total;501 to 1 001 pupils/students;2000/01;181;108064
151;Total primary schools;Total;501 to 1 001 pupils/students;2001/02;202;119738
152;Total primary schools;Total;501 to 1 001 pupils/students;2002/03;204;121713
153;Total primary schools;Total;501 to 1 001 pupils/students;2003/04;213;127585
154;Total primary schools;Total;501 to 1 001 pupils/students;2004/05;222;134037
155;Total primary schools;Total;501 to 1 001 pupils/students;2005/06;234;141816
156;Total primary schools;Total;501 to 1 001 pupils/students;2006/07;256;154890
157;Total primary schools;Total;501 to 1 001 pupils/students;2007/08;274;167292
158;Total primary schools;Total;501 to 1 001 pupils/students;2008/09;287;176347
159;Total primary schools;Total;501 to 1 001 pupils/students;2009/10;293;180624
160;Total primary schools;Total;501 to 1 001 pupils/students;2010/11;302;187907
161;Total primary schools;Total;501 to 1 001 pupils/students;2011/12;318;196579
162;Total primary schools;Total;501 to 1 001 pupils/students;2012/13;309;192376
163;Total primary schools;Total;501 to 1 001 pupils/students;2013/14;299;185655
164;Total primary schools;Total;501 to 1 001 pupils/students;2014/15;307;190161
165;Total primary schools;Total;501 to 1 001 pupils/students;2015/16;297;185248
166;Total primary schools;Total;501 to 1 001 pupils/students;2016/17;301;187358
167;Total primary schools;Total;501 to 1 001 pupils/students;2017/18;298;185973
168;Total primary schools;Total;501 to 1 001 pupils/students;2018/19;296;185013
169;Total primary schools;Total;501 to 1 001 pupils/students;2019/20;289;180393
170;Total primary schools;Total;501 to 1 001 pupils/students;2020/21;283;177155
171;Total primary schools;Total;501 to 1 001 pupils/students;2021/22;271;168857
172;Total primary schools;Total;501 to 1 001 pupils/students;2022/23;274;171251
173;Total primary schools;Total;501 to 1 001 pupils/students;2023/24;254;157715
174;Total primary schools;Total;501 to 1 001 pupils/students;2024/25;250;154575
175;Total primary schools;Total;1 001 to 2 001 pupils/students;1990/91;0;0
176;Total primary schools;Total;1 001 to 2 001 pupils/students;1991/92;0;0
177;Total primary schools;Total;1 001 to 2 001 pupils/students;1992/93;0;0
178;Total primary schools;Total;1 001 to 2 001 pupils/students;1993/94;0;0
179;Total primary schools;Total;1 001 to 2 001 pupils/students;1994/95;0;0
180;Total primary schools;Total;1 001 to 2 001 pupils/students;1995/96;0;0
181;Total primary schools;Total;1 001 to 2 001 pupils/students;1996/97;0;0
182;Total primary schools;Total;1 001 to 2 001 pupils/students;1997/98;0;0
183;Total primary schools;Total;1 001 to 2 001 pupils/students;1998/99;1;1035
184;Total primary schools;Total;1 001 to 2 001 pupils/students;1999/00;1;1122
185;Total primary schools;Total;1 001 to 2 001 pupils/students;2000/01;3;3217
186;Total primary schools;Total;1 001 to 2 001 pupils/students;2001/02;3;3325
187;Total primary schools;Total;1 001 to 2 001 pupils/students;2002/03;3;3395
188;Total primary schools;Total;1 001 to 2 001 pupils/students;2003/04;2;2391
189;Total primary schools;Total;1 001 to 2 001 pupils/students;2004/05;2;2376
190;Total primary schools;Total;1 001 to 2 001 pupils/students;2005/06;2;2342
191;Total primary schools;Total;1 001 to 2 001 pupils/students;2006/07;3;3396
192;Total primary schools;Total;1 001 to 2 001 pupils/students;2007/08;4;4501
193;Total primary schools;Total;1 001 to 2 001 pupils/students;2008/09;5;5740
194;Total primary schools;Total;1 001 to 2 001 pupils/students;2009/10;7;8076
195;Total primary schools;Total;1 001 to 2 001 pupils/students;2010/11;6;7408
196;Total primary schools;Total;1 001 to 2 001 pupils/students;2011/12;7;8613
197;Total primary schools;Total;1 001 to 2 001 pupils/students;2012/13;7;8818
198;Total primary schools;Total;1 001 to 2 001 pupils/students;2013/14;9;11210
199;Total primary schools;Total;1 001 to 2 001 pupils/students;2014/15;11;13075
200;Total primary schools;Total;1 001 to 2 001 pupils/students;2015/16;11;12908
201;Total primary schools;Total;1 001 to 2 001 pupils/students;2016/17;11;13205
202;Total primary schools;Total;1 001 to 2 001 pupils/students;2017/18;11;13220
203;Total primary schools;Total;1 001 to 2 001 pupils/students;2018/19;11;13490
204;Total primary schools;Total;1 001 to 2 001 pupils/students;2019/20;11;13710
205;Total primary schools;Total;1 001 to 2 001 pupils/students;2020/21;10;12621
206;Total primary schools;Total;1 001 to 2 001 pupils/students;2021/22;11;13752
207;Total primary schools;Total;1 001 to 2 001 pupils/students;2022/23;10;12912
208;Total primary schools;Total;1 001 to 2 001 pupils/students;2023/24;10;12913
209;Total primary schools;Total;1 001 to 2 001 pupils/students;2024/25;10;12559
210;Total primary schools;Total;2 001 to 5 001 pupils/students;1990/91;0;0
211;Total primary schools;Total;2 001 to 5 001 pupils/students;1991/92;0;0
212;Total primary schools;Total;2 001 to 5 001 pupils/students;1992/93;0;0
213;Total primary schools;Total;2 001 to 5 001 pupils/students;1993/94;0;0
214;Total primary schools;Total;2 001 to 5 001 pupils/students;1994/95;0;0
215;Total primary schools;Total;2 001 to 5 001 pupils/students;1995/96;0;0
216;Total primary schools;Total;2 001 to 5 001 pupils/students;1996/97;0;0
217;Total primary schools;Total;2 001 to 5 001 pupils/students;1997/98;0;0
218;Total primary schools;Total;2 001 to 5 001 pupils/students;1998/99;0;0
219;Total primary schools;Total;2 001 to 5 001 pupils/students;1999/00;0;0
220;Total primary schools;Total;2 001 to 5 001 pupils/students;2000/01;0;0
221;Total primary schools;Total;2 001 to 5 001 pupils/students;2001/02;0;0
222;Total primary schools;Total;2 001 to 5 001 pupils/students;2002/03;0;0
223;Total primary schools;Total;2 001 to 5 001 pupils/students;2003/04;0;0
224;Total primary schools;Total;2 001 to 5 001 pupils/students;2004/05;0;0
225;Total primary schools;Total;2 001 to 5 001 pupils/students;2005/06;0;0
226;Total primary schools;Total;2 001 to 5 001 pupils/students;2006/07;0;0
227;Total primary schools;Total;2 001 to 5 001 pupils/students;2007/08;0;0
228;Total primary schools;Total;2 001 to 5 001 pupils/students;2008/09;0;0
229;Total primary schools;Total;2 001 to 5 001 pupils/students;2009/10;0;0
230;Total primary schools;Total;2 001 to 5 001 pupils/students;2010/11;0;0
231;Total primary schools;Total;2 001 to 5 001 pupils/students;2011/12;0;0
232;Total primary schools;Total;2 001 to 5 001 pupils/students;2012/13;0;0
233;Total primary schools;Total;2 001 to 5 001 pupils/students;2013/14;0;0
234;Total primary schools;Total;2 001 to 5 001 pupils/students;2014/15;0;0
235;Total primary schools;Total;2 001 to 5 001 pupils/students;2015/16;2;6306
236;Total primary schools;Total;2 001 to 5 001 pupils/students;2016/17;2;5913
237;Total primary schools;Total;2 001 to 5 001 pupils/students;2017/18;2;6039
238;Total primary schools;Total;2 001 to 5 001 pupils/students;2018/19;2;6133
239;Total primary schools;Total;2 001 to 5 001 pupils/students;2019/20;2;5981
240;Total primary schools;Total;2 001 to 5 001 pupils/students;2020/21;2;5947
241;Total primary schools;Total;2 001 to 5 001 pupils/students;2021/22;2;5749
242;Total primary schools;Total;2 001 to 5 001 pupils/students;2022/23;2;5664
243;Total primary schools;Total;2 001 to 5 001 pupils/students;2023/24;2;5493
244;Total primary schools;Total;2 001 to 5 001 pupils/students;2024/25;2;5260
245;Total primary schools;Total;5 001 to 10 001 pupils/students;1990/91;0;0
246;Total primary schools;Total;5 001 to 10 001 pupils/students;1991/92;0;0
247;Total primary schools;Total;5 001 to 10 001 pupils/students;1992/93;0;0
248;Total primary schools;Total;5 001 to 10 001 pupils/students;1993/94;0;0
249;Total primary schools;Total;5 001 to 10 001 pupils/students;1994/95;0;0
250;Total primary schools;Total;5 001 to 10 001 pupils/students;1995/96;0;0
251;Total primary schools;Total;5 001 to 10 001 pupils/students;1996/97;0;0
252;Total primary schools;Total;5 001 to 10 001 pupils/students;1997/98;0;0
253;Total primary schools;Total;5 001 to 10 001 pupils/students;1998/99;0;0
254;Total primary schools;Total;5 001 to 10 001 pupils/students;1999/00;0;0
255;Total primary schools;Total;5 001 to 10 001 pupils/students;2000/01;0;0
256;Total primary schools;Total;5 001 to 10 001 pupils/students;2001/02;0;0
257;Total primary schools;Total;5 001 to 10 001 pupils/students;2002/03;0;0
258;Total primary schools;Total;5 001 to 10 001 pupils/students;2003/04;0;0
259;Total primary schools;Total;5 001 to 10 001 pupils/students;2004/05;0;0
260;Total primary schools;Total;5 001 to 10 001 pupils/students;2005/06;0;0
261;Total primary schools;Total;5 001 to 10 001 pupils/students;2006/07;0;0
262;Total primary schools;Total;5 001 to 10 001 pupils/students;2007/08;0;0
263;Total primary schools;Total;5 001 to 10 001 pupils/students;2008/09;0;0
264;Total primary schools;Total;5 001 to 10 001 pupils/students;2009/10;0;0
265;Total primary schools;Total;5 001 to 10 001 pupils/students;2010/11;0;0
266;Total primary schools;Total;5 001 to 10 001 pupils/students;2011/12;0;0
267;Total primary schools;Total;5 001 to 10 001 pupils/students;2012/13;0;0
268;Total primary schools;Total;5 001 to 10 001 pupils/students;2013/14;0;0
269;Total primary schools;Total;5 001 to 10 001 pupils/students;2014/15;0;0
270;Total primary schools;Total;5 001 to 10 001 pupils/students;2015/16;0;0
271;Total primary schools;Total;5 001 to 10 001 pupils/students;2016/17;0;0
272;Total primary schools;Total;5 001 to 10 001 pupils/students;2017/18;0;0
273;Total primary schools;Total;5 001 to 10 001 pupils/students;2018/19;0;0
274;Total primary schools;Total;5 001 to 10 001 pupils/students;2019/20;0;0
275;Total primary schools;Total;5 001 to 10 001 pupils/students;2020/21;0;0
276;Total primary schools;Total;5 001 to 10 001 pupils/students;2021/22;0;0
277;Total primary schools;Total;5 001 to 10 001 pupils/students;2022/23;0;0
278;Total primary schools;Total;5 001 to 10 001 pupils/students;2023/24;0;0
279;Total primary schools;Total;5 001 to 10 001 pupils/students;2024/25;0;0
280;Total primary schools;Total;More than 10 000 pupils/students;1990/91;0;0
281;Total primary schools;Total;More than 10 000 pupils/students;1991/92;0;0
282;Total primary schools;Total;More than 10 000 pupils/students;1992/93;0;0
283;Total primary schools;Total;More than 10 000 pupils/students;1993/94;0;0
284;Total primary schools;Total;More than 10 000 pupils/students;1994/95;0;0
285;Total primary schools;Total;More than 10 000 pupils/students;1995/96;0;0
286;Total primary schools;Total;More than 10 000 pupils/students;1996/97;0;0
287;Total primary schools;Total;More than 10 000 pupils/students;1997/98;0;0
288;Total primary schools;Total;More than 10 000 pupils/students;1998/99;0;0
289;Total primary schools;Total;More than 10 000 pupils/students;1999/00;0;0
290;Total primary schools;Total;More than 10 000 pupils/students;2000/01;0;0
291;Total primary schools;Total;More than 10 000 pupils/students;2001/02;0;0
292;Total primary schools;Total;More than 10 000 pupils/students;2002/03;0;0
293;Total primary schools;Total;More than 10 000 pupils/students;2003/04;0;0
294;Total primary schools;Total;More than 10 000 pupils/students;2004/05;0;0
295;Total primary schools;Total;More than 10 000 pupils/students;2005/06;0;0
296;Total primary schools;Total;More than 10 000 pupils/students;2006/07;0;0
297;Total primary schools;Total;More than 10 000 pupils/students;2007/08;0;0
298;Total primary schools;Total;More than 10 000 pupils/students;2008/09;0;0
299;Total primary schools;Total;More than 10 000 pupils/students;2009/10;0;0
300;Total primary schools;Total;More than 10 000 pupils/students;2010/11;0;0
301;Total primary schools;Total;More than 10 000 pupils/students;2011/12;0;0
302;Total primary schools;Total;More than 10 000 pupils/students;2012/13;0;0
303;Total primary schools;Total;More than 10 000 pupils/students;2013/14;0;0
304;Total primary schools;Total;More than 10 000 pupils/students;2014/15;0;0
305;Total primary schools;Total;More than 10 000 pupils/students;2015/16;0;0
306;Total primary schools;Total;More than 10 000 pupils/students;2016/17;0;0
307;Total primary schools;Total;More than 10 000 pupils/students;2017/18;0;0
308;Total primary schools;Total;More than 10 000 pupils/students;2018/19;0;0
309;Total primary schools;Total;More than 10 000 pupils/students;2019/20;0;0
310;Total primary schools;Total;More than 10 000 pupils/students;2020/21;0;0
311;Total primary schools;Total;More than 10 000 pupils/students;2021/22;0;0
312;Total primary schools;Total;More than 10 000 pupils/students;2022/23;0;0
313;Total primary schools;Total;More than 10 000 pupils/students;2023/24;0;0
314;Total primary schools;Total;More than 10 000 pupils/students;2024/25;0;0
315;Total primary schools;Public schools;Total;1990/91;3195;474953
316;Total primary schools;Public schools;Total;1991/92;3195;464585
317;Total primary schools;Public schools;Total;1992/93;3144;468208
318;Total primary schools;Public schools;Total;1993/94;3050;473824
319;Total primary schools;Public schools;Total;1994/95;2914;483197
320;Total primary schools;Public schools;Total;1995/96;2713;493093
321;Total primary schools;Public schools;Total;1996/97;2684;502008
322;Total primary schools;Public schools;Total;1997/98;2570;507547
323;Total primary schools;Public schools;Total;1998/99;2552;511143
324;Total primary schools;Public schools;Total;1999/00;2537;513939
325;Total primary schools;Public schools;Total;2000/01;2513;515181
326;Total primary schools;Public schools;Total;2001/02;2504;516012
327;Total primary schools;Public schools;Total;2002/03;2499;512327
328;Total primary schools;Public schools;Total;2003/04;2490;508057
329;Total primary schools;Public schools;Total;2004/05;2483;504731
330;Total primary schools;Public schools;Total;2005/06;2470;501787
331;Total primary schools;Public schools;Total;2006/07;2454;499151
332;Total primary schools;Public schools;Total;2007/08;2438;499135
333;Total primary schools;Public schools;Total;2008/09;2425;497981
334;Total primary schools;Public schools;Total;2009/10;2416;496936
335;Total primary schools;Public schools;Total;2010/11;2403;492896
336;Total primary schools;Public schools;Total;2011/12;2380;488150
337;Total primary schools;Public schools;Total;2012/13;2354;480307
338;Total primary schools;Public schools;Total;2013/14;2310;470886
339;Total primary schools;Public schools;Total;2014/15;2262;463096
340;Total primary schools;Public schools;Total;2015/16;2205;457524
341;Total primary schools;Public schools;Total;2016/17;2161;450889
342;Total primary schools;Public schools;Total;2017/18;2124;445281
343;Total primary schools;Public schools;Total;2018/19;2103;443112
344;Total primary schools;Public schools;Total;2019/20;2080;440530
345;Total primary schools;Public schools;Total;2020/21;2049;436145
346;Total primary schools;Public schools;Total;2021/22;2026;430885
347;Total primary schools;Public schools;Total;2022/23;2014;432378
348;Total primary schools;Public schools;Total;2023/24;2001;428856
349;Total primary schools;Public schools;Total;2024/25;1990;424889
350;Total primary schools;Public schools;Less than 101 pupils/students;1990/91;1095;70594
351;Total primary schools;Public schools;Less than 101 pupils/students;1991/92;1148;74271
352;Total primary schools;Public schools;Less than 101 pupils/students;1992/93;1086;70715
353;Total primary schools;Public schools;Less than 101 pupils/students;1993/94;1012;65684
354;Total primary schools;Public schools;Less than 101 pupils/students;1994/95;898;58736
355;Total primary schools;Public schools;Less than 101 pupils/students;1995/96;761;49863
356;Total primary schools;Public schools;Less than 101 pupils/students;1996/97;732;47905
357;Total primary schools;Public schools;Less than 101 pupils/students;1997/98;648;42747
358;Total primary schools;Public schools;Less than 101 pupils/students;1998/99;619;40769
359;Total primary schools;Public schools;Less than 101 pupils/students;1999/00;616;40314
360;Total primary schools;Public schools;Less than 101 pupils/students;2000/01;593;39741
361;Total primary schools;Public schools;Less than 101 pupils/students;2001/02;580;39291
362;Total primary schools;Public schools;Less than 101 pupils/students;2002/03;574;38665
363;Total primary schools;Public schools;Less than 101 pupils/students;2003/04;580;39518
364;Total primary schools;Public schools;Less than 101 pupils/students;2004/05;575;38916
365;Total primary schools;Public schools;Less than 101 pupils/students;2005/06;579;39745
366;Total primary schools;Public schools;Less than 101 pupils/students;2006/07;584;40650
367;Total primary schools;Public schools;Less than 101 pupils/students;2007/08;565;38607
368;Total primary schools;Public schools;Less than 101 pupils/students;2008/09;574;39054
369;Total primary schools;Public schools;Less than 101 pupils/students;2009/10;588;39665
370;Total primary schools;Public schools;Less than 101 pupils/students;2010/11;604;40224
371;Total primary schools;Public schools;Less than 101 pupils/students;2011/12;590;39022
372;Total primary schools;Public schools;Less than 101 pupils/students;2012/13;595;38584
373;Total primary schools;Public schools;Less than 101 pupils/students;2013/14;579;37586
374;Total primary schools;Public schools;Less than 101 pupils/students;2014/15;566;36798
375;Total primary schools;Public schools;Less than 101 pupils/students;2015/16;539;36036
376;Total primary schools;Public schools;Less than 101 pupils/students;2016/17;522;34995
377;Total primary schools;Public schools;Less than 101 pupils/students;2017/18;493;32806
378;Total primary schools;Public schools;Less than 101 pupils/students;2018/19;478;32018
379;Total primary schools;Public schools;Less than 101 pupils/students;2019/20;482;32695
380;Total primary schools;Public schools;Less than 101 pupils/students;2020/21;471;31647
381;Total primary schools;Public schools;Less than 101 pupils/students;2021/22;450;30462
382;Total primary schools;Public schools;Less than 101 pupils/students;2022/23;445;30089
383;Total primary schools;Public schools;Less than 101 pupils/students;2023/24;437;29667
384;Total primary schools;Public schools;Less than 101 pupils/students;2024/25;439;29959
385;Total primary schools;Public schools;101 to 201 pupils/students;1990/91;1339;194779
386;Total primary schools;Public schools;101 to 201 pupils/students;1991/92;1322;191493
387;Total primary schools;Public schools;101 to 201 pupils/students;1992/93;1309;190297
388;Total primary schools;Public schools;101 to 201 pupils/students;1993/94;1221;178664
389;Total primary schools;Public schools;101 to 201 pupils/students;1994/95;1096;161158
390;Total primary schools;Public schools;101 to 201 pupils/students;1995/96;921;136074
391;Total primary schools;Public schools;101 to 201 pupils/students;1996/97;877;128937
392;Total primary schools;Public schools;101 to 201 pupils/students;1997/98;805;118297
393;Total primary schools;Public schools;101 to 201 pupils/students;1998/99;812;120421
394;Total primary schools;Public schools;101 to 201 pupils/students;1999/00;802;120092
395;Total primary schools;Public schools;101 to 201 pupils/students;2000/01;810;122782
396;Total primary schools;Public schools;101 to 201 pupils/students;2001/02;800;120409
397;Total primary schools;Public schools;101 to 201 pupils/students;2002/03;821;123265
398;Total primary schools;Public schools;101 to 201 pupils/students;2003/04;836;125449
399;Total primary schools;Public schools;101 to 201 pupils/students;2004/05;861;128957
400;Total primary schools;Public schools;101 to 201 pupils/students;2005/06;856;128168
