ID;Omzetklassen;Perioden;Bedrijven_1;Bedrijfsopbrengsten_2;TotaalNettoOmzet_3;VerleendeDiensten_4;Handelsgoederen_5;OverigeOpbrengsten_6;TotaalBedrijfslasten_7;KostprijsVanDeOmzet_8;Personeelskosten_9;Afschrijvingen_10;OverigeBedrijfslasten_11;TotaalOverigeBedrijfslasten_12;Huisvestingskosten_13;InventarisEnMachinekosten_14;Autokosten_15;Verkoopkosten_16;AndereKosten_17;Bedrijfsresultaat_18;SaldoFinancieleResultaten_19;ResultaatVoorBelastingen_20;BrutoWinstmarge_21;OperationeleWinstmarge_22;WinstmargeVoorBelastingen_23;Investeringsquote_24;NettoOmzetPerFte_25;LoonkostenPerFte_26;NettoOmzet_27;NieuwePersonenautoS_28;NieuweVrachtautoS_29;NieuweAanhangwagensEnOpleggers_30;GebruiktePersonenautoS_31;GebruikteVrachtautoS_32;GebruikteAanhangwagensEnOpleggers_33;AccessoiresEnOnderdelen_34;MotorbrandstoffenEnOlie_35;Banden_36;OverigeHandelsactiviteiten_37;ReparatiesInclGebruikteOnderdelen_38;Verhuur_39;OperationalLease_40;UitbesteedWerk_41;OverigeDienstverlening_42;OntvangstenVoorUitleenEnSubsidie_43;TotaalPersoneelskosten_44;BrutoLonenEnSalarissen_45;SocialeLasten_46;Pensioenpremies_47;KostenUitzendkrachten_48;KostenIngeleendPersoneel_49;OverigePersoneelskosten_50;TotaalOverigeBedrijfslasten_51;TotaalHuisvestingskosten_52;BetaaldeHurenPachtenEDVanLeasing_53;OnroerendeZaakbelastingMilieuheffing_54;Energiekosten_55;ReparatieEnOnderhoudskosten_56;Verzekeringen_57;OverigeHuisvestingskosten_58;TotaalInventarisEnMachinekosten_59;BetaaldeHurenEnKostenVanOperLease_60;Onderhoudskosten_61;OverigeInventarisEnMachinekosten_62;TotaalAutokosten_63;BetaaldeHurenEnKostenVanOperLease_64;Brandstof_65;OverigeAutokosten_66;TotaalVerkoopkosten_67;ReclameEnAdvertentiekosten_68;ReisVerblijfsEnRepresentatiekosten_69;OverigeVerkoopkosten_70;TotaalAndereKosten_71;AccountantsEnAdviesdiensten_72;KantoorbenodigdhDrukwerkVakliteratuur_73;OverigeVerzekeringen_74;OverigeKostprijsverhogendeBelastingen_75;Communicatiekosten_76;Beheerskosten_77;OverigeAutomatiseringskosten_78;NogNietEerderGenoemdeBedrijfskosten_79;TotaalAantalWerkzamePersonen_80;WerknemersOpDeLoonlijst_81;WerknemersNietOpLoonlijst_82;OverigPersoneel_83;AantalVte_84;TotaalInvesteringen_85;TotaalMaterieleVasteActiva_86;Bedrijfsruimten_87;Vervoermiddelen_88;Computers_89;OverigeMachinesApparatenED_90;OverigeMaterieleVasteActiva_91;TotaalImmaterieleVasteActiva_92
10;500 000 tot 1 000 000 euro;1998;0.6;50;49;14;35;1;45;77.0;10.9;1.6;10.5;5;2;0;1;1;1;4;0;4;28.9;7.7;7.6;1.4;;;49;0.0;2.5;15.4;3.6;37.3;5.9;2.3;0.7;0.0;4.1;24.1;0.4;0.0;1.8;2.0;0.8;5;81.8;9.8;3.0;0.7;1.8;3.6;5;2;;;;;;;0;;;;1;;;;1;;;;1;;;;;;;;;2;85.4;14.3;0.4;2;1;99.8;8.1;43.4;6.3;23.7;18.3;0.2
11;500 000 tot 1 000 000 euro;1999;0.7;51;50;13;37;1;47;76.7;11.6;1.8;9.9;5;2;0;1;1;2;4;-1;3;28.1;5.6;5.6;1.1;;;50;1.6;2.0;13.6;6.4;36.5;8.1;1.0;0.2;0.0;4.8;24.4;0.0;0.1;0.0;1.5;0.7;5;78.9;11.2;3.2;0.8;1.3;5.3;5;2;;;;;;;0;;;;1;;;;1;;;;2;;;;;;;;;3;72.3;27.4;0.3;2;1;100.0;15.2;32.9;6.7;33.4;11.9;0.0
12;1 000 000 tot 2 000 000 euro;1996;0.9;125;124;31;93;1;119;76.2;12.9;1.7;9.2;11;3;1;2;2;3;6;-2;4;26.6;3.4;3.3;2.2;209.1;27.7;124;3.1;13.8;8.1;3.2;28.2;6.2;7.4;0.6;0.0;4.3;21.7;0.3;0.0;0.9;1.9;1.6;15;81.0;7.1;2.9;1.7;3.3;5.6;11;3;60.8;1.9;16.2;10.7;2.0;8.3;1;6.3;31.1;62.6;2;10.3;36.2;53.5;2;39.7;28.6;31.7;3;15.8;10.9;11.1;0.5;14.7;24.7;2.1;20.2;6;91.3;7.6;1.1;6;3;99.4;2.3;55.4;1.8;24.8;15.1;0.6
13;1 000 000 tot 2 000 000 euro;1997;0.9;125;123;33;91;2;120;75.4;13.2;2.0;9.3;11;3;1;1;2;4;5;-2;3;26.4;2.5;2.5;2.2;231.6;32.6;123;3.4;8.5;13.2;3.0;25.1;5.9;7.6;0.3;0.0;6.5;20.9;0.7;0.9;0.9;3.2;3.0;16;84.3;7.6;2.1;1.1;2.7;5.3;11;3;66.7;2.3;13.5;9.3;2.0;6.1;1;0.3;45.2;54.5;1;18.0;30.5;51.5;2;37.8;29.2;33.0;4;27.8;10.0;7.4;0.1;10.2;24.4;1.5;15.4;6;92.5;6.5;1.0;5;3;99.8;18.4;47.1;2.8;21.2;10.3;0.2
14;1 000 000 tot 2 000 000 euro;1998;1.0;150;149;32;117;1;143;78.3;11.6;1.8;8.3;12;4;1;2;1;4;8;-2;6;25.1;4.2;4.3;2.2;;;149;1.5;3.2;16.3;2.7;39.2;2.9;5.4;0.2;0.0;7.1;18.6;0.5;0.7;0.3;1.3;3.4;17;81.4;9.9;3.1;1.6;2.8;4.6;12;4;;;;;;;1;;;;2;;;;1;;;;4;;;;;;;;;7;92.3;7.0;0.8;6;3;95.7;4.0;54.1;3.9;9.5;24.2;4.3
15;1 000 000 tot 2 000 000 euro;1999;1.4;203;201;40;162;2;191;81.1;9.9;1.7;7.3;14;4;1;2;2;5;12;-2;10;23.0;4.7;4.7;2.0;;;201;3.7;7.3;11.9;2.1;43.9;5.3;4.3;0.1;0.1;1.7;17.2;0.0;0.1;0.6;0.7;1.3;19;79.3;11.0;4.0;0.4;1.5;5.1;14;4;;;;;;;1;;;;2;;;;2;;;;5;;;;;;;;;8;91.3;8.3;0.4;6;4;99.6;6.5;60.8;4.9;12.1;15.2;0.4
16;2 000 000 euro en meer;1996;1.9;2525;2520;439;2080;5;2425;84.5;9.0;0.9;5.6;135;33;10;13;34;45;100;-13;87;18.7;3.4;3.4;4.7;400.7;34.6;2520;1.3;53.8;2.4;0.8;11.1;1.4;10.2;0.7;0.1;0.9;13.1;0.5;2.0;1.3;0.5;0.5;218;81.3;7.0;3.9;1.3;1.8;5.2;135;33;51.5;2.3;16.2;16.5;2.0;11.5;10;8.4;37.0;54.6;13;27.7;23.5;48.8;34;40.5;15.2;44.3;45;10.1;6.7;7.8;1.2;12.7;33.4;7.5;20.7;65;97.7;0.4;1.9;63;118;99.9;11.1;79.2;1.5;4.9;3.3;0.1
17;2 000 000 euro en meer;1997;2.2;2660;2653;481;2171;7;2548;84.3;9.2;1.0;5.5;140;36;11;14;30;50;112;-16;96;19.0;3.7;3.6;4.4;392.3;34.7;2653;0.8;47.6;2.3;1.3;16.4;1.9;9.7;0.6;0.1;1.1;13.5;0.6;2.4;1.2;0.5;0.8;234;81.4;6.6;4.2;1.2;1.6;5.8;140;36;54.3;2.4;15.8;15.0;1.6;11.0;11;6.4;38.7;54.8;14;25.2;24.6;50.2;30;35.7;17.2;47.1;50;12.9;6.7;8.2;0.4;12.9;25.1;8.3;25.6;71;97.9;0.6;1.6;68;117;99.9;8.6;79.7;1.9;6.5;3.1;0.1
18;2 000 000 euro en meer;1998;2.4;3056;3047;526;2520;9;2937;84.7;8.9;1.0;5.4;160;38;13;16;38;55;120;-13;107;18.4;3.3;3.5;4.7;;;3047;1.7;48.8;3.0;1.2;15.5;1.5;9.2;0.6;0.1;1.2;12.5;0.7;2.3;1.2;0.5;0.7;262;77.9;9.8;4.3;1.6;1.9;5.3;160;38;;;;;;;13;;;;16;;;;38;;;;55;;;;;;;;;74;97.5;0.5;2.0;70;144;99.2;5.1;84.3;1.6;3.8;4.5;0.8
19;2 000 000 euro en meer;1999;2.6;3112;3104;591;2511;8;2996;84.1;9.4;1.1;5.4;161;42;14;17;31;57;115;-16;99;18.8;3.1;3.2;3.9;;;3104;1.5;47.0;3.1;1.7;14.4;2.3;9.1;0.6;0.0;1.1;13.9;0.0;0.5;1.5;1.4;0.9;282;77.7;9.9;4.6;1.7;1.5;5.4;161;42;;;;;;;14;;;;17;;;;31;;;;57;;;;;;;;;78;97.6;0.3;2.1;73;121;98.8;13.3;68.5;2.6;6.3;8.0;1.2
