ID;BestemmingVanInvoer;Perioden;InvoerVanGoederenEnDiensten_1;InvoerVanGoederen_2;InvoerVanDiensten_3;InvoerVanGoederenEnDiensten_4;InvoerVanGoederen_5;InvoerVanDiensten_6;InvoerVanGoederenEnDiensten_7;InvoerVanGoederen_8;InvoerVanDiensten_9;InvoerVanGoederenEnDiensten_10;InvoerVanGoederen_11;InvoerVanDiensten_12
34;A Landbouw, bosbouw en visserij;2007;1897;1568;329;1926.0;1592.0;335.0;-3.0;-4.7;4.5;98.5;98.5;98.2
35;A Landbouw, bosbouw en visserij;2008;2050;1702;348;1948.0;1598.0;351.0;1.2;0.4;4.9;105.2;106.5;99.1
36;A Landbouw, bosbouw en visserij;2009;1984;1645;339;1992.0;1645.0;347.0;2.2;2.9;-1.1;99.6;100.0;97.6
37;A Landbouw, bosbouw en visserij;2010;2046;1709;337;2046.0;1709.0;337.0;2.7;3.9;-2.9;100.0;100.0;100.0
38;A Landbouw, bosbouw en visserij;2011;2316;1979;337;2093.0;1750.0;343.0;2.3;2.4;1.8;110.7;113.1;98.3
39;A Landbouw, bosbouw en visserij;2012;2509;2176;333;2176.0;1838.0;336.0;4.0;5.0;-2.1;115.3;118.4;99.1
40;A Landbouw, bosbouw en visserij;2013;2559;2197;362;2197.0;1833.0;365.0;1.0;-0.2;8.7;116.5;119.8;99.1
41;A Landbouw, bosbouw en visserij;2014;2428;2055;373;2206.0;1838.0;370.0;0.4;0.3;1.4;110.0;111.8;100.8
42;A Landbouw, bosbouw en visserij;2015;2526;2148;378;2386.0;2016.0;369.0;8.2;9.7;-0.3;105.9;106.5;102.4
43;A Landbouw, bosbouw en visserij;2016;2419;2033;386;2480.0;2106.0;373.0;3.9;4.4;1.1;97.5;96.6;103.5
44;01 Landbouw;1995;1226;1032;194;1745.0;1551.0;214.0;;;;70.3;66.5;90.7
45;01 Landbouw;1996;1468;1281;187;1939.0;1760.0;211.0;11.1;13.5;-1.5;75.7;72.8;88.8
46;01 Landbouw;1997;1470;1256;214;1882.0;1662.0;242.0;-2.9;-5.5;15.0;78.1;75.6;88.4
47;01 Landbouw;1998;1415;1191;224;1896.0;1666.0;251.0;0.7;0.2;3.7;74.6;71.5;89.2
48;01 Landbouw;1999;1406;1176;230;1899.0;1669.0;251.0;0.1;0.2;0.0;74.1;70.5;91.6
49;01 Landbouw;2000;1598;1335;263;2085.0;1832.0;276.0;9.8;9.8;10.0;76.6;72.9;95.2
50;01 Landbouw;2001;1594;1323;271;1943.0;1672.0;285.0;-6.8;-8.8;3.0;82.0;79.1;95.2
51;01 Landbouw;2002;1677;1382;295;2018.0;1738.0;295.0;3.9;3.9;3.7;83.1;79.5;99.9
52;01 Landbouw;2003;1608;1303;305;1929.0;1641.0;298.0;-4.4;-5.6;1.0;83.3;79.4;102.3
53;01 Landbouw;2004;1547;1250;297;1879.0;1598.0;290.0;-2.6;-2.6;-2.6;82.3;78.2;102.3
54;01 Landbouw;2005;1575;1266;309;1880.0;1594.0;294.0;0.1;-0.2;1.3;83.8;79.4;105.0
55;01 Landbouw;2006;1732;1409;323;1910.0;1610.0;306.0;1.6;1.0;3.9;90.7;87.5;105.7
56;01 Landbouw;2007;1823;1510;313;1844.0;1527.0;318.0;-3.5;-5.2;4.0;98.9;98.9;98.4
57;01 Landbouw;2008;1972;1641;331;1865.0;1533.0;333.0;1.2;0.4;4.8;105.7;107.0;99.3
58;01 Landbouw;2009;1915;1592;323;1919.0;1589.0;330.0;2.9;3.7;-0.9;99.8;100.2;97.8
59;01 Landbouw;2010;1981;1660;321;1981.0;1660.0;321.0;3.2;4.5;-2.8;100.0;100.0;100.0
60;01 Landbouw;2011;2245;1926;319;2023.0;1697.0;326.0;2.1;2.2;1.6;111.0;113.5;97.9
61;01 Landbouw;2012;2437;2122;315;2107.0;1784.0;320.0;4.1;5.1;-1.9;115.7;118.9;98.5
62;01 Landbouw;2013;2493;2150;343;2129.0;1783.0;348.0;1.1;-0.1;8.9;117.1;120.6;98.5
63;01 Landbouw;2014;2361;2006;355;2138.0;1786.0;354.0;0.4;0.2;1.7;110.4;112.3;100.2
64;01 Landbouw;2015;2454;2094;360;2312.0;1959.0;352.0;8.1;9.7;-0.6;106.2;106.9;102.2
65;01 Landbouw;2016;2344;1975;369;2405.0;2046.0;357.0;4.0;4.5;1.4;97.5;96.5;103.3
66;02 Bosbouw;1995;6;2;4;4.0;1.0;5.0;;;;147.7;178.0;76.6
67;02 Bosbouw;1996;6;2;4;3.0;1.0;5.0;-16.7;-50.0;0.0;177.2;355.9;76.6
68;02 Bosbouw;1997;5;2;3;4.0;1.0;4.0;16.7;100.0;-25.0;126.6;178.0;76.6
69;02 Bosbouw;1998;8;5;3;6.0;3.0;4.0;60.0;150.0;0.0;126.6;178.0;76.6
70;02 Bosbouw;1999;9;6;3;6.0;3.0;4.0;0.0;0.0;0.0;142.4;213.6;76.6
71;02 Bosbouw;2000;11;8;3;7.0;3.0;4.0;11.1;16.7;0.0;156.7;244.1;76.6
72;02 Bosbouw;2001;10;7;3;6.0;3.0;4.0;-9.1;-12.5;0.0;156.7;244.1;76.6
73;02 Bosbouw;2002;9;6;3;6.0;3.0;4.0;0.0;0.0;0.0;141.0;209.2;76.6
74;02 Bosbouw;2003;10;6;4;7.0;3.0;5.0;11.1;0.0;33.3;141.0;209.2;76.6
75;02 Bosbouw;2004;11;7;4;9.0;4.0;5.0;30.0;50.0;0.0;119.3;162.7;76.6
76;02 Bosbouw;2005;14;10;4;12.0;6.0;5.0;27.3;42.9;0.0;119.3;162.7;76.6
77;02 Bosbouw;2006;18;11;7;14.0;6.0;9.0;21.4;0.0;75.0;126.3;179.0;76.6
78;02 Bosbouw;2007;20;12;8;17.0;8.0;9.0;16.7;27.3;0.0;120.3;153.4;87.5
79;02 Bosbouw;2008;21;12;9;20.0;10.0;10.0;20.0;25.0;12.5;105.3;122.7;87.5
80;02 Bosbouw;2009;19;11;8;19.0;10.0;9.0;-4.8;0.0;-11.1;100.0;112.5;87.5
81;02 Bosbouw;2010;16;8;8;16.0;8.0;8.0;-15.8;-18.2;-12.5;100.0;100.0;100.0
82;02 Bosbouw;2011;16;8;8;16.0;9.0;7.0;0.0;12.5;-12.5;100.0;88.9;114.3
83;02 Bosbouw;2012;18;10;8;16.0;10.0;6.0;0.0;12.5;-12.5;112.5;98.8;130.6
84;02 Bosbouw;2013;17;8;9;15.0;8.0;7.0;-5.6;-20.0;12.5;112.5;98.8;130.6
85;02 Bosbouw;2014;17;9;8;16.0;10.0;6.0;5.9;25.0;-11.1;106.3;88.9;130.6
86;02 Bosbouw;2015;18;10;8;17.0;11.0;6.0;5.9;11.1;0.0;106.3;88.9;130.6
87;02 Bosbouw;2016;17;10;7;16.0;11.0;5.0;-5.6;0.0;-12.5;106.3;88.9;130.6
88;03 Visserij;1995;39;36;3;75.0;93.0;1.0;;;;52.0;38.8;560.2
89;03 Visserij;1996;42;41;1;69.0;88.0;0.0;-7.7;-5.6;-33.3;60.6;46.8;280.1
90;03 Visserij;1997;32;30;2;49.0;60.0;1.0;-28.6;-31.7;100.0;64.7;50.2;280.1
91;03 Visserij;1998;34;32;2;56.0;68.0;1.0;12.5;13.3;0.0;61.1;47.2;280.1
92;03 Visserij;1999;39;36;3;54.0;66.0;1.0;-2.9;-3.1;0.0;72.2;54.8;420.2
93;03 Visserij;2000;48;44;4;53.0;64.0;1.0;-2.6;-2.8;0.0;91.2;68.9;560.2
94;03 Visserij;2001;38;34;4;42.0;49.0;1.0;-20.8;-22.7;0.0;91.2;68.9;560.2
95;03 Visserij;2002;41;37;4;49.0;55.0;1.0;18.4;11.8;75.0;83.1;67.1;320.1
96;03 Visserij;2003;44;39;5;59.0;63.0;2.0;19.5;13.5;75.0;74.6;62.3;228.7
97;03 Visserij;2004;44;39;5;63.0;64.0;3.0;6.8;2.6;40.0;69.8;60.8;163.3
98;03 Visserij;2005;47;42;5;66.0;64.0;4.0;4.5;0.0;40.0;71.3;65.4;116.7
99;03 Visserij;2006;49;43;6;66.0;61.0;6.0;0.0;-4.8;40.0;74.4;70.3;100.0
100;03 Visserij;2007;54;46;8;70.0;63.0;8.0;6.1;2.3;33.3;77.2;73.5;100.0
101;03 Visserij;2008;57;49;8;66.0;58.0;8.0;-5.6;-6.5;0.0;86.3;83.8;100.0
102;03 Visserij;2009;50;42;8;54.0;47.0;8.0;-17.5;-20.4;0.0;91.8;90.2;100.0
103;03 Visserij;2010;49;41;8;49.0;41.0;8.0;-10.0;-11.9;0.0;100.0;100.0;100.0
104;03 Visserij;2011;55;45;10;54.0;44.0;10.0;10.2;7.3;25.0;101.9;102.3;100.0
105;03 Visserij;2012;54;44;10;53.0;43.0;10.0;-1.8;-2.2;0.0;101.9;102.3;100.0
106;03 Visserij;2013;49;39;10;52.0;42.0;10.0;-1.9;-2.3;0.0;94.2;92.8;100.0
107;03 Visserij;2014;50;40;10;52.0;42.0;10.0;0.0;0.0;0.0;96.1;95.1;100.0
108;03 Visserij;2015;54;44;10;57.0;46.0;11.0;10.0;10.0;10.0;94.3;95.1;90.9
109;03 Visserij;2016;58;48;10;58.0;47.0;11.0;1.9;2.3;0.0;99.5;101.5;90.9
110;B-E Nijverheid (geen bouw) en energie;1995;44166;40327;3839;73371.0;69294.0;5653.0;;;;60.2;58.2;67.9
111;B-E Nijverheid (geen bouw) en energie;1996;47309;42744;4565;75677.0;70600.0;6578.0;3.1;1.9;16.4;62.5;60.5;69.4
112;B-E Nijverheid (geen bouw) en energie;1997;52937;46735;6202;82101.0;74705.0;8784.0;8.5;5.8;33.5;64.5;62.6;70.6
113;B-E Nijverheid (geen bouw) en energie;1998;52747;45075;7672;86040.0;76952.0;10390.0;4.8;3.0;18.3;61.3;58.6;73.8
114;B-E Nijverheid (geen bouw) en energie;1999;55451;46498;8953;87642.0;76981.0;11697.0;1.9;0.0;12.6;63.3;60.4;76.5
115;B-E Nijverheid (geen bouw) en energie;2000;68237;57609;10628;91584.0;79053.0;13321.0;4.5;2.7;13.9;74.5;72.9;79.8
116;B-E Nijverheid (geen bouw) en energie;2001;67585;55520;12065;91741.0;77995.0;14434.0;0.2;-1.3;8.4;73.7;71.2;83.6
117;B-E Nijverheid (geen bouw) en energie;2002;65707;52709;12998;91383.0;77139.0;14847.0;-0.4;-1.1;2.9;71.9;68.3;87.5
118;B-E Nijverheid (geen bouw) en energie;2003;64879;50918;13961;90540.0;75794.0;15205.0;-0.9;-1.7;2.4;71.7;67.2;91.8
119;B-E Nijverheid (geen bouw) en energie;2004;70956;55403;15553;93583.0;77164.0;16578.0;3.4;1.8;9.0;75.8;71.8;93.8
120;B-E Nijverheid (geen bouw) en energie;2005;78241;61973;16268;94284.0;77119.0;17178.0;0.7;-0.1;3.6;83.0;80.4;94.7
121;B-E Nijverheid (geen bouw) en energie;2006;86398;69527;16871;97093.0;79344.0;17751.0;3.0;2.9;3.3;89.0;87.6;95.0
122;B-E Nijverheid (geen bouw) en energie;2007;91658;74373;17285;98342.0;80523.0;17835.0;1.3;1.5;0.5;93.2;92.4;96.9
123;B-E Nijverheid (geen bouw) en energie;2008;99329;80852;18477;96246.0;77606.0;18598.0;-2.1;-3.6;4.3;103.2;104.2;99.3
124;B-E Nijverheid (geen bouw) en energie;2009;78735;60097;18638;89445.0;70685.0;18790.0;-7.1;-8.9;1.0;88.0;85.0;99.2
125;B-E Nijverheid (geen bouw) en energie;2010;93615;73753;19862;93615.0;73753.0;19862.0;4.7;4.3;5.7;100.0;100.0;100.0
126;B-E Nijverheid (geen bouw) en energie;2011;112773;90704;22069;99751.0;77977.0;21774.0;6.6;5.7;9.6;113.1;116.3;101.4
127;B-E Nijverheid (geen bouw) en energie;2012;117563;94686;22877;100144.0;77874.0;22330.0;0.4;-0.1;2.6;117.4;121.6;102.4
128;B-E Nijverheid (geen bouw) en energie;2013;115257;92285;22972;100998.0;78770.0;22246.0;0.9;1.2;-0.4;114.1;117.2;103.3
129;B-E Nijverheid (geen bouw) en energie;2014;114225;89655;24570;104054.0;80566.0;23585.0;3.0;2.3;6.0;109.8;111.3;104.2
130;B-E Nijverheid (geen bouw) en energie;2015;113040;83918;29122;111584.0;86462.0;25221.0;7.2;7.3;6.9;101.3;97.1;115.5
131;B-E Nijverheid (geen bouw) en energie;2016;109784;80351;29433;114296.0;89293.0;25221.0;2.4;3.3;0.0;96.1;90.0;116.7
132;B Delfstoffenwinning;1995;338;54;284;438.0;47.0;393.0;;;;77.2;114.0;72.3
133;B Delfstoffenwinning;1996;357;51;306;461.0;46.0;419.0;5.3;-1.9;6.7;77.4;109.7;73.0
134;B Delfstoffenwinning;1997;423;66;357;517.0;53.0;469.0;12.0;13.7;11.8;81.9;124.9;76.2
135;B Delfstoffenwinning;1998;449;68;381;514.0;52.0;467.0;-0.5;-1.5;-0.3;87.3;130.6;81.5
136;B Delfstoffenwinning;1999;438;66;372;492.0;52.0;444.0;-4.2;0.0;-5.0;88.9;126.8;83.8
137;B Delfstoffenwinning;2000;440;72;368;477.0;53.0;426.0;-3.2;1.5;-4.0;92.3;136.3;86.4
138;B Delfstoffenwinning;2001;486;68;418;511.0;50.0;468.0;7.3;-5.6;9.8;95.0;136.3;89.4
139;B Delfstoffenwinning;2002;417;73;344;441.0;59.0;379.0;-13.8;17.6;-18.9;94.6;124.3;90.7
140;B Delfstoffenwinning;2003;443;75;368;476.0;65.0;407.0;7.9;11.0;7.3;93.1;115.1;90.4
141;B Delfstoffenwinning;2004;466;87;379;499.0;76.0;417.0;5.0;17.3;2.4;93.3;113.8;90.9
142;B Delfstoffenwinning;2005;468;105;363;473.0;78.0;387.0;-5.4;2.3;-7.1;99.0;134.3;93.8
143;B Delfstoffenwinning;2006;494;128;366;471.0;82.0;380.0;-0.4;4.8;-1.9;105.0;156.3;96.4
144;B Delfstoffenwinning;2007;482;129;353;452.0;84.0;355.0;-4.0;3.1;-6.6;106.7;152.7;99.5
145;B Delfstoffenwinning;2008;538;156;382;470.0;85.0;374.0;4.1;0.8;5.4;114.4;183.2;102.2
146;B Delfstoffenwinning;2009;452;79;373;428.0;64.0;365.0;-8.9;-25.0;-2.4;105.5;123.7;102.2
147;B Delfstoffenwinning;2010;380;59;321;380.0;59.0;321.0;-11.3;-7.6;-12.1;100.0;100.0;100.0
148;B Delfstoffenwinning;2011;438;58;380;431.0;59.0;372.0;13.4;0.0;15.9;101.6;98.3;102.2
149;B Delfstoffenwinning;2012;442;57;385;430.0;57.0;373.0;-0.2;-3.4;0.3;102.8;100.1;103.2
150;B Delfstoffenwinning;2013;424;62;362;413.0;65.0;348.0;-4.1;14.0;-6.8;102.8;95.4;104.1
151;B Delfstoffenwinning;2014;524;61;463;511.0;71.0;439.0;23.8;9.7;26.2;102.6;85.6;105.5
152;B Delfstoffenwinning;2015;546;66;480;521.0;76.0;445.0;1.9;6.6;1.3;104.9;86.9;107.9
153;B Delfstoffenwinning;2016;510;58;452;488.0;72.0;416.0;-6.2;-4.5;-6.5;104.5;80.0;108.6
154;06 Winning van aardolie en aardgas;1995;274;4;270;393.0;4.0;396.0;;;;69.7;102.6;68.1
155;06 Winning van aardolie en aardgas;1996;296;6;290;419.0;4.0;423.0;6.6;0.0;6.7;70.7;153.9;68.6
156;06 Winning van aardolie en aardgas;1997;349;8;341;471.0;4.0;477.0;12.5;0.0;12.8;74.1;205.2;71.6
157;06 Winning van aardolie en aardgas;1998;371;6;365;467.0;3.0;475.0;-0.9;-25.0;-0.3;79.4;205.2;76.8
158;06 Winning van aardolie en aardgas;1999;362;6;356;446.0;4.0;450.0;-4.6;33.3;-5.2;81.2;153.9;79.0
159;06 Winning van aardolie en aardgas;2000;359;8;351;424.0;3.0;429.0;-5.0;-16.7;-4.8;84.8;246.2;81.8
160;06 Winning van aardolie en aardgas;2001;408;7;401;467.0;4.0;473.0;10.3;12.5;10.3;87.3;191.5;84.8
161;06 Winning van aardolie en aardgas;2002;338;10;328;380.0;7.0;376.0;-18.6;85.7;-20.4;88.9;147.3;87.2
162;06 Winning van aardolie en aardgas;2003;364;15;349;408.0;10.0;400.0;7.4;40.0;6.4;89.1;157.8;87.2
163;06 Winning van aardolie en aardgas;2004;387;26;361;426.0;15.0;409.0;4.4;53.3;2.3;90.8;178.4;88.2
164;06 Winning van aardolie en aardgas;2005;389;41;348;397.0;15.0;379.0;-7.0;0.0;-7.5;98.1;281.4;91.9
165;06 Winning van aardolie en aardgas;2006;415;64;351;393.0;17.0;369.0;-0.8;14.6;-2.6;105.5;383.1;95.1
166;06 Winning van aardolie en aardgas;2007;397;60;337;371.0;17.0;342.0;-5.8;3.1;-7.4;107.1;348.3;98.6
167;06 Winning van aardolie en aardgas;2008;448;81;367;391.0;18.0;360.0;5.5;6.7;5.3;114.5;440.8;102.0
168;06 Winning van aardolie en aardgas;2009;387;29;358;364.0;13.0;351.0;-6.9;-27.2;-2.5;106.3;216.7;102.0
169;06 Winning van aardolie en aardgas;2010;319;12;307;319.0;12.0;307.0;-12.4;-10.3;-12.6;100.0;100.0;100.0
170;06 Winning van aardolie en aardgas;2011;379;12;367;374.0;15.0;359.0;17.2;25.0;16.9;101.3;80.0;102.2
171;06 Winning van aardolie en aardgas;2012;392;16;376;384.0;21.0;364.0;2.6;41.7;1.4;102.1;75.3;103.3
172;06 Winning van aardolie en aardgas;2013;376;22;354;367.0;32.0;340.0;-4.3;50.0;-6.6;102.4;69.0;104.2
173;06 Winning van aardolie en aardgas;2014;473;20;453;460.0;35.0;429.0;25.3;9.1;26.3;102.8;57.5;105.6
174;06 Winning van aardolie en aardgas;2015;485;15;470;463.0;30.0;435.0;0.6;-15.0;1.3;104.8;50.7;108.1
175;06 Winning van aardolie en aardgas;2016;449;11;438;428.0;26.0;402.0;-7.6;-13.3;-7.4;105.0;42.9;108.9
176;08 Delfstoffenwinning (geen olie en gas);1995;64;50;14;52.0;48.0;6.0;;;;122.4;104.2;238.7
177;08 Delfstoffenwinning (geen olie en gas);1996;61;45;16;52.0;47.0;6.0;0.0;-2.0;7.1;116.7;95.7;254.6
178;08 Delfstoffenwinning (geen olie en gas);1997;74;58;16;57.0;54.0;6.0;9.8;15.6;-6.3;128.9;106.8;271.6
179;08 Delfstoffenwinning (geen olie en gas);1998;78;62;16;58.0;55.0;6.0;1.4;1.7;0.0;134.0;112.2;271.6
180;08 Delfstoffenwinning (geen olie en gas);1999;76;60;16;57.0;53.0;6.0;-2.6;-3.2;0.0;134.0;112.2;271.6
181;08 Delfstoffenwinning (geen olie en gas);2000;81;64;17;60.0;55.0;7.0;5.3;3.3;12.5;135.7;115.8;256.5
182;08 Delfstoffenwinning (geen olie en gas);2001;78;61;17;56.0;51.0;7.0;-6.2;-7.8;0.0;139.3;119.7;256.5
183;08 Delfstoffenwinning (geen olie en gas);2002;79;63;16;62.0;56.0;8.0;11.5;9.8;17.6;126.5;112.6;205.2
184;08 Delfstoffenwinning (geen olie en gas);2003;79;60;19;69.0;60.0;10.0;10.1;6.3;25.0;114.8;100.8;195.0
185;08 Delfstoffenwinning (geen olie en gas);2004;79;61;18;74.0;64.0;10.0;7.6;8.3;5.3;106.7;94.6;175.5
186;08 Delfstoffenwinning (geen olie en gas);2005;79;64;15;76.0;67.0;10.0;2.5;3.3;0.0;104.1;96.1;146.2
187;08 Delfstoffenwinning (geen olie en gas);2006;79;64;15;77.0;66.0;12.0;1.3;-1.6;13.3;102.8;97.6;129.0
188;08 Delfstoffenwinning (geen olie en gas);2007;85;69;16;81.0;68.0;13.0;5.1;3.1;13.3;105.3;102.1;121.4
189;08 Delfstoffenwinning (geen olie en gas);2008;90;75;15;79.0;65.0;14.0;-2.4;-4.3;6.3;114.1;116.0;107.1
190;08 Delfstoffenwinning (geen olie en gas);2009;65;50;15;64.0;50.0;14.0;-18.9;-22.7;0.0;101.6;100.0;107.1
191;08 Delfstoffenwinning (geen olie en gas);2010;61;47;14;61.0;47.0;14.0;-4.6;-6.0;0.0;100.0;100.0;100.0
192;08 Delfstoffenwinning (geen olie en gas);2011;59;46;13;57.0;44.0;13.0;-6.6;-6.4;-7.1;103.5;104.5;100.0
193;08 Delfstoffenwinning (geen olie en gas);2012;50;41;9;46.0;37.0;9.0;-18.6;-15.2;-30.8;107.8;109.9;100.0
194;08 Delfstoffenwinning (geen olie en gas);2013;48;40;8;45.0;37.0;8.0;-2.0;0.0;-11.1;105.6;107.2;100.0
195;08 Delfstoffenwinning (geen olie en gas);2014;51;41;10;51.0;41.0;10.0;12.5;10.0;25.0;99.8;99.9;100.0
196;08 Delfstoffenwinning (geen olie en gas);2015;61;51;10;58.0;48.0;10.0;13.7;17.1;0.0;104.9;106.2;100.0
197;08 Delfstoffenwinning (geen olie en gas);2016;61;47;14;61.0;47.0;14.0;4.9;-2.0;40.0;100.0;99.8;100.0
198;09 Dienstverlening delfstoffenwinning;1995;0;0;0;;;;;;;;;
199;09 Dienstverlening delfstoffenwinning;1996;0;0;0;;;;;;;;;
200;09 Dienstverlening delfstoffenwinning;1997;0;0;0;;;;;;;;;
201;09 Dienstverlening delfstoffenwinning;1998;0;0;0;;;;;;;;;
202;09 Dienstverlening delfstoffenwinning;1999;0;0;0;;;;;;;;;
203;09 Dienstverlening delfstoffenwinning;2000;0;0;0;;;;;;;;;
204;09 Dienstverlening delfstoffenwinning;2001;0;0;0;;;;;;;;;
205;09 Dienstverlening delfstoffenwinning;2002;0;0;0;;;;;;;;;
206;09 Dienstverlening delfstoffenwinning;2003;0;0;0;;;;;;;;;
207;09 Dienstverlening delfstoffenwinning;2004;0;0;0;;;;;;;;;
208;09 Dienstverlening delfstoffenwinning;2005;0;0;0;;;;;;;;;
209;09 Dienstverlening delfstoffenwinning;2006;0;0;0;;;;;;;;;
210;09 Dienstverlening delfstoffenwinning;2007;0;0;0;;;;;;;;;
211;09 Dienstverlening delfstoffenwinning;2008;0;0;0;;;;;;;;;
212;09 Dienstverlening delfstoffenwinning;2009;0;0;0;;;;;;;;;
213;09 Dienstverlening delfstoffenwinning;2010;0;0;0;0.0;0.0;0.0;;;;;;
214;09 Dienstverlening delfstoffenwinning;2011;0;0;0;;;;;;;;;
215;09 Dienstverlening delfstoffenwinning;2012;0;0;0;;;;;;;;;
216;09 Dienstverlening delfstoffenwinning;2013;0;0;0;;;;;;;;;
217;09 Dienstverlening delfstoffenwinning;2014;0;0;0;;;;;;;;;
218;09 Dienstverlening delfstoffenwinning;2015;0;0;0;;;;;;;;;
219;09 Dienstverlening delfstoffenwinning;2016;0;0;0;;;;;;;;;
220;C Industrie;1995;42836;39527;3309;71259.0;67933.0;4919.0;;;;60.1;58.2;67.3
221;C Industrie;1996;45970;41991;3979;73543.0;69303.0;5775.0;;2.0;17.4;62.5;60.6;68.9
222;C Industrie;1997;51451;45945;5506;79796.0;73380.0;7864.0;;5.9;36.2;64.5;62.6;70.0
