ID;Niveau;SectorenEnDomeinen;CaribischNederland;Perioden;MboStudenten_1
46;Totaal;Totaal;Sint Eustatius;2023/'24;
47;Totaal;Totaal;Sint Eustatius;2024/'25;
48;Totaal;Totaal;Saba;2009/'10;
49;Totaal;Totaal;Saba;2010/'11;
50;Totaal;Totaal;Saba;2011/'12;
51;Totaal;Totaal;Saba;2012/'13;12.0
52;Totaal;Totaal;Saba;2013/'14;20.0
53;Totaal;Totaal;Saba;2014/'15;14.0
54;Totaal;Totaal;Saba;2015/'16;6.0
55;Totaal;Totaal;Saba;2016/'17;7.0
56;Totaal;Totaal;Saba;2017/'18;6.0
57;Totaal;Totaal;Saba;2018/'19;3.0
58;Totaal;Totaal;Saba;2019/'20;15.0
59;Totaal;Totaal;Saba;2020/'21;29.0
60;Totaal;Totaal;Saba;2021/'22;
61;Totaal;Totaal;Saba;2022/'23;
62;Totaal;Totaal;Saba;2023/'24;
63;Totaal;Totaal;Saba;2024/'25;
64;Totaal;Sector economie;Caribisch Nederland;2009/'10;127.0
65;Totaal;Sector economie;Caribisch Nederland;2010/'11;123.0
66;Totaal;Sector economie;Caribisch Nederland;2011/'12;152.0
67;Totaal;Sector economie;Caribisch Nederland;2012/'13;
68;Totaal;Sector economie;Caribisch Nederland;2013/'14;231.0
69;Totaal;Sector economie;Caribisch Nederland;2014/'15;247.0
70;Totaal;Sector economie;Caribisch Nederland;2015/'16;257.0
71;Totaal;Sector economie;Caribisch Nederland;2016/'17;181.0
72;Totaal;Sector economie;Caribisch Nederland;2017/'18;155.0
73;Totaal;Sector economie;Caribisch Nederland;2018/'19;162.0
74;Totaal;Sector economie;Caribisch Nederland;2019/'20;163.0
75;Totaal;Sector economie;Caribisch Nederland;2020/'21;183.0
76;Totaal;Sector economie;Caribisch Nederland;2021/'22;241.0
77;Totaal;Sector economie;Caribisch Nederland;2022/'23;253.0
78;Totaal;Sector economie;Caribisch Nederland;2023/'24;286.0
79;Totaal;Sector economie;Caribisch Nederland;2024/'25;366.0
80;Totaal;Sector economie;Bonaire;2009/'10;127.0
81;Totaal;Sector economie;Bonaire;2010/'11;123.0
82;Totaal;Sector economie;Bonaire;2011/'12;152.0
83;Totaal;Sector economie;Bonaire;2012/'13;
84;Totaal;Sector economie;Bonaire;2013/'14;203.0
85;Totaal;Sector economie;Bonaire;2014/'15;225.0
86;Totaal;Sector economie;Bonaire;2015/'16;240.0
87;Totaal;Sector economie;Bonaire;2016/'17;176.0
88;Totaal;Sector economie;Bonaire;2017/'18;153.0
89;Totaal;Sector economie;Bonaire;2018/'19;162.0
90;Totaal;Sector economie;Bonaire;2019/'20;163.0
91;Totaal;Sector economie;Bonaire;2020/'21;180.0
92;Totaal;Sector economie;Bonaire;2021/'22;241.0
93;Totaal;Sector economie;Bonaire;2022/'23;253.0
94;Totaal;Sector economie;Bonaire;2023/'24;286.0
95;Totaal;Sector economie;Bonaire;2024/'25;366.0
96;Totaal;Sector economie;Sint Eustatius;2009/'10;
97;Totaal;Sector economie;Sint Eustatius;2010/'11;
98;Totaal;Sector economie;Sint Eustatius;2011/'12;
99;Totaal;Sector economie;Sint Eustatius;2012/'13;24.0
100;Totaal;Sector economie;Sint Eustatius;2013/'14;20.0
101;Totaal;Sector economie;Sint Eustatius;2014/'15;17.0
102;Totaal;Sector economie;Sint Eustatius;2015/'16;14.0
103;Totaal;Sector economie;Sint Eustatius;2016/'17;2.0
104;Totaal;Sector economie;Sint Eustatius;2017/'18;0.0
105;Totaal;Sector economie;Sint Eustatius;2018/'19;0.0
106;Totaal;Sector economie;Sint Eustatius;2019/'20;0.0
107;Totaal;Sector economie;Sint Eustatius;2020/'21;0.0
108;Totaal;Sector economie;Sint Eustatius;2021/'22;
109;Totaal;Sector economie;Sint Eustatius;2022/'23;
110;Totaal;Sector economie;Sint Eustatius;2023/'24;
111;Totaal;Sector economie;Sint Eustatius;2024/'25;
112;Totaal;Sector economie;Saba;2009/'10;
113;Totaal;Sector economie;Saba;2010/'11;
114;Totaal;Sector economie;Saba;2011/'12;
115;Totaal;Sector economie;Saba;2012/'13;5.0
116;Totaal;Sector economie;Saba;2013/'14;8.0
117;Totaal;Sector economie;Saba;2014/'15;5.0
118;Totaal;Sector economie;Saba;2015/'16;3.0
119;Totaal;Sector economie;Saba;2016/'17;3.0
120;Totaal;Sector economie;Saba;2017/'18;2.0
121;Totaal;Sector economie;Saba;2018/'19;0.0
122;Totaal;Sector economie;Saba;2019/'20;0.0
123;Totaal;Sector economie;Saba;2020/'21;3.0
124;Totaal;Sector economie;Saba;2021/'22;
125;Totaal;Sector economie;Saba;2022/'23;
126;Totaal;Sector economie;Saba;2023/'24;
127;Totaal;Sector economie;Saba;2024/'25;
128;Totaal;Sector techniek;Caribisch Nederland;2009/'10;25.0
129;Totaal;Sector techniek;Caribisch Nederland;2010/'11;36.0
130;Totaal;Sector techniek;Caribisch Nederland;2011/'12;74.0
131;Totaal;Sector techniek;Caribisch Nederland;2012/'13;
132;Totaal;Sector techniek;Caribisch Nederland;2013/'14;118.0
133;Totaal;Sector techniek;Caribisch Nederland;2014/'15;166.0
134;Totaal;Sector techniek;Caribisch Nederland;2015/'16;179.0
135;Totaal;Sector techniek;Caribisch Nederland;2016/'17;163.0
136;Totaal;Sector techniek;Caribisch Nederland;2017/'18;141.0
137;Totaal;Sector techniek;Caribisch Nederland;2018/'19;95.0
138;Totaal;Sector techniek;Caribisch Nederland;2019/'20;103.0
139;Totaal;Sector techniek;Caribisch Nederland;2020/'21;107.0
140;Totaal;Sector techniek;Caribisch Nederland;2021/'22;135.0
141;Totaal;Sector techniek;Caribisch Nederland;2022/'23;120.0
142;Totaal;Sector techniek;Caribisch Nederland;2023/'24;86.0
143;Totaal;Sector techniek;Caribisch Nederland;2024/'25;42.0
144;Totaal;Sector techniek;Bonaire;2009/'10;25.0
145;Totaal;Sector techniek;Bonaire;2010/'11;36.0
146;Totaal;Sector techniek;Bonaire;2011/'12;74.0
147;Totaal;Sector techniek;Bonaire;2012/'13;
148;Totaal;Sector techniek;Bonaire;2013/'14;106.0
149;Totaal;Sector techniek;Bonaire;2014/'15;157.0
150;Totaal;Sector techniek;Bonaire;2015/'16;176.0
151;Totaal;Sector techniek;Bonaire;2016/'17;159.0
152;Totaal;Sector techniek;Bonaire;2017/'18;137.0
153;Totaal;Sector techniek;Bonaire;2018/'19;92.0
154;Totaal;Sector techniek;Bonaire;2019/'20;102.0
155;Totaal;Sector techniek;Bonaire;2020/'21;107.0
156;Totaal;Sector techniek;Bonaire;2021/'22;135.0
157;Totaal;Sector techniek;Bonaire;2022/'23;120.0
158;Totaal;Sector techniek;Bonaire;2023/'24;86.0
159;Totaal;Sector techniek;Bonaire;2024/'25;42.0
160;Totaal;Sector techniek;Sint Eustatius;2009/'10;
161;Totaal;Sector techniek;Sint Eustatius;2010/'11;
162;Totaal;Sector techniek;Sint Eustatius;2011/'12;
163;Totaal;Sector techniek;Sint Eustatius;2012/'13;0.0
164;Totaal;Sector techniek;Sint Eustatius;2013/'14;0.0
165;Totaal;Sector techniek;Sint Eustatius;2014/'15;0.0
166;Totaal;Sector techniek;Sint Eustatius;2015/'16;0.0
167;Totaal;Sector techniek;Sint Eustatius;2016/'17;0.0
168;Totaal;Sector techniek;Sint Eustatius;2017/'18;0.0
169;Totaal;Sector techniek;Sint Eustatius;2018/'19;0.0
170;Totaal;Sector techniek;Sint Eustatius;2019/'20;0.0
171;Totaal;Sector techniek;Sint Eustatius;2020/'21;0.0
172;Totaal;Sector techniek;Sint Eustatius;2021/'22;
173;Totaal;Sector techniek;Sint Eustatius;2022/'23;
174;Totaal;Sector techniek;Sint Eustatius;2023/'24;
175;Totaal;Sector techniek;Sint Eustatius;2024/'25;
176;Totaal;Sector techniek;Saba;2009/'10;
177;Totaal;Sector techniek;Saba;2010/'11;
178;Totaal;Sector techniek;Saba;2011/'12;
179;Totaal;Sector techniek;Saba;2012/'13;7.0
180;Totaal;Sector techniek;Saba;2013/'14;12.0
181;Totaal;Sector techniek;Saba;2014/'15;9.0
182;Totaal;Sector techniek;Saba;2015/'16;3.0
183;Totaal;Sector techniek;Saba;2016/'17;4.0
184;Totaal;Sector techniek;Saba;2017/'18;4.0
185;Totaal;Sector techniek;Saba;2018/'19;3.0
186;Totaal;Sector techniek;Saba;2019/'20;1.0
187;Totaal;Sector techniek;Saba;2020/'21;0.0
188;Totaal;Sector techniek;Saba;2021/'22;
189;Totaal;Sector techniek;Saba;2022/'23;
190;Totaal;Sector techniek;Saba;2023/'24;
191;Totaal;Sector techniek;Saba;2024/'25;
192;Totaal;Sector zorg en welzijn;Caribisch Nederland;2009/'10;57.0
193;Totaal;Sector zorg en welzijn;Caribisch Nederland;2010/'11;57.0
194;Totaal;Sector zorg en welzijn;Caribisch Nederland;2011/'12;70.0
195;Totaal;Sector zorg en welzijn;Caribisch Nederland;2012/'13;
196;Totaal;Sector zorg en welzijn;Caribisch Nederland;2013/'14;142.0
197;Totaal;Sector zorg en welzijn;Caribisch Nederland;2014/'15;177.0
198;Totaal;Sector zorg en welzijn;Caribisch Nederland;2015/'16;163.0
199;Totaal;Sector zorg en welzijn;Caribisch Nederland;2016/'17;140.0
200;Totaal;Sector zorg en welzijn;Caribisch Nederland;2017/'18;136.0
201;Totaal;Sector zorg en welzijn;Caribisch Nederland;2018/'19;156.0
202;Totaal;Sector zorg en welzijn;Caribisch Nederland;2019/'20;172.0
203;Totaal;Sector zorg en welzijn;Caribisch Nederland;2020/'21;300.0
204;Totaal;Sector zorg en welzijn;Caribisch Nederland;2021/'22;248.0
205;Totaal;Sector zorg en welzijn;Caribisch Nederland;2022/'23;255.0
206;Totaal;Sector zorg en welzijn;Caribisch Nederland;2023/'24;289.0
207;Totaal;Sector zorg en welzijn;Caribisch Nederland;2024/'25;338.0
208;Totaal;Sector zorg en welzijn;Bonaire;2009/'10;57.0
209;Totaal;Sector zorg en welzijn;Bonaire;2010/'11;57.0
210;Totaal;Sector zorg en welzijn;Bonaire;2011/'12;70.0
211;Totaal;Sector zorg en welzijn;Bonaire;2012/'13;
212;Totaal;Sector zorg en welzijn;Bonaire;2013/'14;135.0
213;Totaal;Sector zorg en welzijn;Bonaire;2014/'15;172.0
214;Totaal;Sector zorg en welzijn;Bonaire;2015/'16;156.0
215;Totaal;Sector zorg en welzijn;Bonaire;2016/'17;135.0
216;Totaal;Sector zorg en welzijn;Bonaire;2017/'18;126.0
217;Totaal;Sector zorg en welzijn;Bonaire;2018/'19;146.0
218;Totaal;Sector zorg en welzijn;Bonaire;2019/'20;150.0
219;Totaal;Sector zorg en welzijn;Bonaire;2020/'21;249.0
220;Totaal;Sector zorg en welzijn;Bonaire;2021/'22;248.0
221;Totaal;Sector zorg en welzijn;Bonaire;2022/'23;255.0
222;Totaal;Sector zorg en welzijn;Bonaire;2023/'24;289.0
223;Totaal;Sector zorg en welzijn;Bonaire;2024/'25;338.0
224;Totaal;Sector zorg en welzijn;Sint Eustatius;2009/'10;
225;Totaal;Sector zorg en welzijn;Sint Eustatius;2010/'11;
226;Totaal;Sector zorg en welzijn;Sint Eustatius;2011/'12;
227;Totaal;Sector zorg en welzijn;Sint Eustatius;2012/'13;0.0
228;Totaal;Sector zorg en welzijn;Sint Eustatius;2013/'14;7.0
229;Totaal;Sector zorg en welzijn;Sint Eustatius;2014/'15;5.0
230;Totaal;Sector zorg en welzijn;Sint Eustatius;2015/'16;7.0
231;Totaal;Sector zorg en welzijn;Sint Eustatius;2016/'17;5.0
232;Totaal;Sector zorg en welzijn;Sint Eustatius;2017/'18;10.0
233;Totaal;Sector zorg en welzijn;Sint Eustatius;2018/'19;10.0
234;Totaal;Sector zorg en welzijn;Sint Eustatius;2019/'20;8.0
235;Totaal;Sector zorg en welzijn;Sint Eustatius;2020/'21;25.0
236;Totaal;Sector zorg en welzijn;Sint Eustatius;2021/'22;
237;Totaal;Sector zorg en welzijn;Sint Eustatius;2022/'23;
238;Totaal;Sector zorg en welzijn;Sint Eustatius;2023/'24;
239;Totaal;Sector zorg en welzijn;Sint Eustatius;2024/'25;
240;Totaal;Sector zorg en welzijn;Saba;2009/'10;
241;Totaal;Sector zorg en welzijn;Saba;2010/'11;
242;Totaal;Sector zorg en welzijn;Saba;2011/'12;
243;Totaal;Sector zorg en welzijn;Saba;2012/'13;0.0
244;Totaal;Sector zorg en welzijn;Saba;2013/'14;0.0
245;Totaal;Sector zorg en welzijn;Saba;2014/'15;0.0
246;Totaal;Sector zorg en welzijn;Saba;2015/'16;0.0
247;Totaal;Sector zorg en welzijn;Saba;2016/'17;0.0
248;Totaal;Sector zorg en welzijn;Saba;2017/'18;0.0
249;Totaal;Sector zorg en welzijn;Saba;2018/'19;0.0
250;Totaal;Sector zorg en welzijn;Saba;2019/'20;14.0
251;Totaal;Sector zorg en welzijn;Saba;2020/'21;26.0
252;Totaal;Sector zorg en welzijn;Saba;2021/'22;
253;Totaal;Sector zorg en welzijn;Saba;2022/'23;
254;Totaal;Sector zorg en welzijn;Saba;2023/'24;
255;Totaal;Sector zorg en welzijn;Saba;2024/'25;
256;Totaal;Combinatie van sectoren;Caribisch Nederland;2009/'10;0.0
257;Totaal;Combinatie van sectoren;Caribisch Nederland;2010/'11;0.0
258;Totaal;Combinatie van sectoren;Caribisch Nederland;2011/'12;44.0
259;Totaal;Combinatie van sectoren;Caribisch Nederland;2012/'13;
260;Totaal;Combinatie van sectoren;Caribisch Nederland;2013/'14;73.0
261;Totaal;Combinatie van sectoren;Caribisch Nederland;2014/'15;77.0
262;Totaal;Combinatie van sectoren;Caribisch Nederland;2015/'16;66.0
263;Totaal;Combinatie van sectoren;Caribisch Nederland;2016/'17;104.0
264;Totaal;Combinatie van sectoren;Caribisch Nederland;2017/'18;117.0
265;Totaal;Combinatie van sectoren;Caribisch Nederland;2018/'19;93.0
266;Totaal;Combinatie van sectoren;Caribisch Nederland;2019/'20;127.0
267;Totaal;Combinatie van sectoren;Caribisch Nederland;2020/'21;110.0
268;Totaal;Combinatie van sectoren;Caribisch Nederland;2021/'22;101.0
269;Totaal;Combinatie van sectoren;Caribisch Nederland;2022/'23;120.0
270;Totaal;Combinatie van sectoren;Caribisch Nederland;2023/'24;95.0
271;Totaal;Combinatie van sectoren;Caribisch Nederland;2024/'25;109.0
272;Totaal;Combinatie van sectoren;Bonaire;2009/'10;0.0
273;Totaal;Combinatie van sectoren;Bonaire;2010/'11;0.0
274;Totaal;Combinatie van sectoren;Bonaire;2011/'12;44.0
275;Totaal;Combinatie van sectoren;Bonaire;2012/'13;
276;Totaal;Combinatie van sectoren;Bonaire;2013/'14;61.0
277;Totaal;Combinatie van sectoren;Bonaire;2014/'15;56.0
278;Totaal;Combinatie van sectoren;Bonaire;2015/'16;52.0
279;Totaal;Combinatie van sectoren;Bonaire;2016/'17;100.0
280;Totaal;Combinatie van sectoren;Bonaire;2017/'18;104.0
281;Totaal;Combinatie van sectoren;Bonaire;2018/'19;93.0
282;Totaal;Combinatie van sectoren;Bonaire;2019/'20;127.0
283;Totaal;Combinatie van sectoren;Bonaire;2020/'21;110.0
284;Totaal;Combinatie van sectoren;Bonaire;2021/'22;101.0
285;Totaal;Combinatie van sectoren;Bonaire;2022/'23;120.0
286;Totaal;Combinatie van sectoren;Bonaire;2023/'24;95.0
287;Totaal;Combinatie van sectoren;Bonaire;2024/'25;109.0
288;Totaal;Combinatie van sectoren;Sint Eustatius;2009/'10;
289;Totaal;Combinatie van sectoren;Sint Eustatius;2010/'11;
290;Totaal;Combinatie van sectoren;Sint Eustatius;2011/'12;
291;Totaal;Combinatie van sectoren;Sint Eustatius;2012/'13;7.0
292;Totaal;Combinatie van sectoren;Sint Eustatius;2013/'14;12.0
293;Totaal;Combinatie van sectoren;Sint Eustatius;2014/'15;21.0
294;Totaal;Combinatie van sectoren;Sint Eustatius;2015/'16;14.0
295;Totaal;Combinatie van sectoren;Sint Eustatius;2016/'17;4.0
296;Totaal;Combinatie van sectoren;Sint Eustatius;2017/'18;13.0
297;Totaal;Combinatie van sectoren;Sint Eustatius;2018/'19;0.0
298;Totaal;Combinatie van sectoren;Sint Eustatius;2019/'20;0.0
299;Totaal;Combinatie van sectoren;Sint Eustatius;2020/'21;0.0
300;Totaal;Combinatie van sectoren;Sint Eustatius;2021/'22;
301;Totaal;Combinatie van sectoren;Sint Eustatius;2022/'23;
302;Totaal;Combinatie van sectoren;Sint Eustatius;2023/'24;
303;Totaal;Combinatie van sectoren;Sint Eustatius;2024/'25;
304;Totaal;Combinatie van sectoren;Saba;2009/'10;
305;Totaal;Combinatie van sectoren;Saba;2010/'11;
306;Totaal;Combinatie van sectoren;Saba;2011/'12;
307;Totaal;Combinatie van sectoren;Saba;2012/'13;0.0
308;Totaal;Combinatie van sectoren;Saba;2013/'14;0.0
309;Totaal;Combinatie van sectoren;Saba;2014/'15;0.0
310;Totaal;Combinatie van sectoren;Saba;2015/'16;0.0
311;Totaal;Combinatie van sectoren;Saba;2016/'17;0.0
312;Totaal;Combinatie van sectoren;Saba;2017/'18;0.0
313;Totaal;Combinatie van sectoren;Saba;2018/'19;0.0
314;Totaal;Combinatie van sectoren;Saba;2019/'20;0.0
315;Totaal;Combinatie van sectoren;Saba;2020/'21;0.0
316;Totaal;Combinatie van sectoren;Saba;2021/'22;
317;Totaal;Combinatie van sectoren;Saba;2022/'23;
318;Totaal;Combinatie van sectoren;Saba;2023/'24;
319;Totaal;Combinatie van sectoren;Saba;2024/'25;
320;Totaal;79000 Bouw en infra;Caribisch Nederland;2009/'10;0.0
321;Totaal;79000 Bouw en infra;Caribisch Nederland;2010/'11;0.0
322;Totaal;79000 Bouw en infra;Caribisch Nederland;2011/'12;13.0
323;Totaal;79000 Bouw en infra;Caribisch Nederland;2012/'13;
324;Totaal;79000 Bouw en infra;Caribisch Nederland;2013/'14;6.0
325;Totaal;79000 Bouw en infra;Caribisch Nederland;2014/'15;26.0
326;Totaal;79000 Bouw en infra;Caribisch Nederland;2015/'16;34.0
327;Totaal;79000 Bouw en infra;Caribisch Nederland;2016/'17;25.0
328;Totaal;79000 Bouw en infra;Caribisch Nederland;2017/'18;30.0
329;Totaal;79000 Bouw en infra;Caribisch Nederland;2018/'19;8.0
330;Totaal;79000 Bouw en infra;Caribisch Nederland;2019/'20;2.0
331;Totaal;79000 Bouw en infra;Caribisch Nederland;2020/'21;0.0
332;Totaal;79000 Bouw en infra;Caribisch Nederland;2021/'22;0.0
333;Totaal;79000 Bouw en infra;Caribisch Nederland;2022/'23;0.0
334;Totaal;79000 Bouw en infra;Caribisch Nederland;2023/'24;0.0
335;Totaal;79000 Bouw en infra;Caribisch Nederland;2024/'25;0.0
336;Totaal;79000 Bouw en infra;Bonaire;2009/'10;0.0
337;Totaal;79000 Bouw en infra;Bonaire;2010/'11;0.0
338;Totaal;79000 Bouw en infra;Bonaire;2011/'12;13.0
339;Totaal;79000 Bouw en infra;Bonaire;2012/'13;
340;Totaal;79000 Bouw en infra;Bonaire;2013/'14;2.0
341;Totaal;79000 Bouw en infra;Bonaire;2014/'15;23.0
342;Totaal;79000 Bouw en infra;Bonaire;2015/'16;34.0
343;Totaal;79000 Bouw en infra;Bonaire;2016/'17;25.0
344;Totaal;79000 Bouw en infra;Bonaire;2017/'18;30.0
345;Totaal;79000 Bouw en infra;Bonaire;2018/'19;8.0
346;Totaal;79000 Bouw en infra;Bonaire;2019/'20;2.0
347;Totaal;79000 Bouw en infra;Bonaire;2020/'21;0.0
348;Totaal;79000 Bouw en infra;Bonaire;2021/'22;0.0
349;Totaal;79000 Bouw en infra;Bonaire;2022/'23;0.0
350;Totaal;79000 Bouw en infra;Bonaire;2023/'24;0.0
351;Totaal;79000 Bouw en infra;Bonaire;2024/'25;0.0
352;Totaal;79000 Bouw en infra;Sint Eustatius;2009/'10;
353;Totaal;79000 Bouw en infra;Sint Eustatius;2010/'11;
354;Totaal;79000 Bouw en infra;Sint Eustatius;2011/'12;
355;Totaal;79000 Bouw en infra;Sint Eustatius;2012/'13;0.0
356;Totaal;79000 Bouw en infra;Sint Eustatius;2013/'14;0.0
357;Totaal;79000 Bouw en infra;Sint Eustatius;2014/'15;0.0
358;Totaal;79000 Bouw en infra;Sint Eustatius;2015/'16;0.0
359;Totaal;79000 Bouw en infra;Sint Eustatius;2016/'17;0.0
360;Totaal;79000 Bouw en infra;Sint Eustatius;2017/'18;0.0
361;Totaal;79000 Bouw en infra;Sint Eustatius;2018/'19;0.0
362;Totaal;79000 Bouw en infra;Sint Eustatius;2019/'20;0.0
363;Totaal;79000 Bouw en infra;Sint Eustatius;2020/'21;0.0
364;Totaal;79000 Bouw en infra;Sint Eustatius;2021/'22;
365;Totaal;79000 Bouw en infra;Sint Eustatius;2022/'23;
366;Totaal;79000 Bouw en infra;Sint Eustatius;2023/'24;
367;Totaal;79000 Bouw en infra;Sint Eustatius;2024/'25;
368;Totaal;79000 Bouw en infra;Saba;2009/'10;
369;Totaal;79000 Bouw en infra;Saba;2010/'11;
370;Totaal;79000 Bouw en infra;Saba;2011/'12;
371;Totaal;79000 Bouw en infra;Saba;2012/'13;0.0
372;Totaal;79000 Bouw en infra;Saba;2013/'14;4.0
373;Totaal;79000 Bouw en infra;Saba;2014/'15;3.0
374;Totaal;79000 Bouw en infra;Saba;2015/'16;0.0
375;Totaal;79000 Bouw en infra;Saba;2016/'17;0.0
376;Totaal;79000 Bouw en infra;Saba;2017/'18;0.0
377;Totaal;79000 Bouw en infra;Saba;2018/'19;0.0
378;Totaal;79000 Bouw en infra;Saba;2019/'20;0.0
379;Totaal;79000 Bouw en infra;Saba;2020/'21;0.0
380;Totaal;79000 Bouw en infra;Saba;2021/'22;
381;Totaal;79000 Bouw en infra;Saba;2022/'23;
382;Totaal;79000 Bouw en infra;Saba;2023/'24;
383;Totaal;79000 Bouw en infra;Saba;2024/'25;
384;Totaal;79010 Afbouw, hout en onderhoud;Caribisch Nederland;2009/'10;0.0
385;Totaal;79010 Afbouw, hout en onderhoud;Caribisch Nederland;2010/'11;31.0
386;Totaal;79010 Afbouw, hout en onderhoud;Caribisch Nederland;2011/'12;49.0
387;Totaal;79010 Afbouw, hout en onderhoud;Caribisch Nederland;2012/'13;
388;Totaal;79010 Afbouw, hout en onderhoud;Caribisch Nederland;2013/'14;50.0
389;Totaal;79010 Afbouw, hout en onderhoud;Caribisch Nederland;2014/'15;6.0
390;Totaal;79010 Afbouw, hout en onderhoud;Caribisch Nederland;2015/'16;24.0
391;Totaal;79010 Afbouw, hout en onderhoud;Caribisch Nederland;2016/'17;21.0
392;Totaal;79010 Afbouw, hout en onderhoud;Caribisch Nederland;2017/'18;4.0
393;Totaal;79010 Afbouw, hout en onderhoud;Caribisch Nederland;2018/'19;11.0
394;Totaal;79010 Afbouw, hout en onderhoud;Caribisch Nederland;2019/'20;28.0
395;Totaal;79010 Afbouw, hout en onderhoud;Caribisch Nederland;2020/'21;35.0
396;Totaal;79010 Afbouw, hout en onderhoud;Caribisch Nederland;2021/'22;53.0
397;Totaal;79010 Afbouw, hout en onderhoud;Caribisch Nederland;2022/'23;49.0
398;Totaal;79010 Afbouw, hout en onderhoud;Caribisch Nederland;2023/'24;36.0
399;Totaal;79010 Afbouw, hout en onderhoud;Caribisch Nederland;2024/'25;23.0
400;Totaal;79010 Afbouw, hout en onderhoud;Bonaire;2009/'10;0.0
401;Totaal;79010 Afbouw, hout en onderhoud;Bonaire;2010/'11;31.0
402;Totaal;79010 Afbouw, hout en onderhoud;Bonaire;2011/'12;49.0
403;Totaal;79010 Afbouw, hout en onderhoud;Bonaire;2012/'13;
404;Totaal;79010 Afbouw, hout en onderhoud;Bonaire;2013/'14;42.0
405;Totaal;79010 Afbouw, hout en onderhoud;Bonaire;2014/'15;0.0
406;Totaal;79010 Afbouw, hout en onderhoud;Bonaire;2015/'16;21.0
407;Totaal;79010 Afbouw, hout en onderhoud;Bonaire;2016/'17;17.0
408;Totaal;79010 Afbouw, hout en onderhoud;Bonaire;2017/'18;0.0
409;Totaal;79010 Afbouw, hout en onderhoud;Bonaire;2018/'19;8.0
410;Totaal;79010 Afbouw, hout en onderhoud;Bonaire;2019/'20;27.0
411;Totaal;79010 Afbouw, hout en onderhoud;Bonaire;2020/'21;35.0
412;Totaal;79010 Afbouw, hout en onderhoud;Bonaire;2021/'22;53.0
413;Totaal;79010 Afbouw, hout en onderhoud;Bonaire;2022/'23;49.0
414;Totaal;79010 Afbouw, hout en onderhoud;Bonaire;2023/'24;36.0
415;Totaal;79010 Afbouw, hout en onderhoud;Bonaire;2024/'25;23.0
416;Totaal;79010 Afbouw, hout en onderhoud;Sint Eustatius;2009/'10;
417;Totaal;79010 Afbouw, hout en onderhoud;Sint Eustatius;2010/'11;
418;Totaal;79010 Afbouw, hout en onderhoud;Sint Eustatius;2011/'12;
419;Totaal;79010 Afbouw, hout en onderhoud;Sint Eustatius;2012/'13;0.0
