ID;BedrijfstakkenBranchesSBI2008;Perioden;Omzet_1;TotaalUitzenduren_2;UitzendurenFaseA_3;UitzendurenFaseBC_4;Omzet_5;TotaalUitzenduren_6;UitzendurenFaseA_7;UitzendurenFaseBC_8;Omzet_9;TotaalUitzenduren_10;UitzendurenFaseA_11;UitzendurenFaseBC_12;Omzet_13;TotaalUitzenduren_14;UitzendurenFaseA_15;UitzendurenFaseBC_16
10;78 Uitzendbureaus en arbeidsbemiddeling;2007 1e kwartaal;95.2;97.9;103.8;89.9;26.8;20.2;16.8;25.9;100.9;106.0;113.7;95.5;6.8;4.4;3.5;6.0
11;78 Uitzendbureaus en arbeidsbemiddeling;2007 2e kwartaal;105.3;108.7;115.3;99.8;23.4;17.9;15.0;22.6;105.0;108.7;115.5;99.7;4.1;2.5;1.6;4.4
12;78 Uitzendbureaus en arbeidsbemiddeling;2007 3e kwartaal;110.0;116.0;123.5;105.9;20.6;14.8;11.8;19.9;108.9;111.0;117.1;102.7;3.7;2.1;1.4;3.0
13;78 Uitzendbureaus en arbeidsbemiddeling;2007 4e kwartaal;117.8;116.3;122.1;108.5;19.1;11.3;7.5;17.6;113.4;113.3;118.4;106.1;4.1;2.1;1.1;3.3
14;78 Uitzendbureaus en arbeidsbemiddeling;2007;107.0;109.8;116.2;101.0;22.2;15.8;12.5;21.2;;;;;;;;
15;78 Uitzendbureaus en arbeidsbemiddeling;2008 1e kwartaal;109.6;108.0;109.2;106.5;15.1;10.3;5.2;18.4;115.6;116.4;119.5;112.2;1.9;2.7;0.9;5.7
16;78 Uitzendbureaus en arbeidsbemiddeling;2008 2e kwartaal;119.9;118.7;120.9;115.9;13.9;9.2;4.8;16.1;119.8;118.7;120.8;116.1;3.6;2.0;1.1;3.5
17;78 Uitzendbureaus en arbeidsbemiddeling;2008 3e kwartaal;119.3;121.0;122.6;118.8;8.4;4.3;-0.7;12.2;118.1;115.8;116.0;115.5;-1.4;-2.4;-4.0;-0.5
18;78 Uitzendbureaus en arbeidsbemiddeling;2008 4e kwartaal;122.0;117.2;116.2;118.6;3.6;0.8;-4.8;9.3;117.3;114.1;112.6;116.0;-0.7;-1.5;-2.9;0.4
19;78 Uitzendbureaus en arbeidsbemiddeling;2008;117.7;116.3;117.2;114.9;9.9;5.9;0.9;13.8;;;;;;;;
20;78 Uitzendbureaus en arbeidsbemiddeling;2009 1e kwartaal;106.2;99.3;94.9;105.3;-3.1;-8.1;-13.1;-1.1;112.6;107.9;105.5;111.4;-4.0;-5.4;-6.3;-4.0
21;78 Uitzendbureaus en arbeidsbemiddeling;2009 2e kwartaal;104.3;101.9;98.7;106.2;-13.0;-14.2;-18.3;-8.3;104.1;101.8;98.3;106.6;-7.5;-5.7;-6.8;-4.3
22;78 Uitzendbureaus en arbeidsbemiddeling;2009 3e kwartaal;104.0;106.7;103.8;110.6;-12.8;-11.8;-15.3;-6.9;102.7;101.3;97.1;107.0;-1.3;-0.5;-1.2;0.4
23;78 Uitzendbureaus en arbeidsbemiddeling;2009 4e kwartaal;103.7;101.9;98.2;106.9;-15.0;-13.1;-15.5;-9.8;98.9;98.8;94.8;104.0;-3.7;-2.5;-2.4;-2.8
24;78 Uitzendbureaus en arbeidsbemiddeling;2009;104.5;102.5;98.9;107.3;-11.2;-11.9;-15.6;-6.7;;;;;;;;
25;78 Uitzendbureaus en arbeidsbemiddeling;2010 1e kwartaal;90.2;86.4;82.3;91.8;-15.1;-13.0;-13.3;-12.8;96.8;95.1;93.1;98.0;-2.1;-3.7;-1.8;-5.8
26;78 Uitzendbureaus en arbeidsbemiddeling;2010 2e kwartaal;98.5;98.9;98.8;98.9;-5.5;-3.0;0.1;-6.9;98.2;98.6;98.0;99.5;1.4;3.7;5.3;1.5
27;78 Uitzendbureaus en arbeidsbemiddeling;2010 3e kwartaal;103.3;107.9;110.3;104.8;-0.7;1.1;6.2;-5.3;101.8;102.4;103.4;101.0;3.7;3.9;5.5;1.5
28;78 Uitzendbureaus en arbeidsbemiddeling;2010 4e kwartaal;108.0;106.8;108.6;104.5;4.2;4.8;10.6;-2.3;103.1;103.8;105.5;101.4;1.3;1.4;2.0;0.4
29;78 Uitzendbureaus en arbeidsbemiddeling;2010;100.0;100.0;100.0;100.0;-4.3;-2.4;1.1;-6.8;;;;;;;;
30;78 Uitzendbureaus en arbeidsbemiddeling;2011 1e kwartaal;98.7;97.0;97.8;96.0;9.5;12.3;18.8;4.5;105.5;105.8;108.6;102.3;2.3;1.9;2.9;0.9
31;78 Uitzendbureaus en arbeidsbemiddeling;2011 2e kwartaal;108.9;106.8;110.9;101.3;10.6;8.0;12.2;2.4;108.6;106.5;109.8;101.9;2.9;0.7;1.1;-0.4
32;78 Uitzendbureaus en arbeidsbemiddeling;2011 3e kwartaal;108.9;110.9;115.0;105.4;5.4;2.8;4.3;0.6;107.2;105.4;108.1;101.5;-1.3;-1.0;-1.5;-0.4
33;78 Uitzendbureaus en arbeidsbemiddeling;2011 4e kwartaal;111.9;107.4;110.2;103.7;3.6;0.5;1.5;-0.8;107.1;104.6;107.4;100.6;-0.1;-0.8;-0.6;-0.9
34;78 Uitzendbureaus en arbeidsbemiddeling;2011;107.1;105.5;108.5;101.6;7.1;5.5;8.5;1.6;;;;;;;;
35;78 Uitzendbureaus en arbeidsbemiddeling;2012 1e kwartaal;99.3;96.3;97.7;94.5;0.6;-0.7;-0.1;-1.6;106.4;105.5;108.8;101.0;-0.7;0.9;1.3;0.4
36;78 Uitzendbureaus en arbeidsbemiddeling;2012 2e kwartaal;105.8;105.3;108.6;100.8;-2.9;-1.4;-2.0;-0.5;105.2;104.9;107.5;101.3;-1.1;-0.6;-1.2;0.3
37;78 Uitzendbureaus en arbeidsbemiddeling;2012 3e kwartaal;105.6;108.7;111.1;105.4;-3.0;-2.0;-3.4;0.0;103.8;102.9;104.1;101.3;-1.3;-1.9;-3.2;0.0
38;78 Uitzendbureaus en arbeidsbemiddeling;2012 4e kwartaal;108.0;105.9;105.8;106.0;-3.4;-1.5;-4.0;2.3;103.3;103.0;102.9;103.1;-0.5;0.1;-1.2;1.8
39;78 Uitzendbureaus en arbeidsbemiddeling;2012;104.7;104.0;105.8;101.7;-2.3;-1.4;-2.5;0.1;;;;;;;;
40;78 Uitzendbureaus en arbeidsbemiddeling;2013 1e kwartaal;95.4;92.8;88.6;98.4;-3.9;-3.7;-9.3;4.2;102.8;101.9;99.5;105.1;-0.5;-1.1;-3.3;1.9
41;78 Uitzendbureaus en arbeidsbemiddeling;2013 2e kwartaal;104.3;103.5;99.6;108.8;-1.4;-1.7;-8.3;7.9;103.9;102.9;98.6;108.6;1.1;1.0;-0.9;3.3
42;78 Uitzendbureaus en arbeidsbemiddeling;2013 3e kwartaal;107.7;109.4;105.3;114.9;2.0;0.6;-5.2;9.0;105.9;104.0;98.9;110.9;1.9;1.1;0.3;2.1
43;78 Uitzendbureaus en arbeidsbemiddeling;2013 4e kwartaal;112.5;109.2;103.9;116.4;4.2;3.2;-1.7;9.8;107.4;106.1;100.4;113.9;1.4;2.0;1.5;2.7
44;78 Uitzendbureaus en arbeidsbemiddeling;2013;105.0;103.7;99.4;109.6;0.3;-0.3;-6.1;7.8;;;;;;;;
45;78 Uitzendbureaus en arbeidsbemiddeling;2014 1e kwartaal;100.1;98.4;87.7;113.0;4.9;6.1;-1.1;14.8;107.6;107.5;98.4;119.8;0.2;1.3;-2.0;5.2
46;78 Uitzendbureaus en arbeidsbemiddeling;2014 2e kwartaal;110.0;110.0;97.8;126.6;5.5;6.3;-1.8;16.4;109.6;109.4;97.1;126.3;1.9;1.8;-1.3;5.4
47;78 Uitzendbureaus en arbeidsbemiddeling;2014 3e kwartaal;113.8;116.4;104.0;133.2;5.6;6.4;-1.2;15.9;111.8;111.3;97.8;129.4;2.0;1.7;0.7;2.5
48;78 Uitzendbureaus en arbeidsbemiddeling;2014 4e kwartaal;119.0;117.2;103.0;136.5;5.8;7.3;-0.9;17.3;113.9;113.8;99.1;133.7;1.9;2.2;1.3;3.3
49;78 Uitzendbureaus en arbeidsbemiddeling;2014;110.7;110.5;98.1;127.3;5.5;6.6;-1.2;16.2;;;;;;;;
50;78 Uitzendbureaus en arbeidsbemiddeling;2015 1e kwartaal;108.1;106.0;88.2;130.2;8.0;7.7;0.5;15.2;116.2;115.6;99.3;137.8;2.0;1.6;0.2;3.1
51;78 Uitzendbureaus en arbeidsbemiddeling;2015 2e kwartaal;120.2;119.4;102.7;142.1;9.3;8.6;5.1;12.2;120.4;119.1;102.3;142.1;3.6;3.0;3.0;3.1
52;78 Uitzendbureaus en arbeidsbemiddeling;2015 3e kwartaal;126.1;128.0;110.9;151.2;10.8;10.0;6.6;13.5;123.9;122.8;104.6;147.4;2.9;3.1;2.2;3.7
53;78 Uitzendbureaus en arbeidsbemiddeling;2015 4e kwartaal;135.9;130.2;111.2;155.9;14.2;11.1;7.9;14.3;129.8;126.1;106.6;152.1;4.8;2.7;1.9;3.2
54;78 Uitzendbureaus en arbeidsbemiddeling;2015;122.6;120.9;103.2;144.9;10.7;9.4;5.2;13.8;;;;;;;;
55;78 Uitzendbureaus en arbeidsbemiddeling;2016 1e kwartaal;118.9;115.4;96.0;141.6;10.0;8.8;8.9;8.8;128.2;125.7;107.5;150.4;-1.2;-0.3;0.8;-1.1
56;78 Uitzendbureaus en arbeidsbemiddeling;2016 2e kwartaal;130.4;128.7;110.3;153.7;8.5;7.8;7.4;8.1;130.3;128.5;110.0;153.5;1.6;2.2;2.3;2.1
57;78 Uitzendbureaus en arbeidsbemiddeling;2016 3e kwartaal;133.6;136.4;118.1;161.2;6.0;6.6;6.6;6.6;131.6;130.8;111.7;156.8;1.0;1.8;1.5;2.1
58;78 Uitzendbureaus en arbeidsbemiddeling;2016 4e kwartaal;142.1;138.4;117.4;166.9;4.6;6.3;5.6;7.0;134.4;133.6;112.6;162.1;2.1;2.1;0.8;3.4
59;78 Uitzendbureaus en arbeidsbemiddeling;2016;131.3;129.7;110.5;155.8;7.1;7.3;7.0;7.6;;;;;;;;
60;78 Uitzendbureaus en arbeidsbemiddeling;2017 1e kwartaal;126.0;124.7;100.2;158.0;6.0;8.1;4.3;11.5;136.0;136.1;112.5;168.0;1.2;1.9;-0.1;3.6
61;78 Uitzendbureaus en arbeidsbemiddeling;2017 2e kwartaal;138.7;142.2;118.8;173.9;6.4;10.5;7.7;13.2;138.5;140.9;117.8;172.3;1.9;3.6;4.7;2.6
62;78 Uitzendbureaus en arbeidsbemiddeling;2017 3e kwartaal;142.0;147.4;124.9;177.8;6.2;8.0;5.8;10.3;140.2;141.8;118.1;173.9;1.2;0.6;0.2;0.9
63;78 Uitzendbureaus en arbeidsbemiddeling;2017 4e kwartaal;152.1;149.2;123.2;184.4;7.0;7.8;5.0;10.5;143.7;144.7;118.7;179.9;2.5;2.1;0.5;3.4
64;78 Uitzendbureaus en arbeidsbemiddeling;2017;139.7;140.9;116.8;173.5;6.4;8.6;5.7;11.3;139.6;140.9;116.8;173.5;;;;
65;"782 Uitzend- en uitleenbureaus; pools";2005 1e kwartaal;59.1;66.3;70.3;60.3;;;;;;;;;;;;
66;"782 Uitzend- en uitleenbureaus; pools";2005 2e kwartaal;68.5;77.5;83.5;68.5;;;;;;;;;;;;
67;"782 Uitzend- en uitleenbureaus; pools";2005 3e kwartaal;72.1;86.8;95.0;74.7;;;;;;;;;;;;
68;"782 Uitzend- en uitleenbureaus; pools";2005 4e kwartaal;77.2;87.2;96.3;73.5;;;;;;;;;;;;
69;"782 Uitzend- en uitleenbureaus; pools";2005;69.2;79.5;86.3;69.2;;;;;;;;;;;;
70;"782 Uitzend- en uitleenbureaus; pools";2006 1e kwartaal;74.0;81.8;88.7;71.6;25.4;23.4;26.1;18.8;;;;;;;;
71;"782 Uitzend- en uitleenbureaus; pools";2006 2e kwartaal;84.2;93.0;100.3;82.0;23.0;19.9;20.1;19.7;;;;;;;;
72;"782 Uitzend- en uitleenbureaus; pools";2006 3e kwartaal;90.8;102.1;110.6;89.3;25.9;17.5;16.4;19.6;;;;;;;;
73;"782 Uitzend- en uitleenbureaus; pools";2006 4e kwartaal;98.1;105.6;113.8;93.3;27.1;21.1;18.1;26.9;;;;;;;;
74;"782 Uitzend- en uitleenbureaus; pools";2006;86.8;95.6;103.4;84.1;25.4;20.3;19.8;21.4;;;;;;;;
75;"782 Uitzend- en uitleenbureaus; pools";2007 1e kwartaal;94.7;98.9;104.2;91.1;27.9;20.9;17.5;27.3;;;;;;;;
76;"782 Uitzend- en uitleenbureaus; pools";2007 2e kwartaal;104.9;109.8;115.7;101.1;24.5;18.1;15.3;23.3;;;;;;;;
77;"782 Uitzend- en uitleenbureaus; pools";2007 3e kwartaal;110.1;117.2;123.7;107.4;21.2;14.8;11.9;20.2;;;;;;;;
78;"782 Uitzend- en uitleenbureaus; pools";2007 4e kwartaal;117.4;117.5;122.5;110.0;19.6;11.2;7.6;17.8;;;;;;;;
79;"782 Uitzend- en uitleenbureaus; pools";2007;106.8;110.8;116.5;102.4;23.0;15.9;12.7;21.8;;;;;;;;
80;"782 Uitzend- en uitleenbureaus; pools";2008 1e kwartaal;109.0;108.7;109.4;107.7;15.1;9.9;5.0;18.3;;;;;;;;
81;"782 Uitzend- en uitleenbureaus; pools";2008 2e kwartaal;120.1;119.5;121.0;117.3;14.5;8.8;4.6;16.0;;;;;;;;
82;"782 Uitzend- en uitleenbureaus; pools";2008 3e kwartaal;119.6;121.8;122.6;120.6;8.7;4.0;-0.9;12.3;;;;;;;;
83;"782 Uitzend- en uitleenbureaus; pools";2008 4e kwartaal;122.0;117.8;116.2;120.2;3.9;0.3;-5.2;9.4;;;;;;;;
84;"782 Uitzend- en uitleenbureaus; pools";2008;117.7;117.0;117.3;116.5;10.2;5.5;0.7;13.8;;;;;;;;
85;"782 Uitzend- en uitleenbureaus; pools";2009 1e kwartaal;105.8;99.4;94.7;106.5;-3.0;-8.5;-13.4;-1.2;;;;;;;;
86;"782 Uitzend- en uitleenbureaus; pools";2009 2e kwartaal;104.1;101.6;98.5;106.1;-13.3;-15.0;-18.6;-9.5;;;;;;;;
87;"782 Uitzend- en uitleenbureaus; pools";2009 3e kwartaal;104.5;106.4;103.5;110.8;-12.6;-12.6;-15.6;-8.2;;;;;;;;
88;"782 Uitzend- en uitleenbureaus; pools";2009 4e kwartaal;103.4;101.7;97.8;107.4;-15.2;-13.7;-15.8;-10.7;;;;;;;;
89;"782 Uitzend- en uitleenbureaus; pools";2009;104.5;102.3;98.7;107.7;-11.2;-12.6;-15.9;-7.5;;;;;;;;
90;"782 Uitzend- en uitleenbureaus; pools";2010 1e kwartaal;89.9;86.5;82.3;92.6;-15.0;-13.1;-13.1;-13.0;;;;;;;;
91;"782 Uitzend- en uitleenbureaus; pools";2010 2e kwartaal;98.6;98.9;98.9;99.0;-5.3;-2.6;0.3;-6.8;;;;;;;;
92;"782 Uitzend- en uitleenbureaus; pools";2010 3e kwartaal;103.6;107.8;110.3;104.1;-0.9;1.3;6.5;-6.0;;;;;;;;
93;"782 Uitzend- en uitleenbureaus; pools";2010 4e kwartaal;107.9;106.8;108.5;104.2;4.3;5.0;10.9;-3.0;;;;;;;;
94;"782 Uitzend- en uitleenbureaus; pools";2010;100.0;100.0;100.0;100.0;-4.3;-2.2;1.4;-7.1;;;;;;;;
95;"782 Uitzend- en uitleenbureaus; pools";2011 1e kwartaal;98.3;97.1;97.8;95.9;9.4;12.2;18.8;3.5;;;;;;;;
96;"782 Uitzend- en uitleenbureaus; pools";2011 2e kwartaal;108.9;106.3;110.6;100.0;10.4;7.5;11.9;1.0;;;;;;;;
97;"782 Uitzend- en uitleenbureaus; pools";2011 3e kwartaal;109.0;110.1;114.6;103.4;5.2;2.1;3.8;-0.7;;;;;;;;
98;"782 Uitzend- en uitleenbureaus; pools";2011 4e kwartaal;110.8;106.6;109.6;102.1;2.7;-0.2;1.0;-2.1;;;;;;;;
99;"782 Uitzend- en uitleenbureaus; pools";2011;106.8;105.0;108.1;100.3;6.8;5.0;8.1;0.3;;;;;;;;
100;"782 Uitzend- en uitleenbureaus; pools";2012 1e kwartaal;97.3;96.0;96.9;94.6;-1.0;-1.1;-0.9;-1.4;;;;;;;;
101;"782 Uitzend- en uitleenbureaus; pools";2012 2e kwartaal;103.4;104.5;107.5;100.0;-5.1;-1.7;-2.8;0.1;;;;;;;;
102;"782 Uitzend- en uitleenbureaus; pools";2012 3e kwartaal;103.3;107.3;109.7;103.6;-5.2;-2.5;-4.2;0.2;;;;;;;;
103;"782 Uitzend- en uitleenbureaus; pools";2012 4e kwartaal;105.2;104.6;104.5;104.7;-5.1;-1.9;-4.7;2.6;;;;;;;;
104;"782 Uitzend- en uitleenbureaus; pools";2012;102.3;103.1;104.7;100.7;-4.2;-1.8;-3.2;0.4;;;;;;;;
105;"782 Uitzend- en uitleenbureaus; pools";2013 1e kwartaal;92.5;91.7;87.7;97.5;-5.0;-4.5;-9.5;3.1;;;;;;;;
106;"782 Uitzend- en uitleenbureaus; pools";2013 2e kwartaal;101.2;101.8;98.6;106.6;-2.1;-2.6;-8.3;6.6;;;;;;;;
107;"782 Uitzend- en uitleenbureaus; pools";2013 3e kwartaal;104.8;107.2;104.4;111.4;1.4;-0.1;-4.9;7.6;;;;;;;;
108;"782 Uitzend- en uitleenbureaus; pools";2013 4e kwartaal;108.7;106.9;103.1;112.4;3.3;2.2;-1.3;7.3;;;;;;;;
109;"782 Uitzend- en uitleenbureaus; pools";2013;101.8;101.9;98.4;107.0;-0.5;-1.2;-5.9;6.2;;;;;;;;
110;"782 Uitzend- en uitleenbureaus; pools";2014 1e kwartaal;96.2;96.5;86.9;110.8;4.0;5.3;-0.9;13.6;;;;;;;;
111;"782 Uitzend- en uitleenbureaus; pools";2014 2e kwartaal;106.0;107.7;96.7;124.0;4.8;5.8;-1.9;16.3;;;;;;;;
112;"782 Uitzend- en uitleenbureaus; pools";2014 3e kwartaal;109.8;113.8;102.9;129.9;4.8;6.1;-1.4;16.6;;;;;;;;
113;"782 Uitzend- en uitleenbureaus; pools";2014 4e kwartaal;114.1;114.2;101.8;132.8;5.0;6.9;-1.3;18.1;;;;;;;;
114;"782 Uitzend- en uitleenbureaus; pools";2014;106.5;108.0;97.1;124.4;4.6;6.1;-1.4;16.3;;;;;;;;
115;"782 Uitzend- en uitleenbureaus; pools";2015 1e kwartaal;;;;;;;;;;;;;;;;
116;"782 Uitzend- en uitleenbureaus; pools";2015 2e kwartaal;;;;;;;;;;;;;;;;
117;"782 Uitzend- en uitleenbureaus; pools";2015 3e kwartaal;;;;;;;;;;;;;;;;
118;"782 Uitzend- en uitleenbureaus; pools";2015 4e kwartaal;;;;;;;;;;;;;;;;
119;"782 Uitzend- en uitleenbureaus; pools";2015;;;;;;;;;;;;;;;;
120;"782 Uitzend- en uitleenbureaus; pools";2016 1e kwartaal;;;;;;;;;;;;;;;;
121;"782 Uitzend- en uitleenbureaus; pools";2016 2e kwartaal;;;;;;;;;;;;;;;;
122;"782 Uitzend- en uitleenbureaus; pools";2016 3e kwartaal;;;;;;;;;;;;;;;;
123;"782 Uitzend- en uitleenbureaus; pools";2016 4e kwartaal;;;;;;;;;;;;;;;;
124;"782 Uitzend- en uitleenbureaus; pools";2016;;;;;;;;;;;;;;;;
125;"782 Uitzend- en uitleenbureaus; pools";2017 1e kwartaal;;;;;;;;;;;;;;;;
126;"782 Uitzend- en uitleenbureaus; pools";2017 2e kwartaal;;;;;;;;;;;;;;;;
127;"782 Uitzend- en uitleenbureaus; pools";2017 3e kwartaal;;;;;;;;;;;;;;;;
128;"782 Uitzend- en uitleenbureaus; pools";2017 4e kwartaal;;;;;;;;;;;;;;;;
129;"782 Uitzend- en uitleenbureaus; pools";2017;;;;;;;;;;;;;;;;
