ID;SoortToevoeging;Perioden;TotaalAfgegevenToevoegingen_1;TotaalBestuursrecht_2;Ambtenarenrecht_3;FiscaalRecht_4;Milieurecht_5;SocialeVerzekeringen_6;SocialeVoorzieningen_7;VreemdelingenrechtAsielrecht_8;VreemdelingenrechtBewaring_9;VreemdelingenrechtOverig_10;Woonrecht_11;BestuursrechtOverigEnOnbekend_12;TotaalCivielRecht_13;Arbeidsrecht_14;BOPZ_15;Erfrecht_16;Faillissementsrecht_17;Goederenrecht_18;Huurrecht_19;PersonenEnFamilierecht_20;Verbintenissenrecht_21;CivielRechtOverigEnOnbekend_22;Strafrecht_23;Onbekend_24
17;Licht advies;2014;10190.0;2840.0;0.0;70.0;0.0;420.0;1040.0;70.0;0.0;760.0;50.0;430.0;6590.0;920.0;10.0;70.0;60.0;20.0;830.0;2320.0;1950.0;410.0;760.0;0.0
18;Licht advies;2015;9600.0;2500.0;10.0;80.0;0.0;410.0;850.0;120.0;0.0;550.0;50.0;440.0;6200.0;870.0;10.0;60.0;30.0;20.0;760.0;2460.0;1700.0;300.0;890.0;10.0
19;Licht advies;2016;9050.0;2370.0;10.0;60.0;0.0;310.0;750.0;440.0;0.0;330.0;40.0;430.0;5810.0;800.0;0.0;70.0;30.0;40.0;680.0;2270.0;1650.0;270.0;870.0;0.0
20;Mediation;2007;;;;;;;;;;;;;;;;;;;;;;;;
21;Mediation;2008;;;;;;;;;;;;;;;;;;;;;;;;
22;Mediation;2009;;;;;;;;;;;;;;;;;;;;;;;;
23;Mediation;2010;;;;;;;;;;;;;;;;;;;;;;;;
24;Mediation;2011;;;;;;;;;;;;;;;;;;;;;;;;
25;Mediation;2012;8500.0;30.0;0.0;0.0;0.0;0.0;20.0;0.0;0.0;0.0;0.0;0.0;8470.0;20.0;0.0;0.0;0.0;0.0;10.0;8400.0;20.0;10.0;0.0;0.0
26;Mediation;2013;10390.0;10.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10.0;10370.0;10.0;0.0;20.0;0.0;0.0;10.0;10300.0;20.0;10.0;0.0;0.0
27;Mediation;2014;13430.0;10.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10.0;13410.0;10.0;0.0;20.0;0.0;0.0;10.0;13350.0;20.0;10.0;0.0;0.0
28;Mediation;2015;15250.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;15240.0;10.0;0.0;10.0;0.0;0.0;10.0;15200.0;20.0;10.0;0.0;10.0
29;Mediation;2016;17210.0;10.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10.0;17200.0;10.0;0.0;10.0;0.0;0.0;10.0;17150.0;20.0;10.0;0.0;0.0
30;Regulier;2007;;;;;;;;;;;;;;;;;;;;;;;;
31;Regulier;2008;;;;;;;;;;;;;;;;;;;;;;;;
32;Regulier;2009;;;;;;;;;;;;;;;;;;;;;;;;
33;Regulier;2010;;;;;;;;;;;;;;;;;;;;;;;;
34;Regulier;2011;;;;;;;;;;;;;;;;;;;;;;;;
35;Regulier;2012;430610.0;115930.0;600.0;910.0;220.0;12650.0;27880.0;24740.0;14280.0;25090.0;650.0;8910.0;197990.0;15990.0;23200.0;1040.0;390.0;260.0;11340.0;108490.0;34860.0;2410.0;116650.0;60.0
36;Regulier;2013;432750.0;112170.0;490.0;1130.0;250.0;12340.0;27980.0;20980.0;9830.0;23510.0;790.0;14900.0;199190.0;15540.0;23750.0;1200.0;790.0;510.0;11430.0;107710.0;33600.0;4680.0;121190.0;200.0
37;Regulier;2014;420830.0;114730.0;420.0;1200.0;250.0;12420.0;28830.0;27860.0;7270.0;20950.0;770.0;14770.0;182370.0;13290.0;25050.0;1110.0;860.0;550.0;11520.0;93760.0;31280.0;4960.0;123660.0;80.0
38;Regulier;2015;409960.0;110070.0;400.0;1330.0;220.0;12930.0;27330.0;32140.0;5030.0;17390.0;710.0;12590.0;174980.0;12540.0;25990.0;1150.0;640.0;650.0;10950.0;89850.0;28880.0;4330.0;124900.0;10.0
39;Regulier;2016;419440.0;120440.0;370.0;1100.0;200.0;12580.0;25710.0;45620.0;5170.0;18010.0;720.0;10960.0;177430.0;11900.0;26940.0;1350.0;470.0;550.0;11710.0;91440.0;29080.0;3990.0;121550.0;10.0
