ID;SectorNietFinancieleVennootschappen;Perioden;Totaal_1;Output_2;SubsidiesNietProductgebonden_3;Totaal_4;RenteConformNationaleRekeningen_5;CorrectieVoorIGDFI_6;WerkelijkBetaaldeOntvangenRente_7;Totaal_8;Dividenden_9;InkomenOnttrokkenAanQuasiVennootsch_10;HerbelegdeWinstenOpDirBuitenlInv_11;Totaal_12;InkomenToegerekendAanPolishouders_13;InkTeBetalenAanPensioengerechtigden_14;InkomenToegerekendAanAandeelhouders_15;InkomenUitNatuurlijkeHulpbronnen_16;ToegSocialePremiesTLVWerkgevers_17;Totaal_18;UitkeringenSchadeverzekeringen_19;OverigeInkomensoverdrachtenNEG_20;Totaal_21;Investeringsbijdragen_22;OverigeKapitaaloverdrachten_23;Totaal_24;IntermediairVerbruik_25;Totaal_26;Lonen_27;SocialePremiesTLVWerkgevers_28;NietProductgebondenBelastingen_29;Totaal_30;RenteConformNationaleRekeningen_31;CorrectieVoorIGDFI_32;WerkelijkBetaaldeOntvangenRente_33;Totaal_34;Dividenden_35;InkomenOnttrokkenAanQuasiVennootsch_36;HerbelegdeWinstenOpDirBuitenlInv_37;InkTeBetalenAanPensioengerechtigden_38;InkomenUitNatuurlijkeHulpbronnen_39;BelastingenOpInkomen_40;UitkeringenOverigeSocialeVerzekering_41;Totaal_42;PremiesSchadeverzekeringNetto_43;OverigeInkomensoverdrachtenNEG_44;Totaal_45;Vermogensheffingen_46;OverigeKapitaaloverdrachten_47;Totaal_48;Totaal_49;VerbruikVanVasteActiva_50;InvesteringenInVasteActivaNetto_51;Totaal_52;VeranderingenInVoorraden_53;SaldoAanEnVerkopenKostbaarheden_54;SaldoAanEnVerkopenVanNietGeprod_55;BrutoToegevoegdeWaarde_56;NettoToegevoegdeWaarde_57;BrutoExploitatieoverschot_58;NettoExploitatieoverschot_59;SaldoPrimaireInkomensBruto_60;SaldoPrimaireInkomensNetto_61;BrutoBeschikbaarInkomen_62;NettoBeschikbaarInkomen_63;BrutoBesparingen_64;NettoBesparingen_65;SaldoNettoBespEnKapitaaloverdr_66;Vorderingensaldo_67
10;Ondern. onder Nederlandse zeggenschap;2017;697439;636344;4922;46370;9116;-406;9522;35710;35608;102;1409;121;91;0;30;14;6870;2417;2297;120;516;232;284;666197;341632;189244;150238;39006;4283;56225;10205;-5674;15879;42529;42360;169;1442;0;2049;11410;6870;3880;2296;1584;180;165;15;50409;48428;39788;8640;1981;1881;100;2064;294712;254924;106107;66319;96252;56464;83379;43591;83379;43591;43927;31242
11;Ondern. onder Nederlandse zeggenschap;2018;754277;675315;5174;62281;10282;-86;10368;46656;46409;247;5179;154;118;0;36;10;7386;2404;2289;115;1717;338;1379;727786;370267;199153;157231;41922;4421;74717;9924;-4716;14640;63444;63222;222;-399;0;1748;12213;7386;3780;2242;1538;157;157;0;54404;50482;40263;10219;3922;3827;95;1288;305048;264785;106648;66385;94212;53949;80623;40360;80623;40360;41920;26491
12;Ondern. onder Nederlandse zeggenschap;2019;779184;707830;5536;54072;10513;-659;11172;47327;47245;82;-3900;120;84;0;36;12;7914;2394;2295;99;1438;736;702;764097;388044;210520;165197;45323;4646;73486;10681;-5170;15851;63522;63241;281;-1669;0;952;13475;7914;4133;2299;1834;189;180;9;61154;56288;41199;15089;4866;4857;9;536;319786;278587;110156;68957;90742;49543;75528;34329;75528;34329;35578;15087
13;Ondern. onder Nederlandse zeggenschap;2020;770972;699090;19838;38996;8494;-863;9357;33021;32507;514;-2646;117;90;0;27;10;8687;2933;2489;444;1428;415;1013;748848;382982;217225;169671;47554;5543;60424;9640;-5476;15116;50242;49966;276;-134;0;676;13350;8687;4055;2379;1676;209;203;6;55207;55142;42077;13065;65;-23;88;1166;316108;274031;113178;71101;91750;49673;77278;35201;77278;35201;36420;22124
14;Ondern. onder Nederlandse zeggenschap;2021;842780;754358;18838;56661;8097;-831;8928;36716;36574;142;11740;95;65;0;30;13;9057;2661;2325;336;1205;440;765;795701;408444;223306;174661;48645;5247;62894;10246;-5019;15265;50869;50364;505;1229;0;550;16462;9057;3956;2288;1668;212;203;9;64998;57502;43041;14461;7496;7382;114;1125;345914;302873;136199;93158;129966;86925;112209;69168;112209;69168;70161;47079
15;Ondern. onder Nederlandse zeggenschap;2022;891643;822461;10064;43521;9925;1957;7968;27895;27849;46;5526;158;41;0;117;17;10465;2395;2270;125;2737;2451;286;861015;455852;236469;183222;53247;4398;64268;13101;-2287;15388;49981;49550;431;856;0;330;15851;10465;3606;2126;1480;378;175;203;69287;57244;44703;12541;12043;11951;92;441;366609;321906;135806;91103;115059;70356;97997;53294;97997;53294;55653;30628
16;Nederlandse multinationals;2015;289720;253503;1339;31921;5228;-157;5385;24766;24704;62;1868;57;25;0;32;2;1619;988;945;43;350;62;288;285997;157214;54800;43761;11039;834;29805;4710;-2912;7622;23438;23405;33;1220;0;437;3099;1619;1567;949;618;1;0;1;20150;20036;16122;3914;114;31;83;16908;96289;80167;41994;25872;44110;27988;40432;24310;40432;24310;24659;3723
17;Nederlandse multinationals;2016;289605;260569;1518;23679;5346;-319;5665;26917;26368;549;-8616;30;21;0;9;2;1823;1042;990;52;974;877;97;282724;161709;56992;45447;11545;847;32121;4579;-2829;7408;26841;26828;13;271;0;430;4375;1823;1686;954;732;2;0;2;22886;21767;16578;5189;1119;1058;61;283;98860;82282;42539;25961;34097;17519;29078;12500;29078;12500;13472;6881
18;Nederlandse multinationals;2017;319412;276835;1501;37829;5890;-175;6065;30476;30374;102;1409;52;39;0;13;2;2105;1053;1001;52;89;31;58;300207;175522;59060;47107;11953;761;33698;6139;-2440;8579;25899;25732;167;1357;0;303;4211;2105;1690;1000;690;2;0;2;22323;20918;15901;5017;1405;1371;34;835;101313;85412;42993;27092;47124;31223;42276;26375;42276;26375;26462;19205
19;Nederlandse multinationals;2018;352536;296208;1635;51225;6580;-37;6617;39398;39151;247;5179;67;51;0;16;1;2235;1046;996;50;187;39;148;337374;190738;62228;49212;13016;871;50533;5644;-2052;7696;45444;45224;220;-847;0;292;4570;2235;1644;975;669;0;0;0;24281;22784;16313;6471;1497;1424;73;274;105470;89157;44006;27693;44698;28385;39530;23217;39530;23217;23404;15162
20;Nederlandse multinationals;2019;351998;304709;1637;41837;7273;-280;7553;38411;38329;82;-3900;51;36;0;15;2;2371;1016;974;42;428;368;60;341027;195156;64853;50912;13941;895;44803;6907;-2195;9102;39349;39070;279;-1738;0;285;4554;2371;1681;976;705;0;0;0;26598;25883;16599;9284;715;707;8;116;109553;92954;45442;28843;42476;25877;37257;20658;37257;20658;21086;10971
21;Nederlandse multinationals;2020;327014;289856;5239;27772;5491;-349;5840;24877;24363;514;-2646;48;37;0;11;2;2563;1185;1006;179;399;40;359;316014;183329;65852;51282;14570;867;34083;6261;-2215;8476;27529;27325;204;26;0;267;4294;2563;1606;962;644;0;0;0;23208;23135;16962;6173;73;-8;81;212;106527;89565;45047;28085;38736;21774;34021;17059;34021;17059;17458;11000
22;Nederlandse multinationals;2021;363429;310367;4547;44289;5205;-342;5547;27303;27161;142;11740;39;27;0;12;2;2793;1095;957;138;338;63;275;336880;192031;68030;53031;14999;823;35755;6628;-2065;8693;27621;27244;377;1232;0;274;6288;2793;1594;941;653;0;0;0;29329;24960;17550;7410;4369;4265;104;237;118336;100786;54030;36480;62564;45014;55777;38227;55777;38227;38565;26549
23;Nederlandse multinationals;2022;316922;284919;1793;25484;3630;678;2952;16271;16225;46;5526;55;14;0;41;2;2613;829;786;43;1284;1253;31;304513;181444;58426;45130;13296;724;29627;5951;-792;6743;22625;22347;278;865;0;186;5091;2613;1250;737;513;1;0;1;25275;22830;16931;5899;2445;2374;71;62;103475;86544;46118;29187;41975;25044;36463;19532;36463;19532;20815;12409
24;Overig grootbedrijf;2015;100092;95954;1680;345;111;-59;170;213;213;0;0;21;9;0;12;0;1460;374;358;16;279;156;123;98443;33557;45827;35871;9956;1007;5324;960;-1099;2059;1395;1395;0;-16;0;2985;699;1460;594;360;234;0;0;0;9819;9799;7555;2244;20;8;12;156;62397;54842;17243;9688;12264;4709;11345;3790;11345;3790;4069;1649
25;Overig grootbedrijf;2016;96561;92602;1611;209;41;-114;155;157;157;0;0;11;8;0;3;0;1600;371;353;18;168;99;69;94504;32181;45819;35689;10130;964;3673;890;-1012;1902;1190;1190;0;6;0;1587;678;1600;601;340;261;1;0;1;8989;8890;7806;1084;99;91;8;-2;60421;52615;15249;7443;11785;3979;10877;3071;10877;3071;3238;2057
26;Overig grootbedrijf;2017;101268;96481;1697;763;127;-64;191;617;617;0;0;19;14;0;5;0;1853;368;350;18;106;92;14;99937;33547;47930;37407;10523;970;4576;900;-893;1793;1951;1949;2;73;0;1652;618;1853;591;350;241;1;0;1;9742;9663;8289;1374;79;73;6;109;62934;54645;15731;7442;11918;3629;11077;2788;11077;2788;2893;1331
27;Overig grootbedrijf;2018;104457;98627;1718;795;174;-13;187;598;598;0;0;23;18;0;5;0;1956;362;345;17;999;45;954;103901;35310;49950;38654;11296;1063;3994;1156;-711;1867;1051;1049;2;462;0;1325;618;1956;570;338;232;0;0;0;10253;10244;8350;1894;9;-6;15;187;63317;54967;14022;5672;10823;2473;9997;1647;9997;1647;2646;556
28;Overig grootbedrijf;2019;110923;105315;1914;769;141;-102;243;609;609;0;0;19;13;0;6;0;2140;371;356;15;414;44;370;112156;39269;53620;41195;12425;1134;3017;1251;-802;2053;1192;1190;2;33;0;541;928;2140;786;356;430;0;0;0;11181;11245;8541;2704;-64;-64;0;81;66046;57505;13206;4665;10958;2417;9615;1074;9615;1074;1488;-1233
29;Overig grootbedrijf;2020;114407;104677;6089;617;87;-136;223;512;512;0;0;18;14;0;4;0;2376;461;391;70;187;51;136;118868;41840;57123;43801;13322;1713;2389;1291;-861;2152;980;916;64;-157;0;275;503;2376;711;374;337;0;0;0;12021;12015;8659;3356;6;0;6;192;62837;54178;10090;1431;8318;-341;7565;-1094;7565;-1094;-907;-4461
30;Overig grootbedrijf;2021;121133;112576;4858;716;170;-124;294;532;532;0;0;14;10;0;4;0;2531;397;347;50;55;51;4;120324;43484;56917;43325;13592;1474;2908;1056;-749;1805;1737;1618;119;-5;0;120;910;2531;660;341;319;0;0;0;11293;11225;8546;2679;68;59;9;147;69092;60546;15559;7013;13367;4821;12194;3648;12194;3648;3703;809
31;Overig grootbedrijf;2022;143785;135606;3438;1002;836;323;513;140;140;0;0;26;7;0;19;0;3113;395;374;21;231;224;7;143010;56934;63900;48061;15839;988;3086;1793;-377;2170;1246;1096;150;3;0;44;854;3113;595;351;244;2;0;2;13464;12866;9049;3817;598;580;18;74;78672;69623;17222;8173;15138;6089;14084;5035;14084;5035;5264;775
32;Zelfstandig midden- en kleinbedrijf;2015;254983;243039;1560;6461;3477;-154;3631;2920;2920;0;0;53;24;0;29;11;2256;945;904;41;722;365;357;242290;123983;76614;61228;15386;2314;13007;3407;-2857;6264;9503;9503;0;12;0;85;4184;2256;1500;907;593;163;159;4;17269;15144;15862;-718;2125;2076;49;1000;119056;103194;41688;25826;35142;19280;30403;14541;30403;14541;15100;12693
33;Zelfstandig midden- en kleinbedrijf;2016;266200;253608;1669;6947;3488;-310;3798;3419;3419;0;0;30;21;0;9;10;2553;1011;961;50;412;208;204;255134;128006;79945;63774;16171;2467;15619;3343;-2740;6083;12181;12181;0;-3;0;98;6495;2553;1638;927;711;172;158;14;17678;16685;15795;890;993;951;42;561;125602;109807;44859;29064;36187;20392;29065;13270;29065;13270;13510;11066
34;Zelfstandig midden- en kleinbedrijf;2017;276759;263028;1724;7778;3099;-167;3266;4617;4617;0;0;50;38;0;12;12;2912;996;946;50;321;109;212;266053;132563;82254;65724;16530;2552;17951;3166;-2341;5507;14679;14679;0;12;0;94;6581;2912;1599;946;653;177;165;12;18344;17847;15598;2249;497;437;60;1120;130465;114867;47383;31785;37210;21612;30026;14428;30026;14428;14572;10706
35;Zelfstandig midden- en kleinbedrijf;2018;297284;280480;1821;10261;3528;-36;3564;6660;6660;0;0;64;49;0;15;9;3195;996;948;48;531;254;277;286511;144219;86975;69365;17610;2487;20190;3124;-1953;5077;16949;16949;0;-14;0;131;7025;3195;1566;929;637;157;157;0;19870;17454;15600;1854;2416;2409;7;827;136261;120661;48620;33020;38691;23091;31096;15496;31096;15496;15870;10773
36;Zelfstandig midden- en kleinbedrijf;2019;316263;297806;1985;11466;3099;-277;3376;8307;8307;0;0;50;35;0;15;10;3403;1007;965;42;596;324;272;310914;153619;92047;73090;18957;2617;25666;2523;-2173;4696;22981;22981;0;36;0;126;7993;3403;1666;967;699;189;180;9;23375;19160;16059;3101;4215;4214;1;339;144187;128128;51508;35449;37308;21249;28656;12597;28656;12597;13004;5349
37;Zelfstandig midden- en kleinbedrijf;2020;329551;304557;8510;10607;2916;-378;3294;7632;7632;0;0;51;39;0;12;8;3748;1287;1092;195;842;324;518;313966;157813;94250;74588;19662;2963;23952;2088;-2400;4488;21733;21725;8;-3;0;134;8553;3748;1738;1043;695;209;203;6;19978;19992;16456;3536;-14;-15;1;762;146744;130288;58041;41585;44696;28240;35692;19236;35692;19236;19869;15585
38;Zelfstandig midden- en kleinbedrijf;2021;358218;331415;9433;11656;2722;-365;3087;8881;8881;0;0;42;28;0;14;11;3733;1169;1021;148;812;326;486;338497;172929;98359;78305;20054;2950;24231;2562;-2205;4767;21511;21502;9;2;0;156;9264;3733;1702;1006;696;212;203;9;24376;21317;16945;4372;3059;3058;1;741;158486;141541;66610;49665;54035;37090;44238;27293;44238;27293;27893;19721
39;Zelfstandig midden- en kleinbedrijf;2022;430936;401936;4833;17035;5459;956;4503;11484;11484;0;0;77;20;0;57;15;4739;1171;1110;61;1222;974;248;413492;217474;114143;90031;24112;2686;31555;5357;-1118;6475;26110;26107;3;-12;0;100;9906;4739;1761;1038;723;375;175;200;30548;21548;18723;2825;9000;8997;3;305;184462;165739;72466;53743;57946;39223;47450;28727;47450;28727;29574;17444
40;Ondern. onder buitenlandse zeggenschap;2015;423355;362055;1727;56386;11940;-216;12156;43514;43203;311;852;80;35;0;45;0;1703;1393;1333;60;91;8;83;447639;241042;59934;48321;11613;1426;88190;12602;-4003;16605;38789;37421;1368;36494;0;305;5454;1703;2212;1339;873;0;0;0;44349;44122;22171;21951;227;161;66;3329;121013;98842;61380;39209;29576;7405;23303;1132;23303;1132;1223;-24284
41;Ondern. onder buitenlandse zeggenschap;2016;435990;372068;1972;58364;11318;-438;11756;43175;42990;185;3828;43;30;0;13;0;2002;1456;1384;72;128;32;96;435435;244913;64175;51496;12679;1507;87550;11783;-3880;15663;48315;46644;1671;27153;0;299;6794;2002;2358;1334;1024;0;0;0;25439;24195;23067;1128;1244;1200;44;697;127155;104088;63445;40378;34259;11192;26563;3496;26563;3496;3624;555
42;Ondern. onder buitenlandse zeggenschap;2017;462163;406270;2155;49847;10989;-244;11233;41357;40903;454;-2575;75;56;0;19;1;2312;1505;1431;74;74;9;65;457850;269472;67279;54153;13126;1693;81372;11875;-3408;15283;43800;41816;1984;25494;0;203;6321;2312;2416;1430;986;0;0;0;26772;25506;24956;550;1266;1237;29;213;136798;111842;69981;45025;38456;13500;31224;6268;31224;6268;6342;4313
43;Ondern. onder buitenlandse zeggenschap;2018;508049;438911;2257;62759;11850;-54;11904;54761;54328;433;-3952;99;76;0;23;1;2542;1543;1469;74;37;7;30;509220;291610;72819;58164;14655;2074;94369;11942;-2964;14906;60607;58438;2169;21461;0;359;7369;2542;2424;1438;986;0;0;0;26302;26162;27194;-1032;140;124;16;9711;147301;120107;74665;47471;43055;15861;34805;7611;34805;7611;7648;-1171
44;Ondern. onder buitenlandse zeggenschap;2019;523382;451732;2357;64896;11366;-399;11765;59093;56877;2216;-5639;75;52;0;23;1;2713;1486;1424;62;198;13;185;517850;293209;76952;61020;15932;2111;98704;11639;-3135;14774;44577;42176;2401;42140;0;348;9120;2713;2458;1427;1031;0;0;0;30512;28710;29067;-357;1802;1792;10;2071;158523;129456;81817;52750;48009;18942;37917;8850;37917;8850;9048;5532
45;Ondern. onder buitenlandse zeggenschap;2020;479950;415873;6194;52725;10880;-488;11368;48306;45766;2540;-6531;69;53;0;16;1;2940;1718;1447;271;500;17;483;469293;266636;78646;62007;16639;2078;84088;10393;-3099;13492;50425;48150;2275;22901;0;369;6087;2940;2311;1384;927;0;0;0;26217;26148;30781;-4633;69;-19;88;290;149237;118456;74707;43926;43344;12563;36664;5883;36664;5883;6383;10657
46;Ondern. onder buitenlandse zeggenschap;2021;579221;494358;5336;74466;11462;-531;11993;59952;58220;1732;2990;61;42;0;19;1;3313;1702;1487;215;46;11;35;571379;324752;85223;67431;17792;2340;108493;10776;-3209;13985;53042;51043;1999;44256;0;419;9378;3313;2499;1463;1036;0;0;0;35797;30354;33456;-3102;5443;5388;55;-416;169606;136150;87379;53923;53352;19896;43177;9721;43177;9721;9767;7842
47;Ondern. onder buitenlandse zeggenschap;2022;795599;651069;7343;130718;17539;1457;16082;61186;59298;1888;51866;126;33;0;93;1;4036;1892;1794;98;541;13;528;697181;439897;95022;74487;20535;3058;188665;19664;-1701;21365;73521;70265;3256;91879;0;3601;19452;4036;2973;1681;1292;2;0;2;50403;41185;38344;2841;9218;9160;58;-106327;211172;172828;120435;82091;62488;24144;41955;3611;41955;3611;4150;98418
