ID;Geslacht;Leeftijd;GeneesmiddelengroepATC;RegioS;Perioden;PersonenMetVerstrekteGeneesmiddelen_1;PersonenMetGeneesmiddelenRelatief_2;GedefinieerdeDagdosesDDD_3;GedefinieerdeDagdosesDDDRelatief_4
148;Totaal mannen en vrouwen;10000;Totaal;Zuid-Holland (PV);2018;2524390.0;66.76;;
149;Totaal mannen en vrouwen;10000;Totaal;Zuid-Holland (PV);2019;2504515.0;66.26;;
150;Totaal mannen en vrouwen;10000;Totaal;Zuid-Holland (PV);2020;2413740.0;63.5;1968794.0;517907.0
151;Totaal mannen en vrouwen;10000;Totaal;Zuid-Holland (PV);2021;2454270.0;64.12;1996315.0;521534.0
152;Totaal mannen en vrouwen;10000;Totaal;Zuid-Holland (PV);2022;2514290.0;64.8;2020593.0;520755.0
153;Totaal mannen en vrouwen;10000;Totaal;Zuid-Holland (PV);2023;2525760.0;64.52;1875025.0;479006.0
154;Totaal mannen en vrouwen;10000;Totaal;Zeeland (PV);2013;263330.0;67.8;;
155;Totaal mannen en vrouwen;10000;Totaal;Zeeland (PV);2014;260480.0;67.19;;
156;Totaal mannen en vrouwen;10000;Totaal;Zeeland (PV);2015;259765.0;66.95;;
157;Totaal mannen en vrouwen;10000;Totaal;Zeeland (PV);2016;260170.0;66.91;;
158;Totaal mannen en vrouwen;10000;Totaal;Zeeland (PV);2017;259540.0;66.75;;
159;Totaal mannen en vrouwen;10000;Totaal;Zeeland (PV);2018;259820.0;66.63;;
160;Totaal mannen en vrouwen;10000;Totaal;Zeeland (PV);2019;258320.0;66.11;;
161;Totaal mannen en vrouwen;10000;Totaal;Zeeland (PV);2020;248650.0;63.61;203682.0;521045.0
162;Totaal mannen en vrouwen;10000;Totaal;Zeeland (PV);2021;251415.0;63.97;207575.0;528167.0
163;Totaal mannen en vrouwen;10000;Totaal;Zeeland (PV);2022;257600.0;64.77;209978.0;527948.0
164;Totaal mannen en vrouwen;10000;Totaal;Zeeland (PV);2023;260280.0;65.1;200347.0;501135.0
165;Totaal mannen en vrouwen;10000;Totaal;Noord-Brabant (PV);2013;1723180.0;68.46;;
166;Totaal mannen en vrouwen;10000;Totaal;Noord-Brabant (PV);2014;1718175.0;67.97;;
167;Totaal mannen en vrouwen;10000;Totaal;Noord-Brabant (PV);2015;1723225.0;67.84;;
168;Totaal mannen en vrouwen;10000;Totaal;Noord-Brabant (PV);2016;1730205.0;67.66;;
169;Totaal mannen en vrouwen;10000;Totaal;Noord-Brabant (PV);2017;1722925.0;67.08;;
170;Totaal mannen en vrouwen;10000;Totaal;Noord-Brabant (PV);2018;1739545.0;67.28;;
171;Totaal mannen en vrouwen;10000;Totaal;Noord-Brabant (PV);2019;1740230.0;66.79;;
172;Totaal mannen en vrouwen;10000;Totaal;Noord-Brabant (PV);2020;1679100.0;64.08;1379343.0;526390.0
173;Totaal mannen en vrouwen;10000;Totaal;Noord-Brabant (PV);2021;1702845.0;64.54;1402424.0;531497.0
174;Totaal mannen en vrouwen;10000;Totaal;Noord-Brabant (PV);2022;1743945.0;65.13;1409328.0;526343.0
175;Totaal mannen en vrouwen;10000;Totaal;Noord-Brabant (PV);2023;1763595.0;65.2;1339011.0;495010.0
176;Totaal mannen en vrouwen;10000;Totaal;Limburg (PV);2013;801045.0;70.13;;
177;Totaal mannen en vrouwen;10000;Totaal;Limburg (PV);2014;795025.0;69.6;;
178;Totaal mannen en vrouwen;10000;Totaal;Limburg (PV);2015;793850.0;69.54;;
179;Totaal mannen en vrouwen;10000;Totaal;Limburg (PV);2016;791690.0;69.43;;
180;Totaal mannen en vrouwen;10000;Totaal;Limburg (PV);2017;785615.0;68.86;;
181;Totaal mannen en vrouwen;10000;Totaal;Limburg (PV);2018;788805.0;69.12;;
182;Totaal mannen en vrouwen;10000;Totaal;Limburg (PV);2019;783660.0;68.63;;
183;Totaal mannen en vrouwen;10000;Totaal;Limburg (PV);2020;755765.0;66.24;668560.0;585990.0
184;Totaal mannen en vrouwen;10000;Totaal;Limburg (PV);2021;761245.0;66.68;676044.0;592128.0
185;Totaal mannen en vrouwen;10000;Totaal;Limburg (PV);2022;775285.0;67.29;680802.0;590880.0
186;Totaal mannen en vrouwen;10000;Totaal;Limburg (PV);2023;778360.0;67.18;656087.0;566225.0
187;Totaal mannen en vrouwen;10000;Totaal;Oost-Groningen (CR);2013;109705.0;72.07;;
188;Totaal mannen en vrouwen;10000;Totaal;Oost-Groningen (CR);2014;109085.0;71.29;;
189;Totaal mannen en vrouwen;10000;Totaal;Oost-Groningen (CR);2015;108925.0;70.14;;
190;Totaal mannen en vrouwen;10000;Totaal;Oost-Groningen (CR);2016;109265.0;70.59;;
191;Totaal mannen en vrouwen;10000;Totaal;Oost-Groningen (CR);2017;107570.0;71.33;;
192;Totaal mannen en vrouwen;10000;Totaal;Oost-Groningen (CR);2018;100050.0;68.89;;
193;Totaal mannen en vrouwen;10000;Totaal;Oost-Groningen (CR);2019;98855.0;68.57;;
194;Totaal mannen en vrouwen;10000;Totaal;Oost-Groningen (CR);2020;95365.0;66.55;95486.0;666330.0
195;Totaal mannen en vrouwen;10000;Totaal;Oost-Groningen (CR);2021;97580.0;64.48;96464.0;637486.0
196;Totaal mannen en vrouwen;10000;Totaal;Oost-Groningen (CR);2022;100310.0;64.87;98782.0;638864.0
197;Totaal mannen en vrouwen;10000;Totaal;Oost-Groningen (CR);2023;99535.0;63.8;95223.0;610347.0
198;Totaal mannen en vrouwen;10000;Totaal;Delfzijl en omgeving (CR);2013;34930.0;71.14;;
199;Totaal mannen en vrouwen;10000;Totaal;Delfzijl en omgeving (CR);2014;34415.0;70.23;;
200;Totaal mannen en vrouwen;10000;Totaal;Delfzijl en omgeving (CR);2015;34290.0;70.62;;
201;Totaal mannen en vrouwen;10000;Totaal;Delfzijl en omgeving (CR);2016;33930.0;70.69;;
202;Totaal mannen en vrouwen;10000;Totaal;Delfzijl en omgeving (CR);2017;33660.0;70.89;;
203;Totaal mannen en vrouwen;10000;Totaal;Delfzijl en omgeving (CR);2018;33535.0;71.16;;
204;Totaal mannen en vrouwen;10000;Totaal;Delfzijl en omgeving (CR);2019;33020.0;70.46;;
205;Totaal mannen en vrouwen;10000;Totaal;Delfzijl en omgeving (CR);2020;31735.0;68.18;31425.0;675126.0
206;Totaal mannen en vrouwen;10000;Totaal;Delfzijl en omgeving (CR);2021;31780.0;68.69;31408.0;678820.0
207;Totaal mannen en vrouwen;10000;Totaal;Delfzijl en omgeving (CR);2022;32215.0;69.65;31257.0;675820.0
208;Totaal mannen en vrouwen;10000;Totaal;Delfzijl en omgeving (CR);2023;32120.0;69.64;29718.0;644357.0
209;Totaal mannen en vrouwen;10000;Totaal;Overig Groningen (CR);2013;247160.0;63.05;;
210;Totaal mannen en vrouwen;10000;Totaal;Overig Groningen (CR);2014;247395.0;62.58;;
211;Totaal mannen en vrouwen;10000;Totaal;Overig Groningen (CR);2015;248520.0;62.55;;
212;Totaal mannen en vrouwen;10000;Totaal;Overig Groningen (CR);2016;249405.0;62.57;;
213;Totaal mannen en vrouwen;10000;Totaal;Overig Groningen (CR);2017;248070.0;62.09;;
214;Totaal mannen en vrouwen;10000;Totaal;Overig Groningen (CR);2018;258315.0;62.6;;
215;Totaal mannen en vrouwen;10000;Totaal;Overig Groningen (CR);2019;258210.0;62.29;;
216;Totaal mannen en vrouwen;10000;Totaal;Overig Groningen (CR);2020;249040.0;60.02;196647.0;473934.0
217;Totaal mannen en vrouwen;10000;Totaal;Overig Groningen (CR);2021;253440.0;60.74;199781.0;478827.0
218;Totaal mannen en vrouwen;10000;Totaal;Overig Groningen (CR);2022;259315.0;61.33;203148.0;480424.0
219;Totaal mannen en vrouwen;10000;Totaal;Overig Groningen (CR);2023;262580.0;61.75;197929.0;465434.0
220;Totaal mannen en vrouwen;10000;Totaal;Noord-Friesland (CR);2013;220680.0;65.19;;
221;Totaal mannen en vrouwen;10000;Totaal;Noord-Friesland (CR);2014;214655.0;65.06;;
222;Totaal mannen en vrouwen;10000;Totaal;Noord-Friesland (CR);2015;214715.0;65.15;;
223;Totaal mannen en vrouwen;10000;Totaal;Noord-Friesland (CR);2016;216170.0;65.61;;
224;Totaal mannen en vrouwen;10000;Totaal;Noord-Friesland (CR);2017;214800.0;65.15;;
225;Totaal mannen en vrouwen;10000;Totaal;Noord-Friesland (CR);2018;212295.0;65.42;;
226;Totaal mannen en vrouwen;10000;Totaal;Noord-Friesland (CR);2019;211960.0;65.18;;
227;Totaal mannen en vrouwen;10000;Totaal;Noord-Friesland (CR);2020;204025.0;62.62;168870.0;518262.0
228;Totaal mannen en vrouwen;10000;Totaal;Noord-Friesland (CR);2021;205175.0;62.72;171649.0;524744.0
229;Totaal mannen en vrouwen;10000;Totaal;Noord-Friesland (CR);2022;210800.0;63.64;172814.0;521717.0
230;Totaal mannen en vrouwen;10000;Totaal;Noord-Friesland (CR);2023;212280.0;63.62;164868.0;494095.0
231;Totaal mannen en vrouwen;10000;Totaal;Zuidwest-Friesland (CR);2013;69560.0;64.49;;
232;Totaal mannen en vrouwen;10000;Totaal;Zuidwest-Friesland (CR);2014;88395.0;64.39;;
233;Totaal mannen en vrouwen;10000;Totaal;Zuidwest-Friesland (CR);2015;88720.0;64.78;;
234;Totaal mannen en vrouwen;10000;Totaal;Zuidwest-Friesland (CR);2016;89005.0;64.95;;
235;Totaal mannen en vrouwen;10000;Totaal;Zuidwest-Friesland (CR);2017;88490.0;64.35;;
236;Totaal mannen en vrouwen;10000;Totaal;Zuidwest-Friesland (CR);2018;92655.0;64.7;;
237;Totaal mannen en vrouwen;10000;Totaal;Zuidwest-Friesland (CR);2019;92310.0;64.5;;
238;Totaal mannen en vrouwen;10000;Totaal;Zuidwest-Friesland (CR);2020;89285.0;62.28;70421.0;491235.0
