ID;Perioden;TotaalBaten_1;TotaalBatenLopendeRekening_2;Heffingen_3;OverigeBaten_4;BatenKapitaalrekening_5;TotaalLasten_6;LastenLopendeRekening_7;LastenKapitaalrekening_8;SaldoVanBatenEnLasten_9;TotaalSchuldPer31December_10;VasteSchuld_11;VlottendeSchuld_12
61;1961;209;124;;;85;212;126;86;-2;382.0;269.0;113.0
62;1962;224;132;;;91;257;144;114;-33;419.0;286.0;133.0
63;1963;236;141;;;96;322;168;154;-86;481.0;340.0;141.0
64;1964;270;164;;;106;410;205;204;-140;588.0;440.0;148.0
65;1965;314;189;;;125;410;229;181;-96;678.0;537.0;141.0
66;1966;473;221;;;251;491;268;224;-19;750.0;590.0;160.0
67;1967;755;271;;;484;779;326;453;-24;779.0;641.0;138.0
68;1968;664;396;;;269;700;382;318;-36;823.0;693.0;130.0
69;1969;574;510;;;64;621;427;195;-47;904.0;717.0;187.0
70;1970;679;594;;;85;785;524;261;-106;1021.0;770.0;251.0
71;1971;783;677;;;106;948;621;328;-165;1239.0;874.0;365.0
72;1972;902;785;;;117;1024;715;308;-122;1407.0;1030.0;377.0
73;1973;1020;892;13.0;879.0;128;1099;808;291;-80;1583.0;1131.0;452.0
74;1974;1150;1016;13.0;1003.0;133;1417;965;452;-267;1766.0;1363.0;403.0
75;1975;1310;1167;16.0;1151.0;143;1449;1086;363;-139;1862.0;1437.0;425.0
76;1976;1543;1350;27.0;1323.0;193;1553;1225;327;-10;1907.0;1534.0;373.0
77;1977;1622;1457;32.0;1425.0;165;1625;1298;328;-3;1962.0;1610.0;352.0
78;1978;1808;1614;39.0;1575.0;194;1695;1414;281;113;1990.0;1557.0;433.0
79;1979;1887;1727;42.0;1685.0;160;1810;1516;294;77;2035.0;1591.0;444.0
80;1980;2041;1746;49.0;1697.0;295;2073;1671;402;-32;2064.0;1689.0;375.0
81;1981;2203;1935;107.0;1828.0;268;2228;1865;363;-25;2108.0;1666.0;442.0
82;1982;2334;2052;137.0;1915.0;282;2399;1969;430;-65;2194.0;1772.0;422.0
83;1983;2407;2081;140.0;1941.0;326;2433;1989;444;-26;2283.0;1809.0;474.0
84;1984;2618;2228;149.0;2079.0;390;2608;2127;481;10;2533.0;1823.0;710.0
85;1985;3490;3021;155.0;2866.0;469;3505;2942;563;-15;2382.0;1746.0;636.0
86;1986;3284;2837;159.0;2678.0;447;3320;2768;552;-36;2292.0;1589.0;703.0
87;1987;3296;2805;175.0;2630.0;491;3313;2798;515;-17;2233.0;1466.0;767.0
88;1988;3361;2872;188.0;2684.0;489;3332;2772;560;29;2223.0;1499.0;724.0
89;1989;3409;2933;194.0;2739.0;476;3374;2865;509;35;2387.0;1610.0;777.0
90;1990;3496;3056;205.0;2851.0;440;3425;2986;439;71;2312.0;1528.0;784.0
91;1991;3065;2712;221.0;2491.0;353;3036;2592;444;29;2061.0;1428.0;633.0
92;1992;3639;3152;245.0;2907.0;487;3541;2996;545;98;1945.0;1281.0;664.0
93;1993;3608;3065;236.0;2829.0;543;3494;2973;521;114;2003.0;1264.0;739.0
94;1994;3461;3156;252.0;2904.0;305;3407;2997;410;54;1766.0;1074.0;692.0
95;1995;3656;3230;260.0;2970.0;426;3584;3103;481;72;1912.0;1008.0;904.0
96;1996;3617;3252;565.0;2687.0;365;3654;3113;541;-37;1841.0;937.0;904.0
97;1997;3017;2261;628.0;1633.0;756;2734;2097;637;283;1769.0;865.0;904.0
98;1998;2935;2248;672.0;1576.0;687;3075;2140;935;-140;1977.0;830.0;1147.0
99;1999;3422;2616;735.0;1881.0;806;3308;2462;846;114;2469.0;790.0;1679.0
100;2000;3490;2752;752.0;2000.0;738;3386;2578;808;104;2232.0;947.0;1285.0
101;2001;3986;3267;804.0;2463.0;719;3938;2928;1010;48;1807.0;721.0;1086.0
102;2002;4315;3629;865.0;2764.0;686;4081;3140;941;234;1700.0;700.0;1000.0
103;2003;4542;3776;929.0;2847.0;766;4420;3477;943;122;1667.0;558.0;1109.0
104;2004;5093;4184;1039.0;3145.0;909;4884;3862;1022;209;1566.0;481.0;1085.0
105;2005;5476;4446;1105.0;3342.0;1030;4964;4070;894;512;1574.0;442.0;1132.0
106;2006;5681;4790;1142.0;3648.0;891;5166;4197;969;515;1718.0;347.0;1371.0
107;2007;7387;6323;1249.0;5074.0;1064;6024;4756;1269;1363;2288.0;414.0;1874.0
108;2008;6695;5713;1360.0;4352.0;982;6720;4955;1765;-25;4318.0;500.0;3818.0
109;2009;19957;18787;1425.0;17362.0;1169;7498;5370;2128;12459;4709.0;530.0;4179.0
110;2010;7369;6125;1451.0;4674.0;1244;8017;5624;2393;-649;5105.0;537.0;4568.0
111;2011;8382;6559;1464.0;5095.0;1823;8235;5605;2630;147;5629.0;649.0;4980.0
112;2012;7660;6416;1463.0;4954.0;1243;8171;5402;2769;-512;5668.0;656.0;5012.0
113;2013;7172;6030;1440.0;4590.0;1142;7449;5143;2306;-277;5357.0;610.0;4748.0
114;2014;7254;5947;1567.0;4381.0;1307;7728;5226;2502;-473;5226.0;561.0;4665.0
115;2015;6441;5226;1600.0;3626.0;1215;7054;4028;3026;-613;5434.0;517.0;4917.0
116;2016;7092;5811;1587.0;4225.0;1280;6423;4152;2271;669;4232.0;485.0;3748.0
117;2017;6828;5666;1634.0;4032.0;1162;6630;4445;2184;199;4222.0;447.0;3775.0
118;2018;6202;5241;1673.0;3567.0;961;6609;4693;1916;-408;3998.0;406.0;3816.0
119;2019;6085;5400;1693.0;3707.0;685;6592;4734;1858;-506;4049.0;538.0;3511.0
120;2020;6250;5436;1714.0;3722.0;813;6762;5028;1733;-512;4155.0;610.0;3546.0
121;2021;6311;5486;1750.0;3736.0;825;6647;5131;1516;-336;4973.0;762.0;4211.0
122;2022;6714;5920;1788.0;4132.0;794;6919;5523;1396;-205;5434.0;798.0;4636.0
123;2023;7262;6536;1825.0;4711.0;727;7288;5700;1588;-26;6173.0;836.0;5337.0
