ID;Perioden;TotaalBedrijven_1;TotaalExclusiefKlasseABELM_2;k_0Werknemers_3;k_1Tot5Werknemers_4;k_5Tot10Werknemers_5;k_10Tot20Werknemers_6;k_20Tot50Werknemers_7;k_50Tot100Werknemers_8;k_100Tot200Werknemers_9;k_200Tot500Werknemers_10;k_500EnMeerWerknemers_11;TotaalLandbouwJachtEnBosbouw_12;k_01LandbouwEnJacht_13;k_02BosbouwDienstverleningTbvBosbouw_14;k_05VisserijKwekenVanVisSchaaldieren_15;TotaalDelfstoffenwinning_16;k_10Turfwinning_17;k_11AardolieEnAardgaswinning_18;k_14ZandGrindKleiZoutwinning_19;TotaalIndustrie_20;k_15VoedingsmiddelenEnDrankenindustrie_21;k_16TabakverwerkendeIndustrie_22;k_17Textielindustrie_23;k_18KledingEnBontindustrie_24;k_19LeerLederwarenEnSchoenindustrie_25;k_20HoutKurkRietindustrie_26;k_21PapierWarenEnKartonWaren_27;k_22UitgeverijenDrukkerijenReprod_28;k_23AardolieEnSteenkoolverwInd_29;k_24ChemischeIndustrie_30;k_25RubberEnKunststofverwerkendeInd_31;k_26GlasAardewerkCementKalkind_32;k_27Basismetaalindustrie_33;k_28Metaalproduktenindustrie_34;k_29MachineEnApparatenindustrie_35;k_30KantoormachineEnComputerindustrie_36;k_31OverigeElektrischeApparatenind_37;k_32AudioVideoTelecomApparatenind_38;k_33MedischeEnOptischeApparatenind_39;k_34AutoAanhangwagenEnOpleggerind_40;k_35OverigeTransportmiddelenindustrie_41;k_36MeubelEnOverigeIndustrieNEG_42;k_37VoorbereidingTotRecycling_43;TotaalEnergie_44;k_40OpenbareEnergievoorzieningsbedr_45;k_41Waterleidingbedrijven_46;k_45Bouwnijverheid_47;TotaalHandelEnReparatie_48;k_50HandelRepAutoSEnMotorfietsen_49;k_51GroothandelEnHandelsbemiddeling_50;k_52DetailhandelInclReparatie_51;k_55Horeca_52;TotaalVervoerEnCommunicatie_53;k_60VervoerOverLand_54;k_61VervoerOverWater_55;k_62VervoerDoorDeLucht_56;k_63DienstverleningTBVHetVervoer_57;k_64PostEnTelecommunicatie_58;TotaalFinancieleInstellingen_59;k_65FinancieleInstelExVerzekeringen_60;k_66VerzekeringswezenEnPensioenfondsen_61;k_67ActiviteitenTbvFinancieleInstel_62;TotaalVerhuur_63;k_70VerhuurEnHandelInOnroerendGoed_64;k_71VerhuurVanRoerendeGoederen_65;k_72ComputerserviceInformatietechnol_66;k_73SpeurEnOntwikkelingswerk_67;k_74OverigeZakelijkeDienstverlening_68;LOpenbaarBestuurSocVerzekeringen_69;MOnderwijs_70;NGezondheidsEnWelzijnszorg_71;TotaalMilieuCultuurEnRecreatie_72;k_90Milieudienstverlening_73;k_91IdeeleEnBelangenorganisaties_74;k_92CultuurSportEnRecreatie_75;k_93OverigeDienstverlening_76;TotaalFaillissementen_77;BedrijvenEnInstellingenTotaal_78;LandEnBosbouwJachtEnVisserij_79;WinningVanDelfstoffenEnIndustrie_80;Bouwnijverheid_81;ReparatieConsumentenartEnHandel_82;Horeca_83;VervoerOpslagEnCommunicatie_84;FinInstVerhuurEnZakDienstverl_85;OnderwGezondhMilieuOvDienstVerl_86;TotaalBedrijven_87;Delfstoffenwinning_88;Industrie_89;BouwnijverheidEnInstallatiebedrijven_90;HandelHorecaReparatiebedrijven_91;TransportOpslagEnCommunicatie_92;BankVerzekeringZakelijkeDiensten_93;OverigeDienstverlening_94;TotaalBedrijven_95;Delfstoffenwinning_96;Industrie_97;BouwnijverheidEnInstallatiebedrijven_98;HandelHorecaReparatiebedrijven_99;TransportOpslagEnCommunicatie_100;BankVerzekeringZakelijkeDiensten_101;OverigeDienstverlening_102;TotaalBedrijven_103;Delfstoffenwinning_104;Industrie_105;BouwnijverheidEnInstallatiebedrijven_106;HandelHorecaReparatiebedrijven_107;TransportOpslagEnCommunicatie_108;BankVerzekeringZakelijkeDiensten_109;OverigeDienstverlening_110;TotaalBedrijven_111;Delfstoffenwinning_112;Industrie_113;BouwnijverheidEnInstallatiebedrijven_114;HandelHorecaReparatiebedrijven_115;TransportOpslagEnCommunicatie_116;BankVerzekeringZakelijkeDiensten_117;OverigeDienstverlening_118
10;1993;596330.0;449215;314160;191025;37385;22805;18050;6490;3200;2100;1115;128510.0;128025.0;485.0;740.0;275;20;85;170;42525;6235;25;1330;2215;465;2065;265;6470;30;720;1210;1375;220;6135;3650;215;990;210;1655;550;1295;5155;45;160.0;130.0;30.0;41100;156465;19490;49775;87200;37360;22300;10965;5505;110;4675;1045;12725;805;605;11315;73350;8920;3940;6390;830;53270;1300.0;16400.0;32600;30515;510;2745;10410;16850;6428;5512;149;790;702;1627;335;333;1262;245;605609.0;447.0;53318.0;43626.0;235573.0;26541.0;168675.0;77429.0;555718.0;371.0;42115.0;36320.0;220661.0;22799.0;162934.0;70518.0;45025.0;63.0;9681.0;6913.0;14125.0;3471.0;5134.0;5638.0;4866.0;13.0;1522.0;393.0;787.0;271.0;607.0;1273.0
11;1994;599955.0;455720;305890;200030;39070;23515;18540;6715;3215;1935;1050;125230.0;124735.0;495.0;745.0;280;20;85;175;43815;6160;30;1370;2255;460;2325;345;6410;35;755;1335;1465;250;6530;3955;265;860;240;1645;625;1310;5125;65;165.0;140.0;25.0;41880;155220;19060;48885;87275;37540;22205;11215;5025;125;4665;1175;12145;1055;630;10460;77745;8675;3975;6925;960;57210;1295.0;16800.0;31075;33810;570;2960;12430;17850;6464;5333;136;718;687;1625;340;320;1201;275;630469.0;471.0;55248.0;45486.0;246466.0;26733.0;171214.0;84851.0;579815.0;396.0;44154.0;38298.0;231236.0;23064.0;164928.0;77739.0;45762.0;61.0;9574.0;6798.0;14442.0;3398.0;5648.0;5841.0;4892.0;14.0;1520.0;390.0;788.0;271.0;638.0;1271.0
12;1995;596365.0;454935;292815;207965;39760;24310;18400;6780;3240;1980;1120;122460.0;121950.0;510.0;745.0;250;15;80;155;42850;5895;25;1310;1885;535;2320;345;6460;30;735;1190;1355;235;6095;4010;280;860;260;1520;785;1200;5425;95;180.0;155.0;25.0;43940;152275;19165;47785;85325;36790;22130;11090;4925;135;4625;1355;11375;975;740;9660;79590;9315;3430;6885;1060;58900;1255.0;16785.0;31265;34475;600;2925;12645;18305;5847;4783;118;531;580;1523;383;274;1084;239;648285.0;426.0;55547.0;47309.0;250221.0;27009.0;181307.0;86466.0;596640.0;353.0;44516.0;40201.0;234277.0;23200.0;174770.0;79323.0;46691.0;62.0;9551.0;6739.0;15137.0;3543.0;5831.0;5828.0;4954.0;11.0;1480.0;369.0;807.0;266.0;706.0;1315.0
13;1996;616060.0;477745;299825;218550;41495;25400;17980;6525;3225;1945;1115;119440.0;118900.0;540.0;745.0;270;25;80;165;44215;5590;25;1505;1950;480;2320;375;6730;30;620;1220;1540;235;6405;3775;320;1015;320;1875;585;1305;5855;140;205.0;180.0;25.0;48400;156585;20805;49820;85960;37070;22740;11280;4575;135;4870;1880;12480;945;770;10765;87345;10435;3860;7680;1205;64165;1245.0;16670.0;31660;36985;630;3175;13090;20090;5577;4534;84;536;618;1461;338;289;943;228;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;1997;631800.0;495645;291075;235375;47395;27220;17820;6580;3185;1985;1165;117325.0;116785.0;540.0;760.0;265;15;80;170;44920;5525;20;1570;1870;450;2420;390;6830;25;590;1220;1570;245;6505;3795;315;1065;355;1885;590;1385;6115;185;190.0;165.0;25.0;51410;160140;21150;51795;87195;37590;23605;11365;4575;130;5180;2355;12695;1025;770;10900;94795;9630;3980;8965;1380;70840;1285.0;16595.0;31920;38295;680;3400;13560;20655;5547;4409;92;525;560;1370;332;317;937;236;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;1998;660365.0;526965;312915;237600;51600;26560;18425;6750;3265;2030;1225;114605.0;114045.0;560.0;720.0;240;10;75;155;47055;5355;20;1345;1970;530;2220;425;7850;35;815;1345;1750;265;7045;3665;345;805;360;2010;900;1800;6005;195;245.0;220.0;25.0;58340;166925;21485;54295;91145;38975;25325;12570;4510;140;5675;2430;12860;1170;780;10910;103535;10020;4425;10180;1545;77365;1195.0;16625.0;32095;41625;690;3785;14130;23020;5031;4015;69;475;559;1206;296;268;873;256;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;1999;671045.0;540215;324640;237360;50025;26565;19035;6775;3380;2015;1250;112105.0;111530.0;575.0;735.0;255;10;80;165;46240;5195;20;1335;1815;490;2200;425;7460;35;810;1305;1705;245;6970;3805;350;840;375;1955;820;1675;6220;190;280.0;255.0;25.0;62330;163875;22585;53880;87410;40450;26385;13170;4405;155;5790;2865;13415;1290;775;11350;113345;10040;4450;11835;1730;85290;1170.0;16540.0;32030;41900;730;3795;14445;22930;3840;3238;60;393;467;963;179;227;777;158;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;2000;679565.0;551985;330735;237990;50440;27105;19555;6950;3400;2130;1260;108940.0;108375.0;565.0;745.0;245;10;80;155;45415;5045;20;1420;1560;450;1915;385;7030;35;760;1190;1760;245;6840;4390;330;800;375;2100;700;1565;6285;215;340.0;310.0;30.0;63380;164265;23350;55195;85720;39745;27580;13995;4355;170;6060;3000;14155;1355;785;12015;120190;10645;4345;14020;1720;89460;1165.0;16385.0;32750;44245;785;4360;15100;24000;4498;3579;57;428;531;964;195;254;928;196;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;2001;688655.0;565145;329000;244755;52585;28050;20290;7050;3400;2185;1335;104405.0;103860.0;545.0;775.0;240;5;80;155;47065;5090;25;1505;1435;345;2015;400;6675;35;760;1085;1870;270;7285;5225;240;1030;305;2270;700;1760;6525;215;340.0;315.0;25.0;67595;163680;23090;54970;85620;38385;28140;14165;4255;165;6195;3360;14635;1370;775;12490;124650;10915;4315;16770;1525;91125;1160.0;16830.0;33930;46835;760;5265;16370;24440;5834;4330;61;507;645;1069;192;298;1305;223;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;2002;693430.0;571505;355835;230955;42760;28995;20500;6950;3750;2275;1400;102145.0;101605.0;540.0;760.0;240;5;80;155;46445;4805;20;1060;1605;440;2345;450;6910;45;900;1105;1790;265;7270;4195;385;895;505;2035;750;1620;6825;225;395.0;370.0;25.0;69440;159535;22840;55965;80730;37140;27855;14315;4155;195;6230;2960;14530;1320;715;12495;134290;12030;4460;17560;1705;98535;1130.0;17490.0;34280;47760;775;5845;16580;24560;6771;4963;72;603;607;1120;173;315;1809;244;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;2003;689180.0;570810;356320;224390;43655;29430;20725;7065;3920;2275;1400;98570.0;98030.0;540.0;740.0;220;5;70;145;46000;4765;20;1305;1125;435;2340;445;6540;40;800;1165;2025;265;7465;4175;285;990;405;2170;680;1425;6935;200;445.0;415.0;30.0;71295;155825;20940;55690;79195;37550;26850;14040;3790;195;5560;3265;13495;1210;665;11620;136460;11385;4260;17790;1835;101190;1100.0;17515.0;34220;48885;750;6305;16535;25295;8784;6386;122;804;887;1346;271;404;2254;261;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21;2004;705180.0;586945;375985;225755;41700;28265;19660;6815;3515;2140;1350;97210.0;96665.0;545.0;735.0;225;10;70;145;46600;4545;20;1450;1290;305;2010;440;6665;40;900;1290;1580;270;7645;4255;180;930;285;2345;555;1845;7535;220;470.0;445.0;25.0;72365;158305;21460;57910;78935;36320;27130;13725;4075;230;5505;3595;14055;1150;620;12285;143640;12585;4715;18495;1985;105860;1085.0;18730.0;35630;52675;700;7375;17505;27095;9349;6648;189;741;855;1562;332;372;2239;324;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;2005;719405.0;601755;387840;226415;44900;27895;18935;6630;3370;2080;1340;95770.0;95245.0;525.0;725.0;215;10;70;135;45590;4585;20;1305;1520;310;1980;435;6425;30;735;1180;1615;260;7120;4435;200;1035;380;2120;615;1840;7240;205;515.0;490.0;25.0;74025;162230;21745;58065;82420;36635;27250;13585;3890;205;5920;3650;14200;1185;605;12410;147185;12730;4470;17630;2115;110240;1085.0;19555.0;40305;54115;665;7955;17810;27685;10082;6780;138;657;897;1595;420;469;2200;337;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;2006;746365.0;630170;413765;229785;43100;28245;18480;6370;3255;2020;1340;93365.0;92835.0;530.0;720.0;215;5;75;135;46605;4500;20;1405;1275;210;2005;425;6485;35;815;1010;1615;290;7825;4525;205;995;425;2290;660;1540;7810;240;545.0;520.0;25.0;81690;164585;21935;59910;82740;36650;27925;13860;3680;195;6110;4080;14670;1250;580;12840;158650;13225;4320;21000;2350;117755;1065.0;20500.0;42870;56315;660;8500;18000;29155;9179;5941;141;503;766;1421;540;396;1820;307;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
