ID;Bedrijfsomvang;BedrijfstakkenBranchesSBI2008;FinancieleBedrijfsgegevens;Perioden;BenedengrensWaarde_1;GemiddeldeWaarde_2;BovengrensWaarde_3;BenedengrensWaarde_4;GemiddeldeWaarde_5;BovengrensWaarde_6
159;1 werkzame persoon;012 Teelt van meerjarige gewassen;Overige bedrijfslasten;2008;;;;;;
160;1 werkzame persoon;012 Teelt van meerjarige gewassen;Overige bedrijfslasten;2009;;;;;;
161;1 werkzame persoon;012 Teelt van meerjarige gewassen;Overige bedrijfslasten;2010;;;;;;
162;1 werkzame persoon;012 Teelt van meerjarige gewassen;Bedrijfsresultaat;2008;;;;;;
163;1 werkzame persoon;012 Teelt van meerjarige gewassen;Bedrijfsresultaat;2009;;;;;;
164;1 werkzame persoon;012 Teelt van meerjarige gewassen;Bedrijfsresultaat;2010;;;;;;
165;1 werkzame persoon;012 Teelt van meerjarige gewassen;Afschrijvingen;2008;;;;;;
166;1 werkzame persoon;012 Teelt van meerjarige gewassen;Afschrijvingen;2009;;;;;;
167;1 werkzame persoon;012 Teelt van meerjarige gewassen;Afschrijvingen;2010;;;;;;
168;1 werkzame persoon;0121 Teelt van druiven;Totale bedrijfsopbrengsten;2008;;;;;;
169;1 werkzame persoon;0121 Teelt van druiven;Totale bedrijfsopbrengsten;2009;;;;;;
170;1 werkzame persoon;0121 Teelt van druiven;Totale bedrijfsopbrengsten;2010;;;;;;
171;1 werkzame persoon;0121 Teelt van druiven;Totale bedrijfslasten;2008;;;;;;
172;1 werkzame persoon;0121 Teelt van druiven;Totale bedrijfslasten;2009;;;;;;
173;1 werkzame persoon;0121 Teelt van druiven;Totale bedrijfslasten;2010;;;;;;
174;1 werkzame persoon;0121 Teelt van druiven;Inkoopwaarde omzet;2008;;;;;;
175;1 werkzame persoon;0121 Teelt van druiven;Inkoopwaarde omzet;2009;;;;;;
176;1 werkzame persoon;0121 Teelt van druiven;Inkoopwaarde omzet;2010;;;;;;
177;1 werkzame persoon;0121 Teelt van druiven;Personele kosten;2008;;;;;;
178;1 werkzame persoon;0121 Teelt van druiven;Personele kosten;2009;;;;;;
179;1 werkzame persoon;0121 Teelt van druiven;Personele kosten;2010;;;;;;
180;1 werkzame persoon;0121 Teelt van druiven;Overige bedrijfslasten;2008;;;;;;
181;1 werkzame persoon;0121 Teelt van druiven;Overige bedrijfslasten;2009;;;;;;
182;1 werkzame persoon;0121 Teelt van druiven;Overige bedrijfslasten;2010;;;;;;
183;1 werkzame persoon;0121 Teelt van druiven;Bedrijfsresultaat;2008;;;;;;
184;1 werkzame persoon;0121 Teelt van druiven;Bedrijfsresultaat;2009;;;;;;
185;1 werkzame persoon;0121 Teelt van druiven;Bedrijfsresultaat;2010;;;;;;
186;1 werkzame persoon;0121 Teelt van druiven;Afschrijvingen;2008;;;;;;
187;1 werkzame persoon;0121 Teelt van druiven;Afschrijvingen;2009;;;;;;
188;1 werkzame persoon;0121 Teelt van druiven;Afschrijvingen;2010;;;;;;
189;1 werkzame persoon;0124 Teelt van pit- en steenvruchten;Totale bedrijfsopbrengsten;2008;;;;;;
190;1 werkzame persoon;0124 Teelt van pit- en steenvruchten;Totale bedrijfsopbrengsten;2009;;;;;;
191;1 werkzame persoon;0124 Teelt van pit- en steenvruchten;Totale bedrijfsopbrengsten;2010;;;;;;
192;1 werkzame persoon;0124 Teelt van pit- en steenvruchten;Totale bedrijfslasten;2008;;;;;;
193;1 werkzame persoon;0124 Teelt van pit- en steenvruchten;Totale bedrijfslasten;2009;;;;;;
194;1 werkzame persoon;0124 Teelt van pit- en steenvruchten;Totale bedrijfslasten;2010;;;;;;
195;1 werkzame persoon;0124 Teelt van pit- en steenvruchten;Inkoopwaarde omzet;2008;;;;;;
196;1 werkzame persoon;0124 Teelt van pit- en steenvruchten;Inkoopwaarde omzet;2009;;;;;;
197;1 werkzame persoon;0124 Teelt van pit- en steenvruchten;Inkoopwaarde omzet;2010;;;;;;
198;1 werkzame persoon;0124 Teelt van pit- en steenvruchten;Personele kosten;2008;;;;;;
199;1 werkzame persoon;0124 Teelt van pit- en steenvruchten;Personele kosten;2009;;;;;;
200;1 werkzame persoon;0124 Teelt van pit- en steenvruchten;Personele kosten;2010;;;;;;
201;1 werkzame persoon;0124 Teelt van pit- en steenvruchten;Overige bedrijfslasten;2008;;;;;;
202;1 werkzame persoon;0124 Teelt van pit- en steenvruchten;Overige bedrijfslasten;2009;;;;;;
203;1 werkzame persoon;0124 Teelt van pit- en steenvruchten;Overige bedrijfslasten;2010;;;;;;
204;1 werkzame persoon;0124 Teelt van pit- en steenvruchten;Bedrijfsresultaat;2008;;;;;;
205;1 werkzame persoon;0124 Teelt van pit- en steenvruchten;Bedrijfsresultaat;2009;;;;;;
206;1 werkzame persoon;0124 Teelt van pit- en steenvruchten;Bedrijfsresultaat;2010;;;;;;
207;1 werkzame persoon;0124 Teelt van pit- en steenvruchten;Afschrijvingen;2008;;;;;;
208;1 werkzame persoon;0124 Teelt van pit- en steenvruchten;Afschrijvingen;2009;;;;;;
209;1 werkzame persoon;0124 Teelt van pit- en steenvruchten;Afschrijvingen;2010;;;;;;
210;1 werkzame persoon;0125 Teelt van overige vruchten;Totale bedrijfsopbrengsten;2008;;;;;;
211;1 werkzame persoon;0125 Teelt van overige vruchten;Totale bedrijfsopbrengsten;2009;;;;;;
212;1 werkzame persoon;0125 Teelt van overige vruchten;Totale bedrijfsopbrengsten;2010;;;;;;
213;1 werkzame persoon;0125 Teelt van overige vruchten;Totale bedrijfslasten;2008;;;;;;
214;1 werkzame persoon;0125 Teelt van overige vruchten;Totale bedrijfslasten;2009;;;;;;
215;1 werkzame persoon;0125 Teelt van overige vruchten;Totale bedrijfslasten;2010;;;;;;
216;1 werkzame persoon;0125 Teelt van overige vruchten;Inkoopwaarde omzet;2008;;;;;;
217;1 werkzame persoon;0125 Teelt van overige vruchten;Inkoopwaarde omzet;2009;;;;;;
218;1 werkzame persoon;0125 Teelt van overige vruchten;Inkoopwaarde omzet;2010;;;;;;
219;1 werkzame persoon;0125 Teelt van overige vruchten;Personele kosten;2008;;;;;;
220;1 werkzame persoon;0125 Teelt van overige vruchten;Personele kosten;2009;;;;;;
221;1 werkzame persoon;0125 Teelt van overige vruchten;Personele kosten;2010;;;;;;
222;1 werkzame persoon;0125 Teelt van overige vruchten;Overige bedrijfslasten;2008;;;;;;
223;1 werkzame persoon;0125 Teelt van overige vruchten;Overige bedrijfslasten;2009;;;;;;
224;1 werkzame persoon;0125 Teelt van overige vruchten;Overige bedrijfslasten;2010;;;;;;
225;1 werkzame persoon;0125 Teelt van overige vruchten;Bedrijfsresultaat;2008;;;;;;
226;1 werkzame persoon;0125 Teelt van overige vruchten;Bedrijfsresultaat;2009;;;;;;
227;1 werkzame persoon;0125 Teelt van overige vruchten;Bedrijfsresultaat;2010;;;;;;
228;1 werkzame persoon;0125 Teelt van overige vruchten;Afschrijvingen;2008;;;;;;
229;1 werkzame persoon;0125 Teelt van overige vruchten;Afschrijvingen;2009;;;;;;
230;1 werkzame persoon;0125 Teelt van overige vruchten;Afschrijvingen;2010;;;;;;
231;1 werkzame persoon;0127 Teelt van gewassen voor dranken;Totale bedrijfsopbrengsten;2008;;;;;;
232;1 werkzame persoon;0127 Teelt van gewassen voor dranken;Totale bedrijfsopbrengsten;2009;;;;;;
233;1 werkzame persoon;0127 Teelt van gewassen voor dranken;Totale bedrijfsopbrengsten;2010;;;;;;
234;1 werkzame persoon;0127 Teelt van gewassen voor dranken;Totale bedrijfslasten;2008;;;;;;
235;1 werkzame persoon;0127 Teelt van gewassen voor dranken;Totale bedrijfslasten;2009;;;;;;
236;1 werkzame persoon;0127 Teelt van gewassen voor dranken;Totale bedrijfslasten;2010;;;;;;
237;1 werkzame persoon;0127 Teelt van gewassen voor dranken;Inkoopwaarde omzet;2008;;;;;;
238;1 werkzame persoon;0127 Teelt van gewassen voor dranken;Inkoopwaarde omzet;2009;;;;;;
239;1 werkzame persoon;0127 Teelt van gewassen voor dranken;Inkoopwaarde omzet;2010;;;;;;
240;1 werkzame persoon;0127 Teelt van gewassen voor dranken;Personele kosten;2008;;;;;;
241;1 werkzame persoon;0127 Teelt van gewassen voor dranken;Personele kosten;2009;;;;;;
242;1 werkzame persoon;0127 Teelt van gewassen voor dranken;Personele kosten;2010;;;;;;
243;1 werkzame persoon;0127 Teelt van gewassen voor dranken;Overige bedrijfslasten;2008;;;;;;
244;1 werkzame persoon;0127 Teelt van gewassen voor dranken;Overige bedrijfslasten;2009;;;;;;
245;1 werkzame persoon;0127 Teelt van gewassen voor dranken;Overige bedrijfslasten;2010;;;;;;
246;1 werkzame persoon;0127 Teelt van gewassen voor dranken;Bedrijfsresultaat;2008;;;;;;
247;1 werkzame persoon;0127 Teelt van gewassen voor dranken;Bedrijfsresultaat;2009;;;;;;
248;1 werkzame persoon;0127 Teelt van gewassen voor dranken;Bedrijfsresultaat;2010;;;;;;
249;1 werkzame persoon;0127 Teelt van gewassen voor dranken;Afschrijvingen;2008;;;;;;
250;1 werkzame persoon;0127 Teelt van gewassen voor dranken;Afschrijvingen;2009;;;;;;
251;1 werkzame persoon;0127 Teelt van gewassen voor dranken;Afschrijvingen;2010;;;;;;
252;1 werkzame persoon;0128 Teelt van specerijen;Totale bedrijfsopbrengsten;2008;;;;;;
253;1 werkzame persoon;0128 Teelt van specerijen;Totale bedrijfsopbrengsten;2009;;;;;;
254;1 werkzame persoon;0128 Teelt van specerijen;Totale bedrijfsopbrengsten;2010;;;;;;
255;1 werkzame persoon;0128 Teelt van specerijen;Totale bedrijfslasten;2008;;;;;;
256;1 werkzame persoon;0128 Teelt van specerijen;Totale bedrijfslasten;2009;;;;;;
257;1 werkzame persoon;0128 Teelt van specerijen;Totale bedrijfslasten;2010;;;;;;
258;1 werkzame persoon;0128 Teelt van specerijen;Inkoopwaarde omzet;2008;;;;;;
259;1 werkzame persoon;0128 Teelt van specerijen;Inkoopwaarde omzet;2009;;;;;;
260;1 werkzame persoon;0128 Teelt van specerijen;Inkoopwaarde omzet;2010;;;;;;
261;1 werkzame persoon;0128 Teelt van specerijen;Personele kosten;2008;;;;;;
262;1 werkzame persoon;0128 Teelt van specerijen;Personele kosten;2009;;;;;;
263;1 werkzame persoon;0128 Teelt van specerijen;Personele kosten;2010;;;;;;
264;1 werkzame persoon;0128 Teelt van specerijen;Overige bedrijfslasten;2008;;;;;;
265;1 werkzame persoon;0128 Teelt van specerijen;Overige bedrijfslasten;2009;;;;;;
266;1 werkzame persoon;0128 Teelt van specerijen;Overige bedrijfslasten;2010;;;;;;
267;1 werkzame persoon;0128 Teelt van specerijen;Bedrijfsresultaat;2008;;;;;;
268;1 werkzame persoon;0128 Teelt van specerijen;Bedrijfsresultaat;2009;;;;;;
269;1 werkzame persoon;0128 Teelt van specerijen;Bedrijfsresultaat;2010;;;;;;
