ID;Sex;CharacteristicHouseholdsPersons;CaribbeanNetherlands;Periods;LabourForceAndNotInTheLabourForce_1;EmployedLabourForce_2;WantToWorkMoreHoursAvailable_3;DoesnTWantMoreHoursOrNotAvailable_4;NotEmployedLabourForce_5;UnemployedLabourForce_6;NotInTheLabourForce_7;AvailableToWorkButNotSeeking_8;SeekingWorkButNotAvailable_9;NotSeekingWorkNotAvailable_10;WantToWork_11;DoesnTWantToOrCanTWork_12;BecauseOfFamilyHouseholdCare_13;BecauseOfEducation_14;BecauseOfRetirementOldAge_15;BecauseOfIllnessDisability_16;BecauseOfOtherReason_17
16;Total male and female;Total persons;St. Eustatius;2020;2420;1720;140;1580;700;40;660;110;0;550;10;530;30;180;280;20;30
17;Total male and female;Total persons;St. Eustatius;2022;2480;1810;110;1700;670;70;600;130;0;470;10;460;20;140;180;60;60
18;Total male and female;Total persons;Saba;2012;1650;1040;260;790;610;40;570;60;10;500;30;480;40;290;90;30;30
19;Total male and female;Total persons;Saba;2014;1520;900;190;710;620;20;590;40;0;550;20;530;30;370;100;30;10
20;Total male and female;Total persons;Saba;2016;1580;970;120;850;610;30;580;50;0;530;20;510;40;270;120;50;30
21;Total male and female;Total persons;Saba;2018;1770;1170;170;1000;610;30;580;20;10;550;10;540;30;320;140;40;10
22;Total male and female;Total persons;Saba;2020;1540;1130;220;910;410;40;370;70;10;300;10;290;10;100;120;50;10
23;Total male and female;Total persons;Saba;2022;1510;1010;90;920;500;30;470;0;10;460;10;450;10;200;170;20;40
24;Total male and female;Age: 15 to 24 years;Caribbean Netherlands;2012;2680;1100;360;740;1580;140;1450;170;20;1250;50;1200;20;1040;0;10;140
25;Total male and female;Age: 15 to 24 years;Caribbean Netherlands;2014;2820;980;320;660;1840;220;1620;180;30;1410;100;1310;0;1200;0;50;60
26;Total male and female;Age: 15 to 24 years;Caribbean Netherlands;2016;2690;950;190;760;1740;270;1470;90;10;1360;20;1350;0;1290;0;10;50
27;Total male and female;Age: 15 to 24 years;Caribbean Netherlands;2018;2760;1230;220;1010;1530;100;1430;160;40;1230;60;1170;0;1130;0;0;40
28;Total male and female;Age: 15 to 24 years;Caribbean Netherlands;2020;2550;1060;270;790;1500;140;1360;140;20;1210;110;1100;0;1080;0;20;0
29;Total male and female;Age: 15 to 24 years;Caribbean Netherlands;2022;2680;1210;190;1020;1470;150;1320;170;30;1120;40;1090;0;1030;0;0;60
30;Total male and female;Age: 15 to 24 years;Bonaire;2012;1940;880;270;620;1060;120;940;100;10;830;40;800;10;670;0;10;110
31;Total male and female;Age: 15 to 24 years;Bonaire;2014;2100;770;270;500;1330;170;1160;100;30;1030;70;960;0;880;0;40;40
32;Total male and female;Age: 15 to 24 years;Bonaire;2016;2110;830;160;670;1280;210;1070;40;0;1030;0;1030;0;980;0;10;40
33;Total male and female;Age: 15 to 24 years;Bonaire;2018;2130;980;190;790;1150;80;1070;130;40;910;60;850;0;810;0;0;40
34;Total male and female;Age: 15 to 24 years;Bonaire;2020;2050;870;230;650;1170;100;1070;90;10;970;100;880;0;860;0;20;0
35;Total male and female;Age: 15 to 24 years;Bonaire;2022;2170;1080;190;890;1100;130;970;100;30;840;30;810;0;770;0;0;40
36;Total male and female;Age: 15 to 24 years;St. Eustatius;2012;380;90;40;50;300;0;290;40;10;240;10;230;0;210;0;0;20
37;Total male and female;Age: 15 to 24 years;St. Eustatius;2014;390;110;40;70;290;40;250;60;10;180;30;150;0;120;0;10;20
38;Total male and female;Age: 15 to 24 years;St. Eustatius;2016;300;50;10;40;250;50;210;40;10;160;10;150;0;140;0;0;10
39;Total male and female;Age: 15 to 24 years;St. Eustatius;2018;340;120;20;100;220;20;200;30;0;180;0;180;0;170;0;0;10
40;Total male and female;Age: 15 to 24 years;St. Eustatius;2020;310;100;30;70;210;30;190;10;0;180;10;170;0;170;0;0;0
41;Total male and female;Age: 15 to 24 years;St. Eustatius;2022;340;100;0;100;230;20;220;70;0;150;0;150;0;140;0;0;10
42;Total male and female;Age: 15 to 24 years;Saba;2012;350;130;50;80;230;10;220;30;10;180;10;170;10;160;0;0;10
43;Total male and female;Age: 15 to 24 years;Saba;2014;320;100;20;90;220;10;220;10;0;210;0;200;0;200;0;0;0
44;Total male and female;Age: 15 to 24 years;Saba;2016;280;80;30;50;200;10;190;10;0;180;10;170;0;170;0;0;0
45;Total male and female;Age: 15 to 24 years;Saba;2018;280;130;10;110;160;0;150;10;0;150;0;150;0;150;0;0;0
46;Total male and female;Age: 15 to 24 years;Saba;2020;190;80;10;70;110;10;100;50;0;60;0;50;0;50;0;0;0
47;Total male and female;Age: 15 to 24 years;Saba;2022;170;30;0;30;140;0;140;0;0;140;10;130;0;120;0;0;10
48;Total male and female;Age: 25 to 44 years;Caribbean Netherlands;2012;6770;5600;1010;4590;1170;310;860;350;30;480;100;380;80;190;0;40;70
49;Total male and female;Age: 25 to 44 years;Caribbean Netherlands;2014;7380;6250;1350;4910;1120;360;770;160;120;490;50;440;110;230;0;70;40
50;Total male and female;Age: 25 to 44 years;Caribbean Netherlands;2016;7410;6250;550;5700;1160;420;740;250;10;480;70;420;110;130;0;80;110
51;Total male and female;Age: 25 to 44 years;Caribbean Netherlands;2018;7290;6310;870;5440;980;220;760;210;60;490;60;430;80;190;0;80;80
52;Total male and female;Age: 25 to 44 years;Caribbean Netherlands;2020;7640;6590;850;5740;1050;330;720;220;30;460;50;410;140;80;0;120;70
53;Total male and female;Age: 25 to 44 years;Caribbean Netherlands;2022;8220;7360;1060;6310;860;170;690;120;10;560;110;460;130;120;0;80;140
54;Total male and female;Age: 25 to 44 years;Bonaire;2012;4820;4050;740;3300;780;260;520;290;10;220;70;150;40;40;0;40;40
55;Total male and female;Age: 25 to 44 years;Bonaire;2014;5470;4750;1050;3710;710;280;430;70;100;260;20;240;90;60;0;60;40
56;Total male and female;Age: 25 to 44 years;Bonaire;2016;5810;4960;410;4560;850;350;500;150;10;330;70;270;90;30;0;60;90
57;Total male and female;Age: 25 to 44 years;Bonaire;2018;5520;4900;690;4210;620;160;460;150;40;260;40;220;60;10;0;70;80
58;Total male and female;Age: 25 to 44 years;Bonaire;2020;6090;5240;660;4580;850;300;550;140;30;380;50;330;130;30;0;110;70
59;Total male and female;Age: 25 to 44 years;Bonaire;2022;6680;6050;970;5090;630;120;510;90;0;420;100;320;110;40;0;70;100
60;Total male and female;Age: 25 to 44 years;St. Eustatius;2012;1230;1030;150;880;200;30;170;50;10;110;20;90;30;30;0;0;30
61;Total male and female;Age: 25 to 44 years;St. Eustatius;2014;1310;1100;210;890;200;70;140;80;10;50;20;20;20;0;0;10;0
62;Total male and female;Age: 25 to 44 years;St. Eustatius;2016;960;800;110;690;160;60;100;70;0;30;0;30;10;0;0;10;10
63;Total male and female;Age: 25 to 44 years;St. Eustatius;2018;990;850;90;750;140;40;100;50;10;40;20;30;10;10;0;0;0
64;Total male and female;Age: 25 to 44 years;St. Eustatius;2020;910;790;60;730;110;20;100;70;0;30;0;30;0;10;0;10;0
65;Total male and female;Age: 25 to 44 years;St. Eustatius;2022;900;800;40;750;110;40;70;30;0;40;0;40;10;0;0;10;20
66;Total male and female;Age: 25 to 44 years;Saba;2012;710;530;110;410;190;20;170;10;0;150;10;150;20;120;0;0;0
67;Total male and female;Age: 25 to 44 years;Saba;2014;600;400;100;300;210;10;200;10;0;190;10;180;0;170;0;0;0
68;Total male and female;Age: 25 to 44 years;Saba;2016;650;490;40;450;160;10;150;20;0;120;0;120;10;90;0;10;10
69;Total male and female;Age: 25 to 44 years;Saba;2018;780;570;90;480;220;20;200;10;0;190;10;180;10;170;0;10;0
70;Total male and female;Age: 25 to 44 years;Saba;2020;640;560;120;430;80;20;70;10;0;60;0;50;10;40;0;0;0
71;Total male and female;Age: 25 to 44 years;Saba;2022;640;510;50;470;130;10;110;0;10;100;0;100;10;70;0;0;20
72;Total male and female;Age: 25 to 34 years;Caribbean Netherlands;2012;3270;2530;530;2000;740;210;530;170;30;330;80;250;30;180;0;20;20
73;Total male and female;Age: 25 to 34 years;Caribbean Netherlands;2014;3690;2970;660;2310;720;210;510;80;40;390;40;350;50;220;0;40;40
74;Total male and female;Age: 25 to 34 years;Caribbean Netherlands;2016;3850;3160;220;2950;690;290;400;100;10;290;30;260;20;130;0;60;60
75;Total male and female;Age: 25 to 34 years;Caribbean Netherlands;2018;3750;3100;470;2640;650;150;500;150;60;290;40;250;40;160;0;20;40
76;Total male and female;Age: 25 to 34 years;Caribbean Netherlands;2020;3800;3280;430;2850;530;180;350;120;20;210;0;210;50;80;0;50;20
77;Total male and female;Age: 25 to 34 years;Caribbean Netherlands;2022;4070;3630;650;2980;440;50;390;80;0;300;50;250;60;90;0;20;90
78;Total male and female;Age: 25 to 34 years;Bonaire;2012;2240;1790;410;1390;450;170;270;130;10;130;60;70;10;40;0;20;0
79;Total male and female;Age: 25 to 34 years;Bonaire;2014;2700;2280;490;1790;430;160;270;50;30;190;20;180;50;60;0;30;40
80;Total male and female;Age: 25 to 34 years;Bonaire;2016;3010;2550;140;2410;460;230;230;50;10;170;30;130;10;30;0;50;40
81;Total male and female;Age: 25 to 34 years;Bonaire;2018;2780;2410;380;2030;370;120;260;120;40;90;20;70;30;0;0;10;40
82;Total male and female;Age: 25 to 34 years;Bonaire;2020;3000;2620;310;2310;390;160;230;70;20;140;0;140;50;30;0;50;20
83;Total male and female;Age: 25 to 34 years;Bonaire;2022;3290;2990;590;2410;300;30;270;70;0;200;50;150;50;20;0;20;60
84;Total male and female;Age: 25 to 34 years;St. Eustatius;2012;570;430;60;370;140;20;120;30;10;80;10;60;10;30;0;0;20
85;Total male and female;Age: 25 to 34 years;St. Eustatius;2014;620;510;130;390;110;40;60;30;10;30;20;10;0;0;0;10;0
86;Total male and female;Age: 25 to 34 years;St. Eustatius;2016;470;380;70;310;90;50;40;30;0;10;0;10;0;0;0;10;10
87;Total male and female;Age: 25 to 34 years;St. Eustatius;2018;470;370;30;340;100;20;80;30;10;30;10;20;10;10;0;0;0
88;Total male and female;Age: 25 to 34 years;St. Eustatius;2020;430;350;50;310;80;10;60;40;0;20;0;20;0;10;0;10;0
89;Total male and female;Age: 25 to 34 years;St. Eustatius;2022;400;350;40;320;50;20;30;10;0;20;0;20;0;0;0;0;10
90;Total male and female;Age: 25 to 34 years;Saba;2012;460;300;60;240;160;20;140;10;0;130;0;130;10;120;0;0;0
91;Total male and female;Age: 25 to 34 years;Saba;2014;370;180;50;130;190;10;180;0;0;180;0;170;0;160;0;0;0
92;Total male and female;Age: 25 to 34 years;Saba;2016;380;240;20;220;140;10;130;20;0;110;0;110;10;90;0;0;10
93;Total male and female;Age: 25 to 34 years;Saba;2018;500;320;60;260;180;10;170;0;0;160;0;160;10;150;0;10;0
94;Total male and female;Age: 25 to 34 years;Saba;2020;380;310;80;240;60;10;50;10;0;50;0;50;10;40;0;0;0
95;Total male and female;Age: 25 to 34 years;Saba;2022;380;290;30;260;90;0;90;0;0;90;0;90;0;70;0;0;20
96;Total male and female;Age: 35 to 44 years;Caribbean Netherlands;2012;3500;3070;480;2600;430;100;320;170;0;150;20;130;50;10;0;20;50
97;Total male and female;Age: 35 to 44 years;Caribbean Netherlands;2014;3690;3280;690;2600;410;150;260;80;80;100;10;90;60;0;0;30;0
98;Total male and female;Age: 35 to 44 years;Caribbean Netherlands;2016;3560;3090;340;2750;470;130;340;150;0;190;40;150;90;0;0;20;50
99;Total male and female;Age: 35 to 44 years;Caribbean Netherlands;2018;3540;3210;400;2810;330;70;260;60;0;200;30;180;40;30;0;60;40
100;Total male and female;Age: 35 to 44 years;Caribbean Netherlands;2020;3840;3320;420;2890;520;150;370;100;20;250;50;200;80;0;0;60;50
101;Total male and female;Age: 35 to 44 years;Caribbean Netherlands;2022;4150;3730;410;3320;420;120;310;40;10;260;60;210;70;30;0;60;50
102;Total male and female;Age: 35 to 44 years;Bonaire;2012;2590;2260;340;1920;330;90;240;150;0;90;10;80;30;0;0;20;40
103;Total male and female;Age: 35 to 44 years;Bonaire;2014;2770;2480;560;1920;290;120;160;30;70;70;0;70;40;0;0;30;0
104;Total male and female;Age: 35 to 44 years;Bonaire;2016;2800;2410;270;2140;390;120;270;100;0;170;40;130;70;0;0;10;50
105;Total male and female;Age: 35 to 44 years;Bonaire;2018;2740;2490;310;2180;250;50;200;30;0;170;20;150;30;10;0;60;40
106;Total male and female;Age: 35 to 44 years;Bonaire;2020;3090;2630;360;2270;460;140;320;70;10;230;50;190;80;0;0;60;50
107;Total male and female;Age: 35 to 44 years;Bonaire;2022;3400;3060;380;2680;340;90;250;20;0;230;60;170;60;20;0;50;40
108;Total male and female;Age: 35 to 44 years;St. Eustatius;2012;660;590;90;510;70;10;50;20;0;30;0;30;20;0;0;0;10
109;Total male and female;Age: 35 to 44 years;St. Eustatius;2014;690;590;80;510;100;20;70;50;10;20;10;20;20;0;0;0;0
110;Total male and female;Age: 35 to 44 years;St. Eustatius;2016;490;420;50;380;70;10;60;40;0;20;0;20;10;0;0;10;0
111;Total male and female;Age: 35 to 44 years;St. Eustatius;2018;520;470;60;410;50;20;30;20;0;10;0;10;0;0;0;0;0
112;Total male and female;Age: 35 to 44 years;St. Eustatius;2020;480;440;20;420;40;0;40;30;0;10;0;0;0;0;0;0;0
113;Total male and female;Age: 35 to 44 years;St. Eustatius;2022;500;440;10;430;60;20;40;20;0;20;0;20;10;0;0;10;10
114;Total male and female;Age: 35 to 44 years;Saba;2012;250;220;50;170;30;0;30;0;0;20;0;20;10;10;0;0;0
115;Total male and female;Age: 35 to 44 years;Saba;2014;240;220;40;170;20;0;20;10;0;10;10;10;0;0;0;0;0
116;Total male and female;Age: 35 to 44 years;Saba;2016;270;250;20;230;20;0;10;0;0;10;0;10;0;0;0;0;0
117;Total male and female;Age: 35 to 44 years;Saba;2018;280;240;30;220;40;0;40;10;0;30;0;30;0;20;0;0;0
118;Total male and female;Age: 35 to 44 years;Saba;2020;260;240;50;200;20;10;20;0;0;10;0;10;0;0;0;0;0
119;Total male and female;Age: 35 to 44 years;Saba;2022;260;230;20;210;30;10;20;0;10;20;0;20;10;10;0;0;10
120;Total male and female;Age: 45 to 54 years;Caribbean Netherlands;2012;4020;3330;670;2660;680;160;520;180;10;330;40;300;80;10;20;150;50
121;Total male and female;Age: 45 to 54 years;Caribbean Netherlands;2014;4290;3630;750;2880;670;210;460;170;0;290;30;260;100;0;30;70;60
122;Total male and female;Age: 45 to 54 years;Caribbean Netherlands;2016;4210;3590;410;3190;620;160;450;40;10;400;60;340;120;0;20;180;30
123;Total male and female;Age: 45 to 54 years;Caribbean Netherlands;2018;4140;3600;410;3190;540;90;450;110;20;310;30;280;120;0;20;110;30
124;Total male and female;Age: 45 to 54 years;Caribbean Netherlands;2020;4040;3370;420;2950;670;60;600;150;60;400;50;350;140;0;0;100;110
125;Total male and female;Age: 45 to 54 years;Caribbean Netherlands;2022;4100;3540;290;3250;560;110;460;80;0;370;50;320;100;0;20;110;80
126;Total male and female;Age: 45 to 54 years;Bonaire;2012;3080;2530;520;2010;550;140;420;170;0;240;20;220;50;0;10;130;30
127;Total male and female;Age: 45 to 54 years;Bonaire;2014;3320;2840;580;2260;480;130;350;120;0;230;10;220;90;0;20;60;50
128;Total male and female;Age: 45 to 54 years;Bonaire;2016;3390;2910;270;2640;480;150;330;20;10;310;40;270;90;0;0;150;30
129;Total male and female;Age: 45 to 54 years;Bonaire;2018;3290;2840;320;2520;450;80;370;90;20;270;30;240;100;0;10;100;30
130;Total male and female;Age: 45 to 54 years;Bonaire;2020;3240;2650;350;2300;590;60;530;120;60;350;50;300;120;0;0;80;100
131;Total male and female;Age: 45 to 54 years;Bonaire;2022;3320;2820;230;2590;500;90;400;70;0;330;50;280;100;0;10;100;70
132;Total male and female;Age: 45 to 54 years;St. Eustatius;2012;690;600;100;490;90;20;70;0;10;60;10;50;20;10;0;10;10
133;Total male and female;Age: 45 to 54 years;St. Eustatius;2014;730;570;120;450;160;80;80;50;0;30;20;20;0;0;10;10;10
134;Total male and female;Age: 45 to 54 years;St. Eustatius;2016;540;450;100;350;100;10;90;20;0;70;20;50;20;0;10;20;0
135;Total male and female;Age: 45 to 54 years;St. Eustatius;2018;560;500;50;450;60;10;50;20;0;30;10;20;10;0;0;10;0
136;Total male and female;Age: 45 to 54 years;St. Eustatius;2020;510;450;20;430;60;0;60;20;0;40;0;40;20;0;0;10;10
137;Total male and female;Age: 45 to 54 years;St. Eustatius;2022;500;460;30;430;40;20;30;10;0;10;0;10;0;0;0;10;0
138;Total male and female;Age: 45 to 54 years;Saba;2012;250;210;50;160;40;0;30;0;0;30;10;30;10;0;0;10;10
139;Total male and female;Age: 45 to 54 years;Saba;2014;240;220;50;170;30;10;20;0;0;20;0;20;10;0;0;10;0
140;Total male and female;Age: 45 to 54 years;Saba;2016;270;230;40;200;40;10;30;0;0;30;0;30;10;0;0;10;0
141;Total male and female;Age: 45 to 54 years;Saba;2018;290;260;40;230;30;10;20;0;0;20;0;20;10;0;0;10;0
142;Total male and female;Age: 45 to 54 years;Saba;2020;290;270;50;220;30;10;20;10;0;20;0;20;0;0;0;10;0
143;Total male and female;Age: 45 to 54 years;Saba;2022;290;260;30;230;30;0;30;0;0;30;0;30;0;0;10;0;10
144;Total male and female;Age: 45 to 74 years;Caribbean Netherlands;2012;8040;5250;1000;4250;2800;210;2590;290;30;2270;50;2230;210;10;1370;360;280
145;Total male and female;Age: 45 to 74 years;Caribbean Netherlands;2014;9030;5830;1050;4780;3200;340;2860;350;0;2510;100;2420;280;0;1470;380;280
146;Total male and female;Age: 45 to 74 years;Caribbean Netherlands;2016;9220;6090;590;5500;3140;240;2900;250;40;2610;110;2500;270;0;1610;480;140
147;Total male and female;Age: 45 to 74 years;Caribbean Netherlands;2018;9720;6730;680;6050;2990;160;2830;210;20;2590;80;2520;230;10;1710;390;180
148;Total male and female;Age: 45 to 74 years;Caribbean Netherlands;2020;10210;6680;850;5830;3530;160;3370;330;60;2980;110;2870;290;0;1860;420;300
149;Total male and female;Age: 45 to 74 years;Caribbean Netherlands;2022;10810;7100;580;6510;3710;180;3530;140;0;3400;120;3270;260;0;2100;660;250
150;Total male and female;Age: 45 to 74 years;Bonaire;2012;6090;3880;760;3130;2210;160;2050;260;20;1760;20;1740;160;0;1040;300;240
151;Total male and female;Age: 45 to 74 years;Bonaire;2014;6890;4430;770;3670;2450;220;2230;220;0;2010;50;1960;230;0;1220;270;260
152;Total male and female;Age: 45 to 74 years;Bonaire;2016;7390;4920;380;4540;2470;210;2260;170;30;2060;70;1990;200;0;1280;390;120
153;Total male and female;Age: 45 to 74 years;Bonaire;2018;7740;5370;540;4830;2380;130;2250;150;20;2080;60;2020;180;10;1340;340;160
154;Total male and female;Age: 45 to 74 years;Bonaire;2020;8310;5370;710;4660;2940;150;2790;280;60;2450;100;2350;260;0;1460;360;270
155;Total male and female;Age: 45 to 74 years;Bonaire;2022;8860;5720;470;5240;3150;150;3000;100;0;2900;110;2780;240;0;1750;590;210
156;Total male and female;Age: 45 to 74 years;St. Eustatius;2012;1370;980;150;820;390;30;360;10;10;340;10;330;30;10;240;40;20
157;Total male and female;Age: 45 to 74 years;St. Eustatius;2014;1560;1000;200;800;560;110;450;100;0;350;50;300;30;0;160;90;20
158;Total male and female;Age: 45 to 74 years;St. Eustatius;2016;1180;760;150;620;410;20;400;70;10;330;30;290;40;0;200;50;10
159;Total male and female;Age: 45 to 74 years;St. Eustatius;2018;1270;890;80;810;380;20;350;50;0;300;10;290;30;0;230;20;10
160;Total male and female;Age: 45 to 74 years;St. Eustatius;2020;1200;820;50;770;370;0;370;30;0;340;0;340;20;0;280;20;20
161;Total male and female;Age: 45 to 74 years;St. Eustatius;2022;1250;910;70;850;330;20;320;40;0;280;10;270;10;0;180;50;30
162;Total male and female;Age: 45 to 74 years;Saba;2012;580;390;90;300;190;10;180;10;0;170;20;160;20;0;90;30;20
163;Total male and female;Age: 45 to 74 years;Saba;2014;590;400;80;320;190;10;180;20;0;160;10;150;20;0;100;30;10
164;Total male and female;Age: 45 to 74 years;Saba;2016;650;400;60;350;250;10;240;10;0;230;10;220;30;0;120;50;20
165;Total male and female;Age: 45 to 74 years;Saba;2018;710;470;70;410;230;10;220;10;0;210;10;200;20;0;140;40;10
166;Total male and female;Age: 45 to 74 years;Saba;2020;710;490;90;410;210;10;200;20;0;180;0;180;10;0;120;50;10
167;Total male and female;Age: 45 to 74 years;Saba;2022;700;470;40;420;230;10;220;0;0;220;0;220;10;0;170;20;10
168;Total male and female;Age: 55 to 64 years;Caribbean Netherlands;2012;2610;1670;300;1370;940;30;900;80;20;810;10;800;40;0;530;110;130
169;Total male and female;Age: 55 to 64 years;Caribbean Netherlands;2014;3040;1830;250;1590;1210;130;1080;90;0;990;70;930;130;0;440;180;180
170;Total male and female;Age: 55 to 64 years;Caribbean Netherlands;2016;3200;2170;130;2040;1030;60;970;160;30;790;20;770;100;0;400;180;80
171;Total male and female;Age: 55 to 64 years;Caribbean Netherlands;2018;3540;2630;230;2400;910;50;870;90;0;780;20;760;100;10;360;200;90
172;Total male and female;Age: 55 to 64 years;Caribbean Netherlands;2020;3960;2800;320;2480;1160;90;1070;140;0;940;40;900;120;0;370;270;140
173;Total male and female;Age: 55 to 64 years;Caribbean Netherlands;2022;4270;3080;220;2870;1190;60;1120;50;0;1070;40;1030;90;0;340;480;130
174;Total male and female;Age: 55 to 64 years;Bonaire;2012;1950;1200;220;980;750;10;740;70;20;650;0;650;30;0;420;90;110
175;Total male and female;Age: 55 to 64 years;Bonaire;2014;2280;1350;160;1190;930;90;840;50;0;800;40;760;110;0;370;110;170
176;Total male and female;Age: 55 to 64 years;Bonaire;2016;2550;1750;80;1670;810;50;750;120;20;610;0;610;80;0;310;140;80
177;Total male and female;Age: 55 to 64 years;Bonaire;2018;2860;2150;180;1970;710;30;680;60;0;620;10;610;70;10;270;180;80
178;Total male and female;Age: 55 to 64 years;Bonaire;2020;3290;2290;250;2040;1000;80;920;120;0;800;40;760;110;0;290;240;110
179;Total male and female;Age: 55 to 64 years;Bonaire;2022;3560;2550;180;2370;1010;60;950;30;0;920;30;890;80;0;260;440;120
180;Total male and female;Age: 55 to 64 years;St. Eustatius;2012;460;330;50;280;130;10;120;10;0;110;0;110;0;0;80;20;10
181;Total male and female;Age: 55 to 64 years;St. Eustatius;2014;550;330;60;280;220;30;180;30;0;150;30;120;20;0;50;60;10
182;Total male and female;Age: 55 to 64 years;St. Eustatius;2016;430;280;40;240;150;10;140;30;10;110;10;100;20;0;60;20;0
183;Total male and female;Age: 55 to 64 years;St. Eustatius;2018;450;330;20;300;120;10;110;30;0;90;0;80;20;0;50;10;10
184;Total male and female;Age: 55 to 64 years;St. Eustatius;2020;430;320;30;290;110;0;110;20;0;90;0;90;10;0;60;0;20
185;Total male and female;Age: 55 to 64 years;St. Eustatius;2022;470;360;20;330;110;0;110;20;0;90;10;80;10;0;30;30;20
186;Total male and female;Age: 55 to 64 years;Saba;2012;190;140;40;100;60;10;50;0;0;50;10;40;0;0;30;10;10
187;Total male and female;Age: 55 to 64 years;Saba;2014;210;150;30;120;60;10;50;10;0;50;0;50;10;0;30;10;0
188;Total male and female;Age: 55 to 64 years;Saba;2016;220;140;10;130;80;0;80;10;0;70;0;70;0;0;40;20;10
189;Total male and female;Age: 55 to 64 years;Saba;2018;230;150;20;130;80;0;80;10;0;70;0;70;10;0;40;20;0
190;Total male and female;Age: 55 to 64 years;Saba;2020;240;190;40;150;60;10;50;0;0;50;0;50;0;0;20;20;0
191;Total male and female;Age: 55 to 64 years;Saba;2022;240;180;10;160;60;10;60;0;0;60;0;60;0;0;40;10;0
192;Total male and female;Age: 65 to 74 years;Caribbean Netherlands;2012;1420;250;30;220;1180;10;1160;30;0;1130;0;1130;90;0;830;100;110
193;Total male and female;Age: 65 to 74 years;Caribbean Netherlands;2014;1710;370;50;320;1330;10;1320;90;0;1230;10;1230;50;0;1000;130;40
194;Total male and female;Age: 65 to 74 years;Caribbean Netherlands;2016;1820;330;50;280;1490;20;1470;50;0;1420;40;1380;50;0;1190;120;30
195;Total male and female;Age: 65 to 74 years;Caribbean Netherlands;2018;2030;500;50;450;1530;20;1510;10;0;1500;30;1480;10;0;1340;80;50
196;Total male and female;Age: 65 to 74 years;Caribbean Netherlands;2020;2220;520;120;400;1700;10;1690;50;0;1640;20;1620;30;0;1480;60;60
197;Total male and female;Age: 65 to 74 years;Caribbean Netherlands;2022;2440;470;80;400;1960;10;1960;0;0;1950;30;1920;80;0;1750;70;30
198;Total male and female;Age: 65 to 74 years;Bonaire;2012;1060;160;20;140;910;10;890;30;0;870;0;870;80;0;610;80;110
199;Total male and female;Age: 65 to 74 years;Bonaire;2014;1290;250;20;220;1040;10;1030;50;0;980;0;980;30;0;830;90;30
200;Total male and female;Age: 65 to 74 years;Bonaire;2016;1450;260;40;230;1190;10;1170;30;0;1140;30;1120;30;0;980;90;10
