ID;PrognoseInterval;Perioden;LevendGeborenKinderen_1;Overledenen_2;Immigratie_3;EmigratieInclusiefCorrecties_4;MigratiesaldoInclusiefCorrecties_5
147;Bovengrens 95%-prognose-interval;2065;302817;240116;410232;331518;136291
148;Bovengrens 95%-prognose-interval;2066;306018;239014;411304;330690;136878
149;Bovengrens 95%-prognose-interval;2067;309184;237411;414337;329665;136173
150;Bovengrens 95%-prognose-interval;2068;310643;237519;414867;330573;135870
151;Bovengrens 95%-prognose-interval;2069;312036;236704;414769;331616;135462
152;Bovengrens 95%-prognose-interval;2070;312347;236989;413048;332513;134461
153;Ondergrens 67%-prognose-interval;2020;164381;157730;194866;143845;42616
154;Ondergrens 67%-prognose-interval;2021;155685;149647;220808;161896;46952
155;Ondergrens 67%-prognose-interval;2022;158617;148062;250383;167093;68699
156;Ondergrens 67%-prognose-interval;2023;164319;147960;255198;176732;64692
157;Ondergrens 67%-prognose-interval;2024;170841;149092;254776;185858;53431
158;Ondergrens 67%-prognose-interval;2025;174345;150281;257545;193799;47029
159;Ondergrens 67%-prognose-interval;2026;175924;151733;257878;199392;40523
160;Ondergrens 67%-prognose-interval;2027;178922;153565;257237;203668;35508
161;Ondergrens 67%-prognose-interval;2028;181331;155550;256684;206795;32080
162;Ondergrens 67%-prognose-interval;2029;183308;157517;253866;208913;27966
163;Ondergrens 67%-prognose-interval;2030;184254;159296;251649;210173;24530
164;Ondergrens 67%-prognose-interval;2031;184878;161044;249928;210763;22808
165;Ondergrens 67%-prognose-interval;2032;183650;162885;248186;210777;20541
166;Ondergrens 67%-prognose-interval;2033;182613;164877;245798;210547;18881
167;Ondergrens 67%-prognose-interval;2034;181767;166719;244307;210005;17032
168;Ondergrens 67%-prognose-interval;2035;181025;168886;242839;209769;16004
169;Ondergrens 67%-prognose-interval;2036;179709;171327;242863;209482;15130
170;Ondergrens 67%-prognose-interval;2037;178165;173265;242842;209303;14295
171;Ondergrens 67%-prognose-interval;2038;176065;175146;242859;209147;13243
172;Ondergrens 67%-prognose-interval;2039;174467;176152;241857;209240;12084
173;Ondergrens 67%-prognose-interval;2040;172900;177400;239554;209447;11160
174;Ondergrens 67%-prognose-interval;2041;171486;178404;238494;209788;10612
175;Ondergrens 67%-prognose-interval;2042;169875;179467;237793;210288;10075
176;Ondergrens 67%-prognose-interval;2043;168137;180154;237582;210676;9469
177;Ondergrens 67%-prognose-interval;2044;166562;180933;235666;210877;9601
178;Ondergrens 67%-prognose-interval;2045;165115;181856;234988;210479;9491
179;Ondergrens 67%-prognose-interval;2046;163907;183268;235084;209915;8795
180;Ondergrens 67%-prognose-interval;2047;162932;184230;235867;209256;8370
181;Ondergrens 67%-prognose-interval;2048;162036;184796;234812;208046;7962
182;Ondergrens 67%-prognose-interval;2049;161251;185410;233664;207069;8171
183;Ondergrens 67%-prognose-interval;2050;160467;186301;233800;206647;7441
184;Ondergrens 67%-prognose-interval;2051;159995;187512;234338;206457;7387
185;Ondergrens 67%-prognose-interval;2052;159586;188511;234809;206251;7296
186;Ondergrens 67%-prognose-interval;2053;159681;189055;233722;206729;7391
187;Ondergrens 67%-prognose-interval;2054;160184;189373;233194;207190;6590
188;Ondergrens 67%-prognose-interval;2055;161129;189546;233027;207412;6710
189;Ondergrens 67%-prognose-interval;2056;162238;189706;233857;207534;6402
190;Ondergrens 67%-prognose-interval;2057;163256;189807;233172;207757;6272
191;Ondergrens 67%-prognose-interval;2058;163971;189425;232684;207613;6165
192;Ondergrens 67%-prognose-interval;2059;164834;188807;231367;207192;6282
193;Ondergrens 67%-prognose-interval;2060;165224;187784;231564;207085;6159
194;Ondergrens 67%-prognose-interval;2061;166055;186057;231452;206626;6287
195;Ondergrens 67%-prognose-interval;2062;166553;184145;231848;206243;6755
196;Ondergrens 67%-prognose-interval;2063;167422;181954;232772;205947;6738
197;Ondergrens 67%-prognose-interval;2064;167671;180213;233454;206038;6975
198;Ondergrens 67%-prognose-interval;2065;167995;178367;234505;205800;7611
199;Ondergrens 67%-prognose-interval;2066;167146;177070;234829;206228;7339
200;Ondergrens 67%-prognose-interval;2067;166314;175523;235130;206768;6747
201;Ondergrens 67%-prognose-interval;2068;165172;173762;235642;206300;6290
202;Ondergrens 67%-prognose-interval;2069;165029;171796;236073;206464;5085
203;Ondergrens 67%-prognose-interval;2070;164741;170399;236427;206078;4881
204;Bovengrens 67%-prognose-interval;2020;172358;170898;228950;160095;76551
205;Bovengrens 67%-prognose-interval;2021;166800;166577;269639;186029;95903
206;Bovengrens 67%-prognose-interval;2022;172697;168165;311512;197762;128544
207;Bovengrens 67%-prognose-interval;2023;181194;170340;324977;210859;128594
208;Bovengrens 67%-prognose-interval;2024;190230;173672;330144;223714;121982
209;Bovengrens 67%-prognose-interval;2025;196147;176708;337226;235290;118041
210;Bovengrens 67%-prognose-interval;2026;200046;179992;340914;244100;114491
211;Bovengrens 67%-prognose-interval;2027;205309;183164;345619;251119;111172
212;Bovengrens 67%-prognose-interval;2028;209816;186200;349286;256628;109189
213;Bovengrens 67%-prognose-interval;2029;213589;189325;350658;260917;105580
214;Bovengrens 67%-prognose-interval;2030;216400;192228;350398;263545;103632
215;Bovengrens 67%-prognose-interval;2031;218796;195244;351302;265184;101943
216;Bovengrens 67%-prognose-interval;2032;219210;198298;352703;266999;101181
217;Bovengrens 67%-prognose-interval;2033;219583;201585;353806;268681;100898
218;Bovengrens 67%-prognose-interval;2034;219620;204676;354631;270107;100929
219;Bovengrens 67%-prognose-interval;2035;219635;207349;355288;271947;100809
220;Bovengrens 67%-prognose-interval;2036;219340;210022;355686;273391;100305
221;Bovengrens 67%-prognose-interval;2037;218697;212540;355085;274627;99211
222;Bovengrens 67%-prognose-interval;2038;217880;215313;354252;275123;97906
223;Bovengrens 67%-prognose-interval;2039;216840;217288;353600;275018;97141
224;Bovengrens 67%-prognose-interval;2040;216201;218983;354726;275331;96534
225;Bovengrens 67%-prognose-interval;2041;215511;220129;355101;275752;96145
226;Bovengrens 67%-prognose-interval;2042;214903;221253;355629;276183;96390
227;Bovengrens 67%-prognose-interval;2043;214179;221965;355885;276677;96814
228;Bovengrens 67%-prognose-interval;2044;213516;223011;356977;277728;96434
229;Bovengrens 67%-prognose-interval;2045;212945;223830;358371;278692;95937
230;Bovengrens 67%-prognose-interval;2046;212550;225361;358441;279448;95549
231;Bovengrens 67%-prognose-interval;2047;212357;226080;358444;280308;94950
232;Bovengrens 67%-prognose-interval;2048;212579;227495;357912;281037;94303
233;Bovengrens 67%-prognose-interval;2049;212913;228326;357830;281201;93528
234;Bovengrens 67%-prognose-interval;2050;213497;229372;357051;281638;92867
235;Bovengrens 67%-prognose-interval;2051;214228;230070;356392;282054;92628
236;Bovengrens 67%-prognose-interval;2052;215587;230614;356528;282028;92786
237;Bovengrens 67%-prognose-interval;2053;217531;230793;356392;282130;93283
238;Bovengrens 67%-prognose-interval;2054;219801;230790;356869;282777;93273
239;Bovengrens 67%-prognose-interval;2055;222370;230687;357062;283415;93495
240;Bovengrens 67%-prognose-interval;2056;225300;230676;357959;284194;93081
241;Bovengrens 67%-prognose-interval;2057;228704;230566;358893;285473;92451
242;Bovengrens 67%-prognose-interval;2058;232280;229988;358913;285922;91636
243;Bovengrens 67%-prognose-interval;2059;235887;229899;359895;286210;91675
244;Bovengrens 67%-prognose-interval;2060;238984;228870;359541;286816;91538
245;Bovengrens 67%-prognose-interval;2061;241859;228120;359714;287415;91582
246;Bovengrens 67%-prognose-interval;2062;244608;225665;358814;287885;91178
247;Bovengrens 67%-prognose-interval;2063;247239;223141;359181;288892;90934
248;Bovengrens 67%-prognose-interval;2064;249027;220658;359105;288847;91236
249;Bovengrens 67%-prognose-interval;2065;250564;218990;359574;288746;91637
250;Bovengrens 67%-prognose-interval;2066;251626;217180;358333;288465;91540
251;Bovengrens 67%-prognose-interval;2067;252567;215267;357466;287607;92043
252;Bovengrens 67%-prognose-interval;2068;253188;213402;356747;287476;93037
253;Bovengrens 67%-prognose-interval;2069;253779;212314;357470;287615;92988
254;Bovengrens 67%-prognose-interval;2070;254104;211211;357954;287349;94360
