ID;Geslacht;Persoonskenmerken;Perioden;Sportdeelname_1;TotaalSolosporten_2;Atletiek_3;Autosport_4;Fitness_5;Golf_6;Gymnastiek_7;Paardrijden_8;Schaatsen_9;Skaten_10;Wielrennen_11;Trimmen_12;Wandelsport_13;Zeilen_14;Zwemmen_15;TotaalDuosporten_16;Badminton_17;Squash_18;Tafeltennis_19;Tennis_20;Vechtsport_21;TotaalTeamsporten_22;Basketbal_23;Handbal_24;Hockey_25;Korfbal_26;Honkbal_27;Veldvoetbal_28;Volleybal_29;Zaalvoetbal_30;OverigeSporten_31;TotaleBevolking_32;SportendeBevolking_33;TotaleBevolking_34;SportendeBevolking_35;TotaleBevolking_36;SportendeBevolking_37;TotaleBevolking_38;SportendeBevolking_39;ToeschouwerSportwedstrijden_40;ToeschouwerBetaaldVoetbal_41;WekelijksVolgenSportRadioTelevisie_42
62;1100;21;1999;50.0;40.0;0.0;1.0;8.0;0.0;4.0;1.0;2.0;4.0;4.0;12.0;9.0;2.0;21.0;8.0;2.0;1.0;1.0;4.0;1.0;8.0;0.0;0.0;0.0;1.0;;4.0;2.0;2.0;10.0;22.0;38.0;11.0;23.0;1.0;2.0;;;23.0;8.0;49.0
63;1100;21;2003;52.0;44.0;0.0;1.0;11.0;1.0;3.0;1.0;3.0;3.0;6.0;15.0;12.0;2.0;23.0;10.0;3.0;1.0;2.0;5.0;1.0;8.0;1.0;0.0;0.0;0.0;0.0;5.0;2.0;2.0;6.0;21.0;36.0;14.0;27.0;1.1;2.2;19.0;38.0;27.0;9.0;49.0
64;1100;21;2007;60.0;49.0;1.0;2.0;16.0;2.0;5.0;2.0;2.0;3.0;10.0;19.0;14.0;3.0;23.0;10.0;4.0;1.0;3.0;5.0;2.0;11.0;2.0;1.0;1.0;1.0;1.0;8.0;3.0;4.0;6.0;22.0;35.0;17.0;29.0;1.4;2.4;24.0;42.0;29.0;10.0;48.0
65;1100;22;1991;74.0;62.0;;2.0;14.0;1.0;4.0;3.0;14.0;;14.0;18.0;10.0;8.0;35.0;21.0;8.0;;3.0;11.0;2.0;18.0;1.0;1.0;1.0;1.0;0.0;7.0;7.0;5.0;12.0;36.0;47.0;29.0;40.0;1.9;2.5;;;33.0;10.0;48.0
66;1100;22;1995;74.0;63.0;1.0;2.0;19.0;2.0;3.0;3.0;7.0;;12.0;20.0;10.0;8.0;38.0;21.0;5.0;5.0;3.0;12.0;1.0;15.0;0.0;1.0;1.0;1.0;0.0;6.0;5.0;4.0;8.0;37.0;48.0;27.0;37.0;1.8;2.4;;;34.0;11.0;51.0
67;1100;22;1999;73.0;61.0;1.0;3.0;18.0;2.0;3.0;3.0;5.0;8.0;11.0;18.0;12.0;6.0;32.0;19.0;5.0;4.0;2.0;9.0;2.0;15.0;0.0;1.0;1.0;1.0;;7.0;5.0;4.0;12.0;33.0;43.0;22.0;31.0;1.8;2.4;;;31.0;11.0;44.0
68;1100;22;2003;75.0;66.0;1.0;2.0;21.0;3.0;2.0;3.0;7.0;7.0;14.0;22.0;17.0;7.0;36.0;20.0;6.0;4.0;3.0;11.0;2.0;15.0;1.0;0.0;1.0;1.0;1.0;8.0;4.0;5.0;9.0;32.0;41.0;25.0;33.0;2.0;2.6;30.0;41.0;37.0;14.0;45.0
69;1100;22;2007;79.0;70.0;1.0;3.0;28.0;4.0;2.0;3.0;5.0;7.0;20.0;25.0;16.0;8.0;35.0;17.0;5.0;4.0;4.0;10.0;2.0;18.0;2.0;1.0;2.0;1.0;1.0;10.0;5.0;6.0;8.0;32.0;40.0;27.0;33.0;2.2;2.7;36.0;45.0;37.0;14.0;44.0
70;1100;23;1991;78.0;68.0;;1.0;12.0;3.0;4.0;1.0;18.0;;17.0;26.0;16.0;15.0;38.0;27.0;9.0;;3.0;17.0;1.0;19.0;1.0;1.0;3.0;1.0;0.0;7.0;9.0;3.0;13.0;40.0;49.0;31.0;40.0;2.2;2.9;;;28.0;8.0;43.0
71;1100;23;1995;79.0;70.0;1.0;2.0;16.0;4.0;4.0;3.0;11.0;;19.0;24.0;16.0;15.0;39.0;32.0;7.0;8.0;2.0;20.0;1.0;18.0;1.0;1.0;3.0;0.0;0.0;6.0;8.0;4.0;8.0;39.0;48.0;29.0;37.0;2.2;2.8;;;30.0;11.0;48.0
72;1100;23;1999;79.0;71.0;1.0;2.0;20.0;5.0;3.0;2.0;8.0;10.0;14.0;24.0;19.0;12.0;35.0;27.0;5.0;7.0;3.0;16.0;2.0;15.0;1.0;1.0;2.0;1.0;;5.0;6.0;3.0;12.0;38.0;44.0;23.0;30.0;2.2;2.8;;;30.0;11.0;42.0
73;1100;23;2003;83.0;75.0;1.0;2.0;26.0;7.0;2.0;3.0;11.0;9.0;21.0;29.0;24.0;13.0;38.0;27.0;5.0;7.0;4.0;17.0;2.0;15.0;1.0;0.0;3.0;1.0;0.0;6.0;5.0;4.0;11.0;37.0;43.0;29.0;35.0;2.5;3.0;40.0;49.0;34.0;12.0;42.0
74;1100;23;2007;85.0;77.0;1.0;1.0;33.0;7.0;3.0;3.0;6.0;7.0;25.0;29.0;23.0;11.0;35.0;24.0;4.0;6.0;4.0;14.0;3.0;14.0;1.0;1.0;2.0;1.0;1.0;6.0;5.0;2.0;7.0;36.0;42.0;26.0;30.0;2.4;2.8;40.0;47.0;34.0;14.0;38.0
75;3000;Totaal personen;1991;66.0;52.0;;;5.0;;3.0;;14.0;;13.0;17.0;7.0;10.0;29.0;22.0;7.0;;4.0;11.0;4.0;26.0;2.0;;2.0;;;17.0;6.0;7.0;10.0;40.0;55.0;34.0;51.0;1.8;2.7;;;39.0;15.0;63.0
76;3000;Totaal personen;1995;67.0;52.0;1.0;2.0;7.0;2.0;3.0;2.0;8.0;;12.0;17.0;8.0;9.0;31.0;23.0;5.0;4.0;5.0;11.0;4.0;26.0;2.0;;2.0;;;17.0;5.0;7.0;8.0;40.0;55.0;32.0;48.0;1.7;2.6;;;38.0;16.0;66.0
77;3000;Totaal personen;1999;68.0;53.0;;3.0;9.0;2.0;3.0;;6.0;9.0;11.0;17.0;10.0;7.0;28.0;21.0;5.0;4.0;5.0;10.0;4.0;25.0;2.0;;;;;16.0;5.0;7.0;10.0;38.0;51.0;29.0;42.0;1.8;2.7;;;37.0;16.0;57.0
78;3000;Totaal personen;2003;72.0;60.0;2.0;3.0;13.0;4.0;3.0;2.0;9.0;9.0;14.0;23.0;13.0;9.0;33.0;25.0;7.0;5.0;7.0;13.0;4.0;27.0;4.0;;2.0;;2.0;19.0;5.0;9.0;8.0;38.0;50.0;33.0;46.0;2.2;3.1;36.0;51.0;41.0;19.0;62.0
79;3000;Totaal personen;2007;76.0;63.0;;3.0;18.0;5.0;;;6.0;6.0;20.0;26.0;12.0;8.0;31.0;22.0;5.0;4.0;7.0;11.0;5.0;26.0;4.0;;;;;20.0;4.0;10.0;7.0;36.0;47.0;33.0;43.0;2.3;3.0;39.0;51.0;40.0;20.0;56.0
80;3000;13;1991;88.0;68.0;;;2.0;;12.0;;26.0;;7.0;9.0;3.0;12.0;54.0;35.0;9.0;;10.0;16.0;10.0;50.0;5.0;;4.0;;;41.0;5.0;7.0;6.0;64.0;72.0;65.0;74.0;2.7;3.1;;;47.0;15.0;49.0
81;3000;13;1995;89.0;66.0;3.0;1.0;2.0;1.0;11.0;3.0;11.0;;7.0;10.0;5.0;12.0;57.0;37.0;11.0;1.0;13.0;14.0;13.0;54.0;8.0;;5.0;;;44.0;6.0;10.0;6.0;66.0;74.0;64.0;72.0;2.6;3.0;;;47.0;19.0;56.0
82;3000;13;1999;90.0;69.0;;1.0;4.0;1.0;11.0;;10.0;28.0;6.0;10.0;6.0;10.0;53.0;33.0;11.0;2.0;14.0;12.0;12.0;54.0;8.0;;;;;45.0;5.0;13.0;9.0;63.0;70.0;60.0;67.0;2.9;3.3;;;48.0;20.0;43.0
83;3000;13;2003;91.0;75.0;5.0;2.0;7.0;2.0;12.0;3.0;18.0;27.0;10.0;14.0;8.0;13.0;61.0;42.0;17.0;2.0;21.0;18.0;11.0;61.0;14.0;;9.0;;6.0;52.0;7.0;19.0;9.0;66.0;73.0;66.0;72.0;3.7;4.1;62.0;68.0;51.0;25.0;
84;3000;13;2007;94.0;74.0;;3.0;8.0;3.0;;;13.0;16.0;21.0;19.0;4.0;12.0;60.0;41.0;15.0;2.0;18.0;15.0;14.0;68.0;18.0;;;;;58.0;7.0;23.0;7.0;70.0;73.0;71.0;76.0;3.9;4.1;66.0;69.0;47.0;27.0;42.0
85;3000;14;1991;78.0;60.0;;;13.0;;1.0;;18.0;;21.0;15.0;4.0;16.0;28.0;31.0;8.0;;6.0;15.0;8.0;40.0;3.0;;3.0;;;27.0;10.0;12.0;14.0;44.0;54.0;46.0;59.0;2.5;3.2;;;49.0;25.0;62.0
86;3000;14;1995;74.0;52.0;1.0;3.0;17.0;1.0;2.0;1.0;10.0;;16.0;13.0;4.0;14.0;29.0;29.0;4.0;8.0;6.0;13.0;6.0;37.0;5.0;;3.0;;;26.0;7.0;14.0;10.0;44.0;58.0;41.0;55.0;2.2;2.9;;;45.0;26.0;62.0
87;3000;14;1999;80.0;58.0;;5.0;21.0;3.0;1.0;;7.0;9.0;17.0;9.0;6.0;10.0;28.0;27.0;5.0;8.0;10.0;12.0;5.0;41.0;5.0;;;;;28.0;8.0;16.0;11.0;45.0;55.0;43.0;54.0;2.4;3.0;;;48.0;27.0;57.0
88;3000;14;2003;80.0;64.0;3.0;5.0;29.0;3.0;1.0;1.0;10.0;7.0;21.0;15.0;6.0;11.0;39.0;34.0;8.0;10.0;13.0;16.0;8.0;46.0;10.0;;2.0;;2.0;34.0;7.0;19.0;9.0;44.0;54.0;45.0;56.0;2.9;3.7;47.0;59.0;46.0;24.0;55.0
89;3000;14;2007;89.0;76.0;;7.0;37.0;6.0;;;7.0;5.0;32.0;20.0;5.0;13.0;41.0;33.0;8.0;7.0;16.0;19.0;4.0;49.0;9.0;;;;;44.0;9.0;24.0;6.0;42.0;48.0;50.0;56.0;3.4;3.8;49.0;55.0;52.0;24.0;53.0
90;3000;Leeftijd: 25 tot 35 jaar;1991;77.0;60.0;;;10.0;;1.0;;15.0;;22.0;20.0;8.0;12.0;32.0;23.0;9.0;;3.0;11.0;3.0;33.0;2.0;;1.0;;;19.0;10.0;12.0;14.0;42.0;52.0;40.0;51.0;2.2;2.8;;;40.0;17.0;62.0
91;3000;Leeftijd: 25 tot 35 jaar;1995;74.0;56.0;1.0;4.0;12.0;3.0;1.0;2.0;9.0;;18.0;18.0;6.0;12.0;31.0;28.0;5.0;11.0;3.0;14.0;3.0;32.0;1.0;;2.0;;;19.0;7.0;11.0;10.0;43.0;55.0;37.0;49.0;2.0;2.7;;;41.0;22.0;65.0
92;3000;Leeftijd: 25 tot 35 jaar;1999;74.0;57.0;;5.0;16.0;4.0;0.0;;7.0;10.0;17.0;16.0;9.0;10.0;28.0;28.0;5.0;12.0;3.0;12.0;4.0;28.0;1.0;;;;;17.0;6.0;11.0;12.0;35.0;45.0;30.0;40.0;2.1;2.8;;;40.0;23.0;52.0
