ID;BiologicalControl;Crops;Periods;CompaniesWithBiologicalControlAgents_1;CompaniesWithBiologicalControlAgents_2;AreaSizeWithDeploymentOfMacrobials_3;AreaSizeWithDeploymentOfMacrobials_4;DeployedMacrobiologicalControlAgents_5;CropArea_6;AreaWithBiologicalControlAgents_7
91;A02 Amblyseius degenerans;Total crops/cultivation sectors;2016;;;525.0;8.7;1313.0;0.0;3.0
92;A02 Amblyseius degenerans;Total crops/cultivation sectors;2020;;;205.0;3.0;3940.0;1.0;19.0
93;A02 Amblyseius degenerans;Strawberries, under glass;2012;;;;;;;
94;A02 Amblyseius degenerans;Strawberries, under glass;2016;;;;;;;
95;A02 Amblyseius degenerans;Strawberries, under glass;2020;4.0;1.7;6.0;1.2;602.0;1.0;96.0
96;A02 Amblyseius degenerans;Foliage plants under glass;2012;;;;;;;
97;A02 Amblyseius degenerans;Foliage plants under glass;2016;;;;;;;
98;A02 Amblyseius degenerans;Foliage plants under glass;2020;2.0;0.7;2.0;0.5;1365.0;3.0;641.0
99;A02 Amblyseius degenerans;Chrysantinum under glass;2012;;;;;;;
100;A02 Amblyseius degenerans;Chrysantinum under glass;2016;;;;;;;
101;A02 Amblyseius degenerans;Chrysantinum under glass;2020;;;;;;;
102;A02 Amblyseius degenerans;Gerberas under glass;2012;;;;;;;
103;A02 Amblyseius degenerans;Gerberas under glass;2016;;;;;;;
104;A02 Amblyseius degenerans;Gerberas under glass;2020;;;;;;;
105;A02 Amblyseius degenerans;Cucumbers;2012;;;;;;;
106;A02 Amblyseius degenerans;Cucumbers;2016;;;;;;;
107;A02 Amblyseius degenerans;Cucumbers;2020;;;;;;;
108;A02 Amblyseius degenerans;Peppers (total);2012;80.0;27.8;415.0;31.6;12671.0;10.0;31.0
109;A02 Amblyseius degenerans;Peppers (total);2016;109.0;43.1;515.0;39.1;1307.0;1.0;3.0
110;A02 Amblyseius degenerans;Peppers (total);2020;42.0;16.4;186.0;12.2;1678.0;1.0;9.0
111;A02 Amblyseius degenerans;Pot plants for flowering;2012;;;;;;;
112;A02 Amblyseius degenerans;Pot plants for flowering;2016;;;;;;;
113;A02 Amblyseius degenerans;Pot plants for flowering;2020;3.0;0.7;10.0;1.1;295.0;0.0;28.0
114;A02 Amblyseius degenerans;Roses under glass;2012;;;;;;;
115;A02 Amblyseius degenerans;Roses under glass;2016;;;;;;;
116;A02 Amblyseius degenerans;Roses under glass;2020;;;;;;;
117;A02 Amblyseius degenerans;Tomatoes (total);2012;0.0;0.0;0.0;0.0;0.0;0.0;
118;A02 Amblyseius degenerans;Tomatoes (total);2016;0.0;0.0;0.0;0.0;0.0;0.0;
119;A02 Amblyseius degenerans;Tomatoes (total);2020;0.0;0.0;0.0;0.0;0.0;0.0;
120;A03 Amblyseius swirskii;Total crops/cultivation sectors;2012;;;1915.0;30.2;3570941.0;563.0;1865.0
121;A03 Amblyseius swirskii;Total crops/cultivation sectors;2016;;;1720.0;28.4;3370379.0;556.0;1960.0
122;A03 Amblyseius swirskii;Total crops/cultivation sectors;2020;;;1484.0;22.0;4239221.0;629.0;2857.0
123;A03 Amblyseius swirskii;Strawberries, under glass;2012;62.0;22.1;89.0;30.9;52861.0;183.0;593.0
124;A03 Amblyseius swirskii;Strawberries, under glass;2016;16.0;6.3;18.0;5.4;6706.0;20.0;370.0
125;A03 Amblyseius swirskii;Strawberries, under glass;2020;9.0;3.9;57.0;11.2;56236.0;112.0;995.0
126;A03 Amblyseius swirskii;Foliage plants under glass;2012;52.0;16.6;191.0;39.5;199935.0;413.0;1046.0
127;A03 Amblyseius swirskii;Foliage plants under glass;2016;57.0;23.7;127.0;32.4;249744.0;638.0;1968.0
128;A03 Amblyseius swirskii;Foliage plants under glass;2020;54.0;22.3;140.0;30.4;680222.0;1479.0;4866.0
129;A03 Amblyseius swirskii;Chrysantinum under glass;2012;;;;;;;
130;A03 Amblyseius swirskii;Chrysantinum under glass;2016;;;;;;;
131;A03 Amblyseius swirskii;Chrysantinum under glass;2020;2.0;1.5;4.0;0.9;259682.0;583.0;62500.0
132;A03 Amblyseius swirskii;Gerberas under glass;2012;35.0;52.1;98.0;57.8;103913.0;610.0;1055.0
133;A03 Amblyseius swirskii;Gerberas under glass;2016;37.0;65.6;115.0;60.9;120972.0;643.0;1056.0
134;A03 Amblyseius swirskii;Gerberas under glass;2020;28.0;61.4;110.0;66.9;206624.0;1257.0;1879.0
135;A03 Amblyseius swirskii;Cucumbers;2012;171.0;67.4;511.0;82.2;1042550.0;1677.0;2038.0
136;A03 Amblyseius swirskii;Cucumbers;2016;180.0;85.9;500.0;90.2;1013398.0;1828.0;2027.0
137;A03 Amblyseius swirskii;Cucumbers;2020;134.0;62.5;517.0;86.9;1521126.0;2558.0;2945.0
138;A03 Amblyseius swirskii;Peppers (total);2012;123.0;42.7;643.0;49.0;174560.0;133.0;271.0
139;A03 Amblyseius swirskii;Peppers (total);2016;90.0;35.6;427.0;32.4;126678.0;96.0;296.0
140;A03 Amblyseius swirskii;Peppers (total);2020;51.0;20.3;365.0;23.8;247226.0;161.0;678.0
141;A03 Amblyseius swirskii;Pot plants for flowering;2012;54.0;11.5;132.0;15.2;160934.0;186.0;1222.0
142;A03 Amblyseius swirskii;Pot plants for flowering;2016;99.0;25.2;335.0;35.8;985373.0;1053.0;2938.0
143;A03 Amblyseius swirskii;Pot plants for flowering;2020;74.0;18.1;233.0;24.4;740235.0;772.0;3172.0
144;A03 Amblyseius swirskii;Roses under glass;2012;87.0;47.0;238.0;58.4;1833578.0;4500.0;7700.0
145;A03 Amblyseius swirskii;Roses under glass;2016;46.0;45.5;142.0;55.2;759125.0;2959.0;5357.0
146;A03 Amblyseius swirskii;Roses under glass;2020;21.0;34.6;59.0;28.7;527869.0;2584.0;8996.0
147;A03 Amblyseius swirskii;Tomatoes (total);2012;;;;;;;
148;A03 Amblyseius swirskii;Tomatoes (total);2016;;;;;;;
149;A03 Amblyseius swirskii;Tomatoes (total);2020;;;;;;;
150;A04 Macrocheles robustulus;Total crops/cultivation sectors;2012;;;294.0;4.6;252814.0;40.0;859.0
151;A04 Macrocheles robustulus;Total crops/cultivation sectors;2016;;;409.0;6.7;1120337.0;185.0;2742.0
152;A04 Macrocheles robustulus;Total crops/cultivation sectors;2020;;;267.0;4.0;1393933.0;207.0;5226.0
153;A04 Macrocheles robustulus;Strawberries, under glass;2012;;;;;;;
154;A04 Macrocheles robustulus;Strawberries, under glass;2016;;;;;;;
155;A04 Macrocheles robustulus;Strawberries, under glass;2020;8.0;3.3;28.0;5.5;15178.0;30.0;547.0
156;A04 Macrocheles robustulus;Foliage plants under glass;2012;;;;;;;
157;A04 Macrocheles robustulus;Foliage plants under glass;2016;19.0;7.9;35.0;8.9;27174.0;69.0;781.0
158;A04 Macrocheles robustulus;Foliage plants under glass;2020;22.0;9.1;70.0;15.3;374210.0;814.0;5321.0
159;A04 Macrocheles robustulus;Chrysantinum under glass;2012;;;;;;;
160;A04 Macrocheles robustulus;Chrysantinum under glass;2016;;;;;;;
161;A04 Macrocheles robustulus;Chrysantinum under glass;2020;2.0;1.6;5.0;1.1;329390.0;740.0;65714.0
162;A04 Macrocheles robustulus;Gerberas under glass;2012;;;;;;;
163;A04 Macrocheles robustulus;Gerberas under glass;2016;;;;;;;
164;A04 Macrocheles robustulus;Gerberas under glass;2020;2.0;3.7;3.0;1.6;4042.0;25.0;1500.0
165;A04 Macrocheles robustulus;Cucumbers;2012;;;;;;;
166;A04 Macrocheles robustulus;Cucumbers;2016;;;;;;;
167;A04 Macrocheles robustulus;Cucumbers;2020;2.0;1.0;5.0;0.8;1294.0;2.0;263.0
168;A04 Macrocheles robustulus;Peppers (total);2012;;;;;;;
169;A04 Macrocheles robustulus;Peppers (total);2016;;;;;;;
170;A04 Macrocheles robustulus;Peppers (total);2020;;;;;;;
171;A04 Macrocheles robustulus;Pot plants for flowering;2012;59.0;12.7;148.0;17.0;144754.0;167.0;981.0
172;A04 Macrocheles robustulus;Pot plants for flowering;2016;100.0;25.6;340.0;36.3;1087266.0;1162.0;3198.0
173;A04 Macrocheles robustulus;Pot plants for flowering;2020;39.0;9.7;135.0;14.1;651135.0;680.0;4813.0
174;A04 Macrocheles robustulus;Roses under glass;2012;;;;;;;
175;A04 Macrocheles robustulus;Roses under glass;2016;;;;;;;
176;A04 Macrocheles robustulus;Roses under glass;2020;2.0;3.2;1.0;0.4;2924.0;14.0;3750.0
177;A04 Macrocheles robustulus;Tomatoes (total);2012;;;;;;;
178;A04 Macrocheles robustulus;Tomatoes (total);2016;;;;;;;
179;A04 Macrocheles robustulus;Tomatoes (total);2020;3.0;1.3;20.0;1.1;15761.0;8.0;789.0
180;A05 Neioseiulus californicus;Total crops/cultivation sectors;2012;;;991.0;15.6;677531.0;107.0;684.0
181;A05 Neioseiulus californicus;Total crops/cultivation sectors;2016;;;1005.0;16.6;550546.0;91.0;548.0
182;A05 Neioseiulus californicus;Total crops/cultivation sectors;2020;;;1288.0;19.1;1028487.0;153.0;799.0
183;A05 Neioseiulus californicus;Strawberries, under glass;2012;;;;;;;
184;A05 Neioseiulus californicus;Strawberries, under glass;2016;47.0;18.6;116.0;34.5;57975.0;173.0;501.0
185;A05 Neioseiulus californicus;Strawberries, under glass;2020;122.0;50.6;372.0;73.8;336037.0;666.0;903.0
186;A05 Neioseiulus californicus;Foliage plants under glass;2012;44.0;14.0;117.0;24.1;71683.0;148.0;614.0
187;A05 Neioseiulus californicus;Foliage plants under glass;2016;56.0;23.3;100.0;25.6;48166.0;123.0;481.0
188;A05 Neioseiulus californicus;Foliage plants under glass;2020;31.0;12.7;84.0;18.2;48295.0;105.0;576.0
189;A05 Neioseiulus californicus;Chrysantinum under glass;2012;;;;;;;
190;A05 Neioseiulus californicus;Chrysantinum under glass;2016;;;;;;;
191;A05 Neioseiulus californicus;Chrysantinum under glass;2020;1.0;1.2;0.0;0.1;175.0;0.0;735.0
192;A05 Neioseiulus californicus;Gerberas under glass;2012;;;;;;;
193;A05 Neioseiulus californicus;Gerberas under glass;2016;;;;;;;
194;A05 Neioseiulus californicus;Gerberas under glass;2020;;;;;;;
195;A05 Neioseiulus californicus;Cucumbers;2012;110.0;43.4;316.0;50.8;468995.0;754.0;1484.0
196;A05 Neioseiulus californicus;Cucumbers;2016;115.0;54.7;347.0;62.6;364236.0;657.0;1050.0
197;A05 Neioseiulus californicus;Cucumbers;2020;112.0;52.1;389.0;65.4;592016.0;995.0;1522.0
198;A05 Neioseiulus californicus;Peppers (total);2012;70.0;24.3;414.0;31.5;78139.0;60.0;189.0
199;A05 Neioseiulus californicus;Peppers (total);2016;41.0;16.1;265.0;20.1;22015.0;17.0;83.0
200;A05 Neioseiulus californicus;Peppers (total);2020;37.0;14.6;294.0;19.2;6143.0;4.0;21.0
201;A05 Neioseiulus californicus;Pot plants for flowering;2012;;;;;;;
202;A05 Neioseiulus californicus;Pot plants for flowering;2016;25.0;6.4;89.0;9.5;9561.0;10.0;107.0
203;A05 Neioseiulus californicus;Pot plants for flowering;2020;28.0;6.9;95.0;9.9;18543.0;19.0;195.0
204;A05 Neioseiulus californicus;Roses under glass;2012;34.0;18.4;90.0;22.1;45246.0;111.0;502.0
205;A05 Neioseiulus californicus;Roses under glass;2016;25.0;24.7;74.0;29.0;47677.0;186.0;640.0
206;A05 Neioseiulus californicus;Roses under glass;2020;11.0;18.3;53.0;25.8;27278.0;134.0;518.0
207;A05 Neioseiulus californicus;Tomatoes (total);2012;0.0;0.0;0.0;0.0;0.0;0.0;
208;A05 Neioseiulus californicus;Tomatoes (total);2016;0.0;0.0;0.0;0.0;0.0;0.0;
209;A05 Neioseiulus californicus;Tomatoes (total);2020;0.0;0.0;0.0;0.0;0.0;0.0;
210;A06 Neioseiulus cucumeris;Total crops/cultivation sectors;2012;;;1711.0;26.9;10282315.0;1620.0;6011.0
211;A06 Neioseiulus cucumeris;Total crops/cultivation sectors;2016;;;1336.0;22.0;2983415.0;492.0;2233.0
212;A06 Neioseiulus cucumeris;Total crops/cultivation sectors;2020;;;1674.0;24.9;8364729.0;1242.0;4997.0
213;A06 Neioseiulus cucumeris;Strawberries, under glass;2012;114.0;40.6;152.0;52.8;821011.0;2849.0;5392.0
214;A06 Neioseiulus cucumeris;Strawberries, under glass;2016;99.0;39.1;158.0;46.9;237544.0;707.0;1507.0
215;A06 Neioseiulus cucumeris;Strawberries, under glass;2020;160.0;66.3;452.0;89.6;2950392.0;5851.0;6533.0
216;A06 Neioseiulus cucumeris;Foliage plants under glass;2012;28.0;8.9;85.0;17.5;135074.0;279.0;1597.0
217;A06 Neioseiulus cucumeris;Foliage plants under glass;2016;40.0;16.6;78.0;19.8;177733.0;454.0;2291.0
218;A06 Neioseiulus cucumeris;Foliage plants under glass;2020;22.0;8.9;77.0;16.7;464545.0;1010.0;6043.0
219;A06 Neioseiulus cucumeris;Chrysantinum under glass;2012;58.0;30.3;223.0;44.1;2642192.0;5241.0;11871.0
220;A06 Neioseiulus cucumeris;Chrysantinum under glass;2016;43.0;38.1;208.0;54.3;982053.0;2565.0;4722.0
221;A06 Neioseiulus cucumeris;Chrysantinum under glass;2020;16.0;13.8;71.0;15.9;378603.0;850.0;5340.0
222;A06 Neioseiulus cucumeris;Gerberas under glass;2012;35.0;51.1;105.0;61.4;499698.0;2935.0;4780.0
223;A06 Neioseiulus cucumeris;Gerberas under glass;2016;34.0;60.9;111.0;59.0;331067.0;1760.0;2985.0
224;A06 Neioseiulus cucumeris;Gerberas under glass;2020;36.0;78.4;143.0;86.8;864160.0;5258.0;6055.0
225;A06 Neioseiulus cucumeris;Cucumbers;2012;83.0;32.9;239.0;38.4;917599.0;1476.0;3845.0
226;A06 Neioseiulus cucumeris;Cucumbers;2016;25.0;12.1;69.0;12.4;57636.0;104.0;838.0
227;A06 Neioseiulus cucumeris;Cucumbers;2020;45.0;21.2;158.0;26.6;466428.0;784.0;2944.0
228;A06 Neioseiulus cucumeris;Peppers (total);2012;138.0;48.0;620.0;47.2;1233685.0;940.0;1990.0
229;A06 Neioseiulus cucumeris;Peppers (total);2016;101.0;40.0;519.0;39.4;259270.0;197.0;499.0
230;A06 Neioseiulus cucumeris;Peppers (total);2020;92.0;36.4;535.0;34.9;875935.0;572.0;1638.0
231;A06 Neioseiulus cucumeris;Pot plants for flowering;2012;36.0;7.7;98.0;11.3;865543.0;998.0;8864.0
232;A06 Neioseiulus cucumeris;Pot plants for flowering;2016;23.0;5.8;82.0;8.7;425893.0;455.0;5204.0
233;A06 Neioseiulus cucumeris;Pot plants for flowering;2020;26.0;6.4;77.0;8.1;598336.0;624.0;7738.0
234;A06 Neioseiulus cucumeris;Roses under glass;2012;60.0;32.2;162.0;39.9;3156193.0;7746.0;19431.0
235;A06 Neioseiulus cucumeris;Roses under glass;2016;30.0;29.7;112.0;43.6;512219.0;1997.0;4578.0
236;A06 Neioseiulus cucumeris;Roses under glass;2020;33.0;55.2;161.0;79.0;1766330.0;8647.0;10940.0
237;A06 Neioseiulus cucumeris;Tomatoes (total);2012;;;;;;;
238;A06 Neioseiulus cucumeris;Tomatoes (total);2016;;;;;;;
239;A06 Neioseiulus cucumeris;Tomatoes (total);2020;;;;;;;
240;A07 Phytoseiulus persimilis;Total crops/cultivation sectors;2012;;;2344.0;36.9;305532.0;48.0;130.0
241;A07 Phytoseiulus persimilis;Total crops/cultivation sectors;2016;;;2748.0;45.3;661768.0;109.0;241.0
242;A07 Phytoseiulus persimilis;Total crops/cultivation sectors;2020;;;3495.0;51.9;635591.0;94.0;182.0
243;A07 Phytoseiulus persimilis;Strawberries, under glass;2012;50.0;17.7;63.0;21.8;3345.0;12.0;53.0
244;A07 Phytoseiulus persimilis;Strawberries, under glass;2016;34.0;13.6;39.0;11.7;2437.0;7.0;62.0
245;A07 Phytoseiulus persimilis;Strawberries, under glass;2020;101.0;42.0;243.0;48.1;45140.0;90.0;186.0
246;A07 Phytoseiulus persimilis;Foliage plants under glass;2012;49.0;15.6;133.0;27.4;11404.0;24.0;86.0
247;A07 Phytoseiulus persimilis;Foliage plants under glass;2016;101.0;42.0;205.0;52.3;35323.0;90.0;173.0
248;A07 Phytoseiulus persimilis;Foliage plants under glass;2020;76.0;31.1;173.0;37.7;44065.0;96.0;254.0
249;A07 Phytoseiulus persimilis;Chrysantinum under glass;2012;84.0;43.4;305.0;60.5;111444.0;221.0;365.0
250;A07 Phytoseiulus persimilis;Chrysantinum under glass;2016;66.0;58.4;293.0;76.5;164057.0;428.0;560.0
251;A07 Phytoseiulus persimilis;Chrysantinum under glass;2020;88.0;76.8;403.0;90.5;155817.0;350.0;387.0
252;A07 Phytoseiulus persimilis;Gerberas under glass;2012;24.0;34.9;70.0;40.9;9599.0;56.0;138.0
253;A07 Phytoseiulus persimilis;Gerberas under glass;2016;;;;;;;
254;A07 Phytoseiulus persimilis;Gerberas under glass;2020;12.0;26.1;63.0;38.3;3513.0;21.0;56.0
255;A07 Phytoseiulus persimilis;Cucumbers;2012;149.0;58.9;443.0;71.3;62451.0;100.0;141.0
256;A07 Phytoseiulus persimilis;Cucumbers;2016;168.0;80.2;481.0;86.8;156817.0;283.0;326.0
257;A07 Phytoseiulus persimilis;Cucumbers;2020;143.0;66.7;508.0;85.4;108103.0;182.0;213.0
258;A07 Phytoseiulus persimilis;Peppers (total);2012;220.0;76.3;1028.0;78.3;59747.0;46.0;58.0
259;A07 Phytoseiulus persimilis;Peppers (total);2016;190.0;75.0;1047.0;79.5;81467.0;62.0;78.0
260;A07 Phytoseiulus persimilis;Peppers (total);2020;225.0;89.1;1423.0;92.9;183766.0;120.0;129.0
261;A07 Phytoseiulus persimilis;Pot plants for flowering;2012;26.0;5.6;35.0;4.0;3493.0;4.0;101.0
262;A07 Phytoseiulus persimilis;Pot plants for flowering;2016;53.0;13.6;186.0;19.8;21192.0;23.0;114.0
263;A07 Phytoseiulus persimilis;Pot plants for flowering;2020;58.0;14.2;185.0;19.3;41444.0;43.0;224.0
264;A07 Phytoseiulus persimilis;Roses under glass;2012;76.0;41.3;191.0;46.8;41066.0;101.0;215.0
265;A07 Phytoseiulus persimilis;Roses under glass;2016;59.0;58.2;176.0;68.8;163427.0;637.0;926.0
266;A07 Phytoseiulus persimilis;Roses under glass;2020;47.0;77.9;168.0;82.3;35326.0;173.0;210.0
