ID;WijkenEnBuurten;Gemeentenaam_1;SoortRegio_2;Codering_3;IndelingswijzigingWijkenEnBuurten_4;AantalInstallatiesBijWoningen_5;OpgesteldVermogenVanZonnepanelen_6
72;Verspreide huizen Grolloo;Aa en Hunze                             ;Buurt     ;BU16802009;1;12.0;78.0
73;Wijk 21 Ekehaar;Aa en Hunze                             ;Wijk      ;WK168021  ;1;37.0;179.0
74;Ekehaar;Aa en Hunze                             ;Buurt     ;BU16802100;1;17.0;75.0
75;Amen;Aa en Hunze                             ;Buurt     ;BU16802101;1;8.0;36.0
76;Verspreide huizen Ekehaar;Aa en Hunze                             ;Buurt     ;BU16802109;1;12.0;68.0
77;Aalburg;Aalburg                                 ;Gemeente  ;GM0738    ;.;353.0;1525.0
78;Wijk 00 Wijk en Aalburg;Aalburg                                 ;Wijk      ;WK073800  ;1;170.0;618.0
79;Wijk en Aalburg;Aalburg                                 ;Buurt     ;BU07380000;1;132.0;483.0
80;Spijk;Aalburg                                 ;Buurt     ;BU07380001;1;31.0;106.0
81;Verspreide huizen Wijk en Aalburg;Aalburg                                 ;Buurt     ;BU07380009;1;7.0;28.0
82;Wijk 01 Veen;Aalburg                                 ;Wijk      ;WK073801  ;1;45.0;208.0
83;Veen;Aalburg                                 ;Buurt     ;BU07380100;1;45.0;208.0
84;Verspreide huizen Veen;Aalburg                                 ;Buurt     ;BU07380109;1;;
85;Wijk 02 Genderen;Aalburg                                 ;Wijk      ;WK073802  ;1;54.0;218.0
86;Genderen;Aalburg                                 ;Buurt     ;BU07380200;1;49.0;195.0
87;Verspreide huizen Genderen;Aalburg                                 ;Buurt     ;BU07380209;1;5.0;23.0
88;Wijk 03 Eethen;Aalburg                                 ;Wijk      ;WK073803  ;1;29.0;230.0
89;Eethen;Aalburg                                 ;Buurt     ;BU07380300;1;;
90;Verspreide huizen Eethen;Aalburg                                 ;Buurt     ;BU07380309;1;;
91;Wijk 04 Meeuwen;Aalburg                                 ;Wijk      ;WK073804  ;1;29.0;118.0
92;Meeuwen;Aalburg                                 ;Buurt     ;BU07380400;1;24.0;102.0
93;Verspreide huizen Meeuwen;Aalburg                                 ;Buurt     ;BU07380409;1;5.0;16.0
94;Wijk 05 Drongelen;Aalburg                                 ;Wijk      ;WK073805  ;1;11.0;46.0
95;Drongelen;Aalburg                                 ;Buurt     ;BU07380500;1;4.0;15.0
96;Verspreide huizen Drongelen;Aalburg                                 ;Buurt     ;BU07380509;1;7.0;31.0
97;Wijk 06 Babyloniënbroek;Aalburg                                 ;Wijk      ;WK073806  ;1;15.0;86.0
98;Babyloniënbroek;Aalburg                                 ;Buurt     ;BU07380600;1;12.0;49.0
99;Verspreide huizen Babyloniënbroek;Aalburg                                 ;Buurt     ;BU07380609;1;3.0;38.0
100;Aalsmeer;Aalsmeer                                ;Gemeente  ;GM0358    ;.;1200.0;4062.0
101;Wijk 00 Aalsmeer;Aalsmeer                                ;Wijk      ;WK035800  ;1;389.0;1266.0
102;Centrum;Aalsmeer                                ;Buurt     ;BU03580000;1;103.0;429.0
103;Stommeer;Aalsmeer                                ;Buurt     ;BU03580001;1;192.0;497.0
104;Hornmeer;Aalsmeer                                ;Buurt     ;BU03580004;1;60.0;181.0
105;Uiterweg;Aalsmeer                                ;Buurt     ;BU03580005;1;34.0;158.0
106;Wijk 01 Kudelstraat en Kalslagen;Aalsmeer                                ;Wijk      ;WK035801  ;1;392.0;1123.0
107;Kudelstaart;Aalsmeer                                ;Buurt     ;BU03580100;1;392.0;1123.0
108;Wijk 02 Oosteinde;Aalsmeer                                ;Wijk      ;WK035802  ;1;419.0;1673.0
109;Bovenlanden;Aalsmeer                                ;Buurt     ;BU03580200;1;56.0;314.0
110;Greenpark;Aalsmeer                                ;Buurt     ;BU03580201;1;35.0;135.0
111;Oosteinde;Aalsmeer                                ;Buurt     ;BU03580205;1;304.0;1093.0
112;Schinkelpolder;Aalsmeer                                ;Buurt     ;BU03580206;1;24.0;131.0
113;Aalten;Aalten                                  ;Gemeente  ;GM0197    ;.;1619.0;5770.0
114;Wijk 01 Buitengebied Aalten;Aalten                                  ;Wijk      ;WK019701  ;1;227.0;1068.0
115;Barlo-Kern;Aalten                                  ;Buurt     ;BU01970101;1;;
116;Verspreide huizen Barlo;Aalten                                  ;Buurt     ;BU01970102;1;27.0;160.0
117;Verspreide huizen Heurne;Aalten                                  ;Buurt     ;BU01970103;1;23.0;118.0
118;Verspreide huizen IJzerlo;Aalten                                  ;Buurt     ;BU01970104;1;28.0;143.0
119;IJzerlo-kern;Aalten                                  ;Buurt     ;BU01970105;1;15.0;51.0
120;Lintelo-kern;Aalten                                  ;Buurt     ;BU01970106;1;14.0;51.0
121;Verspreide huizen ten westen van Aalten;Aalten                                  ;Buurt     ;BU01970107;1;9.0;46.0
122;Verspreide huizen Lintelo;Aalten                                  ;Buurt     ;BU01970108;1;26.0;121.0
123;Verspreide huizen Dalese Veld;Aalten                                  ;Buurt     ;BU01970109;1;;
124;Verspreide huizen Dale;Aalten                                  ;Buurt     ;BU01970110;1;42.0;183.0
125;Verspreide huizen Haart;Aalten                                  ;Buurt     ;BU01970111;1;26.0;130.0
126;Haart-kern;Aalten                                  ;Buurt     ;BU01970112;1;7.0;26.0
127;Wijk 02 Bredevoort;Aalten                                  ;Wijk      ;WK019702  ;1;106.0;389.0
128;Verspreide huizen Bredevoort;Aalten                                  ;Buurt     ;BU01970201;1;;
129;Verspreide huizen Hollenberg;Aalten                                  ;Buurt     ;BU01970202;1;18.0;74.0
130;Verspreide huizen Het Zwanenbroek;Aalten                                  ;Buurt     ;BU01970203;1;;
131;Bredevoort;Aalten                                  ;Buurt     ;BU01970204;1;77.0;258.0
132;Wijk 03 Aalten Kern;Aalten                                  ;Wijk      ;WK019703  ;1;781.0;2467.0
133;Aalten-kern West;Aalten                                  ;Buurt     ;BU01970301;1;141.0;425.0
134;Aalten-kern Zuid 1;Aalten                                  ;Buurt     ;BU01970302;1;138.0;465.0
135;Aalten-kern Zuid 2;Aalten                                  ;Buurt     ;BU01970303;1;118.0;357.0
136;Aalten-kern Noord/Noordoost;Aalten                                  ;Buurt     ;BU01970304;1;151.0;481.0
137;Aalten Kern 't Kobus;Aalten                                  ;Buurt     ;BU01970305;1;66.0;198.0
138;Aalten-kern Oost;Aalten                                  ;Buurt     ;BU01970306;1;73.0;207.0
139;Aalten-kern Centrum;Aalten                                  ;Buurt     ;BU01970307;1;94.0;335.0
140;Wijk 04 Dinxperlo;Aalten                                  ;Wijk      ;WK019704  ;1;505.0;1846.0
141;Dinxperlo Centrum/Oost;Aalten                                  ;Buurt     ;BU01970400;1;139.0;440.0
142;Dinxperlo Noord;Aalten                                  ;Buurt     ;BU01970401;1;103.0;362.0
143;Dinxperlo West;Aalten                                  ;Buurt     ;BU01970402;1;145.0;484.0
144;De Heurne-kern;Aalten                                  ;Buurt     ;BU01970403;1;36.0;128.0
145;Verspreide huizen Dinxperlo;Aalten                                  ;Buurt     ;BU01970408;1;29.0;163.0
146;Verspreide huizen De Heurne;Aalten                                  ;Buurt     ;BU01970409;1;53.0;269.0
147;Achtkarspelen;Achtkarspelen                           ;Gemeente  ;GM0059    ;.;1344.0;4844.0
148;Wijk 00 Noord;Achtkarspelen                           ;Wijk      ;WK005900  ;1;603.0;2105.0
149;Buitenpost;Achtkarspelen                           ;Buurt     ;BU00590000;1;297.0;999.0
150;Twijzel;Achtkarspelen                           ;Buurt     ;BU00590001;1;31.0;153.0
151;Kootstertille;Achtkarspelen                           ;Buurt     ;BU00590002;1;108.0;332.0
152;Twijzelerheide;Achtkarspelen                           ;Buurt     ;BU00590003;1;56.0;183.0
153;Gerkesklooster;Achtkarspelen                           ;Buurt     ;BU00590004;1;26.0;75.0
154;Verspreide huizen Buitenpost;Achtkarspelen                           ;Buurt     ;BU00590005;1;40.0;196.0
155;Verspreide huizen Twijzel;Achtkarspelen                           ;Buurt     ;BU00590006;1;4.0;15.0
156;Verspreide huizen Kootstertille;Achtkarspelen                           ;Buurt     ;BU00590007;1;18.0;77.0
157;Verspreide huizen Twijzelerheide;Achtkarspelen                           ;Buurt     ;BU00590008;1;14.0;38.0
158;Verspreide huizen Gerkesklooster;Achtkarspelen                           ;Buurt     ;BU00590009;1;9.0;38.0
159;Wijk 01 Centrum;Achtkarspelen                           ;Wijk      ;WK005901  ;1;141.0;598.0
160;Stroobos;Achtkarspelen                           ;Buurt     ;BU00590100;1;;
161;Drogeham;Achtkarspelen                           ;Buurt     ;BU00590102;1;74.0;334.0
162;Augustinusga;Achtkarspelen                           ;Buurt     ;BU00590103;1;39.0;155.0
163;Verspreide huizen Stroobos;Achtkarspelen                           ;Buurt     ;BU00590107;1;;
164;Verspreide huizen Drogeham;Achtkarspelen                           ;Buurt     ;BU00590108;1;10.0;34.0
165;Verspreide huizen Augustinusga;Achtkarspelen                           ;Buurt     ;BU00590109;1;10.0;40.0
166;Wijk 02 Zuid;Achtkarspelen                           ;Wijk      ;WK005902  ;1;600.0;2141.0
167;Surhuisterveen;Achtkarspelen                           ;Buurt     ;BU00590200;1;306.0;955.0
168;Harkema;Achtkarspelen                           ;Buurt     ;BU00590201;1;147.0;570.0
169;Surhuizum;Achtkarspelen                           ;Buurt     ;BU00590202;1;41.0;135.0
170;Boelenslaan;Achtkarspelen                           ;Buurt     ;BU00590203;1;16.0;48.0
171;Verspreide huizen Surhuisterveen;Achtkarspelen                           ;Buurt     ;BU00590206;1;20.0;84.0
172;Verspreide huizen Harkema;Achtkarspelen                           ;Buurt     ;BU00590207;1;14.0;61.0
173;Verspreide huizen Surhuizum;Achtkarspelen                           ;Buurt     ;BU00590208;1;27.0;149.0
174;Verspreide huizen Boelenslaan;Achtkarspelen                           ;Buurt     ;BU00590209;1;29.0;137.0
175;Alblasserdam;Alblasserdam                            ;Gemeente  ;GM0482    ;.;464.0;1409.0
176;Wijk 01 Centrum;Alblasserdam                            ;Wijk      ;WK048201  ;1;100.0;343.0
177;Cortgene;Alblasserdam                            ;Buurt     ;BU04820101;1;33.0;109.0
178;Redersbuurt;Alblasserdam                            ;Buurt     ;BU04820102;1;5.0;12.0
179;kerkbuurt;Alblasserdam                            ;Buurt     ;BU04820103;1;27.0;67.0
180;Polderbuurt;Alblasserdam                            ;Buurt     ;BU04820104;1;18.0;58.0
181;De Werven;Alblasserdam                            ;Buurt     ;BU04820105;1;17.0;96.0
182;Wijk 02 Kinderdijk;Alblasserdam                            ;Wijk      ;WK048202  ;1;80.0;265.0
183;Dijk;Alblasserdam                            ;Buurt     ;BU04820201;1;;
184;Vogelbuurt;Alblasserdam                            ;Buurt     ;BU04820202;1;19.0;68.0
185;Waterland;Alblasserdam                            ;Buurt     ;BU04820203;1;16.0;47.0
186;Groene Long;Alblasserdam                            ;Buurt     ;BU04820204;1;;
187;Rivierenbuurt;Alblasserdam                            ;Buurt     ;BU04820205;1;14.0;36.0
188;Nieuw Kinderdijk;Alblasserdam                            ;Buurt     ;BU04820206;1;17.0;46.0
189;Wijk 03 Blokweer;Alblasserdam                            ;Wijk      ;WK048203  ;1;204.0;518.0
190;Zeelt;Alblasserdam                            ;Buurt     ;BU04820301;1;41.0;117.0
191;Middelland;Alblasserdam                            ;Buurt     ;BU04820302;1;29.0;88.0
192;Blokweer Noord;Alblasserdam                            ;Buurt     ;BU04820303;1;46.0;111.0
193;Blokweer Zuid;Alblasserdam                            ;Buurt     ;BU04820304;1;39.0;77.0
194;Drentsebuurt;Alblasserdam                            ;Buurt     ;BU04820305;1;14.0;35.0
195;Florabuurt;Alblasserdam                            ;Buurt     ;BU04820306;1;17.0;48.0
196;Staatsliedenbuurt;Alblasserdam                            ;Buurt     ;BU04820307;1;18.0;42.0
197;Wijk 04 Souburgh;Alblasserdam                            ;Wijk      ;WK048204  ;1;68.0;185.0
198;Schildersbuurt;Alblasserdam                            ;Buurt     ;BU04820401;1;;
199;Schrijversbuurt;Alblasserdam                            ;Buurt     ;BU04820402;1;29.0;82.0
200;Klein Alblas;Alblasserdam                            ;Buurt     ;BU04820403;1;15.0;38.0
201;Oranjebuurt;Alblasserdam                            ;Buurt     ;BU04820404;1;;
202;Wijk 05 Bedrijventerrein;Alblasserdam                            ;Wijk      ;WK048205  ;1;4.0;50.0
203;Vinkenwaard;Alblasserdam                            ;Buurt     ;BU04820501;1;;
204;Hoogendijk;Alblasserdam                            ;Buurt     ;BU04820502;1;;
205;Nieuwland;Alblasserdam                            ;Buurt     ;BU04820503;1;;
206;Wijk 06 Landelijk gebied;Alblasserdam                            ;Wijk      ;WK048206  ;1;8.0;49.0
207;Polder Blokweer;Alblasserdam                            ;Buurt     ;BU04820601;1;;
208;Polder Kortland;Alblasserdam                            ;Buurt     ;BU04820602;1;;
209;Polder Souburgh;Alblasserdam                            ;Buurt     ;BU04820603;1;;
210;Polder Vinkenwaard;Alblasserdam                            ;Buurt     ;BU04820604;1;;
211;Albrandswaard;Albrandswaard                           ;Gemeente  ;GM0613    ;.;594.0;1897.0
212;Wijk 01 Poortugaal-Noord;Albrandswaard                           ;Wijk      ;WK061301  ;1;;
213;Valckesteyn;Albrandswaard                           ;Buurt     ;BU06130101;1;64.0;205.0
214;Zwaardijk-Kruisdijk;Albrandswaard                           ;Buurt     ;BU06130102;1;;
215;Poortugaal;Albrandswaard                           ;Buurt     ;BU06130103;1;4.0;9.0
216;Buitengebied Poortugaal;Albrandswaard                           ;Buurt     ;BU06130104;1;8.0;27.0
217;Wijk 02 Rhoon-Noord;Albrandswaard                           ;Wijk      ;WK061302  ;1;48.0;143.0
218;Rhoon Noord;Albrandswaard                           ;Buurt     ;BU06130205;1;;
219;Buitengebied Rhoon-Noord;Albrandswaard                           ;Buurt     ;BU06130207;1;;
220;Wijk 03 Poortugaal-Zuid;Albrandswaard                           ;Wijk      ;WK061303  ;1;153.0;460.0
221;Beatrixstraat;Albrandswaard                           ;Buurt     ;BU06130308;1;15.0;49.0
222;Landweg;Albrandswaard                           ;Buurt     ;BU06130309;1;56.0;182.0
223;Poortugaal-Centrum;Albrandswaard                           ;Buurt     ;BU06130310;1;27.0;64.0
224;Poortugaal Zuid;Albrandswaard                           ;Buurt     ;BU06130311;1;40.0;122.0
225;Polder Albrandswaard;Albrandswaard                           ;Buurt     ;BU06130312;1;12.0;35.0
226;Kijvelanden;Albrandswaard                           ;Buurt     ;BU06130313;1;3.0;9.0
227;Wijk 04 Rhoon-Zuid;Albrandswaard                           ;Wijk      ;WK061304  ;1;174.0;530.0
228;Rhoon-Centrum;Albrandswaard                           ;Buurt     ;BU06130414;1;27.0;86.0
229;Ghijseland;Albrandswaard                           ;Buurt     ;BU06130415;1;53.0;164.0
230;Overhoeken;Albrandswaard                           ;Buurt     ;BU06130416;1;11.0;44.0
231;Park Rhoon;Albrandswaard                           ;Buurt     ;BU06130417;1;12.0;39.0
232;Rhoon-Zuidoost;Albrandswaard                           ;Buurt     ;BU06130418;1;40.0;106.0
233;Tijsjesdijk;Albrandswaard                           ;Buurt     ;BU06130419;1;22.0;57.0
234;Buitengebied Rhoon-Zuid;Albrandswaard                           ;Buurt     ;BU06130420;1;9.0;33.0
235;Wijk 05 Buitengebied Albrandswaard;Albrandswaard                           ;Wijk      ;WK061305  ;1;8.0;29.0
236;Portland-Koedoodzone;Albrandswaard                           ;Buurt     ;BU06130521;1;;
237;Buitengebied;Albrandswaard                           ;Buurt     ;BU06130522;1;8.0;29.0
238;Wijk 06 Portland;Albrandswaard                           ;Wijk      ;WK061306  ;1;133.0;474.0
239;Driehoek;Albrandswaard                           ;Buurt     ;BU06130623;1;46.0;172.0
240;Portland-Centrum;Albrandswaard                           ;Buurt     ;BU06130624;1;31.0;121.0
241;Wijkpark Portland;Albrandswaard                           ;Buurt     ;BU06130625;1;4.0;15.0
242;De Eilanden;Albrandswaard                           ;Buurt     ;BU06130626;1;52.0;165.0
243;Wijk 07 Rotterdam-Albrandswaard;Albrandswaard                           ;Wijk      ;WK061307  ;1;;
244;Distripark;Albrandswaard                           ;Buurt     ;BU06130706;1;;
245;Alkmaar;Alkmaar                                 ;Gemeente  ;GM0361    ;.;4804.0;13238.0
246;Zuid;Alkmaar                                 ;Wijk      ;WK036101  ;1;352.0;875.0
247;Kooimeer;Alkmaar                                 ;Buurt     ;BU03610100;1;42.0;118.0
248;Dillenburg en Stadhouderskwartier;Alkmaar                                 ;Buurt     ;BU03610101;1;34.0;88.0
249;Staatsliedenkwartier en Landstraten;Alkmaar                                 ;Buurt     ;BU03610102;1;44.0;77.0
250;Oud-Rochdale;Alkmaar                                 ;Buurt     ;BU03610103;1;4.0;14.0
251;Emmakwartier;Alkmaar                                 ;Buurt     ;BU03610104;1;28.0;62.0
252;Nassaukwartier en Hout;Alkmaar                                 ;Buurt     ;BU03610105;1;47.0;110.0
253;Oranjepark;Alkmaar                                 ;Buurt     ;BU03610106;1;43.0;150.0
254;Cranenbroek;Alkmaar                                 ;Buurt     ;BU03610107;1;20.0;53.0
255;Bloemwijk en Zocherkwartier;Alkmaar                                 ;Buurt     ;BU03610108;1;41.0;91.0
256;Burgemeesterskwartier;Alkmaar                                 ;Buurt     ;BU03610109;1;49.0;113.0
257;Oudorp;Alkmaar                                 ;Wijk      ;WK036102  ;1;956.0;2534.0
258;Rekerbuurt en Ooievaarsnest;Alkmaar                                 ;Buurt     ;BU03610200;1;165.0;465.0
259;Oudorp-Noord en Oudorp-Oost;Alkmaar                                 ;Buurt     ;BU03610201;1;129.0;419.0
260;Oudorp-Centrum;Alkmaar                                 ;Buurt     ;BU03610202;1;143.0;422.0
261;Schermereiland en Omval;Alkmaar                                 ;Buurt     ;BU03610203;1;83.0;235.0
262;Oudorperpolder-Zuid;Alkmaar                                 ;Buurt     ;BU03610204;1;91.0;207.0
263;Oudorperpolder-Midden;Alkmaar                                 ;Buurt     ;BU03610205;1;31.0;77.0
264;Oudorperpolder-Noord;Alkmaar                                 ;Buurt     ;BU03610206;1;94.0;216.0
265;De Nollen;Alkmaar                                 ;Buurt     ;BU03610208;1;217.0;480.0
266;Beverkoog;Alkmaar                                 ;Buurt     ;BU03610209;1;3.0;14.0
267;Overdie;Alkmaar                                 ;Wijk      ;WK036103  ;1;78.0;182.0
268;Oud-Overdie;Alkmaar                                 ;Buurt     ;BU03610300;1;31.0;73.0
269;Oosterhout;Alkmaar                                 ;Buurt     ;BU03610301;1;7.0;19.0
270;Overdie-Oost;Alkmaar                                 ;Buurt     ;BU03610302;1;13.0;22.0
271;Overdie-West;Alkmaar                                 ;Buurt     ;BU03610303;1;27.0;67.0
272;Boekelermeer-Zuid;Alkmaar                                 ;Buurt     ;BU03610308;1;;
273;Boekelermeer-Noord;Alkmaar                                 ;Buurt     ;BU03610309;1;;
274;West;Alkmaar                                 ;Wijk      ;WK036104  ;1;421.0;1019.0
275;De Hoef III en IV;Alkmaar                                 ;Buurt     ;BU03610400;1;67.0;162.0
276;De Hoef I en II;Alkmaar                                 ;Buurt     ;BU03610401;1;106.0;284.0
277;Bergerwegkwartier;Alkmaar                                 ;Buurt     ;BU03610402;1;61.0;101.0
278;Bergerhof en Blaeustraatkwartier;Alkmaar                                 ;Buurt     ;BU03610403;1;43.0;113.0
279;Bergermeer;Alkmaar                                 ;Buurt     ;BU03610404;1;134.0;329.0
280;Landelijk gebied-West;Alkmaar                                 ;Buurt     ;BU03610409;1;10.0;30.0
281;Huiswaard;Alkmaar                                 ;Wijk      ;WK036105  ;1;232.0;659.0
282;Huiswaard-1-Zuid;Alkmaar                                 ;Buurt     ;BU03610500;1;68.0;179.0
283;Muiderwaard;Alkmaar                                 ;Buurt     ;BU03610501;1;7.0;107.0
284;Huiswaard-2-West;Alkmaar                                 ;Buurt     ;BU03610502;1;105.0;244.0
285;Huiswaard-2-Oost;Alkmaar                                 ;Buurt     ;BU03610503;1;52.0;129.0
286;De Mare;Alkmaar                                 ;Wijk      ;WK036106  ;1;782.0;1948.0
287;'t Rak-Zuid;Alkmaar                                 ;Buurt     ;BU03610600;1;231.0;606.0
288;'t Rak-Noord;Alkmaar                                 ;Buurt     ;BU03610601;1;214.0;507.0
289;De Horn-Noord;Alkmaar                                 ;Buurt     ;BU03610602;1;173.0;438.0
290;De Horn-Zuid;Alkmaar                                 ;Buurt     ;BU03610603;1;137.0;334.0
291;De Mare;Alkmaar                                 ;Buurt     ;BU03610604;1;27.0;64.0
292;Daalmeer/Koedijk;Alkmaar                                 ;Wijk      ;WK036107  ;1;703.0;1944.0
293;Daalmeer-Zuidoost;Alkmaar                                 ;Buurt     ;BU03610700;1;181.0;582.0
294;Daalmeer-Zuidwest;Alkmaar                                 ;Buurt     ;BU03610701;1;94.0;217.0
295;Koedijk en De Weijdt;Alkmaar                                 ;Buurt     ;BU03610702;1;124.0;312.0
