ID;Geslacht;Vooropleiding;Studierichting;Opleidingsvorm;Herkomstgroepering;Perioden;TotaalAantalStudenten_1;Na3Jaar_2;Na4Jaar_3;Na5Jaar_4;Na6Jaar_5;Na7Jaar_6;Na8Jaar_7;Na9Jaar_8;Na3Jaar_9;Na4Jaar_10;Na5Jaar_11;Na6Jaar_12;Na7Jaar_13;Na8Jaar_14;Na9Jaar_15;Na3Jaar_16;Na4Jaar_17;Na5Jaar_18;Na6Jaar_19;Na7Jaar_20;Na8Jaar_21;Na9Jaar_22;Na1Jaar_23;Na2Jaar_24;Na3Jaar_25;Na4Jaar_26;Na5Jaar_27;Na6Jaar_28;Na7Jaar_29;Na8Jaar_30;InJaar2_31;InJaar3_32;InJaar4_33;InJaar5_34;InJaar6_35;InJaar7_36;InJaar8_37;InJaar9_38;InJaar2_39;InJaar3_40;InJaar4_41;InJaar5_42;InJaar6_43;InJaar7_44;InJaar8_45;InJaar9_46;InJaar2_47;InJaar3_48;InJaar4_49;InJaar5_50;InJaar6_51;InJaar7_52;InJaar8_53;InJaar9_54
29;Totaal mannen en vrouwen;Vooropleidingen totaal;0;Totaal opleidingsvorm;Autochtoon;Startjaar 2006;27872.0;23.0;48.0;67.0;79.0;83.0;;;23.0;46.0;62.0;72.0;75.0;;;1.0;2.0;5.0;7.0;8.0;;;6.0;8.0;8.0;9.0;9.0;10.0;10.0;;94.0;90.0;68.0;43.0;24.0;12.0;7.0;;86.0;81.0;58.0;34.0;18.0;8.0;4.0;;7.0;9.0;10.0;9.0;6.0;4.0;3.0;
30;Totaal mannen en vrouwen;Vooropleidingen totaal;0;Totaal opleidingsvorm;Autochtoon;Startjaar 2007;28284.0;24.0;51.0;72.0;80.0;;;;24.0;50.0;67.0;73.0;;;;1.0;2.0;5.0;7.0;;;;6.0;7.0;8.0;8.0;9.0;10.0;;;94.0;90.0;68.0;40.0;19.0;11.0;;;86.0;81.0;57.0;31.0;13.0;6.0;;;8.0;10.0;10.0;10.0;6.0;4.0;;
31;Totaal mannen en vrouwen;Vooropleidingen totaal;0;Totaal opleidingsvorm;Autochtoon;Startjaar 2008;29483.0;26.0;58.0;73.0;;;;;25.0;56.0;68.0;;;;;1.0;2.0;5.0;;;;;5.0;6.0;7.0;8.0;8.0;;;;94.0;91.0;67.0;34.0;19.0;;;;86.0;81.0;56.0;24.0;12.0;;;;8.0;10.0;11.0;10.0;7.0;;;
32;Totaal mannen en vrouwen;Vooropleidingen totaal;0;Totaal opleidingsvorm;Autochtoon;Startjaar 2009;31980.0;29.0;59.0;;;;;;28.0;57.0;;;;;;1.0;2.0;;;;;;5.0;7.0;8.0;8.0;;;;;95.0;91.0;64.0;33.0;;;;;87.0;81.0;53.0;24.0;;;;;8.0;10.0;10.0;10.0;;;;
33;Totaal mannen en vrouwen;Vooropleidingen totaal;0;Totaal opleidingsvorm;Autochtoon;Startjaar 2010;31437.0;32.0;;;;;;;31.0;;;;;;;0.0;;;;;;;6.0;7.0;7.0;;;;;;94.0;90.0;61.0;;;;;;88.0;82.0;52.0;;;;;;7.0;9.0;9.0;;;;;
34;Totaal mannen en vrouwen;Vooropleidingen totaal;0;Totaal opleidingsvorm;Autochtoon;Startjaar 2011;32077.0;;;;;;;;;;;;;;;;;;;;;;6.0;6.0;;;;;;;94.0;90.0;;;;;;;87.0;81.0;;;;;;;7.0;9.0;;;;;;
35;Totaal mannen en vrouwen;Vooropleidingen totaal;0;Totaal opleidingsvorm;Autochtoon;Startjaar 2012;30899.0;;;;;;;;;;;;;;;;;;;;;;5.0;;;;;;;;95.0;;;;;;;;89.0;;;;;;;;6.0;;;;;;;
36;Totaal mannen en vrouwen;Vooropleidingen totaal;0;Totaal opleidingsvorm;Westerse allochtoon;Startjaar 1995;2668.0;4.0;8.0;24.0;41.0;53.0;61.0;68.0;3.0;7.0;20.0;35.0;46.0;54.0;60.0;0.0;1.0;4.0;6.0;7.0;8.0;8.0;10.0;14.0;17.0;19.0;20.0;21.0;22.0;23.0;90.0;85.0;80.0;74.0;56.0;38.0;24.0;16.0;84.0;77.0;71.0;65.0;50.0;34.0;21.0;14.0;6.0;8.0;9.0;8.0;6.0;4.0;3.0;2.0
37;Totaal mannen en vrouwen;Vooropleidingen totaal;0;Totaal opleidingsvorm;Westerse allochtoon;Startjaar 1996;2698.0;4.0;9.0;24.0;40.0;54.0;62.0;68.0;4.0;7.0;21.0;35.0;47.0;54.0;60.0;1.0;2.0;4.0;5.0;7.0;8.0;8.0;10.0;13.0;16.0;17.0;19.0;19.0;21.0;21.0;89.0;85.0;80.0;74.0;57.0;40.0;26.0;17.0;84.0;78.0;72.0;66.0;51.0;35.0;22.0;14.0;5.0;7.0;8.0;8.0;7.0;5.0;4.0;3.0
38;Totaal mannen en vrouwen;Vooropleidingen totaal;0;Totaal opleidingsvorm;Westerse allochtoon;Startjaar 1997;2829.0;5.0;10.0;25.0;43.0;56.0;65.0;72.0;3.0;8.0;21.0;37.0;50.0;58.0;65.0;1.0;2.0;4.0;5.0;6.0;7.0;7.0;9.0;14.0;16.0;17.0;18.0;18.0;19.0;19.0;90.0;84.0;79.0;72.0;57.0;39.0;25.0;16.0;86.0;78.0;72.0;66.0;51.0;35.0;21.0;13.0;5.0;6.0;7.0;7.0;6.0;5.0;3.0;3.0
39;Totaal mannen en vrouwen;Vooropleidingen totaal;0;Totaal opleidingsvorm;Westerse allochtoon;Startjaar 1998;3097.0;5.0;10.0;26.0;44.0;58.0;67.0;74.0;4.0;8.0;23.0;39.0;51.0;59.0;66.0;1.0;2.0;4.0;5.0;7.0;7.0;7.0;10.0;13.0;15.0;16.0;16.0;17.0;18.0;19.0;89.0;85.0;80.0;74.0;57.0;39.0;24.0;14.0;84.0;78.0;73.0;66.0;51.0;34.0;21.0;12.0;5.0;7.0;7.0;7.0;6.0;5.0;3.0;2.0
40;Totaal mannen en vrouwen;Vooropleidingen totaal;0;Totaal opleidingsvorm;Westerse allochtoon;Startjaar 1999;3165.0;6.0;13.0;29.0;48.0;62.0;70.0;76.0;5.0;11.0;25.0;42.0;55.0;62.0;68.0;1.0;2.0;4.0;6.0;7.0;7.0;7.0;9.0;13.0;14.0;14.0;15.0;16.0;16.0;18.0;90.0;86.0;80.0;73.0;56.0;36.0;22.0;12.0;84.0;78.0;72.0;65.0;50.0;32.0;19.0;10.0;6.0;8.0;8.0;8.0;6.0;4.0;3.0;2.0
41;Totaal mannen en vrouwen;Vooropleidingen totaal;0;Totaal opleidingsvorm;Westerse allochtoon;Startjaar 2000;3193.0;8.0;17.0;35.0;54.0;65.0;71.0;76.0;7.0;16.0;32.0;48.0;59.0;64.0;69.0;1.0;1.0;3.0;6.0;6.0;7.0;7.0;10.0;13.0;13.0;15.0;15.0;16.0;18.0;18.0;90.0;85.0;79.0;68.0;49.0;30.0;17.0;11.0;84.0;78.0;71.0;61.0;44.0;26.0;14.0;9.0;5.0;7.0;8.0;8.0;6.0;4.0;3.0;2.0
42;Totaal mannen en vrouwen;Vooropleidingen totaal;0;Totaal opleidingsvorm;Westerse allochtoon;Startjaar 2001;3534.0;13.0;27.0;47.0;62.0;71.0;75.0;79.0;12.0;26.0;44.0;57.0;65.0;68.0;72.0;1.0;1.0;3.0;5.0;6.0;7.0;6.0;9.0;10.0;12.0;13.0;14.0;15.0;16.0;16.0;91.0;86.0;75.0;60.0;39.0;23.0;14.0;9.0;86.0;79.0;68.0;53.0;34.0;19.0;11.0;7.0;5.0;7.0;7.0;7.0;5.0;4.0;3.0;2.0
43;Totaal mannen en vrouwen;Vooropleidingen totaal;0;Totaal opleidingsvorm;Westerse allochtoon;Startjaar 2002;3504.0;23.0;42.0;58.0;67.0;74.0;78.0;81.0;22.0;40.0;55.0;63.0;69.0;72.0;75.0;1.0;1.0;3.0;4.0;5.0;6.0;5.0;7.0;10.0;11.0;13.0;13.0;14.0;15.0;15.0;92.0;86.0;66.0;45.0;29.0;19.0;12.0;7.0;87.0;80.0;60.0;40.0;25.0;16.0;9.0;5.0;4.0;6.0;6.0;6.0;4.0;3.0;2.0;1.0
44;Totaal mannen en vrouwen;Vooropleidingen totaal;0;Totaal opleidingsvorm;Westerse allochtoon;Startjaar 2003;3652.0;21.0;41.0;56.0;67.0;74.0;78.0;80.0;21.0;39.0;53.0;62.0;68.0;71.0;74.0;1.0;1.0;3.0;5.0;6.0;6.0;6.0;8.0;10.0;12.0;13.0;14.0;14.0;15.0;15.0;91.0;86.0;67.0;46.0;30.0;19.0;11.0;7.0;86.0;79.0;59.0;39.0;25.0;15.0;9.0;5.0;5.0;7.0;8.0;7.0;5.0;4.0;2.0;2.0
45;Totaal mannen en vrouwen;Vooropleidingen totaal;0;Totaal opleidingsvorm;Westerse allochtoon;Startjaar 2004;3832.0;24.0;43.0;59.0;69.0;75.0;79.0;81.0;24.0;41.0;56.0;64.0;69.0;73.0;74.0;1.0;2.0;4.0;5.0;6.0;6.0;6.0;8.0;11.0;13.0;13.0;14.0;15.0;15.0;16.0;91.0;85.0;63.0;44.0;27.0;16.0;10.0;5.0;86.0;78.0;56.0;37.0;22.0;13.0;7.0;4.0;5.0;7.0;7.0;7.0;5.0;3.0;3.0;2.0
46;Totaal mannen en vrouwen;Vooropleidingen totaal;0;Totaal opleidingsvorm;Westerse allochtoon;Startjaar 2005;3989.0;24.0;45.0;60.0;70.0;76.0;80.0;;23.0;44.0;56.0;65.0;71.0;74.0;;1.0;1.0;3.0;5.0;5.0;6.0;;9.0;11.0;12.0;12.0;13.0;13.0;15.0;15.0;91.0;86.0;64.0;43.0;28.0;17.0;9.0;5.0;86.0;79.0;57.0;36.0;23.0;14.0;7.0;4.0;5.0;6.0;7.0;7.0;5.0;3.0;2.0;1.0
47;Totaal mannen en vrouwen;Vooropleidingen totaal;0;Totaal opleidingsvorm;Westerse allochtoon;Startjaar 2006;4292.0;27.0;49.0;66.0;75.0;79.0;;;26.0;48.0;63.0;71.0;74.0;;;1.0;1.0;3.0;4.0;5.0;;;7.0;10.0;11.0;12.0;12.0;14.0;13.0;;92.0;87.0;62.0;39.0;22.0;11.0;8.0;;87.0;81.0;56.0;33.0;18.0;9.0;5.0;;5.0;6.0;6.0;6.0;5.0;3.0;2.0;
48;Totaal mannen en vrouwen;Vooropleidingen totaal;0;Totaal opleidingsvorm;Westerse allochtoon;Startjaar 2007;4579.0;31.0;55.0;70.0;77.0;;;;31.0;53.0;68.0;73.0;;;;1.0;1.0;3.0;4.0;;;;7.0;9.0;10.0;11.0;12.0;12.0;;;93.0;89.0;59.0;35.0;18.0;11.0;;;88.0;83.0;53.0;29.0;13.0;7.0;;;4.0;6.0;7.0;6.0;4.0;3.0;;
49;Totaal mannen en vrouwen;Vooropleidingen totaal;0;Totaal opleidingsvorm;Westerse allochtoon;Startjaar 2008;4924.0;32.0;60.0;72.0;;;;;31.0;59.0;70.0;;;;;0.0;1.0;2.0;;;;;7.0;9.0;10.0;11.0;11.0;;;;93.0;89.0;58.0;29.0;16.0;;;;88.0;83.0;52.0;23.0;12.0;;;;5.0;6.0;6.0;6.0;4.0;;;
50;Totaal mannen en vrouwen;Vooropleidingen totaal;0;Totaal opleidingsvorm;Westerse allochtoon;Startjaar 2009;5704.0;37.0;62.0;;;;;;37.0;61.0;;;;;;1.0;1.0;;;;;;7.0;9.0;11.0;12.0;;;;;93.0;89.0;52.0;26.0;;;;;89.0;83.0;46.0;21.0;;;;;4.0;6.0;6.0;6.0;;;;
51;Totaal mannen en vrouwen;Vooropleidingen totaal;0;Totaal opleidingsvorm;Westerse allochtoon;Startjaar 2010;5849.0;39.0;;;;;;;39.0;;;;;;;0.0;;;;;;;8.0;11.0;13.0;;;;;;92.0;86.0;48.0;;;;;;88.0;81.0;43.0;;;;;;4.0;5.0;5.0;;;;;
