ID;Voertuigsoort;BedrijfstakkenSBI2008;KenmerkenVrachtautoSEnTrekkers;Perioden;AantalVoertuigenInGebruik_1
30;Vrachtauto's en trekkers;A-U Alle economische activiteiten;Milieuklasse: Euro 0;2009;13020
31;Vrachtauto's en trekkers;A-U Alle economische activiteiten;Milieuklasse: Euro 0;2010;11600
32;Vrachtauto's en trekkers;A-U Alle economische activiteiten;Milieuklasse: Euro 0;2011;10200
33;Vrachtauto's en trekkers;A-U Alle economische activiteiten;Milieuklasse: Euro 1;2009;7890
34;Vrachtauto's en trekkers;A-U Alle economische activiteiten;Milieuklasse: Euro 1;2010;6610
35;Vrachtauto's en trekkers;A-U Alle economische activiteiten;Milieuklasse: Euro 1;2011;5500
36;Vrachtauto's en trekkers;A-U Alle economische activiteiten;Milieuklasse: Euro 2;2009;32830
37;Vrachtauto's en trekkers;A-U Alle economische activiteiten;Milieuklasse: Euro 2;2010;26460
38;Vrachtauto's en trekkers;A-U Alle economische activiteiten;Milieuklasse: Euro 2;2011;21610
39;Vrachtauto's en trekkers;A-U Alle economische activiteiten;Milieuklasse: Euro 3;2009;60490
40;Vrachtauto's en trekkers;A-U Alle economische activiteiten;Milieuklasse: Euro 3;2010;55310
41;Vrachtauto's en trekkers;A-U Alle economische activiteiten;Milieuklasse: Euro 3;2011;49380
42;Vrachtauto's en trekkers;A-U Alle economische activiteiten;Milieuklasse: Euro 4;2009;14910
43;Vrachtauto's en trekkers;A-U Alle economische activiteiten;Milieuklasse: Euro 4;2010;15120
44;Vrachtauto's en trekkers;A-U Alle economische activiteiten;Milieuklasse: Euro 4;2011;14990
45;Vrachtauto's en trekkers;A-U Alle economische activiteiten;Milieuklasse: Euro 5;2009;37200
46;Vrachtauto's en trekkers;A-U Alle economische activiteiten;Milieuklasse: Euro 5;2010;43420
47;Vrachtauto's en trekkers;A-U Alle economische activiteiten;Milieuklasse: Euro 5;2011;49750
48;Vrachtauto's en trekkers;A-U Alle economische activiteiten;Milieuklasse: EEV;2009;0
49;Vrachtauto's en trekkers;A-U Alle economische activiteiten;Milieuklasse: EEV;2010;2850
50;Vrachtauto's en trekkers;A-U Alle economische activiteiten;Milieuklasse: EEV;2011;6380
51;Vrachtauto's en trekkers;A-U Alle economische activiteiten;Milieuklasse: onbekend;2009;310
52;Vrachtauto's en trekkers;A-U Alle economische activiteiten;Milieuklasse: onbekend;2010;430
53;Vrachtauto's en trekkers;A-U Alle economische activiteiten;Milieuklasse: onbekend;2011;2280
54;Vrachtauto's en trekkers;A-U Alle economische activiteiten;Laadvermogen: 0 tot 7000 kg;2009;32350
55;Vrachtauto's en trekkers;A-U Alle economische activiteiten;Laadvermogen: 0 tot 7000 kg;2010;32070
56;Vrachtauto's en trekkers;A-U Alle economische activiteiten;Laadvermogen: 0 tot 7000 kg;2011;31260
57;Vrachtauto's en trekkers;A-U Alle economische activiteiten;Laadvermogen: 7000 tot 12000 kg;2009;27230
58;Vrachtauto's en trekkers;A-U Alle economische activiteiten;Laadvermogen: 7000 tot 12000 kg;2010;26370
59;Vrachtauto's en trekkers;A-U Alle economische activiteiten;Laadvermogen: 7000 tot 12000 kg;2011;25510
60;Vrachtauto's en trekkers;A-U Alle economische activiteiten;Laadvermogen: 12000 tot 18000 kg;2009;18100
61;Vrachtauto's en trekkers;A-U Alle economische activiteiten;Laadvermogen: 12000 tot 18000 kg;2010;17750
62;Vrachtauto's en trekkers;A-U Alle economische activiteiten;Laadvermogen: 12000 tot 18000 kg;2011;17460
63;Vrachtauto's en trekkers;A-U Alle economische activiteiten;Laadvermogen: 18000 kg tot 40000 kg;2009;18330
64;Vrachtauto's en trekkers;A-U Alle economische activiteiten;Laadvermogen: 18000 kg tot 40000 kg;2010;18590
65;Vrachtauto's en trekkers;A-U Alle economische activiteiten;Laadvermogen: 18000 kg tot 40000 kg;2011;19430
66;Vrachtauto's en trekkers;A-U Alle economische activiteiten;Laadvermogen: 40000 kg of meer;2009;70440
67;Vrachtauto's en trekkers;A-U Alle economische activiteiten;Laadvermogen: 40000 kg of meer;2010;66820
68;Vrachtauto's en trekkers;A-U Alle economische activiteiten;Laadvermogen: 40000 kg of meer;2011;66260
69;Vrachtauto's en trekkers;A-U Alle economische activiteiten;Laadvermogen: onbekend;2009;200
70;Vrachtauto's en trekkers;A-U Alle economische activiteiten;Laadvermogen: onbekend;2010;190
71;Vrachtauto's en trekkers;A-U Alle economische activiteiten;Laadvermogen: onbekend;2011;170
72;Vrachtauto's en trekkers;A-U Alle economische activiteiten;Gewicht volle wagen: tot 10000 kg;2009;19230
73;Vrachtauto's en trekkers;A-U Alle economische activiteiten;Gewicht volle wagen: tot 10000 kg;2010;18950
74;Vrachtauto's en trekkers;A-U Alle economische activiteiten;Gewicht volle wagen: tot 10000 kg;2011;18320
75;Vrachtauto's en trekkers;A-U Alle economische activiteiten;Gewicht volle wagen: 10000 tot 20000 kg;2009;37200
76;Vrachtauto's en trekkers;A-U Alle economische activiteiten;Gewicht volle wagen: 10000 tot 20000 kg;2010;36230
77;Vrachtauto's en trekkers;A-U Alle economische activiteiten;Gewicht volle wagen: 10000 tot 20000 kg;2011;35110
78;Vrachtauto's en trekkers;A-U Alle economische activiteiten;Gewicht volle wagen: 20000 kg of meer;2009;110130
79;Vrachtauto's en trekkers;A-U Alle economische activiteiten;Gewicht volle wagen: 20000 kg of meer;2010;106510
80;Vrachtauto's en trekkers;A-U Alle economische activiteiten;Gewicht volle wagen: 20000 kg of meer;2011;106540
81;Vrachtauto's en trekkers;A-U Alle economische activiteiten;Gewicht volle wagen: onbekend;2009;90
82;Vrachtauto's en trekkers;A-U Alle economische activiteiten;Gewicht volle wagen: onbekend;2010;100
83;Vrachtauto's en trekkers;A-U Alle economische activiteiten;Gewicht volle wagen: onbekend;2011;110
84;Vrachtauto's en trekkers;A-U Alle economische activiteiten;Breedte: 0 tot 210 cm;2009;5200
85;Vrachtauto's en trekkers;A-U Alle economische activiteiten;Breedte: 0 tot 210 cm;2010;5400
86;Vrachtauto's en trekkers;A-U Alle economische activiteiten;Breedte: 0 tot 210 cm;2011;5670
87;Vrachtauto's en trekkers;A-U Alle economische activiteiten;Breedte: 210 tot 240 cm;2009;11120
88;Vrachtauto's en trekkers;A-U Alle economische activiteiten;Breedte: 210 tot 240 cm;2010;10760
89;Vrachtauto's en trekkers;A-U Alle economische activiteiten;Breedte: 210 tot 240 cm;2011;10320
90;Vrachtauto's en trekkers;A-U Alle economische activiteiten;Breedte: 240 tot 250 cm;2009;12900
91;Vrachtauto's en trekkers;A-U Alle economische activiteiten;Breedte: 240 tot 250 cm;2010;12430
92;Vrachtauto's en trekkers;A-U Alle economische activiteiten;Breedte: 240 tot 250 cm;2011;11950
93;Vrachtauto's en trekkers;A-U Alle economische activiteiten;Breedte: 250 tot 255 cm;2009;73820
94;Vrachtauto's en trekkers;A-U Alle economische activiteiten;Breedte: 250 tot 255 cm;2010;67130
95;Vrachtauto's en trekkers;A-U Alle economische activiteiten;Breedte: 250 tot 255 cm;2011;61500
96;Vrachtauto's en trekkers;A-U Alle economische activiteiten;Breedte: 255 tot 260 cm;2009;40960
97;Vrachtauto's en trekkers;A-U Alle economische activiteiten;Breedte: 255 tot 260 cm;2010;43890
98;Vrachtauto's en trekkers;A-U Alle economische activiteiten;Breedte: 255 tot 260 cm;2011;48760
99;Vrachtauto's en trekkers;A-U Alle economische activiteiten;Breedte: 260 cm of meer;2009;6140
100;Vrachtauto's en trekkers;A-U Alle economische activiteiten;Breedte: 260 cm of meer;2010;6060
101;Vrachtauto's en trekkers;A-U Alle economische activiteiten;Breedte: 260 cm of meer;2011;5990
102;Vrachtauto's en trekkers;A-U Alle economische activiteiten;Breedte: onbekend;2009;16520
103;Vrachtauto's en trekkers;A-U Alle economische activiteiten;Breedte: onbekend;2010;16120
104;Vrachtauto's en trekkers;A-U Alle economische activiteiten;Breedte: onbekend;2011;15890
105;Vrachtauto's en trekkers;A Landbouw, bosbouw en visserij;Totaal;2009;5460
106;Vrachtauto's en trekkers;A Landbouw, bosbouw en visserij;Totaal;2010;5510
107;Vrachtauto's en trekkers;A Landbouw, bosbouw en visserij;Totaal;2011;5510
108;Vrachtauto's en trekkers;A Landbouw, bosbouw en visserij;Leeftijd: jonger dan 1 jaar;2009;220
109;Vrachtauto's en trekkers;A Landbouw, bosbouw en visserij;Leeftijd: jonger dan 1 jaar;2010;140
110;Vrachtauto's en trekkers;A Landbouw, bosbouw en visserij;Leeftijd: jonger dan 1 jaar;2011;180
111;Vrachtauto's en trekkers;A Landbouw, bosbouw en visserij;Leeftijd: 1 of 2 jaar;2009;480
112;Vrachtauto's en trekkers;A Landbouw, bosbouw en visserij;Leeftijd: 1 of 2 jaar;2010;520
113;Vrachtauto's en trekkers;A Landbouw, bosbouw en visserij;Leeftijd: 1 of 2 jaar;2011;400
114;Vrachtauto's en trekkers;A Landbouw, bosbouw en visserij;Leeftijd: 3 of 4 jaar;2009;500
115;Vrachtauto's en trekkers;A Landbouw, bosbouw en visserij;Leeftijd: 3 of 4 jaar;2010;580
116;Vrachtauto's en trekkers;A Landbouw, bosbouw en visserij;Leeftijd: 3 of 4 jaar;2011;530
117;Vrachtauto's en trekkers;A Landbouw, bosbouw en visserij;Leeftijd: 5 of 6 jaar;2009;400
118;Vrachtauto's en trekkers;A Landbouw, bosbouw en visserij;Leeftijd: 5 of 6 jaar;2010;510
119;Vrachtauto's en trekkers;A Landbouw, bosbouw en visserij;Leeftijd: 5 of 6 jaar;2011;600
120;Vrachtauto's en trekkers;A Landbouw, bosbouw en visserij;Leeftijd: 7 of 8 jaar;2009;600
121;Vrachtauto's en trekkers;A Landbouw, bosbouw en visserij;Leeftijd: 7 of 8 jaar;2010;500
122;Vrachtauto's en trekkers;A Landbouw, bosbouw en visserij;Leeftijd: 7 of 8 jaar;2011;510
123;Vrachtauto's en trekkers;A Landbouw, bosbouw en visserij;Leeftijd: 9 tot 12 jaar;2009;980
124;Vrachtauto's en trekkers;A Landbouw, bosbouw en visserij;Leeftijd: 9 tot 12 jaar;2010;990
125;Vrachtauto's en trekkers;A Landbouw, bosbouw en visserij;Leeftijd: 9 tot 12 jaar;2011;950
126;Vrachtauto's en trekkers;A Landbouw, bosbouw en visserij;Leeftijd: 12 tot 15 jaar;2009;670
127;Vrachtauto's en trekkers;A Landbouw, bosbouw en visserij;Leeftijd: 12 tot 15 jaar;2010;690
128;Vrachtauto's en trekkers;A Landbouw, bosbouw en visserij;Leeftijd: 12 tot 15 jaar;2011;770
129;Vrachtauto's en trekkers;A Landbouw, bosbouw en visserij;Leeftijd: 15 tot 20 jaar;2009;850
130;Vrachtauto's en trekkers;A Landbouw, bosbouw en visserij;Leeftijd: 15 tot 20 jaar;2010;770
131;Vrachtauto's en trekkers;A Landbouw, bosbouw en visserij;Leeftijd: 15 tot 20 jaar;2011;730
132;Vrachtauto's en trekkers;A Landbouw, bosbouw en visserij;Leeftijd: 20 jaar of ouder;2009;750
133;Vrachtauto's en trekkers;A Landbouw, bosbouw en visserij;Leeftijd: 20 jaar of ouder;2010;800
134;Vrachtauto's en trekkers;A Landbouw, bosbouw en visserij;Leeftijd: 20 jaar of ouder;2011;840
135;Vrachtauto's en trekkers;A Landbouw, bosbouw en visserij;Milieuklasse: Euro 0;2009;1240
136;Vrachtauto's en trekkers;A Landbouw, bosbouw en visserij;Milieuklasse: Euro 0;2010;1090
137;Vrachtauto's en trekkers;A Landbouw, bosbouw en visserij;Milieuklasse: Euro 0;2011;960
138;Vrachtauto's en trekkers;A Landbouw, bosbouw en visserij;Milieuklasse: Euro 1;2009;620
139;Vrachtauto's en trekkers;A Landbouw, bosbouw en visserij;Milieuklasse: Euro 1;2010;530
140;Vrachtauto's en trekkers;A Landbouw, bosbouw en visserij;Milieuklasse: Euro 1;2011;480
141;Vrachtauto's en trekkers;A Landbouw, bosbouw en visserij;Milieuklasse: Euro 2;2009;1480
142;Vrachtauto's en trekkers;A Landbouw, bosbouw en visserij;Milieuklasse: Euro 2;2010;1390
143;Vrachtauto's en trekkers;A Landbouw, bosbouw en visserij;Milieuklasse: Euro 2;2011;1320
144;Vrachtauto's en trekkers;A Landbouw, bosbouw en visserij;Milieuklasse: Euro 3;2009;1300
145;Vrachtauto's en trekkers;A Landbouw, bosbouw en visserij;Milieuklasse: Euro 3;2010;1450
146;Vrachtauto's en trekkers;A Landbouw, bosbouw en visserij;Milieuklasse: Euro 3;2011;1500
147;Vrachtauto's en trekkers;A Landbouw, bosbouw en visserij;Milieuklasse: Euro 4;2009;290
148;Vrachtauto's en trekkers;A Landbouw, bosbouw en visserij;Milieuklasse: Euro 4;2010;320
149;Vrachtauto's en trekkers;A Landbouw, bosbouw en visserij;Milieuklasse: Euro 4;2011;350
150;Vrachtauto's en trekkers;A Landbouw, bosbouw en visserij;Milieuklasse: Euro 5;2009;520
151;Vrachtauto's en trekkers;A Landbouw, bosbouw en visserij;Milieuklasse: Euro 5;2010;680
152;Vrachtauto's en trekkers;A Landbouw, bosbouw en visserij;Milieuklasse: Euro 5;2011;800
153;Vrachtauto's en trekkers;A Landbouw, bosbouw en visserij;Milieuklasse: EEV;2009;0
154;Vrachtauto's en trekkers;A Landbouw, bosbouw en visserij;Milieuklasse: EEV;2010;40
155;Vrachtauto's en trekkers;A Landbouw, bosbouw en visserij;Milieuklasse: EEV;2011;100
156;Vrachtauto's en trekkers;A Landbouw, bosbouw en visserij;Milieuklasse: onbekend;2009;10
157;Vrachtauto's en trekkers;A Landbouw, bosbouw en visserij;Milieuklasse: onbekend;2010;10
158;Vrachtauto's en trekkers;A Landbouw, bosbouw en visserij;Milieuklasse: onbekend;2011;10
159;Vrachtauto's en trekkers;A Landbouw, bosbouw en visserij;Laadvermogen: 0 tot 7000 kg;2009;1780
160;Vrachtauto's en trekkers;A Landbouw, bosbouw en visserij;Laadvermogen: 0 tot 7000 kg;2010;1740
161;Vrachtauto's en trekkers;A Landbouw, bosbouw en visserij;Laadvermogen: 0 tot 7000 kg;2011;1700
162;Vrachtauto's en trekkers;A Landbouw, bosbouw en visserij;Laadvermogen: 7000 tot 12000 kg;2009;1240
163;Vrachtauto's en trekkers;A Landbouw, bosbouw en visserij;Laadvermogen: 7000 tot 12000 kg;2010;1280
164;Vrachtauto's en trekkers;A Landbouw, bosbouw en visserij;Laadvermogen: 7000 tot 12000 kg;2011;1290
165;Vrachtauto's en trekkers;A Landbouw, bosbouw en visserij;Laadvermogen: 12000 tot 18000 kg;2009;680
166;Vrachtauto's en trekkers;A Landbouw, bosbouw en visserij;Laadvermogen: 12000 tot 18000 kg;2010;670
167;Vrachtauto's en trekkers;A Landbouw, bosbouw en visserij;Laadvermogen: 12000 tot 18000 kg;2011;670
168;Vrachtauto's en trekkers;A Landbouw, bosbouw en visserij;Laadvermogen: 18000 kg tot 40000 kg;2009;520
169;Vrachtauto's en trekkers;A Landbouw, bosbouw en visserij;Laadvermogen: 18000 kg tot 40000 kg;2010;530
170;Vrachtauto's en trekkers;A Landbouw, bosbouw en visserij;Laadvermogen: 18000 kg tot 40000 kg;2011;530
171;Vrachtauto's en trekkers;A Landbouw, bosbouw en visserij;Laadvermogen: 40000 kg of meer;2009;1240
172;Vrachtauto's en trekkers;A Landbouw, bosbouw en visserij;Laadvermogen: 40000 kg of meer;2010;1280
173;Vrachtauto's en trekkers;A Landbouw, bosbouw en visserij;Laadvermogen: 40000 kg of meer;2011;1320
174;Vrachtauto's en trekkers;A Landbouw, bosbouw en visserij;Laadvermogen: onbekend;2009;0
175;Vrachtauto's en trekkers;A Landbouw, bosbouw en visserij;Laadvermogen: onbekend;2010;10
176;Vrachtauto's en trekkers;A Landbouw, bosbouw en visserij;Laadvermogen: onbekend;2011;0
177;Vrachtauto's en trekkers;A Landbouw, bosbouw en visserij;Gewicht volle wagen: tot 10000 kg;2009;1030
178;Vrachtauto's en trekkers;A Landbouw, bosbouw en visserij;Gewicht volle wagen: tot 10000 kg;2010;1020
179;Vrachtauto's en trekkers;A Landbouw, bosbouw en visserij;Gewicht volle wagen: tot 10000 kg;2011;990
180;Vrachtauto's en trekkers;A Landbouw, bosbouw en visserij;Gewicht volle wagen: 10000 tot 20000 kg;2009;1910
181;Vrachtauto's en trekkers;A Landbouw, bosbouw en visserij;Gewicht volle wagen: 10000 tot 20000 kg;2010;1920
182;Vrachtauto's en trekkers;A Landbouw, bosbouw en visserij;Gewicht volle wagen: 10000 tot 20000 kg;2011;1900
183;Vrachtauto's en trekkers;A Landbouw, bosbouw en visserij;Gewicht volle wagen: 20000 kg of meer;2009;2520
184;Vrachtauto's en trekkers;A Landbouw, bosbouw en visserij;Gewicht volle wagen: 20000 kg of meer;2010;2570
185;Vrachtauto's en trekkers;A Landbouw, bosbouw en visserij;Gewicht volle wagen: 20000 kg of meer;2011;2630
186;Vrachtauto's en trekkers;A Landbouw, bosbouw en visserij;Gewicht volle wagen: onbekend;2009;0
187;Vrachtauto's en trekkers;A Landbouw, bosbouw en visserij;Gewicht volle wagen: onbekend;2010;0
188;Vrachtauto's en trekkers;A Landbouw, bosbouw en visserij;Gewicht volle wagen: onbekend;2011;0
189;Vrachtauto's en trekkers;A Landbouw, bosbouw en visserij;Breedte: 0 tot 210 cm;2009;350
190;Vrachtauto's en trekkers;A Landbouw, bosbouw en visserij;Breedte: 0 tot 210 cm;2010;380
191;Vrachtauto's en trekkers;A Landbouw, bosbouw en visserij;Breedte: 0 tot 210 cm;2011;420
192;Vrachtauto's en trekkers;A Landbouw, bosbouw en visserij;Breedte: 210 tot 240 cm;2009;570
193;Vrachtauto's en trekkers;A Landbouw, bosbouw en visserij;Breedte: 210 tot 240 cm;2010;540
194;Vrachtauto's en trekkers;A Landbouw, bosbouw en visserij;Breedte: 210 tot 240 cm;2011;500
195;Vrachtauto's en trekkers;A Landbouw, bosbouw en visserij;Breedte: 240 tot 250 cm;2009;490
196;Vrachtauto's en trekkers;A Landbouw, bosbouw en visserij;Breedte: 240 tot 250 cm;2010;470
197;Vrachtauto's en trekkers;A Landbouw, bosbouw en visserij;Breedte: 240 tot 250 cm;2011;460
198;Vrachtauto's en trekkers;A Landbouw, bosbouw en visserij;Breedte: 250 tot 255 cm;2009;2350
199;Vrachtauto's en trekkers;A Landbouw, bosbouw en visserij;Breedte: 250 tot 255 cm;2010;2270
200;Vrachtauto's en trekkers;A Landbouw, bosbouw en visserij;Breedte: 250 tot 255 cm;2011;2210
201;Vrachtauto's en trekkers;A Landbouw, bosbouw en visserij;Breedte: 255 tot 260 cm;2009;1230
202;Vrachtauto's en trekkers;A Landbouw, bosbouw en visserij;Breedte: 255 tot 260 cm;2010;1310
203;Vrachtauto's en trekkers;A Landbouw, bosbouw en visserij;Breedte: 255 tot 260 cm;2011;1450
204;Vrachtauto's en trekkers;A Landbouw, bosbouw en visserij;Breedte: 260 cm of meer;2009;260
205;Vrachtauto's en trekkers;A Landbouw, bosbouw en visserij;Breedte: 260 cm of meer;2010;280
206;Vrachtauto's en trekkers;A Landbouw, bosbouw en visserij;Breedte: 260 cm of meer;2011;290
207;Vrachtauto's en trekkers;A Landbouw, bosbouw en visserij;Breedte: onbekend;2009;220
208;Vrachtauto's en trekkers;A Landbouw, bosbouw en visserij;Breedte: onbekend;2010;250
209;Vrachtauto's en trekkers;A Landbouw, bosbouw en visserij;Breedte: onbekend;2011;210
210;Vrachtauto's en trekkers;B-E Nijverheid (geen bouw) en energie;Totaal;2009;13200
211;Vrachtauto's en trekkers;B-E Nijverheid (geen bouw) en energie;Totaal;2010;12670
212;Vrachtauto's en trekkers;B-E Nijverheid (geen bouw) en energie;Totaal;2011;12880
213;Vrachtauto's en trekkers;B-E Nijverheid (geen bouw) en energie;Leeftijd: jonger dan 1 jaar;2009;1060
214;Vrachtauto's en trekkers;B-E Nijverheid (geen bouw) en energie;Leeftijd: jonger dan 1 jaar;2010;700
215;Vrachtauto's en trekkers;B-E Nijverheid (geen bouw) en energie;Leeftijd: jonger dan 1 jaar;2011;900
216;Vrachtauto's en trekkers;B-E Nijverheid (geen bouw) en energie;Leeftijd: 1 of 2 jaar;2009;2160
217;Vrachtauto's en trekkers;B-E Nijverheid (geen bouw) en energie;Leeftijd: 1 of 2 jaar;2010;2270
218;Vrachtauto's en trekkers;B-E Nijverheid (geen bouw) en energie;Leeftijd: 1 of 2 jaar;2011;1850
219;Vrachtauto's en trekkers;B-E Nijverheid (geen bouw) en energie;Leeftijd: 3 of 4 jaar;2009;1770
220;Vrachtauto's en trekkers;B-E Nijverheid (geen bouw) en energie;Leeftijd: 3 of 4 jaar;2010;1890
221;Vrachtauto's en trekkers;B-E Nijverheid (geen bouw) en energie;Leeftijd: 3 of 4 jaar;2011;2150
222;Vrachtauto's en trekkers;B-E Nijverheid (geen bouw) en energie;Leeftijd: 5 of 6 jaar;2009;1450
223;Vrachtauto's en trekkers;B-E Nijverheid (geen bouw) en energie;Leeftijd: 5 of 6 jaar;2010;1400
224;Vrachtauto's en trekkers;B-E Nijverheid (geen bouw) en energie;Leeftijd: 5 of 6 jaar;2011;1720
225;Vrachtauto's en trekkers;B-E Nijverheid (geen bouw) en energie;Leeftijd: 7 of 8 jaar;2009;1810
226;Vrachtauto's en trekkers;B-E Nijverheid (geen bouw) en energie;Leeftijd: 7 of 8 jaar;2010;1480
227;Vrachtauto's en trekkers;B-E Nijverheid (geen bouw) en energie;Leeftijd: 7 of 8 jaar;2011;1340
228;Vrachtauto's en trekkers;B-E Nijverheid (geen bouw) en energie;Leeftijd: 9 tot 12 jaar;2009;2420
229;Vrachtauto's en trekkers;B-E Nijverheid (geen bouw) en energie;Leeftijd: 9 tot 12 jaar;2010;2370
230;Vrachtauto's en trekkers;B-E Nijverheid (geen bouw) en energie;Leeftijd: 9 tot 12 jaar;2011;2210
231;Vrachtauto's en trekkers;B-E Nijverheid (geen bouw) en energie;Leeftijd: 12 tot 15 jaar;2009;1130
232;Vrachtauto's en trekkers;B-E Nijverheid (geen bouw) en energie;Leeftijd: 12 tot 15 jaar;2010;1190
233;Vrachtauto's en trekkers;B-E Nijverheid (geen bouw) en energie;Leeftijd: 12 tot 15 jaar;2011;1260
234;Vrachtauto's en trekkers;B-E Nijverheid (geen bouw) en energie;Leeftijd: 15 tot 20 jaar;2009;790
235;Vrachtauto's en trekkers;B-E Nijverheid (geen bouw) en energie;Leeftijd: 15 tot 20 jaar;2010;710
236;Vrachtauto's en trekkers;B-E Nijverheid (geen bouw) en energie;Leeftijd: 15 tot 20 jaar;2011;770
237;Vrachtauto's en trekkers;B-E Nijverheid (geen bouw) en energie;Leeftijd: 20 jaar of ouder;2009;620
238;Vrachtauto's en trekkers;B-E Nijverheid (geen bouw) en energie;Leeftijd: 20 jaar of ouder;2010;670
239;Vrachtauto's en trekkers;B-E Nijverheid (geen bouw) en energie;Leeftijd: 20 jaar of ouder;2011;690
240;Vrachtauto's en trekkers;B-E Nijverheid (geen bouw) en energie;Milieuklasse: Euro 0;2009;1020
241;Vrachtauto's en trekkers;B-E Nijverheid (geen bouw) en energie;Milieuklasse: Euro 0;2010;880
242;Vrachtauto's en trekkers;B-E Nijverheid (geen bouw) en energie;Milieuklasse: Euro 0;2011;780
243;Vrachtauto's en trekkers;B-E Nijverheid (geen bouw) en energie;Milieuklasse: Euro 1;2009;800
244;Vrachtauto's en trekkers;B-E Nijverheid (geen bouw) en energie;Milieuklasse: Euro 1;2010;620
245;Vrachtauto's en trekkers;B-E Nijverheid (geen bouw) en energie;Milieuklasse: Euro 1;2011;500
246;Vrachtauto's en trekkers;B-E Nijverheid (geen bouw) en energie;Milieuklasse: Euro 2;2009;3510
247;Vrachtauto's en trekkers;B-E Nijverheid (geen bouw) en energie;Milieuklasse: Euro 2;2010;2840
248;Vrachtauto's en trekkers;B-E Nijverheid (geen bouw) en energie;Milieuklasse: Euro 2;2011;2420
249;Vrachtauto's en trekkers;B-E Nijverheid (geen bouw) en energie;Milieuklasse: Euro 3;2009;4180
250;Vrachtauto's en trekkers;B-E Nijverheid (geen bouw) en energie;Milieuklasse: Euro 3;2010;3990
251;Vrachtauto's en trekkers;B-E Nijverheid (geen bouw) en energie;Milieuklasse: Euro 3;2011;3820
252;Vrachtauto's en trekkers;B-E Nijverheid (geen bouw) en energie;Milieuklasse: Euro 4;2009;1200
253;Vrachtauto's en trekkers;B-E Nijverheid (geen bouw) en energie;Milieuklasse: Euro 4;2010;1180
