ID;SIC2008;Periods;HighGrowthEnterprisePopulation_1;EmployeesInHighGrowthEnterprises_2;YoungFastGrowingCompanies_3;EmployeesYoungFastGrowingCompanies_4
37;06 Extraction of crude petroleum and gas;2021;1.0;;0.0;0.0
38;06 Extraction of crude petroleum and gas;2022;1.0;;0.0;0.0
39;061 Extraction of crude petroleum;2010;1.0;;;
40;061 Extraction of crude petroleum;2011;1.0;;;
41;061 Extraction of crude petroleum;2012;0.0;0.0;;
42;061 Extraction of crude petroleum;2013;0.0;0.0;;
43;061 Extraction of crude petroleum;2014;1.0;;;
44;061 Extraction of crude petroleum;2015;0.0;0.0;;
45;061 Extraction of crude petroleum;2016;1.0;;;
46;061 Extraction of crude petroleum;2017;0.0;0.0;;
47;061 Extraction of crude petroleum;2018;0.0;0.0;;
48;061 Extraction of crude petroleum;2019;0.0;0.0;;
49;061 Extraction of crude petroleum;2020;0.0;0.0;;
50;061 Extraction of crude petroleum;2021;0.0;0.0;0.0;0.0
51;061 Extraction of crude petroleum;2022;0.0;0.0;0.0;0.0
52;062 Extraction of natural gas;2010;1.0;;;
53;062 Extraction of natural gas;2011;1.0;;;
54;062 Extraction of natural gas;2012;1.0;;;
55;062 Extraction of natural gas;2013;0.0;0.0;;
56;062 Extraction of natural gas;2014;1.0;;;
57;062 Extraction of natural gas;2015;2.0;;;
58;062 Extraction of natural gas;2016;1.0;;;
59;062 Extraction of natural gas;2017;0.0;0.0;;
60;062 Extraction of natural gas;2018;0.0;0.0;;
61;062 Extraction of natural gas;2019;0.0;0.0;;
62;062 Extraction of natural gas;2020;2.0;;;
63;062 Extraction of natural gas;2021;1.0;;0.0;0.0
64;062 Extraction of natural gas;2022;1.0;;0.0;0.0
65;08 Mining and quarrying (no oil and gas);2010;4.0;;;
66;08 Mining and quarrying (no oil and gas);2011;3.0;;;
67;08 Mining and quarrying (no oil and gas);2012;1.0;;;
68;08 Mining and quarrying (no oil and gas);2013;2.0;;;
69;08 Mining and quarrying (no oil and gas);2014;2.0;;;
70;08 Mining and quarrying (no oil and gas);2015;3.0;;;
71;08 Mining and quarrying (no oil and gas);2016;2.0;;;
72;08 Mining and quarrying (no oil and gas);2017;3.0;;;
73;08 Mining and quarrying (no oil and gas);2018;6.0;;;
74;08 Mining and quarrying (no oil and gas);2019;6.0;;;
75;08 Mining and quarrying (no oil and gas);2020;7.0;468.0;;
76;08 Mining and quarrying (no oil and gas);2021;6.0;;0.0;0.0
77;08 Mining and quarrying (no oil and gas);2022;2.0;;0.0;0.0
78;081 Mining of stone, sand and clay;2010;2.0;;;
79;081 Mining of stone, sand and clay;2011;2.0;;;
80;081 Mining of stone, sand and clay;2012;1.0;;;
81;081 Mining of stone, sand and clay;2013;1.0;;;
82;081 Mining of stone, sand and clay;2014;1.0;;;
83;081 Mining of stone, sand and clay;2015;2.0;;;
84;081 Mining of stone, sand and clay;2016;2.0;;;
85;081 Mining of stone, sand and clay;2017;3.0;;;
86;081 Mining of stone, sand and clay;2018;5.0;357.0;;
87;081 Mining of stone, sand and clay;2019;4.0;362.0;;
88;081 Mining of stone, sand and clay;2020;6.0;;;
89;081 Mining of stone, sand and clay;2021;5.0;297.0;0.0;0.0
90;081 Mining of stone, sand and clay;2022;2.0;;0.0;0.0
91;089 Other mining and quarrying;2010;2.0;;;
92;089 Other mining and quarrying;2011;1.0;;;
93;089 Other mining and quarrying;2012;0.0;0.0;;
94;089 Other mining and quarrying;2013;1.0;;;
95;089 Other mining and quarrying;2014;1.0;;;
96;089 Other mining and quarrying;2015;1.0;;;
97;089 Other mining and quarrying;2016;0.0;0.0;;
98;089 Other mining and quarrying;2017;0.0;0.0;;
99;089 Other mining and quarrying;2018;1.0;;;
100;089 Other mining and quarrying;2019;2.0;;;
101;089 Other mining and quarrying;2020;1.0;;;
102;089 Other mining and quarrying;2021;1.0;;0.0;0.0
103;089 Other mining and quarrying;2022;0.0;0.0;0.0;0.0
104;09 Mining support activities;2010;3.0;;;
105;09 Mining support activities;2011;5.0;283.0;;
106;09 Mining support activities;2012;3.0;;;
107;09 Mining support activities;2013;6.0;;;
108;09 Mining support activities;2014;10.0;2645.0;;
109;09 Mining support activities;2015;8.0;1346.0;;
110;09 Mining support activities;2016;6.0;754.0;;
111;09 Mining support activities;2017;1.0;;;
112;09 Mining support activities;2018;1.0;;;
113;09 Mining support activities;2019;1.0;;;
114;09 Mining support activities;2020;2.0;;;
115;09 Mining support activities;2021;0.0;0.0;0.0;0.0
116;09 Mining support activities;2022;2.0;;0.0;0.0
117;091 Services for mining of oil and gas;2010;3.0;;;
118;091 Services for mining of oil and gas;2011;5.0;283.0;;
119;091 Services for mining of oil and gas;2012;3.0;;;
120;091 Services for mining of oil and gas;2013;6.0;;;
121;091 Services for mining of oil and gas;2014;10.0;2645.0;;
122;091 Services for mining of oil and gas;2015;8.0;1346.0;;
123;091 Services for mining of oil and gas;2016;6.0;754.0;;
124;091 Services for mining of oil and gas;2017;1.0;;;
125;091 Services for mining of oil and gas;2018;1.0;;;
126;091 Services for mining of oil and gas;2019;1.0;;;
127;091 Services for mining of oil and gas;2020;1.0;;;
128;091 Services for mining of oil and gas;2021;0.0;0.0;0.0;0.0
129;091 Services for mining of oil and gas;2022;2.0;;0.0;0.0
130;099 Services for other mining;2010;0.0;0.0;;
131;099 Services for other mining;2011;0.0;0.0;;
132;099 Services for other mining;2012;0.0;0.0;;
133;099 Services for other mining;2013;0.0;0.0;;
134;099 Services for other mining;2014;0.0;0.0;;
135;099 Services for other mining;2015;0.0;0.0;;
136;099 Services for other mining;2016;0.0;0.0;;
137;099 Services for other mining;2017;0.0;0.0;;
138;099 Services for other mining;2018;0.0;0.0;;
139;099 Services for other mining;2019;0.0;0.0;;
140;099 Services for other mining;2020;1.0;;;
141;099 Services for other mining;2021;0.0;0.0;0.0;0.0
142;099 Services for other mining;2022;0.0;0.0;0.0;0.0
143;C Manufacturing;2010;711.0;63016.0;;
144;C Manufacturing;2011;690.0;58919.0;;
145;C Manufacturing;2012;803.0;64701.0;;
146;C Manufacturing;2013;801.0;68868.0;;
147;C Manufacturing;2014;736.0;53060.0;;
148;C Manufacturing;2015;767.0;52455.0;;
149;C Manufacturing;2016;898.0;60492.0;;
150;C Manufacturing;2017;1055.0;80554.0;;
151;C Manufacturing;2018;1242.0;95019.0;;
152;C Manufacturing;2019;1143.0;105292.0;;
153;C Manufacturing;2020;961.0;94762.0;;
154;C Manufacturing;2021;903.0;86430.0;40.0;2176.0
155;C Manufacturing;2022;891.0;87538.0;36.0;2225.0
156;10 Manufacture of food products;2010;152.0;10871.0;;
157;10 Manufacture of food products;2011;152.0;11197.0;;
158;10 Manufacture of food products;2012;156.0;16900.0;;
159;10 Manufacture of food products;2013;137.0;11518.0;;
160;10 Manufacture of food products;2014;146.0;12410.0;;
161;10 Manufacture of food products;2015;147.0;10696.0;;
162;10 Manufacture of food products;2016;156.0;9936.0;;
163;10 Manufacture of food products;2017;167.0;20466.0;;
164;10 Manufacture of food products;2018;191.0;;;
165;10 Manufacture of food products;2019;172.0;14679.0;;
166;10 Manufacture of food products;2020;162.0;17791.0;;
167;10 Manufacture of food products;2021;158.0;14829.0;10.0;480.0
168;10 Manufacture of food products;2022;168.0;12153.0;8.0;722.0
169;101 Slaughtering, processing of meat;2010;20.0;1873.0;;
170;101 Slaughtering, processing of meat;2011;18.0;1248.0;;
171;101 Slaughtering, processing of meat;2012;20.0;1319.0;;
172;101 Slaughtering, processing of meat;2013;19.0;1913.0;;
173;101 Slaughtering, processing of meat;2014;16.0;2353.0;;
174;101 Slaughtering, processing of meat;2015;16.0;1778.0;;
175;101 Slaughtering, processing of meat;2016;17.0;1023.0;;
176;101 Slaughtering, processing of meat;2017;22.0;1818.0;;
177;101 Slaughtering, processing of meat;2018;14.0;1418.0;;
178;101 Slaughtering, processing of meat;2019;16.0;1641.0;;
179;101 Slaughtering, processing of meat;2020;19.0;3140.0;;
180;101 Slaughtering, processing of meat;2021;16.0;2266.0;3.0;
181;101 Slaughtering, processing of meat;2022;21.0;2144.0;3.0;
182;102 Processing of fish;2010;5.0;361.0;;
183;102 Processing of fish;2011;4.0;154.0;;
184;102 Processing of fish;2012;6.0;367.0;;
185;102 Processing of fish;2013;7.0;555.0;;
186;102 Processing of fish;2014;3.0;;;
187;102 Processing of fish;2015;5.0;;;
188;102 Processing of fish;2016;3.0;;;
189;102 Processing of fish;2017;4.0;;;
190;102 Processing of fish;2018;6.0;563.0;;
191;102 Processing of fish;2019;3.0;;;
192;102 Processing of fish;2020;3.0;;;
193;102 Processing of fish;2021;2.0;;0.0;0.0
194;102 Processing of fish;2022;4.0;;0.0;0.0
195;103  Processing of vegetables and fruit;2010;4.0;;;
196;103  Processing of vegetables and fruit;2011;5.0;;;
197;103  Processing of vegetables and fruit;2012;7.0;762.0;;
198;103  Processing of vegetables and fruit;2013;6.0;338.0;;
199;103  Processing of vegetables and fruit;2014;9.0;907.0;;
200;103  Processing of vegetables and fruit;2015;9.0;678.0;;
201;103  Processing of vegetables and fruit;2016;6.0;1613.0;;
202;103  Processing of vegetables and fruit;2017;5.0;969.0;;
203;103  Processing of vegetables and fruit;2018;9.0;1980.0;;
204;103  Processing of vegetables and fruit;2019;10.0;1766.0;;
205;103  Processing of vegetables and fruit;2020;11.0;1966.0;;
206;103  Processing of vegetables and fruit;2021;9.0;670.0;0.0;0.0
207;103  Processing of vegetables and fruit;2022;7.0;319.0;0.0;0.0
208;104 Manufacture of edible oils and fats;2010;3.0;;;
209;104 Manufacture of edible oils and fats;2011;1.0;;;
210;104 Manufacture of edible oils and fats;2012;2.0;;;
211;104 Manufacture of edible oils and fats;2013;3.0;;;
212;104 Manufacture of edible oils and fats;2014;3.0;;;
213;104 Manufacture of edible oils and fats;2015;2.0;;;
214;104 Manufacture of edible oils and fats;2016;2.0;;;
215;104 Manufacture of edible oils and fats;2017;0.0;0.0;;
216;104 Manufacture of edible oils and fats;2018;0.0;0.0;;
217;104 Manufacture of edible oils and fats;2019;1.0;;;
218;104 Manufacture of edible oils and fats;2020;2.0;;;
219;104 Manufacture of edible oils and fats;2021;2.0;;0.0;0.0
220;104 Manufacture of edible oils and fats;2022;2.0;;0.0;0.0
221;105 Manufacture of dairy products;2010;9.0;812.0;;
222;105 Manufacture of dairy products;2011;9.0;851.0;;
223;105 Manufacture of dairy products;2012;13.0;4873.0;;
224;105 Manufacture of dairy products;2013;8.0;868.0;;
225;105 Manufacture of dairy products;2014;5.0;;;
226;105 Manufacture of dairy products;2015;9.0;973.0;;
227;105 Manufacture of dairy products;2016;13.0;1252.0;;
228;105 Manufacture of dairy products;2017;13.0;;;
229;105 Manufacture of dairy products;2018;15.0;1085.0;;
230;105 Manufacture of dairy products;2019;12.0;1296.0;;
231;105 Manufacture of dairy products;2020;8.0;1281.0;;
232;105 Manufacture of dairy products;2021;5.0;;0.0;0.0
233;105 Manufacture of dairy products;2022;4.0;;0.0;0.0
234;106 Grain milling and starch products;2010;2.0;;;
235;106 Grain milling and starch products;2011;1.0;;;
236;106 Grain milling and starch products;2012;2.0;;;
237;106 Grain milling and starch products;2013;2.0;;;
238;106 Grain milling and starch products;2014;2.0;;;
239;106 Grain milling and starch products;2015;1.0;;;
240;106 Grain milling and starch products;2016;4.0;124.0;;
241;106 Grain milling and starch products;2017;4.0;117.0;;
242;106 Grain milling and starch products;2018;4.0;;;
243;106 Grain milling and starch products;2019;3.0;;;
244;106 Grain milling and starch products;2020;3.0;;;
245;106 Grain milling and starch products;2021;2.0;;0.0;0.0
246;106 Grain milling and starch products;2022;3.0;;0.0;0.0
247;107 Manufacture of bakery products;2010;82.0;4538.0;;
248;107 Manufacture of bakery products;2011;86.0;4474.0;;
249;107 Manufacture of bakery products;2012;77.0;6413.0;;
250;107 Manufacture of bakery products;2013;58.0;4000.0;;
251;107 Manufacture of bakery products;2014;66.0;2946.0;;
252;107 Manufacture of bakery products;2015;64.0;3332.0;;
253;107 Manufacture of bakery products;2016;73.0;3133.0;;
254;107 Manufacture of bakery products;2017;81.0;4387.0;;
255;107 Manufacture of bakery products;2018;103.0;6518.0;;
256;107 Manufacture of bakery products;2019;87.0;4856.0;;
257;107 Manufacture of bakery products;2020;77.0;4559.0;;
258;107 Manufacture of bakery products;2021;79.0;4452.0;4.0;83.0
259;107 Manufacture of bakery products;2022;87.0;5005.0;3.0;
260;108 Manufacture of other food;2010;17.0;1180.0;;
261;108 Manufacture of other food;2011;17.0;1873.0;;
262;108 Manufacture of other food;2012;20.0;1653.0;;
263;108 Manufacture of other food;2013;26.0;1781.0;;
264;108 Manufacture of other food;2014;29.0;3171.0;;
265;108 Manufacture of other food;2015;34.0;1799.0;;
266;108 Manufacture of other food;2016;30.0;2038.0;;
267;108 Manufacture of other food;2017;33.0;2551.0;;
268;108 Manufacture of other food;2018;33.0;2815.0;;
269;108 Manufacture of other food;2019;33.0;3488.0;;
270;108 Manufacture of other food;2020;32.0;5058.0;;
271;108 Manufacture of other food;2021;30.0;4409.0;3.0;
272;108 Manufacture of other food;2022;31.0;2434.0;2.0;
273;109 Manufacture of animal foods;2010;10.0;663.0;;
274;109 Manufacture of animal foods;2011;11.0;1544.0;;
275;109 Manufacture of animal foods;2012;9.0;681.0;;
276;109 Manufacture of animal foods;2013;8.0;1285.0;;
277;109 Manufacture of animal foods;2014;13.0;1678.0;;
278;109 Manufacture of animal foods;2015;7.0;1500.0;;
279;109 Manufacture of animal foods;2016;8.0;419.0;;
280;109 Manufacture of animal foods;2017;5.0;443.0;;
281;109 Manufacture of animal foods;2018;7.0;561.0;;
282;109 Manufacture of animal foods;2019;7.0;;;
283;109 Manufacture of animal foods;2020;7.0;1334.0;;
284;109 Manufacture of animal foods;2021;13.0;1518.0;0.0;0.0
285;109 Manufacture of animal foods;2022;9.0;777.0;0.0;0.0
286;11 Manufacture of beverages;2010;1.0;;;
287;11 Manufacture of beverages;2011;3.0;;;
288;11 Manufacture of beverages;2012;4.0;93.0;;
289;11 Manufacture of beverages;2013;4.0;;;
290;11 Manufacture of beverages;2014;5.0;334.0;;
291;11 Manufacture of beverages;2015;4.0;;;
292;11 Manufacture of beverages;2016;8.0;;;
293;11 Manufacture of beverages;2017;8.0;1236.0;;
294;11 Manufacture of beverages;2018;10.0;1342.0;;
295;11 Manufacture of beverages;2019;12.0;1377.0;;
296;11 Manufacture of beverages;2020;2.0;;;
297;11 Manufacture of beverages;2021;8.0;;3.0;
298;11 Manufacture of beverages;2022;10.0;440.0;1.0;
299;110 Manufacture of beverages;2010;1.0;;;
300;110 Manufacture of beverages;2011;3.0;;;
301;110 Manufacture of beverages;2012;4.0;93.0;;
302;110 Manufacture of beverages;2013;4.0;;;
303;110 Manufacture of beverages;2014;5.0;334.0;;
304;110 Manufacture of beverages;2015;4.0;;;
305;110 Manufacture of beverages;2016;8.0;;;
306;110 Manufacture of beverages;2017;8.0;1236.0;;
307;110 Manufacture of beverages;2018;10.0;1342.0;;
308;110 Manufacture of beverages;2019;12.0;1377.0;;
309;110 Manufacture of beverages;2020;2.0;;;
310;110 Manufacture of beverages;2021;8.0;;3.0;
311;110 Manufacture of beverages;2022;10.0;440.0;1.0;
312;12 Manufacture of tobacco products;2010;0.0;0.0;;
313;12 Manufacture of tobacco products;2011;0.0;0.0;;
314;12 Manufacture of tobacco products;2012;0.0;0.0;;
315;12 Manufacture of tobacco products;2013;0.0;0.0;;
316;12 Manufacture of tobacco products;2014;0.0;0.0;;
317;12 Manufacture of tobacco products;2015;0.0;0.0;;
318;12 Manufacture of tobacco products;2016;0.0;0.0;;
319;12 Manufacture of tobacco products;2017;0.0;0.0;;
320;12 Manufacture of tobacco products;2018;0.0;0.0;;
321;12 Manufacture of tobacco products;2019;0.0;0.0;;
322;12 Manufacture of tobacco products;2020;1.0;;;
323;12 Manufacture of tobacco products;2021;0.0;0.0;0.0;0.0
324;12 Manufacture of tobacco products;2022;0.0;0.0;0.0;0.0
325;120 Manufacture of tobacco products;2010;0.0;0.0;;
326;120 Manufacture of tobacco products;2011;0.0;0.0;;
327;120 Manufacture of tobacco products;2012;0.0;0.0;;
328;120 Manufacture of tobacco products;2013;0.0;0.0;;
329;120 Manufacture of tobacco products;2014;0.0;0.0;;
330;120 Manufacture of tobacco products;2015;0.0;0.0;;
331;120 Manufacture of tobacco products;2016;0.0;0.0;;
332;120 Manufacture of tobacco products;2017;0.0;0.0;;
333;120 Manufacture of tobacco products;2018;0.0;0.0;;
334;120 Manufacture of tobacco products;2019;0.0;0.0;;
335;120 Manufacture of tobacco products;2020;1.0;;;
336;120 Manufacture of tobacco products;2021;0.0;0.0;0.0;0.0
337;120 Manufacture of tobacco products;2022;0.0;0.0;0.0;0.0
338;13 Manufacture of textiles;2010;14.0;773.0;;
339;13 Manufacture of textiles;2011;14.0;1109.0;;
340;13 Manufacture of textiles;2012;20.0;1375.0;;
341;13 Manufacture of textiles;2013;13.0;738.0;;
342;13 Manufacture of textiles;2014;11.0;1136.0;;
343;13 Manufacture of textiles;2015;11.0;469.0;;
344;13 Manufacture of textiles;2016;14.0;913.0;;
345;13 Manufacture of textiles;2017;17.0;1370.0;;
346;13 Manufacture of textiles;2018;20.0;1361.0;;
347;13 Manufacture of textiles;2019;13.0;618.0;;
348;13 Manufacture of textiles;2020;10.0;305.0;;
349;13 Manufacture of textiles;2021;17.0;713.0;1.0;
350;13 Manufacture of textiles;2022;21.0;943.0;1.0;
351;131 Spinning of textile fibres;2010;0.0;0.0;;
352;131 Spinning of textile fibres;2011;0.0;0.0;;
353;131 Spinning of textile fibres;2012;0.0;0.0;;
354;131 Spinning of textile fibres;2013;2.0;;;
355;131 Spinning of textile fibres;2014;0.0;0.0;;
356;131 Spinning of textile fibres;2015;0.0;0.0;;
357;131 Spinning of textile fibres;2016;0.0;0.0;;
358;131 Spinning of textile fibres;2017;0.0;0.0;;
359;131 Spinning of textile fibres;2018;1.0;;;
360;131 Spinning of textile fibres;2019;1.0;;;
361;131 Spinning of textile fibres;2020;1.0;;;
362;131 Spinning of textile fibres;2021;1.0;;0.0;0.0
363;131 Spinning of textile fibres;2022;0.0;0.0;0.0;0.0
364;132 Weaving of textiles;2010;1.0;;;
365;132 Weaving of textiles;2011;0.0;0.0;;
366;132 Weaving of textiles;2012;2.0;;;
367;132 Weaving of textiles;2013;1.0;;;
368;132 Weaving of textiles;2014;0.0;0.0;;
369;132 Weaving of textiles;2015;1.0;;;
370;132 Weaving of textiles;2016;1.0;;;
371;132 Weaving of textiles;2017;1.0;;;
372;132 Weaving of textiles;2018;0.0;0.0;;
373;132 Weaving of textiles;2019;0.0;0.0;;
374;132 Weaving of textiles;2020;0.0;0.0;;
375;132 Weaving of textiles;2021;0.0;0.0;0.0;0.0
376;132 Weaving of textiles;2022;2.0;;0.0;0.0
377;133 Finishing of textiles;2010;2.0;;;
378;133 Finishing of textiles;2011;1.0;;;
379;133 Finishing of textiles;2012;4.0;;;
380;133 Finishing of textiles;2013;1.0;;;
381;133 Finishing of textiles;2014;2.0;;;
382;133 Finishing of textiles;2015;0.0;0.0;;
383;133 Finishing of textiles;2016;3.0;;;
384;133 Finishing of textiles;2017;2.0;;;
385;133 Finishing of textiles;2018;3.0;;;
386;133 Finishing of textiles;2019;1.0;;;
387;133 Finishing of textiles;2020;2.0;;;
388;133 Finishing of textiles;2021;0.0;0.0;0.0;0.0
389;133 Finishing of textiles;2022;0.0;0.0;0.0;0.0
390;139 Manufacture of other textiles;2010;11.0;;;
391;139 Manufacture of other textiles;2011;13.0;;;
392;139 Manufacture of other textiles;2012;14.0;949.0;;
393;139 Manufacture of other textiles;2013;9.0;606.0;;
394;139 Manufacture of other textiles;2014;9.0;;;
395;139 Manufacture of other textiles;2015;10.0;;;
396;139 Manufacture of other textiles;2016;10.0;;;
397;139 Manufacture of other textiles;2017;14.0;;;
398;139 Manufacture of other textiles;2018;16.0;;;
399;139 Manufacture of other textiles;2019;11.0;;;
400;139 Manufacture of other textiles;2020;7.0;;;
401;139 Manufacture of other textiles;2021;16.0;;1.0;
402;139 Manufacture of other textiles;2022;19.0;;1.0;
403;14 Manufacture of wearing apparel;2010;7.0;202.0;;
404;14 Manufacture of wearing apparel;2011;5.0;188.0;;
405;14 Manufacture of wearing apparel;2012;5.0;135.0;;
406;14 Manufacture of wearing apparel;2013;2.0;;;
407;14 Manufacture of wearing apparel;2014;3.0;;;
408;14 Manufacture of wearing apparel;2015;6.0;238.0;;
409;14 Manufacture of wearing apparel;2016;3.0;;;
410;14 Manufacture of wearing apparel;2017;3.0;;;
411;14 Manufacture of wearing apparel;2018;7.0;153.0;;
412;14 Manufacture of wearing apparel;2019;5.0;;;
413;14 Manufacture of wearing apparel;2020;7.0;172.0;;
414;14 Manufacture of wearing apparel;2021;7.0;180.0;0.0;0.0
415;14 Manufacture of wearing apparel;2022;9.0;297.0;3.0;
416;141 Manufacture of apparel (no fur);2010;7.0;202.0;;
417;141 Manufacture of apparel (no fur);2011;5.0;188.0;;
418;141 Manufacture of apparel (no fur);2012;5.0;135.0;;
419;141 Manufacture of apparel (no fur);2013;2.0;;;
420;141 Manufacture of apparel (no fur);2014;3.0;;;
421;141 Manufacture of apparel (no fur);2015;6.0;238.0;;
422;141 Manufacture of apparel (no fur);2016;3.0;;;
423;141 Manufacture of apparel (no fur);2017;3.0;;;
424;141 Manufacture of apparel (no fur);2018;6.0;;;
425;141 Manufacture of apparel (no fur);2019;5.0;;;
426;141 Manufacture of apparel (no fur);2020;7.0;172.0;;
427;141 Manufacture of apparel (no fur);2021;7.0;180.0;0.0;0.0
428;141 Manufacture of apparel (no fur);2022;9.0;297.0;3.0;
429;142 Manufacture of articles of fur;2010;0.0;0.0;;
430;142 Manufacture of articles of fur;2011;0.0;0.0;;
431;142 Manufacture of articles of fur;2012;0.0;0.0;;
432;142 Manufacture of articles of fur;2013;0.0;0.0;;
433;142 Manufacture of articles of fur;2014;0.0;0.0;;
434;142 Manufacture of articles of fur;2015;0.0;0.0;;
435;142 Manufacture of articles of fur;2016;0.0;0.0;;
436;142 Manufacture of articles of fur;2017;0.0;0.0;;
437;142 Manufacture of articles of fur;2018;0.0;0.0;;
438;142 Manufacture of articles of fur;2019;0.0;0.0;;
439;142 Manufacture of articles of fur;2020;0.0;0.0;;
440;142 Manufacture of articles of fur;2021;0.0;0.0;0.0;0.0
441;142 Manufacture of articles of fur;2022;0.0;0.0;0.0;0.0
442;143 Knitting and crocheting apparel;2010;0.0;0.0;;
443;143 Knitting and crocheting apparel;2011;0.0;0.0;;
444;143 Knitting and crocheting apparel;2012;0.0;0.0;;
445;143 Knitting and crocheting apparel;2013;0.0;0.0;;
446;143 Knitting and crocheting apparel;2014;0.0;0.0;;
447;143 Knitting and crocheting apparel;2015;0.0;0.0;;
448;143 Knitting and crocheting apparel;2016;0.0;0.0;;
449;143 Knitting and crocheting apparel;2017;0.0;0.0;;
450;143 Knitting and crocheting apparel;2018;1.0;;;
451;143 Knitting and crocheting apparel;2019;0.0;0.0;;
452;143 Knitting and crocheting apparel;2020;0.0;0.0;;
453;143 Knitting and crocheting apparel;2021;0.0;0.0;0.0;0.0
454;143 Knitting and crocheting apparel;2022;0.0;0.0;0.0;0.0
455;15 Manufacture of leather and footwear;2010;1.0;;;
456;15 Manufacture of leather and footwear;2011;3.0;;;
457;15 Manufacture of leather and footwear;2012;4.0;;;
458;15 Manufacture of leather and footwear;2013;4.0;;;
459;15 Manufacture of leather and footwear;2014;3.0;;;
460;15 Manufacture of leather and footwear;2015;4.0;;;
461;15 Manufacture of leather and footwear;2016;5.0;418.0;;
462;15 Manufacture of leather and footwear;2017;3.0;;;
463;15 Manufacture of leather and footwear;2018;4.0;535.0;;
464;15 Manufacture of leather and footwear;2019;3.0;;;
465;15 Manufacture of leather and footwear;2020;1.0;;;
466;15 Manufacture of leather and footwear;2021;2.0;;1.0;
467;15 Manufacture of leather and footwear;2022;1.0;;0.0;0.0
468;151 Manufacture of leather products;2010;0.0;0.0;;
469;151 Manufacture of leather products;2011;1.0;;;
470;151 Manufacture of leather products;2012;3.0;;;
471;151 Manufacture of leather products;2013;3.0;;;
472;151 Manufacture of leather products;2014;3.0;;;
473;151 Manufacture of leather products;2015;4.0;;;
474;151 Manufacture of leather products;2016;3.0;;;
475;151 Manufacture of leather products;2017;2.0;;;
476;151 Manufacture of leather products;2018;2.0;;;
477;151 Manufacture of leather products;2019;3.0;;;
478;151 Manufacture of leather products;2020;1.0;;;
479;151 Manufacture of leather products;2021;1.0;;1.0;
480;151 Manufacture of leather products;2022;0.0;0.0;0.0;0.0
481;152 Manufacture of footwear;2010;1.0;;;
482;152 Manufacture of footwear;2011;2.0;;;
483;152 Manufacture of footwear;2012;1.0;;;
484;152 Manufacture of footwear;2013;1.0;;;
485;152 Manufacture of footwear;2014;0.0;0.0;;
486;152 Manufacture of footwear;2015;0.0;0.0;;
487;152 Manufacture of footwear;2016;2.0;;;
488;152 Manufacture of footwear;2017;1.0;;;
489;152 Manufacture of footwear;2018;2.0;;;
490;152 Manufacture of footwear;2019;0.0;0.0;;
491;152 Manufacture of footwear;2020;0.0;0.0;;
492;152 Manufacture of footwear;2021;1.0;;0.0;0.0
493;152 Manufacture of footwear;2022;1.0;;0.0;0.0
494;16 Manufacture of wood products;2010;14.0;645.0;;
