ID;Einddiploma;Perioden;TotaleUitgaven_1;UitgavenBasisonderwijsBao_2;TotaalSecundairOnderwijs_3;TotaalVoortgezetOnderwijs_4;AlgemeenVormendOnderwijsAvo_5;Vmbo_6;Havo_7;Vwo_8;TotaalBve_9;MboBbl_10;MboBol_11;TotaalTertiairOnderwijs_12;HboVoltijd_13;WoVoltijd_14
87;Mbo-bbl2;2013;119.9;51.3;68.6;34.7;17.2;17.5;;;33.9;27.8;6.1;;;
88;Mbo-bbl2;2014;118.5;50.4;68.1;33.5;16.6;16.9;;;34.6;28.4;6.2;;;
89;Mbo-bbl2;2015;123.4;52.1;71.2;34.1;16.9;17.2;;;37.1;30.6;6.6;;;
90;Mbo-bbl3;1998;73.7;25.9;47.7;19.1;9.5;9.6;;;28.6;23.0;5.6;;;
91;Mbo-bbl3;1999;78.1;27.5;50.6;21.0;10.4;10.6;;;29.6;23.7;5.9;;;
92;Mbo-bbl3;2000;85.8;30.7;55.2;22.8;11.3;11.5;;;32.4;25.8;6.6;;;
93;Mbo-bbl3;2001;94.1;34.7;59.4;25.2;12.5;12.7;;;34.3;27.3;7.0;;;
94;Mbo-bbl3;2002;100.7;38.1;62.6;26.2;13.0;13.2;;;36.4;29.0;7.4;;;
95;Mbo-bbl3;2003;106.1;41.2;64.8;26.4;13.1;13.3;;;38.5;30.6;7.8;;;
96;Mbo-bbl3;2004;108.5;41.0;67.4;27.3;13.6;13.8;;;40.1;32.0;8.1;;;
97;Mbo-bbl3;2005;112.8;42.9;69.9;28.0;13.9;14.1;;;42.0;33.5;8.5;;;
98;Mbo-bbl3;2006;116.4;43.3;73.0;27.7;13.8;14.0;;;45.3;36.2;9.1;;;
99;Mbo-bbl3;2007;119.9;43.6;76.3;29.3;14.6;14.8;;;47.0;37.6;9.3;;;
100;Mbo-bbl3;2008;125.5;46.2;79.3;30.4;15.1;15.3;;;49.0;39.3;9.7;;;
101;Mbo-bbl3;2009;132.9;48.7;84.1;33.1;16.4;16.6;;;51.1;40.9;10.1;;;
102;Mbo-bbl3;2010;135.1;49.1;86.0;33.8;16.8;17.0;;;52.2;41.8;10.4;;;
103;Mbo-bbl3;2011;135.4;48.9;86.6;33.3;16.5;16.7;;;53.3;43.0;10.3;;;
104;Mbo-bbl3;2012;136.4;49.3;87.1;33.7;16.7;17.0;;;53.4;42.9;10.5;;;
105;Mbo-bbl3;2013;139.0;51.3;87.7;34.7;17.2;17.5;;;53.0;42.3;10.7;;;
106;Mbo-bbl3;2014;138.0;50.4;87.6;33.5;16.6;16.9;;;54.1;43.2;11.0;;;
107;Mbo-bbl3;2015;144.3;52.1;92.2;34.1;16.9;17.2;;;58.1;46.4;11.7;;;
108;Mbo-bbl4;1998;79.5;25.9;53.5;19.1;9.5;9.6;;;34.4;25.0;9.5;;;
109;Mbo-bbl4;1999;84.2;27.5;56.7;21.0;10.4;10.6;;;35.7;25.7;10.0;;;
110;Mbo-bbl4;2000;92.6;30.7;61.9;22.8;11.3;11.5;;;39.1;28.0;11.1;;;
111;Mbo-bbl4;2001;101.2;34.7;66.5;25.2;12.5;12.7;;;41.4;29.6;11.8;;;
112;Mbo-bbl4;2002;108.3;38.1;70.1;26.2;13.0;13.2;;;44.0;31.5;12.5;;;
113;Mbo-bbl4;2003;114.1;41.2;72.8;26.4;13.1;13.3;;;46.5;33.2;13.2;;;
114;Mbo-bbl4;2004;116.8;41.0;75.7;27.3;13.6;13.8;;;48.4;34.7;13.7;;;
115;Mbo-bbl4;2005;121.5;42.9;78.6;28.0;13.9;14.1;;;50.6;36.3;14.3;;;
116;Mbo-bbl4;2006;125.7;43.3;82.4;27.7;13.8;14.0;;;54.6;39.3;15.3;;;
117;Mbo-bbl4;2007;129.6;43.6;85.9;29.3;14.6;14.8;;;56.6;40.8;15.8;;;
118;Mbo-bbl4;2008;135.5;46.2;89.3;30.4;15.1;15.3;;;59.0;42.6;16.4;;;
119;Mbo-bbl4;2009;143.3;48.7;94.6;33.1;16.4;16.6;;;61.5;44.4;17.1;;;
120;Mbo-bbl4;2010;145.7;49.1;96.7;33.8;16.8;17.0;;;62.9;45.4;17.5;;;
121;Mbo-bbl4;2011;146.2;48.9;97.3;33.3;16.5;16.7;;;64.0;46.6;17.4;;;
122;Mbo-bbl4;2012;147.3;49.3;98.0;33.7;16.7;17.0;;;64.3;46.5;17.8;;;
123;Mbo-bbl4;2013;150.0;51.3;98.7;34.7;17.2;17.5;;;64.0;45.8;18.1;;;
124;Mbo-bbl4;2014;149.2;50.4;98.8;33.5;16.6;16.9;;;65.3;46.8;18.5;;;
125;Mbo-bbl4;2015;156.3;52.1;104.2;34.1;16.9;17.2;;;70.1;50.3;19.7;;;
126;Mbo-bol2;1998;58.7;25.9;32.7;19.1;9.5;9.6;;;13.7;0.4;13.2;;;
127;Mbo-bol2;1999;62.9;27.5;35.4;21.0;10.4;10.6;;;14.4;0.4;14.0;;;
128;Mbo-bol2;2000;69.5;30.7;38.8;22.8;11.3;11.5;;;16.1;0.5;15.6;;;
129;Mbo-bol2;2001;76.9;34.7;42.2;25.2;12.5;12.7;;;17.0;0.5;16.5;;;
130;Mbo-bol2;2002;82.3;38.1;44.2;26.2;13.0;13.2;;;18.0;0.5;17.5;;;
131;Mbo-bol2;2003;86.7;41.2;45.5;26.4;13.1;13.3;;;19.1;0.6;18.5;;;
132;Mbo-bol2;2004;88.2;41.0;47.1;27.3;13.6;13.8;;;19.8;0.6;19.2;;;
133;Mbo-bol2;2005;91.4;42.9;48.6;28.0;13.9;14.1;;;20.6;0.6;20.0;;;
134;Mbo-bol2;2006;93.2;43.3;49.9;27.7;13.8;14.0;;;22.1;0.7;21.5;;;
135;Mbo-bol2;2007;95.8;43.6;52.1;29.3;14.6;14.8;;;22.8;0.7;22.1;;;
136;Mbo-bol2;2008;100.2;46.2;54.0;30.4;15.1;15.3;;;23.6;0.7;22.9;;;
137;Mbo-bol2;2009;106.5;48.7;57.7;33.1;16.4;16.6;;;24.7;0.7;23.9;;;
138;Mbo-bol2;2010;108.1;49.1;59.0;33.8;16.8;17.0;;;25.3;0.8;24.5;;;
139;Mbo-bol2;2011;107.3;48.9;58.4;33.3;16.5;16.7;;;25.1;0.8;24.4;;;
140;Mbo-bol2;2012;108.7;49.3;59.3;33.7;16.7;17.0;;;25.6;0.8;24.9;;;
141;Mbo-bol2;2013;112.1;51.3;60.9;34.7;17.2;17.5;;;26.1;0.8;25.4;;;
142;Mbo-bol2;2014;110.6;50.4;60.2;33.5;16.6;16.9;;;26.7;0.8;25.9;;;
143;Mbo-bol2;2015;114.6;52.1;62.5;34.1;16.9;17.2;;;28.4;0.8;27.6;;;
144;Mbo-bol3;1998;64.6;25.9;38.6;19.1;9.5;9.6;;;19.5;0.3;19.3;;;
145;Mbo-bol3;1999;69.1;27.5;41.6;21.0;10.4;10.6;;;20.6;0.3;20.3;;;
146;Mbo-bol3;2000;76.5;30.7;45.8;22.8;11.3;11.5;;;23.0;0.3;22.7;;;
147;Mbo-bol3;2001;84.2;34.7;49.5;25.2;12.5;12.7;;;24.4;0.3;24.1;;;
148;Mbo-bol3;2002;90.1;38.1;52.0;26.2;13.0;13.2;;;25.8;0.3;25.4;;;
149;Mbo-bol3;2003;94.9;41.2;53.7;26.4;13.1;13.3;;;27.3;0.3;27.0;;;
150;Mbo-bol3;2004;96.7;41.0;55.7;27.3;13.6;13.8;;;28.3;0.4;28.0;;;
151;Mbo-bol3;2005;100.3;42.9;57.5;28.0;13.9;14.1;;;29.5;0.4;29.1;;;
152;Mbo-bol3;2006;102.7;43.3;59.4;27.7;13.8;14.0;;;31.6;0.4;31.2;;;
153;Mbo-bol3;2007;105.6;43.6;62.0;29.3;14.6;14.8;;;32.6;0.4;32.2;;;
154;Mbo-bol3;2008;110.3;46.2;64.2;30.4;15.1;15.3;;;33.8;0.4;33.3;;;
155;Mbo-bol3;2009;117.1;48.7;68.4;33.1;16.4;16.6;;;35.3;0.5;34.9;;;
156;Mbo-bol3;2010;119.0;49.1;69.9;33.8;16.8;17.0;;;36.2;0.5;35.7;;;
157;Mbo-bol3;2011;118.1;48.9;69.2;33.3;16.5;16.7;;;35.9;0.5;35.5;;;
158;Mbo-bol3;2012;119.7;49.3;70.4;33.7;16.7;17.0;;;36.7;0.5;36.2;;;
159;Mbo-bol3;2013;123.4;51.3;72.2;34.7;17.2;17.5;;;37.4;0.5;36.9;;;
160;Mbo-bol3;2014;122.1;50.4;71.7;33.5;16.6;16.9;;;38.2;0.5;37.7;;;
161;Mbo-bol3;2015;126.9;52.1;74.8;34.1;16.9;17.2;;;40.7;0.5;40.2;;;
162;Mbo-bol4;1998;67.8;25.9;41.8;19.1;9.5;9.6;;;22.7;0.2;22.6;;;
163;Mbo-bol4;1999;72.5;27.5;45.0;21.0;10.4;10.6;;;24.0;0.2;23.8;;;
164;Mbo-bol4;2000;80.2;30.7;49.6;22.8;11.3;11.5;;;26.8;0.2;26.6;;;
165;Mbo-bol4;2001;88.2;34.7;53.5;25.2;12.5;12.7;;;28.4;0.2;28.2;;;
166;Mbo-bol4;2002;94.3;38.1;56.2;26.2;13.0;13.2;;;30.0;0.2;29.8;;;
167;Mbo-bol4;2003;99.4;41.2;58.2;26.4;13.1;13.3;;;31.8;0.2;31.6;;;
168;Mbo-bol4;2004;101.4;41.0;60.3;27.3;13.6;13.8;;;33.0;0.2;32.8;;;
169;Mbo-bol4;2005;105.2;42.9;62.3;28.0;13.9;14.1;;;34.4;0.3;34.1;;;
170;Mbo-bol4;2006;107.9;43.3;64.6;27.7;13.8;14.0;;;36.8;0.3;36.6;;;
171;Mbo-bol4;2007;111.0;43.6;67.3;29.3;14.6;14.8;;;38.0;0.3;37.7;;;
172;Mbo-bol4;2008;115.9;46.2;69.7;30.4;15.1;15.3;;;39.3;0.3;39.0;;;
173;Mbo-bol4;2009;122.9;48.7;74.2;33.1;16.4;16.6;;;41.1;0.3;40.8;;;
174;Mbo-bol4;2010;125.0;49.1;75.9;33.8;16.8;17.0;;;42.1;0.3;41.8;;;
175;Mbo-bol4;2011;124.0;48.9;75.1;33.3;16.5;16.7;;;41.8;0.3;41.5;;;
176;Mbo-bol4;2012;125.7;49.3;76.4;33.7;16.7;17.0;;;42.7;0.3;42.4;;;
177;Mbo-bol4;2013;129.6;51.3;78.3;34.7;17.2;17.5;;;43.6;0.3;43.3;;;
178;Mbo-bol4;2014;128.4;50.4;78.0;33.5;16.6;16.9;;;44.5;0.3;44.1;;;
179;Mbo-bol4;2015;133.6;52.1;81.5;34.1;16.9;17.2;;;47.4;0.4;47.0;;;
180;Hbo;1998;82.3;25.4;24.7;24.7;9.9;;14.8;;;;;32.1;32.1;
181;Hbo;1999;87.0;27.0;27.2;27.2;10.9;;16.3;;;;;32.9;32.9;
182;Hbo;2000;92.7;30.1;29.5;29.5;11.8;;17.7;;;;;33.1;33.1;
183;Hbo;2001;101.9;34.0;32.6;32.6;13.0;;19.5;;;;;35.3;35.3;
184;Hbo;2002;107.0;37.4;33.9;33.9;13.6;;20.3;;;;;35.8;35.8;
185;Hbo;2003;111.6;40.4;34.1;34.1;13.7;;20.5;;;;;37.0;37.0;
186;Hbo;2004;113.6;40.2;35.4;35.4;14.2;;21.2;;;;;38.0;38.0;
187;Hbo;2005;117.0;42.0;36.2;36.2;14.5;;21.7;;;;;38.8;38.8;
188;Hbo;2006;117.4;42.5;35.9;35.9;14.4;;21.5;;;;;39.0;39.0;
189;Hbo;2007;121.8;42.8;38.0;38.0;15.2;;22.8;;;;;41.1;41.1;
190;Hbo;2008;127.0;45.3;39.3;39.3;15.7;;23.6;;;;;42.4;42.4;
191;Hbo;2009;134.6;47.8;42.8;42.8;17.1;;25.7;;;;;44.0;44.0;
192;Hbo;2010;137.6;48.1;43.7;43.7;17.5;;26.2;;;;;45.7;45.7;
193;Hbo;2011;136.4;47.9;43.1;43.1;17.2;;25.8;;;;;45.4;45.4;
194;Hbo;2012;138.1;48.4;43.6;43.6;17.5;;26.2;;;;;46.1;46.1;
195;Hbo;2013;142.2;50.3;44.9;44.9;18.0;;27.0;;;;;46.9;46.9;
196;Hbo;2014;140.1;49.4;43.3;43.3;17.3;;26.0;;;;;47.3;47.3;
197;Hbo;2015;143.4;51.1;44.1;44.1;17.7;;26.5;;;;;48.2;48.2;
198;Wo (bachelor);1998;;;;;;;;;;;;;;
199;Wo (bachelor);1999;;;;;;;;;;;;;;
200;Wo (bachelor);2000;;;;;;;;;;;;;;
201;Wo (bachelor);2001;;;;;;;;;;;;;;
202;Wo (bachelor);2002;;;;;;;;;;;;;;
203;Wo (bachelor);2003;;;;;;;;;;;;;;
204;Wo (bachelor);2004;114.6;39.6;40.9;40.9;13.7;;;27.2;;;;34.1;;34.1
205;Wo (bachelor);2005;116.2;41.4;41.8;41.8;14.0;;;27.8;;;;33.0;;33.0
206;Wo (bachelor);2006;117.0;41.9;41.5;41.5;13.9;;;27.6;;;;33.6;;33.6
207;Wo (bachelor);2007;121.2;42.2;43.9;43.9;14.7;;;29.2;;;;35.2;;35.2
208;Wo (bachelor);2008;126.0;44.6;45.5;45.5;15.3;;;30.2;;;;35.9;;35.9
209;Wo (bachelor);2009;132.2;47.1;49.5;49.5;16.6;;;32.9;;;;35.7;;35.7
210;Wo (bachelor);2010;135.8;47.4;50.5;50.5;16.9;;;33.6;;;;37.9;;37.9
211;Wo (bachelor);2011;132.5;47.2;49.8;49.8;16.7;;;33.1;;;;35.5;;35.5
212;Wo (bachelor);2012;137.8;47.7;50.4;50.4;16.9;;;33.5;;;;39.7;;39.7
213;Wo (bachelor);2013;141.4;49.5;52.0;52.0;17.4;;;34.5;;;;39.9;;39.9
214;Wo (bachelor);2014;136.9;48.7;50.1;50.1;16.8;;;33.3;;;;38.1;;38.1
215;Wo (bachelor);2015;140.1;50.3;51.0;51.0;17.1;;;33.9;;;;38.7;;38.7
216;Wo (master);1998;95.6;25.1;28.6;28.6;9.6;;;19.0;;;;42.0;;42.0
217;Wo (master);1999;105.7;26.6;31.5;31.5;10.6;;;20.9;;;;47.7;;47.7
218;Wo (master);2000;109.1;29.6;34.1;34.1;11.4;;;22.6;;;;45.4;;45.4
219;Wo (master);2001;114.7;33.5;37.6;37.6;12.6;;;25.0;;;;43.6;;43.6
220;Wo (master);2002;122.5;36.8;39.2;39.2;13.1;;;26.0;;;;46.5;;46.5
221;Wo (master);2003;125.7;39.8;39.5;39.5;13.2;;;26.2;;;;46.3;;46.3
222;Wo (master);2004;129.3;39.6;40.9;40.9;13.7;;;27.2;;;;48.8;;48.8
223;Wo (master);2005;130.3;41.4;41.8;41.8;14.0;;;27.8;;;;47.1;;47.1
224;Wo (master);2006;131.4;41.9;41.5;41.5;13.9;;;27.6;;;;48.1;;48.1
225;Wo (master);2007;136.3;42.2;43.9;43.9;14.7;;;29.2;;;;50.2;;50.2
226;Wo (master);2008;141.4;44.6;45.5;45.5;15.3;;;30.2;;;;51.3;;51.3
227;Wo (master);2009;147.5;47.1;49.5;49.5;16.6;;;32.9;;;;51.0;;51.0
228;Wo (master);2010;152.0;47.4;50.5;50.5;16.9;;;33.6;;;;54.1;;54.1
229;Wo (master);2011;147.8;47.2;49.8;49.8;16.7;;;33.1;;;;50.8;;50.8
230;Wo (master);2012;154.8;47.7;50.4;50.4;16.9;;;33.5;;;;56.7;;56.7
231;Wo (master);2013;158.5;49.5;52.0;52.0;17.4;;;34.5;;;;57.0;;57.0
232;Wo (master);2014;153.3;48.7;50.1;50.1;16.8;;;33.3;;;;54.5;;54.5
233;Wo (master);2015;156.7;50.3;51.0;51.0;17.1;;;33.9;;;;55.4;;55.4
