ID;Sex;Age;Nationality;Periods;TotalAsylumRequests_1;FirstAsylumRequestsPersons_2;SubsequentAsylumRequests_3;FamilyReunificationPersons_4
30;Total male and female ;Total;Total;2014 November;1455;1255;200;695
31;Total male and female ;Total;Total;2014 December;1460;1230;230;845
32;Total male and female ;Total;Total;2014 4th Quarter;5165;4385;775;2100
33;Total male and female ;Total;Total;2014;24535;21810;2725;5355
34;Total male and female ;Total;Total;2015 January;1060;895;170;700
35;Total male and female ;Total;Total;2015 February;960;735;220;580
36;Total male and female ;Total;Total;2015 March;990;805;185;555
37;Total male and female ;Total;Total;2015 1st Quarter;3010;2435;575;1840
38;Total male and female ;Total;Total;2015 April;1320;1140;185;570
39;Total male and female ;Total;Total;2015 May;2375;2250;120;995
40;Total male and female ;Total;Total;2015 June;3060;2925;135;1245
41;Total male and female ;Total;Total;2015 2nd Quarter;6755;6315;440;2805
42;Total male and female ;Total;Total;2015 July;3145;2980;160;1645
43;Total male and female ;Total;Total;2015 August;5470;5330;140;1610
44;Total male and female ;Total;Total;2015 September;6625;6435;195;1970
45;Total male and female ;Total;Total;2015 3rd Quarter;15240;14745;495;5220
46;Total male and female ;Total;Total;2015 October;10135;9980;155;1740
47;Total male and female ;Total;Total;2015 November;6375;6240;135;1065
48;Total male and female ;Total;Total;2015 December;3520;3380;140;1175
49;Total male and female ;Total;Total;2015 4th Quarter;20030;19600;430;3980
50;Total male and female ;Total;Total;2015;45035;43095;1940;13845
51;Total male and female ;Total;Total;2016 January;2685;2565;115;785
52;Total male and female ;Total;Total;2016 February;1930;1795;135;685
53;Total male and female ;Total;Total;2016 March;1335;1220;115;440
54;Total male and female ;Total;Total;2016 1st Quarter;5950;5580;365;1910
55;Total male and female ;Total;Total;2016 April;1115;985;130;400
56;Total male and female ;Total;Total;2016 May;1115;980;135;445
57;Total male and female ;Total;Total;2016 June;1270;1115;150;460
58;Total male and female ;Total;Total;2016 2nd Quarter;3500;3080;415;1305
59;Total male and female ;Total;Total;2016 July;1695;1535;165;665
60;Total male and female ;Total;Total;2016 August;1910;1765;150;705
61;Total male and female ;Total;Total;2016 September;2005;1890;115;1230
62;Total male and female ;Total;Total;2016 3rd Quarter;5615;5185;430;2605
63;Total male and female ;Total;Total;2016 October;2185;2050;135;1550
64;Total male and female ;Total;Total;2016 November;2075;1925;150;2125
65;Total male and female ;Total;Total;2016 December;1705;1540;160;2315
66;Total male and female ;Total;Total;2016 4th Quarter;5965;5520;445;5995
67;Total male and female ;Total;Total;2016;21025;19370;1655;11815
68;Total male and female ;Total;Total;2017 January;1555;1385;170;1275
69;Total male and female ;Total;Total;2017 February;1425;1275;150;2115
70;Total male and female ;Total;Total;2017 March;1540;1370;170;1910
71;Total male and female ;Total;Total;2017 1st Quarter;4520;4030;495;5300
72;Total male and female ;Total;Total;2017 April;1320;1160;155;1685
73;Total male and female ;Total;Total;2017 May;1445;1285;160;1475
74;Total male and female ;Total;Total;2017 June;1520;1345;175;935
75;Total male and female ;Total;Total;2017 2nd Quarter;4285;3795;495;4095
76;Total male and female ;Total;Total;2017 July;1740;1530;210;765
77;Total male and female ;Total;Total;2017 August;1615;1435;180;755
78;Total male and female ;Total;Total;2017 September;1590;1400;195;745
79;Total male and female ;Total;Total;2017 3rd Quarter;4945;4365;580;2260
80;Total male and female ;Total;Total;2017 October;1505;1310;190;905
81;Total male and female ;Total;Total;2017 November;1485;1300;185;935
82;Total male and female ;Total;Total;2017 December;1520;1345;180;995
83;Total male and female ;Total;Total;2017 4th Quarter;4510;3955;555;2835
84;Total male and female ;Total;Total;2017;18265;16145;2120;14490
85;Total male and female ;Total;Total;2018 January;1760;1560;200;700
86;Total male and female ;Total;Total;2018 February;1465;1200;260;705
87;Total male and female ;Total;Total;2018 March;1625;1390;235;735
88;Total male and female ;Total;Total;2018 1st Quarter;4845;4155;690;2140
89;Total male and female ;Total;Total;2018 April;1680;1450;230;620
90;Total male and female ;Total;Total;2018 May;1795;1575;220;815
91;Total male and female ;Total;Total;2018 June;1515;1295;220;540
92;Total male and female ;Total;Total;2018 2nd Quarter;4990;4320;670;1970
93;Total male and female ;Total;Total;2018 July;2285;1930;355;565
94;Total male and female ;Total;Total;2018 August;2500;2025;475;370
95;Total male and female ;Total;Total;2018 September;2650;2250;400;350
96;Total male and female ;Total;Total;2018 3rd Quarter;7435;6205;1230;1280
97;Total male and female ;Total;Total;2018 October;2540;2225;315;350
98;Total male and female ;Total;Total;2018 November;2180;1840;340;410
99;Total male and female ;Total;Total;2018 December;2090;1770;320;315
100;Total male and female ;Total;Total;2018 4th Quarter;6810;5835;970;1070
101;Total male and female ;Total;Total;2018;24075;20510;3565;6465
102;Total male and female ;Total;Total;2019 January;2145;1850;300;270
103;Total male and female ;Total;Total;2019 February;1935;1660;280;340
104;Total male and female ;Total;Total;2019 March;2185;1875;310;230
105;Total male and female ;Total;Total;2019 1st Quarter;6270;5380;890;845
106;Total male and female ;Total;Total;2019 April;2120;1860;260;215
107;Total male and female ;Total;Total;2019 May;1940;1645;295;255
108;Total male and female ;Total;Total;2019 June;1930;1685;250;415
109;Total male and female ;Total;Total;2019 2nd Quarter;5990;5190;800;890
110;Total male and female ;Total;Total;2019 July;2170;1960;215;460
111;Total male and female ;Total;Total;2019 August;2030;1880;150;320
112;Total male and female ;Total;Total;2019 September;2205;2030;175;425
113;Total male and female ;Total;Total;2019 3rd Quarter;6405;5870;535;1200
114;Total male and female ;Total;Total;2019 October;2290;2090;200;400
115;Total male and female ;Total;Total;2019 November;2205;2075;135;360
116;Total male and female ;Total;Total;2019 December;2100;1935;170;480
117;Total male and female ;Total;Total;2019 4th Quarter;6600;6100;500;1245
118;Total male and female ;Total;Total;2019;25265;22540;2725;4180
119;Total male and female ;Total;Total;2020 January;2120;1955;165;465
120;Total male and female ;Total;Total;2020 February;1675;1505;165;475
121;Total male and female ;Total;Total;2020 March;1100;1010;90;125
122;Total male and female ;Total;Total;2020 1st Quarter;4890;4470;425;1065
123;Total male and female ;Total;Total;2020 April;290;270;20;150
124;Total male and female ;Total;Total;2020 May;360;340;25;50
125;Total male and female ;Total;Total;2020 June;825;650;175;60
126;Total male and female ;Total;Total;2020 2nd Quarter;1475;1255;220;260
127;Total male and female ;Total;Total;2020 July;1420;1195;225;240
128;Total male and female ;Total;Total;2020 August;1555;1420;135;270
129;Total male and female ;Total;Total;2020 September;1645;1490;155;350
130;Total male and female ;Total;Total;2020 3rd Quarter;4620;4100;515;860
131;Total male and female ;Total;Total;2020 October;1550;1405;145;495
132;Total male and female ;Total;Total;2020 November;1380;1225;155;635
133;Total male and female ;Total;Total;2020 December;1400;1265;135;545
134;Total male and female ;Total;Total;2020 4th Quarter;4330;3895;435;1680
135;Total male and female ;Total;Total;2020;15320;13720;1595;3865
136;Total male and female ;Total;Total;2021 January;1035;920;115;365
137;Total male and female ;Total;Total;2021 February;900;780;120;475
138;Total male and female ;Total;Total;2021 March;1165;1020;145;670
139;Total male and female ;Total;Total;2021 1st Quarter;3100;2720;380;1510
140;Total male and female ;Total;Total;2021 April;1045;905;140;885
141;Total male and female ;Total;Total;2021 May;1085;950;135;830
142;Total male and female ;Total;Total;2021 June;1590;1485;105;885
143;Total male and female ;Total;Total;2021 2nd Quarter;3720;3340;375;2600
144;Total male and female ;Total;Total;2021 July;2265;2120;145;1075
145;Total male and female ;Total;Total;2021 August;2950;2745;205;770
146;Total male and female ;Total;Total;2021 September;4155;3950;205;935
147;Total male and female ;Total;Total;2021 3rd Quarter;9370;8815;555;2780
148;Total male and female ;Total;Total;2021 October;4060;3870;190;1210
149;Total male and female ;Total;Total;2021 November;3745;3580;165;835
150;Total male and female ;Total;Total;2021 December;2565;2415;145;1185
151;Total male and female ;Total;Total;2021 4th Quarter;10370;9870;500;3230
152;Total male and female ;Total;Total;2021;26555;24740;1815;10120
153;Total male and female ;Total;Total;2022 January;2075;1960;115;655
154;Total male and female ;Total;Total;2022 February;1740;1600;140;775
155;Total male and female ;Total;Total;2022 March;3035;2895;140;1135
156;Total male and female ;Total;Total;2022 1st Quarter;6845;6450;395;2570
157;Total male and female ;Total;Total;2022 April;2365;2220;145;850
158;Total male and female ;Total;Total;2022 May;2650;2530;125;915
159;Total male and female ;Total;Total;2022 June;2700;2575;125;1400
160;Total male and female ;Total;Total;2022 2nd Quarter;7720;7325;395;3165
161;Total male and female ;Total;Total;2022 July;2870;2745;125;1615
162;Total male and female ;Total;Total;2022 August;3955;3840;115;1065
163;Total male and female ;Total;Total;2022 September;4525;4435;90;965
164;Total male and female ;Total;Total;2022 3th Quarter;11350;11015;330;3650
165;Total male and female ;Total;Total;2022 October;4205;4075;130;660
166;Total male and female ;Total;Total;2022 November ;4200;4070;130;380
167;Total male and female ;Total;Total;2022 December;2745;2595;150;500
168;Total male and female ;Total;Total;2022 4th Quarter;11150;10745;410;1545
169;Total male and female ;Total;Total;2022;37065;35535;1530;10925
170;Total male and female ;Total;Total;2023 January;2600;2485;115;395
171;Total male and female ;Total;Total;2023 February;2330;2215;115;510
172;Total male and female ;Total;Total;2023 March;2370;2240;125;1000
173;Total male and female ;Total;Total;2023 1st Quarter;7300;6940;360;1905
174;Total male and female ;Total;Total;2023 April;2465;2355;110;810
175;Total male and female ;Total;Total;2023 May;2680;2555;120;930
176;Total male and female ;Total;Total;2023 June;3145;3040;105;895
177;Total male and female ;Total;Total;2023 2nd Quarter;8290;7950;335;2630
178;Total male and female ;Total;Total;2023 July;3695;3565;130;850
179;Total male and female ;Total;Total;2023 August;3440;3310;125;800
180;Total male and female ;Total;Total;2023 September;3735;3630;100;950
181;Total male and female ;Total;Total;2023 3rd Quarter;10870;10510;360;2600
182;Total male and female ;Total;Total;2023 October;5130;5010;120;910
183;Total male and female ;Total;Total;2023 November;4255;4135;120;1140
184;Total male and female ;Total;Total;2023 December;3925;3830;100;940
185;Total male and female ;Total;Total;2023 4th Quarter;13310;12975;335;2990
186;Total male and female ;Total;Total;2023;39765;38375;1390;10125
187;Total male and female ;Total;Total;2024 January;3405;3255;145;975
188;Total male and female ;Total;Total;2024 February;2835;2690;140;1070
189;Total male and female ;Total;Total;2024 March;3185;3060;125;1050
190;Total male and female ;Total;Total;2024 1st Quarter;9420;9005;410;3100
191;Total male and female ;Total;Total;2024 April;3005;2880;125;940
192;Total male and female ;Total;Total;2024 May;2955;2825;130;970
193;Total male and female ;Total;Total;2024 June;2160;2045;115;915
194;Total male and female ;Total;Total;2024 2nd Quarter;8125;7755;370;2825
195;Total male and female ;Total;Total;2024 July;2765;2610;155;920
196;Total male and female ;Total;Total;2024 August;2760;2635;130;775
197;Total male and female ;Total;Total;2024 September;3085;2930;155;970
198;Total male and female ;Total;Total;2024 3rd Quarter;8610;8175;435;2660
199;Total male and female ;Total;Total;2024 October;2890;2740;155;1080
200;Total male and female ;Total;Total;2024 November;2460;2360;95;1120
201;Total male and female ;Total;Total;2024 December;2255;2140;115;1090
202;Total male and female ;Total;Total;2024 4th Quarter;7605;7240;365;3290
203;Total male and female ;Total;Total;2024;33760;32175;1585;11880
204;Total male and female ;Total;Total;2025 January;1785;1650;135;1290
205;Total male and female ;Total;Total;2025 February;1670;1545;125;1220
206;Total male and female ;Total;Afghan;2013 January;120;50;70;20
207;Total male and female ;Total;Afghan;2013 February;105;40;65;15
208;Total male and female ;Total;Afghan;2013 March;130;40;85;15
209;Total male and female ;Total;Afghan;2013 1st Quarter;355;135;220;45
210;Total male and female ;Total;Afghan;2013 April;130;55;75;10
211;Total male and female ;Total;Afghan;2013 May;130;30;95;20
212;Total male and female ;Total;Afghan;2013 June;120;25;95;5
213;Total male and female ;Total;Afghan;2013 2nd Quarter;380;110;270;35
214;Total male and female ;Total;Afghan;2013 July;140;50;90;30
215;Total male and female ;Total;Afghan;2013 August;90;25;65;5
216;Total male and female ;Total;Afghan;2013 September;105;30;70;15
217;Total male and female ;Total;Afghan;2013 3rd Quarter;335;110;225;50
218;Total male and female ;Total;Afghan;2013 October;130;50;80;10
219;Total male and female ;Total;Afghan;2013 November;95;20;75;10
220;Total male and female ;Total;Afghan;2013 December;75;30;45;5
221;Total male and female ;Total;Afghan;2013 4th Quarter;300;100;200;25
222;Total male and female ;Total;Afghan;2013;1365;455;910;155
223;Total male and female ;Total;Afghan;2014 January;75;50;20;5
224;Total male and female ;Total;Afghan;2014 February;90;40;50;10
225;Total male and female ;Total;Afghan;2014 March;65;25;40;0
226;Total male and female ;Total;Afghan;2014 1st Quarter;225;115;110;15
227;Total male and female ;Total;Afghan;2014 April;80;50;30;5
228;Total male and female ;Total;Afghan;2014 May;55;25;30;20
229;Total male and female ;Total;Afghan;2014 June;85;40;45;5
230;Total male and female ;Total;Afghan;2014 2nd Quarter;215;115;105;30
231;Total male and female ;Total;Afghan;2014 July;55;25;30;10
232;Total male and female ;Total;Afghan;2014 August;80;50;30;5
233;Total male and female ;Total;Afghan;2014 September;80;55;25;0
234;Total male and female ;Total;Afghan;2014 3rd Quarter;215;125;90;10
235;Total male and female ;Total;Afghan;2014 October;75;35;40;5
236;Total male and female ;Total;Afghan;2014 November;80;30;50;10
237;Total male and female ;Total;Afghan;2014 December;65;35;30;25
238;Total male and female ;Total;Afghan;2014 4th Quarter;220;95;125;40
239;Total male and female ;Total;Afghan;2014;880;450;425;100
240;Total male and female ;Total;Afghan;2015 January;70;35;35;20
241;Total male and female ;Total;Afghan;2015 February;70;35;35;10
242;Total male and female ;Total;Afghan;2015 March;65;30;35;5
243;Total male and female ;Total;Afghan;2015 1st Quarter;205;95;110;35
244;Total male and female ;Total;Afghan;2015 April;75;45;30;5
245;Total male and female ;Total;Afghan;2015 May;75;40;35;10
246;Total male and female ;Total;Afghan;2015 June;70;50;20;5
247;Total male and female ;Total;Afghan;2015 2nd Quarter;220;135;85;15
248;Total male and female ;Total;Afghan;2015 July;95;65;30;0
249;Total male and female ;Total;Afghan;2015 August;150;140;10;10
250;Total male and female ;Total;Afghan;2015 September;180;160;20;5
251;Total male and female ;Total;Afghan;2015 3rd Quarter;425;365;60;15
252;Total male and female ;Total;Afghan;2015 October;470;445;25;5
253;Total male and female ;Total;Afghan;2015 November;900;885;15;10
254;Total male and female ;Total;Afghan;2015 December;640;625;15;0
255;Total male and female ;Total;Afghan;2015 4th Quarter;2010;1950;55;20
256;Total male and female ;Total;Afghan;2015;2860;2550;310;85
257;Total male and female ;Total;Afghan;2016 January;400;385;15;5
258;Total male and female ;Total;Afghan;2016 February;185;160;25;5
259;Total male and female ;Total;Afghan;2016 March;65;50;15;5
260;Total male and female ;Total;Afghan;2016 1st Quarter;650;595;55;20
261;Total male and female ;Total;Afghan;2016 April;65;50;15;5
262;Total male and female ;Total;Afghan;2016 May;95;55;40;10
263;Total male and female ;Total;Afghan;2016 June;100;60;40;5
264;Total male and female ;Total;Afghan;2016 2nd Quarter;260;165;95;20
265;Total male and female ;Total;Afghan;2016 July;95;55;40;0
266;Total male and female ;Total;Afghan;2016 August;95;60;35;5
267;Total male and female ;Total;Afghan;2016 September;70;45;25;5
268;Total male and female ;Total;Afghan;2016 3rd Quarter;260;160;100;10
269;Total male and female ;Total;Afghan;2016 October;75;35;40;0
270;Total male and female ;Total;Afghan;2016 November;65;40;25;0
271;Total male and female ;Total;Afghan;2016 December;75;35;40;10
272;Total male and female ;Total;Afghan;2016 4th Quarter;215;110;105;15
273;Total male and female ;Total;Afghan;2016;1385;1025;360;65
274;Total male and female ;Total;Afghan;2017 January;75;40;35;5
275;Total male and female ;Total;Afghan;2017 February;85;30;55;5
276;Total male and female ;Total;Afghan;2017 March;70;30;40;5
277;Total male and female ;Total;Afghan;2017 1st Quarter;230;100;130;15
278;Total male and female ;Total;Afghan;2017 April;70;30;40;10
279;Total male and female ;Total;Afghan;2017 May;65;30;35;15
280;Total male and female ;Total;Afghan;2017 June;75;35;40;5
281;Total male and female ;Total;Afghan;2017 2nd Quarter;210;95;115;35
282;Total male and female ;Total;Afghan;2017 July;100;30;70;0
283;Total male and female ;Total;Afghan;2017 August;55;30;30;0
284;Total male and female ;Total;Afghan;2017 September;45;10;35;5
285;Total male and female ;Total;Afghan;2017 3rd Quarter;205;65;135;5
286;Total male and female ;Total;Afghan;2017 October;60;25;35;15
287;Total male and female ;Total;Afghan;2017 November;45;15;30;5
288;Total male and female ;Total;Afghan;2017 December;40;20;25;15
289;Total male and female ;Total;Afghan;2017 4th Quarter;145;60;85;30
290;Total male and female ;Total;Afghan;2017;785;320;465;85
291;Total male and female ;Total;Afghan;2018 January;50;20;30;10
292;Total male and female ;Total;Afghan;2018 February;85;20;70;15
293;Total male and female ;Total;Afghan;2018 March;60;25;35;35
294;Total male and female ;Total;Afghan;2018 1st Quarter;195;65;130;55
295;Total male and female ;Total;Afghan;2018 April;70;20;45;25
296;Total male and female ;Total;Afghan;2018 May;65;20;45;30
297;Total male and female ;Total;Afghan;2018 June;85;25;60;15
298;Total male and female ;Total;Afghan;2018 2nd Quarter;220;65;150;70
299;Total male and female ;Total;Afghan;2018 July;75;25;45;40
300;Total male and female ;Total;Afghan;2018 August;135;50;90;25
301;Total male and female ;Total;Afghan;2018 September;110;45;70;20
302;Total male and female ;Total;Afghan;2018 3rd Quarter;320;120;205;80
303;Total male and female ;Total;Afghan;2018 October;85;35;50;15
304;Total male and female ;Total;Afghan;2018 November;80;30;50;20
305;Total male and female ;Total;Afghan;2018 December;60;15;45;5
306;Total male and female ;Total;Afghan;2018 4th Quarter;225;75;145;40
307;Total male and female ;Total;Afghan;2018;960;325;635;250
308;Total male and female ;Total;Afghan;2019 January;60;20;40;10
309;Total male and female ;Total;Afghan;2019 February;50;25;30;10
310;Total male and female ;Total;Afghan;2019 March;60;25;40;10
311;Total male and female ;Total;Afghan;2019 1st Quarter;175;65;110;30
312;Total male and female ;Total;Afghan;2019 April;65;30;35;0
313;Total male and female ;Total;Afghan;2019 May;80;35;45;15
314;Total male and female ;Total;Afghan;2019 June;55;20;35;5
315;Total male and female ;Total;Afghan;2019 2nd Quarter;200;85;115;20
316;Total male and female ;Total;Afghan;2019 July;70;30;40;5
317;Total male and female ;Total;Afghan;2019 August;80;60;25;10
318;Total male and female ;Total;Afghan;2019 September;65;50;15;20
319;Total male and female ;Total;Afghan;2019 3rd Quarter;215;135;75;35
320;Total male and female ;Total;Afghan;2019 October;70;45;25;5
321;Total male and female ;Total;Afghan;2019 November;50;40;15;5
322;Total male and female ;Total;Afghan;2019 December;80;60;15;10
323;Total male and female ;Total;Afghan;2019 4th Quarter;205;150;55;20
324;Total male and female ;Total;Afghan;2019;790;435;355;100
325;Total male and female ;Total;Afghan;2020 January;105;80;30;5
326;Total male and female ;Total;Afghan;2020 February;70;40;25;10
327;Total male and female ;Total;Afghan;2020 March;50;40;15;5
328;Total male and female ;Total;Afghan;2020 1st Quarter;225;155;70;20
329;Total male and female ;Total;Afghan;2020 April;10;5;5;0
330;Total male and female ;Total;Afghan;2020 May;5;5;0;0
331;Total male and female ;Total;Afghan;2020 June;40;10;30;0
332;Total male and female ;Total;Afghan;2020 2nd Quarter;55;20;35;0
333;Total male and female ;Total;Afghan;2020 July;35;20;15;0
334;Total male and female ;Total;Afghan;2020 August;55;35;20;5
335;Total male and female ;Total;Afghan;2020 September;20;15;5;5
336;Total male and female ;Total;Afghan;2020 3rd Quarter;110;70;40;10
337;Total male and female ;Total;Afghan;2020 October;65;50;15;5
338;Total male and female ;Total;Afghan;2020 November;45;35;15;0
339;Total male and female ;Total;Afghan;2020 December;65;55;10;5
340;Total male and female ;Total;Afghan;2020 4th Quarter;175;140;35;5
341;Total male and female ;Total;Afghan;2020;570;390;180;35
342;Total male and female ;Total;Afghan;2021 January;45;30;15;0
343;Total male and female ;Total;Afghan;2021 February;55;35;20;10
344;Total male and female ;Total;Afghan;2021 March;100;80;20;20
345;Total male and female ;Total;Afghan;2021 1st Quarter;200;145;55;30
346;Total male and female ;Total;Afghan;2021 April;80;70;10;0
347;Total male and female ;Total;Afghan;2021 May;45;40;5;0
348;Total male and female ;Total;Afghan;2021 June;100;100;5;15
349;Total male and female ;Total;Afghan;2021 2nd Quarter;230;210;20;20
350;Total male and female ;Total;Afghan;2021 July;125;110;20;5
351;Total male and female ;Total;Afghan;2021 August;325;255;70;5
352;Total male and female ;Total;Afghan;2021 September;1270;1195;80;10
353;Total male and female ;Total;Afghan;2021 3rd Quarter;1725;1560;165;20
354;Total male and female ;Total;Afghan;2021 October;485;455;30;10
355;Total male and female ;Total;Afghan;2021 November;480;460;20;15
356;Total male and female ;Total;Afghan;2021 December;190;180;10;25
357;Total male and female ;Total;Afghan;2021 4th Quarter;1155;1095;65;50
358;Total male and female ;Total;Afghan;2021;3305;3005;300;120
359;Total male and female ;Total;Afghan;2022 January;130;125;5;15
360;Total male and female ;Total;Afghan;2022 February;105;95;15;5
361;Total male and female ;Total;Afghan;2022 March;520;505;15;25
362;Total male and female ;Total;Afghan;2022 1st Quarter;755;725;30;40
363;Total male and female ;Total;Afghan;2022 April;305;305;0;5
364;Total male and female ;Total;Afghan;2022 May;130;120;10;15
365;Total male and female ;Total;Afghan;2022 June;205;205;0;5
366;Total male and female ;Total;Afghan;2022 2nd Quarter;640;630;10;25
367;Total male and female ;Total;Afghan;2022 July;310;305;0;10
368;Total male and female ;Total;Afghan;2022 August;535;530;0;20
369;Total male and female ;Total;Afghan;2022 September;245;245;0;10
370;Total male and female ;Total;Afghan;2022 3th Quarter;1085;1080;5;45
371;Total male and female ;Total;Afghan;2022 October;120;120;0;20
372;Total male and female ;Total;Afghan;2022 November ;115;110;5;15
373;Total male and female ;Total;Afghan;2022 December;70;70;5;20
374;Total male and female ;Total;Afghan;2022 4th Quarter;310;300;10;55
375;Total male and female ;Total;Afghan;2022;2785;2730;55;160
376;Total male and female ;Total;Afghan;2023 January;65;65;0;20
377;Total male and female ;Total;Afghan;2023 February;85;85;0;10
378;Total male and female ;Total;Afghan;2023 March;40;40;0;20
379;Total male and female ;Total;Afghan;2023 1st Quarter;195;190;5;55
380;Total male and female ;Total;Afghan;2023 April;40;40;0;20
381;Total male and female ;Total;Afghan;2023 May;50;50;0;25
382;Total male and female ;Total;Afghan;2023 June;60;60;0;15
383;Total male and female ;Total;Afghan;2023 2nd Quarter;155;155;0;65
384;Total male and female ;Total;Afghan;2023 July;55;55;0;15
385;Total male and female ;Total;Afghan;2023 August;40;40;0;0
386;Total male and female ;Total;Afghan;2023 September;55;55;0;30
387;Total male and female ;Total;Afghan;2023 3rd Quarter;150;150;0;45
388;Total male and female ;Total;Afghan;2023 October;60;60;0;10
389;Total male and female ;Total;Afghan;2023 November;65;65;0;5
390;Total male and female ;Total;Afghan;2023 December;55;55;0;10
391;Total male and female ;Total;Afghan;2023 4th Quarter;180;180;0;25
392;Total male and female ;Total;Afghan;2023;680;670;10;190
393;Total male and female ;Total;Afghan;2024 January;60;55;5;10
394;Total male and female ;Total;Afghan;2024 February;35;35;0;0
395;Total male and female ;Total;Afghan;2024 March;30;30;0;30
396;Total male and female ;Total;Afghan;2024 1st Quarter;125;120;5;40
397;Total male and female ;Total;Afghan;2024 April;30;30;0;20
398;Total male and female ;Total;Afghan;2024 May;45;40;0;15
399;Total male and female ;Total;Afghan;2024 June;35;35;5;10
400;Total male and female ;Total;Afghan;2024 2nd Quarter;110;105;5;45
401;Total male and female ;Total;Afghan;2024 July;50;50;0;20
402;Total male and female ;Total;Afghan;2024 August;45;40;5;10
403;Total male and female ;Total;Afghan;2024 September;55;55;0;10
404;Total male and female ;Total;Afghan;2024 3rd Quarter;145;140;5;35
405;Total male and female ;Total;Afghan;2024 October;30;30;0;10
406;Total male and female ;Total;Afghan;2024 November;40;40;0;20
407;Total male and female ;Total;Afghan;2024 December;55;55;0;15
408;Total male and female ;Total;Afghan;2024 4th Quarter;125;125;0;40
409;Total male and female ;Total;Afghan;2024;505;490;15;160
410;Total male and female ;Total;Afghan;2025 January;25;20;0;10
411;Total male and female ;Total;Afghan;2025 February;45;40;0;15
412;Total male and female ;Total;Albanian;2013 January;0;0;0;0
413;Total male and female ;Total;Albanian;2013 February;5;5;0;0
414;Total male and female ;Total;Albanian;2013 March;0;0;0;0
415;Total male and female ;Total;Albanian;2013 1st Quarter;5;5;0;0
416;Total male and female ;Total;Albanian;2013 April;0;0;0;0
417;Total male and female ;Total;Albanian;2013 May;5;5;0;0
418;Total male and female ;Total;Albanian;2013 June;5;5;0;0
419;Total male and female ;Total;Albanian;2013 2nd Quarter;10;10;0;0
420;Total male and female ;Total;Albanian;2013 July;0;0;0;0
421;Total male and female ;Total;Albanian;2013 August;5;0;0;0
422;Total male and female ;Total;Albanian;2013 September;0;0;0;0
423;Total male and female ;Total;Albanian;2013 3rd Quarter;5;0;5;0
424;Total male and female ;Total;Albanian;2013 October;10;10;0;0
425;Total male and female ;Total;Albanian;2013 November;5;5;0;0
426;Total male and female ;Total;Albanian;2013 December;0;0;0;0
427;Total male and female ;Total;Albanian;2013 4th Quarter;15;15;0;0
428;Total male and female ;Total;Albanian;2013;35;30;5;0
429;Total male and female ;Total;Albanian;2014 January;5;5;0;0
430;Total male and female ;Total;Albanian;2014 February;10;10;0;0
431;Total male and female ;Total;Albanian;2014 March;10;10;0;0
432;Total male and female ;Total;Albanian;2014 1st Quarter;25;25;0;0
433;Total male and female ;Total;Albanian;2014 April;0;0;0;0
434;Total male and female ;Total;Albanian;2014 May;5;5;0;0
435;Total male and female ;Total;Albanian;2014 June;5;0;0;0
436;Total male and female ;Total;Albanian;2014 2nd Quarter;10;10;5;0
437;Total male and female ;Total;Albanian;2014 July;10;10;0;0
438;Total male and female ;Total;Albanian;2014 August;5;5;0;0
439;Total male and female ;Total;Albanian;2014 September;10;10;0;0
440;Total male and female ;Total;Albanian;2014 3rd Quarter;25;25;0;0
