ID;Voertuigcategorie;BouwjaarVoertuig;Wegtype;CO_1;VOS_2;NOx_3;PM10_4
60;Personenauto-diesel;Bouwjaargroep 1999 en ouder;Bebouwde kom;1.22;0.24;0.89;0.234
61;Personenauto-diesel;Bouwjaargroep 1999 en ouder;Buitenwegen;0.39;0.09;0.55;0.112
62;Personenauto-diesel;Bouwjaargroep 1999 en ouder;Autosnelwegen;0.31;0.07;0.65;0.138
63;Personenauto-diesel;2000;Bebouwde kom;0.73;0.11;0.96;0.087
64;Personenauto-diesel;2000;Buitenwegen;0.21;0.03;0.55;0.036
65;Personenauto-diesel;2000;Autosnelwegen;0.04;0.01;0.52;0.082
66;Personenauto-diesel;2001;Bebouwde kom;0.6;0.05;0.89;0.06
67;Personenauto-diesel;2001;Buitenwegen;0.17;0.01;0.55;0.026
68;Personenauto-diesel;2001;Autosnelwegen;0.01;0.0;0.54;0.058
69;Personenauto-diesel;2002;Bebouwde kom;0.6;0.05;0.89;0.06
70;Personenauto-diesel;2002;Buitenwegen;0.17;0.01;0.55;0.026
71;Personenauto-diesel;2002;Autosnelwegen;0.01;0.0;0.54;0.058
72;Personenauto-diesel;2003;Bebouwde kom;0.6;0.05;0.89;0.06
73;Personenauto-diesel;2003;Buitenwegen;0.17;0.01;0.55;0.026
74;Personenauto-diesel;2003;Autosnelwegen;0.01;0.0;0.54;0.058
75;Personenauto-diesel;2004;Bebouwde kom;0.6;0.05;0.89;0.06
76;Personenauto-diesel;2004;Buitenwegen;0.17;0.01;0.55;0.026
77;Personenauto-diesel;2004;Autosnelwegen;0.01;0.0;0.54;0.058
78;Personenauto-diesel;2005;Bebouwde kom;0.25;0.02;0.51;0.02
79;Personenauto-diesel;2005;Buitenwegen;0.14;0.01;0.38;0.012
80;Personenauto-diesel;2005;Autosnelwegen;0.03;0.0;0.39;0.028
81;Personenauto-diesel;2006;Bebouwde kom;0.25;0.02;0.51;0.02
82;Personenauto-diesel;2006;Buitenwegen;0.14;0.01;0.38;0.012
83;Personenauto-diesel;2006;Autosnelwegen;0.03;0.0;0.39;0.028
84;Personenauto-diesel;2007;Bebouwde kom;0.25;0.02;0.51;0.02
85;Personenauto-diesel;2007;Buitenwegen;0.14;0.01;0.38;0.012
86;Personenauto-diesel;2007;Autosnelwegen;0.03;0.0;0.39;0.028
87;Personenauto-diesel;2008;Bebouwde kom;0.25;0.02;0.51;0.02
88;Personenauto-diesel;2008;Buitenwegen;0.14;0.01;0.38;0.012
89;Personenauto-diesel;2008;Autosnelwegen;0.03;0.0;0.39;0.028
90;Personenauto-LPG;Bouwjaargroep 1999 en ouder;Bebouwde kom;7.38;0.92;0.87;0.013
91;Personenauto-LPG;Bouwjaargroep 1999 en ouder;Buitenwegen;3.78;0.41;0.61;0.008
92;Personenauto-LPG;Bouwjaargroep 1999 en ouder;Autosnelwegen;1.35;0.25;0.78;0.008
93;Personenauto-LPG;2000;Bebouwde kom;5.0;0.51;0.43;0.007
94;Personenauto-LPG;2000;Buitenwegen;2.85;0.19;0.27;0.003
95;Personenauto-LPG;2000;Autosnelwegen;1.16;0.02;0.31;0.003
96;Personenauto-LPG;2001;Bebouwde kom;2.58;0.4;0.39;0.005
97;Personenauto-LPG;2001;Buitenwegen;2.57;0.17;0.2;0.002
98;Personenauto-LPG;2001;Autosnelwegen;1.0;0.01;0.15;0.002
99;Personenauto-LPG;2002;Bebouwde kom;2.58;0.4;0.39;0.005
100;Personenauto-LPG;2002;Buitenwegen;2.57;0.17;0.2;0.002
101;Personenauto-LPG;2002;Autosnelwegen;1.0;0.01;0.15;0.002
102;Personenauto-LPG;2003;Bebouwde kom;2.25;0.4;0.27;0.005
103;Personenauto-LPG;2003;Buitenwegen;2.19;0.16;0.13;0.002
104;Personenauto-LPG;2003;Autosnelwegen;0.9;0.01;0.09;0.002
105;Personenauto-LPG;2004;Bebouwde kom;2.09;0.4;0.21;0.005
106;Personenauto-LPG;2004;Buitenwegen;2.01;0.15;0.1;0.002
107;Personenauto-LPG;2004;Autosnelwegen;0.85;0.01;0.05;0.002
108;Personenauto-LPG;2005;Bebouwde kom;1.92;0.39;0.15;0.005
109;Personenauto-LPG;2005;Buitenwegen;1.82;0.15;0.06;0.002
110;Personenauto-LPG;2005;Autosnelwegen;0.8;0.01;0.02;0.002
111;Personenauto-LPG;2006;Bebouwde kom;1.92;0.39;0.15;0.005
112;Personenauto-LPG;2006;Buitenwegen;1.82;0.15;0.06;0.002
113;Personenauto-LPG;2006;Autosnelwegen;0.8;0.01;0.02;0.002
114;Personenauto-LPG;2007;Bebouwde kom;1.92;0.39;0.15;0.005
115;Personenauto-LPG;2007;Buitenwegen;1.82;0.15;0.06;0.002
116;Personenauto-LPG;2007;Autosnelwegen;0.8;0.01;0.02;0.002
117;Personenauto-LPG;2008;Bebouwde kom;1.92;0.39;0.15;0.005
118;Personenauto-LPG;2008;Buitenwegen;1.82;0.15;0.06;0.002
119;Personenauto-LPG;2008;Autosnelwegen;0.8;0.01;0.02;0.002
120;Bestelauto-benzine;Bouwjaargroep 1999 en ouder;Bebouwde kom;10.76;1.55;1.26;0.023
121;Bestelauto-benzine;Bouwjaargroep 1999 en ouder;Buitenwegen;6.99;0.65;1.27;0.013
122;Bestelauto-benzine;Bouwjaargroep 1999 en ouder;Autosnelwegen;5.0;0.44;1.8;0.014
123;Bestelauto-benzine;2000;Bebouwde kom;2.83;0.23;0.2;0.006
124;Bestelauto-benzine;2000;Buitenwegen;1.34;0.04;0.12;0.003
125;Bestelauto-benzine;2000;Autosnelwegen;1.3;0.04;0.06;0.003
126;Bestelauto-benzine;2001;Bebouwde kom;1.78;0.22;0.1;0.004
127;Bestelauto-benzine;2001;Buitenwegen;0.94;0.02;0.02;0.001
128;Bestelauto-benzine;2001;Autosnelwegen;0.63;0.01;0.04;0.001
129;Bestelauto-benzine;2002;Bebouwde kom;1.78;0.22;0.1;0.004
130;Bestelauto-benzine;2002;Buitenwegen;0.94;0.02;0.02;0.001
131;Bestelauto-benzine;2002;Autosnelwegen;0.63;0.01;0.04;0.001
132;Bestelauto-benzine;2003;Bebouwde kom;1.58;0.21;0.08;0.004
133;Bestelauto-benzine;2003;Buitenwegen;0.59;0.01;0.03;0.001
134;Bestelauto-benzine;2003;Autosnelwegen;0.54;0.01;0.03;0.001
135;Bestelauto-benzine;2004;Bebouwde kom;1.47;0.21;0.07;0.004
136;Bestelauto-benzine;2004;Buitenwegen;0.42;0.01;0.04;0.001
137;Bestelauto-benzine;2004;Autosnelwegen;0.5;0.01;0.03;0.001
138;Bestelauto-benzine;2005;Bebouwde kom;1.37;0.2;0.07;0.004
139;Bestelauto-benzine;2005;Buitenwegen;0.25;0.01;0.04;0.002
140;Bestelauto-benzine;2005;Autosnelwegen;0.46;0.01;0.02;0.002
141;Bestelauto-benzine;2006;Bebouwde kom;1.37;0.2;0.07;0.004
142;Bestelauto-benzine;2006;Buitenwegen;0.25;0.01;0.04;0.002
143;Bestelauto-benzine;2006;Autosnelwegen;0.46;0.01;0.02;0.002
144;Bestelauto-benzine;2007;Bebouwde kom;1.37;0.2;0.07;0.004
145;Bestelauto-benzine;2007;Buitenwegen;0.25;0.01;0.04;0.002
146;Bestelauto-benzine;2007;Autosnelwegen;0.46;0.01;0.02;0.002
147;Bestelauto-benzine;2008;Bebouwde kom;1.37;0.2;0.07;0.004
148;Bestelauto-benzine;2008;Buitenwegen;0.25;0.01;0.04;0.002
149;Bestelauto-benzine;2008;Autosnelwegen;0.46;0.01;0.02;0.002
150;Bestelauto-diesel;Bouwjaargroep 1999 en ouder;Bebouwde kom;1.77;0.3;1.53;0.352
151;Bestelauto-diesel;Bouwjaargroep 1999 en ouder;Buitenwegen;0.4;0.19;1.01;0.185
152;Bestelauto-diesel;Bouwjaargroep 1999 en ouder;Autosnelwegen;0.37;0.18;1.41;0.208
153;Bestelauto-diesel;2000;Bebouwde kom;0.72;0.12;1.37;0.125
154;Bestelauto-diesel;2000;Buitenwegen;0.08;0.04;0.76;0.063
155;Bestelauto-diesel;2000;Autosnelwegen;0.08;0.03;0.89;0.109
156;Bestelauto-diesel;2001;Bebouwde kom;0.51;0.05;1.27;0.099
157;Bestelauto-diesel;2001;Buitenwegen;0.02;0.01;0.79;0.042
158;Bestelauto-diesel;2001;Autosnelwegen;0.05;0.02;0.78;0.096
159;Bestelauto-diesel;2002;Bebouwde kom;0.51;0.05;1.27;0.099
160;Bestelauto-diesel;2002;Buitenwegen;0.02;0.01;0.79;0.042
161;Bestelauto-diesel;2002;Autosnelwegen;0.05;0.02;0.78;0.096
162;Bestelauto-diesel;2003;Bebouwde kom;0.51;0.05;1.27;0.099
163;Bestelauto-diesel;2003;Buitenwegen;0.02;0.01;0.79;0.042
164;Bestelauto-diesel;2003;Autosnelwegen;0.05;0.02;0.78;0.096
165;Bestelauto-diesel;2004;Bebouwde kom;0.51;0.05;1.27;0.099
166;Bestelauto-diesel;2004;Buitenwegen;0.02;0.01;0.79;0.042
167;Bestelauto-diesel;2004;Autosnelwegen;0.05;0.02;0.78;0.096
168;Bestelauto-diesel;2005;Bebouwde kom;0.15;0.02;0.73;0.062
169;Bestelauto-diesel;2005;Buitenwegen;0.02;0.0;0.54;0.035
170;Bestelauto-diesel;2005;Autosnelwegen;0.07;0.01;0.57;0.087
171;Bestelauto-diesel;2006;Bebouwde kom;0.15;0.02;0.73;0.062
172;Bestelauto-diesel;2006;Buitenwegen;0.02;0.0;0.54;0.035
173;Bestelauto-diesel;2006;Autosnelwegen;0.07;0.01;0.57;0.087
174;Bestelauto-diesel;2007;Bebouwde kom;0.15;0.02;0.73;0.062
175;Bestelauto-diesel;2007;Buitenwegen;0.02;0.0;0.54;0.035
176;Bestelauto-diesel;2007;Autosnelwegen;0.07;0.01;0.57;0.087
177;Bestelauto-diesel;2008;Bebouwde kom;0.15;0.02;0.73;0.062
178;Bestelauto-diesel;2008;Buitenwegen;0.02;0.0;0.54;0.035
179;Bestelauto-diesel;2008;Autosnelwegen;0.07;0.01;0.57;0.087
180;Bestelauto-LPG;Bouwjaargroep 1999 en ouder;Bebouwde kom;10.54;1.22;1.44;0.01
181;Bestelauto-LPG;Bouwjaargroep 1999 en ouder;Buitenwegen;9.82;0.59;1.39;0.006
182;Bestelauto-LPG;Bouwjaargroep 1999 en ouder;Autosnelwegen;3.44;0.48;2.12;0.007
183;Bestelauto-LPG;2000;Bebouwde kom;6.05;0.4;0.46;0.005
184;Bestelauto-LPG;2000;Buitenwegen;6.01;0.06;0.4;0.003
185;Bestelauto-LPG;2000;Autosnelwegen;2.73;0.06;0.46;0.003
186;Bestelauto-LPG;2001;Bebouwde kom;1.69;0.28;0.35;0.003
187;Bestelauto-LPG;2001;Buitenwegen;1.17;0.06;0.29;0.002
188;Bestelauto-LPG;2001;Autosnelwegen;2.0;0.03;0.19;0.002
189;Bestelauto-LPG;2002;Bebouwde kom;1.69;0.28;0.35;0.003
190;Bestelauto-LPG;2002;Buitenwegen;1.17;0.06;0.29;0.002
191;Bestelauto-LPG;2002;Autosnelwegen;2.0;0.03;0.19;0.002
192;Bestelauto-LPG;2003;Bebouwde kom;1.33;0.24;0.26;0.003
193;Bestelauto-LPG;2003;Buitenwegen;0.8;0.05;0.21;0.002
194;Bestelauto-LPG;2003;Autosnelwegen;1.36;0.02;0.14;0.002
195;Bestelauto-LPG;2004;Bebouwde kom;1.15;0.22;0.21;0.003
196;Bestelauto-LPG;2004;Buitenwegen;0.61;0.04;0.17;0.002
197;Bestelauto-LPG;2004;Autosnelwegen;1.03;0.02;0.11;0.002
198;Bestelauto-LPG;2005;Bebouwde kom;0.97;0.21;0.16;0.003
199;Bestelauto-LPG;2005;Buitenwegen;0.42;0.03;0.14;0.002
200;Bestelauto-LPG;2005;Autosnelwegen;0.71;0.01;0.09;0.002
201;Bestelauto-LPG;2006;Bebouwde kom;0.97;0.21;0.16;0.003
202;Bestelauto-LPG;2006;Buitenwegen;0.42;0.03;0.14;0.002
203;Bestelauto-LPG;2006;Autosnelwegen;0.71;0.01;0.09;0.002
204;Bestelauto-LPG;2007;Bebouwde kom;0.97;0.21;0.16;0.003
205;Bestelauto-LPG;2007;Buitenwegen;0.42;0.03;0.14;0.002
206;Bestelauto-LPG;2007;Autosnelwegen;0.71;0.01;0.09;0.002
207;Bestelauto-LPG;2008;Bebouwde kom;0.97;0.21;0.16;0.003
208;Bestelauto-LPG;2008;Buitenwegen;0.42;0.03;0.14;0.002
209;Bestelauto-LPG;2008;Autosnelwegen;0.71;0.01;0.09;0.002
210;Vrachtauto-diesel;Bouwjaargroep 1999 en ouder;Bebouwde kom;3.02;1.61;9.58;0.548
211;Vrachtauto-diesel;Bouwjaargroep 1999 en ouder;Buitenwegen;1.8;0.62;7.89;0.321
212;Vrachtauto-diesel;Bouwjaargroep 1999 en ouder;Autosnelwegen;1.36;0.48;7.55;0.259
213;Vrachtauto-diesel;2000;Bebouwde kom;1.98;0.57;9.69;0.184
214;Vrachtauto-diesel;2000;Buitenwegen;1.32;0.32;7.33;0.126
215;Vrachtauto-diesel;2000;Autosnelwegen;0.93;0.25;6.52;0.104
216;Vrachtauto-diesel;2001;Bebouwde kom;2.22;0.55;10.02;0.159
217;Vrachtauto-diesel;2001;Buitenwegen;1.49;0.31;7.18;0.103
218;Vrachtauto-diesel;2001;Autosnelwegen;1.05;0.24;6.5;0.08
219;Vrachtauto-diesel;2002;Bebouwde kom;2.48;0.56;10.67;0.146
220;Vrachtauto-diesel;2002;Buitenwegen;1.65;0.32;7.25;0.087
221;Vrachtauto-diesel;2002;Autosnelwegen;1.16;0.24;6.59;0.063
222;Vrachtauto-diesel;2003;Bebouwde kom;2.5;0.56;10.82;0.146
223;Vrachtauto-diesel;2003;Buitenwegen;1.63;0.32;7.12;0.087
224;Vrachtauto-diesel;2003;Autosnelwegen;1.2;0.24;6.75;0.064
225;Vrachtauto-diesel;2004;Bebouwde kom;2.51;0.57;10.82;0.146
226;Vrachtauto-diesel;2004;Buitenwegen;1.62;0.32;7.1;0.087
227;Vrachtauto-diesel;2004;Autosnelwegen;1.19;0.24;6.73;0.064
228;Vrachtauto-diesel;2005;Bebouwde kom;3.1;0.44;10.78;0.12
229;Vrachtauto-diesel;2005;Buitenwegen;1.75;0.25;6.81;0.071
230;Vrachtauto-diesel;2005;Autosnelwegen;1.16;0.19;5.86;0.052
231;Vrachtauto-diesel;2006;Bebouwde kom;4.56;0.21;11.4;0.071
232;Vrachtauto-diesel;2006;Buitenwegen;2.13;0.12;6.49;0.041
233;Vrachtauto-diesel;2006;Autosnelwegen;1.15;0.08;4.29;0.029
234;Vrachtauto-diesel;2007;Bebouwde kom;5.37;0.09;11.57;0.046
235;Vrachtauto-diesel;2007;Buitenwegen;2.37;0.05;6.3;0.025
236;Vrachtauto-diesel;2007;Autosnelwegen;1.18;0.03;3.54;0.018
237;Vrachtauto-diesel;2008;Bebouwde kom;5.21;0.09;11.37;0.045
238;Vrachtauto-diesel;2008;Buitenwegen;2.3;0.05;6.2;0.025
239;Vrachtauto-diesel;2008;Autosnelwegen;1.14;0.03;3.48;0.018
240;Trekker-diesel;Bouwjaargroep 1999 en ouder;Bebouwde kom;5.02;2.47;17.16;0.984
241;Trekker-diesel;Bouwjaargroep 1999 en ouder;Buitenwegen;2.61;0.77;11.93;0.496
242;Trekker-diesel;Bouwjaargroep 1999 en ouder;Autosnelwegen;1.88;0.54;9.73;0.36
243;Trekker-diesel;2000;Bebouwde kom;3.16;0.77;14.96;0.316
244;Trekker-diesel;2000;Buitenwegen;1.86;0.41;9.85;0.189
245;Trekker-diesel;2000;Autosnelwegen;1.38;0.29;7.78;0.147
246;Trekker-diesel;2001;Bebouwde kom;3.45;0.75;15.76;0.235
247;Trekker-diesel;2001;Buitenwegen;2.03;0.4;9.66;0.136
248;Trekker-diesel;2001;Autosnelwegen;1.49;0.27;7.6;0.102
249;Trekker-diesel;2002;Bebouwde kom;3.66;0.73;16.36;0.175
250;Trekker-diesel;2002;Buitenwegen;2.15;0.39;9.52;0.097
251;Trekker-diesel;2002;Autosnelwegen;1.56;0.26;7.46;0.068
252;Trekker-diesel;2003;Bebouwde kom;3.66;0.73;16.36;0.175
253;Trekker-diesel;2003;Buitenwegen;2.15;0.39;9.52;0.097
254;Trekker-diesel;2003;Autosnelwegen;1.56;0.26;7.46;0.068
255;Trekker-diesel;2004;Bebouwde kom;3.66;0.73;16.36;0.175
256;Trekker-diesel;2004;Buitenwegen;2.15;0.39;9.52;0.097
257;Trekker-diesel;2004;Autosnelwegen;1.56;0.26;7.46;0.068
258;Trekker-diesel;2005;Bebouwde kom;5.11;0.59;15.88;0.146
259;Trekker-diesel;2005;Buitenwegen;2.53;0.31;9.04;0.08
260;Trekker-diesel;2005;Autosnelwegen;1.59;0.21;6.62;0.056
261;Trekker-diesel;2006;Bebouwde kom;7.99;0.3;14.94;0.088
262;Trekker-diesel;2006;Buitenwegen;3.27;0.16;8.07;0.046
263;Trekker-diesel;2006;Autosnelwegen;1.64;0.1;4.92;0.032
264;Trekker-diesel;2007;Bebouwde kom;9.43;0.16;14.47;0.059
265;Trekker-diesel;2007;Buitenwegen;3.64;0.08;7.59;0.03
266;Trekker-diesel;2007;Autosnelwegen;1.67;0.04;4.07;0.02
267;Trekker-diesel;2008;Bebouwde kom;9.43;0.16;14.47;0.059
268;Trekker-diesel;2008;Buitenwegen;3.64;0.08;7.59;0.03
269;Trekker-diesel;2008;Autosnelwegen;1.67;0.04;4.07;0.02
270;Autobus-diesel;Bouwjaargroep 1999 en ouder;Bebouwde kom;4.04;2.08;14.01;0.862
271;Autobus-diesel;Bouwjaargroep 1999 en ouder;Buitenwegen;2.03;0.75;10.15;0.466
272;Autobus-diesel;Bouwjaargroep 1999 en ouder;Autosnelwegen;1.31;0.58;7.91;0.293
273;Autobus-diesel;2000;Bebouwde kom;2.39;0.57;12.07;0.304
274;Autobus-diesel;2000;Buitenwegen;1.12;0.31;7.85;0.244
275;Autobus-diesel;2000;Autosnelwegen;0.67;0.25;6.25;0.111
276;Autobus-diesel;2001;Bebouwde kom;2.31;0.55;11.33;0.248
277;Autobus-diesel;2001;Buitenwegen;1.09;0.29;6.98;0.188
278;Autobus-diesel;2001;Autosnelwegen;0.67;0.24;5.17;0.11
279;Autobus-diesel;2002;Bebouwde kom;2.24;0.53;10.77;0.206
280;Autobus-diesel;2002;Buitenwegen;1.06;0.28;6.33;0.146
281;Autobus-diesel;2002;Autosnelwegen;0.67;0.23;4.36;0.109
282;Autobus-diesel;2003;Bebouwde kom;2.24;0.53;10.77;0.206
283;Autobus-diesel;2003;Buitenwegen;1.06;0.28;6.33;0.146
284;Autobus-diesel;2003;Autosnelwegen;0.67;0.23;4.36;0.109
285;Autobus-diesel;2004;Bebouwde kom;2.24;0.53;10.77;0.206
286;Autobus-diesel;2004;Buitenwegen;1.06;0.28;6.33;0.146
287;Autobus-diesel;2004;Autosnelwegen;0.67;0.23;4.36;0.109
288;Autobus-diesel;2005;Bebouwde kom;1.74;0.4;10.15;0.179
289;Autobus-diesel;2005;Buitenwegen;0.82;0.22;5.8;0.12
290;Autobus-diesel;2005;Autosnelwegen;0.52;0.17;3.98;0.086
291;Autobus-diesel;2006;Bebouwde kom;0.74;0.15;8.91;0.125
292;Autobus-diesel;2006;Buitenwegen;0.35;0.08;4.74;0.068
293;Autobus-diesel;2006;Autosnelwegen;0.22;0.06;3.22;0.039
294;Autobus-diesel;2007;Bebouwde kom;0.24;0.03;8.29;0.098
295;Autobus-diesel;2007;Buitenwegen;0.11;0.01;4.21;0.043
296;Autobus-diesel;2007;Autosnelwegen;0.07;0.01;2.84;0.016
297;Autobus-diesel;2008;Bebouwde kom;0.24;0.03;7.36;0.096
298;Autobus-diesel;2008;Buitenwegen;0.11;0.01;3.77;0.04
299;Autobus-diesel;2008;Autosnelwegen;0.07;0.01;2.52;0.016
300;Motortweewieler-benzine;Bouwjaargroep 1999 en ouder;Bebouwde kom;27.07;3.75;0.1;0.017
301;Motortweewieler-benzine;Bouwjaargroep 1999 en ouder;Buitenwegen;16.13;1.57;0.17;0.017
302;Motortweewieler-benzine;Bouwjaargroep 1999 en ouder;Autosnelwegen;27.13;1.34;0.42;0.017
303;Motortweewieler-benzine;2000;Bebouwde kom;11.87;1.44;0.14;0.015
304;Motortweewieler-benzine;2000;Buitenwegen;6.07;0.66;0.22;0.015
305;Motortweewieler-benzine;2000;Autosnelwegen;18.65;0.42;0.49;0.015
306;Motortweewieler-benzine;2001;Bebouwde kom;11.87;1.44;0.14;0.015
307;Motortweewieler-benzine;2001;Buitenwegen;6.07;0.66;0.22;0.015
308;Motortweewieler-benzine;2001;Autosnelwegen;18.65;0.42;0.49;0.015
309;Motortweewieler-benzine;2002;Bebouwde kom;11.87;1.44;0.14;0.015
310;Motortweewieler-benzine;2002;Buitenwegen;6.07;0.66;0.22;0.015
311;Motortweewieler-benzine;2002;Autosnelwegen;18.65;0.42;0.49;0.015
312;Motortweewieler-benzine;2003;Bebouwde kom;11.87;1.44;0.14;0.015
313;Motortweewieler-benzine;2003;Buitenwegen;6.07;0.66;0.22;0.015
314;Motortweewieler-benzine;2003;Autosnelwegen;18.65;0.42;0.49;0.015
315;Motortweewieler-benzine;2004;Bebouwde kom;11.87;1.44;0.14;0.015
316;Motortweewieler-benzine;2004;Buitenwegen;6.07;0.66;0.22;0.015
317;Motortweewieler-benzine;2004;Autosnelwegen;18.65;0.42;0.49;0.015
318;Motortweewieler-benzine;2005;Bebouwde kom;11.87;1.44;0.14;0.015
319;Motortweewieler-benzine;2005;Buitenwegen;6.07;0.66;0.22;0.015
320;Motortweewieler-benzine;2005;Autosnelwegen;18.65;0.42;0.49;0.015
321;Motortweewieler-benzine;2006;Bebouwde kom;11.87;1.44;0.14;0.015
322;Motortweewieler-benzine;2006;Buitenwegen;6.07;0.66;0.22;0.015
323;Motortweewieler-benzine;2006;Autosnelwegen;18.65;0.42;0.49;0.015
324;Motortweewieler-benzine;2007;Bebouwde kom;11.87;1.44;0.14;0.015
325;Motortweewieler-benzine;2007;Buitenwegen;6.07;0.66;0.22;0.015
326;Motortweewieler-benzine;2007;Autosnelwegen;18.65;0.42;0.49;0.015
327;Motortweewieler-benzine;2008;Bebouwde kom;11.87;1.44;0.14;0.015
328;Motortweewieler-benzine;2008;Buitenwegen;6.07;0.66;0.22;0.015
329;Motortweewieler-benzine;2008;Autosnelwegen;18.65;0.42;0.49;0.015
330;Bromfiets-benzine;Bouwjaargroep 1999 en ouder;Bebouwde kom;10.0;6.0;0.05;0.04
331;Bromfiets-benzine;Bouwjaargroep 1999 en ouder;Buitenwegen;10.0;6.0;0.05;0.04
332;Bromfiets-benzine;Bouwjaargroep 1999 en ouder;Autosnelwegen;;;;
333;Bromfiets-benzine;2000;Bebouwde kom;10.0;6.0;0.05;0.04
334;Bromfiets-benzine;2000;Buitenwegen;10.0;6.0;0.05;0.04
335;Bromfiets-benzine;2000;Autosnelwegen;;;;
336;Bromfiets-benzine;2001;Bebouwde kom;10.0;6.0;0.05;0.04
