ID;Periods;IndicesStocksOfFinishedGoods_1;YearOnYearChange_2
99;2017 December;102.2;2.6
100;2017 4th quarter;104.0;3.9
101;2017;102.6;3.0
102;2018 January;108.4;6.1
103;2018 February;110.2;10.1
104;2018 March;107.9;7.9
105;2018 1st quarter;108.8;8.0
106;2018 April;108.1;6.1
107;2018 May;110.5;6.9
108;2018 June;107.9;6.8
109;2018 2nd quarter;108.8;6.6
110;2018 July;113.5;8.9
111;2018 August;111.6;7.6
112;2018 September;107.0;3.8
113;2018 3rd quarter;110.7;6.8
114;2018 October;111.6;5.3
115;2018 November;108.8;4.8
116;2018 December;107.8;5.5
117;2018 4th quarter;109.4;5.2
118;2018;109.4;6.6
119;2019 January;114.5;5.6
120;2019 February;116.1;5.4
121;2019 March;117.5;8.9
122;2019 1st quarter;116.0;6.6
123;2019 April;113.7;5.2
124;2019 May;113.3;2.5
125;2019 June;114.8;6.4
126;2019 2nd quarter;113.9;4.7
127;2019 July;120.1;5.8
128;2019 August;123.5;10.7
129;2019 September;112.9;5.5
130;2019 3rd quarter;118.8;7.3
131;2019 October;118.2;5.9
132;2019 November;123.1;13.1
133;2019 December;105.7;-1.9
134;2019 4th quarter;115.7;5.7
135;2019;116.1;6.1
136;2020 January;105.8;-7.6
137;2020 February;106.7;-8.1
138;2020 March;103.4;-12.0
139;2020 1st quarter;105.3;-9.3
140;2020 April;107.5;-5.5
141;2020 May;112.2;-1.0
142;2020 June;108.9;-5.1
143;2020 2nd quarter;109.5;-3.9
144;2020 July;106.4;-11.4
145;2020 August;109.0;-11.7
146;2020 September;106.8;-5.4
147;2020 3rd quarter;107.4;-9.6
148;2020 October;104.8;-11.3
149;2020 November;106.4;-13.6
150;2020 December;104.2;-1.4
151;2020 4th quarter;105.1;-9.1
152;2020;106.8;-8.0
153;2021 January;101.8;-3.8
154;2021 February;102.1;-4.3
155;2021 March;102.0;-1.4
156;2021 1st quarter;102.0;-3.2
157;2021 April;99.9;-7.1
158;2021 May;104.0;-7.3
159;2021 June;96.0;-11.8
160;2021 2nd quarter;100.0;-8.7
161;2021 July;102.7;-3.5
162;2021 August;103.5;-5.0
163;2021 September;100.2;-6.2
164;2021 3rd quarter;102.1;-4.9
165;2021 October;101.2;-3.4
166;2021 November;101.5;-4.6
167;2021 December;103.3;-0.9
168;2021 4th quarter;102.0;-3.0
169;2021;101.5;-5.0
170;2022 January;103.0;1.2
171;2022 February;105.4;3.2
172;2022 March;101.3;-0.7
173;2022 1st quarter;103.2;1.2
174;2022 April;101.5;1.6
175;2022 May;103.1;-0.9
176;2022 June;105.5;9.9
177;2022 2nd quarter;103.4;3.4
178;2022 July;105.8;3.0
179;2022 August;110.2;6.5
180;2022 September;108.9;8.7
181;2022 3rd quarter;108.3;6.0
182;2022 October;110.5;9.2
183;2022 November;111.9;10.2
184;2022 December;110.3;6.8
185;2022 4th quarter;110.9;8.7
186;2022;106.5;4.9
187;2023 January;111.1;7.9
188;2023 February;113.5;7.7
189;2023 March;111.1;9.7
190;2023 1st quarter;111.9;8.4
191;2023 April;114.0;12.3
192;2023 May;114.4;11.0
193;2023 June;111.5;5.7
194;2023 2nd quarter;113.3;9.6
195;2023 July;113.8;7.6
196;2023 August;110.9;0.6
197;2023 September;109.3;0.4
198;2023 3rd quarter;111.3;2.8
199;2023 October;112.0;1.4
200;2023 November;109.8;-1.9
201;2023 December;110.5;0.2
202;2023 4th quarter;110.8;-0.1
203;2023;111.8;5.0
