ID;KenmerkenStartersDoorstromers;StarterDoorstromer;Perioden;TotaalPotentieleVerhuizers_1;Koopwoning_2;Huurwoning_3;KoopOfHuurwoningWeetNogNiet_4;Eengezinswoning_5;Meergezinswoning_6;k_3Kamers_7;k_4Kamers_8;k_4Kamers_9;Groter_10;Kleiner_11;Gelijk_12;k_182Euro_13;k_182Tot227Euro_14;k_227Tot272Euro_15;k_272Tot318Euro_16;k_318Tot363Euro_17;k_363Tot408Euro_18;k_408Tot454Euro_19;k_454Euro_20;k_68000Euro_21;k_68000Tot91000Euro_22;k_91000Tot113000Euro_23;k_113000Tot136000Euro_24;k_136000Tot159000Euro_25;k_159000Tot182000Euro_26;k_182000Tot204000Euro_27;k_204000Tot227000Euro_28;k_227000Tot272000Euro_29;k_272000Tot340000Euro_30;k_340000Euro_31;TotaalRespondentenOngewogen_32
10;Koopwoning;Doorstromers;1999;609.0;511.0;59.0;39.0;488.0;122.0;23.0;121.0;465.0;181.0;254.0;175.0;1.0;1.0;2.0;9.0;12.0;9.0;6.0;19.0;5.0;7.0;24.0;57.0;67.0;67.0;63.0;50.0;69.0;58.0;45.0;1852.0
11;Koopwoning;Doorstromers;2000;585.0;473.0;60.0;53.0;444.0;141.0;24.0;120.0;442.0;177.0;227.0;181.0;1.0;2.0;2.0;5.0;10.0;17.0;5.0;18.0;3.0;4.0;18.0;39.0;60.0;45.0;56.0;43.0;83.0;80.0;40.0;1522.0
12;Huurwoning;Starters;1998;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;Huurwoning;Starters;1999;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;Huurwoning;Starters;2000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;Huurwoning;Doorstromers;1998;980.0;393.0;474.0;113.0;570.0;410.0;89.0;353.0;539.0;417.0;256.0;307.0;13.0;27.0;59.0;75.0;122.0;94.0;34.0;49.0;11.0;28.0;66.0;92.0;76.0;43.0;30.0;14.0;20.0;10.0;5.0;11370.0
16;Huurwoning;Doorstromers;1999;1032.0;375.0;557.0;100.0;568.0;464.0;93.0;375.0;564.0;460.0;260.0;313.0;12.0;32.0;72.0;74.0;137.0;91.0;39.0;101.0;3.0;15.0;50.0;72.0;74.0;43.0;43.0;15.0;29.0;18.0;15.0;1816.0
17;Huurwoning;Doorstromers;2000;950.0;304.0;525.0;120.0;512.0;438.0;80.0;343.0;527.0;435.0;223.0;292.0;8.0;39.0;46.0;72.0;101.0;120.0;44.0;95.0;3.0;8.0;35.0;49.0;50.0;49.0;41.0;22.0;27.0;14.0;7.0;1699.0
18;Eengezinswoning;Starters;1998;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;Eengezinswoning;Starters;1999;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;Eengezinswoning;Starters;2000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21;Eengezinswoning;Doorstromers;1998;845.0;551.0;221.0;73.0;654.0;190.0;41.0;213.0;591.0;219.0;364.0;261.0;6.0;8.0;21.0;33.0;55.0;49.0;15.0;33.0;11.0;19.0;53.0;85.0;93.0;76.0;62.0;35.0;57.0;35.0;26.0;14689.0
22;Eengezinswoning;Doorstromers;1999;899.0;592.0;243.0;64.0;682.0;217.0;47.0;218.0;634.0;228.0;397.0;274.0;5.0;12.0;20.0;35.0;62.0;38.0;22.0;49.0;7.0;8.0;36.0;70.0;76.0;77.0;76.0;57.0;76.0;65.0;44.0;2614.0
23;Eengezinswoning;Doorstromers;2000;814.0;503.0;227.0;83.0;605.0;209.0;40.0;198.0;575.0;207.0;344.0;263.0;5.0;12.0;10.0;26.0;44.0;62.0;21.0;48.0;4.0;6.0;22.0;43.0;62.0;55.0;59.0;45.0;86.0;78.0;42.0;2074.0
24;Meergezinswoning;Starters;1998;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25;Meergezinswoning;Starters;1999;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26;Meergezinswoning;Starters;2000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;Meergezinswoning;Doorstromers;1998;685.0;294.0;311.0;80.0;354.0;331.0;68.0;259.0;358.0;366.0;111.0;208.0;9.0;21.0;43.0;50.0;80.0;58.0;22.0;28.0;6.0;20.0;46.0;68.0;58.0;32.0;26.0;9.0;16.0;9.0;4.0;7333.0
28;Meergezinswoning;Doorstromers;1999;743.0;294.0;373.0;75.0;373.0;369.0;69.0;278.0;395.0;412.0;116.0;215.0;7.0;20.0;54.0;48.0;88.0;62.0;23.0;71.0;1.0;13.0;38.0;58.0;65.0;33.0;30.0;8.0;21.0;12.0;16.0;1054.0
29;Meergezinswoning;Doorstromers;2000;721.0;274.0;358.0;90.0;350.0;371.0;64.0;265.0;393.0;405.0;106.0;210.0;4.0;29.0;38.0;51.0;67.0;74.0;28.0;65.0;2.0;6.0;31.0;44.0;47.0;40.0;38.0;21.0;24.0;16.0;5.0;1147.0
30;Eenpersoonshuishouden;Starters;1998;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31;Eenpersoonshuishouden;Starters;1999;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;Eenpersoonshuishouden;Starters;2000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
33;Eenpersoonshuishouden;Doorstromers;1998;510.0;193.0;255.0;61.0;235.0;275.0;80.0;258.0;172.0;217.0;152.0;141.0;8.0;18.0;38.0;45.0;59.0;46.0;16.0;25.0;5.0;18.0;32.0;44.0;33.0;19.0;17.0;6.0;10.0;8.0;3.0;4039.0
34;Eenpersoonshuishouden;Doorstromers;1999;554.0;199.0;299.0;55.0;248.0;305.0;91.0;277.0;186.0;235.0;164.0;155.0;9.0;14.0;51.0;56.0;70.0;42.0;18.0;41.0;1.0;8.0;31.0;44.0;32.0;22.0;24.0;4.0;14.0;7.0;12.0;649.0
35;Eenpersoonshuishouden;Doorstromers;2000;536.0;193.0;273.0;70.0;231.0;306.0;79.0;254.0;203.0;239.0;152.0;145.0;5.0;27.0;25.0;42.0;52.0;64.0;19.0;39.0;;6.0;24.0;33.0;35.0;23.0;23.0;10.0;19.0;17.0;4.0;629.0
36;Meerpersoonshuishouden;Starters;1998;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
37;Meerpersoonshuishouden;Starters;1999;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
38;Meerpersoonshuishouden;Starters;2000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
39;Meerpersoonshuishouden;Doorstromers;1998;1020.0;651.0;277.0;92.0;774.0;246.0;29.0;214.0;777.0;367.0;324.0;328.0;6.0;11.0;26.0;38.0;76.0;62.0;21.0;36.0;12.0;21.0;67.0;109.0;118.0;88.0;71.0;38.0;64.0;37.0;26.0;17983.0
40;Meerpersoonshuishouden;Doorstromers;1999;1088.0;687.0;317.0;83.0;807.0;281.0;25.0;219.0;844.0;405.0;349.0;333.0;4.0;18.0;23.0;27.0;80.0;59.0;27.0;79.0;7.0;13.0;42.0;85.0;108.0;89.0;82.0;61.0;83.0;69.0;48.0;3019.0
41;Meerpersoonshuishouden;Doorstromers;2000;999.0;584.0;312.0;103.0;725.0;274.0;24.0;209.0;766.0;373.0;298.0;328.0;4.0;14.0;23.0;36.0;59.0;72.0;30.0;74.0;5.0;7.0;29.0;55.0;75.0;71.0;75.0;55.0;91.0;77.0;44.0;2592.0
42;jonger dan 35 jaar;Starters;1998;628.0;209.0;352.0;67.0;240.0;388.0;138.0;262.0;228.0;115.0;406.0;108.0;14.0;42.0;68.0;64.0;66.0;50.0;16.0;32.0;12.0;23.0;45.0;49.0;35.0;18.0;10.0;3.0;9.0;4.0;3.0;5828.0
43;jonger dan 35 jaar;Starters;1999;695.0;243.0;376.0;75.0;272.0;423.0;149.0;295.0;251.0;129.0;450.0;116.0;23.0;45.0;63.0;74.0;71.0;35.0;17.0;48.0;12.0;12.0;43.0;48.0;53.0;27.0;15.0;13.0;11.0;6.0;6.0;1080.0
44;jonger dan 35 jaar;Starters;2000;690.0;191.0;407.0;92.0;247.0;443.0;160.0;281.0;249.0;101.0;461.0;128.0;12.0;49.0;75.0;70.0;76.0;50.0;17.0;58.0;7.0;13.0;17.0;37.0;45.0;24.0;22.0;10.0;6.0;5.0;5.0;916.0
45;jonger dan 35 jaar;Doorstromers;1998;612.0;397.0;159.0;56.0;435.0;177.0;38.0;153.0;420.0;325.0;96.0;192.0;5.0;12.0;24.0;27.0;39.0;29.0;10.0;15.0;8.0;23.0;57.0;84.0;79.0;51.0;34.0;18.0;25.0;12.0;7.0;8141.0
46;jonger dan 35 jaar;Doorstromers;1999;640.0;399.0;188.0;54.0;450.0;190.0;30.0;151.0;459.0;351.0;97.0;192.0;2.0;12.0;28.0;22.0;47.0;27.0;9.0;39.0;3.0;14.0;35.0;71.0;73.0;54.0;43.0;24.0;38.0;25.0;18.0;1299.0
47;jonger dan 35 jaar;Doorstromers;2000;591.0;361.0;156.0;74.0;414.0;176.0;23.0;141.0;427.0;341.0;77.0;173.0;1.0;10.0;20.0;27.0;32.0;29.0;9.0;28.0;4.0;7.0;29.0;46.0;62.0;54.0;48.0;26.0;43.0;31.0;10.0;1207.0
48;35 tot 45 jaar;Starters;1998;34.0;17.0;13.0;4.0;21.0;14.0;3.0;10.0;21.0;12.0;12.0;10.0;1.0;1.0;3.0;3.0;1.0;2.0;1.0;2.0;1.0;1.0;2.0;3.0;3.0;3.0;2.0;1.0;1.0;;;340.0
49;35 tot 45 jaar;Starters;1999;46.0;14.0;27.0;4.0;21.0;24.0;4.0;21.0;20.0;20.0;15.0;11.0;;1.0;8.0;5.0;4.0;2.0;3.0;3.0;2.0;1.0;1.0;2.0;4.0;1.0;;1.0;;2.0;;65.0
50;35 tot 45 jaar;Starters;2000;38.0;20.0;13.0;5.0;21.0;17.0;4.0;17.0;18.0;12.0;12.0;14.0;;;2.0;5.0;2.0;2.0;2.0;;;1.0;1.0;4.0;4.0;2.0;4.0;1.0;1.0;1.0;1.0;59.0
51;35 tot 45 jaar;Doorstromers;1998;367.0;239.0;93.0;35.0;282.0;85.0;9.0;65.0;293.0;161.0;80.0;127.0;2.0;6.0;10.0;14.0;27.0;17.0;7.0;10.0;5.0;9.0;24.0;35.0;40.0;30.0;28.0;13.0;26.0;16.0;12.0;5559.0
52;35 tot 45 jaar;Doorstromers;1999;384.0;253.0;97.0;33.0;296.0;88.0;16.0;60.0;307.0;168.0;93.0;123.0;1.0;9.0;14.0;11.0;22.0;19.0;2.0;18.0;3.0;3.0;19.0;32.0;42.0;21.0;30.0;24.0;29.0;27.0;23.0;897.0
53;35 tot 45 jaar;Doorstromers;2000;359.0;220.0;105.0;34.0;276.0;83.0;8.0;56.0;295.0;163.0;61.0;135.0;4.0;9.0;7.0;11.0;21.0;27.0;3.0;22.0;1.0;3.0;12.0;24.0;30.0;21.0;27.0;24.0;32.0;29.0;17.0;766.0
54;45 tot 55 jaar;Starters;1998;17.0;7.0;9.0;1.0;8.0;9.0;2.0;8.0;7.0;5.0;8.0;4.0;;;2.0;2.0;1.0;2.0;1.0;1.0;;1.0;;1.0;1.0;1.0;1.0;;1.0;;;213.0
55;45 tot 55 jaar;Starters;1999;35.0;19.0;14.0;1.0;23.0;12.0;5.0;10.0;20.0;12.0;12.0;11.0;;4.0;2.0;3.0;2.0;3.0;;;1.0;2.0;;;4.0;3.0;4.0;1.0;1.0;3.0;1.0;62.0
56;45 tot 55 jaar;Starters;2000;26.0;9.0;16.0;1.0;12.0;15.0;5.0;8.0;14.0;11.0;9.0;6.0;1.0;;1.0;2.0;8.0;4.0;;;1.0;;;1.0;2.0;1.0;2.0;;2.0;;1.0;37.0
57;45 tot 55 jaar;Doorstromers;1998;232.0;133.0;74.0;25.0;164.0;67.0;12.0;71.0;148.0;56.0;102.0;73.0;2.0;3.0;9.0;10.0;19.0;18.0;5.0;8.0;2.0;5.0;11.0;21.0;22.0;16.0;15.0;8.0;15.0;11.0;7.0;3483.0
58;45 tot 55 jaar;Doorstromers;1999;246.0;137.0;94.0;16.0;161.0;86.0;8.0;81.0;158.0;71.0;104.0;72.0;3.0;3.0;12.0;16.0;22.0;12.0;5.0;22.0;2.0;1.0;10.0;12.0;17.0;20.0;19.0;13.0;15.0;15.0;13.0;567.0
59;45 tot 55 jaar;Doorstromers;2000;231.0;119.0;84.0;28.0;152.0;80.0;15.0;73.0;144.0;61.0;99.0;71.0;2.0;6.0;6.0;12.0;13.0;17.0;8.0;22.0;1.0;2.0;8.0;10.0;9.0;11.0;14.0;12.0;20.0;22.0;11.0;516.0
60;45 tot 55 jaar;Starters;1998;7.0;2.0;4.0;1.0;3.0;4.0;1.0;3.0;3.0;1.0;3.0;3.0;;;1.0;;1.0;1.0;;;;;;;;;;;;;;150.0
61;45 tot 55 jaar;Starters;1999;16.0;2.0;14.0;1.0;7.0;9.0;2.0;8.0;6.0;4.0;6.0;6.0;;;1.0;3.0;2.0;;;5.0;;;;;1.0;;;;;;;35.0
62;45 tot 55 jaar;Starters;2000;13.0;4.0;7.0;2.0;6.0;7.0;2.0;4.0;6.0;2.0;5.0;6.0;;1.0;1.0;;3.0;1.0;;1.0;1.0;;;;1.0;1.0;;;1.0;;1.0;27.0
63;45 tot 55 jaar;Doorstromers;1998;144.0;53.0;73.0;17.0;75.0;69.0;13.0;75.0;57.0;23.0;87.0;35.0;1.0;2.0;7.0;11.0;21.0;16.0;7.0;8.0;1.0;2.0;4.0;9.0;7.0;8.0;7.0;3.0;6.0;4.0;2.0;2235.0
64;45 tot 55 jaar;Doorstromers;1999;134.0;62.0;52.0;20.0;75.0;60.0;9.0;63.0;63.0;19.0;81.0;35.0;3.0;1.0;4.0;4.0;14.0;8.0;6.0;12.0;;2.0;5.0;4.0;6.0;10.0;7.0;2.0;13.0;8.0;5.0;383.0
65;45 tot 55 jaar;Doorstromers;2000;151.0;50.0;82.0;19.0;67.0;85.0;14.0;70.0;67.0;21.0;92.0;39.0;1.0;4.0;7.0;7.0;19.0;21.0;9.0;14.0;1.0;;2.0;4.0;5.0;4.0;6.0;3.0;10.0;8.0;7.0;335.0
66;65 tot 75 jaar;Starters;1998;6.0;2.0;4.0;1.0;3.0;4.0;1.0;3.0;2.0;2.0;3.0;1.0;;;;1.0;1.0;1.0;;1.0;;;;;;;;;;;;101.0
67;65 tot 75 jaar;Starters;1999;15.0;1.0;14.0;;3.0;12.0;4.0;10.0;1.0;1.0;8.0;6.0;1.0;2.0;3.0;;;4.0;1.0;2.0;;;;;1.0;;;;;;;28.0
68;65 tot 75 jaar;Starters;2000;8.0;1.0;6.0;1.0;2.0;6.0;2.0;4.0;2.0;;5.0;2.0;;;2.0;1.0;1.0;1.0;1.0;1.0;;;;;;;;;;;;20.0
69;65 tot 75 jaar;Doorstromers;1998;104.0;17.0;74.0;14.0;36.0;68.0;20.0;63.0;21.0;9.0;71.0;24.0;1.0;4.0;9.0;12.0;15.0;16.0;5.0;11.0;;;1.0;3.0;2.0;2.0;3.0;2.0;1.0;1.0;;1719.0
70;65 tot 75 jaar;Doorstromers;1999;128.0;21.0;96.0;11.0;37.0;91.0;21.0;80.0;27.0;16.0;76.0;37.0;1.0;3.0;7.0;15.0;26.0;16.0;11.0;17.0;;;3.0;6.0;2.0;2.0;4.0;1.0;1.0;1.0;1.0;316.0
71;65 tot 75 jaar;Doorstromers;2000;113.0;19.0;82.0;12.0;29.0;84.0;18.0;72.0;24.0;11.0;77.0;25.0;1.0;5.0;1.0;8.0;18.0;18.0;11.0;19.0;;;2.0;2.0;2.0;2.0;2.0;1.0;2.0;4.0;2.0;247.0
72;75 jaar of ouder;Starters;1998;5.0;;4.0;1.0;1.0;4.0;1.0;3.0;;1.0;2.0;2.0;;;1.0;1.0;1.0;1.0;;1.0;;;;;;;;;;;;59.0
73;75 jaar of ouder;Starters;1999;9.0;2.0;7.0;;2.0;7.0;2.0;6.0;1.0;4.0;3.0;2.0;;;1.0;2.0;1.0;1.0;2.0;1.0;;;;1.0;;;;;;;;18.0
74;75 jaar of ouder;Starters;2000;7.0;;6.0;;2.0;5.0;1.0;4.0;1.0;2.0;2.0;2.0;;1.0;;;1.0;2.0;1.0;;;;;;;;;;;;;16.0
75;75 jaar of ouder;Doorstromers;1998;71.0;6.0;59.0;6.0;16.0;55.0;17.0;44.0;10.0;12.0;40.0;18.0;3.0;3.0;5.0;9.0;14.0;13.0;4.0;9.0;;;1.0;1.0;1.0;1.0;1.0;1.0;;;;885.0
76;75 jaar of ouder;Doorstromers;1999;109.0;15.0;89.0;5.0;37.0;72.0;32.0;62.0;15.0;16.0;62.0;31.0;3.0;4.0;8.0;15.0;19.0;18.0;11.0;10.0;1.0;1.0;2.0;2.0;;4.0;3.0;;2.0;;;206.0
77;75 jaar of ouder;Doorstromers;2000;89.0;7.0;76.0;6.0;17.0;72.0;27.0;51.0;12.0;15.0;44.0;30.0;;8.0;7.0;12.0;7.0;24.0;9.0;9.0;;;;1.0;1.0;2.0;1.0;;2.0;;;150.0
78;Verhuisgeneigdheid: misschien;Starters;1998;286.0;92.0;156.0;37.0;117.0;169.0;59.0;120.0;107.0;46.0;189.0;51.0;5.0;18.0;30.0;30.0;26.0;22.0;9.0;16.0;4.0;9.0;18.0;18.0;17.0;8.0;6.0;2.0;5.0;3.0;2.0;2723.0
79;Verhuisgeneigdheid: misschien;Starters;1999;370.0;129.0;201.0;41.0;159.0;211.0;75.0;158.0;137.0;65.0;243.0;63.0;12.0;24.0;31.0;39.0;35.0;19.0;10.0;31.0;7.0;6.0;19.0;17.0;32.0;15.0;11.0;6.0;5.0;5.0;5.0;556.0
80;Verhuisgeneigdheid: misschien;Starters;2000;283.0;84.0;153.0;45.0;121.0;162.0;60.0;116.0;107.0;39.0;187.0;56.0;4.0;24.0;30.0;32.0;29.0;17.0;2.0;16.0;4.0;3.0;7.0;9.0;30.0;9.0;8.0;4.0;5.0;1.0;3.0;379.0
81;Verhuisgeneigdheid: misschien;Doorstromers;1998;767.0;440.0;237.0;90.0;524.0;243.0;50.0;239.0;478.0;264.0;258.0;244.0;6.0;10.0;30.0;37.0;59.0;49.0;17.0;29.0;8.0;21.0;51.0;77.0;79.0;56.0;47.0;23.0;41.0;23.0;15.0;11259.0
82;Verhuisgeneigdheid: misschien;Doorstromers;1999;887.0;488.0;316.0;83.0;590.0;296.0;57.0;268.0;561.0;313.0;315.0;259.0;4.0;20.0;32.0;43.0;75.0;55.0;24.0;64.0;3.0;10.0;43.0;61.0;77.0;57.0;68.0;43.0;57.0;42.0;30.0;2023.0
83;Verhuisgeneigdheid: misschien;Doorstromers;2000;811.0;416.0;285.0;111.0;513.0;298.0;50.0;244.0;516.0;288.0;259.0;263.0;3.0;21.0;22.0;34.0;55.0;66.0;24.0;59.0;2.0;5.0;26.0;43.0;59.0;49.0;58.0;33.0;63.0;53.0;24.0;1743.0
84;Verhuisgeneigdheid: wil, vindt niets;Starters;1998;35.0;12.0;19.0;4.0;15.0;21.0;9.0;14.0;12.0;9.0;19.0;7.0;1.0;4.0;4.0;3.0;4.0;3.0;;1.0;1.0;1.0;3.0;4.0;1.0;1.0;;;;;;310.0
85;Verhuisgeneigdheid: wil, vindt niets;Starters;1999;35.0;14.0;16.0;4.0;20.0;14.0;8.0;12.0;15.0;7.0;22.0;5.0;1.0;1.0;2.0;4.0;4.0;3.0;1.0;2.0;;1.0;3.0;3.0;5.0;;;1.0;1.0;;;64.0
86;Verhuisgeneigdheid: wil, vindt niets;Starters;2000;46.0;10.0;31.0;5.0;15.0;31.0;7.0;27.0;12.0;7.0;36.0;3.0;;2.0;9.0;4.0;8.0;3.0;2.0;3.0;;1.0;;1.0;3.0;;3.0;1.0;1.0;;;60.0
87;Verhuisgeneigdheid: wil, vindt niets;Doorstromers;1998;111.0;50.0;49.0;13.0;67.0;44.0;11.0;35.0;65.0;39.0;38.0;35.0;1.0;3.0;7.0;7.0;12.0;10.0;3.0;4.0;1.0;1.0;6.0;8.0;8.0;7.0;5.0;4.0;5.0;3.0;2.0;1556.0
88;Verhuisgeneigdheid: wil, vindt niets;Doorstromers;1999;139.0;67.0;67.0;6.0;88.0;51.0;10.0;40.0;89.0;53.0;44.0;42.0;3.0;2.0;7.0;11.0;14.0;10.0;8.0;11.0;1.0;2.0;6.0;9.0;11.0;10.0;5.0;4.0;3.0;6.0;9.0;287.0
89;Verhuisgeneigdheid: wil, vindt niets;Doorstromers;2000;129.0;52.0;62.0;15.0;81.0;48.0;9.0;44.0;76.0;47.0;42.0;40.0;;5.0;5.0;10.0;11.0;15.0;5.0;9.0;;;6.0;6.0;8.0;9.0;4.0;3.0;6.0;6.0;4.0;248.0
90;Verhuisgeneigdheid: beslist wel;Starters;1998;307.0;95.0;180.0;33.0;109.0;198.0;69.0;129.0;109.0;68.0;187.0;52.0;7.0;19.0;35.0;34.0;34.0;26.0;8.0;17.0;6.0;10.0;20.0;24.0;15.0;9.0;4.0;2.0;2.0;1.0;1.0;2921.0
91;Verhuisgeneigdheid: beslist wel;Starters;1999;340.0;103.0;199.0;38.0;114.0;226.0;71.0;156.0;113.0;81.0;193.0;66.0;11.0;21.0;40.0;38.0;36.0;22.0;10.0;23.0;5.0;5.0;16.0;24.0;21.0;12.0;7.0;4.0;4.0;5.0;1.0;536.0
92;Verhuisgeneigdheid: beslist wel;Starters;2000;361.0;83.0;229.0;48.0;114.0;248.0;89.0;150.0;123.0;64.0;231.0;65.0;5.0;18.0;36.0;35.0;43.0;36.0;15.0;40.0;2.0;2.0;8.0;22.0;10.0;13.0;12.0;5.0;3.0;3.0;2.0;491.0
93;Verhuisgeneigdheid: beslist wel;Doorstromers;1998;477.0;240.0;192.0;45.0;296.0;181.0;36.0;150.0;291.0;216.0;121.0;140.0;5.0;14.0;22.0;31.0;48.0;37.0;14.0;21.0;4.0;12.0;30.0;46.0;46.0;28.0;24.0;11.0;17.0;12.0;8.0;6260.0
94;Verhuisgeneigdheid: beslist wel;Doorstromers;1999;457.0;222.0;188.0;47.0;268.0;190.0;39.0;146.0;272.0;205.0;112.0;141.0;5.0;11.0;26.0;25.0;51.0;28.0;10.0;33.0;2.0;6.0;14.0;35.0;40.0;29.0;20.0;10.0;27.0;23.0;16.0;955.0
95;Verhuisgeneigdheid: beslist wel;Doorstromers;2000;439.0;201.0;196.0;42.0;256.0;183.0;37.0;136.0;266.0;205.0;110.0;124.0;4.0;13.0;16.0;30.0;35.0;44.0;18.0;36.0;3.0;3.0;15.0;25.0;29.0;23.0;24.0;16.0;28.0;23.0;12.0;871.0
96;Verhuisgeneigdheid: gaat verhuizen;Starters;1998;54.0;31.0;22.0;1.0;29.0;24.0;6.0;20.0;28.0;9.0;30.0;14.0;2.0;2.0;3.0;3.0;4.0;5.0;1.0;2.0;1.0;4.0;6.0;6.0;6.0;3.0;2.0;;2.0;1.0;;553.0
97;Verhuisgeneigdheid: gaat verhuizen;Starters;1999;53.0;29.0;24.0;;30.0;24.0;8.0;15.0;30.0;11.0;28.0;15.0;;6.0;4.0;4.0;3.0;;3.0;4.0;3.0;3.0;6.0;6.0;4.0;2.0;1.0;2.0;;1.0;1.0;106.0
98;Verhuisgeneigdheid: gaat verhuizen;Starters;2000;71.0;43.0;28.0;1.0;34.0;38.0;16.0;17.0;38.0;12.0;36.0;23.0;3.0;7.0;3.0;5.0;5.0;2.0;2.0;1.0;3.0;8.0;3.0;9.0;7.0;5.0;5.0;;;;2.0;106.0
99;Verhuisgeneigdheid: gaat verhuizen;Doorstromers;1998;129.0;98.0;30.0;1.0;95.0;34.0;6.0;30.0;93.0;53.0;39.0;37.0;2.0;1.0;2.0;4.0;8.0;6.0;2.0;4.0;3.0;5.0;10.0;19.0;15.0;14.0;10.0;6.0;9.0;5.0;3.0;2204.0
100;Verhuisgeneigdheid: gaat verhuizen;Doorstromers;1999;122.0;96.0;26.0;;89.0;33.0;8.0;25.0;90.0;55.0;31.0;36.0;;;7.0;1.0;6.0;4.0;;7.0;1.0;3.0;10.0;19.0;12.0;13.0;12.0;7.0;9.0;5.0;3.0;322.0
101;Verhuisgeneigdheid: gaat verhuizen;Doorstromers;2000;117.0;96.0;21.0;;86.0;30.0;4.0;25.0;87.0;55.0;27.0;34.0;1.0;;2.0;1.0;7.0;5.0;;5.0;;4.0;5.0;10.0;13.0;12.0;10.0;12.0;13.0;10.0;7.0;277.0
