ID;Achtergrondkenmerken;Perioden;TotaalWerknemers_1;Levensloopregeling_2;GeenLevensloopregeling_3;Spaarloonregeling_4;GeenSpaarloonregeling_5
30;Leeftijd: 25 tot 30 jaar;2006;750.0;20.0;731.0;229.0;522.0
31;Leeftijd: 25 tot 30 jaar;2007;765.0;19.0;746.0;198.0;567.0
32;Leeftijd: 25 tot 30 jaar;2008;772.0;14.0;758.0;166.0;606.0
33;Leeftijd: 25 tot 30 jaar;2009;757.0;14.0;743.0;163.0;594.0
34;Leeftijd: 25 tot 30 jaar;2010;741.0;10.0;731.0;158.0;583.0
35;Leeftijd: 25 tot 30 jaar;2011;733.0;13.0;720.0;150.0;583.0
36;Leeftijd: 30 tot 35 jaar;2006;798.0;25.0;773.0;337.0;461.0
37;Leeftijd: 30 tot 35 jaar;2007;787.0;36.0;751.0;290.0;497.0
38;Leeftijd: 30 tot 35 jaar;2008;773.0;38.0;735.0;260.0;513.0
39;Leeftijd: 30 tot 35 jaar;2009;760.0;30.0;730.0;242.0;518.0
40;Leeftijd: 30 tot 35 jaar;2010;768.0;25.0;743.0;245.0;523.0
41;Leeftijd: 30 tot 35 jaar;2011;749.0;22.0;727.0;227.0;523.0
42;Leeftijd: 35 tot 40 jaar;2006;883.0;33.0;850.0;412.0;470.0
43;Leeftijd: 35 tot 40 jaar;2007;895.0;33.0;862.0;391.0;504.0
44;Leeftijd: 35 tot 40 jaar;2008;900.0;42.0;858.0;345.0;555.0
45;Leeftijd: 35 tot 40 jaar;2009;856.0;37.0;820.0;309.0;547.0
46;Leeftijd: 35 tot 40 jaar;2010;799.0;32.0;767.0;307.0;492.0
47;Leeftijd: 35 tot 40 jaar;2011;763.0;28.0;734.0;272.0;491.0
48;Leeftijd: 40 tot 45 jaar;2006;868.0;43.0;825.0;386.0;482.0
49;Leeftijd: 40 tot 45 jaar;2007;872.0;35.0;837.0;387.0;486.0
50;Leeftijd: 40 tot 45 jaar;2008;893.0;41.0;852.0;361.0;532.0
51;Leeftijd: 40 tot 45 jaar;2009;883.0;31.0;852.0;339.0;543.0
52;Leeftijd: 40 tot 45 jaar;2010;874.0;33.0;841.0;346.0;528.0
53;Leeftijd: 40 tot 45 jaar;2011;839.0;34.0;805.0;311.0;528.0
54;Leeftijd: 45 tot 50 jaar;2006;788.0;33.0;755.0;376.0;412.0
55;Leeftijd: 45 tot 50 jaar;2007;821.0;40.0;781.0;368.0;452.0
56;Leeftijd: 45 tot 50 jaar;2008;856.0;42.0;814.0;352.0;504.0
57;Leeftijd: 45 tot 50 jaar;2009;847.0;35.0;812.0;342.0;505.0
58;Leeftijd: 45 tot 50 jaar;2010;842.0;35.0;807.0;338.0;504.0
59;Leeftijd: 45 tot 50 jaar;2011;872.0;34.0;838.0;356.0;516.0
60;Leeftijd: 50 tot 55 jaar;2006;673.0;51.0;622.0;332.0;342.0
61;Leeftijd: 50 tot 55 jaar;2007;690.0;58.0;632.0;318.0;372.0
62;Leeftijd: 50 tot 55 jaar;2008;716.0;50.0;667.0;308.0;408.0
63;Leeftijd: 50 tot 55 jaar;2009;741.0;38.0;703.0;321.0;420.0
64;Leeftijd: 50 tot 55 jaar;2010;758.0;42.0;716.0;317.0;441.0
65;Leeftijd: 50 tot 55 jaar;2011;755.0;38.0;717.0;318.0;436.0
66;Leeftijd: 55 tot 60 jaar;2006;521.0;20.0;501.0;271.0;250.0
67;Leeftijd: 55 tot 60 jaar;2007;540.0;33.0;507.0;264.0;276.0
68;Leeftijd: 55 tot 60 jaar;2008;550.0;39.0;511.0;257.0;292.0
69;Leeftijd: 55 tot 60 jaar;2009;579.0;47.0;531.0;258.0;321.0
70;Leeftijd: 55 tot 60 jaar;2010;572.0;54.0;518.0;242.0;329.0
71;Leeftijd: 55 tot 60 jaar;2011;612.0;59.0;553.0;258.0;354.0
72;Leeftijd: 60 tot 65 jaar;2006;123.0;;122.0;49.0;74.0
73;Leeftijd: 60 tot 65 jaar;2007;163.0;2.0;160.0;66.0;96.0
74;Leeftijd: 60 tot 65 jaar;2008;203.0;3.0;200.0;83.0;119.0
75;Leeftijd: 60 tot 65 jaar;2009;238.0;4.0;234.0;97.0;141.0
76;Leeftijd: 60 tot 65 jaar;2010;269.0;9.0;261.0;106.0;163.0
77;Leeftijd: 60 tot 65 jaar;2011;272.0;17.0;256.0;104.0;168.0
78;Onderwijsniveau: lager onderwijs;2006;1479.0;13.0;1466.0;460.0;1020.0
79;Onderwijsniveau: lager onderwijs;2007;1465.0;17.0;1449.0;395.0;1070.0
80;Onderwijsniveau: lager onderwijs;2008;1592.0;16.0;1576.0;389.0;1203.0
81;Onderwijsniveau: lager onderwijs;2009;1522.0;20.0;1502.0;366.0;1156.0
82;Onderwijsniveau: lager onderwijs;2010;1382.0;10.0;1372.0;335.0;1047.0
83;Onderwijsniveau: lager onderwijs;2011;1422.0;21.0;1401.0;348.0;1074.0
84;Onderwijsniveau: middelbaar;2006;2748.0;82.0;2666.0;1096.0;1652.0
85;Onderwijsniveau: middelbaar;2007;2804.0;97.0;2707.0;1050.0;1754.0
86;Onderwijsniveau: middelbaar;2008;2786.0;94.0;2692.0;961.0;1824.0
87;Onderwijsniveau: middelbaar;2009;2769.0;77.0;2693.0;948.0;1821.0
88;Onderwijsniveau: middelbaar;2010;2728.0;81.0;2647.0;899.0;1829.0
89;Onderwijsniveau: middelbaar;2011;2690.0;82.0;2608.0;871.0;1819.0
90;Onderwijsniveau: hoog;2006;1875.0;135.0;1739.0;906.0;968.0
91;Onderwijsniveau: hoog;2007;2002.0;146.0;1856.0;898.0;1104.0
92;Onderwijsniveau: hoog;2008;2068.0;160.0;1908.0;839.0;1229.0
93;Onderwijsniveau: hoog;2009;2118.0;141.0;1977.0;817.0;1301.0
94;Onderwijsniveau: hoog;2010;2191.0;146.0;2045.0;871.0;1320.0
95;Onderwijsniveau: hoog;2011;2145.0;142.0;2003.0;812.0;1333.0
96;Onderwijsniveau: onbekend;2006;34.0;;34.0;5.0;29.0
97;Onderwijsniveau: onbekend;2007;34.0;;34.0;7.0;27.0
98;Onderwijsniveau: onbekend;2008;16.0;;;;
99;Onderwijsniveau: onbekend;2009;21.0;;;;
100;Onderwijsniveau: onbekend;2010;40.0;;39.0;8.0;32.0
101;Onderwijsniveau: onbekend;2011;70.0;2.0;68.0;12.0;58.0
102;Positie in huishouden: alleenstaande;2006;906.0;29.0;876.0;340.0;566.0
103;Positie in huishouden: alleenstaande;2007;965.0;28.0;936.0;332.0;633.0
104;Positie in huishouden: alleenstaande;2008;968.0;27.0;941.0;302.0;666.0
105;Positie in huishouden: alleenstaande;2009;960.0;25.0;935.0;284.0;677.0
106;Positie in huishouden: alleenstaande;2010;929.0;33.0;896.0;296.0;634.0
107;Positie in huishouden: alleenstaande;2011;930.0;26.0;905.0;274.0;656.0
108;Positie in huishouden: éénouder;2006;201.0;5.0;197.0;70.0;131.0
109;Positie in huishouden: éénouder;2007;219.0;7.0;212.0;71.0;149.0
110;Positie in huishouden: éénouder;2008;233.0;6.0;227.0;70.0;164.0
111;Positie in huishouden: éénouder;2009;245.0;5.0;240.0;71.0;174.0
112;Positie in huishouden: éénouder;2010;233.0;5.0;228.0;66.0;167.0
113;Positie in huishouden: éénouder;2011;236.0;5.0;231.0;74.0;162.0
114;Positie in huishouden: lid van ouderpaar;2006;2666.0;118.0;2548.0;1263.0;1403.0
115;Positie in huishouden: lid van ouderpaar;2007;2731.0;137.0;2595.0;1211.0;1521.0
116;Positie in huishouden: lid van ouderpaar;2008;2751.0;154.0;2597.0;1117.0;1634.0
117;Positie in huishouden: lid van ouderpaar;2009;2710.0;125.0;2585.0;1077.0;1633.0
118;Positie in huishouden: lid van ouderpaar;2010;2735.0;114.0;2620.0;1073.0;1661.0
119;Positie in huishouden: lid van ouderpaar;2011;2752.0;120.0;2632.0;1068.0;1684.0
120;Positie in huish.: lid paar geen ouder;2006;1664.0;73.0;1590.0;700.0;964.0
121;Positie in huish.: lid paar geen ouder;2007;1652.0;83.0;1569.0;649.0;1003.0
122;Positie in huish.: lid paar geen ouder;2008;1742.0;81.0;1662.0;626.0;1116.0
123;Positie in huish.: lid paar geen ouder;2009;1792.0;80.0;1711.0;633.0;1159.0
124;Positie in huish.: lid paar geen ouder;2010;1770.0;85.0;1686.0;616.0;1155.0
125;Positie in huish.: lid paar geen ouder;2011;1680.0;94.0;1586.0;571.0;1109.0
126;Positie in huishouden: overig lid;2006;698.0;4.0;694.0;94.0;604.0
127;Positie in huishouden: overig lid;2007;737.0;4.0;733.0;86.0;651.0
128;Positie in huishouden: overig lid;2008;768.0;2.0;765.0;77.0;690.0
129;Positie in huishouden: overig lid;2009;723.0;2.0;721.0;69.0;654.0
130;Positie in huishouden: overig lid;2010;675.0;2.0;672.0;63.0;612.0
131;Positie in huishouden: overig lid;2011;727.0;;726.0;55.0;672.0
132;Herkomst: autochtoon;2006;5082.0;206.0;4876.0;2166.0;2916.0
133;Herkomst: autochtoon;2007;5181.0;230.0;4951.0;2053.0;3128.0
134;Herkomst: autochtoon;2008;5262.0;242.0;5019.0;1911.0;3351.0
135;Herkomst: autochtoon;2009;5252.0;209.0;5044.0;1861.0;3391.0
136;Herkomst: autochtoon;2010;5169.0;209.0;4960.0;1837.0;3332.0
137;Herkomst: autochtoon;2011;5125.0;213.0;4911.0;1768.0;3357.0
138;Herkomst: westerse allochtoon;2006;553.0;19.0;535.0;196.0;357.0
139;Herkomst: westerse allochtoon;2007;560.0;20.0;539.0;191.0;369.0
140;Herkomst: westerse allochtoon;2008;588.0;21.0;567.0;173.0;415.0
141;Herkomst: westerse allochtoon;2009;589.0;21.0;568.0;175.0;414.0
142;Herkomst: westerse allochtoon;2010;578.0;19.0;559.0;160.0;418.0
143;Herkomst: westerse allochtoon;2011;570.0;23.0;548.0;163.0;408.0
144;Herkomst: niet-westerse allochtoon;2006;500.0;5.0;495.0;105.0;395.0
145;Herkomst: niet-westerse allochtoon;2007;564.0;9.0;555.0;105.0;459.0
146;Herkomst: niet-westerse allochtoon;2008;613.0;7.0;606.0;109.0;505.0
147;Herkomst: niet-westerse allochtoon;2009;589.0;8.0;581.0;98.0;490.0
148;Herkomst: niet-westerse allochtoon;2010;589.0;11.0;578.0;114.0;475.0
149;Herkomst: niet-westerse allochtoon;2011;619.0;11.0;608.0;112.0;508.0
150;Herkomst: onbekend;2006;;;;;
151;Herkomst: onbekend;2007;;;;;
152;Herkomst: onbekend;2008;;;;;
153;Herkomst: onbekend;2009;;;;;
154;Herkomst: onbekend;2010;6.0;;;;
155;Herkomst: onbekend;2011;12.0;;;;
156;Werkkring: werkn. vaste arbeidsrelatie;2006;5184.0;221.0;4964.0;2350.0;2834.0
157;Werkkring: werkn. vaste arbeidsrelatie;2007;5231.0;249.0;4981.0;2233.0;2998.0
158;Werkkring: werkn. vaste arbeidsrelatie;2008;5351.0;264.0;5087.0;2089.0;3262.0
159;Werkkring: werkn. vaste arbeidsrelatie;2009;5298.0;231.0;5067.0;2035.0;3264.0
160;Werkkring: werkn. vaste arbeidsrelatie;2010;5233.0;233.0;5000.0;1996.0;3237.0
161;Werkkring: werkn. vaste arbeidsrelatie;2011;5225.0;242.0;4983.0;1934.0;3291.0
162;Werkkring: werkn. flexibele arbeidsrel..;2006;951.0;10.0;941.0;117.0;834.0
163;Werkkring: werkn. flexibele arbeidsrel..;2007;1074.0;10.0;1064.0;116.0;958.0
164;Werkkring: werkn. flexibele arbeidsrel..;2008;1112.0;6.0;1105.0;103.0;1009.0
165;Werkkring: werkn. flexibele arbeidsrel..;2009;1132.0;6.0;1126.0;100.0;1032.0
166;Werkkring: werkn. flexibele arbeidsrel..;2010;1109.0;7.0;1103.0;117.0;992.0
167;Werkkring: werkn. flexibele arbeidsrel..;2011;1101.0;5.0;1096.0;109.0;992.0
168;29;2006;657.0;11.0;646.0;166.0;491.0
169;29;2007;661.0;13.0;648.0;144.0;517.0
170;29;2008;673.0;12.0;661.0;132.0;541.0
171;29;2009;666.0;7.0;659.0;133.0;532.0
172;29;2010;651.0;5.0;646.0;123.0;528.0
173;29;2011;663.0;9.0;655.0;117.0;547.0
174;30;2006;856.0;27.0;830.0;309.0;548.0
175;30;2007;932.0;29.0;902.0;329.0;603.0
176;30;2008;977.0;35.0;942.0;306.0;671.0
177;30;2009;999.0;30.0;969.0;297.0;702.0
178;30;2010;1044.0;34.0;1011.0;294.0;750.0
179;30;2011;1021.0;32.0;989.0;293.0;727.0
180;31;2006;893.0;42.0;851.0;356.0;537.0
181;31;2007;944.0;48.0;896.0;335.0;609.0
182;31;2008;985.0;51.0;935.0;318.0;667.0
183;31;2009;1022.0;48.0;974.0;317.0;705.0
184;31;2010;1019.0;52.0;967.0;338.0;681.0
185;31;2011;1055.0;49.0;1006.0;339.0;716.0
186;32;2006;3729.0;150.0;3579.0;1636.0;2093.0
187;32;2007;3768.0;169.0;3598.0;1541.0;2227.0
188;32;2008;3827.0;173.0;3654.0;1436.0;2391.0
189;32;2009;3743.0;152.0;3591.0;1388.0;2355.0
190;32;2010;3628.0;149.0;3479.0;1358.0;2270.0
191;32;2011;3588.0;158.0;3430.0;1294.0;2293.0
192;33;2006;151.0;151.0;;;
193;33;2007;179.0;179.0;;;
194;33;2008;178.0;178.0;;;
195;33;2009;146.0;146.0;;;
196;33;2010;123.0;123.0;;;
197;33;2011;103.0;103.0;;;
198;34;2006;79.0;79.0;;;
199;34;2007;80.0;80.0;;;
200;34;2008;92.0;92.0;;;
201;34;2009;90.0;90.0;;;
202;34;2010;115.0;115.0;;;
203;34;2011;143.0;143.0;;;
204;35;2006;;;;;
205;35;2007;;;;;
206;35;2008;;;;;
207;35;2009;;;;;
208;35;2010;;;;;
209;35;2011;;;;;
210;36;2006;;;;;
211;36;2007;99.0;;99.0;;
212;36;2008;129.0;;129.0;;
213;36;2009;138.0;;138.0;;
214;36;2010;132.0;;132.0;;
215;36;2011;159.0;;159.0;;
216;37;2006;;;;;
217;37;2007;5799.0;;5799.0;;
218;37;2008;5916.0;;5916.0;;
219;37;2009;5898.0;;5898.0;;
220;37;2010;5751.0;;5751.0;;
221;37;2011;5694.0;;5694.0;;
222;38;2006;;;;;
223;38;2007;20.0;;;;
224;38;2008;22.0;;;;
225;38;2009;21.0;;;;
226;38;2010;219.0;;219.0;;
227;38;2011;227.0;;227.0;;
228;39;2006;;;;;
229;39;2007;127.0;;127.0;;
230;39;2008;125.0;;125.0;;
231;39;2009;136.0;;136.0;;
232;39;2010;;;;;
233;39;2011;;;;;
