ID;CategoriesOfGoodsSITC;Periods;ImportValue_1;ExportValue_2;BalanceOfTrade_3;ImportValue_4;ExportValue_5
101;0 Food and live animals;2020 3rd quarter;11274.0;9.0;-11265.0;7.1;100.0
102;0 Food and live animals;2020 4th quarter;11911.0;3.0;-11908.0;-2.1;200.0
103;0 Food and live animals;2020;45180.0;20.0;-45160.0;2.7;900.0
104;0 Food and live animals;2021 1st quarter;11531.0;26.0;-11505.0;-1.7;2500.0
105;0 Food and live animals;2021 2nd quarter;12435.0;11.0;-12424.0;21.2;57.1
106;0 Food and live animals;2021 3rd quarter;14478.0;10.0;-14468.0;28.4;11.1
107;0 Food and live animals;2021 4th quarter;16721.0;18.0;-16703.0;40.4;500.0
108;0 Food and live animals;2021;55165.0;64.0;-55101.0;22.1;220.0
109;0 Food and live animals;2022 1st quarter;14679.0;7.0;-14672.0;27.3;-73.1
110;0 Food and live animals;2022 2nd quarter;16178.0;0.0;-16178.0;30.1;-100.0
111;0 Food and live animals;2022 3rd quarter;16027.0;0.0;-16027.0;10.7;-100.0
112;1 Beverages and tobacco;2011 3rd quarter;3476.0;0.0;-3476.0;;
113;1 Beverages and tobacco;2011 4th quarter;3621.0;10.0;-3611.0;;
114;1 Beverages and tobacco;2011;;;;;
115;1 Beverages and tobacco;2012 1st quarter;3524.0;3.0;-3521.0;;
116;1 Beverages and tobacco;2012 2nd quarter;2589.0;41.0;-2548.0;;
117;1 Beverages and tobacco;2012 3rd quarter;3251.0;3.0;-3248.0;-6.5;100.0
118;1 Beverages and tobacco;2012 4th quarter;3516.0;3.0;-3513.0;-2.9;-70.0
119;1 Beverages and tobacco;2012;12879.0;50.0;-12829.0;;
120;1 Beverages and tobacco;2013 1st quarter;2477.0;0.0;-2477.0;-29.7;-100.0
121;1 Beverages and tobacco;2013 2nd quarter;2847.0;1.0;-2846.0;10.0;-97.6
122;1 Beverages and tobacco;2013 3rd quarter;3524.0;2.0;-3522.0;8.4;-33.3
123;1 Beverages and tobacco;2013 4th quarter;3478.0;1.0;-3477.0;-1.1;-66.7
124;1 Beverages and tobacco;2013;12326.0;4.0;-12322.0;-4.3;-92.0
125;1 Beverages and tobacco;2014 1st quarter;3161.0;1.0;-3160.0;27.6;100.0
126;1 Beverages and tobacco;2014 2nd quarter;2801.0;0.0;-2801.0;-1.6;-100.0
127;1 Beverages and tobacco;2014 3rd quarter;3433.0;9.0;-3424.0;-2.6;350.0
128;1 Beverages and tobacco;2014 4th quarter;3766.0;117.0;-3649.0;8.3;11600.0
129;1 Beverages and tobacco;2014;13162.0;127.0;-13035.0;6.8;3075.0
130;1 Beverages and tobacco;2015 1st quarter;3390.0;12.0;-3378.0;7.2;1100.0
131;1 Beverages and tobacco;2015 2nd quarter;3539.0;4.0;-3535.0;26.3;100.0
132;1 Beverages and tobacco;2015 3rd quarter;3103.0;27.0;-3076.0;-9.6;200.0
133;1 Beverages and tobacco;2015 4th quarter;3939.0;500.0;-3439.0;4.6;327.4
134;1 Beverages and tobacco;2015;13971.0;543.0;-13428.0;6.1;327.6
135;1 Beverages and tobacco;2016 1st quarter;2529.0;44.0;-2485.0;-25.4;266.7
136;1 Beverages and tobacco;2016 2nd quarter;3231.0;73.0;-3158.0;-8.7;1725.0
137;1 Beverages and tobacco;2016 3rd quarter;3710.0;3.0;-3707.0;19.6;-88.9
138;1 Beverages and tobacco;2016 4th quarter;4524.0;0.0;-4524.0;14.9;-100.0
139;1 Beverages and tobacco;2016;13994.0;119.0;-13875.0;0.2;-78.1
140;1 Beverages and tobacco;2017 1st quarter;3857.0;6.0;-3851.0;52.5;-86.4
141;1 Beverages and tobacco;2017 2nd quarter;4053.0;4.0;-4049.0;25.4;-94.5
142;1 Beverages and tobacco;2017 3rd quarter;2793.0;0.0;-2793.0;-24.7;-100.0
143;1 Beverages and tobacco;2017 4th quarter;5080.0;0.0;-5080.0;12.3;0.0
144;1 Beverages and tobacco;2017;15783.0;10.0;-15773.0;12.8;-91.6
145;1 Beverages and tobacco;2018 1st quarter;4736.0;16.0;-4720.0;22.8;166.7
146;1 Beverages and tobacco;2018 2nd quarter;4839.0;9.0;-4830.0;19.4;125.0
147;1 Beverages and tobacco;2018 3rd quarter;4015.0;2.0;-4013.0;43.8;100.0
148;1 Beverages and tobacco;2018 4th quarter;5480.0;4.0;-5476.0;7.9;100.0
149;1 Beverages and tobacco;2018;19071.0;31.0;-19040.0;20.8;210.0
150;1 Beverages and tobacco;2019 1st quarter;4024.0;57.0;-3967.0;-15.0;256.3
151;1 Beverages and tobacco;2019 2nd quarter;5384.0;0.0;-5384.0;11.3;-100.0
152;1 Beverages and tobacco;2019 3rd quarter;5213.0;4.0;-5209.0;29.8;100.0
153;1 Beverages and tobacco;2019 4th quarter;5047.0;0.0;-5047.0;-7.9;-100.0
154;1 Beverages and tobacco;2019;19667.0;61.0;-19606.0;3.1;96.8
155;1 Beverages and tobacco;2020 1st quarter;4505.0;1.0;-4504.0;12.0;-98.2
156;1 Beverages and tobacco;2020 2nd quarter;5158.0;77.0;-5081.0;-4.2;100.0
157;1 Beverages and tobacco;2020 3rd quarter;3795.0;13.0;-3782.0;-27.2;225.0
158;1 Beverages and tobacco;2020 4th quarter;6417.0;16.0;-6401.0;27.1;100.0
159;1 Beverages and tobacco;2020;19875.0;107.0;-19768.0;1.1;75.4
160;1 Beverages and tobacco;2021 1st quarter;2860.0;1.0;-2859.0;-36.5;0.0
161;1 Beverages and tobacco;2021 2nd quarter;5115.0;0.0;-5115.0;-0.8;-100.0
162;1 Beverages and tobacco;2021 3rd quarter;6227.0;32.0;-6195.0;64.1;146.2
163;1 Beverages and tobacco;2021 4th quarter;8748.0;1.0;-8747.0;36.3;-93.8
164;1 Beverages and tobacco;2021;22950.0;34.0;-22916.0;15.5;-68.2
165;1 Beverages and tobacco;2022 1st quarter;4790.0;6.0;-4784.0;67.5;500.0
166;1 Beverages and tobacco;2022 2nd quarter;7971.0;10.0;-7961.0;55.8;100.0
167;1 Beverages and tobacco;2022 3rd quarter;7409.0;16.0;-7393.0;19.0;-50.0
168;2 Crude materials, inedible, except f...;2011 3rd quarter;895.0;118.0;-777.0;;
169;2 Crude materials, inedible, except f...;2011 4th quarter;682.0;44.0;-638.0;;
170;2 Crude materials, inedible, except f...;2011;;;;;
171;2 Crude materials, inedible, except f...;2012 1st quarter;912.0;180.0;-732.0;;
172;2 Crude materials, inedible, except f...;2012 2nd quarter;740.0;0.0;-740.0;;
173;2 Crude materials, inedible, except f...;2012 3rd quarter;837.0;98.0;-739.0;-6.5;-16.9
174;2 Crude materials, inedible, except f...;2012 4th quarter;643.0;346.0;-297.0;-5.7;686.4
175;2 Crude materials, inedible, except f...;2012;3133.0;624.0;-2509.0;;
176;2 Crude materials, inedible, except f...;2013 1st quarter;928.0;1442.0;514.0;1.8;701.1
177;2 Crude materials, inedible, except f...;2013 2nd quarter;850.0;217.0;-633.0;14.9;100.0
178;2 Crude materials, inedible, except f...;2013 3rd quarter;1132.0;676.0;-456.0;35.2;589.8
179;2 Crude materials, inedible, except f...;2013 4th quarter;667.0;1503.0;836.0;3.7;334.4
180;2 Crude materials, inedible, except f...;2013;3577.0;3838.0;261.0;14.2;515.1
181;2 Crude materials, inedible, except f...;2014 1st quarter;984.0;1380.0;396.0;6.0;-4.3
182;2 Crude materials, inedible, except f...;2014 2nd quarter;884.0;682.0;-202.0;4.0;214.3
183;2 Crude materials, inedible, except f...;2014 3rd quarter;879.0;354.0;-525.0;-22.3;-47.6
184;2 Crude materials, inedible, except f...;2014 4th quarter;1162.0;3024.0;1862.0;74.2;101.2
185;2 Crude materials, inedible, except f...;2014;3910.0;5440.0;1530.0;9.3;41.7
186;2 Crude materials, inedible, except f...;2015 1st quarter;997.0;1910.0;913.0;1.3;38.4
187;2 Crude materials, inedible, except f...;2015 2nd quarter;1091.0;97.0;-994.0;23.4;-85.8
188;2 Crude materials, inedible, except f...;2015 3rd quarter;1332.0;145.0;-1187.0;51.5;-59.0
189;2 Crude materials, inedible, except f...;2015 4th quarter;1237.0;54.0;-1183.0;6.5;-98.2
190;2 Crude materials, inedible, except f...;2015;4657.0;2207.0;-2450.0;19.1;-59.4
191;2 Crude materials, inedible, except f...;2016 1st quarter;926.0;1259.0;333.0;-7.1;-34.1
192;2 Crude materials, inedible, except f...;2016 2nd quarter;1203.0;64.0;-1139.0;10.3;-34.0
193;2 Crude materials, inedible, except f...;2016 3rd quarter;1205.0;24.0;-1181.0;-9.5;-83.4
194;2 Crude materials, inedible, except f...;2016 4th quarter;842.0;37.0;-805.0;-31.9;-31.5
195;2 Crude materials, inedible, except f...;2016;4176.0;1385.0;-2791.0;-10.3;-37.2
196;2 Crude materials, inedible, except f...;2017 1st quarter;1230.0;1085.0;-145.0;32.8;-13.8
197;2 Crude materials, inedible, except f...;2017 2nd quarter;1564.0;2096.0;532.0;30.0;3175.0
198;2 Crude materials, inedible, except f...;2017 3rd quarter;843.0;371.0;-472.0;-30.0;1445.8
199;2 Crude materials, inedible, except f...;2017 4th quarter;1348.0;10.0;-1338.0;60.1;-73.0
200;2 Crude materials, inedible, except f...;2017;4986.0;3562.0;-1424.0;19.4;157.2
201;2 Crude materials, inedible, except f...;2018 1st quarter;1932.0;182.0;-1750.0;57.1;-83.2
202;2 Crude materials, inedible, except f...;2018 2nd quarter;2045.0;1272.0;-773.0;30.8;-39.3
203;2 Crude materials, inedible, except f...;2018 3rd quarter;1528.0;4.0;-1524.0;81.3;-98.9
204;2 Crude materials, inedible, except f...;2018 4th quarter;1117.0;29.0;-1088.0;-17.1;190.0
205;2 Crude materials, inedible, except f...;2018;6621.0;1487.0;-5134.0;32.8;-58.3
206;2 Crude materials, inedible, except f...;2019 1st quarter;1904.0;1225.0;-679.0;-1.4;573.1
207;2 Crude materials, inedible, except f...;2019 2nd quarter;2465.0;1.0;-2464.0;20.5;-99.9
208;2 Crude materials, inedible, except f...;2019 3rd quarter;944.0;1113.0;169.0;-38.2;27725.0
209;2 Crude materials, inedible, except f...;2019 4th quarter;1013.0;6.0;-1007.0;-9.3;-79.3
210;2 Crude materials, inedible, except f...;2019;6327.0;2344.0;-3983.0;-4.4;57.6
211;2 Crude materials, inedible, except f...;2020 1st quarter;1996.0;18.0;-1978.0;4.8;-98.5
212;2 Crude materials, inedible, except f...;2020 2nd quarter;2094.0;14.0;-2080.0;-15.1;1300.0
213;2 Crude materials, inedible, except f...;2020 3rd quarter;1992.0;5.0;-1987.0;111.0;-99.6
214;2 Crude materials, inedible, except f...;2020 4th quarter;2217.0;32.0;-2185.0;118.9;433.3
215;2 Crude materials, inedible, except f...;2020;8299.0;70.0;-8229.0;31.2;-97.0
216;2 Crude materials, inedible, except f...;2021 1st quarter;2029.0;29.0;-2000.0;1.7;61.1
217;2 Crude materials, inedible, except f...;2021 2nd quarter;2450.0;78.0;-2372.0;17.0;457.1
218;2 Crude materials, inedible, except f...;2021 3rd quarter;1827.0;52.0;-1775.0;-8.3;940.0
219;2 Crude materials, inedible, except f...;2021 4th quarter;1666.0;241.0;-1425.0;-24.9;653.1
220;2 Crude materials, inedible, except f...;2021;7972.0;400.0;-7572.0;-3.9;471.4
221;2 Crude materials, inedible, except f...;2022 1st quarter;2354.0;97.0;-2257.0;16.0;234.5
222;2 Crude materials, inedible, except f...;2022 2nd quarter;2140.0;47.0;-2093.0;-12.7;-39.7
223;2 Crude materials, inedible, except f...;2022 3rd quarter;3906.0;5.0;-3901.0;113.8;-90.4
224;3 Mineral fuels, lubricants and relat...;2011 3rd quarter;217.0;1.0;-216.0;;
225;3 Mineral fuels, lubricants and relat...;2011 4th quarter;2390.0;1.0;-2389.0;;
226;3 Mineral fuels, lubricants and relat...;2011;;;;;
227;3 Mineral fuels, lubricants and relat...;2012 1st quarter;2502.0;0.0;-2502.0;;
228;3 Mineral fuels, lubricants and relat...;2012 2nd quarter;2219.0;0.0;-2219.0;;
229;3 Mineral fuels, lubricants and relat...;2012 3rd quarter;2150.0;1.0;-2149.0;890.8;0.0
230;3 Mineral fuels, lubricants and relat...;2012 4th quarter;3529.0;1.0;-3528.0;47.7;0.0
231;3 Mineral fuels, lubricants and relat...;2012;10399.0;2.0;-10397.0;;
232;3 Mineral fuels, lubricants and relat...;2013 1st quarter;4445.0;1.0;-4444.0;77.7;100.0
233;3 Mineral fuels, lubricants and relat...;2013 2nd quarter;110.0;1.0;-109.0;-95.0;100.0
234;3 Mineral fuels, lubricants and relat...;2013 3rd quarter;1747.0;0.0;-1747.0;-18.7;-100.0
235;3 Mineral fuels, lubricants and relat...;2013 4th quarter;3548.0;0.0;-3548.0;0.5;-100.0
236;3 Mineral fuels, lubricants and relat...;2013;9850.0;1.0;-9849.0;-5.3;-50.0
237;3 Mineral fuels, lubricants and relat...;2014 1st quarter;1456.0;0.0;-1456.0;-67.2;-100.0
238;3 Mineral fuels, lubricants and relat...;2014 2nd quarter;376.0;0.0;-376.0;241.8;-100.0
239;3 Mineral fuels, lubricants and relat...;2014 3rd quarter;3154.0;0.0;-3154.0;80.5;0.0
240;3 Mineral fuels, lubricants and relat...;2014 4th quarter;2074.0;0.0;-2074.0;-41.5;0.0
241;3 Mineral fuels, lubricants and relat...;2014;7061.0;1.0;-7060.0;-28.3;0.0
242;3 Mineral fuels, lubricants and relat...;2015 1st quarter;7984.0;0.0;-7984.0;448.4;0.0
243;3 Mineral fuels, lubricants and relat...;2015 2nd quarter;4310.0;0.0;-4310.0;1046.3;0.0
244;3 Mineral fuels, lubricants and relat...;2015 3rd quarter;1488.0;0.0;-1488.0;-52.8;0.0
245;3 Mineral fuels, lubricants and relat...;2015 4th quarter;3626.0;3.0;-3623.0;74.8;100.0
246;3 Mineral fuels, lubricants and relat...;2015;17408.0;3.0;-17405.0;146.5;200.0
247;3 Mineral fuels, lubricants and relat...;2016 1st quarter;1531.0;0.0;-1531.0;-80.8;0.0
248;3 Mineral fuels, lubricants and relat...;2016 2nd quarter;3813.0;13.0;-3800.0;-11.5;100.0
249;3 Mineral fuels, lubricants and relat...;2016 3rd quarter;292.0;1.0;-291.0;-80.4;100.0
250;3 Mineral fuels, lubricants and relat...;2016 4th quarter;3655.0;0.0;-3655.0;0.8;-100.0
251;3 Mineral fuels, lubricants and relat...;2016;9291.0;15.0;-9276.0;-46.6;400.0
252;3 Mineral fuels, lubricants and relat...;2017 1st quarter;2318.0;8.0;-2310.0;51.4;100.0
253;3 Mineral fuels, lubricants and relat...;2017 2nd quarter;5081.0;0.0;-5081.0;33.3;-100.0
254;3 Mineral fuels, lubricants and relat...;2017 3rd quarter;2680.0;1.0;-2679.0;817.8;0.0
255;3 Mineral fuels, lubricants and relat...;2017 4th quarter;3791.0;0.0;-3791.0;3.7;0.0
256;3 Mineral fuels, lubricants and relat...;2017;13870.0;9.0;-13861.0;49.3;-40.0
257;3 Mineral fuels, lubricants and relat...;2018 1st quarter;1120.0;0.0;-1120.0;-51.7;-100.0
258;3 Mineral fuels, lubricants and relat...;2018 2nd quarter;519.0;0.0;-519.0;-89.8;0.0
259;3 Mineral fuels, lubricants and relat...;2018 3rd quarter;548.0;0.0;-548.0;-79.6;-100.0
260;3 Mineral fuels, lubricants and relat...;2018 4th quarter;1354.0;0.0;-1354.0;-64.3;0.0
261;3 Mineral fuels, lubricants and relat...;2018;3541.0;0.0;-3541.0;-74.5;-100.0
262;3 Mineral fuels, lubricants and relat...;2019 1st quarter;831.0;0.0;-831.0;-25.8;0.0
263;3 Mineral fuels, lubricants and relat...;2019 2nd quarter;476.0;0.0;-476.0;-8.3;0.0
264;3 Mineral fuels, lubricants and relat...;2019 3rd quarter;584.0;0.0;-584.0;6.6;0.0
265;3 Mineral fuels, lubricants and relat...;2019 4th quarter;435.0;0.0;-435.0;-67.9;0.0
266;3 Mineral fuels, lubricants and relat...;2019;2326.0;0.0;-2326.0;-34.3;0.0
267;3 Mineral fuels, lubricants and relat...;2020 1st quarter;541.0;0.0;-541.0;-34.9;0.0
268;3 Mineral fuels, lubricants and relat...;2020 2nd quarter;450.0;0.0;-450.0;-5.5;0.0
269;3 Mineral fuels, lubricants and relat...;2020 3rd quarter;439.0;1.0;-438.0;-24.8;100.0
270;3 Mineral fuels, lubricants and relat...;2020 4th quarter;364.0;0.0;-364.0;-16.3;0.0
271;3 Mineral fuels, lubricants and relat...;2020;1794.0;1.0;-1793.0;-22.9;100.0
272;3 Mineral fuels, lubricants and relat...;2021 1st quarter;267.0;14.0;-253.0;-50.6;100.0
273;3 Mineral fuels, lubricants and relat...;2021 2nd quarter;414.0;0.0;-414.0;-8.0;0.0
274;3 Mineral fuels, lubricants and relat...;2021 3rd quarter;525.0;6.0;-519.0;19.6;500.0
275;3 Mineral fuels, lubricants and relat...;2021 4th quarter;778.0;1.0;-777.0;113.7;100.0
276;3 Mineral fuels, lubricants and relat...;2021;1983.0;22.0;-1961.0;10.5;2100.0
277;3 Mineral fuels, lubricants and relat...;2022 1st quarter;462.0;0.0;-462.0;73.0;-100.0
278;3 Mineral fuels, lubricants and relat...;2022 2nd quarter;706.0;0.0;-706.0;70.5;0.0
279;3 Mineral fuels, lubricants and relat...;2022 3rd quarter;11027.0;4.0;-11023.0;2000.4;-33.3
280;4 Animal and vegetable oils, fats and...;2011 3rd quarter;153.0;0.0;-153.0;;
281;4 Animal and vegetable oils, fats and...;2011 4th quarter;162.0;0.0;-162.0;;
282;4 Animal and vegetable oils, fats and...;2011;;;;;
283;4 Animal and vegetable oils, fats and...;2012 1st quarter;188.0;0.0;-188.0;;
284;4 Animal and vegetable oils, fats and...;2012 2nd quarter;158.0;0.0;-158.0;;
285;4 Animal and vegetable oils, fats and...;2012 3rd quarter;107.0;0.0;-107.0;-30.1;0.0
286;4 Animal and vegetable oils, fats and...;2012 4th quarter;147.0;0.0;-147.0;-9.3;0.0
287;4 Animal and vegetable oils, fats and...;2012;600.0;0.0;-600.0;;
288;4 Animal and vegetable oils, fats and...;2013 1st quarter;103.0;0.0;-103.0;-45.2;0.0
289;4 Animal and vegetable oils, fats and...;2013 2nd quarter;104.0;13.0;-91.0;-34.2;100.0
290;4 Animal and vegetable oils, fats and...;2013 3rd quarter;116.0;0.0;-116.0;8.4;0.0
291;4 Animal and vegetable oils, fats and...;2013 4th quarter;88.0;3.0;-85.0;-40.1;100.0
292;4 Animal and vegetable oils, fats and...;2013;411.0;16.0;-395.0;-31.5;100.0
293;4 Animal and vegetable oils, fats and...;2014 1st quarter;97.0;0.0;-97.0;-5.8;0.0
294;4 Animal and vegetable oils, fats and...;2014 2nd quarter;116.0;0.0;-116.0;11.5;-100.0
295;4 Animal and vegetable oils, fats and...;2014 3rd quarter;93.0;0.0;-93.0;-19.8;0.0
296;4 Animal and vegetable oils, fats and...;2014 4th quarter;114.0;0.0;-114.0;29.5;-100.0
297;4 Animal and vegetable oils, fats and...;2014;420.0;0.0;-420.0;2.2;-100.0
298;4 Animal and vegetable oils, fats and...;2015 1st quarter;116.0;0.0;-116.0;19.6;0.0
299;4 Animal and vegetable oils, fats and...;2015 2nd quarter;118.0;0.0;-118.0;1.7;0.0
300;4 Animal and vegetable oils, fats and...;2015 3rd quarter;97.0;0.0;-97.0;4.3;0.0
301;4 Animal and vegetable oils, fats and...;2015 4th quarter;72.0;0.0;-72.0;-36.8;0.0
302;4 Animal and vegetable oils, fats and...;2015;404.0;0.0;-404.0;-3.8;0.0
303;4 Animal and vegetable oils, fats and...;2016 1st quarter;95.0;0.0;-95.0;-18.1;0.0
304;4 Animal and vegetable oils, fats and...;2016 2nd quarter;98.0;0.0;-98.0;-16.9;0.0
