ID;Sex;Age;Periods;TotalInflowUnemploymentBenefits_1;InflowTradeAndIndustry_2;OtherInflow_3;TotalOutflowUnemploymentBenefits_4;OutflowDueToResumptionOfWork_5;OtherOutflow_6
185;Total men and women;15 to 25 years;2000 March;3490;3300;190;4250;3040;1210
186;Total men and women;15 to 25 years;2000 April;2190;2060;130;3510;2250;1260
187;Total men and women;15 to 25 years;2000 May;2010;1900;110;2910;1690;1220
188;Total men and women;15 to 25 years;2000 June;1990;1840;140;2790;1510;1290
189;Total men and women;15 to 25 years;2000 July;1930;1810;120;2150;1080;1070
190;Total men and women;15 to 25 years;2000 August;2280;2170;110;2090;1200;890
191;Total men and women;15 to 25 years;2000 September;2010;1890;110;2350;1480;860
192;Total men and women;15 to 25 years;2000 October;2210;2050;160;2330;1350;980
193;Total men and women;15 to 25 years;2000 November;2870;2710;160;2370;1450;920
194;Total men and women;15 to 25 years;2000 December;2070;2000;80;1760;1020;750
195;Total men and women;15 to 25 years;2000 Annual figure;31090;29400;1690;32700;20140;12570
196;Total men and women;15 to 25 years;2001 January;2810;2710;100;1810;1110;700
197;Total men and women;15 to 25 years;2001 February;2680;2580;110;2340;1600;740
198;Total men and women;15 to 25 years;2001 March;3210;3040;170;3540;2390;1150
199;Total men and women;15 to 25 years;2001 April;2270;2150;120;2760;1790;970
200;Total men and women;15 to 25 years;2001 May;2150;2040;120;2530;1560;980
201;Total men and women;15 to 25 years;2001 June;1710;1610;100;2040;1130;910
202;Total men and women;15 to 25 years;2001 July;1700;1590;110;2050;1030;1020
203;Total men and women;15 to 25 years;2001 August;1940;1820;120;1790;1000;790
204;Total men and women;15 to 25 years;2001 September;1990;1880;110;2000;1240;760
205;Total men and women;15 to 25 years;2001 October;2280;2160;110;1950;1170;780
206;Total men and women;15 to 25 years;2001 November;3000;2850;150;2300;1370;930
207;Total men and women;15 to 25 years;2001 December;2170;2060;110;1650;900;750
208;Total men and women;15 to 25 years;2001 Annual figure;27910;26490;1420;26760;16290;10470
209;Total men and women;15 to 25 years;2002 January;3850;3700;150;2260;1320;950
210;Total men and women;15 to 25 years;2002 February;3030;2910;120;2320;1510;800
211;Total men and women;15 to 25 years;2002 March;3240;3120;120;2990;1980;1000
212;Total men and women;15 to 25 years;2002 April;3130;3020;110;3090;2090;1010
213;Total men and women;15 to 25 years;2002 May;3330;3160;160;3290;2040;1250
214;Total men and women;15 to 25 years;2002 June;2840;2720;120;2760;1710;1060
215;Total men and women;15 to 25 years;2002 July;2440;2330;120;2490;1390;1100
216;Total men and women;15 to 25 years;2002 August;2930;2790;150;2500;1390;1110
217;Total men and women;15 to 25 years;2002 September;3050;2930;120;2620;1610;1020
218;Total men and women;15 to 25 years;2002 October;3840;3650;190;3190;1970;1220
219;Total men and women;15 to 25 years;2002 November;3950;3720;240;2290;1390;900
220;Total men and women;15 to 25 years;2002 December;3440;3210;230;2190;1330;860
221;Total men and women;15 to 25 years;2002 Annual figure;39070;37240;1830;31990;19720;12260
222;Total men and women;15 to 25 years;2003 January;5560;5250;320;2830;1670;1160
223;Total men and women;15 to 25 years;2003 February;5220;4860;360;3180;2060;1120
224;Total men and women;15 to 25 years;2003 March;5030;4670;360;3900;2540;1360
225;Total men and women;15 to 25 years;2003 April;4750;4430;330;4000;2620;1380
226;Total men and women;15 to 25 years;2003 May;5130;4780;350;4780;2890;1890
227;Total men and women;15 to 25 years;2003 June;3940;3640;300;3730;2110;1620
228;Total men and women;15 to 25 years;2003 July;4940;4590;350;4440;2290;2140
229;Total men and women;15 to 25 years;2003 August;3740;3470;270;2930;1610;1330
230;Total men and women;15 to 25 years;2003 September;4390;4130;260;3860;2240;1610
231;Total men and women;15 to 25 years;2003 October;5610;5270;330;4500;2720;1780
232;Total men and women;15 to 25 years;2003 November;4970;4610;360;3500;2100;1410
233;Total men and women;15 to 25 years;2003 December;4540;4230;310;3340;1940;1400
234;Total men and women;15 to 25 years;2003 Annual figure;57830;53930;3900;44980;26790;18190
235;Total men and women;15 to 25 years;2004 January;5570;5340;230;3680;2060;1630
236;Total men and women;15 to 25 years;2004 February;5700;5500;200;4210;2490;1720
237;Total men and women;15 to 25 years;2004 March;5540;5280;260;5020;2990;2040
238;Total men and women;15 to 25 years;2004 April;5730;5490;240;5760;3540;2210
239;Total men and women;15 to 25 years;2004 May;3770;3560;200;4570;2690;1870
240;Total men and women;15 to 25 years;2004 June;3930;3730;200;4300;2440;1860
241;Total men and women;15 to 25 years;2004 July;4440;4240;210;5490;2670;2830
242;Total men and women;15 to 25 years;2004 August;3390;3230;170;3760;1760;2000
243;Total men and women;15 to 25 years;2004 September;4040;3830;210;4390;2300;2090
244;Total men and women;15 to 25 years;2004 October;5460;5220;240;5330;2860;2470
245;Total men and women;15 to 25 years;2004 November;4870;4620;260;4210;2310;1900
246;Total men and women;15 to 25 years;2004 December;5340;5090;250;4330;2170;2160
247;Total men and women;15 to 25 years;2004 Annual figure;57790;55130;2660;55050;30280;24770
248;Total men and women;15 to 25 years;2005 January;5720;5490;230;3820;1930;1890
249;Total men and women;15 to 25 years;2005 February;5840;5630;220;4450;2490;1960
250;Total men and women;15 to 25 years;2005 March;5610;5390;220;5680;3130;2550
251;Total men and women;15 to 25 years;2005 April;5070;4860;210;5710;3280;2430
252;Total men and women;15 to 25 years;2005 May;3380;3230;150;5020;2750;2260
253;Total men and women;15 to 25 years;2005 June;4110;3910;210;5220;2810;2410
254;Total men and women;15 to 25 years;2005 July;3080;2940;140;4110;2020;2090
255;Total men and women;15 to 25 years;2005 August;3070;2900;170;3390;1640;1750
256;Total men and women;15 to 25 years;2005 September;4410;4200;210;4650;2600;2050
257;Total men and women;15 to 25 years;2005 October;3640;3470;170;4090;2300;1790
258;Total men and women;15 to 25 years;2005 November;3650;3430;210;3670;2010;1670
259;Total men and women;15 to 25 years;2005 December;3930;3750;190;3480;1860;1610
260;Total men and women;15 to 25 years;2005 Annual figure;51510;49200;2310;53280;28810;24460
261;Total men and women;15 to 25 years;2006 January;3630;3480;150;3560;1750;1810
262;Total men and women;15 to 25 years;2006 February;4230;4070;160;3410;1960;1450
263;Total men and women;15 to 25 years;2006 March;4470;4180;290;4520;2630;1900
264;Total men and women;15 to 25 years;2006 April;3030;2800;230;3950;2500;1450
265;Total men and women;15 to 25 years;2006 May;2610;2450;160;3610;2110;1490
266;Total men and women;15 to 25 years;2006 June;2570;2410;160;3680;1890;1800
267;Total men and women;15 to 25 years;2006 July;1850;1710;130;2790;1280;1520
268;Total men and women;15 to 25 years;2006 August;2410;2250;160;2710;1380;1330
269;Total men and women;15 to 25 years;2006 September;2270;2100;170;2650;1540;1110
270;Total men and women;15 to 25 years;2006 October;2440;2250;190;2550;1490;1060
271;Total men and women;15 to 25 years;2006 November;2770;2560;220;2720;1530;1190
272;Total men and women;15 to 25 years;2006 December;1920;1750;170;1740;970;770
273;Total men and women;15 to 25 years;2006 Annual figure;34190;32020;2170;37900;21030;16870
274;Total men and women;15 to 25 years;2007 January;2640;2440;200;1960;1040;910
275;Total men and women;15 to 25 years;2007 February;2730;2500;230;2540;1340;1200
276;Total men and women;15 to 25 years;2007 March;2780;2590;190;3410;1780;1630
277;Total men and women;15 to 25 years;2007 April;1810;1680;130;2580;1260;1320
278;Total men and women;15 to 25 years;2007 May;1840;1730;110;2490;1110;1370
279;Total men and women;15 to 25 years;2007 June;1440;1330;110;1880;830;1050
280;Total men and women;15 to 25 years;2007 July;1560;1470;90;1760;760;1000
281;Total men and women;15 to 25 years;2007 August;1940;1820;120;1840;930;910
282;Total men and women;15 to 25 years;2007 September;1570;1470;100;1760;970;790
283;Total men and women;15 to 25 years;2007 October;1730;1590;140;1680;860;820
284;Total men and women;15 to 25 years;2007 November;2210;2080;130;1890;940;950
285;Total men and women;15 to 25 years;2007 December;1620;1520;100;1360;630;730
286;Total men and women;15 to 25 years;2007 Annual figure;23860;22230;1640;25140;12440;12700
287;Total men and women;15 to 25 years;2008 January;2730;2540;190;1850;900;960
288;Total men and women;15 to 25 years;2008 February;1930;1800;130;1830;1020;810
289;Total men and women;15 to 25 years;2008 March;1670;1580;90;1910;990;920
290;Total men and women;15 to 25 years;2008 April;1790;1680;110;1930;960;970
291;Total men and women;15 to 25 years;2008 May;1560;1450;110;1730;840;890
292;Total men and women;15 to 25 years;2008 June;1250;1180;70;1500;750;750
293;Total men and women;15 to 25 years;2008 July;1680;1590;90;1650;680;970
294;Total men and women;15 to 25 years;2008 August;1580;1510;70;1380;760;620
295;Total men and women;15 to 25 years;2008 September;1450;1380;70;1550;850;700
296;Total men and women;15 to 25 years;2008 October;2090;2000;100;1720;890;830
297;Total men and women;15 to 25 years;2008 November;2060;1970;100;1390;690;700
298;Total men and women;15 to 25 years;2008 December;2590;2470;120;1380;630;760
299;Total men and women;15 to 25 years;2008 Annual figure;22390;21160;1230;19810;9950;9860
300;Total men and women;15 to 25 years;2009 January;3590;3440;140;1930;920;1020
301;Total men and women;15 to 25 years;2009 February;3730;3590;140;2380;1100;1280
302;Total men and women;15 to 25 years;2009 March;3940;3780;160;2930;1210;1720
303;Total men and women;15 to 25 years;2009 April;4610;4450;170;3890;1590;2310
304;Total men and women;15 to 25 years;2009 May;3410;3290;120;3070;1130;1940
305;Total men and women;15 to 25 years;2009 June;3750;3640;120;3270;1340;1930
306;Total men and women;15 to 25 years;2009 July;4560;4430;130;4040;1400;2650
307;Total men and women;15 to 25 years;2009 August;4010;3890;120;3320;1210;2110
308;Total men and women;15 to 25 years;2009 September;4410;4290;120;4010;1700;2310
309;Total men and women;15 to 25 years;2009 October;5300;5120;190;4490;1980;2510
310;Total men and women;15 to 25 years;2009 November;4510;4360;150;3690;1420;2270
311;Total men and women;15 to 25 years;2009 December;5000;4840;170;4010;1260;2750
312;Total men and women;15 to 25 years;2009 Annual figure;50820;49110;1710;41030;16240;24790
313;Total men and women;15 to 25 years;2010 January;5750;5550;200;4350;1450;2900
314;Total men and women;25 to 35 years;1998 January;20290;19510;780;14460;9160;5300
315;Total men and women;25 to 35 years;1998 February;16300;15620;680;14730;10630;4110
316;Total men and women;25 to 35 years;1998 March;12310;11720;590;16360;11960;4410
317;Total men and women;25 to 35 years;1998 April;11960;11140;830;20330;14840;5490
318;Total men and women;25 to 35 years;1998 May;9490;8800;690;14340;9440;4910
319;Total men and women;25 to 35 years;1998 June;9120;8470;650;12640;7850;4790
320;Total men and women;25 to 35 years;1998 July;10350;9550;800;12850;7310;5540
321;Total men and women;25 to 35 years;1998 August;10300;9770;540;11250;7310;3940
322;Total men and women;25 to 35 years;1998 September;9090;8480;620;11320;7690;3640
323;Total men and women;25 to 35 years;1998 October;10920;10160;760;13320;8280;5050
324;Total men and women;25 to 35 years;1998 November;12830;12200;630;10230;5880;4350
325;Total men and women;25 to 35 years;1998 December;13740;13070;670;9560;5060;4500
326;Total men and women;25 to 35 years;1998 Annual figure;146710;138470;8240;161410;105400;56010
327;Total men and women;25 to 35 years;1999 January;13360;12740;620;11720;6880;4840
328;Total men and women;25 to 35 years;1999 February;10690;10100;580;11710;7900;3810
329;Total men and women;25 to 35 years;1999 March;11570;10770;800;16120;11460;4670
330;Total men and women;25 to 35 years;1999 April;7080;6490;590;11660;8300;3360
331;Total men and women;25 to 35 years;1999 May;6330;5810;520;9380;5530;3840
332;Total men and women;25 to 35 years;1999 June;7150;6560;590;9620;5640;3980
333;Total men and women;25 to 35 years;1999 July;7370;6790;580;7570;4070;3500
334;Total men and women;25 to 35 years;1999 August;5870;5410;470;6490;3780;2710
335;Total men and women;25 to 35 years;1999 September;8010;7350;660;9740;6250;3490
336;Total men and women;25 to 35 years;1999 October;6730;6130;600;8020;4890;3130
337;Total men and women;25 to 35 years;1999 November;8100;7520;590;7500;4240;3260
338;Total men and women;25 to 35 years;1999 December;7910;7380;530;7420;4080;3340
339;Total men and women;25 to 35 years;1999 Annual figure;100160;93030;7130;116960;73010;43950
340;Total men and women;25 to 35 years;2000 January;10890;10190;700;7330;4370;2960
341;Total men and women;25 to 35 years;2000 February;8650;8030;620;9080;6070;3010
342;Total men and women;25 to 35 years;2000 March;8380;7640;740;11030;7720;3310
343;Total men and women;25 to 35 years;2000 April;5710;5120;590;9010;5870;3140
344;Total men and women;25 to 35 years;2000 May;5410;4940;470;7920;4760;3160
345;Total men and women;25 to 35 years;2000 June;5550;4890;650;7620;4210;3410
346;Total men and women;25 to 35 years;2000 July;6000;5280;720;6270;3070;3210
347;Total men and women;25 to 35 years;2000 August;5980;5420;560;6320;3550;2770
348;Total men and women;25 to 35 years;2000 September;5240;4750;490;6590;4100;2490
349;Total men and women;25 to 35 years;2000 October;5740;5150;590;6580;3910;2680
350;Total men and women;25 to 35 years;2000 November;7890;7120;780;6770;3890;2880
351;Total men and women;25 to 35 years;2000 December;5400;5000;400;5020;2620;2400
352;Total men and women;25 to 35 years;2000 Annual figure;80820;73520;7300;89540;54130;35400
353;Total men and women;25 to 35 years;2001 January;7260;6670;590;5740;3260;2480
354;Total men and women;25 to 35 years;2001 February;6610;6100;510;6490;4090;2410
355;Total men and women;25 to 35 years;2001 March;7690;6920;770;9660;6180;3470
356;Total men and women;25 to 35 years;2001 April;5440;4810;630;7370;4800;2570
