ID;Perioden;IndividueleBinnenlandseProductie_1;TotaalVerzekeringenInEuroS_2;Hypotheek_3;PensioenUitgesteld_4;LijfrenteUitgesteld_5;DirectIngaandeRente_6;LevenslangBijOverlijden_7;Spaarverzekering_8;Risicoverzekering_9;OverigeIndividueleVerzekeringen_10;TotaalVerzekeringInBeleggingseenheden_11;Hypotheek_12;PensioenUitgesteld_13;LijfrenteUitgesteld_14;DirectIngaandeRente_15;LevenslangBijOverlijden_16;Spaarverzekering_17;Risicoverzekering_18;OverigeIndividueleVerzekeringen_19;IndividueleBinnenlandseProductie_20;TotaalVerzekeringenInEuroS_21;Hypotheek_22;PensioenUitgesteld_23;LijfrenteUitgesteld_24;DirectIngaandeRente_25;LevenslangBijOverlijden_26;Spaarverzekering_27;Risicoverzekering_28;OverigeIndividueleVerzekeringen_29;TotaalVerzekeringInBeleggingseenheden_30;Hypotheek_31;PensioenUitgesteld_32;LijfrenteUitgesteld_33;DirectIngaandeRente_34;LevenslangBijOverlijden_35;Spaarverzekering_36;Risicoverzekering_37;OverigeIndividueleVerzekeringen_38;IndividueleBinnenlandseProductie_39;TotaalVerzekeringenInEuroS_40;Hypotheek_41;PensioenUitgesteld_42;LijfrenteUitgesteld_43;DirectIngaandeRente_44;LevenslangBijOverlijden_45;Spaarverzekering_46;Risicoverzekering_47;OverigeIndividueleVerzekeringen_48;TotaalVerzekeringInBeleggingseenheden_49;Hypotheek_50;PensioenUitgesteld_51;LijfrenteUitgesteld_52;DirectIngaandeRente_53;LevenslangBijOverlijden_54;Spaarverzekering_55;Risicoverzekering_56;OverigeIndividueleVerzekeringen_57;IndividueleBinnenlandseProductie_58;TotaalVerzekeringenInEuroS_59;Hypotheek_60;PensioenUitgesteld_61;LijfrenteUitgesteld_62;DirectIngaandeRente_63;LevenslangBijOverlijden_64;Spaarverzekering_65;Risicoverzekering_66;OverigeIndividueleVerzekeringen_67;TotaalVerzekeringInBeleggingseenheden_68;Hypotheek_69;PensioenUitgesteld_70;LijfrenteUitgesteld_71;DirectIngaandeRente_72;LevenslangBijOverlijden_73;Spaarverzekering_74;Risicoverzekering_75;OverigeIndividueleVerzekeringen_76;IndividueleBinnenlandseProductie_77;TotaalVerzekeringenInEuroS_78;Hypotheek_79;PensioenUitgesteld_80;LijfrenteUitgesteld_81;DirectIngaandeRente_82;LevenslangBijOverlijden_83;Spaarverzekering_84;Risicoverzekering_85;OverigeIndividueleVerzekeringen_86;TotaalVerzekeringInBeleggingseenheden_87;Hypotheek_88;PensioenUitgesteld_89;LijfrenteUitgesteld_90;DirectIngaandeRente_91;LevenslangBijOverlijden_92;Spaarverzekering_93;Risicoverzekering_94;OverigeIndividueleVerzekeringen_95;IndividueleBinnenlandseProductie_96;TotaalVerzekeringenInEuroS_97;Hypotheek_98;PensioenUitgesteld_99;LijfrenteUitgesteld_100;DirectIngaandeRente_101;LevenslangBijOverlijden_102;Spaarverzekering_103;Risicoverzekering_104;OverigeIndividueleVerzekeringen_105;TotaalVerzekeringInBeleggingseenheden_106;Hypotheek_107;PensioenUitgesteld_108;LijfrenteUitgesteld_109;DirectIngaandeRente_110;LevenslangBijOverlijden_111;Spaarverzekering_112;Risicoverzekering_113;OverigeIndividueleVerzekeringen_114;IndividueleBinnenlandseProductie_115;TotaalVerzekeringenInEuroS_116;Hypotheek_117;PensioenUitgesteld_118;LijfrenteUitgesteld_119;DirectIngaandeRente_120;LevenslangBijOverlijden_121;Spaarverzekering_122;Risicoverzekering_123;OverigeIndividueleVerzekeringen_124;TotaalVerzekeringInBeleggingseenheden_125;Hypotheek_126;PensioenUitgesteld_127;LijfrenteUitgesteld_128;DirectIngaandeRente_129;LevenslangBijOverlijden_130;Spaarverzekering_131;Risicoverzekering_132;OverigeIndividueleVerzekeringen_133;TotaleSpaarkasproductie_134;Hypotheek_135;PensioenUitgesteld_136;LijfrenteUitgesteld_137;Ongeclausuleerd_138;TotaleSpaarkasproductie_139;Hypotheek_140;PensioenUitgesteld_141;LijfrenteUitgesteld_142;Ongeclausuleerd_143;TotaleSpaarkasproductie_144;Hypotheek_145;PensioenUitgesteld_146;LijfrenteUitgesteld_147;Ongeclausuleerd_148;TotaleSpaarkasproductie_149;Hypotheek_150;PensioenUitgesteld_151;LijfrenteUitgesteld_152;Ongeclausuleerd_153;TotaleSpaarkasproductie_154;Hypotheek_155;PensioenUitgesteld_156;LijfrenteUitgesteld_157;Ongeclausuleerd_158;TotaleSpaarkasproductie_159;Hypotheek_160;PensioenUitgesteld_161;LijfrenteUitgesteld_162;Ongeclausuleerd_163
10;1993 november;63.1;56.3;;;;;;;;;6.8;;;;;;;;;2162.3;1997.9;;;;;;;;;164.4;;;;;;;;;41.3;35.5;;;;;;;;;5.8;;;;;;;;;10.7;6.9;;;;;;;;;3.9;;;;;;;;;6.5;6.1;;;;;;;;;0.3;;;;;;;;;170.6;149.8;;;;;;;;;20.8;;;;;;;;;109.8;96.7;;;;;;;;;13.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;1993 december;63.6;56.5;;;;;;;;;7.0;;;;;;;;;2452.5;2223.0;;;;;;;;;229.4;;;;;;;;;51.9;43.7;;;;;;;;;8.3;;;;;;;;;26.7;13.7;;;;;;;;;13.0;;;;;;;;;19.8;18.3;;;;;;;;;1.5;;;;;;;;;335.8;319.4;;;;;;;;;16.4;;;;;;;;;194.6;181.1;;;;;;;;;13.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;1993;834.4;738.1;;;;;;;;;96.3;;;;;;;;;27101.4;25384.5;;;;;;;;;1716.9;;;;;;;;;523.1;451.1;;;;;;;;;72.0;;;;;;;;;185.6;133.2;;;;;;;;;52.4;;;;;;;;;127.2;119.0;;;;;;;;;8.2;;;;;;;;;2584.2;2455.5;;;;;;;;;128.7;;;;;;;;;1622.4;1522.3;;;;;;;;;100.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;1994 januari;68.2;57.0;;;;;;;;;11.1;;;;;;;;;2437.7;2162.3;;;;;;;;;275.4;;;;;;;;;51.5;40.7;;;;;;;;;10.8;;;;;;;;;23.1;16.5;;;;;;;;;6.7;;;;;;;;;27.2;21.8;;;;;;;;;5.4;;;;;;;;;349.5;305.3;;;;;;;;;44.2;;;;;;;;;237.1;201.5;;;;;;;;;35.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;1994 februari;64.4;55.1;;;;;;;;;9.3;;;;;;;;;2534.4;2284.8;;;;;;;;;249.5;;;;;;;;;50.2;40.2;;;;;;;;;10.0;;;;;;;;;16.2;11.4;;;;;;;;;4.8;;;;;;;;;10.9;8.6;;;;;;;;;2.3;;;;;;;;;224.5;198.3;;;;;;;;;26.3;;;;;;;;;151.8;129.1;;;;;;;;;22.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;1994 maart;66.1;57.6;;;;;;;;;8.5;;;;;;;;;2646.4;2387.6;;;;;;;;;258.8;;;;;;;;;51.3;43.0;;;;;;;;;8.3;;;;;;;;;16.4;11.2;;;;;;;;;5.2;;;;;;;;;10.1;8.0;;;;;;;;;2.0;;;;;;;;;201.2;175.4;;;;;;;;;25.8;;;;;;;;;133.7;112.6;;;;;;;;;21.1;;;;;;;;;40.9;1.0;0.0;2.3;37.7;269.0;15.3;0.3;11.5;241.8;15.7;0.7;0.0;0.5;14.5;13.4;0.7;0.2;7.1;5.4;4.4;0.5;0.0;0.2;3.8;2.9;0.2;0.0;1.5;1.1
16;1994 april;66.1;53.1;;;;;;;;;13.0;;;;;;;;;2387.0;2119.1;;;;;;;;;267.9;;;;;;;;;48.9;38.3;;;;;;;;;10.6;;;;;;;;;13.4;9.8;;;;;;;;;3.6;;;;;;;;;12.0;9.1;;;;;;;;;2.9;;;;;;;;;195.2;173.7;;;;;;;;;21.5;;;;;;;;;123.7;107.0;;;;;;;;;16.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;1994 mei;64.1;50.3;;;;;;;;;13.8;;;;;;;;;2379.0;2096.6;;;;;;;;;282.3;;;;;;;;;52.7;39.6;;;;;;;;;13.1;;;;;;;;;15.0;9.7;;;;;;;;;5.3;;;;;;;;;7.5;5.5;;;;;;;;;2.0;;;;;;;;;138.0;119.5;;;;;;;;;18.5;;;;;;;;;92.8;76.5;;;;;;;;;16.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;1994 juni;76.3;60.6;;;;;;;;;15.7;;;;;;;;;2913.8;2584.7;;;;;;;;;329.1;;;;;;;;;61.8;47.1;;;;;;;;;14.6;;;;;;;;;16.6;10.9;;;;;;;;;5.7;;;;;;;;;10.1;7.4;;;;;;;;;2.7;;;;;;;;;182.3;157.1;;;;;;;;;25.3;;;;;;;;;118.0;95.0;;;;;;;;;23.0;;;;;;;;;57.0;1.4;0.0;2.0;53.7;392.1;20.7;0.3;14.3;356.8;17.2;1.0;0.0;1.4;14.8;10.3;1.1;0.3;4.5;4.4;5.0;0.6;0.0;0.5;3.9;2.3;0.4;0.0;0.9;1.0
19;1994 juli;68.2;55.6;;;;;;;;;12.6;;;;;;;;;2651.4;2306.2;;;;;;;;;345.1;;;;;;;;;56.2;42.1;;;;;;;;;14.1;;;;;;;;;22.0;13.5;;;;;;;;;8.4;;;;;;;;;11.8;9.0;;;;;;;;;2.8;;;;;;;;;202.7;173.6;;;;;;;;;29.2;;;;;;;;;123.9;100.3;;;;;;;;;23.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;1994 augustus;67.9;56.3;;;;;;;;;11.6;;;;;;;;;2739.3;2418.4;;;;;;;;;321.0;;;;;;;;;53.2;40.6;;;;;;;;;12.7;;;;;;;;;17.9;11.2;;;;;;;;;6.8;;;;;;;;;6.2;4.8;;;;;;;;;1.3;;;;;;;;;186.2;166.9;;;;;;;;;19.3;;;;;;;;;124.1;106.2;;;;;;;;;17.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21;1994 september;65.4;53.7;;;;;;;;;11.8;;;;;;;;;2517.9;2286.3;;;;;;;;;231.6;;;;;;;;;50.9;40.7;;;;;;;;;10.2;;;;;;;;;12.4;7.2;;;;;;;;;5.2;;;;;;;;;4.6;4.1;;;;;;;;;0.6;;;;;;;;;144.1;130.6;;;;;;;;;13.5;;;;;;;;;96.5;85.9;;;;;;;;;10.7;;;;;;;;;46.6;1.0;0.0;2.2;43.4;338.9;16.0;0.2;23.2;299.4;17.2;0.7;0.0;2.1;14.3;8.0;1.4;0.1;3.0;3.6;5.0;0.5;0.0;0.7;3.8;1.8;0.5;0.0;0.5;0.7
22;1994 oktober;72.6;54.1;;;;;;;;;18.5;;;;;;;;;2420.7;2073.5;;;;;;;;;347.2;;;;;;;;;51.2;36.8;;;;;;;;;14.4;;;;;;;;;13.2;8.0;;;;;;;;;5.2;;;;;;;;;5.2;4.6;;;;;;;;;0.5;;;;;;;;;142.5;130.3;;;;;;;;;12.3;;;;;;;;;85.7;76.3;;;;;;;;;9.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;1994 november;74.6;57.1;;;;;;;;;17.5;;;;;;;;;2403.9;2057.3;;;;;;;;;346.6;;;;;;;;;52.7;38.6;;;;;;;;;14.2;;;;;;;;;17.0;8.5;;;;;;;;;8.4;;;;;;;;;7.1;6.5;;;;;;;;;0.7;;;;;;;;;160.7;152.2;;;;;;;;;8.6;;;;;;;;;99.7;92.0;;;;;;;;;7.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;1994 december;81.8;59.4;;;;;;;;;22.4;;;;;;;;;2437.7;2020.8;;;;;;;;;416.9;;;;;;;;;63.8;44.7;;;;;;;;;19.1;;;;;;;;;33.7;12.7;;;;;;;;;21.0;;;;;;;;;16.0;13.8;;;;;;;;;2.2;;;;;;;;;283.4;263.1;;;;;;;;;20.3;;;;;;;;;166.0;151.7;;;;;;;;;14.3;;;;;;;;;69.6;0.5;0.0;2.7;66.4;532.3;5.3;0.1;38.3;488.6;33.7;0.4;0.0;2.5;30.8;6.9;0.5;0.0;1.6;4.7;6.7;0.3;0.0;0.8;5.7;1.6;0.2;0.0;0.4;1.1
25;1994;953.8;759.8;;;;;;;;;194.0;;;;;;;;;31836.1;28040.9;;;;;;;;;3795.2;;;;;;;;;680.7;502.9;;;;;;;;;177.8;;;;;;;;;245.4;153.2;;;;;;;;;92.3;;;;;;;;;135.7;105.8;;;;;;;;;29.9;;;;;;;;;2508.7;2219.3;;;;;;;;;289.3;;;;;;;;;1606.7;1376.3;;;;;;;;;230.5;;;;;;;;;214.2;3.8;0.1;9.1;201.2;1532.2;57.4;0.8;87.4;1386.6;83.7;2.7;0.0;6.6;74.4;38.7;3.7;0.5;16.3;18.1;21.1;1.9;0.0;2.1;17.2;8.6;1.3;0.1;3.3;3.9
26;1995 januari;99.0;71.3;;;;;;;;;27.8;;;;;;;;;3076.9;2491.7;;;;;;;;;585.1;;;;;;;;;72.8;46.4;;;;;;;;;26.4;;;;;;;;;33.1;22.5;;;;;;;;;10.6;;;;;;;;;26.6;21.7;;;;;;;;;4.9;;;;;;;;;496.1;456.8;;;;;;;;;39.3;;;;;;;;;260.6;228.7;;;;;;;;;31.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;1995 februari;90.6;69.4;;;;;;;;;21.1;;;;;;;;;2827.5;2322.3;;;;;;;;;505.2;;;;;;;;;64.5;44.0;;;;;;;;;20.5;;;;;;;;;24.3;15.2;;;;;;;;;9.1;;;;;;;;;20.4;18.0;;;;;;;;;2.5;;;;;;;;;482.1;445.8;;;;;;;;;27.3;;;;;;;;;262.2;241.6;;;;;;;;;20.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28;1995 maart;91.9;70.7;;;;;;;;;21.2;;;;;;;;;2812.5;2394.8;;;;;;;;;417.7;;;;;;;;;65.0;45.3;;;;;;;;;19.7;;;;;;;;;21.3;13.0;;;;;;;;;8.3;;;;;;;;;19.9;17.1;;;;;;;;;2.7;;;;;;;;;425.8;405.5;;;;;;;;;20.4;;;;;;;;;215.9;198.5;;;;;;;;;17.4;;;;;;;;;48.8;0.5;0.0;2.7;45.6;399.7;7.0;0.5;27.3;364.9;20.0;0.3;0.0;1.2;18.4;11.0;0.4;0.1;4.4;6.1;5.1;0.2;0.0;0.4;4.5;2.0;0.1;0.0;1.0;1.0
29;1995 april;78.0;61.7;;;;;;;;;16.3;;;;;;;;;2509.5;2121.4;;;;;;;;;388.2;;;;;;;;;55.7;39.3;;;;;;;;;16.3;;;;;;;;;18.4;10.8;;;;;;;;;7.6;;;;;;;;;18.0;15.4;;;;;;;;;2.6;;;;;;;;;417.3;384.7;;;;;;;;;32.6;;;;;;;;;198.2;176.8;;;;;;;;;21.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30;1995 mei;77.6;60.9;;;;;;;;;16.7;;;;;;;;;2462.4;2090.6;;;;;;;;;371.8;;;;;;;;;54.8;38.3;;;;;;;;;16.5;;;;;;;;;18.2;8.5;;;;;;;;;9.6;;;;;;;;;12.4;11.0;;;;;;;;;1.5;;;;;;;;;360.6;341.5;;;;;;;;;19.1;;;;;;;;;160.1;147.3;;;;;;;;;12.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31;1995 juni;83.9;65.1;;;;;;;;;18.9;;;;;;;;;2850.0;2419.4;;;;;;;;;430.7;;;;;;;;;64.3;44.7;;;;;;;;;19.6;;;;;;;;;26.8;17.4;;;;;;;;;9.4;;;;;;;;;17.4;15.0;;;;;;;;;2.4;;;;;;;;;457.2;434.3;;;;;;;;;23.0;;;;;;;;;205.9;187.1;;;;;;;;;18.8;;;;;;;;;55.8;0.4;0.0;2.5;52.9;490.3;6.2;0.0;30.6;453.5;25.0;0.2;0.0;1.5;23.3;10.4;0.2;0.0;4.1;6.0;5.0;0.2;0.0;0.5;4.4;2.0;0.1;0.0;1.0;0.8
32;1995 juli;79.7;62.4;;;;;;;;;17.3;;;;;;;;;2765.3;2332.9;;;;;;;;;432.4;;;;;;;;;63.3;43.8;;;;;;;;;19.6;;;;;;;;;21.2;9.3;;;;;;;;;11.8;;;;;;;;;19.2;16.7;;;;;;;;;2.5;;;;;;;;;513.5;486.5;;;;;;;;;27.0;;;;;;;;;222.4;201.5;;;;;;;;;20.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
33;1995 augustus;73.8;59.0;;;;;;;;;14.9;;;;;;;;;2583.5;2199.7;;;;;;;;;383.8;;;;;;;;;52.8;38.3;;;;;;;;;14.6;;;;;;;;;20.1;11.5;;;;;;;;;8.6;;;;;;;;;7.8;6.8;;;;;;;;;1.0;;;;;;;;;363.3;344.9;;;;;;;;;18.3;;;;;;;;;168.8;155.8;;;;;;;;;13.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
34;1995 september;68.9;55.0;;;;;;;;;13.9;;;;;;;;;2397.5;2064.4;;;;;;;;;333.0;;;;;;;;;50.6;37.5;;;;;;;;;13.0;;;;;;;;;19.2;10.8;;;;;;;;;8.4;;;;;;;;;6.2;5.5;;;;;;;;;0.7;;;;;;;;;300.8;285.8;;;;;;;;;15.0;;;;;;;;;138.3;126.7;;;;;;;;;11.6;;;;;;;;;41.4;0.2;0.0;1.8;39.4;364.7;2.9;0.0;22.3;339.5;17.8;0.1;0.0;1.0;16.6;9.3;0.1;0.0;3.9;5.2;3.3;0.1;0.0;0.3;2.9;1.6;0.0;0.0;1.0;0.6
35;1995 oktober;81.3;63.8;;;;;;;;;17.5;;;;;;;;;2584.1;2182.5;;;;;;;;;401.7;;;;;;;;;59.7;42.8;;;;;;;;;16.8;;;;;;;;;21.4;11.9;;;;;;;;;9.5;;;;;;;;;7.7;6.9;;;;;;;;;0.8;;;;;;;;;313.7;297.4;;;;;;;;;16.3;;;;;;;;;146.5;135.0;;;;;;;;;11.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
