ID;Perioden;TotaalOverheidsuitgaven_1;TotaalOverheidsuitgavenAanOnderwijs_2;TotaalPrePrimairOnderwijs_3;PreprimairOnderwijsEnBasisonderwijs_4;SpeciaalBasisOnderwijs_5;TotaalSecundairOnderwijs_6;VoortgezetOnderwijs_7;MiddelbaarBeroepsonderwijsEnVolwEd_8;TotaalTertiairOnderwijs_9;HogerBeroepsonderwijs_10;WetenschappelijkOnderwijs_11;TotaalOverheidsuitgavenStudietoelagen_12;TotaalSecundairOnderwijs_13;VoortgezetOnderwijs_14;MiddelbaarBeroepsonderwijsEnVolwEd_15;TotaalTertiairOnderwijs_16;HogerBeroepsonderwijs_17;WetenschappelijkOnderwijs_18;TotaalOverheidsuitgavenAlsVanBbp_19
37;1937;84;85;49;48.0;1.0;27;18.0;9.0;9;2.0;6.0;;;;;;;;2.8
38;1938;89;89;53;52.0;1.0;27;22.0;5.0;9;3.0;7.0;;;;;;;;3.0
39;1939;90;90;53;52.0;1.0;27;22.0;5.0;10;3.0;7.0;;;;;;;;2.7
40;1940;107;108;61;;;35;;;12;;;;;;;;;;
41;1941;116;116;65;;;38;;;13;;;;;;;;;;
42;1942;112;111;63;;;35;;;13;;;;;;;;;;
43;1943;117;116;66;;;36;;;14;;;;;;;;;;
44;1944;112;112;63;;;35;;;14;;;;;;;;;;
45;1945;107;107;62;;;36;;;9;;;;;;;;;;
46;1946;143;143;87;85.0;2.0;41;34.0;7.0;15;5.0;10.0;1.0;;;;;;;2.6
47;1947;163;162;94;92.0;2.0;49;40.0;9.0;19;6.0;13.0;1.0;;;;;;;2.4
48;1948;195;194;111;108.0;3.0;60;49.0;11.0;23;7.0;16.0;1.0;;;;;;;2.5
49;1949;213;212;121;118.0;3.0;65;53.0;12.0;26;8.0;19.0;2.0;;;;;;;2.5
50;1950;252;249;139;135.0;4.0;77;63.0;14.0;33;10.0;23.0;2.0;;;;;;;2.7
51;1951;276;273;154;149.0;5.0;82;65.0;17.0;37;11.0;26.0;3.0;;;;;;;2.6
52;1952;306;305;170;164.0;6.0;92;72.0;20.0;43;12.0;30.0;2.0;;;;1.0;1.0;;2.7
53;1953;360;357;198;190.0;8.0;108;85.0;23.0;51;15.0;37.0;3.0;;;;2.0;1.0;1.0;3.0
54;1954;424;421;218;209.0;9.0;141;110.0;31.0;62;20.0;42.0;3.0;;;;2.0;1.0;1.0;3.2
55;1955;503;501;260;249.0;11.0;166;128.0;38.0;75;24.0;51.0;2.0;;;;2.0;1.0;1.0;3.4
56;1956;597;590;296;284.0;12.0;204;153.0;51.0;90;31.0;59.0;6.0;;;;5.0;2.0;3.0;3.7
57;1957;703;694;341;326.0;15.0;237;179.0;58.0;116;35.0;81.0;9.0;;;;8.0;3.0;5.0;4.0
58;1958;733;723;344;328.0;16.0;257;192.0;65.0;122;36.0;86.0;9.0;1.0;;;7.0;2.0;5.0;4.1
59;1959;821;806;367;349.0;18.0;287;219.0;68.0;152;43.0;109.0;15.0;1.0;;;13.0;3.0;10.0;4.3
60;1960;909;890;379;361.0;18.0;334;245.0;89.0;177;48.0;129.0;19.0;1.0;;;17.0;4.0;13.0;4.3
61;1961;1058;1035;420;399.0;21.0;392;287.0;105.0;223;55.0;167.0;23.0;1.0;;;21.0;4.0;17.0;4.8
62;1962;1203;1183;463;439.0;24.0;450;329.0;121.0;270;62.0;208.0;20.0;1.0;;;19.0;3.0;16.0;5.0
63;1963;1379;1346;516;488.0;28.0;505;368.0;137.0;325;73.0;252.0;34.0;2.0;;;31.0;5.0;26.0;5.3
64;1964;1704;1671;638;603.0;35.0;592;432.0;160.0;441;98.0;343.0;33.0;3.0;;;30.0;5.0;25.0;5.5
65;1965;1999;1948;723;681.0;42.0;715;521.0;194.0;510;107.0;403.0;51.0;4.0;;;46.0;7.0;39.0;5.8
66;1966;2280;2239;801;757.0;44.0;806;581.0;225.0;632;123.0;509.0;40.0;5.0;;;36.0;7.0;29.0;6.0
67;1967;2621;2566;888;840.0;48.0;919;668.0;251.0;759;142.0;616.0;56.0;8.0;;;48.0;11.0;37.0;6.3
68;1968;2873;2816;980;927.0;53.0;1003;714.0;289.0;833;153.0;680.0;57.0;8.0;;;49.0;13.0;36.0;6.2
69;1969;3385;3307;1128;1063.0;65.0;1227;887.0;340.0;952;207.0;745.0;78.0;12.0;;;65.0;18.0;47.0;6.5
70;1970;3683;3593;1214;1139.0;75.0;1313;953.0;360.0;1066;234.0;832.0;90.0;12.0;;;77.0;24.0;53.0;6.3
71;1971;4324;4214;1400;1310.0;90.0;1552;1123.0;429.0;1262;271.0;991.0;111.0;24.0;;;87.0;23.0;64.0;6.6
72;1972;4980;4835;1622;1521.0;101.0;1832;1339.0;493.0;1381;297.0;1084.0;145.0;24.0;;;121.0;35.0;86.0;6.7
73;1973;5643;5478;1864;1739.0;125.0;2007;1474.0;533.0;1607;342.0;1266.0;164.0;27.0;;;137.0;43.0;94.0;6.7
74;1974;6512;6326;2177;2023.0;154.0;2310;1700.0;610.0;1839;451.0;1388.0;186.0;28.0;;;158.0;54.0;104.0;6.6
75;1975;7688;7461;2576;2405.0;171.0;2812;2068.0;744.0;2073;556.0;1517.0;227.0;35.0;;;192.0;82.0;110.0;7.2
76;1976;8885;8602;2928;2720.0;208.0;3196;2335.0;861.0;2478;631.0;1847.0;284.0;50.0;;;234.0;112.0;122.0;7.3
77;1977;9522;9195;3151;2909.0;242.0;3331;2450.0;881.0;2713;714.0;1999.0;328.0;57.0;;;271.0;132.0;139.0;7.3
78;1978;10265;9903;3427;3163.0;264.0;3627;2654.0;973.0;2849;796.0;2053.0;362.0;60.0;;;302.0;148.0;154.0;7.2
79;1979;10847;10437;3552;3272.0;280.0;3906;2901.0;1005.0;2979;861.0;2118.0;410.0;99.0;;;311.0;155.0;156.0;7.2
80;1980;11306;10792;3663;3366.0;297.0;4024;2972.0;1052.0;3105;890.0;2216.0;514.0;167.0;;;347.0;167.0;180.0;6.9
81;1981;11707;11115;3750;3439.0;311.0;4202;3099.0;1103.0;3163;912.0;2251.0;592.0;198.0;;;394.0;197.0;197.0;6.8
82;1982;12021;11371;3875;3527.0;348.0;4324;3163.0;1161.0;3172;945.0;2227.0;650.0;258.0;;;392.0;213.0;179.0;6.8
83;1983;12015;11169;3674;3331.0;343.0;4297;3203.0;1094.0;3198;1001.0;2197.0;846.0;329.0;;;517.0;277.0;240.0;6.5
84;1984;11652;10820;3511;3163.0;348.0;4179;3089.0;1090.0;3130;993.0;2137.0;831.0;288.0;;;543.0;298.0;245.0;6.0
85;1985;12050;11279;3816;3448.0;368.0;4281;3157.0;1124.0;3182;993.0;2189.0;771.0;231.0;;;540.0;296.0;244.0;6.0
86;1986;12626;11503;3971;3574.0;397.0;4303;3166.0;1137.0;3229;1046.0;2184.0;1123.0;399.0;;;724.0;399.0;325.0;6.1
87;1987;13428;11442;3799;3371.0;428.0;4311;3196.0;1115.0;3332;991.0;2341.0;1986.0;995.0;;;991.0;487.0;504.0;6.4
88;1988;13226;11228;3825;3422.0;403.0;4225;3138.0;1087.0;3178;1025.0;2153.0;1997.0;977.0;;;1021.0;506.0;515.0;6.1
89;1989;13183;11194;3736;3326.0;410.0;4139;3067.0;1072.0;3319;1028.0;2291.0;1989.0;925.0;;;1065.0;555.0;510.0;5.7
90;1990;13530;11491;3818;3400.0;418.0;4182;3099.0;1083.0;3491;1111.0;2380.0;2038.0;898.0;399.0;499.0;1140.0;613.0;527.0;5.6
91;1991;14193;12142;3951;3512.0;439.0;4656;3488.0;1168.0;3535;1129.0;2406.0;2050.0;855.0;361.0;494.0;1195.0;651.0;544.0;5.5
92;1992;14832;12622;4044;3577.0;467.0;4893;3460.0;1433.0;3685;1155.0;2530.0;2210.0;819.0;298.0;521.0;1391.0;807.0;584.0;5.5
93;1993;14751;12839;4169;3683.0;486.0;4847;3702.0;1145.0;3823;1287.0;2536.0;1912.0;764.0;254.0;510.0;1148.0;627.0;521.0;5.3
94;1994;15187;13179;4304;3793.0;511.0;5020;3879.0;1141.0;3855;1309.0;2546.0;2008.0;761.0;163.0;598.0;1247.0;695.0;552.0;5.2
95;1995;15679;13763;4616;3924.0;692.0;5314;3401.0;1913.0;3832;1418.0;2414.0;1916.0;753.0;194.0;559.0;1163.0;657.0;506.0;4.7
96;1996;16150;14230;4852;4125.0;728.0;5585;3630.0;1955.0;3792;1403.0;2389.0;1921.0;759.0;209.0;550.0;1162.0;689.0;473.0;4.6
97;1997;16473;14476;5100;4406.0;694.0;5543;3934.0;1609.0;3833;1218.0;2616.0;1997.0;830.0;165.0;665.0;1167.0;676.0;491.0;4.4
98;1998;17920;15901;5720;4973.0;747.0;6167;4390.0;1777.0;4014;1320.0;2693.0;2020.0;896.0;155.0;741.0;1123.0;756.0;367.0;4.6
99;1999;18920;16845;6026;5311.0;715.0;6620;4830.0;1790.0;4199;1396.0;2804.0;2074.0;867.0;171.0;696.0;1208.0;794.0;414.0;4.6
100;2000;20832;18416;6651;5952.0;699.0;7383;5272.0;2111.0;4382;1456.0;2926.0;2416.0;1001.0;221.0;780.0;1416.0;902.0;514.0;4.6
101;2001;22785;20467;7540;6755.0;786.0;8166;5908.0;2259.0;4761;1630.0;3131.0;2318.0;981.0;240.0;741.0;1337.0;841.0;497.0;4.8
102;2002;24298;22146;8377;7431.0;946.0;8717;6260.0;2456.0;5053;1672.0;3381.0;2152.0;886.0;247.0;639.0;1266.0;768.0;498.0;4.9
103;2003;26100;23417;9127;8036.0;1091.0;9025;6419.0;2605.0;5266;1743.0;3523.0;2682.0;1044.0;254.0;790.0;1638.0;972.0;666.0;5.1
104;2004;27033;24046;9123;8001.0;1122.0;9471;6764.0;2707.0;5453;1849.0;3603.0;2986.0;1195.0;267.0;928.0;1791.0;1053.0;739.0;5.0
105;2005;28368;25314;9473;8366.0;1107.0;10141;7210.0;2931.0;5701;1935.0;3766.0;3053.0;1114.0;207.0;907.0;1939.0;1134.0;806.0;5.1
106;2006;29727;25957;9609;8461.0;1148.0;10515;7263.0;3251.0;5834;1967.0;3867.0;3769.0;1379.0;211.0;1168.0;2390.0;1416.0;975.0;5.1
107;2007;30441;26985;9704;8526.0;1178.0;11132;7751.0;3381.0;6149;2163.0;3985.0;3457.0;1246.0;213.0;1033.0;2211.0;1304.0;907.0;5.0
108;2008;32708;28452;10284;9028.0;1257.0;11688;7971.0;3717.0;6480;2306.0;4173.0;4257.0;1646.0;499.0;1146.0;2611.0;1572.0;1039.0;5.0
109;2009;34086;30399;10802;9516.0;1286.0;12761;8771.0;3990.0;6836;2483.0;4352.0;3687.0;1171.0;96.0;1076.0;2516.0;1514.0;1001.0;5.3
110;2010;35086;31287;10943;9615.0;1328.0;13149;9033.0;4116.0;7194;2677.0;4518.0;3799.0;1152.0;69.0;1083.0;2647.0;1561.0;1086.0;5.5
111;2011;35529;31389;10889;9585.0;1305.0;13151;8999.0;4152.0;7349;2708.0;4641.0;4140.0;1166.0;69.0;1097.0;2975.0;1570.0;1404.0;5.5
112;2012;35327;31540;10826;9506.0;1319.0;13214;9235.0;3979.0;7500;2751.0;4749.0;3787.0;1117.0;68.0;1050.0;2670.0;1602.0;1068.0;5.4
113;2013;36502;32390;11077;9725.0;1352.0;13660;9687.0;3973.0;7654;2829.0;4825.0;4112.0;1202.0;67.0;1135.0;2910.0;1767.0;1143.0;5.6
114;2014;36660;31848;10684;9416.0;1268.0;13358;9473.0;3885.0;7806;2948.0;4858.0;4812.0;1411.0;66.0;1345.0;3401.0;2080.0;1320.0;5.4
115;2015;36903;32591;10688;9384.0;1304.0;13902;9783.0;4119.0;8001;3023.0;4978.0;4312.0;1195.0;66.0;1129.0;3117.0;1877.0;1240.0;5.3
116;2016;38814;33041;10707;9402.0;1305.0;14200;10047.0;4153.0;8134;3052.0;5082.0;5774.0;1516.0;67.0;1449.0;4258.0;2690.0;1568.0;5.4
117;2017;38200;33692;10999;9715.0;1284.0;14331;10096.0;4235.0;8362;3143.0;5219.0;4507.0;1149.0;73.0;1076.0;3358.0;2202.0;1156.0;5.1
118;2018;41467;35305;11628;10255.0;1373.0;14857;10442.0;4415.0;8820;3393.0;5427.0;6162.0;1773.0;74.0;1699.0;4389.0;2810.0;1579.0;5.3
119;2019;41953;36684;12203;10767.0;1436.0;15164;10685.0;4479.0;9317;3539.0;5778.0;5269.0;1687.0;70.0;1617.0;3582.0;2189.0;1392.0;5.1
120;2020;43203;38091;12911;11418.0;1493.0;15525;10844.0;4681.0;9655;3650.0;6005.0;5112.0;1382.0;63.0;1319.0;3730.0;2237.0;1493.0;5.2
121;2021;47935;42364;14069;12408.0;1661.0;17103;11912.0;5191.0;11192;4455.0;6737.0;5572.0;1575.0;59.0;1516.0;3997.0;2355.0;1642.0;5.4
122;2022;51472;46231;16112;14309.0;1803.0;18031;12722.0;5309.0;12088;4820.0;7268.0;5241.0;1531.0;62.0;1469.0;3710.0;2133.0;1577.0;5.2
123;2023;53539;48430;16647;14695.0;1952.0;19144;13460.0;5684.0;12639;4754.0;7885.0;5109.0;1856.0;63.0;1793.0;3253.0;1909.0;1344.0;5.1
