ID;LorriesAndRoadTractors;YearsOfConstruction;Periods;TotalKilometresInTheNetherlands_1;KilometresByDutchVehicles_2;KilometresByForeignVehicles_3;TotalKilometresByDutchVehicles_4;KilometresInTheNetherlands_5;KilometresAbroad_6;TotalAverageAnnualKilometres_7;AverageAnnualKilometresInNetherlands_8;AverageAnnualKilometresAbroad_9;DutchGoodsVehiclesInUse_10
12;Lorries and road tractors;Total goods vehicles;2013;6617.4;5920.8;696.6;9299.5;5920.8;3378.7;57910.0;36870.0;21040.0;160585.0
13;Lorries and road tractors;Total goods vehicles;2014;6620.1;5905.7;714.4;9208.7;5905.7;3303.0;58982.0;37826.0;21156.0;156128.0
14;Lorries and road tractors;Total goods vehicles;2015;6923.4;6166.8;756.6;9213.4;6166.8;3046.6;58776.0;39340.0;19435.0;156756.0
15;Lorries and road tractors;Total goods vehicles;2016;7305.6;6472.1;833.5;9322.3;6472.1;2850.2;58594.0;40680.0;17914.0;159099.0
16;Lorries and road tractors;Total goods vehicles;2017;7350.3;6465.3;884.9;9294.1;6465.3;2828.8;57450.0;39964.0;17486.0;161777.0
17;Lorries and road tractors;Year of construction 1900 to 1979;2001;23.2;22.7;0.5;26.1;22.7;3.4;4899.0;4253.0;646.0;5326.0
18;Lorries and road tractors;Year of construction 1900 to 1979;2002;21.2;20.7;0.5;23.9;20.7;3.1;4739.0;4119.0;620.0;5037.0
19;Lorries and road tractors;Year of construction 1900 to 1979;2003;17.6;17.2;0.4;19.9;17.2;2.7;4231.0;3658.0;572.0;4712.0
20;Lorries and road tractors;Year of construction 1900 to 1979;2004;16.1;15.7;0.4;18.2;15.7;2.5;3994.0;3445.0;550.0;4557.0
21;Lorries and road tractors;Year of construction 1900 to 1979;2005;13.1;12.8;0.3;14.8;12.8;2.0;3442.0;2982.0;460.0;4291.0
22;Lorries and road tractors;Year of construction 1900 to 1979;2006;11.5;11.2;0.3;12.8;11.2;1.6;3054.0;2666.0;388.0;4187.0
23;Lorries and road tractors;Year of construction 1900 to 1979;2007;12.5;12.1;0.4;14.1;12.1;2.0;3465.0;2981.0;484.0;4061.0
24;Lorries and road tractors;Year of construction 1900 to 1979;2008;13.6;13.2;0.4;15.1;13.2;1.9;3794.0;3316.0;479.0;3992.0
25;Lorries and road tractors;Year of construction 1900 to 1979;2009;11.9;11.6;0.3;13.2;11.6;1.6;3387.0;2972.0;415.0;3902.0
26;Lorries and road tractors;Year of construction 1900 to 1979;2010;9.5;9.3;0.2;10.3;9.3;1.1;2655.0;2379.0;277.0;3895.0
27;Lorries and road tractors;Year of construction 1900 to 1979;2011;7.9;7.7;0.2;8.9;7.7;1.2;2321.0;2007.0;314.0;3833.0
28;Lorries and road tractors;Year of construction 1900 to 1979;2012;6.9;6.7;0.2;7.8;6.7;1.1;2073.0;1774.0;299.0;3774.0
29;Lorries and road tractors;Year of construction 1900 to 1979;2013;9.0;8.7;0.3;10.3;8.7;1.6;2744.0;2327.0;417.0;3748.0
30;Lorries and road tractors;Year of construction 1900 to 1979;2014;9.1;8.7;0.4;10.5;8.7;1.8;2802.0;2325.0;477.0;3733.0
31;Lorries and road tractors;Year of construction 1900 to 1979;2015;8.5;8.1;0.4;9.5;8.1;1.4;2630.0;2241.0;390.0;3623.0
32;Lorries and road tractors;Year of construction 1900 to 1979;2016;7.8;7.4;0.4;8.7;7.4;1.3;2423.0;2048.0;374.0;3597.0
33;Lorries and road tractors;Year of construction 1900 to 1979;2017;7.4;7.1;0.3;8.1;7.1;1.0;2254.0;1978.0;275.0;3581.0
34;Lorries and road tractors;Year of construction 1980 to 1985;2001;66.4;64.7;1.7;76.1;64.7;11.3;10364.0;8817.0;1546.0;7339.0
35;Lorries and road tractors;Year of construction 1980 to 1985;2002;46.6;45.4;1.2;53.4;45.4;8.0;8909.0;7572.0;1337.0;5997.0
36;Lorries and road tractors;Year of construction 1980 to 1985;2003;33.1;32.3;0.8;37.9;32.3;5.6;7781.0;6631.0;1150.0;4871.0
37;Lorries and road tractors;Year of construction 1980 to 1985;2004;25.3;24.6;0.6;28.8;24.6;4.2;6674.0;5710.0;964.0;4309.0
38;Lorries and road tractors;Year of construction 1980 to 1985;2005;19.8;19.2;0.5;22.4;19.2;3.2;6420.0;5506.0;914.0;3495.0
39;Lorries and road tractors;Year of construction 1980 to 1985;2006;16.4;15.9;0.5;18.6;15.9;2.7;5968.0;5115.0;852.0;3114.0
40;Lorries and road tractors;Year of construction 1980 to 1985;2007;16.5;16.0;0.5;18.5;16.0;2.5;6672.0;5763.0;909.0;2778.0
41;Lorries and road tractors;Year of construction 1980 to 1985;2008;13.0;12.6;0.4;14.4;12.6;1.8;5654.0;4953.0;700.0;2552.0
42;Lorries and road tractors;Year of construction 1980 to 1985;2009;10.1;9.8;0.3;11.2;9.8;1.4;4969.0;4361.0;608.0;2246.0
43;Lorries and road tractors;Year of construction 1980 to 1985;2010;8.6;8.4;0.2;9.3;8.4;0.9;4585.0;4124.0;461.0;2029.0
44;Lorries and road tractors;Year of construction 1980 to 1985;2011;8.1;7.8;0.3;9.1;7.8;1.3;4798.0;4120.0;679.0;1898.0
45;Lorries and road tractors;Year of construction 1980 to 1985;2012;6.2;6.0;0.2;7.1;6.0;1.1;4111.0;3485.0;625.0;1725.0
46;Lorries and road tractors;Year of construction 1980 to 1985;2013;5.9;5.6;0.2;6.8;5.6;1.1;4133.0;3439.0;694.0;1641.0
47;Lorries and road tractors;Year of construction 1980 to 1985;2014;4.8;4.5;0.2;5.6;4.5;1.1;3535.0;2864.0;672.0;1587.0
48;Lorries and road tractors;Year of construction 1980 to 1985;2015;4.5;4.3;0.2;5.2;4.3;0.8;3607.0;3021.0;586.0;1432.0
49;Lorries and road tractors;Year of construction 1980 to 1985;2016;4.4;4.2;0.2;5.0;4.2;0.8;3635.0;3077.0;559.0;1373.0
50;Lorries and road tractors;Year of construction 1980 to 1985;2017;3.1;3.0;0.1;3.4;3.0;0.4;2588.0;2263.0;325.0;1322.0
51;Lorries and road tractors;Year of construction 1986 to 1990;2001;425.7;413.1;12.6;497.3;413.1;84.2;21738.0;18055.0;3683.0;22878.0
52;Lorries and road tractors;Year of construction 1986 to 1990;2002;277.4;269.5;8.0;322.1;269.5;52.7;17069.0;14277.0;2792.0;18874.0
53;Lorries and road tractors;Year of construction 1986 to 1990;2003;197.6;192.3;5.3;228.6;192.3;36.3;14684.0;12350.0;2334.0;15570.0
54;Lorries and road tractors;Year of construction 1986 to 1990;2004;149.2;145.1;4.1;171.7;145.1;26.6;12961.0;10951.0;2010.0;13247.0
55;Lorries and road tractors;Year of construction 1986 to 1990;2005;116.2;112.8;3.4;133.3;112.8;20.5;12075.0;10217.0;1859.0;11040.0
56;Lorries and road tractors;Year of construction 1986 to 1990;2006;97.2;94.2;3.0;111.0;94.2;16.8;11504.0;9765.0;1739.0;9646.0
57;Lorries and road tractors;Year of construction 1986 to 1990;2007;80.4;78.0;2.4;90.4;78.0;12.4;10676.0;9207.0;1469.0;8469.0
58;Lorries and road tractors;Year of construction 1986 to 1990;2008;67.8;65.9;1.9;75.5;65.9;9.6;10151.0;8858.0;1292.0;7441.0
59;Lorries and road tractors;Year of construction 1986 to 1990;2009;48.0;46.6;1.4;53.2;46.6;6.6;8273.0;7247.0;1026.0;6428.0
60;Lorries and road tractors;Year of construction 1986 to 1990;2010;37.1;36.3;0.9;40.3;36.3;4.0;7247.0;6525.0;722.0;5557.0
61;Lorries and road tractors;Year of construction 1986 to 1990;2011;31.1;30.1;1.0;34.9;30.1;4.8;7208.0;6224.0;984.0;4843.0
62;Lorries and road tractors;Year of construction 1986 to 1990;2012;24.6;23.8;0.9;27.8;23.8;4.1;6656.0;5680.0;977.0;4182.0
63;Lorries and road tractors;Year of construction 1986 to 1990;2013;18.4;17.7;0.7;21.0;17.7;3.3;5690.0;4797.0;892.0;3694.0
64;Lorries and road tractors;Year of construction 1986 to 1990;2014;14.3;13.7;0.7;16.7;13.7;3.1;5140.0;4199.0;940.0;3253.0
65;Lorries and road tractors;Year of construction 1986 to 1990;2015;12.0;11.4;0.5;13.6;11.4;2.2;4974.0;4173.0;801.0;2741.0
66;Lorries and road tractors;Year of construction 1986 to 1990;2016;11.4;10.8;0.6;12.8;10.8;2.0;5153.0;4351.0;802.0;2479.0
67;Lorries and road tractors;Year of construction 1986 to 1990;2017;10.7;10.2;0.5;11.8;10.2;1.7;5107.0;4383.0;724.0;2317.0
68;Lorries and road tractors;1991;2001;186.7;180.9;5.8;219.5;180.9;38.6;31421.0;25897.0;5524.0;6986.0
69;Lorries and road tractors;1991;2002;124.1;120.3;3.8;145.6;120.3;25.3;25388.0;20976.0;4412.0;5736.0
70;Lorries and road tractors;1991;2003;83.3;80.9;2.4;97.2;80.9;16.3;20986.0;17470.0;3516.0;4633.0
71;Lorries and road tractors;1991;2004;60.9;59.1;1.8;70.5;59.1;11.5;18627.0;15599.0;3027.0;3787.0
72;Lorries and road tractors;1991;2005;47.2;45.8;1.4;54.4;45.8;8.6;17329.0;14594.0;2736.0;3139.0
73;Lorries and road tractors;1991;2006;37.9;36.7;1.2;43.4;36.7;6.7;15861.0;13409.0;2451.0;2739.0
74;Lorries and road tractors;1991;2007;30.5;29.6;0.9;34.5;29.6;4.9;14496.0;12440.0;2056.0;2378.0
75;Lorries and road tractors;1991;2008;24.6;23.9;0.7;27.4;23.9;3.5;13102.0;11408.0;1693.0;2094.0
76;Lorries and road tractors;1991;2009;17.3;16.8;0.5;19.2;16.8;2.4;10785.0;9442.0;1343.0;1776.0
77;Lorries and road tractors;1991;2010;13.0;12.7;0.3;14.1;12.7;1.4;9258.0;8351.0;908.0;1524.0
78;Lorries and road tractors;1991;2011;11.0;10.7;0.3;12.4;10.7;1.7;9267.0;8028.0;1239.0;1334.0
79;Lorries and road tractors;1991;2012;8.4;8.1;0.3;9.5;8.1;1.4;8327.0;7129.0;1198.0;1136.0
80;Lorries and road tractors;1991;2013;6.0;5.8;0.2;6.9;5.8;1.1;7083.0;5951.0;1132.0;976.0
81;Lorries and road tractors;1991;2014;5.0;4.7;0.2;5.8;4.7;1.1;6726.0;5468.0;1258.0;868.0
82;Lorries and road tractors;1991;2015;3.9;3.7;0.2;4.4;3.7;0.7;6028.0;5022.0;1006.0;731.0
83;Lorries and road tractors;1991;2016;3.3;3.1;0.2;3.8;3.1;0.6;5814.0;4818.0;996.0;647.0
84;Lorries and road tractors;1991;2017;2.6;2.5;0.1;2.9;2.5;0.4;4961.0;4256.0;705.0;590.0
85;Lorries and road tractors;1992;2001;254.9;245.2;9.7;310.1;245.2;64.9;36192.0;28617.0;7575.0;8568.0
86;Lorries and road tractors;1992;2002;171.1;165.6;5.5;202.0;165.6;36.4;28389.0;23279.0;5110.0;7114.0
87;Lorries and road tractors;1992;2003;115.5;112.0;3.5;135.7;112.0;23.7;23558.0;19445.0;4113.0;5762.0
88;Lorries and road tractors;1992;2004;84.6;82.0;2.6;98.7;82.0;16.7;20681.0;17179.0;3502.0;4771.0
89;Lorries and road tractors;1992;2005;64.8;62.7;2.1;75.2;62.7;12.5;19053.0;15890.0;3163.0;3946.0
90;Lorries and road tractors;1992;2006;51.7;50.0;1.7;59.7;50.0;9.6;17586.0;14741.0;2844.0;3392.0
91;Lorries and road tractors;1992;2007;41.2;39.9;1.3;46.5;39.9;6.6;15956.0;13675.0;2281.0;2915.0
92;Lorries and road tractors;1992;2008;33.1;32.1;1.0;37.0;32.1;4.9;14462.0;12544.0;1918.0;2559.0
93;Lorries and road tractors;1992;2009;23.0;22.4;0.7;25.6;22.4;3.2;11763.0;10272.0;1491.0;2177.0
94;Lorries and road tractors;1992;2010;17.0;16.6;0.4;18.5;16.6;1.9;9847.0;8842.0;1005.0;1874.0
95;Lorries and road tractors;1992;2011;13.3;12.9;0.4;14.9;12.9;2.0;9371.0;8096.0;1275.0;1595.0
96;Lorries and road tractors;1992;2012;10.3;9.9;0.4;11.7;9.9;1.7;8345.0;7102.0;1243.0;1397.0
97;Lorries and road tractors;1992;2013;7.8;7.5;0.3;9.0;7.5;1.5;7460.0;6218.0;1242.0;1200.0
98;Lorries and road tractors;1992;2014;5.6;5.3;0.3;6.6;5.3;1.3;6407.0;5163.0;1244.0;1034.0
99;Lorries and road tractors;1992;2015;5.1;4.9;0.2;5.9;4.9;1.0;6782.0;5642.0;1140.0;863.0
100;Lorries and road tractors;1992;2016;4.7;4.5;0.3;5.3;4.5;0.9;6778.0;5678.0;1100.0;787.0
101;Lorries and road tractors;1992;2017;3.7;3.5;0.2;4.1;3.5;0.6;5750.0;4924.0;827.0;705.0
102;Lorries and road tractors;1993;2001;169.9;162.6;7.3;211.5;162.6;48.9;39421.0;30305.0;9116.0;5365.0
103;Lorries and road tractors;1993;2002;121.5;117.0;4.5;146.7;117.0;29.6;31692.0;25289.0;6404.0;4628.0
104;Lorries and road tractors;1993;2003;90.0;87.3;2.7;106.1;87.3;18.8;27383.0;22534.0;4849.0;3874.0
105;Lorries and road tractors;1993;2004;65.7;63.7;2.1;76.8;63.7;13.2;23978.0;19865.0;4113.0;3205.0
106;Lorries and road tractors;1993;2005;50.8;49.2;1.6;59.1;49.2;9.9;21627.0;18014.0;3612.0;2732.0
107;Lorries and road tractors;1993;2006;39.5;38.1;1.4;45.6;38.1;7.5;18869.0;15764.0;3105.0;2419.0
108;Lorries and road tractors;1993;2007;32.7;31.7;1.0;37.1;31.7;5.4;17690.0;15118.0;2572.0;2096.0
109;Lorries and road tractors;1993;2008;28.0;27.1;0.9;31.4;27.1;4.4;17214.0;14830.0;2384.0;1826.0
110;Lorries and road tractors;1993;2009;18.9;18.4;0.6;21.2;18.4;2.8;13367.0;11597.0;1771.0;1583.0
111;Lorries and road tractors;1993;2010;14.1;13.8;0.4;15.4;13.8;1.6;11128.0;9943.0;1185.0;1386.0
112;Lorries and road tractors;1993;2011;11.0;10.6;0.4;12.3;10.6;1.7;10196.0;8752.0;1445.0;1211.0
113;Lorries and road tractors;1993;2012;8.0;7.7;0.3;9.1;7.7;1.4;8779.0;7461.0;1318.0;1038.0
114;Lorries and road tractors;1993;2013;5.8;5.6;0.2;6.7;5.6;1.1;7468.0;6246.0;1221.0;895.0
115;Lorries and road tractors;1993;2014;4.6;4.4;0.2;5.5;4.4;1.1;7298.0;5786.0;1512.0;760.0
116;Lorries and road tractors;1993;2015;3.8;3.6;0.2;4.4;3.6;0.8;6747.0;5590.0;1156.0;649.0
117;Lorries and road tractors;1993;2016;3.3;3.1;0.2;3.7;3.1;0.6;6350.0;5303.0;1047.0;581.0
118;Lorries and road tractors;1993;2017;2.3;2.2;0.1;2.6;2.2;0.3;4843.0;4205.0;638.0;529.0
119;Lorries and road tractors;1994;2001;326.6;309.6;17.0;423.1;309.6;113.6;49927.0;36525.0;13402.0;8475.0
120;Lorries and road tractors;1994;2002;238.5;227.8;10.7;298.4;227.8;70.6;41009.0;31308.0;9701.0;7277.0
121;Lorries and road tractors;1994;2003;176.7;170.3;6.5;214.5;170.3;44.3;35088.0;27849.0;7239.0;6114.0
122;Lorries and road tractors;1994;2004;128.0;123.8;4.2;150.6;123.8;26.8;29784.0;24488.0;5296.0;5057.0
123;Lorries and road tractors;1994;2005;94.6;91.4;3.2;110.6;91.4;19.2;26041.0;21522.0;4519.0;4247.0
124;Lorries and road tractors;1994;2006;72.3;69.7;2.6;84.0;69.7;14.2;23760.0;19734.0;4026.0;3534.0
125;Lorries and road tractors;1994;2007;58.7;56.7;2.0;67.0;56.7;10.3;21648.0;18320.0;3329.0;3097.0
126;Lorries and road tractors;1994;2008;48.4;46.8;1.6;54.6;46.8;7.8;20538.0;17613.0;2925.0;2657.0
127;Lorries and road tractors;1994;2009;32.9;31.9;1.0;36.9;31.9;5.0;16396.0;14194.0;2202.0;2249.0
128;Lorries and road tractors;1994;2010;23.0;22.4;0.6;25.2;22.4;2.8;13159.0;11711.0;1448.0;1914.0
129;Lorries and road tractors;1994;2011;17.5;16.9;0.6;19.8;16.9;2.9;12028.0;10272.0;1755.0;1650.0
130;Lorries and road tractors;1994;2012;12.9;12.4;0.5;14.6;12.4;2.3;10205.0;8616.0;1589.0;1435.0
131;Lorries and road tractors;1994;2013;9.5;9.1;0.4;11.1;9.1;2.0;9072.0;7429.0;1643.0;1224.0
132;Lorries and road tractors;1994;2014;7.5;7.1;0.4;8.9;7.1;1.9;8389.0;6622.0;1767.0;1066.0
133;Lorries and road tractors;1994;2015;5.3;5.1;0.3;6.1;5.1;1.0;6974.0;5797.0;1177.0;875.0
134;Lorries and road tractors;1994;2016;4.4;4.2;0.2;5.0;4.2;0.8;6311.0;5265.0;1046.0;793.0
135;Lorries and road tractors;1994;2017;3.7;3.5;0.2;4.1;3.5;0.6;5623.0;4814.0;809.0;731.0
136;Lorries and road tractors;1995;2001;508.8;475.1;33.7;700.1;475.1;225.0;61444.0;41696.0;19749.0;11394.0
137;Lorries and road tractors;1995;2002;381.2;359.2;22.0;504.4;359.2;145.1;49866.0;35516.0;14350.0;10115.0
138;Lorries and road tractors;1995;2003;284.2;270.6;13.6;363.6;270.6;93.0;42761.0;31829.0;10932.0;8503.0
139;Lorries and road tractors;1995;2004;209.3;200.4;8.8;257.2;200.4;56.8;36800.0;28675.0;8125.0;6989.0
140;Lorries and road tractors;1995;2005;157.3;151.5;5.9;187.0;151.5;35.6;32638.0;26432.0;6206.0;5731.0
141;Lorries and road tractors;1995;2006;114.7;110.2;4.5;135.3;110.2;25.1;29083.0;23689.0;5393.0;4652.0
142;Lorries and road tractors;1995;2007;88.1;84.8;3.3;101.9;84.8;17.1;25894.0;21539.0;4356.0;3937.0
143;Lorries and road tractors;1995;2008;69.4;66.9;2.5;79.4;66.9;12.5;23629.0;19901.0;3727.0;3361.0
144;Lorries and road tractors;1995;2009;46.6;45.0;1.6;52.7;45.0;7.7;18782.0;16038.0;2744.0;2804.0
145;Lorries and road tractors;1995;2010;34.8;33.9;0.9;38.2;33.9;4.4;16010.0;14187.0;1823.0;2389.0
146;Lorries and road tractors;1995;2011;26.1;25.2;0.9;29.7;25.2;4.4;14544.0;12369.0;2175.0;2041.0
147;Lorries and road tractors;1995;2012;19.6;18.8;0.8;22.4;18.8;3.6;13008.0;10921.0;2087.0;1723.0
148;Lorries and road tractors;1995;2013;14.8;14.1;0.7;17.6;14.1;3.5;11744.0;9402.0;2342.0;1495.0
149;Lorries and road tractors;1995;2014;10.9;10.2;0.6;13.2;10.2;3.0;10072.0;7812.0;2260.0;1308.0
150;Lorries and road tractors;1995;2015;7.4;7.0;0.4;8.7;7.0;1.7;8282.0;6666.0;1616.0;1046.0
151;Lorries and road tractors;1995;2016;6.4;6.0;0.4;7.5;6.0;1.5;8193.0;6571.0;1622.0;912.0
152;Lorries and road tractors;1995;2017;5.3;5.0;0.3;6.1;5.0;1.1;7415.0;6072.0;1343.0;822.0
153;Lorries and road tractors;1996;2001;649.4;601.4;48.0;921.8;601.4;320.4;68920.0;44963.0;23958.0;13375.0
154;Lorries and road tractors;1996;2002;527.9;493.3;34.5;721.7;493.3;228.4;58911.0;40269.0;18641.0;12251.0
155;Lorries and road tractors;1996;2003;417.6;394.7;22.9;551.3;394.7;156.6;51901.0;37158.0;14742.0;10623.0
156;Lorries and road tractors;1996;2004;319.7;303.8;15.8;405.5;303.8;101.7;44811.0;33576.0;11235.0;9049.0
157;Lorries and road tractors;1996;2005;244.7;233.8;10.9;299.7;233.8;65.8;39784.0;31042.0;8741.0;7532.0
158;Lorries and road tractors;1996;2006;185.8;178.2;7.6;220.3;178.2;42.0;35879.0;29032.0;6847.0;6139.0
159;Lorries and road tractors;1996;2007;139.6;134.1;5.5;162.4;134.1;28.3;31097.0;25680.0;5416.0;5221.0
160;Lorries and road tractors;1996;2008;108.0;104.0;4.0;123.8;104.0;19.7;28177.0;23682.0;4495.0;4393.0
161;Lorries and road tractors;1996;2009;69.9;67.5;2.4;79.1;67.5;11.5;21995.0;18790.0;3206.0;3594.0
162;Lorries and road tractors;1996;2010;49.3;48.0;1.3;54.2;48.0;6.3;17880.0;15809.0;2070.0;3034.0
163;Lorries and road tractors;1996;2011;37.1;35.8;1.3;42.2;35.8;6.4;16349.0;13869.0;2480.0;2582.0
164;Lorries and road tractors;1996;2012;26.8;25.7;1.0;30.6;25.7;4.9;13888.0;11659.0;2230.0;2205.0
165;Lorries and road tractors;1996;2013;18.7;17.8;0.9;22.3;17.8;4.5;11917.0;9522.0;2394.0;1872.0
166;Lorries and road tractors;1996;2014;14.3;13.4;0.8;17.3;13.4;3.9;10876.0;8433.0;2443.0;1591.0
167;Lorries and road tractors;1996;2015;11.1;10.5;0.6;12.9;10.5;2.4;9940.0;8101.0;1840.0;1299.0
168;Lorries and road tractors;1996;2016;9.2;8.6;0.6;10.5;8.6;2.0;9311.0;7568.0;1742.0;1133.0
169;Lorries and road tractors;1996;2017;6.9;6.5;0.4;7.8;6.5;1.3;7626.0;6317.0;1309.0;1026.0
170;Lorries and road tractors;1997;2001;697.9;637.9;59.9;1037.9;637.9;399.9;78201.0;48067.0;30134.0;13272.0
171;Lorries and road tractors;1997;2002;601.1;555.2;45.8;858.1;555.2;302.9;67982.0;43987.0;23996.0;12623.0
172;Lorries and road tractors;1997;2003;511.7;478.8;32.9;703.9;478.8;225.2;61104.0;41559.0;19545.0;11520.0
173;Lorries and road tractors;1997;2004;417.3;392.8;24.5;550.1;392.8;157.3;54318.0;38786.0;15531.0;10127.0
174;Lorries and road tractors;1997;2005;336.0;318.2;17.8;426.3;318.2;108.1;48586.0;36263.0;12323.0;8775.0
175;Lorries and road tractors;1997;2006;262.4;249.5;12.9;320.7;249.5;71.2;43376.0;33750.0;9626.0;7394.0
176;Lorries and road tractors;1997;2007;201.4;193.2;8.2;235.4;193.2;42.2;37859.0;31068.0;6791.0;6219.0
177;Lorries and road tractors;1997;2008;155.4;149.6;5.9;178.8;149.6;29.3;34367.0;28742.0;5625.0;5204.0
178;Lorries and road tractors;1997;2009;102.2;98.5;3.6;116.0;98.5;17.5;26764.0;22735.0;4029.0;4334.0
179;Lorries and road tractors;1997;2010;72.6;70.6;2.0;80.0;70.6;9.4;22251.0;19649.0;2602.0;3595.0
180;Lorries and road tractors;1997;2011;53.9;52.0;1.9;61.3;52.0;9.3;20284.0;17215.0;3070.0;3021.0
181;Lorries and road tractors;1997;2012;38.9;37.4;1.5;44.5;37.4;7.1;17125.0;14385.0;2740.0;2599.0
182;Lorries and road tractors;1997;2013;28.3;26.9;1.4;33.8;26.9;6.9;15451.0;12310.0;3141.0;2187.0
183;Lorries and road tractors;1997;2014;21.5;20.2;1.3;26.1;20.2;5.9;13899.0;10771.0;3129.0;1876.0
184;Lorries and road tractors;1997;2015;17.8;16.8;1.0;20.8;16.8;4.0;12487.0;10076.0;2411.0;1666.0
185;Lorries and road tractors;1997;2016;14.3;13.4;0.9;16.5;13.4;3.1;11689.0;9485.0;2204.0;1408.0
186;Lorries and road tractors;1997;2017;11.2;10.5;0.7;12.6;10.5;2.1;10196.0;8478.0;1718.0;1238.0
187;Lorries and road tractors;1998;2001;939.5;844.7;94.8;1477.5;844.7;632.8;88620.0;50663.0;37957.0;16672.0
188;Lorries and road tractors;1998;2002;865.5;787.2;78.2;1304.4;787.2;517.1;80210.0;48409.0;31801.0;16262.0
189;Lorries and road tractors;1998;2003;788.7;727.5;61.2;1146.4;727.5;418.9;74243.0;47112.0;27131.0;15441.0
190;Lorries and road tractors;1998;2004;672.3;624.6;47.7;931.1;624.6;306.5;65639.0;44030.0;21608.0;14185.0
191;Lorries and road tractors;1998;2005;552.3;516.7;35.5;732.2;516.7;215.5;59147.0;41742.0;17406.0;12379.0
192;Lorries and road tractors;1998;2006;436.1;410.0;26.1;554.3;410.0;144.3;52525.0;38847.0;13677.0;10553.0
193;Lorries and road tractors;1998;2007;341.4;323.8;17.7;415.0;323.8;91.2;46892.0;36588.0;10304.0;8849.0
194;Lorries and road tractors;1998;2008;272.2;261.3;10.9;315.9;261.3;54.6;42084.0;34815.0;7268.0;7506.0
195;Lorries and road tractors;1998;2009;180.8;174.0;6.8;206.8;174.0;32.8;32772.0;27577.0;5195.0;6310.0
196;Lorries and road tractors;1998;2010;121.7;118.2;3.5;134.7;118.2;16.5;26363.0;23140.0;3223.0;5109.0
197;Lorries and road tractors;1998;2011;89.7;86.4;3.3;102.6;86.4;16.2;24432.0;20566.0;3866.0;4200.0
198;Lorries and road tractors;1998;2012;65.1;62.4;2.7;74.8;62.4;12.4;21152.0;17635.0;3517.0;3538.0
199;Lorries and road tractors;1998;2013;44.3;42.0;2.3;53.1;42.0;11.1;17807.0;14093.0;3713.0;2982.0
200;Lorries and road tractors;1998;2014;33.6;31.5;2.1;41.1;31.5;9.7;16124.0;12336.0;3788.0;2551.0
201;Lorries and road tractors;1998;2015;26.2;24.7;1.5;30.6;24.7;5.9;13659.0;11024.0;2636.0;2242.0
202;Lorries and road tractors;1998;2016;20.8;19.5;1.3;24.0;19.5;4.5;12414.0;10081.0;2333.0;1935.0
203;Lorries and road tractors;1998;2017;16.5;15.5;1.0;18.6;15.5;3.1;10711.0;8919.0;1792.0;1740.0
204;Lorries and road tractors;1999;2001;950.4;844.8;105.6;1550.0;844.8;705.2;95996.0;52321.0;43676.0;16146.0
205;Lorries and road tractors;1999;2002;901.9;811.4;90.5;1409.6;811.4;598.1;88920.0;51188.0;37732.0;15852.0
206;Lorries and road tractors;1999;2003;850.3;776.7;73.7;1281.0;776.7;504.3;82615.0;50090.0;32525.0;15505.0
207;Lorries and road tractors;1999;2004;779.0;716.2;62.9;1119.8;716.2;403.6;75914.0;48551.0;27363.0;14751.0
