ID;Perioden;TotaalUitkeringenInGeldEnNatura_1;WettSocUitkeringenInGeldEnNatura_2;AlgArbeidsongeschiktheidswetAAW_3;WetOpDeArbeidsongeschiktheidWAO_4;WerkEnInkomenArbeidsvermogenWIA_5;WetArbeidsongeschiktheidZelfstWAZ_6;WetArbeidEnZorgWAZO_7;WerkloosheidswetWW_8;ZiektewetZWVangnet_9;ZiektewetZW_10;AlgemeneOuderdomswetAOW_11;AlgemeneNabestaandenwetANWAWW_12;ZiekenfondswetVerplichtZFWVp_13;ZorgverzekeringswetZVW_14;AlgemeneWetBijzondereZiekteknAWBZ_15;WetLangdurigeZorgWLZ_16;VoorzieningenInGeldEnNatura_17;UitkeringenOorlogsslachtoffers_18;WetArbeidsongJonggehandicWajong_19;InkomensvoorzOuderenIOAWIOAZ_20;AlgemeneKinderbijslagwetAKW_21;Studiebeurzen_22;PremiesKoopwoningen_23;WetWerkEnBijstandWWBABW_24;AanvInkomensvoorzieningOuderenAIO_25;WetInvesterenInJongerenWIJ_26;ToeslagenwetTW_27;Zorgtoeslag_28;MKOBTegemoetkomingAOW_29;KindgebondenBudget_30;WetVoorzieningenGehandicaptenWVG_31;WetMaatschOndersteuningWMO_32;Huurtoeslag_33;OVJaarkaartStuderenden_34;Rechtsbijstand_35;BijdrageOnderwijsInAcZiekenhuizen_36;Kinderopvang_37;Leerlingenvervoer_38;Bejaardenoorden_39;ReintegratiefondsREA_40;BijdragenAsielzoekersEnMinderheden_41;ReIntegratie_42;Overig_43;TotaalSocialeUitkeringenInGeld_44;TotaalWettelijkeSocialeUitkInGeld_45;AlgArbeidsongeschiktheidswetAAW_46;TotaalArbeidsongeschiktheidsfonds_47;WetOpDeArbeidsongeschiktheidWAO_48;WerkEnInkomenArbeidsvermogenWIA_49;WetArbeidsongeschiktheidZelfstWAZ_50;ZiektewetZWVangnet_51;WetArbeidEnZorgWAZO_52;TotaalWerkhervattingskas_53;WerkEnInkomenArbeidsvermogenWIA_54;ZiektewetZWVangnet_55;WetOpDeArbeidsongeschiktheidWAO_56;WetArbeidsongeschiktheidZelfstWAZ_57;TotaalAlgemeenWerkloosheidsfonds_58;WerkloosheidswetWW_59;ZiektewetZWVangnet_60;WetArbeidEnZorgWAZO_61;TotaalSectorfondsen_62;WerkloosheidswetWW_63;WerkEnInkomenArbeidsvermogenWIA_64;ZiektewetZWVangnet_65;TotaalUitvoeringsfondsVoorDeOverheid_66;WerkloosheidswetWW_67;WerkEnInkomenArbeidsvermogenWIA_68;ZiektewetZWVangnet_69;WetArbeidEnZorgWAZO_70;ZiektewetZW_71;AlgemeneOuderdomswetAOW_72;AlgemeneNabestaandenwetANWAWW_73;ZiekenfondswetVerplichtZFWVp_74;ZorgverzekeringswetZVW_75;AlgemeneWetBijzondereZiekteknAWBZ_76;WetLangdurigeZorgWLZ_77;TotaalSocialeVoorzieningenInGeld_78;UitkeringenOorlogsslachtoffers_79;WetArbeidsongJonggehandicWajong_80;InkomensvoorzOuderenIOAWIOAZ_81;AlgemeneKinderbijslagwetAKW_82;Studiebeurzen_83;PremiesKoopwoningen_84;WetWerkEnBijstandWWBABW_85;AanvInkomensvoorzieningOuderenAIO_86;WetInvesterenInJongerenWIJ_87;ToeslagenwetTW_88;Zorgtoeslag_89;MKOBTegemoetkomingAOW_90;KindgebondenBudget_91;Overig_92;TotaalSocialeUitkeringenInNatura_93;TotaalWettelijkSocialeUitkInNatura_94;AlgArbeidsongeschiktheidswetAAW_95;ZiekenfondswetVerplichtZFWVp_96;ZorgverzekeringswetZVW_97;AlgemeneWetBijzondereZiekteknAWBZ_98;WetLangdurigeZorgWLZ_99;TotaalSocialeVoorzieningenInNatura_100;WetWerkEnBijstandWWBABW_101;WetVoorzieningenGehandicaptenWVG_102;WetMaatschOndersteuningWMO_103;Huurtoeslag_104;OVJaarkaartStuderenden_105;Rechtsbijstand_106;BijdrageOnderwijsInAcZiekenhuizen_107;Kinderopvang_108;Leerlingenvervoer_109;Bejaardenoorden_110;ReintegratiefondsREA_111;BijdragenAsielzoekersEnMinderheden_112;ReIntegratie_113;Overig_114
13;2000;72789;58299;0.0;8684.0;;469.0;;3268.0;;;19098.0;1498.0;12318.0;;12964.0;;14490;356.0;1024.0;270.0;2911.0;770.0;83.0;4097.0;;;289.0;;;;652.0;;1462.0;313.0;206.0;270.0;;98.0;;221.0;157.0;394.0;917.0;43309;33138;;7039;7039.0;;;;;;;;1645.0;469.0;2339;2339.0;;;929;929.0;;;;;;;;;19098;1498;116.0;;5.0;;10171;356.0;1024.0;270.0;2911.0;770.0;83.0;3890.0;;;289.0;;;;578.0;29480;25161;;12202.0;;12959.0;;4319;207.0;652.0;;1462.0;313.0;206.0;270.0;;98.0;;221.0;157.0;394.0;339.0
14;2001 1e kwartaal;18891;15410;;;;;;;;;;;;;;;3481;;;;;;;;;;;;;;;;;;;;;;;;;;;10645;8310;;1563;;;;;;;;;483.0;112.0;549;;;;274;;;;16.0;;;;;;4898;372;42.0;;1.0;;2335;;;;;;;;;;;;;;;8246;7100;;3987.0;;3113.0;;1146;;;;;;;;;;;;;;
15;2001 2e kwartaal;20975;17026;;;;;;;;;;;;;;;3949;;;;;;;;;;;;;;;;;;;;;;;;;;;13027;10219;;2244;;;;;;;;;723.0;166.0;719;;;;283;;;;30.0;;;;;;5578;420;53.0;;3.0;;2808;;;;;;;;;;;;;;;7948;6807;;2720.0;;4087.0;;1141;;;;;;;;;;;;;;
16;2001 3e kwartaal;18629;14982;;;;;;;;;;;;;;;3647;;;;;;;;;;;;;;;;;;;;;;;;;;;10880;8301;;1511;;;;;;;;;548.0;112.0;548;;;;215;;;;32.0;;;;;;4926;366;42.0;;1.0;;2579;;;;;;;;;;;;;;;7749;6681;;3087.0;;3594.0;;1068;;;;;;;;;;;;;;
17;2001 4e kwartaal;19107;15435;;;;;;;;;;;;;;;3672;;;;;;;;;;;;;;;;;;;;;;;;;;;10950;8334;;1510;;;;;;;;;539.0;114.0;596;;;;233;;;;60.0;;;;;;4882;357;42.0;;1.0;;2616;;;;;;;;;;;;;;;8157;7101;;3539.0;;3562.0;;1056;;;;;;;;;;;;;;
18;2001;77602;62853;0.0;9121.0;;504.0;;3555.0;;;20284.0;1515.0;13512.0;;14362.0;;14749;368.0;1132.0;239.0;3001.0;728.0;61.0;4127.0;;;274.0;;;;657.0;;1505.0;239.0;256.0;280.0;;130.0;;244.0;134.0;403.0;971.0;45502;35164;;6828;6828.0;;;;;;;;2293.0;504.0;2412;2412.0;;;1005;1005.0;;;138.0;138.0;;;;;20284;1515;179.0;;6.0;;10338;368.0;1132.0;239.0;3001.0;728.0;61.0;3919.0;;;274.0;;;;616.0;32100;27689;;13333.0;;14356.0;;4411;208.0;657.0;;1505.0;239.0;256.0;280.0;;130.0;;244.0;134.0;403.0;355.0
19;2002 1e kwartaal;20592;16662;;;;;;;;;;;;;;;3930;;;;;;;;;;;;;;;;;;;;;;;;;;;11433;8772;;1640;;;;;;;;;631.0;123.0;602;;;;328;;;;45.0;;;;;;4970;382;49.0;;2.0;;2661;;;;;;;;;;;;;;;9159;7890;;4318.0;;3572.0;;1269;;;;;;;;;;;;;;
20;2002 2e kwartaal;22682;18710;;;;;;;;;;;;;;;3972;;;;;;;;;;;;;;;;;;;;;;;;;;;13494;10788;;1824;;;;;;;;;779.0;141.0;739;;;;383;;;;64.0;;;;;;6402;395;59.0;;2.0;;2706;;;;;;;;;;;;;;;9188;7922;;3243.0;;4679.0;;1266;;;;;;;;;;;;;;
21;2002 3e kwartaal;20119;16321;;;;;;;;;;;;;;;3798;;;;;;;;;;;;;;;;;;;;;;;;;;;11377;8763;;1542;;;;;;;;;703.0;117.0;622;;;;290;;;;48.0;;;;;;5017;373;49.0;;2.0;;2614;;;;;;;;;;;;;;;8742;7558;;3349.0;;4209.0;;1184;;;;;;;;;;;;;;
22;2002 4e kwartaal;20575;16818;;;;;;;;;;;;;;;3757;;;;;;;;;;;;;;;;;;;;;;;;;;;11382;8799;;1558;;;;;;;;;722.0;121.0;627;;;;297;;;;51.0;;;;;;4994;378;49.0;;2.0;;2583;;;;;;;;;;;;;;;9193;8019;;3933.0;;4086.0;;1174;;;;;;;;;;;;;;
23;2002;83968;68511;;9399.0;;502.0;599.0;2488.0;1009.0;;21383.0;1528.0;15049.0;;16554.0;;15457;386.0;1135.0;251.0;3118.0;672.0;51.0;4225.0;;;287.0;;;;680.0;;1717.0;250.0;295.0;323.0;;148.0;;300.0;81.0;466.0;1072.0;47686;37122;;6564;6564.0;;;;;;;;2835.0;502.0;2590;1556.0;546.0;488.0;1298;864.0;;434.0;208.0;68.0;;29.0;111.0;;21383;1528;206.0;;8.0;;10564;386.0;1135.0;251.0;3118.0;672.0;51.0;4016.0;;;287.0;;;;648.0;36282;31389;;14843.0;;16546.0;;4893;209.0;680.0;;1717.0;250.0;295.0;323.0;;148.0;;300.0;81.0;466.0;424.0
24;2003 1e kwartaal;21870;17937;;;;;;;;;;;;;;;3933;;;;;;;;;;;;;;;;;;;;;;;;;;;12057;9403;;1515;;;;;;;;;722.0;122.0;781;;;;455;;;;76.0;;;;;;5302;364;63.0;;3.0;;2654;;;;;;;;;;;;;;;9813;8534;;4541.0;;3993.0;;1279;;;;;;;;;;;;;;
25;2003 2e kwartaal;24160;20046;;;;;;;;;;;;;;;4114;;;;;;;;;;;;;;;;;;;;;;;;;;;14402;11562;;1994;;;;;;;;;934.0;159.0;908;;;;503;;;;105.0;;;;;;6481;398;77.0;;3.0;;2840;;;;;;;;;;;;;;;9758;8484;;3415.0;;5069.0;;1274;;;;;;;;;;;;;;
26;2003 3e kwartaal;21616;17610;;;;;;;;;;;;;;;4006;;;;;;;;;;;;;;;;;;;;;;;;;;;12208;9391;;1524;;;;;;;;;703.0;120.0;803;;;;398;;;;82.0;;;;;;5314;381;63.0;;3.0;;2817;;;;;;;;;;;;;;;9408;8219;;3551.0;;4668.0;;1189;;;;;;;;;;;;;;
27;2003 4e kwartaal;21995;18153;;;;;;;;;;;;;;;3842;;;;;;;;;;;;;;;;;;;;;;;;;;;12097;9430;;1550;;;;;;;;;681.0;123.0;817;;;;411;;;;87.0;;;;;;5332;363;63.0;;3.0;;2667;;;;;;;;;;;;;;;9898;8723;;4389.0;;4334.0;;1175;;;;;;;;;;;;;;
28;2003;89641;73746;;9623.0;;524.0;760.0;3580.0;1086.0;;22429.0;1506.0;16162.0;;18076.0;;15895;383.0;1283.0;232.0;3199.0;755.0;41.0;4458.0;;;303.0;;;;687.0;;1603.0;301.0;316.0;331.0;;156.0;;308.0;50.0;535.0;954.0;50764;39786;;6583;6583.0;;;;;;;;3040.0;524.0;3309;2095.0;586.0;628.0;1767;1319.0;;448.0;350.0;166.0;;52.0;132.0;;22429;1506;266.0;;12.0;;10978;383.0;1283.0;232.0;3199.0;755.0;41.0;4246.0;;;303.0;;;;536.0;38877;33960;;15896.0;;18064.0;;4917;212.0;687.0;;1603.0;301.0;316.0;331.0;;156.0;;308.0;50.0;535.0;418.0
29;2004 1e kwartaal;22108;18191;;;;;;;;;;;;;;;3917;;;;;;;;;;;;;;;;;;;;;;;;;;;12221;9566;;1652;;;;;;;;;641.0;;872;;;;445;;;;78.0;;;;;;5453;353;69.0;;3.0;;2655;;;;;;;;;;;;;;;9887;8625;;4443.0;;4182.0;;1262;;;;;;;;;;;;;;
30;2004 2e kwartaal;24795;20694;;;;;;;;;;;;;;;4101;;;;;;;;;;;;;;;;;;;;;;;;;;;14608;11764;;2143;;;;;;;;;858.0;;1107;;;;519;;;;109.0;;;;;;6524;418;84.0;;2.0;;2844;;;;;;;;;;;;;;;10187;8930;;4016.0;;4914.0;;1257;;;;;;;;;;;;;;
31;2004 3e kwartaal;22028;18042;;;;;;;;;;;;;;;3986;;;;;;;;;;;;;;;;;;;;;;;;;;;12361;9556;;1652;;;;;;;;;675.0;;942;;;;358;;;;90.0;;;;;;5431;337;68.0;;3.0;;2805;;;;;;;;;;;;;;;9667;8486;;3566.0;;4920.0;;1181;;;;;;;;;;;;;;
32;2004 4e kwartaal;22658;18677;;;;;;;;;;;;;;;3981;;;;;;;;;;;;;;;;;;;;;;;;;;;12407;9594;;1645;;;;;;;;;572.0;;1039;;;;359;;;;91.0;;;;;;5482;334;69.0;;3.0;;2813;;;;;;;;;;;;;;;10251;9083;;4097.0;;4986.0;;1168;;;;;;;;;;;;;;
33;2004;91589;75604;;9331.0;;507.0;744.0;4317.0;948.0;;22890.0;1442.0;16412.0;;19013.0;;15985;384.0;1326.0;187.0;3232.0;851.0;36.0;4475.0;;;336.0;;;;714.0;;1649.0;192.0;334.0;335.0;;161.0;;256.0;37.0;583.0;897.0;51597;40480;;7092;6585.0;;507.0;;;;;;2746.0;;3960;2783.0;564.0;613.0;1681;1341.0;;340.0;368.0;193.0;;44.0;131.0;;22890;1442;290.0;;11.0;;11117;384.0;1326.0;187.0;3232.0;851.0;36.0;4263.0;;;336.0;;;;502.0;39992;35124;;16122.0;;19002.0;;4868;212.0;714.0;;1649.0;192.0;334.0;335.0;;161.0;;256.0;37.0;583.0;395.0
34;2005 1e kwartaal;22514;18411;;;;;;;;;;;;;;;4103;;;;;;;;;;;;;;;;;;;;;;;;;;;12327;9560;;1646;;;;;;;;;550.0;;956;;;;407;;;;87.0;;;;;;5487;326;98.0;;3.0;;2767;;;;;;;;;;;;;;;10187;8851;;4001.0;;4850.0;;1336;;;;;;;;;;;;;;
35;2005 2e kwartaal;25314;20811;;;;;;;;;;;;;;;4503;;;;;;;;;;;;;;;;;;;;;;;;;;;14928;11757;;2143;;;;;;;;;628.0;;1185;;;;486;;;;116.0;;;;;;6680;394;121.0;;4.0;;3171;;;;;;;;;;;;;;;10386;9054;;4165.0;;4889.0;;1332;;;;;;;;;;;;;;
36;2005 3e kwartaal;22514;18556;;;;;;;;;;;;;;;3958;;;;;;;;;;;;;;;;;;;;;;;;;;;12254;9550;;1653;;;;;;;;;450.0;;983;;;;356;;;;93.0;;;;;;5568;345;98.0;;4.0;;2704;;;;;;;;;;;;;;;10260;9006;;3966.0;;5040.0;;1254;;;;;;;;;;;;;;
37;2005 4e kwartaal;22709;18723;;;;;;;;;;;;;;;3986;;;;;;;;;;;;;;;;;;;;;;;;;;;12329;9589;;1662;;;;;;;;;451.0;;968;;;;370;;;;101.0;;;;;;5634;302;98.0;;3.0;;2740;;;;;;;;;;;;;;;10380;9134;;4196.0;;4938.0;;1246;;;;;;;;;;;;;;
38;2005;93051;76501;;8709.0;;474.0;658.0;4375.0;1075.0;;23369.0;1367.0;16743.0;;19731.0;;16550;353.0;1419.0;151.0;3191.0;792.0;26.0;4485.0;;;331.0;;;;640.0;;1686.0;188.0;340.0;343.0;521.0;169.0;;190.0;30.0;635.0;1060.0;51838;40456;;7104;6630.0;;474.0;;;;;;2079.0;;4092;2922.0;636.0;534.0;1619;1235.0;;384.0;397.0;218.0;;55.0;124.0;;23369;1367;415.0;;14.0;;11382;353.0;1419.0;151.0;3191.0;792.0;26.0;4265.0;;;331.0;;;;854.0;41213;36045;;16328.0;;19717.0;;5168;220.0;640.0;;1686.0;188.0;340.0;343.0;521.0;169.0;;190.0;30.0;635.0;206.0
39;2006 1e kwartaal;25753;20884;;;;;;;;;;;;;;;4869;;;;;;;;;;;;;;;;;;;;;;;;;;;12939;9521;;1670;;;;;;;;;368.0;;1039;;;;395;;;;87.0;;;;;;5561;308;;93.0;0.0;;3418;;;;;;;;;;;;;;;12814;11363;;;5423.0;5940.0;;1451;;;;;;;;;;;;;;
40;2006 2e kwartaal;28725;23513;;;;;;;;;;;;;;;5212;;;;;;;;;;;;;;;;;;;;;;;;;;;15475;11708;;2134;;;;;;;;;396.0;;1174;;;;428;;;;127.0;;;;;;6946;389;;114.0;0.0;;3767;;;;;;;;;;;;;;;13250;11805;;;4570.0;7235.0;;1445;;;;;;;;;;;;;;
41;2006 3e kwartaal;25588;20799;;;;;;;;;;;;;;;4789;;;;;;;;;;;;;;;;;;;;;;;;;;;12929;9509;;1698;;;;;;;;;295.0;;900;;;;311;;;;96.0;;;;;;5801;315;;93.0;0.0;;3420;;;;;;;;;;;;;;;12659;11290;;;7709.0;3581.0;;1369;;;;;;;;;;;;;;
42;2006 4e kwartaal;26096;21225;;;;;;;;;;;;;;;4871;;;;;;;;;;;;;;;;;;;;;;;;;;;13081;9548;;1720;;;;;;;;;261.0;;894;;;;317;;;;93.0;;;;;;5861;309;;93.0;0.0;;3533;;;;;;;;;;;;;;;13015;11677;;;7478.0;4199.0;;1338;;;;;;;;;;;;;;
43;2006;106162;86421;;7970.0;131.0;441.0;677.0;3722.0;1462.0;;24169.0;1321.0;;25573.0;20955.0;;19741;346.0;1525.0;112.0;3263.0;968.0;22.0;4377.0;;;372.0;2503.0;;;664.0;;2026.0;155.0;345.0;346.0;834.0;185.0;;99.0;30.0;424.0;1145.0;54424;40286;;7222;6650.0;131.0;441.0;;;;;;1320.0;;4007;2596.0;876.0;535.0;1451;934.0;;517.0;403.0;192.0;;69.0;142.0;;24169;1321;;393.0;0.0;;14138;346.0;1525.0;112.0;3263.0;968.0;22.0;4148.0;;;372.0;2503.0;;;879.0;51738;46135;;;25180.0;20955.0;;5603;229.0;664.0;;2026.0;155.0;345.0;346.0;834.0;185.0;;99.0;30.0;424.0;266.0
