ID;BeroepsEnEigenVervoer;Vervoerstromen;Perioden;VervoerdLadinggewicht_1;Ladingtonkilometers_2;VoertuigkilometersTotaal_3;VoertuigkilometersBeladen_4;RittenBeladen_5
47;Beroeps- en eigen vervoer;Binnenlands en bilateraal vervoer;2017;638110;61297;6627.0;4909.0;50826.0
48;Beroeps- en eigen vervoer;Binnenlands en bilateraal vervoer;2018;653616;63130;6778.0;5031.0;51385.0
49;Beroeps- en eigen vervoer;Binnenlands en bilateraal vervoer;2019;660065;63157;6745.0;4980.0;52011.0
50;Beroeps- en eigen vervoer;Binnenlands en bilateraal vervoer;2020;658074;62032;6848.0;4995.0;53489.0
51;Beroeps- en eigen vervoer;Binnenlands en bilateraal vervoer;2021;672614;63883;7127.0;5198.0;55272.0
52;Beroeps- en eigen vervoer;Binnenlands en bilateraal vervoer;2022;666348;60457;6720.0;4939.0;56806.0
53;Beroeps- en eigen vervoer;Binnenlands en bilateraal vervoer;2023;616899;57741;6448.0;4799.0;53290.0
54;Beroeps- en eigen vervoer;Binnenlands vervoer;1997;451354;30591;;;
55;Beroeps- en eigen vervoer;Binnenlands vervoer;1998;462970;31568;;;
56;Beroeps- en eigen vervoer;Binnenlands vervoer;1999;520641;35341;;;
57;Beroeps- en eigen vervoer;Binnenlands vervoer;2000;502731;34085;;;
58;Beroeps- en eigen vervoer;Binnenlands vervoer;2001;508903;33513;;;
59;Beroeps- en eigen vervoer;Binnenlands vervoer;2002;484016;32495;;;
60;Beroeps- en eigen vervoer;Binnenlands vervoer;2003;481360;32891;;;
61;Beroeps- en eigen vervoer;Binnenlands vervoer;2004;505944;34990;4644.0;2893.0;38932.0
62;Beroeps- en eigen vervoer;Binnenlands vervoer;2005;513264;34508;4546.0;2819.0;41171.0
63;Beroeps- en eigen vervoer;Binnenlands vervoer;2006;519714;33698;4547.0;2842.0;43997.0
64;Beroeps- en eigen vervoer;Binnenlands vervoer;2007;542351;33264;4245.0;2665.0;45832.0
65;Beroeps- en eigen vervoer;Binnenlands vervoer;2008;525592;34620;4486.0;2921.0;43281.0
66;Beroeps- en eigen vervoer;Binnenlands vervoer;2009;534693;33844;4422.0;2831.0;40609.0
67;Beroeps- en eigen vervoer;Binnenlands vervoer;2010;520929;30114;4085.0;2582.0;39524.0
68;Beroeps- en eigen vervoer;Binnenlands vervoer;2011;516934;30344;4210.0;2717.0;40715.0
69;Beroeps- en eigen vervoer;Binnenlands vervoer;2012;497434;28718;3987.0;2592.0;39293.0
70;Beroeps- en eigen vervoer;Binnenlands vervoer;2013;504971;31844;4094.0;2779.0;41102.0
71;Beroeps- en eigen vervoer;Binnenlands vervoer;2014;503103;32033;4180.0;2900.0;42320.0
72;Beroeps- en eigen vervoer;Binnenlands vervoer;2015;508883;32075;4268.0;2964.0;44436.0
73;Beroeps- en eigen vervoer;Binnenlands vervoer;2016;528369;33953;4413.0;3099.0;45605.0
74;Beroeps- en eigen vervoer;Binnenlands vervoer;2017;534045;33122;4187.0;2931.0;43901.0
75;Beroeps- en eigen vervoer;Binnenlands vervoer;2018;547805;34111;4290.0;3020.0;44454.0
76;Beroeps- en eigen vervoer;Binnenlands vervoer;2019;559867;35342;4373.0;3054.0;45401.0
77;Beroeps- en eigen vervoer;Binnenlands vervoer;2020;558809;34976;4488.0;3082.0;46824.0
78;Beroeps- en eigen vervoer;Binnenlands vervoer;2021;570092;36278;4673.0;3225.0;48375.0
79;Beroeps- en eigen vervoer;Binnenlands vervoer;2022;573299;35452;4548.0;3144.0;50390.0
80;Beroeps- en eigen vervoer;Binnenlands vervoer;2023;525871;33166;4309.0;3035.0;47026.0
81;Beroeps- en eigen vervoer;Totaal internationaal vervoer;1997;133087;56837;;;
82;Beroeps- en eigen vervoer;Totaal internationaal vervoer;1998;135541;57949;;;
83;Beroeps- en eigen vervoer;Totaal internationaal vervoer;1999;146361;59951;;;
84;Beroeps- en eigen vervoer;Totaal internationaal vervoer;2000;137848;56377;;;
85;Beroeps- en eigen vervoer;Totaal internationaal vervoer;2001;141189;55757;;;
86;Beroeps- en eigen vervoer;Totaal internationaal vervoer;2002;140652;55065;;;
87;Beroeps- en eigen vervoer;Totaal internationaal vervoer;2003;147452;56053;;;
88;Beroeps- en eigen vervoer;Totaal internationaal vervoer;2004;166373;63884;4569.0;3705.0;8519.0
89;Beroeps- en eigen vervoer;Totaal internationaal vervoer;2005;161684;61273;4390.0;3566.0;8762.0
90;Beroeps- en eigen vervoer;Totaal internationaal vervoer;2006;160695;61248;4464.0;3536.0;8818.0
91;Beroeps- en eigen vervoer;Totaal internationaal vervoer;2007;157941;55656;4150.0;3262.0;8899.0
92;Beroeps- en eigen vervoer;Totaal internationaal vervoer;2008;156542;54116;4284.0;3287.0;8707.0
93;Beroeps- en eigen vervoer;Totaal internationaal vervoer;2009;140622;48410;3944.0;3034.0;7857.0
94;Beroeps- en eigen vervoer;Totaal internationaal vervoer;2010;136773;46721;3801.0;3099.0;8426.0
95;Beroeps- en eigen vervoer;Totaal internationaal vervoer;2011;140925;45198;3785.0;3081.0;8665.0
96;Beroeps- en eigen vervoer;Totaal internationaal vervoer;2012;134271;41365;3528.0;2851.0;8275.0
97;Beroeps- en eigen vervoer;Totaal internationaal vervoer;2013;137079;40236;3473.0;2719.0;8759.0
98;Beroeps- en eigen vervoer;Totaal internationaal vervoer;2014;136588;40302;3540.0;2761.0;9000.0
99;Beroeps- en eigen vervoer;Totaal internationaal vervoer;2015;132557;36824;3279.0;2603.0;9086.0
100;Beroeps- en eigen vervoer;Totaal internationaal vervoer;2016;128048;33833;3011.0;2364.0;8567.0
101;Beroeps- en eigen vervoer;Totaal internationaal vervoer;2017;131947;34410;3015.0;2397.0;8832.0
102;Beroeps- en eigen vervoer;Totaal internationaal vervoer;2018;132364;34795;3076.0;2420.0;8788.0
103;Beroeps- en eigen vervoer;Totaal internationaal vervoer;2019;128872;33579;2921.0;2317.0;8427.0
104;Beroeps- en eigen vervoer;Totaal internationaal vervoer;2020;125432;32616;2889.0;2287.0;8382.0
105;Beroeps- en eigen vervoer;Totaal internationaal vervoer;2021;129231;33279;3013.0;2366.0;8673.0
106;Beroeps- en eigen vervoer;Totaal internationaal vervoer;2022;117427;30012;2663.0;2145.0;8118.0
107;Beroeps- en eigen vervoer;Totaal internationaal vervoer;2023;116324;29403;2620.0;2106.0;7987.0
