ID;Perioden;BrutoBinnenlandsProductBbp_1;ExploitatieoverschotNetto_2;NationaalInkomenNetto_3;BeschikbaarNationaalInkomenNetto_4;NationaleBesparingenNetto_5;NationaalVorderingensaldo_6;BelastingEnPremieontvangstenBbp_7;EMUSaldoBbp_8;EMUSchuldBbp_9;TotaalInkomstenBbp_10;TotaalUitgavenBbp_11;BeschikbaarInkomenNettoReeleMut_12;ConsumptieveBestedingenBruto_13;VrijeIndividueleBesparingen_14;WoninghypothekenEindbalans_15;WoninghypothekenFinancieleTransactie_16;Productiewaarde_17;ExploitatieoverschotNetto_18;NettowinstVoorBelasting_19;BrutoToegevoegdeWaarde_20;BrutoToegevoegdeWaarde_21;NettowinstVoorBelasting_22;OmvangFinancieleActivaFinancieleInst_23;KredietverleningAanPrivateSector_24;UitvoeroverschotBbp_25;Uitvoersaldo_26;SaldoPrimaireInkomensBuitenland_27;SaldoInkomensoverdrachtenBuitenland_28
15;2004 1e kwartaal;0;0;0;0;0;0;35.5;-2.5;53.0;42.2;44.7;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0;0;0
16;2004 2e kwartaal;0;0;0;0;0;0;36.8;-3.4;53.5;44.8;48.2;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0;0;0
17;2004 3e kwartaal;0;0;0;0;0;0;35.9;-1.6;54.2;43.7;45.3;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0;0;0
18;2004 4e kwartaal;0;0;0;0;0;0;39.8;0.4;52.4;46.4;46.1;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0;0;0
19;2004;0;0;0;0;0;0;37.0;-1.7;52.4;44.3;46.1;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0;0;0
20;2005 1e kwartaal;124851;33867;108846;106222;16724;11735;35.9;-0.7;51.8;42.5;43.2;2.8;61160;-5854;0;0;164421;21306;25858;70654;8410;10601;4147176;8851;9.6;11958;2593;-2624
21;2005 2e kwartaal;130213;23347;111023;109646;15169;9135;36.5;-2.4;54.1;44.1;46.5;-1.6;62620;12250;0;0;168036;11847;18127;71368;8501;21684;4314835;23337;8.6;11229;-376;-1377
22;2005 3e kwartaal;124278;32306;102849;101016;8780;4866;36.3;-0.4;52.7;43.6;44.0;0.8;63167;-5113;0;0;162133;19883;26700;69376;8855;19002;4441441;10248;7.5;9329;-2394;-1833
23;2005 4e kwartaal;134065;34814;117458;115073;19654;10935;39.6;2.3;51.8;47.6;45.3;-2.4;63396;-8619;0;0;176919;22469;21968;75764;8071;21168;4576489;32791;8.4;11249;2655;-2385
24;2005;513407;124334;440176;431957;60327;36671;37.1;-0.3;51.8;44.5;44.8;-0.3;250343;-7336;0;0;671509;75505;92653;287162;33837;72455;4576489;75227;8.5;43765;2478;-8219
25;2006 1e kwartaal;132488;37213;116627;114464;20017;13340;37.9;0.0;51.0;44.2;44.2;-5.4;62759;-8918;0;0;179909;24754;29956;75105;8573;22145;4749088;17936;9.4;12390;3446;-2163
26;2006 2e kwartaal;136691;23816;125647;124133;24513;17138;38.1;-0.6;50.6;46.8;47.4;1.8;64107;13793;0;0;179912;11140;20469;74801;8171;19127;4867085;15978;7.7;10571;8487;-1514
27;2006 3e kwartaal;129982;35810;112486;110728;14435;8662;37.0;-0.2;49.6;44.9;45.2;-1.6;64274;-6017;0;0;172584;23346;25946;73577;6962;22668;5035953;21525;6.5;8485;2264;-1758
28;2006 4e kwartaal;141055;36670;121387;118802;19278;7716;40.8;2.8;47.4;48.1;45.4;7.3;63735;-4119;0;0;187676;23523;24705;80729;7371;21355;5156288;32992;7.3;10360;328;-2585
29;2006;540216;133509;476147;468127;78243;46856;38.5;0.5;47.4;46.0;45.5;0.5;254875;-5261;0;0;720081;82763;101076;304212;31077;85295;5156288;88431;7.7;41806;14525;-8020
30;2007 1e kwartaal;139690;38741;120925;118533;20005;11379;37.7;1.1;47.7;45.4;44.3;-0.2;64793;-10075;0;0;189586;26485;30910;80030;7248;18926;5372143;19440;9.3;12969;1397;-2392
31;2007 2e kwartaal;143852;27498;128395;126831;23399;14564;37.3;-2.6;48.1;44.5;47.1;2.6;65832;15641;0;0;190781;15306;25536;80367;7126;35512;5532713;9357;8.0;11491;4938;-1564
32;2007 3e kwartaal;138091;38742;120115;118007;17271;9942;36.2;-2.1;46.9;42.8;44.9;4.3;66385;-4676;0;0;186682;25145;31766;78715;6951;24517;5700592;11852;6.8;9349;2658;-2108
33;2007 4e kwartaal;150140;38233;129768;127075;22147;11016;41.1;4.1;45.3;48.7;44.7;3.6;67089;-4071;0;0;205616;24267;27723;86092;7282;34340;6029155;3217;8.8;13186;509;-2693
34;2007;571773;143214;499203;490446;82822;46901;38.1;0.2;45.3;45.4;45.3;2.7;264099;-3181;0;0;772665;91203;115935;325204;28607;113295;6029155;43866;8.2;46995;9502;-8757
35;2008 1e kwartaal;147240;41866;122860;120448;17711;8132;37.6;1.1;46.3;46.1;45.1;5.5;66997;-8590;587776;7038;206212;27276;30165;84643;7859;18801;6060037;20706;10.0;14701;-3358;-2412
36;2008 2e kwartaal;150380;27288;129278;127472;19681;9389;39.2;-0.5;46.3;47.0;47.5;-1.0;68073;13782;595214;7434;208043;14762;21246;84404;7402;24933;6199315;17120;7.9;11916;68;-1806
37;2008 3e kwartaal;143521;39064;122584;120777;16474;8477;37.0;-1.5;46.8;43.6;45.1;-2.0;68011;-6561;604170;8951;201433;25165;31713;81996;7407;22455;6244506;13851;7.2;10283;541;-1807
38;2008 4e kwartaal;153340;38649;121721;118758;10661;-19;40.7;2.8;58.5;49.8;47.0;-2.8;67336;-6043;613669;9506;205651;26263;25633;88829;6477;16937;6022423;-2641;8.1;12495;-9877;-2963
39;2008;594481;146867;496443;487455;64527;25979;38.7;0.5;58.5;46.7;46.2;-0.3;270417;-7412;613669;32929;821339;93466;108757;339872;29145;83126;6022423;49036;8.3;49395;-12626;-8988
40;2009 1e kwartaal;143752;37572;115707;112599;7856;789;37.8;-3.2;61.4;46.2;49.5;-2.0;66401;-9074;620575;6738;193007;25436;24738;83198;8273;17761;6040018;11895;7.5;10769;-6433;-3108
41;2009 2e kwartaal;143781;20760;123215;123235;15213;9892;37.7;-5.8;60.7;46.0;51.8;-1.6;65308;14415;627567;7046;184756;10070;12185;79570;8938;18068;6142356;10174;6.4;9226;1295;20
42;2009 3e kwartaal;137444;33929;110169;107860;2939;794;36.4;-9.1;61.3;43.2;52.3;-3.8;65723;-7414;634432;6727;180913;20909;23154;77650;9512;17780;6290313;2908;6.3;8685;-5157;-2309
43;2009 4e kwartaal;148258;34342;122320;119450;9689;4174;39.1;-4.5;60.8;47.7;52.1;3.4;66105;-2592;639619;5522;193274;20721;22577;82511;9953;24271;6422455;1204;7.7;11387;-3555;-2870
44;2009;573235;126603;471411;463144;35697;15649;37.8;-5.6;60.8;45.8;51.4;-1.1;263537;-4665;639619;26033;751950;77136;82654;322929;36676;77880;6422455;26181;7.0;40067;-13850;-8267
45;2010 1e kwartaal;143658;37115;117054;114027;8524;4129;39.1;-3.6;61.5;47.5;50.9;-1.2;66295;-9230;643981;4408;192736;23948;25433;81898;10320;26188;6587881;9290;8.6;12336;-4688;-3027
46;2010 2e kwartaal;148691;23830;129715;127215;17103;9806;38.4;-7.8;63.2;45.6;53.3;-1.4;66426;13371;648598;4635;195144;12171;21046;82219;10528;26681;6731443;6743;6.4;9473;3193;-2500
47;2010 3e kwartaal;142073;37393;115475;113718;6823;4681;35.8;-8.0;63.1;42.3;50.2;3.9;67165;-5702;653538;4942;191761;23143;29653;79992;10686;27416;6845896;4980;8.1;11487;-4169;-1757
48;2010 4e kwartaal;154318;37283;127861;126274;14063;7991;40.3;-1.3;63.1;49.0;50.2;-1.2;67924;-4329;657100;3607;207494;23314;29280;86364;10807;28844;6774361;1339;9.5;14710;-3759;-1587
49;2010;588740;135621;490105;481234;46513;26607;38.4;-5.1;63.1;46.1;51.2;-0.1;267810;-5890;657100;17592;787135;82576;105412;330473;42341;109129;6774361;22352;8.2;48006;-9423;-8871
50;2011 1e kwartaal;149448;41103;131095;127933;20706;13366;38.3;-1.9;63.2;47.1;48.9;2.6;67636;-7933;661137;4092;209508;26836;36079;86153;10292;19494;6788731;4265;9.3;13900;3444;-3162
51;2011 2e kwartaal;152166;26289;131289;129102;17635;10919;37.5;-7.2;64.2;44.5;51.5;0.8;67657;14683;666339;5256;206010;13515;19937;84542;9974;26211;6843991;6370;8.0;12182;1171;-2187
52;2011 3e kwartaal;144993;38573;123782;122152;14180;11125;36.9;-5.8;65.0;43.8;49.5;-3.1;67860;-6943;670696;4501;203493;24423;29323;83112;10187;30021;7174988;5377;8.2;11937;1096;-1630
53;2011 4e kwartaal;155366;38137;132288;130019;17499;12367;38.9;-3.2;65.5;46.2;49.4;-1.1;67958;-3555;669920;-678;213699;23722;29570;87561;10774;29695;7252815;-4223;10.2;15775;-504;-2269
54;2011;601973;144102;518454;509206;70020;47777;37.9;-4.5;65.5;45.4;49.8;-0.2;271111;-3748;669920;13171;832710;88496;114909;341368;41227;105421;7252815;11789;8.9;53794;5207;-9248
55;2012 1e kwartaal;149744;41561;132137;128791;19589;15354;38.6;-1.6;66.8;47.8;49.4;-2.2;68723;-8909;670311;445;213644;27039;32515;86523;11210;20986;7408109;1728;10.2;15224;4071;-3346
