ID;BedrijfstakkenBranchesSBI2008;Marges;Seizoencorrectie;Perioden;Producentenvertrouwen_1;VerwachteBedrijvigheid_2;OordeelOrderpositie_3;OordeelVoorraden_4
40;C Industrie;Waarde;Seizoengecorrigeerde cijfers;1988 mei;-2.7;1.7;-7.7;-2.0
41;C Industrie;Waarde;Seizoengecorrigeerde cijfers;1988 juni;-2.3;2.8;-7.8;-2.0
42;C Industrie;Waarde;Seizoengecorrigeerde cijfers;1988 juli;-0.9;7.9;-7.5;-3.0
43;C Industrie;Waarde;Seizoengecorrigeerde cijfers;1988 augustus;-0.3;8.6;-6.5;-3.0
44;C Industrie;Waarde;Seizoengecorrigeerde cijfers;1988 september;-1.1;3.4;-3.7;-3.0
45;C Industrie;Waarde;Seizoengecorrigeerde cijfers;1988 oktober;-0.7;0.9;-1.9;-1.0
46;C Industrie;Waarde;Seizoengecorrigeerde cijfers;1988 november;0.0;2.5;-2.4;0.0
47;C Industrie;Waarde;Seizoengecorrigeerde cijfers;1988 december;1.1;5.7;-2.4;0.0
48;C Industrie;Waarde;Seizoengecorrigeerde cijfers;1989 januari;1.8;9.4;-2.1;-2.0
49;C Industrie;Waarde;Seizoengecorrigeerde cijfers;1989 februari;-0.1;5.6;-2.8;-3.0
50;C Industrie;Waarde;Seizoengecorrigeerde cijfers;1989 maart;0.0;6.7;-2.6;-4.0
51;C Industrie;Waarde;Seizoengecorrigeerde cijfers;1989 april;1.9;8.0;-1.4;-1.0
52;C Industrie;Waarde;Seizoengecorrigeerde cijfers;1989 mei;2.7;11.7;-1.5;-2.0
53;C Industrie;Waarde;Seizoengecorrigeerde cijfers;1989 juni;1.6;8.5;-1.7;-2.0
54;C Industrie;Waarde;Seizoengecorrigeerde cijfers;1989 juli;1.5;6.9;0.6;-3.0
55;C Industrie;Waarde;Seizoengecorrigeerde cijfers;1989 augustus;1.5;8.3;-0.7;-3.0
56;C Industrie;Waarde;Seizoengecorrigeerde cijfers;1989 september;0.2;5.6;-0.9;-4.0
57;C Industrie;Waarde;Seizoengecorrigeerde cijfers;1989 oktober;1.9;7.8;1.0;-3.0
58;C Industrie;Waarde;Seizoengecorrigeerde cijfers;1989 november;2.7;9.5;2.5;-4.0
59;C Industrie;Waarde;Seizoengecorrigeerde cijfers;1989 december;-0.3;5.8;-1.6;-5.0
60;C Industrie;Waarde;Seizoengecorrigeerde cijfers;1990 januari;-0.2;5.5;-2.2;-4.0
61;C Industrie;Waarde;Seizoengecorrigeerde cijfers;1990 februari;0.7;8.7;-3.6;-3.0
62;C Industrie;Waarde;Seizoengecorrigeerde cijfers;1990 maart;-0.9;6.7;-4.5;-5.0
63;C Industrie;Waarde;Seizoengecorrigeerde cijfers;1990 april;0.3;7.2;-3.2;-3.0
64;C Industrie;Waarde;Seizoengecorrigeerde cijfers;1990 mei;1.5;7.6;-1.2;-2.0
65;C Industrie;Waarde;Seizoengecorrigeerde cijfers;1990 juni;1.2;8.4;-2.7;-2.0
66;C Industrie;Waarde;Seizoengecorrigeerde cijfers;1990 juli;0.8;8.0;-3.5;-2.0
67;C Industrie;Waarde;Seizoengecorrigeerde cijfers;1990 augustus;-0.2;8.2;-2.9;-6.0
68;C Industrie;Waarde;Seizoengecorrigeerde cijfers;1990 september;-0.6;7.5;-4.2;-5.0
69;C Industrie;Waarde;Seizoengecorrigeerde cijfers;1990 oktober;-0.8;6.7;-4.2;-5.0
70;C Industrie;Waarde;Seizoengecorrigeerde cijfers;1990 november;-0.3;6.5;-2.5;-5.0
71;C Industrie;Waarde;Seizoengecorrigeerde cijfers;1990 december;-0.2;7.0;-3.7;-4.0
72;C Industrie;Waarde;Seizoengecorrigeerde cijfers;1991 januari;-1.9;3.5;-5.2;-4.0
73;C Industrie;Waarde;Seizoengecorrigeerde cijfers;1991 februari;-4.2;0.8;-7.4;-6.0
74;C Industrie;Waarde;Seizoengecorrigeerde cijfers;1991 maart;-3.2;4.8;-8.4;-6.0
75;C Industrie;Waarde;Seizoengecorrigeerde cijfers;1991 april;-5.7;2.2;-11.2;-8.0
76;C Industrie;Waarde;Seizoengecorrigeerde cijfers;1991 mei;-3.9;9.4;-13.1;-8.0
77;C Industrie;Waarde;Seizoengecorrigeerde cijfers;1991 juni;-5.1;9.4;-13.8;-11.0
78;C Industrie;Waarde;Seizoengecorrigeerde cijfers;1991 juli;-4.9;3.9;-10.6;-8.0
79;C Industrie;Waarde;Seizoengecorrigeerde cijfers;1991 augustus;-4.0;5.1;-10.2;-7.0
80;C Industrie;Waarde;Seizoengecorrigeerde cijfers;1991 september;-3.7;7.4;-10.4;-8.0
81;C Industrie;Waarde;Seizoengecorrigeerde cijfers;1991 oktober;-5.5;4.8;-11.4;-10.0
82;C Industrie;Waarde;Seizoengecorrigeerde cijfers;1991 november;-2.3;8.7;-6.6;-9.0
83;C Industrie;Waarde;Seizoengecorrigeerde cijfers;1991 december;-3.6;9.1;-10.9;-9.0
84;C Industrie;Waarde;Seizoengecorrigeerde cijfers;1992 januari;-2.6;8.4;-9.1;-7.0
85;C Industrie;Waarde;Seizoengecorrigeerde cijfers;1992 februari;-2.4;9.0;-10.3;-6.0
86;C Industrie;Waarde;Seizoengecorrigeerde cijfers;1992 maart;-5.6;1.8;-11.5;-7.0
87;C Industrie;Waarde;Seizoengecorrigeerde cijfers;1992 april;-4.0;8.2;-12.1;-8.0
88;C Industrie;Waarde;Seizoengecorrigeerde cijfers;1992 mei;-4.8;5.3;-10.8;-9.0
89;C Industrie;Waarde;Seizoengecorrigeerde cijfers;1992 juni;-5.1;6.5;-12.8;-9.0
90;C Industrie;Waarde;Seizoengecorrigeerde cijfers;1992 juli;-6.9;0.9;-14.6;-7.0
91;C Industrie;Waarde;Seizoengecorrigeerde cijfers;1992 augustus;-4.8;3.9;-13.3;-5.0
92;C Industrie;Waarde;Seizoengecorrigeerde cijfers;1992 september;-7.4;-0.8;-15.5;-6.0
93;C Industrie;Waarde;Seizoengecorrigeerde cijfers;1992 oktober;-6.5;1.9;-16.4;-5.0
94;C Industrie;Waarde;Seizoengecorrigeerde cijfers;1992 november;-11.3;-4.2;-21.7;-8.0
95;C Industrie;Waarde;Seizoengecorrigeerde cijfers;1992 december;-11.3;-1.9;-23.0;-9.0
96;C Industrie;Waarde;Seizoengecorrigeerde cijfers;1993 januari;-9.9;3.5;-25.1;-8.0
97;C Industrie;Waarde;Seizoengecorrigeerde cijfers;1993 februari;-11.6;-1.9;-24.0;-9.0
98;C Industrie;Waarde;Seizoengecorrigeerde cijfers;1993 maart;-11.2;-1.2;-22.4;-10.0
99;C Industrie;Waarde;Seizoengecorrigeerde cijfers;1993 april;-12.2;-4.7;-21.8;-10.0
100;C Industrie;Waarde;Seizoengecorrigeerde cijfers;1993 mei;-11.4;0.3;-23.5;-11.0
101;C Industrie;Waarde;Seizoengecorrigeerde cijfers;1993 juni;-10.7;1.6;-24.8;-9.0
102;C Industrie;Waarde;Seizoengecorrigeerde cijfers;1993 juli;-9.6;2.7;-23.5;-8.0
103;C Industrie;Waarde;Seizoengecorrigeerde cijfers;1993 augustus;-11.2;-3.3;-22.3;-8.0
104;C Industrie;Waarde;Seizoengecorrigeerde cijfers;1993 september;-10.6;-0.2;-20.5;-11.0
105;C Industrie;Waarde;Seizoengecorrigeerde cijfers;1993 oktober;-7.1;5.1;-19.4;-7.0
106;C Industrie;Waarde;Seizoengecorrigeerde cijfers;1993 november;-6.9;9.0;-20.8;-9.0
107;C Industrie;Waarde;Seizoengecorrigeerde cijfers;1993 december;-9.0;2.1;-21.1;-8.0
108;C Industrie;Waarde;Seizoengecorrigeerde cijfers;1994 januari;-3.8;14.5;-20.0;-6.0
109;C Industrie;Waarde;Seizoengecorrigeerde cijfers;1994 februari;-5.0;6.2;-14.1;-7.0
110;C Industrie;Waarde;Seizoengecorrigeerde cijfers;1994 maart;-6.3;2.7;-13.5;-8.0
111;C Industrie;Waarde;Seizoengecorrigeerde cijfers;1994 april;-3.1;6.3;-9.7;-6.0
112;C Industrie;Waarde;Seizoengecorrigeerde cijfers;1994 mei;-2.7;9.4;-11.4;-6.0
113;C Industrie;Waarde;Seizoengecorrigeerde cijfers;1994 juni;-0.7;9.8;-8.8;-3.0
114;C Industrie;Waarde;Seizoengecorrigeerde cijfers;1994 juli;0.7;10.4;-6.4;-2.0
115;C Industrie;Waarde;Seizoengecorrigeerde cijfers;1994 augustus;1.7;10.6;-6.4;1.0
116;C Industrie;Waarde;Seizoengecorrigeerde cijfers;1994 september;1.9;11.3;-4.6;-1.0
117;C Industrie;Waarde;Seizoengecorrigeerde cijfers;1994 oktober;2.6;11.3;-2.4;-1.0
118;C Industrie;Waarde;Seizoengecorrigeerde cijfers;1994 november;1.8;8.2;-1.8;-1.0
119;C Industrie;Waarde;Seizoengecorrigeerde cijfers;1994 december;4.0;11.2;0.7;0.0
120;C Industrie;Waarde;Seizoengecorrigeerde cijfers;1995 januari;3.5;11.6;0.0;-1.0
121;C Industrie;Waarde;Seizoengecorrigeerde cijfers;1995 februari;3.5;10.4;0.1;0.0
122;C Industrie;Waarde;Seizoengecorrigeerde cijfers;1995 maart;3.1;10.7;-0.4;-1.0
123;C Industrie;Waarde;Seizoengecorrigeerde cijfers;1995 april;3.5;11.2;0.4;-1.0
124;C Industrie;Waarde;Seizoengecorrigeerde cijfers;1995 mei;3.1;13.5;-1.2;-3.0
125;C Industrie;Waarde;Seizoengecorrigeerde cijfers;1995 juni;1.0;6.0;-0.9;-2.0
126;C Industrie;Waarde;Seizoengecorrigeerde cijfers;1995 juli;-0.1;6.1;-3.3;-3.0
127;C Industrie;Waarde;Seizoengecorrigeerde cijfers;1995 augustus;-1.6;3.5;-5.4;-3.0
128;C Industrie;Waarde;Seizoengecorrigeerde cijfers;1995 september;-2.0;5.8;-6.7;-5.0
129;C Industrie;Waarde;Seizoengecorrigeerde cijfers;1995 oktober;-2.0;6.4;-7.4;-5.0
130;C Industrie;Waarde;Seizoengecorrigeerde cijfers;1995 november;-1.1;8.5;-5.9;-6.0
131;C Industrie;Waarde;Seizoengecorrigeerde cijfers;1995 december;-2.1;7.2;-8.4;-5.0
132;C Industrie;Waarde;Seizoengecorrigeerde cijfers;1996 januari;-1.4;10.7;-9.0;-6.0
133;C Industrie;Waarde;Seizoengecorrigeerde cijfers;1996 februari;-2.8;8.7;-10.0;-7.0
134;C Industrie;Waarde;Seizoengecorrigeerde cijfers;1996 maart;-2.2;8.7;-9.3;-6.0
135;C Industrie;Waarde;Seizoengecorrigeerde cijfers;1996 april;-2.2;10.1;-9.6;-7.0
136;C Industrie;Waarde;Seizoengecorrigeerde cijfers;1996 mei;-2.2;7.5;-9.0;-5.0
137;C Industrie;Waarde;Seizoengecorrigeerde cijfers;1996 juni;-2.6;5.3;-7.0;-6.0
138;C Industrie;Waarde;Seizoengecorrigeerde cijfers;1996 juli;-2.2;6.7;-7.2;-6.0
139;C Industrie;Waarde;Seizoengecorrigeerde cijfers;1996 augustus;0.0;11.4;-5.4;-6.0
140;C Industrie;Waarde;Seizoengecorrigeerde cijfers;1996 september;-1.8;7.3;-7.7;-5.0
141;C Industrie;Waarde;Seizoengecorrigeerde cijfers;1996 oktober;-1.7;7.4;-7.5;-5.0
142;C Industrie;Waarde;Seizoengecorrigeerde cijfers;1996 november;-0.5;8.6;-4.1;-6.0
143;C Industrie;Waarde;Seizoengecorrigeerde cijfers;1996 december;-1.7;6.4;-5.5;-6.0
144;C Industrie;Waarde;Seizoengecorrigeerde cijfers;1997 januari;1.3;14.9;-6.1;-5.0
145;C Industrie;Waarde;Seizoengecorrigeerde cijfers;1997 februari;1.3;12.9;-4.9;-4.0
146;C Industrie;Waarde;Seizoengecorrigeerde cijfers;1997 maart;1.2;11.7;-4.2;-4.0
147;C Industrie;Waarde;Seizoengecorrigeerde cijfers;1997 april;0.5;9.1;-4.6;-3.0
148;C Industrie;Waarde;Seizoengecorrigeerde cijfers;1997 mei;1.9;11.4;-1.8;-4.0
149;C Industrie;Waarde;Seizoengecorrigeerde cijfers;1997 juni;1.2;7.6;-1.0;-3.0
150;C Industrie;Waarde;Seizoengecorrigeerde cijfers;1997 juli;3.5;11.5;1.9;-3.0
151;C Industrie;Waarde;Seizoengecorrigeerde cijfers;1997 augustus;4.0;12.3;0.6;-1.0
152;C Industrie;Waarde;Seizoengecorrigeerde cijfers;1997 september;3.7;11.7;1.3;-2.0
153;C Industrie;Waarde;Seizoengecorrigeerde cijfers;1997 oktober;4.0;10.5;2.5;-1.0
154;C Industrie;Waarde;Seizoengecorrigeerde cijfers;1997 november;3.5;8.7;2.8;-1.0
155;C Industrie;Waarde;Seizoengecorrigeerde cijfers;1997 december;4.6;11.4;3.4;-1.0
156;C Industrie;Waarde;Seizoengecorrigeerde cijfers;1998 januari;2.4;7.2;1.9;-2.0
157;C Industrie;Waarde;Seizoengecorrigeerde cijfers;1998 februari;2.7;9.2;1.0;-2.0
158;C Industrie;Waarde;Seizoengecorrigeerde cijfers;1998 maart;2.5;8.6;1.9;-3.0
159;C Industrie;Waarde;Seizoengecorrigeerde cijfers;1998 april;3.1;10.9;1.4;-3.0
160;C Industrie;Waarde;Seizoengecorrigeerde cijfers;1998 mei;2.3;8.5;1.4;-3.0
161;C Industrie;Waarde;Seizoengecorrigeerde cijfers;1998 juni;2.9;10.9;-0.1;-2.0
162;C Industrie;Waarde;Seizoengecorrigeerde cijfers;1998 juli;2.8;11.3;-0.9;-2.0
163;C Industrie;Waarde;Seizoengecorrigeerde cijfers;1998 augustus;1.6;10.2;-1.4;-4.0
164;C Industrie;Waarde;Seizoengecorrigeerde cijfers;1998 september;1.5;11.1;-1.6;-5.0
165;C Industrie;Waarde;Seizoengecorrigeerde cijfers;1998 oktober;-1.3;5.6;-3.6;-6.0
166;C Industrie;Waarde;Seizoengecorrigeerde cijfers;1998 november;-1.9;4.7;-5.4;-5.0
167;C Industrie;Waarde;Seizoengecorrigeerde cijfers;1998 december;-2.4;6.5;-6.7;-7.0
168;C Industrie;Waarde;Seizoengecorrigeerde cijfers;1999 januari;-1.9;6.5;-6.2;-6.0
169;C Industrie;Waarde;Seizoengecorrigeerde cijfers;1999 februari;-1.9;6.4;-5.1;-7.0
170;C Industrie;Waarde;Seizoengecorrigeerde cijfers;1999 maart;-3.8;6.6;-8.0;-10.0
171;C Industrie;Waarde;Seizoengecorrigeerde cijfers;1999 april;-2.2;7.8;-6.5;-8.0
172;C Industrie;Waarde;Seizoengecorrigeerde cijfers;1999 mei;-1.7;6.6;-4.6;-7.0
173;C Industrie;Waarde;Seizoengecorrigeerde cijfers;1999 juni;-0.7;9.0;-6.1;-5.0
174;C Industrie;Waarde;Seizoengecorrigeerde cijfers;1999 juli;-0.2;10.3;-5.8;-5.0
175;C Industrie;Waarde;Seizoengecorrigeerde cijfers;1999 augustus;-1.1;7.0;-6.4;-4.0
176;C Industrie;Waarde;Seizoengecorrigeerde cijfers;1999 september;0.7;7.6;-2.5;-3.0
177;C Industrie;Waarde;Seizoengecorrigeerde cijfers;1999 oktober;4.6;14.5;1.4;-2.0
178;C Industrie;Waarde;Seizoengecorrigeerde cijfers;1999 november;4.0;14.6;0.5;-3.0
179;C Industrie;Waarde;Seizoengecorrigeerde cijfers;1999 december;3.3;11.6;1.3;-3.0
180;C Industrie;Waarde;Seizoengecorrigeerde cijfers;2000 januari;2.9;7.9;2.7;-2.0
181;C Industrie;Waarde;Seizoengecorrigeerde cijfers;2000 februari;2.9;9.7;1.9;-3.0
182;C Industrie;Waarde;Seizoengecorrigeerde cijfers;2000 maart;3.6;10.6;3.1;-3.0
183;C Industrie;Waarde;Seizoengecorrigeerde cijfers;2000 april;3.8;9.8;3.6;-2.0
184;C Industrie;Waarde;Seizoengecorrigeerde cijfers;2000 mei;5.0;11.6;3.4;0.0
185;C Industrie;Waarde;Seizoengecorrigeerde cijfers;2000 juni;4.4;9.1;4.1;0.0
186;C Industrie;Waarde;Seizoengecorrigeerde cijfers;2000 juli;4.2;5.2;6.3;1.0
187;C Industrie;Waarde;Seizoengecorrigeerde cijfers;2000 augustus;5.5;12.9;2.5;1.0
188;C Industrie;Waarde;Seizoengecorrigeerde cijfers;2000 september;3.6;5.2;5.6;0.0
189;C Industrie;Waarde;Seizoengecorrigeerde cijfers;2000 oktober;5.9;12.3;5.4;0.0
190;C Industrie;Waarde;Seizoengecorrigeerde cijfers;2000 november;4.3;8.5;5.4;-1.0
191;C Industrie;Waarde;Seizoengecorrigeerde cijfers;2000 december;3.3;7.7;4.2;-2.0
192;C Industrie;Waarde;Seizoengecorrigeerde cijfers;2001 januari;1.6;5.2;2.6;-3.0
193;C Industrie;Waarde;Seizoengecorrigeerde cijfers;2001 februari;0.6;5.9;1.8;-6.0
194;C Industrie;Waarde;Seizoengecorrigeerde cijfers;2001 maart;-1.1;4.7;-1.9;-6.0
195;C Industrie;Waarde;Seizoengecorrigeerde cijfers;2001 april;-2.9;3.8;-6.4;-6.0
196;C Industrie;Waarde;Seizoengecorrigeerde cijfers;2001 mei;-3.3;4.6;-7.6;-7.0
197;C Industrie;Waarde;Seizoengecorrigeerde cijfers;2001 juni;-3.2;5.1;-7.8;-7.0
198;C Industrie;Waarde;Seizoengecorrigeerde cijfers;2001 juli;-4.5;5.2;-11.8;-7.0
199;C Industrie;Waarde;Seizoengecorrigeerde cijfers;2001 augustus;-3.9;5.9;-11.6;-6.0
200;C Industrie;Waarde;Seizoengecorrigeerde cijfers;2001 september;-5.2;2.0;-10.5;-7.0
201;C Industrie;Waarde;Seizoengecorrigeerde cijfers;2001 oktober;-7.5;0.2;-14.7;-8.0
202;C Industrie;Waarde;Seizoengecorrigeerde cijfers;2001 november;-8.1;0.4;-14.7;-10.0
203;C Industrie;Waarde;Seizoengecorrigeerde cijfers;2001 december;-8.4;-0.2;-15.9;-9.0
204;C Industrie;Waarde;Seizoengecorrigeerde cijfers;2002 januari;-6.7;3.4;-17.6;-6.0
205;C Industrie;Waarde;Seizoengecorrigeerde cijfers;2002 februari;-4.4;4.2;-12.4;-5.0
206;C Industrie;Waarde;Seizoengecorrigeerde cijfers;2002 maart;-4.4;6.7;-13.9;-6.0
207;C Industrie;Waarde;Seizoengecorrigeerde cijfers;2002 april;-3.6;6.8;-11.5;-6.0
208;C Industrie;Waarde;Seizoengecorrigeerde cijfers;2002 mei;-4.4;5.6;-11.7;-7.0
209;C Industrie;Waarde;Seizoengecorrigeerde cijfers;2002 juni;-4.3;4.1;-10.9;-6.0
210;C Industrie;Waarde;Seizoengecorrigeerde cijfers;2002 juli;-5.1;3.3;-12.7;-6.0
211;C Industrie;Waarde;Seizoengecorrigeerde cijfers;2002 augustus;-1.2;12.9;-10.6;-6.0
212;C Industrie;Waarde;Seizoengecorrigeerde cijfers;2002 september;-3.9;5.8;-11.5;-6.0
213;C Industrie;Waarde;Seizoengecorrigeerde cijfers;2002 oktober;-5.6;4.9;-14.7;-7.0
214;C Industrie;Waarde;Seizoengecorrigeerde cijfers;2002 november;-3.5;5.2;-10.8;-5.0
215;C Industrie;Waarde;Seizoengecorrigeerde cijfers;2002 december;-4.6;3.0;-10.9;-6.0
216;C Industrie;Waarde;Seizoengecorrigeerde cijfers;2003 januari;-7.1;0.5;-15.7;-6.0
217;C Industrie;Waarde;Seizoengecorrigeerde cijfers;2003 februari;-9.4;-1.6;-18.5;-8.0
218;C Industrie;Waarde;Seizoengecorrigeerde cijfers;2003 maart;-9.4;-0.3;-18.8;-9.0
219;C Industrie;Waarde;Seizoengecorrigeerde cijfers;2003 april;-7.9;4.7;-19.3;-9.0
220;C Industrie;Waarde;Seizoengecorrigeerde cijfers;2003 mei;-9.7;-2.5;-18.7;-8.0
221;C Industrie;Waarde;Seizoengecorrigeerde cijfers;2003 juni;-12.2;-4.8;-22.7;-9.0
222;C Industrie;Waarde;Seizoengecorrigeerde cijfers;2003 juli;-9.8;1.4;-20.7;-10.0
223;C Industrie;Waarde;Seizoengecorrigeerde cijfers;2003 augustus;-9.6;0.8;-20.6;-9.0
224;C Industrie;Waarde;Seizoengecorrigeerde cijfers;2003 september;-7.9;4.7;-19.3;-9.0
225;C Industrie;Waarde;Seizoengecorrigeerde cijfers;2003 oktober;-6.3;3.8;-16.7;-6.0
226;C Industrie;Waarde;Seizoengecorrigeerde cijfers;2003 november;-6.6;1.9;-15.8;-6.0
227;C Industrie;Waarde;Seizoengecorrigeerde cijfers;2003 december;-4.6;7.2;-13.9;-7.0
228;C Industrie;Waarde;Seizoengecorrigeerde cijfers;2004 januari;-4.4;6.6;-12.7;-7.0
229;C Industrie;Waarde;Seizoengecorrigeerde cijfers;2004 februari;-5.7;0.5;-11.6;-6.0
230;C Industrie;Waarde;Seizoengecorrigeerde cijfers;2004 maart;-4.7;3.7;-10.8;-7.0
231;C Industrie;Waarde;Seizoengecorrigeerde cijfers;2004 april;-3.8;3.8;-9.3;-6.0
232;C Industrie;Waarde;Seizoengecorrigeerde cijfers;2004 mei;-1.1;7.4;-6.6;-4.0
233;C Industrie;Waarde;Seizoengecorrigeerde cijfers;2004 juni;-0.8;7.2;-6.7;-3.0
234;C Industrie;Waarde;Seizoengecorrigeerde cijfers;2004 juli;-2.1;2.5;-4.7;-4.0
235;C Industrie;Waarde;Seizoengecorrigeerde cijfers;2004 augustus;-1.9;0.8;-4.6;-2.0
236;C Industrie;Waarde;Seizoengecorrigeerde cijfers;2004 september;-2.2;3.6;-6.2;-4.0
237;C Industrie;Waarde;Seizoengecorrigeerde cijfers;2004 oktober;-1.7;5.6;-6.6;-4.0
238;C Industrie;Waarde;Seizoengecorrigeerde cijfers;2004 november;-2.6;3.8;-6.7;-5.0
239;C Industrie;Waarde;Seizoengecorrigeerde cijfers;2004 december;-3.2;1.3;-5.8;-5.0
240;C Industrie;Waarde;Seizoengecorrigeerde cijfers;2005 januari;-3.3;0.7;-5.6;-5.0
241;C Industrie;Waarde;Seizoengecorrigeerde cijfers;2005 februari;-2.8;3.1;-5.5;-6.0
242;C Industrie;Waarde;Seizoengecorrigeerde cijfers;2005 maart;-1.4;8.4;-6.5;-6.0
243;C Industrie;Waarde;Seizoengecorrigeerde cijfers;2005 april;-2.9;6.3;-8.9;-6.0
244;C Industrie;Waarde;Seizoengecorrigeerde cijfers;2005 mei;-1.9;5.7;-7.4;-4.0
245;C Industrie;Waarde;Seizoengecorrigeerde cijfers;2005 juni;-4.4;3.0;-10.3;-6.0
246;C Industrie;Waarde;Seizoengecorrigeerde cijfers;2005 juli;-6.4;-3.8;-10.5;-5.0
247;C Industrie;Waarde;Seizoengecorrigeerde cijfers;2005 augustus;-3.1;6.2;-10.5;-5.0
248;C Industrie;Waarde;Seizoengecorrigeerde cijfers;2005 september;-1.4;6.9;-5.2;-6.0
249;C Industrie;Waarde;Seizoengecorrigeerde cijfers;2005 oktober;1.5;14.6;-5.0;-5.0
250;C Industrie;Waarde;Seizoengecorrigeerde cijfers;2005 november;0.3;9.1;-4.2;-4.0
251;C Industrie;Waarde;Seizoengecorrigeerde cijfers;2005 december;-0.1;7.2;-2.5;-5.0
252;C Industrie;Waarde;Seizoengecorrigeerde cijfers;2006 januari;0.7;10.8;-4.6;-4.0
