ID;SectorBranchesSIC2008;Periods;Indices_1;YearOnYearChange_2;Indices_3;PeriodOnPeriodChange_4
44;J Information and communication;2013;92.8;-2.4;92.8;
45;J Information and communication;2014 1st quarter;92.3;1.7;94.2;2.3
46;J Information and communication;2014 2nd quarter;92.6;2.2;95.2;1.1
47;J Information and communication;2014 3rd quarter;91.4;3.3;96.1;0.9
48;J Information and communication;2014 4th quarter;105.6;4.2;96.3;0.2
49;J Information and communication;2014;95.5;2.9;95.5;2.9
50;J Information and communication;2015 1st quarter;95.4;3.4;97.3;1.1
51;J Information and communication;2015 2nd quarter;97.6;5.3;100.3;3.1
52;J Information and communication;2015 3rd quarter;96.1;5.2;100.9;0.6
53;J Information and communication;2015 4th quarter;110.9;5.0;101.4;0.5
54;J Information and communication;2015;100.0;4.7;100.0;4.8
55;J Information and communication;2016 1st quarter;98.1;2.8;99.9;-1.5
56;J Information and communication;2016 2nd quarter;97.7;0.1;100.7;0.8
57;J Information and communication;2016 3rd quarter;97.4;1.4;102.3;1.6
58;J Information and communication;2016 4th quarter;112.1;1.1;102.5;0.2
59;J Information and communication;2016;101.3;1.3;101.3;1.3
60;J Information and communication;2017 1st quarter;101.7;3.6;103.3;0.9
61;J Information and communication;2017 2nd quarter;100.4;2.7;103.8;0.4
62;J Information and communication;2017 3rd quarter;98.7;1.3;103.6;-0.2
63;J Information and communication;2017 4th quarter;114.7;2.3;104.6;1.0
64;J Information and communication;2017;103.9;2.5;103.8;2.5
65;J Information and communication;2018 1st quarter;105.0;3.3;106.8;2.1
66;J Information and communication;2018 2nd quarter;103.4;3.1;107.1;0.3
67;J Information and communication;2018 3rd quarter;104.3;5.6;109.3;2.1
68;J Information and communication;2018 4th quarter;122.0;6.4;111.4;1.9
69;J Information and communication;2018;108.7;4.7;108.6;4.6
70;J Information and communication;2019 1st quarter;109.9;4.7;111.7;0.3
71;J Information and communication;2019 2nd quarter;108.3;4.7;112.1;0.4
72;J Information and communication;2019 3rd quarter;108.8;4.3;113.9;1.6
73;J Information and communication;2019 4th quarter;126.1;3.3;115.2;1.2
74;J Information and communication;2019;113.3;4.2;113.2;4.2
75;J Information and communication;2020 1st quarter;111.3;1.2;113.1;-1.9
76;J Information and communication;2020 2nd quarter;104.5;-3.4;108.4;-4.1
77;J Information and communication;2020 3rd quarter;107.7;-1.0;112.7;4.0
78;J Information and communication;2020 4th quarter;124.9;-1.0;114.5;1.6
79;J Information and communication;2020;112.1;-1.0;112.1;-1.0
80;J Information and communication;2021 1st quarter;112.0;0.6;114.4;-0.1
81;J Information and communication;2021 2nd quarter;112.7;7.8;116.8;2.1
82;J Information and communication;2021 3rd quarter;116.2;7.8;121.1;3.7
83;J Information and communication;2021 4th quarter;133.5;7.0;122.0;0.7
84;J Information and communication;2021;118.6;5.8;118.6;5.7
85;J Information and communication;2022 1st quarter;120.3;7.4;123.2;1.0
86;J Information and communication;2022 2nd quarter;122.2;8.3;126.3;2.5
87;J Information and communication;2022 3rd quarter;123.0;5.9;127.6;1.0
88;J Information and communication;2022 4th quarter;140.9;5.5;129.5;1.5
89;J Information and communication;2022;126.6;6.7;126.7;6.8
90;J Information and communication;2023 1st quarter;130.1;8.2;132.5;2.3
91;J Information and communication;2023 2nd quarter;128.0;4.8;132.1;-0.3
92;J Information and communication;2023 3rd quarter;127.9;4.0;133.2;0.8
93;J Information and communication;2023 4th quarter;148.3;5.2;136.5;2.5
94;J Information and communication;2023;133.6;5.5;133.6;5.5
95;58-60 Publishing, movie, radio and  tv;2005 1st quarter;92.1;;;
96;58-60 Publishing, movie, radio and  tv;2005 2nd quarter;101.4;;;
97;58-60 Publishing, movie, radio and  tv;2005 3rd quarter;97.2;;;
98;58-60 Publishing, movie, radio and  tv;2005 4th quarter;116.5;;;
99;58-60 Publishing, movie, radio and  tv;2005;101.8;;;
100;58-60 Publishing, movie, radio and  tv;2006 1st quarter;96.9;5.2;;
101;58-60 Publishing, movie, radio and  tv;2006 2nd quarter;105.5;4.0;;
102;58-60 Publishing, movie, radio and  tv;2006 3rd quarter;100.6;3.6;;
103;58-60 Publishing, movie, radio and  tv;2006 4th quarter;123.7;6.1;;
104;58-60 Publishing, movie, radio and  tv;2006;106.7;4.8;;
105;58-60 Publishing, movie, radio and  tv;2007 1st quarter;103.9;7.2;;
106;58-60 Publishing, movie, radio and  tv;2007 2nd quarter;113.5;7.6;;
107;58-60 Publishing, movie, radio and  tv;2007 3rd quarter;106.2;5.5;;
108;58-60 Publishing, movie, radio and  tv;2007 4th quarter;130.0;5.1;;
109;58-60 Publishing, movie, radio and  tv;2007;113.4;6.3;;
110;58-60 Publishing, movie, radio and  tv;2008 1st quarter;105.6;1.6;;
111;58-60 Publishing, movie, radio and  tv;2008 2nd quarter;116.5;2.6;;
112;58-60 Publishing, movie, radio and  tv;2008 3rd quarter;108.8;2.4;;
113;58-60 Publishing, movie, radio and  tv;2008 4th quarter;130.6;0.5;;
114;58-60 Publishing, movie, radio and  tv;2008;115.4;1.7;;
115;58-60 Publishing, movie, radio and  tv;2009 1st quarter;104.0;-1.5;;
116;58-60 Publishing, movie, radio and  tv;2009 2nd quarter;114.1;-2.0;;
117;58-60 Publishing, movie, radio and  tv;2009 3rd quarter;104.2;-4.3;;
118;58-60 Publishing, movie, radio and  tv;2009 4th quarter;127.1;-2.7;;
119;58-60 Publishing, movie, radio and  tv;2009;112.3;-2.6;;
120;58-60 Publishing, movie, radio and  tv;2010 1st quarter;102.1;-1.8;;
121;58-60 Publishing, movie, radio and  tv;2010 2nd quarter;108.7;-4.7;;
122;58-60 Publishing, movie, radio and  tv;2010 3rd quarter;104.3;0.1;;
123;58-60 Publishing, movie, radio and  tv;2010 4th quarter;128.1;0.8;;
124;58-60 Publishing, movie, radio and  tv;2010;110.8;-1.4;;
125;58-60 Publishing, movie, radio and  tv;2011 1st quarter;100.8;-1.3;;
126;58-60 Publishing, movie, radio and  tv;2011 2nd quarter;110.8;1.9;;
127;58-60 Publishing, movie, radio and  tv;2011 3rd quarter;101.0;-3.2;;
128;58-60 Publishing, movie, radio and  tv;2011 4th quarter;121.8;-4.9;;
129;58-60 Publishing, movie, radio and  tv;2011;108.6;-2.0;;
130;58-60 Publishing, movie, radio and  tv;2012 1st quarter;97.9;-2.9;;
131;58-60 Publishing, movie, radio and  tv;2012 2nd quarter;105.9;-4.4;;
132;58-60 Publishing, movie, radio and  tv;2012 3rd quarter;99.9;-1.0;;
133;58-60 Publishing, movie, radio and  tv;2012 4th quarter;114.2;-6.3;;
134;58-60 Publishing, movie, radio and  tv;2012;104.5;-3.8;;
135;58-60 Publishing, movie, radio and  tv;2013 1st quarter;94.1;-3.8;102.3;
136;58-60 Publishing, movie, radio and  tv;2013 2nd quarter;102.7;-3.0;102.0;-0.3
137;58-60 Publishing, movie, radio and  tv;2013 3rd quarter;94.4;-5.6;98.9;-3.0
138;58-60 Publishing, movie, radio and  tv;2013 4th quarter;109.5;-4.1;97.9;-1.0
139;58-60 Publishing, movie, radio and  tv;2013;100.2;-4.1;100.3;
140;58-60 Publishing, movie, radio and  tv;2014 1st quarter;90.7;-3.7;98.7;0.8
141;58-60 Publishing, movie, radio and  tv;2014 2nd quarter;99.6;-3.0;98.8;0.1
142;58-60 Publishing, movie, radio and  tv;2014 3rd quarter;96.9;2.7;101.4;2.7
143;58-60 Publishing, movie, radio and  tv;2014 4th quarter;110.0;0.4;98.4;-3.0
144;58-60 Publishing, movie, radio and  tv;2014;99.3;-0.9;99.3;-0.9
145;58-60 Publishing, movie, radio and  tv;2015 1st quarter;91.0;0.4;99.2;0.8
146;58-60 Publishing, movie, radio and  tv;2015 2nd quarter;101.5;1.9;100.8;1.7
147;58-60 Publishing, movie, radio and  tv;2015 3rd quarter;96.6;-0.3;100.9;0.1
148;58-60 Publishing, movie, radio and  tv;2015 4th quarter;110.8;0.7;99.1;-1.7
149;58-60 Publishing, movie, radio and  tv;2015;100.0;0.7;100.0;0.7
150;58-60 Publishing, movie, radio and  tv;2016 1st quarter;91.6;0.6;99.7;0.6
151;58-60 Publishing, movie, radio and  tv;2016 2nd quarter;101.1;-0.4;100.5;0.8
152;58-60 Publishing, movie, radio and  tv;2016 3rd quarter;100.9;4.4;105.1;4.6
153;58-60 Publishing, movie, radio and  tv;2016 4th quarter;112.7;1.7;100.9;-4.0
154;58-60 Publishing, movie, radio and  tv;2016;101.6;1.6;101.6;1.6
155;58-60 Publishing, movie, radio and  tv;2017 1st quarter;91.4;-0.2;99.5;-1.5
156;58-60 Publishing, movie, radio and  tv;2017 2nd quarter;102.0;0.9;102.3;2.8
157;58-60 Publishing, movie, radio and  tv;2017 3rd quarter;96.4;-4.5;100.1;-2.1
158;58-60 Publishing, movie, radio and  tv;2017 4th quarter;114.9;1.9;102.3;2.2
159;58-60 Publishing, movie, radio and  tv;2017;101.2;-0.4;101.0;-0.6
160;58-60 Publishing, movie, radio and  tv;2018 1st quarter;98.4;7.7;107.0;4.6
161;58-60 Publishing, movie, radio and  tv;2018 2nd quarter;102.3;0.3;102.8;-3.9
162;58-60 Publishing, movie, radio and  tv;2018 3rd quarter;100.5;4.2;104.7;1.9
163;58-60 Publishing, movie, radio and  tv;2018 4th quarter;122.0;6.2;108.1;3.2
164;58-60 Publishing, movie, radio and  tv;2018;105.8;4.6;105.7;4.6
165;58-60 Publishing, movie, radio and  tv;2019 1st quarter;97.5;-0.9;105.9;-2.0
166;58-60 Publishing, movie, radio and  tv;2019 2nd quarter;106.4;4.0;107.1;1.1
167;58-60 Publishing, movie, radio and  tv;2019 3rd quarter;103.8;3.4;108.3;1.1
168;58-60 Publishing, movie, radio and  tv;2019 4th quarter;121.3;-0.5;107.6;-0.6
169;58-60 Publishing, movie, radio and  tv;2019;107.3;1.4;107.3;1.5
170;58-60 Publishing, movie, radio and  tv;2020 1st quarter;94.9;-2.7;102.9;-4.4
171;58-60 Publishing, movie, radio and  tv;2020 2nd quarter;86.7;-18.5;86.5;-15.9
172;58-60 Publishing, movie, radio and  tv;2020 3rd quarter;91.1;-12.2;94.5;9.2
173;58-60 Publishing, movie, radio and  tv;2020 4th quarter;100.9;-16.8;91.0;-3.7
174;58-60 Publishing, movie, radio and  tv;2020;93.4;-12.9;93.7;-12.6
175;58-60 Publishing, movie, radio and  tv;2021 1st quarter;83.8;-11.7;91.8;0.9
176;58-60 Publishing, movie, radio and  tv;2021 2nd quarter;95.3;9.9;95.2;3.7
177;58-60 Publishing, movie, radio and  tv;2021 3rd quarter;100.7;10.4;103.7;8.9
178;58-60 Publishing, movie, radio and  tv;2021 4th quarter;108.5;7.5;97.7;-5.8
179;58-60 Publishing, movie, radio and  tv;2021;97.0;3.9;97.1;3.6
180;58-60 Publishing, movie, radio and  tv;2022 1st quarter;89.2;6.5;98.5;0.9
181;58-60 Publishing, movie, radio and  tv;2022 2nd quarter;99.8;4.7;99.9;1.4
182;58-60 Publishing, movie, radio and  tv;2022 3rd quarter;97.8;-2.8;99.5;-0.4
183;58-60 Publishing, movie, radio and  tv;2022 4th quarter;108.7;0.2;98.9;-0.5
184;58-60 Publishing, movie, radio and  tv;2022;98.9;1.9;99.2;2.2
185;58-60 Publishing, movie, radio and  tv;2023 1st quarter;97.2;8.9;104.7;5.9
186;58-60 Publishing, movie, radio and  tv;2023 2nd quarter;104.8;5.0;104.4;-0.3
187;58-60 Publishing, movie, radio and  tv;2023 3rd quarter;105.0;7.4;107.1;2.5
188;58-60 Publishing, movie, radio and  tv;2023 4th quarter;115.9;6.6;106.9;-0.2
189;58-60 Publishing, movie, radio and  tv;2023;105.7;6.9;105.8;6.6
190;58 Publishing ;2005 1st quarter;108.4;;;
191;58 Publishing ;2005 2nd quarter;122.3;;;
192;58 Publishing ;2005 3rd quarter;118.6;;;
193;58 Publishing ;2005 4th quarter;133.9;;;
194;58 Publishing ;2005;120.8;;;
195;58 Publishing ;2006 1st quarter;113.8;5.0;;
196;58 Publishing ;2006 2nd quarter;126.3;3.2;;
197;58 Publishing ;2006 3rd quarter;121.6;2.6;;
198;58 Publishing ;2006 4th quarter;142.6;6.5;;
199;58 Publishing ;2006;126.1;4.4;;
200;58 Publishing ;2007 1st quarter;123.0;8.1;;
201;58 Publishing ;2007 2nd quarter;137.2;8.7;;
202;58 Publishing ;2007 3rd quarter;128.4;5.5;;
203;58 Publishing ;2007 4th quarter;149.5;4.9;;
204;58 Publishing ;2007;134.5;6.7;;
205;58 Publishing ;2008 1st quarter;125.0;1.6;;
206;58 Publishing ;2008 2nd quarter;141.5;3.2;;
207;58 Publishing ;2008 3rd quarter;132.1;2.9;;
208;58 Publishing ;2008 4th quarter;149.3;-0.2;;
209;58 Publishing ;2008;137.0;1.8;;
210;58 Publishing ;2009 1st quarter;116.8;-6.5;;
211;58 Publishing ;2009 2nd quarter;133.6;-5.6;;
212;58 Publishing ;2009 3rd quarter;122.7;-7.1;;
213;58 Publishing ;2009 4th quarter;141.1;-5.5;;
214;58 Publishing ;2009;128.6;-6.1;;
215;58 Publishing ;2010 1st quarter;116.7;-0.1;;
216;58 Publishing ;2010 2nd quarter;127.1;-4.9;;
217;58 Publishing ;2010 3rd quarter;119.6;-2.5;;
218;58 Publishing ;2010 4th quarter;140.8;-0.2;;
219;58 Publishing ;2010;126.1;-1.9;;
220;58 Publishing ;2011 1st quarter;111.3;-4.7;;
221;58 Publishing ;2011 2nd quarter;123.8;-2.7;;
222;58 Publishing ;2011 3rd quarter;115.1;-3.8;;
223;58 Publishing ;2011 4th quarter;129.7;-7.9;;
224;58 Publishing ;2011;120.0;-4.8;;
225;58 Publishing ;2012 1st quarter;109.2;-1.9;;
226;58 Publishing ;2012 2nd quarter;119.4;-3.5;;
227;58 Publishing ;2012 3rd quarter;111.5;-3.2;;
228;58 Publishing ;2012 4th quarter;120.4;-7.2;;
229;58 Publishing ;2012;115.1;-4.0;;
230;58 Publishing ;2013 1st quarter;102.1;-6.5;111.8;
231;58 Publishing ;2013 2nd quarter;110.9;-7.1;108.7;-2.8
232;58 Publishing ;2013 3rd quarter;105.2;-5.7;106.0;-2.4
233;58 Publishing ;2013 4th quarter;110.8;-8.0;103.0;-2.8
234;58 Publishing ;2013;107.2;-6.9;107.4;
235;58 Publishing ;2014 1st quarter;92.4;-9.5;101.7;-1.3
236;58 Publishing ;2014 2nd quarter;103.7;-6.5;101.5;-0.2
237;58 Publishing ;2014 3rd quarter;103.7;-1.4;103.8;2.3
238;58 Publishing ;2014 4th quarter;106.4;-4.0;99.1;-4.5
239;58 Publishing ;2014;101.5;-5.3;101.5;-5.4
240;58 Publishing ;2015 1st quarter;89.8;-2.8;99.4;0.3
241;58 Publishing ;2015 2nd quarter;102.2;-1.5;100.0;0.6
242;58 Publishing ;2015 3rd quarter;102.0;-1.6;101.6;1.6
243;58 Publishing ;2015 4th quarter;106.0;-0.4;98.9;-2.7
244;58 Publishing ;2015;100.0;-1.5;100.0;-1.5
245;58 Publishing ;2016 1st quarter;89.3;-0.5;99.1;0.2
246;58 Publishing ;2016 2nd quarter;101.7;-0.5;99.5;0.4
247;58 Publishing ;2016 3rd quarter;98.3;-3.6;97.7;-1.8
248;58 Publishing ;2016 4th quarter;104.1;-1.8;97.3;-0.4
249;58 Publishing ;2016;98.4;-1.6;98.4;-1.6
250;58 Publishing ;2017 1st quarter;86.3;-3.4;95.6;-1.7
251;58 Publishing ;2017 2nd quarter;96.5;-5.1;94.6;-1.1
252;58 Publishing ;2017 3rd quarter;97.1;-1.2;96.3;1.8
253;58 Publishing ;2017 4th quarter;102.3;-1.7;95.9;-0.4
254;58 Publishing ;2017;95.6;-2.8;95.6;-2.8
255;58 Publishing ;2018 1st quarter;86.0;-0.4;95.1;-0.8
256;58 Publishing ;2018 2nd quarter;94.9;-1.7;92.9;-2.2
257;58 Publishing ;2018 3rd quarter;94.3;-2.9;93.5;0.6
258;58 Publishing ;2018 4th quarter;101.6;-0.7;95.5;2.2
259;58 Publishing ;2018;94.2;-1.4;94.3;-1.4
260;58 Publishing ;2019 1st quarter;84.6;-1.6;93.3;-2.4
261;58 Publishing ;2019 2nd quarter;97.0;2.1;94.6;1.4
262;58 Publishing ;2019 3rd quarter;95.2;1.0;94.4;-0.3
263;58 Publishing ;2019 4th quarter;100.7;-0.9;95.2;0.9
264;58 Publishing ;2019;94.4;0.2;94.4;0.1
265;58 Publishing ;2020 1st quarter;85.9;1.6;94.5;-0.8
266;58 Publishing ;2020 2nd quarter;87.4;-9.9;85.0;-10.1
267;58 Publishing ;2020 3rd quarter;93.5;-1.8;92.7;9.1
268;58 Publishing ;2020 4th quarter;95.5;-5.2;90.8;-2.0
269;58 Publishing ;2020;90.6;-4.0;90.8;-3.8
270;58 Publishing ;2021 1st quarter;83.6;-2.7;92.6;2.0
271;58 Publishing ;2021 2nd quarter;97.0;10.9;94.4;1.9
272;58 Publishing ;2021 3rd quarter;97.5;4.3;95.7;1.4
273;58 Publishing ;2021 4th quarter;98.9;3.6;94.4;-1.4
274;58 Publishing ;2021;94.3;4.1;94.3;3.9
275;58 Publishing ;2022 1st quarter;86.0;2.8;94.7;0.4
276;58 Publishing ;2022 2nd quarter;96.2;-0.8;94.0;-0.8
277;58 Publishing ;2022 3rd quarter;96.6;-1.0;94.5;0.5
278;58 Publishing ;2022 4th quarter;99.3;0.4;95.5;1.1
279;58 Publishing ;2022;94.5;0.2;94.7;0.4
280;58 Publishing ;2023 1st quarter;92.7;7.9;101.0;5.8
281;58 Publishing ;2023 2nd quarter;103.0;7.1;100.2;-0.8
282;58 Publishing ;2023 3rd quarter;101.8;5.4;100.7;0.5
283;58 Publishing ;2023 4th quarter;107.7;8.5;103.3;2.5
284;58 Publishing ;2023;101.3;7.2;101.3;7.0
285;59 Film, TV and music production etc;2005 1st quarter;76.5;;;
286;59 Film, TV and music production etc;2005 2nd quarter;77.7;;;
287;59 Film, TV and music production etc;2005 3rd quarter;76.0;;;
288;59 Film, TV and music production etc;2005 4th quarter;100.6;;;
289;59 Film, TV and music production etc;2005;82.7;;;
290;59 Film, TV and music production etc;2006 1st quarter;80.7;5.6;;
291;59 Film, TV and music production etc;2006 2nd quarter;82.0;5.6;;
292;59 Film, TV and music production etc;2006 3rd quarter;80.3;5.6;;
293;59 Film, TV and music production etc;2006 4th quarter;106.2;5.6;;
294;59 Film, TV and music production etc;2006;87.3;5.6;;
295;59 Film, TV and music production etc;2007 1st quarter;85.2;5.5;;
296;59 Film, TV and music production etc;2007 2nd quarter;86.6;5.5;;
297;59 Film, TV and music production etc;2007 3rd quarter;84.7;5.5;;
298;59 Film, TV and music production etc;2007 4th quarter;112.1;5.5;;
299;59 Film, TV and music production etc;2007;92.2;5.5;;
300;59 Film, TV and music production etc;2008 1st quarter;86.5;1.5;;
301;59 Film, TV and music production etc;2008 2nd quarter;87.9;1.5;;
302;59 Film, TV and music production etc;2008 3rd quarter;86.0;1.5;;
303;59 Film, TV and music production etc;2008 4th quarter;113.8;1.5;;
304;59 Film, TV and music production etc;2008;93.6;1.5;;
305;59 Film, TV and music production etc;2009 1st quarter;87.8;1.4;;
306;59 Film, TV and music production etc;2009 2nd quarter;89.0;1.2;;
307;59 Film, TV and music production etc;2009 3rd quarter;85.6;-0.5;;
308;59 Film, TV and music production etc;2009 4th quarter;109.5;-3.8;;
309;59 Film, TV and music production etc;2009;93.0;-0.7;;
310;59 Film, TV and music production etc;2010 1st quarter;79.0;-10.0;;
311;59 Film, TV and music production etc;2010 2nd quarter;75.2;-15.5;;
312;59 Film, TV and music production etc;2010 3rd quarter;81.4;-4.8;;
313;59 Film, TV and music production etc;2010 4th quarter;106.7;-2.6;;
314;59 Film, TV and music production etc;2010;85.6;-7.9;;
315;59 Film, TV and music production etc;2011 1st quarter;83.1;5.2;;
316;59 Film, TV and music production etc;2011 2nd quarter;87.9;16.9;;
317;59 Film, TV and music production etc;2011 3rd quarter;80.1;-1.6;;
318;59 Film, TV and music production etc;2011 4th quarter;107.3;0.5;;
319;59 Film, TV and music production etc;2011;89.6;4.7;;
320;59 Film, TV and music production etc;2012 1st quarter;80.7;-2.8;;
321;59 Film, TV and music production etc;2012 2nd quarter;83.1;-5.4;;
322;59 Film, TV and music production etc;2012 3rd quarter;84.3;5.2;;
323;59 Film, TV and music production etc;2012 4th quarter;107.1;-0.1;;
324;59 Film, TV and music production etc;2012;88.8;-0.9;;
325;59 Film, TV and music production etc;2013 1st quarter;82.8;2.5;88.6;
326;59 Film, TV and music production etc;2013 2nd quarter;87.5;5.2;90.9;2.6
327;59 Film, TV and music production etc;2013 3rd quarter;81.8;-3.0;89.9;-1.1
328;59 Film, TV and music production etc;2013 4th quarter;107.2;0.1;89.7;-0.3
329;59 Film, TV and music production etc;2013;89.8;1.1;89.8;
330;59 Film, TV and music production etc;2014 1st quarter;87.1;5.2;93.3;4.0
331;59 Film, TV and music production etc;2014 2nd quarter;88.7;1.4;91.8;-1.6
332;59 Film, TV and music production etc;2014 3rd quarter;84.5;3.4;93.0;1.3
333;59 Film, TV and music production etc;2014 4th quarter;112.2;4.6;94.0;1.0
334;59 Film, TV and music production etc;2014;93.1;3.7;93.0;3.6
335;59 Film, TV and music production etc;2015 1st quarter;89.5;2.8;96.1;2.3
336;59 Film, TV and music production etc;2015 2nd quarter;97.8;10.3;101.2;5.3
337;59 Film, TV and music production etc;2015 3rd quarter;91.7;8.5;101.1;-0.1
338;59 Film, TV and music production etc;2015 4th quarter;120.9;7.8;101.2;0.1
339;59 Film, TV and music production etc;2015;100.0;7.4;99.9;7.4
340;59 Film, TV and music production etc;2016 1st quarter;96.1;7.3;103.2;1.9
341;59 Film, TV and music production etc;2016 2nd quarter;101.5;3.8;105.2;2.0
342;59 Film, TV and music production etc;2016 3rd quarter;108.0;17.8;117.1;11.3
343;59 Film, TV and music production etc;2016 4th quarter;127.6;5.5;107.3;-8.3
344;59 Film, TV and music production etc;2016;108.3;8.3;108.2;8.3
345;59 Film, TV and music production etc;2017 1st quarter;99.8;3.9;107.9;0.6
346;59 Film, TV and music production etc;2017 2nd quarter;113.8;12.1;119.6;10.8
347;59 Film, TV and music production etc;2017 3rd quarter;102.9;-4.7;111.3;-7.0
348;59 Film, TV and music production etc;2017 4th quarter;142.9;12.0;118.3;6.3
349;59 Film, TV and music production etc;2017;114.9;6.0;114.3;5.6
350;59 Film, TV and music production etc;2018 1st quarter;124.6;24.8;135.3;14.4
351;59 Film, TV and music production etc;2018 2nd quarter;117.5;3.3;124.4;-8.0
352;59 Film, TV and music production etc;2018 3rd quarter;118.3;15.0;128.1;2.9
353;59 Film, TV and music production etc;2018 4th quarter;164.8;15.3;135.3;5.6
354;59 Film, TV and music production etc;2018;131.3;14.3;130.8;14.4
355;59 Film, TV and music production etc;2019 1st quarter;120.9;-2.9;132.0;-2.4
356;59 Film, TV and music production etc;2019 2nd quarter;125.4;6.7;133.6;1.3
357;59 Film, TV and music production etc;2019 3rd quarter;128.4;8.6;138.8;3.8
358;59 Film, TV and music production etc;2019 4th quarter;169.5;2.9;138.4;-0.3
359;59 Film, TV and music production etc;2019;136.1;3.6;135.7;3.8
360;59 Film, TV and music production etc;2020 1st quarter;106.0;-12.4;115.9;-16.3
361;59 Film, TV and music production etc;2020 2nd quarter;80.3;-36.0;85.5;-26.3
362;59 Film, TV and music production etc;2020 3rd quarter;85.2;-33.6;91.7;7.3
363;59 Film, TV and music production etc;2020 4th quarter;100.9;-40.5;82.2;-10.3
364;59 Film, TV and music production etc;2020;93.1;-31.6;93.8;-30.9
365;59 Film, TV and music production etc;2021 1st quarter;73.2;-31.0;82.0;-0.3
366;59 Film, TV and music production etc;2021 2nd quarter;78.6;-2.1;84.2;2.8
367;59 Film, TV and music production etc;2021 3rd quarter;97.5;14.4;104.0;23.4
368;59 Film, TV and music production etc;2021 4th quarter;105.3;4.4;86.1;-17.2
369;59 Film, TV and music production etc;2021;88.6;-4.8;89.1;-5.1
370;59 Film, TV and music production etc;2022 1st quarter;77.6;6.1;89.0;3.4
371;59 Film, TV and music production etc;2022 2nd quarter;87.4;11.2;93.4;5.0
372;59 Film, TV and music production etc;2022 3rd quarter;88.8;-8.9;91.4;-2.2
373;59 Film, TV and music production etc;2022 4th quarter;100.5;-4.5;84.5;-7.5
374;59 Film, TV and music production etc;2022;88.6;0.0;89.6;0.6
375;59 Film, TV and music production etc;2023 1st quarter;90.1;16.0;95.6;13.1
376;59 Film, TV and music production etc;2023 2nd quarter;92.2;5.5;96.9;1.4
377;59 Film, TV and music production etc;2023 3rd quarter;97.2;9.4;99.3;2.5
378;59 Film, TV and music production etc;2023 4th quarter;107.4;6.9;96.1;-3.2
379;59 Film, TV and music production etc;2023;96.7;9.2;97.0;8.2
380;60 Programming and broadcasting;2005 1st quarter;66.9;;;
381;60 Programming and broadcasting;2005 2nd quarter;74.2;;;
382;60 Programming and broadcasting;2005 3rd quarter;64.4;;;
383;60 Programming and broadcasting;2005 4th quarter;88.4;;;
384;60 Programming and broadcasting;2005;73.5;;;
385;60 Programming and broadcasting;2006 1st quarter;70.6;5.6;;
386;60 Programming and broadcasting;2006 2nd quarter;78.3;5.6;;
387;60 Programming and broadcasting;2006 3rd quarter;68.0;5.6;;
388;60 Programming and broadcasting;2006 4th quarter;93.3;5.6;;
