ID;BedrijfstakkenSBI93;Perioden;IndexcijfersOmzet_1;Omzetontwikkeling_2;CumulatieveOmzetontwikkeling_3
67;513 GH voedings- en genotmiddelen;2004 3e kwartaal;;;
68;513 GH voedings- en genotmiddelen;2004 4e kwartaal;;;
69;513 GH voedings- en genotmiddelen;2004;96.0;6.7;6.7
70;513 GH voedings- en genotmiddelen;2005 1e kwartaal;93.0;;
71;513 GH voedings- en genotmiddelen;2005 2e kwartaal;103.0;;
72;513 GH voedings- en genotmiddelen;2005 3e kwartaal;98.0;;
73;513 GH voedings- en genotmiddelen;2005 4e kwartaal;106.0;;
74;513 GH voedings- en genotmiddelen;2005;100.0;4.3;4.3
75;513 GH voedings- en genotmiddelen;2006 1e kwartaal;99.0;6.2;6.2
76;513 GH voedings- en genotmiddelen;2006 2e kwartaal;110.0;6.5;6.4
77;513 GH voedings- en genotmiddelen;2006 3e kwartaal;100.0;2.2;5.0
78;513 GH voedings- en genotmiddelen;2006 4e kwartaal;108.0;1.5;4.1
79;513 GH voedings- en genotmiddelen;2006;104.0;4.1;4.1
80;513 GH voedings- en genotmiddelen;2007 1e kwartaal;101.0;2.9;2.9
81;513 GH voedings- en genotmiddelen;2007 2e kwartaal;115.0;4.7;3.8
82;513 GH voedings- en genotmiddelen;2007 3e kwartaal;110.0;9.6;5.7
83;513 GH voedings- en genotmiddelen;2007 4e kwartaal;118.0;9.1;6.6
84;513 GH voedings- en genotmiddelen;2007;111.0;6.6;6.6
85;513 GH voedings- en genotmiddelen;2008 1e kwartaal;110.0;8.4;8.4
86;513 GH voedings- en genotmiddelen;2008 2e kwartaal;122.0;6.2;7.3
87;513 GH voedings- en genotmiddelen;2008 3e kwartaal;115.0;4.5;6.3
88;513 GH voedings- en genotmiddelen;2008 4e kwartaal;121.0;3.3;5.5
89;513 GH voedings- en genotmiddelen;2008;117.0;5.5;5.5
90;514 GH overige consumentenartikelen;2003 1e kwartaal;;;
91;514 GH overige consumentenartikelen;2003 2e kwartaal;;;
92;514 GH overige consumentenartikelen;2003 3e kwartaal;;;
93;514 GH overige consumentenartikelen;2003 4e kwartaal;;;
94;514 GH overige consumentenartikelen;2003;95.0;;
95;514 GH overige consumentenartikelen;2004 1e kwartaal;;;
96;514 GH overige consumentenartikelen;2004 2e kwartaal;;;
97;514 GH overige consumentenartikelen;2004 3e kwartaal;;;
98;514 GH overige consumentenartikelen;2004 4e kwartaal;;;
99;514 GH overige consumentenartikelen;2004;97.0;1.9;1.9
100;514 GH overige consumentenartikelen;2005 1e kwartaal;105.0;;
101;514 GH overige consumentenartikelen;2005 2e kwartaal;94.0;;
102;514 GH overige consumentenartikelen;2005 3e kwartaal;101.0;;
103;514 GH overige consumentenartikelen;2005 4e kwartaal;100.0;;
104;514 GH overige consumentenartikelen;2005;100.0;3.1;3.1
105;514 GH overige consumentenartikelen;2006 1e kwartaal;105.0;-0.1;-0.1
106;514 GH overige consumentenartikelen;2006 2e kwartaal;99.0;5.5;2.6
107;514 GH overige consumentenartikelen;2006 3e kwartaal;104.0;3.0;2.7
108;514 GH overige consumentenartikelen;2006 4e kwartaal;103.0;3.3;2.8
109;514 GH overige consumentenartikelen;2006;103.0;2.8;2.8
110;514 GH overige consumentenartikelen;2007 1e kwartaal;112.0;7.3;7.3
111;514 GH overige consumentenartikelen;2007 2e kwartaal;108.0;8.9;8.1
112;514 GH overige consumentenartikelen;2007 3e kwartaal;114.0;9.1;8.4
113;514 GH overige consumentenartikelen;2007 4e kwartaal;117.0;13.0;9.6
114;514 GH overige consumentenartikelen;2007;113.0;9.6;9.6
115;514 GH overige consumentenartikelen;2008 1e kwartaal;122.0;8.4;8.4
116;514 GH overige consumentenartikelen;2008 2e kwartaal;113.0;4.5;6.5
117;514 GH overige consumentenartikelen;2008 3e kwartaal;120.0;5.3;6.1
118;514 GH overige consumentenartikelen;2008 4e kwartaal;120.0;2.9;5.3
119;514 GH overige consumentenartikelen;2008;119.0;5.3;5.3
120;515 GH intermediaire goederen (geen ..;2003 1e kwartaal;;;
121;515 GH intermediaire goederen (geen ..;2003 2e kwartaal;;;
122;515 GH intermediaire goederen (geen ..;2003 3e kwartaal;;;
123;515 GH intermediaire goederen (geen ..;2003 4e kwartaal;;;
124;515 GH intermediaire goederen (geen ..;2003;79.0;;
125;515 GH intermediaire goederen (geen ..;2004 1e kwartaal;;;
126;515 GH intermediaire goederen (geen ..;2004 2e kwartaal;;;
127;515 GH intermediaire goederen (geen ..;2004 3e kwartaal;;;
128;515 GH intermediaire goederen (geen ..;2004 4e kwartaal;;;
129;515 GH intermediaire goederen (geen ..;2004;90.0;13.0;13.0
130;515 GH intermediaire goederen (geen ..;2005 1e kwartaal;90.0;;
131;515 GH intermediaire goederen (geen ..;2005 2e kwartaal;104.0;;
132;515 GH intermediaire goederen (geen ..;2005 3e kwartaal;100.0;;
133;515 GH intermediaire goederen (geen ..;2005 4e kwartaal;106.0;;
134;515 GH intermediaire goederen (geen ..;2005;100.0;11.4;11.4
135;515 GH intermediaire goederen (geen ..;2006 1e kwartaal;107.0;19.4;19.4
136;515 GH intermediaire goederen (geen ..;2006 2e kwartaal;120.0;16.0;17.6
137;515 GH intermediaire goederen (geen ..;2006 3e kwartaal;116.0;16.0;17.0
138;515 GH intermediaire goederen (geen ..;2006 4e kwartaal;116.0;9.7;15.1
139;515 GH intermediaire goederen (geen ..;2006;115.0;15.1;15.1
140;515 GH intermediaire goederen (geen ..;2007 1e kwartaal;121.0;12.5;12.5
141;515 GH intermediaire goederen (geen ..;2007 2e kwartaal;132.0;9.2;10.8
142;515 GH intermediaire goederen (geen ..;2007 3e kwartaal;125.0;7.6;9.7
143;515 GH intermediaire goederen (geen ..;2007 4e kwartaal;133.0;14.7;10.9
144;515 GH intermediaire goederen (geen ..;2007;128.0;10.9;10.9
145;515 GH intermediaire goederen (geen ..;2008 1e kwartaal;137.0;13.4;13.4
146;515 GH intermediaire goederen (geen ..;2008 2e kwartaal;160.0;21.7;17.7
147;515 GH intermediaire goederen (geen ..;2008 3e kwartaal;152.0;21.8;19.1
148;515 GH intermediaire goederen (geen ..;2008 4e kwartaal;127.0;-4.4;12.9
149;515 GH intermediaire goederen (geen ..;2008;144.0;12.9;12.9
150;518 GH machines, apparaten en toebehoren;2003 1e kwartaal;;;
151;518 GH machines, apparaten en toebehoren;2003 2e kwartaal;;;
152;518 GH machines, apparaten en toebehoren;2003 3e kwartaal;;;
153;518 GH machines, apparaten en toebehoren;2003 4e kwartaal;;;
154;518 GH machines, apparaten en toebehoren;2003;85.0;;
155;518 GH machines, apparaten en toebehoren;2004 1e kwartaal;;;
156;518 GH machines, apparaten en toebehoren;2004 2e kwartaal;;;
157;518 GH machines, apparaten en toebehoren;2004 3e kwartaal;;;
158;518 GH machines, apparaten en toebehoren;2004 4e kwartaal;;;
159;518 GH machines, apparaten en toebehoren;2004;93.0;9.8;9.8
160;518 GH machines, apparaten en toebehoren;2005 1e kwartaal;97.0;;
161;518 GH machines, apparaten en toebehoren;2005 2e kwartaal;97.0;;
162;518 GH machines, apparaten en toebehoren;2005 3e kwartaal;96.0;;
163;518 GH machines, apparaten en toebehoren;2005 4e kwartaal;110.0;;
164;518 GH machines, apparaten en toebehoren;2005;100.0;7.0;7.0
165;518 GH machines, apparaten en toebehoren;2006 1e kwartaal;97.0;-0.1;-0.1
166;518 GH machines, apparaten en toebehoren;2006 2e kwartaal;95.0;-1.2;-0.6
167;518 GH machines, apparaten en toebehoren;2006 3e kwartaal;97.0;0.7;-0.2
168;518 GH machines, apparaten en toebehoren;2006 4e kwartaal;114.0;3.5;0.8
169;518 GH machines, apparaten en toebehoren;2006;101.0;0.8;0.8
170;518 GH machines, apparaten en toebehoren;2007 1e kwartaal;103.0;6.4;6.4
171;518 GH machines, apparaten en toebehoren;2007 2e kwartaal;104.0;9.5;8.0
172;518 GH machines, apparaten en toebehoren;2007 3e kwartaal;104.0;7.1;7.7
173;518 GH machines, apparaten en toebehoren;2007 4e kwartaal;116.0;1.9;6.0
174;518 GH machines, apparaten en toebehoren;2007;107.0;6.0;6.0
175;518 GH machines, apparaten en toebehoren;2008 1e kwartaal;108.0;5.0;5.0
176;518 GH machines, apparaten en toebehoren;2008 2e kwartaal;109.0;4.8;4.9
177;518 GH machines, apparaten en toebehoren;2008 3e kwartaal;105.0;1.3;3.7
178;518 GH machines, apparaten en toebehoren;2008 4e kwartaal;113.0;-2.5;2.0
179;518 GH machines, apparaten en toebehoren;2008;109.0;2.0;2.0
