ID;VehicleCategory;YearOfConstructionOfVehicle;RoadType;CO_1;VOC_2;NOx_3;PM10_4
35;Passenger car-petrol;2001;Motorways;1.57;0.01;0.03;0.002
36;Passenger car-petrol;2002;Urban roads;3.33;0.43;0.12;0.006
37;Passenger car-petrol;2002;Rural roads;3.17;0.21;0.06;0.002
38;Passenger car-petrol;2002;Motorways;1.57;0.01;0.03;0.002
39;Passenger car-petrol;2003;Urban roads;2.89;0.41;0.1;0.006
40;Passenger car-petrol;2003;Rural roads;2.92;0.2;0.04;0.002
41;Passenger car-petrol;2003;Motorways;1.44;0.01;0.02;0.002
42;Passenger car-petrol;2004;Urban roads;2.67;0.41;0.09;0.007
43;Passenger car-petrol;2004;Rural roads;2.79;0.2;0.03;0.002
44;Passenger car-petrol;2004;Motorways;1.38;0.01;0.02;0.002
45;Passenger car-petrol;2005;Urban roads;2.45;0.4;0.07;0.007
46;Passenger car-petrol;2005;Rural roads;2.67;0.19;0.02;0.002
47;Passenger car-petrol;2005;Motorways;1.31;0.01;0.01;0.002
48;Passenger car-petrol;2006;Urban roads;2.45;0.4;0.07;0.007
49;Passenger car-petrol;2006;Rural roads;2.67;0.19;0.02;0.002
50;Passenger car-petrol;2006;Motorways;1.31;0.01;0.01;0.002
51;Passenger car-petrol;2007;Urban roads;2.45;0.4;0.07;0.007
52;Passenger car-petrol;2007;Rural roads;2.67;0.19;0.02;0.002
53;Passenger car-petrol;2007;Motorways;1.31;0.01;0.01;0.002
54;Passenger car-petrol;2008;Urban roads;2.45;0.4;0.07;0.007
55;Passenger car-petrol;2008;Rural roads;2.67;0.19;0.02;0.002
56;Passenger car-petrol;2008;Motorways;1.31;0.01;0.01;0.002
57;Passenger car-petrol;2009;Urban roads;2.45;0.4;0.07;0.007
58;Passenger car-petrol;2009;Rural roads;2.67;0.19;0.02;0.002
59;Passenger car-petrol;2009;Motorways;1.31;0.01;0.01;0.002
60;Passenger car-diesel;Years of construction 2000 and older;Urban roads;1.18;0.23;0.9;0.22
61;Passenger car-diesel;Years of construction 2000 and older;Rural roads;0.37;0.08;0.55;0.104
62;Passenger car-diesel;Years of construction 2000 and older;Motorways;0.29;0.06;0.63;0.13
63;Passenger car-diesel;2001;Urban roads;0.6;0.05;0.89;0.058
64;Passenger car-diesel;2001;Rural roads;0.17;0.01;0.55;0.025
65;Passenger car-diesel;2001;Motorways;0.01;0.0;0.54;0.056
66;Passenger car-diesel;2002;Urban roads;0.6;0.05;0.89;0.058
67;Passenger car-diesel;2002;Rural roads;0.17;0.01;0.55;0.025
68;Passenger car-diesel;2002;Motorways;0.01;0.0;0.54;0.056
69;Passenger car-diesel;2003;Urban roads;0.6;0.05;0.89;0.058
70;Passenger car-diesel;2003;Rural roads;0.17;0.01;0.55;0.025
71;Passenger car-diesel;2003;Motorways;0.01;0.0;0.54;0.056
72;Passenger car-diesel;2004;Urban roads;0.6;0.05;0.89;0.058
73;Passenger car-diesel;2004;Rural roads;0.17;0.01;0.55;0.025
74;Passenger car-diesel;2004;Motorways;0.01;0.0;0.54;0.056
75;Passenger car-diesel;2005;Urban roads;0.25;0.02;0.51;0.018
76;Passenger car-diesel;2005;Rural roads;0.14;0.01;0.38;0.01
77;Passenger car-diesel;2005;Motorways;0.03;0.0;0.39;0.025
78;Passenger car-diesel;2006;Urban roads;0.25;0.02;0.51;0.018
79;Passenger car-diesel;2006;Rural roads;0.14;0.01;0.38;0.01
80;Passenger car-diesel;2006;Motorways;0.03;0.0;0.39;0.025
81;Passenger car-diesel;2007;Urban roads;0.25;0.02;0.51;0.018
82;Passenger car-diesel;2007;Rural roads;0.14;0.01;0.38;0.01
83;Passenger car-diesel;2007;Motorways;0.03;0.0;0.39;0.025
84;Passenger car-diesel;2008;Urban roads;0.25;0.02;0.51;0.018
85;Passenger car-diesel;2008;Rural roads;0.14;0.01;0.38;0.01
86;Passenger car-diesel;2008;Motorways;0.03;0.0;0.39;0.025
87;Passenger car-diesel;2009;Urban roads;0.25;0.02;0.51;0.018
88;Passenger car-diesel;2009;Rural roads;0.14;0.01;0.38;0.01
89;Passenger car-diesel;2009;Motorways;0.03;0.0;0.39;0.025
90;Passenger car-LPG;Years of construction 2000 and older;Urban roads;7.04;0.86;0.81;0.012
91;Passenger car-LPG;Years of construction 2000 and older;Rural roads;3.66;0.38;0.56;0.007
92;Passenger car-LPG;Years of construction 2000 and older;Motorways;1.32;0.22;0.7;0.007
93;Passenger car-LPG;2001;Urban roads;2.58;0.4;0.39;0.005
94;Passenger car-LPG;2001;Rural roads;2.57;0.17;0.2;0.002
95;Passenger car-LPG;2001;Motorways;1.0;0.01;0.15;0.002
96;Passenger car-LPG;2002;Urban roads;2.58;0.4;0.39;0.005
97;Passenger car-LPG;2002;Rural roads;2.57;0.17;0.2;0.002
98;Passenger car-LPG;2002;Motorways;1.0;0.01;0.15;0.002
99;Passenger car-LPG;2003;Urban roads;2.25;0.4;0.27;0.005
100;Passenger car-LPG;2003;Rural roads;2.19;0.16;0.13;0.002
101;Passenger car-LPG;2003;Motorways;0.9;0.01;0.09;0.002
102;Passenger car-LPG;2004;Urban roads;2.09;0.4;0.21;0.005
103;Passenger car-LPG;2004;Rural roads;2.01;0.15;0.1;0.002
104;Passenger car-LPG;2004;Motorways;0.85;0.01;0.05;0.002
105;Passenger car-LPG;2005;Urban roads;1.92;0.39;0.15;0.005
106;Passenger car-LPG;2005;Rural roads;1.82;0.15;0.06;0.002
107;Passenger car-LPG;2005;Motorways;0.8;0.01;0.02;0.002
108;Passenger car-LPG;2006;Urban roads;1.92;0.39;0.15;0.005
109;Passenger car-LPG;2006;Rural roads;1.82;0.15;0.06;0.002
110;Passenger car-LPG;2006;Motorways;0.8;0.01;0.02;0.002
111;Passenger car-LPG;2007;Urban roads;1.92;0.39;0.15;0.005
112;Passenger car-LPG;2007;Rural roads;1.82;0.15;0.06;0.002
113;Passenger car-LPG;2007;Motorways;0.8;0.01;0.02;0.002
114;Passenger car-LPG;2008;Urban roads;1.92;0.39;0.15;0.005
115;Passenger car-LPG;2008;Rural roads;1.82;0.15;0.06;0.002
116;Passenger car-LPG;2008;Motorways;0.8;0.01;0.02;0.002
117;Passenger car-LPG;2009;Urban roads;1.92;0.39;0.15;0.005
118;Passenger car-LPG;2009;Rural roads;1.82;0.15;0.06;0.002
119;Passenger car-LPG;2009;Motorways;0.8;0.01;0.02;0.002
120;Delivery van-petrol;Years of construction 2000 and older;Urban roads;9.54;1.32;1.07;0.02
121;Delivery van-petrol;Years of construction 2000 and older;Rural roads;6.21;0.55;1.07;0.012
122;Delivery van-petrol;Years of construction 2000 and older;Motorways;4.49;0.38;1.49;0.012
123;Delivery van-petrol;2001;Urban roads;1.78;0.22;0.1;0.004
124;Delivery van-petrol;2001;Rural roads;0.94;0.02;0.02;0.001
125;Delivery van-petrol;2001;Motorways;0.63;0.01;0.04;0.001
126;Delivery van-petrol;2002;Urban roads;1.78;0.22;0.1;0.004
127;Delivery van-petrol;2002;Rural roads;0.94;0.02;0.02;0.001
128;Delivery van-petrol;2002;Motorways;0.63;0.01;0.04;0.001
129;Delivery van-petrol;2003;Urban roads;1.58;0.21;0.08;0.004
130;Delivery van-petrol;2003;Rural roads;0.59;0.01;0.03;0.001
131;Delivery van-petrol;2003;Motorways;0.54;0.01;0.03;0.001
132;Delivery van-petrol;2004;Urban roads;1.47;0.21;0.07;0.004
133;Delivery van-petrol;2004;Rural roads;0.42;0.01;0.04;0.001
134;Delivery van-petrol;2004;Motorways;0.5;0.01;0.03;0.001
135;Delivery van-petrol;2005;Urban roads;1.37;0.2;0.07;0.004
136;Delivery van-petrol;2005;Rural roads;0.25;0.01;0.04;0.002
137;Delivery van-petrol;2005;Motorways;0.46;0.01;0.02;0.002
138;Delivery van-petrol;2006;Urban roads;1.37;0.2;0.07;0.004
139;Delivery van-petrol;2006;Rural roads;0.25;0.01;0.04;0.002
140;Delivery van-petrol;2006;Motorways;0.46;0.01;0.02;0.002
141;Delivery van-petrol;2007;Urban roads;1.37;0.2;0.07;0.004
142;Delivery van-petrol;2007;Rural roads;0.25;0.01;0.04;0.002
143;Delivery van-petrol;2007;Motorways;0.46;0.01;0.02;0.002
144;Delivery van-petrol;2008;Urban roads;1.37;0.2;0.07;0.004
145;Delivery van-petrol;2008;Rural roads;0.25;0.01;0.04;0.002
146;Delivery van-petrol;2008;Motorways;0.46;0.01;0.02;0.002
147;Delivery van-petrol;2009;Urban roads;1.37;0.2;0.07;0.004
148;Delivery van-petrol;2009;Rural roads;0.25;0.01;0.04;0.002
149;Delivery van-petrol;2009;Motorways;0.46;0.01;0.02;0.002
150;Delivery van-diesel;Years of construction 2000 and older;Urban roads;1.66;0.28;1.5;0.323
151;Delivery van-diesel;Years of construction 2000 and older;Rural roads;0.36;0.17;0.96;0.169
152;Delivery van-diesel;Years of construction 2000 and older;Motorways;0.33;0.16;1.29;0.194
153;Delivery van-diesel;2001;Urban roads;0.51;0.05;1.27;0.098
154;Delivery van-diesel;2001;Rural roads;0.02;0.01;0.79;0.042
155;Delivery van-diesel;2001;Motorways;0.05;0.02;0.78;0.095
156;Delivery van-diesel;2002;Urban roads;0.51;0.05;1.27;0.098
157;Delivery van-diesel;2002;Rural roads;0.02;0.01;0.79;0.042
158;Delivery van-diesel;2002;Motorways;0.05;0.02;0.78;0.095
159;Delivery van-diesel;2003;Urban roads;0.51;0.05;1.27;0.098
160;Delivery van-diesel;2003;Rural roads;0.02;0.01;0.79;0.042
161;Delivery van-diesel;2003;Motorways;0.05;0.02;0.78;0.095
162;Delivery van-diesel;2004;Urban roads;0.51;0.05;1.27;0.098
163;Delivery van-diesel;2004;Rural roads;0.02;0.01;0.79;0.042
164;Delivery van-diesel;2004;Motorways;0.05;0.02;0.78;0.095
165;Delivery van-diesel;2005;Urban roads;0.15;0.02;0.73;0.059
166;Delivery van-diesel;2005;Rural roads;0.02;0.0;0.54;0.033
167;Delivery van-diesel;2005;Motorways;0.07;0.01;0.57;0.083
168;Delivery van-diesel;2006;Urban roads;0.15;0.02;0.73;0.059
169;Delivery van-diesel;2006;Rural roads;0.02;0.0;0.54;0.033
170;Delivery van-diesel;2006;Motorways;0.07;0.01;0.57;0.083
171;Delivery van-diesel;2007;Urban roads;0.15;0.02;0.73;0.059
172;Delivery van-diesel;2007;Rural roads;0.02;0.0;0.54;0.033
173;Delivery van-diesel;2007;Motorways;0.07;0.01;0.57;0.083
174;Delivery van-diesel;2008;Urban roads;0.15;0.02;0.73;0.059
175;Delivery van-diesel;2008;Rural roads;0.02;0.0;0.54;0.033
176;Delivery van-diesel;2008;Motorways;0.07;0.01;0.57;0.083
177;Delivery van-diesel;2009;Urban roads;0.15;0.02;0.73;0.059
178;Delivery van-diesel;2009;Rural roads;0.02;0.0;0.54;0.033
179;Delivery van-diesel;2009;Motorways;0.07;0.01;0.57;0.083
180;Delivery van-LPG;Years of construction 2000 and older;Urban roads;9.98;1.08;1.29;0.009
181;Delivery van-LPG;Years of construction 2000 and older;Rural roads;9.4;0.49;1.23;0.006
182;Delivery van-LPG;Years of construction 2000 and older;Motorways;3.38;0.4;1.85;0.007
183;Delivery van-LPG;2001;Urban roads;1.69;0.28;0.35;0.003
184;Delivery van-LPG;2001;Rural roads;1.17;0.06;0.29;0.002
185;Delivery van-LPG;2001;Motorways;2.0;0.03;0.19;0.002
186;Delivery van-LPG;2002;Urban roads;1.69;0.28;0.35;0.003
187;Delivery van-LPG;2002;Rural roads;1.17;0.06;0.29;0.002
188;Delivery van-LPG;2002;Motorways;2.0;0.03;0.19;0.002
189;Delivery van-LPG;2003;Urban roads;1.33;0.24;0.26;0.003
190;Delivery van-LPG;2003;Rural roads;0.8;0.05;0.21;0.002
191;Delivery van-LPG;2003;Motorways;1.36;0.02;0.14;0.002
192;Delivery van-LPG;2004;Urban roads;1.15;0.22;0.21;0.003
193;Delivery van-LPG;2004;Rural roads;0.61;0.04;0.17;0.002
194;Delivery van-LPG;2004;Motorways;1.03;0.02;0.11;0.002
195;Delivery van-LPG;2005;Urban roads;0.97;0.21;0.16;0.003
196;Delivery van-LPG;2005;Rural roads;0.42;0.03;0.14;0.002
197;Delivery van-LPG;2005;Motorways;0.71;0.01;0.09;0.002
198;Delivery van-LPG;2006;Urban roads;0.97;0.21;0.16;0.003
199;Delivery van-LPG;2006;Rural roads;0.42;0.03;0.14;0.002
200;Delivery van-LPG;2006;Motorways;0.71;0.01;0.09;0.002
201;Delivery van-LPG;2007;Urban roads;0.97;0.21;0.16;0.003
202;Delivery van-LPG;2007;Rural roads;0.42;0.03;0.14;0.002
203;Delivery van-LPG;2007;Motorways;0.71;0.01;0.09;0.002
204;Delivery van-LPG;2008;Urban roads;0.97;0.21;0.16;0.003
205;Delivery van-LPG;2008;Rural roads;0.42;0.03;0.14;0.002
206;Delivery van-LPG;2008;Motorways;0.71;0.01;0.09;0.002
207;Delivery van-LPG;2009;Urban roads;0.97;0.21;0.16;0.003
208;Delivery van-LPG;2009;Rural roads;0.42;0.03;0.14;0.002
209;Delivery van-LPG;2009;Motorways;0.71;0.01;0.09;0.002
210;Lorry-diesel;Years of construction 2000 and older;Urban roads;3.08;1.47;10.5;0.538
211;Lorry-diesel;Years of construction 2000 and older;Rural roads;1.89;0.59;8.65;0.323
212;Lorry-diesel;Years of construction 2000 and older;Motorways;1.39;0.46;7.94;0.256
213;Lorry-diesel;2001;Urban roads;2.42;0.59;11.0;0.17
214;Lorry-diesel;2001;Rural roads;1.62;0.33;7.81;0.11
215;Lorry-diesel;2001;Motorways;1.15;0.25;6.94;0.085
216;Lorry-diesel;2002;Urban roads;2.54;0.57;10.99;0.145
217;Lorry-diesel;2002;Rural roads;1.68;0.32;7.45;0.086
218;Lorry-diesel;2002;Motorways;1.2;0.24;6.73;0.062
219;Lorry-diesel;2003;Urban roads;2.56;0.57;11.15;0.145
220;Lorry-diesel;2003;Rural roads;1.71;0.32;7.59;0.087
221;Lorry-diesel;2003;Motorways;1.22;0.24;6.84;0.063
222;Lorry-diesel;2004;Urban roads;2.53;0.56;11.04;0.143
223;Lorry-diesel;2004;Rural roads;1.65;0.32;7.26;0.086
224;Lorry-diesel;2004;Motorways;1.22;0.24;6.85;0.063
225;Lorry-diesel;2005;Urban roads;3.25;0.45;11.24;0.119
226;Lorry-diesel;2005;Rural roads;1.84;0.25;7.11;0.071
227;Lorry-diesel;2005;Motorways;1.23;0.19;6.1;0.052
228;Lorry-diesel;2006;Urban roads;4.56;0.21;11.22;0.069
229;Lorry-diesel;2006;Rural roads;2.15;0.12;6.53;0.04
230;Lorry-diesel;2006;Motorways;1.21;0.08;4.38;0.029
231;Lorry-diesel;2007;Urban roads;5.34;0.09;11.58;0.046
232;Lorry-diesel;2007;Rural roads;2.35;0.05;6.3;0.025
233;Lorry-diesel;2007;Motorways;1.16;0.03;3.53;0.018
234;Lorry-diesel;2008;Urban roads;5.37;0.09;11.63;0.046
235;Lorry-diesel;2008;Rural roads;2.36;0.05;6.32;0.025
236;Lorry-diesel;2008;Motorways;1.17;0.03;3.54;0.018
237;Lorry-diesel;2009;Urban roads;5.38;0.09;11.58;0.046
238;Lorry-diesel;2009;Rural roads;2.37;0.05;6.31;0.025
239;Lorry-diesel;2009;Motorways;1.18;0.03;3.54;0.018
240;Road tractor-diesel;Years of construction 2000 and older;Urban roads;4.72;2.19;16.74;0.894
241;Road tractor-diesel;Years of construction 2000 and older;Rural roads;2.47;0.73;11.58;0.451
242;Road tractor-diesel;Years of construction 2000 and older;Motorways;1.78;0.51;9.42;0.329
243;Road tractor-diesel;2001;Urban roads;3.45;0.75;15.76;0.227
244;Road tractor-diesel;2001;Rural roads;2.03;0.4;9.66;0.132
245;Road tractor-diesel;2001;Motorways;1.49;0.27;7.6;0.099
246;Road tractor-diesel;2002;Urban roads;3.66;0.73;16.36;0.161
247;Road tractor-diesel;2002;Rural roads;2.15;0.39;9.52;0.09
248;Road tractor-diesel;2002;Motorways;1.56;0.26;7.46;0.063
249;Road tractor-diesel;2003;Urban roads;3.66;0.73;16.36;0.161
250;Road tractor-diesel;2003;Rural roads;2.15;0.39;9.52;0.09
251;Road tractor-diesel;2003;Motorways;1.56;0.26;7.46;0.063
252;Road tractor-diesel;2004;Urban roads;3.66;0.73;16.36;0.161
253;Road tractor-diesel;2004;Rural roads;2.15;0.39;9.52;0.09
254;Road tractor-diesel;2004;Motorways;1.56;0.26;7.46;0.063
255;Road tractor-diesel;2005;Urban roads;5.11;0.59;15.88;0.136
256;Road tractor-diesel;2005;Rural roads;2.53;0.31;9.04;0.075
257;Road tractor-diesel;2005;Motorways;1.59;0.21;6.62;0.052
258;Road tractor-diesel;2006;Urban roads;7.99;0.3;14.94;0.085
259;Road tractor-diesel;2006;Rural roads;3.27;0.16;8.07;0.045
260;Road tractor-diesel;2006;Motorways;1.64;0.1;4.92;0.031
261;Road tractor-diesel;2007;Urban roads;9.43;0.16;14.47;0.059
262;Road tractor-diesel;2007;Rural roads;3.64;0.08;7.59;0.03
263;Road tractor-diesel;2007;Motorways;1.67;0.04;4.07;0.02
264;Road tractor-diesel;2008;Urban roads;9.43;0.16;14.47;0.059
265;Road tractor-diesel;2008;Rural roads;3.64;0.08;7.59;0.03
266;Road tractor-diesel;2008;Motorways;1.67;0.04;4.07;0.02
267;Road tractor-diesel;2009;Urban roads;9.43;0.16;14.47;0.06
268;Road tractor-diesel;2009;Rural roads;3.64;0.08;7.59;0.03
269;Road tractor-diesel;2009;Motorways;1.67;0.04;4.07;0.02
270;Bus-diesel;Years of construction 2000 and older;Urban roads;3.73;1.81;13.65;0.782
271;Bus-diesel;Years of construction 2000 and older;Rural roads;1.86;0.69;9.74;0.432
272;Bus-diesel;Years of construction 2000 and older;Motorways;1.18;0.52;7.62;0.263
273;Bus-diesel;2001;Urban roads;2.31;0.55;11.33;0.241
274;Bus-diesel;2001;Rural roads;1.09;0.29;6.98;0.183
275;Bus-diesel;2001;Motorways;0.67;0.24;5.17;0.11
276;Bus-diesel;2002;Urban roads;2.24;0.53;10.77;0.194
277;Bus-diesel;2002;Rural roads;1.06;0.28;6.33;0.138
278;Bus-diesel;2002;Motorways;0.67;0.23;4.36;0.109
279;Bus-diesel;2003;Urban roads;2.24;0.53;10.77;0.194
280;Bus-diesel;2003;Rural roads;1.06;0.28;6.33;0.138
281;Bus-diesel;2003;Motorways;0.67;0.23;4.36;0.109
282;Bus-diesel;2004;Urban roads;2.24;0.53;10.77;0.194
283;Bus-diesel;2004;Rural roads;1.06;0.28;6.33;0.138
284;Bus-diesel;2004;Motorways;0.67;0.23;4.36;0.109
285;Bus-diesel;2005;Urban roads;1.74;0.4;10.15;0.17
286;Bus-diesel;2005;Rural roads;0.82;0.22;5.8;0.114
287;Bus-diesel;2005;Motorways;0.52;0.17;3.98;0.086
288;Bus-diesel;2006;Urban roads;0.74;0.15;8.91;0.122
289;Bus-diesel;2006;Rural roads;0.35;0.08;4.74;0.066
290;Bus-diesel;2006;Motorways;0.22;0.06;3.22;0.039
291;Bus-diesel;2007;Urban roads;0.24;0.03;8.29;0.098
292;Bus-diesel;2007;Rural roads;0.11;0.01;4.21;0.043
293;Bus-diesel;2007;Motorways;0.07;0.01;2.84;0.016
294;Bus-diesel;2008;Urban roads;0.24;0.03;7.36;0.096
295;Bus-diesel;2008;Rural roads;0.11;0.01;3.77;0.04
296;Bus-diesel;2008;Motorways;0.07;0.01;2.52;0.016
297;Bus-diesel;2009;Urban roads;0.24;0.03;5.51;0.094
298;Bus-diesel;2009;Rural roads;0.11;0.01;2.87;0.036
299;Bus-diesel;2009;Motorways;0.07;0.01;1.9;0.016
300;Motorcycle (petrol);Years of construction 2000 and older;Urban roads;25.95;3.56;0.11;0.017
301;Motorcycle (petrol);Years of construction 2000 and older;Rural roads;15.31;1.5;0.19;0.017
302;Motorcycle (petrol);Years of construction 2000 and older;Motorways;26.98;1.25;0.45;0.017
303;Motorcycle (petrol);2001;Urban roads;11.87;1.44;0.14;0.015
304;Motorcycle (petrol);2001;Rural roads;6.07;0.66;0.22;0.015
305;Motorcycle (petrol);2001;Motorways;18.65;0.42;0.49;0.015
306;Motorcycle (petrol);2002;Urban roads;11.87;1.44;0.14;0.015
307;Motorcycle (petrol);2002;Rural roads;6.07;0.66;0.22;0.015
308;Motorcycle (petrol);2002;Motorways;18.65;0.42;0.49;0.015
309;Motorcycle (petrol);2003;Urban roads;11.87;1.44;0.14;0.015
310;Motorcycle (petrol);2003;Rural roads;6.07;0.66;0.22;0.015
311;Motorcycle (petrol);2003;Motorways;18.65;0.42;0.49;0.015
312;Motorcycle (petrol);2004;Urban roads;11.87;1.44;0.14;0.015
313;Motorcycle (petrol);2004;Rural roads;6.07;0.66;0.22;0.015
314;Motorcycle (petrol);2004;Motorways;18.65;0.42;0.49;0.015
315;Motorcycle (petrol);2005;Urban roads;11.87;1.44;0.14;0.015
316;Motorcycle (petrol);2005;Rural roads;6.07;0.66;0.22;0.015
317;Motorcycle (petrol);2005;Motorways;18.65;0.42;0.49;0.015
318;Motorcycle (petrol);2006;Urban roads;11.87;1.44;0.14;0.015
319;Motorcycle (petrol);2006;Rural roads;6.07;0.66;0.22;0.015
320;Motorcycle (petrol);2006;Motorways;18.65;0.42;0.49;0.015
321;Motorcycle (petrol);2007;Urban roads;11.87;1.44;0.14;0.015
322;Motorcycle (petrol);2007;Rural roads;6.07;0.66;0.22;0.015
323;Motorcycle (petrol);2007;Motorways;18.65;0.42;0.49;0.015
324;Motorcycle (petrol);2008;Urban roads;11.87;1.44;0.14;0.015
325;Motorcycle (petrol);2008;Rural roads;6.07;0.66;0.22;0.015
326;Motorcycle (petrol);2008;Motorways;18.65;0.42;0.49;0.015
327;Motorcycle (petrol);2009;Urban roads;11.87;1.44;0.14;0.015
328;Motorcycle (petrol);2009;Rural roads;6.07;0.66;0.22;0.015
329;Motorcycle (petrol);2009;Motorways;18.65;0.42;0.49;0.015
330;Moped (petrol);Years of construction 2000 and older;Urban roads;10.56;6.33;0.05;0.042
331;Moped (petrol);Years of construction 2000 and older;Rural roads;10.56;6.33;0.05;0.042
332;Moped (petrol);Years of construction 2000 and older;Motorways;;;;
333;Moped (petrol);2001;Urban roads;10.0;6.0;0.05;0.04
334;Moped (petrol);2001;Rural roads;10.0;6.0;0.05;0.04
335;Moped (petrol);2001;Motorways;;;;
336;Moped (petrol);2002;Urban roads;10.0;6.0;0.05;0.04
337;Moped (petrol);2002;Rural roads;10.0;6.0;0.05;0.04
338;Moped (petrol);2002;Motorways;;;;
339;Moped (petrol);2003;Urban roads;10.0;6.0;0.05;0.04
340;Moped (petrol);2003;Rural roads;10.0;6.0;0.05;0.04
341;Moped (petrol);2003;Motorways;;;;
342;Moped (petrol);2004;Urban roads;10.0;6.0;0.05;0.04
343;Moped (petrol);2004;Rural roads;10.0;6.0;0.05;0.04
344;Moped (petrol);2004;Motorways;;;;
345;Moped (petrol);2005;Urban roads;10.0;6.0;0.05;0.04
346;Moped (petrol);2005;Rural roads;10.0;6.0;0.05;0.04
347;Moped (petrol);2005;Motorways;;;;
348;Moped (petrol);2006;Urban roads;10.0;6.0;0.05;0.04
349;Moped (petrol);2006;Rural roads;10.0;6.0;0.05;0.04
350;Moped (petrol);2006;Motorways;;;;
351;Moped (petrol);2007;Urban roads;10.0;6.0;0.05;0.04
352;Moped (petrol);2007;Rural roads;10.0;6.0;0.05;0.04
353;Moped (petrol);2007;Motorways;;;;
354;Moped (petrol);2008;Urban roads;10.0;6.0;0.05;0.04
355;Moped (petrol);2008;Rural roads;10.0;6.0;0.05;0.04
356;Moped (petrol);2008;Motorways;;;;
357;Moped (petrol);2009;Urban roads;10.0;6.0;0.05;0.04
358;Moped (petrol);2009;Rural roads;10.0;6.0;0.05;0.04
359;Moped (petrol);2009;Motorways;;;;
