ID;Perioden;TotaalPersonenInHuishoudens_1;TotaalPersonenInParticuliereHuish_2;ThuiswonendKind_3;Alleenstaand_4;Samenwonend_5;OuderInEenouderhuishouden_6;OverigLidHuishouden_7;PersonenInInstitutioneleHuishoudens_8;TotaalParticuliereHuishoudens_9;Eenpersoonshuishouden_10;TotaalMeerpersoonshuishoudens_11;Paar_12;Eenouderhuishouden_13;OverigHuishouden_14;TotaalParticuliereHuishoudens_15;Eenpersoonshuishouden_16;TotaalMeerpersoonshuishoudens_17;k_2Personen_18;k_3Personen_19;k_4Personen_20;k_5OfMeerPersonen_21;GemiddeldeHuishoudensgrootte_22;TotaalHuishoudensMetKinderen_23;k_1Kind_24;k_2Kinderen_25;k_3OfMeerKinderen_26;TotaalParenMetKinderen_27;k_1Kind_28;k_2Kinderen_29;k_3OfMeerKinderen_30;TotaalEenouderhuishoudens_31;k_1Kind_32;k_2Kinderen_33;k_3OfMeerKinderen_34;TotaalHuishoudensMetKinderen_35;JongsteKind0Tot3Jaar_36;JongsteKind3Tot6Jaar_37;JongsteKind6Tot12Jaar_38;JongsteKind12Tot18Jaar_39;JongsteKind18JaarOfOuder_40
10;2029;17974708;17729283;4683334;3424045;8750583;610749;260572;245425;8450562;3424030;5026532;4375291;610734;40507;8450562;3424030;5026532;2718382;946869;959907;401373;2.1;2635959;1143221;1086554;406183;2025225;763825;909578;351822;610734;379396;176976;54361;2635958;544385;342121;507341;501108;741003
11;2030;18030989;17782383;4694701;3455536;8757669;612486;261991;248606;8487481;3455534;5031947;4378834;612492;40621;8487481;3455534;5031947;2717516;944489;965277;404666;2.1;2642885;1140984;1092592;409311;2030393;760881;914883;354629;612492;380103;177709;54682;2642887;547311;348476;520755;491158;735187
12;2031;18084798;17832848;4707678;3485257;8762205;614292;263416;251950;8521339;3485254;5036085;4381108;614283;40694;8521339;3485254;5036085;2714823;941836;971200;408225;2.09;2650272;1138336;1099236;412703;2035989;757600;920728;357661;614283;380736;178508;55042;2650274;549048;353199;535404;486154;726469
13;2032;18135703;17880266;4722041;3512971;8764265;616190;264799;255437;8552053;3512973;5039080;4382132;616197;40751;8552053;3512973;5039080;2710670;938700;977668;412042;2.09;2658012;1135097;1106573;416339;2041815;753711;927146;360958;616197;381386;179427;55381;2658009;549923;356601;550245;480269;720971
14;2033;18183450;17924441;4737325;3539186;8764013;617699;266218;259009;8579684;3539192;5040492;4382009;617699;40784;8579684;3539192;5040492;2705969;934920;983921;415683;2.09;2664389;1130994;1113639;419752;2046690;749241;933377;364072;617699;381753;180262;55680;2664386;549636;358632;563635;480636;711847
15;2034;18227828;17965214;4753273;3562865;8761588;620035;267453;262614;8604490;3562868;5041622;4380791;620031;40800;8604490;3562868;5041622;2699236;931658;991027;419701;2.09;2672904;1127409;1121822;423677;2052873;744953;940376;367544;620031;382456;181446;56133;2672912;549253;360027;576563;481539;705530
16;2035;18268867;18002614;4769781;3585239;8756616;622213;268765;266253;8626577;3585234;5041343;4378306;622205;40832;8626577;3585234;5041343;2691775;928430;997674;423463;2.09;2680650;1123793;1129588;427269;2058445;740714;946963;370768;622205;383079;182625;56501;2680648;548107;360495;587217;488754;696075
17;2036;18306472;18036584;4786769;3605350;8749705;624828;269932;269888;8645858;3605341;5040517;4374851;624826;40840;8645858;3605341;5040517;2683114;926437;1004129;426837;2.09;2689416;1121678;1137251;430483;2064590;737636;953342;373612;624826;384042;183909;56871;2689412;546522;360584;595282;501749;685275
18;2037;18340478;18067030;4804008;3623400;8740982;627622;271018;273448;8662324;3623404;5038920;4370491;627611;40818;8662324;3623404;5038920;2673998;925226;1009974;429721;2.09;2698054;1120535;1144341;433177;2070443;735327;959125;375991;627611;385208;185216;57186;2698055;544241;360425;600799;515995;676595
19;2038;18370817;18093967;4821076;3639423;8730710;630794;271964;276850;8676327;3639411;5036916;4365358;630787;40771;8676327;3639411;5036916;2664221;924919;1015433;432344;2.09;2707388;1120726;1151060;435599;2076601;733924;964532;378145;630787;386802;186528;57454;2707380;541473;360188;604480;530418;670821
20;2039;18397580;18117456;4837526;3653701;8719191;634207;272831;280124;8688216;3653698;5034518;4359593;634203;40722;8688216;3653698;5034518;2653786;925623;1020526;434582;2.09;2717068;1121887;1157501;437681;2082865;733404;969531;379930;634203;388483;187970;57751;2717071;538394;359693;606845;543883;668256
21;2040;18421007;18137800;4852944;3666681;8706772;637755;273648;283207;8698484;3666661;5031823;4353384;637751;40688;8698484;3666661;5031823;2643222;927396;1024857;436347;2.09;2726888;1124543;1163064;439281;2089137;734095;973762;381280;637751;390448;189302;58001;2726889;535202;358727;608272;556446;668242
22;2041;18441210;18155143;4866906;3678879;8693761;641100;274497;286067;8707505;3678888;5028617;4346876;641094;40647;8707505;3678888;5028617;2633320;929765;1028050;437483;2.08;2735591;1128101;1167312;440181;2094497;735585;976885;382027;641094;392516;190427;58154;2735595;531834;357081;608858;566938;670884
23;2042;18458355;18169594;4879084;3690363;8680575;644221;275351;288761;8715513;3690348;5025165;4340292;644229;40644;8715513;3690348;5025165;2624247;932718;1030182;438018;2.08;2743320;1132605;1170248;440464;2099091;737896;978955;382240;644229;394709;191293;58224;2743319;528556;354949;608726;574676;676412
24;2043;18472807;18181515;4889232;3701310;8667614;647152;276207;291292;8722922;3701313;5021609;4333808;647156;40645;8722922;3701313;5021609;2615656;936207;1031541;438205;2.08;2750428;1137776;1172269;440384;2103272;740878;980255;382139;647156;396898;192014;58245;2750433;525609;352569;607985;580002;684268
25;2044;18484967;18191266;4897117;3711816;8655267;650016;277050;293701;8730118;3711828;5018290;4327633;650006;40651;8730118;3711828;5018290;2607691;940137;1032294;438168;2.08;2757130;1143437;1173632;440063;2107124;744329;980952;381843;650006;399108;192680;58220;2757134;523195;350128;606635;583503;693673
26;2045;18495155;18199088;4902597;3722000;8644013;652587;277891;296067;8737283;3721993;5015290;4322006;652576;40708;8737283;3721993;5015290;2600621;944301;1032480;437887;2.08;2763108;1149261;1174323;439524;2110532;748105;981078;381349;652576;401156;193245;58175;2763110;521328;347779;604607;585695;703701
27;2046;18503451;18205062;4905597;3731883;8633967;654866;278749;298389;8744500;3731875;5012625;4316983;654863;40779;8744500;3731875;5012625;2594674;948796;1031945;437210;2.08;2768238;1155554;1174125;438556;2113375;752389;980498;380488;654863;403165;193627;58068;2768238;519995;345690;601826;587034;713693
28;2047;18510470;18209759;4906209;3741656;8625446;656812;279636;300711;8752059;3741650;5010409;4312729;656802;40878;8752059;3741650;5010409;2589906;953259;1030957;436288;2.08;2772413;1161729;1173311;437371;2115611;756755;979446;379410;656802;404974;193865;57961;2772412;519246;343942;598341;587746;723137
29;2048;18516521;18213493;4904648;3751179;8618704;658411;280551;303028;8759929;3751166;5008763;4309353;658397;41013;8759929;3751166;5008763;2586292;957554;1029690;435227;2.08;2775735;1167540;1172124;436074;2117338;761013;978108;378217;658397;406527;194016;57857;2775742;519150;342544;594480;587918;731650
30;2049;18521824;18216515;4901266;3760352;8613797;659592;281508;305309;8768005;3760354;5007651;4306899;659590;41162;8768005;3760354;5007651;2583995;961703;1028029;433923;2.08;2778098;1173198;1170437;434464;2118508;765265;976436;376807;659590;407933;194001;57657;2778100;519796;341373;590478;587478;738975
31;2050;18526603;18219093;4896505;3768964;8610765;660373;282486;307510;8776022;3768954;5007068;4305386;660356;41326;8776022;3768954;5007068;2582631;965632;1026236;432569;2.08;2779709;1178373;1168524;432816;2119353;769376;974630;375347;660356;408997;193894;57469;2779712;521297;340420;586580;586320;745095
32;2051;18531255;18221668;4890900;3776862;8609713;660717;283476;309587;8783941;3776853;5007088;4304855;660729;41504;8783941;3776853;5007088;2582411;969355;1024245;431076;2.07;2780625;1183363;1166269;430992;2119896;773459;972670;373767;660729;409904;193599;57225;2780624;523603;339725;582896;584388;750012
33;2052;18536121;18224638;4884992;3783967;8610549;660665;284465;311483;8791568;3783960;5007608;4305270;660648;41690;8791568;3783960;5007608;2582874;972716;1022356;429662;2.07;2780935;1187610;1164039;429286;2120287;777221;970797;372269;660648;410389;193242;57017;2780938;526618;339412;579462;581568;753878
34;2053;18541602;18228452;4879277;3790191;8613237;660314;285433;313150;8798989;3790193;5008796;4306620;660305;41871;8798989;3790193;5008796;2583870;975629;1020821;428476;2.07;2781025;1190978;1162195;427853;2120720;780469;969258;370993;660305;410509;192937;56860;2781028;530264;339621;576363;577936;756844
35;2054;18547938;18233391;4874211;3795404;8617716;659699;286361;314547;8806006;3795388;5010618;4308861;659698;42059;8806006;3795388;5010618;2585509;978292;1019411;427406;2.07;2780963;1194012;1160415;426532;2121265;783539;967870;369856;659698;410473;192545;56676;2780959;534377;340351;573625;573782;758824
36;2055;18555636;18240002;4870242;3799630;8623970;658907;287253;315634;8812753;3799639;5013114;4311987;658907;42220;8812753;3799639;5013114;2587582;980560;1018332;426641;2.07;2780956;1196475;1158948;425536;2122049;786227;966810;369012;658907;410248;192138;56524;2780959;538833;341598;571296;569427;759805
37;2056;18564985;18248610;4867699;3802857;8631974;657980;288100;316375;8819174;3802859;5016315;4315985;657964;42366;8819174;3802859;5016315;2590140;982643;1017505;426027;2.07;2781099;1198734;1157664;424699;2123135;788804;966005;368326;657964;409930;191659;56373;2781098;543459;343302;569479;565091;759767
38;2057;18576252;18259491;4866837;3805147;8641621;656982;288904;316761;8825441;3805144;5020297;4320803;656979;42515;8825441;3805144;5020297;2593046;984275;1017205;425771;2.07;2781518;1200272;1156973;424276;2124539;790834;965711;367994;656979;409438;191262;56282;2781525;548073;345418;568325;560925;758784
39;2058;18589569;18272795;4867784;3806508;8652903;655946;289654;316774;8831532;3806507;5025025;4326450;655932;42643;8831532;3806507;5025025;2596207;985318;1017535;425965;2.07;2782201;1200862;1156982;424359;2126269;792157;966020;368092;655932;408705;190962;56267;2782198;552452;347918;567947;556976;756905
40;2059;18605211;18288787;4870624;3807131;8665745;654933;290354;316424;8837666;3807125;5030541;4332876;654917;42748;8837666;3807125;5030541;2599810;985963;1018277;426491;2.07;2783248;1201063;1157385;424800;2128331;793089;966733;368509;654917;407974;190652;56291;2783250;556459;350716;568474;553327;754274
41;2060;18623140;18307421;4875311;3807137;8680013;653958;291002;315719;8843915;3807124;5036791;4340005;653950;42836;8843915;3807124;5036791;2603787;986309;1019412;427284;2.07;2784663;1200903;1158255;425507;2130713;793667;967854;369192;653950;407236;190401;56315;2784662;559552;353892;570077;550067;751074
