ID;Geslacht;Studierichting;Perioden;Gepromoveerden_1
37;Totaal mannen en vrouwen;2;2001/'02;200
38;Totaal mannen en vrouwen;2;2002/'03;210
39;Totaal mannen en vrouwen;2;2003/'04;200
40;Totaal mannen en vrouwen;2;2004/'05;209
41;Totaal mannen en vrouwen;2;2005/'06;230
42;Totaal mannen en vrouwen;2;2006/'07;233
43;Totaal mannen en vrouwen;2;2007/'08;237
44;Totaal mannen en vrouwen;2;2008/'09;257
45;Totaal mannen en vrouwen;2;2009/'10;283
46;Totaal mannen en vrouwen;2;2010/'11;272
47;Totaal mannen en vrouwen;2;2011/'12;305
48;Totaal mannen en vrouwen;2;2012/'13;310
49;Totaal mannen en vrouwen;2;2013/'14;322
50;Totaal mannen en vrouwen;2;2014/'15;323
51;Totaal mannen en vrouwen;2;2015/'16;328
52;Totaal mannen en vrouwen;3;1990/'91;411
53;Totaal mannen en vrouwen;3;1991/'92;372
54;Totaal mannen en vrouwen;3;1992/'93;414
55;Totaal mannen en vrouwen;3;1993/'94;469
56;Totaal mannen en vrouwen;3;1994/'95;453
57;Totaal mannen en vrouwen;3;1995/'96;499
58;Totaal mannen en vrouwen;3;1996/'97;466
59;Totaal mannen en vrouwen;3;1997/'98;452
60;Totaal mannen en vrouwen;3;1998/'99;464
61;Totaal mannen en vrouwen;3;1999/'00;548
62;Totaal mannen en vrouwen;3;2000/'01;494
63;Totaal mannen en vrouwen;3;2001/'02;453
64;Totaal mannen en vrouwen;3;2002/'03;493
65;Totaal mannen en vrouwen;3;2003/'04;416
66;Totaal mannen en vrouwen;3;2004/'05;514
67;Totaal mannen en vrouwen;3;2005/'06;566
68;Totaal mannen en vrouwen;3;2006/'07;591
69;Totaal mannen en vrouwen;3;2007/'08;607
70;Totaal mannen en vrouwen;3;2008/'09;676
71;Totaal mannen en vrouwen;3;2009/'10;720
72;Totaal mannen en vrouwen;3;2010/'11;709
73;Totaal mannen en vrouwen;3;2011/'12;804
74;Totaal mannen en vrouwen;3;2012/'13;868
75;Totaal mannen en vrouwen;3;2013/'14;913
76;Totaal mannen en vrouwen;3;2014/'15;968
77;Totaal mannen en vrouwen;3;2015/'16;1047
78;Totaal mannen en vrouwen;4;1990/'91;454
79;Totaal mannen en vrouwen;4;1991/'92;481
80;Totaal mannen en vrouwen;4;1992/'93;528
81;Totaal mannen en vrouwen;4;1993/'94;516
82;Totaal mannen en vrouwen;4;1994/'95;533
83;Totaal mannen en vrouwen;4;1995/'96;594
84;Totaal mannen en vrouwen;4;1996/'97;481
85;Totaal mannen en vrouwen;4;1997/'98;496
86;Totaal mannen en vrouwen;4;1998/'99;464
87;Totaal mannen en vrouwen;4;1999/'00;446
88;Totaal mannen en vrouwen;4;2000/'01;530
89;Totaal mannen en vrouwen;4;2001/'02;467
90;Totaal mannen en vrouwen;4;2002/'03;478
91;Totaal mannen en vrouwen;4;2003/'04;499
92;Totaal mannen en vrouwen;4;2004/'05;508
93;Totaal mannen en vrouwen;4;2005/'06;479
94;Totaal mannen en vrouwen;4;2006/'07;501
95;Totaal mannen en vrouwen;4;2007/'08;489
96;Totaal mannen en vrouwen;4;2008/'09;523
97;Totaal mannen en vrouwen;4;2009/'10;626
98;Totaal mannen en vrouwen;4;2010/'11;599
99;Totaal mannen en vrouwen;4;2011/'12;625
100;Totaal mannen en vrouwen;4;2012/'13;642
101;Totaal mannen en vrouwen;4;2013/'14;626
102;Totaal mannen en vrouwen;4;2014/'15;637
103;Totaal mannen en vrouwen;4;2015/'16;728
104;Totaal mannen en vrouwen;5;1990/'91;287
105;Totaal mannen en vrouwen;5;1991/'92;300
106;Totaal mannen en vrouwen;5;1992/'93;392
107;Totaal mannen en vrouwen;5;1993/'94;373
108;Totaal mannen en vrouwen;5;1994/'95;409
109;Totaal mannen en vrouwen;5;1995/'96;401
110;Totaal mannen en vrouwen;5;1996/'97;450
111;Totaal mannen en vrouwen;5;1997/'98;437
112;Totaal mannen en vrouwen;5;1998/'99;420
113;Totaal mannen en vrouwen;5;1999/'00;396
114;Totaal mannen en vrouwen;5;2000/'01;390
115;Totaal mannen en vrouwen;5;2001/'02;444
116;Totaal mannen en vrouwen;5;2002/'03;453
117;Totaal mannen en vrouwen;5;2003/'04;483
118;Totaal mannen en vrouwen;5;2004/'05;557
119;Totaal mannen en vrouwen;5;2005/'06;535
120;Totaal mannen en vrouwen;5;2006/'07;549
121;Totaal mannen en vrouwen;5;2007/'08;563
122;Totaal mannen en vrouwen;5;2008/'09;601
123;Totaal mannen en vrouwen;5;2009/'10;709
124;Totaal mannen en vrouwen;5;2010/'11;719
125;Totaal mannen en vrouwen;5;2011/'12;710
126;Totaal mannen en vrouwen;5;2012/'13;808
127;Totaal mannen en vrouwen;5;2013/'14;824
128;Totaal mannen en vrouwen;5;2014/'15;821
129;Totaal mannen en vrouwen;5;2015/'16;812
130;Totaal mannen en vrouwen;6;1990/'91;100
131;Totaal mannen en vrouwen;6;1991/'92;126
132;Totaal mannen en vrouwen;6;1992/'93;159
133;Totaal mannen en vrouwen;6;1993/'94;178
134;Totaal mannen en vrouwen;6;1994/'95;204
135;Totaal mannen en vrouwen;6;1995/'96;191
136;Totaal mannen en vrouwen;6;1996/'97;206
137;Totaal mannen en vrouwen;6;1997/'98;196
138;Totaal mannen en vrouwen;6;1998/'99;219
139;Totaal mannen en vrouwen;6;1999/'00;209
140;Totaal mannen en vrouwen;6;2000/'01;229
141;Totaal mannen en vrouwen;6;2001/'02;264
142;Totaal mannen en vrouwen;6;2002/'03;219
143;Totaal mannen en vrouwen;6;2003/'04;259
144;Totaal mannen en vrouwen;6;2004/'05;221
145;Totaal mannen en vrouwen;6;2005/'06;250
146;Totaal mannen en vrouwen;6;2006/'07;266
147;Totaal mannen en vrouwen;6;2007/'08;289
148;Totaal mannen en vrouwen;6;2008/'09;222
149;Totaal mannen en vrouwen;6;2009/'10;237
150;Totaal mannen en vrouwen;6;2010/'11;230
151;Totaal mannen en vrouwen;6;2011/'12;267
152;Totaal mannen en vrouwen;6;2012/'13;280
153;Totaal mannen en vrouwen;6;2013/'14;340
154;Totaal mannen en vrouwen;6;2014/'15;322
155;Totaal mannen en vrouwen;6;2015/'16;373
156;Totaal mannen en vrouwen;7;1990/'91;471
157;Totaal mannen en vrouwen;7;1991/'92;514
158;Totaal mannen en vrouwen;7;1992/'93;632
159;Totaal mannen en vrouwen;7;1993/'94;639
160;Totaal mannen en vrouwen;7;1994/'95;646
161;Totaal mannen en vrouwen;7;1995/'96;665
162;Totaal mannen en vrouwen;7;1996/'97;647
163;Totaal mannen en vrouwen;7;1997/'98;682
164;Totaal mannen en vrouwen;7;1998/'99;675
165;Totaal mannen en vrouwen;7;1999/'00;680
166;Totaal mannen en vrouwen;7;2000/'01;668
167;Totaal mannen en vrouwen;7;2001/'02;721
168;Totaal mannen en vrouwen;7;2002/'03;715
169;Totaal mannen en vrouwen;7;2003/'04;809
170;Totaal mannen en vrouwen;7;2004/'05;870
171;Totaal mannen en vrouwen;7;2005/'06;933
172;Totaal mannen en vrouwen;7;2006/'07;1020
173;Totaal mannen en vrouwen;7;2007/'08;1029
174;Totaal mannen en vrouwen;7;2008/'09;1022
175;Totaal mannen en vrouwen;7;2009/'10;1161
176;Totaal mannen en vrouwen;7;2010/'11;1186
177;Totaal mannen en vrouwen;7;2011/'12;1329
178;Totaal mannen en vrouwen;7;2012/'13;1413
179;Totaal mannen en vrouwen;7;2013/'14;1503
180;Totaal mannen en vrouwen;7;2014/'15;1592
181;Totaal mannen en vrouwen;7;2015/'16;1679
182;Mannen;9;1990/'91;1559
183;Mannen;9;1991/'92;1596
184;Mannen;9;1992/'93;1881
185;Mannen;9;1993/'94;1837
186;Mannen;9;1994/'95;1893
187;Mannen;9;1995/'96;1885
188;Mannen;9;1996/'97;1795
189;Mannen;9;1997/'98;1779
190;Mannen;9;1998/'99;1730
191;Mannen;9;1999/'00;1673
192;Mannen;9;2000/'01;1729
193;Mannen;9;2001/'02;1664
194;Mannen;9;2002/'03;1638
195;Mannen;9;2003/'04;1703
196;Mannen;9;2004/'05;1781
197;Mannen;9;2005/'06;1836
198;Mannen;9;2006/'07;1839
199;Mannen;9;2007/'08;1873
200;Mannen;9;2008/'09;1928
201;Mannen;9;2009/'10;2165
202;Mannen;9;2010/'11;2089
203;Mannen;9;2011/'12;2225
204;Mannen;9;2012/'13;2324
205;Mannen;9;2013/'14;2386
206;Mannen;9;2014/'15;2373
207;Mannen;9;2015/'16;2547
208;Mannen;2;1990/'91;140
209;Mannen;2;1991/'92;152
210;Mannen;2;1992/'93;160
211;Mannen;2;1993/'94;144
212;Mannen;2;1994/'95;165
213;Mannen;2;1995/'96;158
214;Mannen;2;1996/'97;156
215;Mannen;2;1997/'98;162
216;Mannen;2;1998/'99;144
217;Mannen;2;1999/'00;115
218;Mannen;2;2000/'01;145
219;Mannen;2;2001/'02;106
220;Mannen;2;2002/'03;124
221;Mannen;2;2003/'04;112
222;Mannen;2;2004/'05;112
223;Mannen;2;2005/'06;139
224;Mannen;2;2006/'07;133
225;Mannen;2;2007/'08;140
226;Mannen;2;2008/'09;139
227;Mannen;2;2009/'10;146
228;Mannen;2;2010/'11;151
229;Mannen;2;2011/'12;186
230;Mannen;2;2012/'13;170
231;Mannen;2;2013/'14;177
232;Mannen;2;2014/'15;169
233;Mannen;2;2015/'16;176
234;Mannen;3;1990/'91;310
235;Mannen;3;1991/'92;272
236;Mannen;3;1992/'93;306
237;Mannen;3;1993/'94;341
238;Mannen;3;1994/'95;327
239;Mannen;3;1995/'96;323
240;Mannen;3;1996/'97;319
241;Mannen;3;1997/'98;298
242;Mannen;3;1998/'99;313
243;Mannen;3;1999/'00;347
244;Mannen;3;2000/'01;310
245;Mannen;3;2001/'02;287
246;Mannen;3;2002/'03;279
247;Mannen;3;2003/'04;260
248;Mannen;3;2004/'05;290
249;Mannen;3;2005/'06;319
250;Mannen;3;2006/'07;304
251;Mannen;3;2007/'08;321
252;Mannen;3;2008/'09;372
253;Mannen;3;2009/'10;384
254;Mannen;3;2010/'11;371
255;Mannen;3;2011/'12;411
256;Mannen;3;2012/'13;443
257;Mannen;3;2013/'14;425
258;Mannen;3;2014/'15;452
259;Mannen;3;2015/'16;510
260;Mannen;4;1990/'91;402
261;Mannen;4;1991/'92;409
262;Mannen;4;1992/'93;446
263;Mannen;4;1993/'94;420
264;Mannen;4;1994/'95;427
265;Mannen;4;1995/'96;478
266;Mannen;4;1996/'97;367
267;Mannen;4;1997/'98;392
268;Mannen;4;1998/'99;345
269;Mannen;4;1999/'00;319
270;Mannen;4;2000/'01;395
271;Mannen;4;2001/'02;344
272;Mannen;4;2002/'03;337
273;Mannen;4;2003/'04;350
274;Mannen;4;2004/'05;348
275;Mannen;4;2005/'06;338
276;Mannen;4;2006/'07;343
277;Mannen;4;2007/'08;337
278;Mannen;4;2008/'09;357
279;Mannen;4;2009/'10;409
280;Mannen;4;2010/'11;372
281;Mannen;4;2011/'12;419
282;Mannen;4;2012/'13;401
283;Mannen;4;2013/'14;401
284;Mannen;4;2014/'15;413
285;Mannen;4;2015/'16;483
286;Mannen;5;1990/'91;269
287;Mannen;5;1991/'92;281
288;Mannen;5;1992/'93;379
289;Mannen;5;1993/'94;331
290;Mannen;5;1994/'95;371
291;Mannen;5;1995/'96;362
292;Mannen;5;1996/'97;405
293;Mannen;5;1997/'98;388
294;Mannen;5;1998/'99;353
295;Mannen;5;1999/'00;337
296;Mannen;5;2000/'01;336
297;Mannen;5;2001/'02;364
298;Mannen;5;2002/'03;363
299;Mannen;5;2003/'04;370
300;Mannen;5;2004/'05;446
301;Mannen;5;2005/'06;426
302;Mannen;5;2006/'07;418
303;Mannen;5;2007/'08;429
304;Mannen;5;2008/'09;440
305;Mannen;5;2009/'10;550
306;Mannen;5;2010/'11;540
307;Mannen;5;2011/'12;515
308;Mannen;5;2012/'13;590
309;Mannen;5;2013/'14;600
310;Mannen;5;2014/'15;592
311;Mannen;5;2015/'16;581
312;Mannen;6;1990/'91;80
313;Mannen;6;1991/'92;99
314;Mannen;6;1992/'93;117
315;Mannen;6;1993/'94;143
316;Mannen;6;1994/'95;144
317;Mannen;6;1995/'96;136
318;Mannen;6;1996/'97;146
319;Mannen;6;1997/'98;152
320;Mannen;6;1998/'99;156
321;Mannen;6;1999/'00;143
322;Mannen;6;2000/'01;154
323;Mannen;6;2001/'02;172
324;Mannen;6;2002/'03;122
325;Mannen;6;2003/'04;158
326;Mannen;6;2004/'05;141
327;Mannen;6;2005/'06;155
328;Mannen;6;2006/'07;163
329;Mannen;6;2007/'08;154
330;Mannen;6;2008/'09;139
331;Mannen;6;2009/'10;129
332;Mannen;6;2010/'11;121
333;Mannen;6;2011/'12;120
334;Mannen;6;2012/'13;142
335;Mannen;6;2013/'14;169
336;Mannen;6;2014/'15;149
337;Mannen;6;2015/'16;165
338;Mannen;7;1990/'91;358
339;Mannen;7;1991/'92;383
340;Mannen;7;1992/'93;473
341;Mannen;7;1993/'94;462
342;Mannen;7;1994/'95;459
343;Mannen;7;1995/'96;428
344;Mannen;7;1996/'97;402
345;Mannen;7;1997/'98;387
346;Mannen;7;1998/'99;419
347;Mannen;7;1999/'00;412
348;Mannen;7;2000/'01;389
349;Mannen;7;2001/'02;391
350;Mannen;7;2002/'03;413
351;Mannen;7;2003/'04;453
352;Mannen;7;2004/'05;444
353;Mannen;7;2005/'06;459
354;Mannen;7;2006/'07;478
355;Mannen;7;2007/'08;492
356;Mannen;7;2008/'09;481
357;Mannen;7;2009/'10;547
358;Mannen;7;2010/'11;534
359;Mannen;7;2011/'12;574
360;Mannen;7;2012/'13;578
361;Mannen;7;2013/'14;614
362;Mannen;7;2014/'15;598
363;Mannen;7;2015/'16;632
364;Vrouwen;9;1990/'91;339
365;Vrouwen;9;1991/'92;397
366;Vrouwen;9;1992/'93;463
367;Vrouwen;9;1993/'94;556
368;Vrouwen;9;1994/'95;592
369;Vrouwen;9;1995/'96;715
370;Vrouwen;9;1996/'97;682
371;Vrouwen;9;1997/'98;726
372;Vrouwen;9;1998/'99;744
373;Vrouwen;9;1999/'00;805
374;Vrouwen;9;2000/'01;797
375;Vrouwen;9;2001/'02;885
376;Vrouwen;9;2002/'03;930
377;Vrouwen;9;2003/'04;963
378;Vrouwen;9;2004/'05;1098
379;Vrouwen;9;2005/'06;1157
380;Vrouwen;9;2006/'07;1321
381;Vrouwen;9;2007/'08;1341
382;Vrouwen;9;2008/'09;1373
383;Vrouwen;9;2009/'10;1571
384;Vrouwen;9;2010/'11;1626
385;Vrouwen;9;2011/'12;1815
386;Vrouwen;9;2012/'13;1997
387;Vrouwen;9;2013/'14;2142
388;Vrouwen;9;2014/'15;2290
389;Vrouwen;9;2015/'16;2420
390;Vrouwen;2;1990/'91;35
391;Vrouwen;2;1991/'92;53
392;Vrouwen;2;1992/'93;59
393;Vrouwen;2;1993/'94;79
394;Vrouwen;2;1994/'95;75
395;Vrouwen;2;1995/'96;92
396;Vrouwen;2;1996/'97;71
397;Vrouwen;2;1997/'98;80
398;Vrouwen;2;1998/'99;88
399;Vrouwen;2;1999/'00;84
400;Vrouwen;2;2000/'01;70
401;Vrouwen;2;2001/'02;94
402;Vrouwen;2;2002/'03;86
403;Vrouwen;2;2003/'04;88
404;Vrouwen;2;2004/'05;97
405;Vrouwen;2;2005/'06;91
406;Vrouwen;2;2006/'07;100
407;Vrouwen;2;2007/'08;97
408;Vrouwen;2;2008/'09;118
409;Vrouwen;2;2009/'10;137
410;Vrouwen;2;2010/'11;121
411;Vrouwen;2;2011/'12;119
412;Vrouwen;2;2012/'13;140
413;Vrouwen;2;2013/'14;145
414;Vrouwen;2;2014/'15;154
415;Vrouwen;2;2015/'16;152
416;Vrouwen;3;1990/'91;101
417;Vrouwen;3;1991/'92;100
418;Vrouwen;3;1992/'93;108
419;Vrouwen;3;1993/'94;128
420;Vrouwen;3;1994/'95;126
421;Vrouwen;3;1995/'96;176
422;Vrouwen;3;1996/'97;147
423;Vrouwen;3;1997/'98;154
424;Vrouwen;3;1998/'99;151
425;Vrouwen;3;1999/'00;201
426;Vrouwen;3;2000/'01;184
427;Vrouwen;3;2001/'02;166
428;Vrouwen;3;2002/'03;214
429;Vrouwen;3;2003/'04;156
430;Vrouwen;3;2004/'05;224
431;Vrouwen;3;2005/'06;247
432;Vrouwen;3;2006/'07;287
433;Vrouwen;3;2007/'08;286
434;Vrouwen;3;2008/'09;304
435;Vrouwen;3;2009/'10;336
436;Vrouwen;3;2010/'11;338
437;Vrouwen;3;2011/'12;393
438;Vrouwen;3;2012/'13;425
439;Vrouwen;3;2013/'14;488
440;Vrouwen;3;2014/'15;516
441;Vrouwen;3;2015/'16;537
442;Vrouwen;4;1990/'91;52
443;Vrouwen;4;1991/'92;67
444;Vrouwen;4;1992/'93;82
445;Vrouwen;4;1993/'94;96
446;Vrouwen;4;1994/'95;106
447;Vrouwen;4;1995/'96;116
448;Vrouwen;4;1996/'97;114
449;Vrouwen;4;1997/'98;104
450;Vrouwen;4;1998/'99;119
451;Vrouwen;4;1999/'00;127
452;Vrouwen;4;2000/'01;135
453;Vrouwen;4;2001/'02;123
454;Vrouwen;4;2002/'03;141
455;Vrouwen;4;2003/'04;149
456;Vrouwen;4;2004/'05;160
457;Vrouwen;4;2005/'06;141
458;Vrouwen;4;2006/'07;158
459;Vrouwen;4;2007/'08;152
460;Vrouwen;4;2008/'09;166
461;Vrouwen;4;2009/'10;217
462;Vrouwen;4;2010/'11;227
463;Vrouwen;4;2011/'12;206
464;Vrouwen;4;2012/'13;241
465;Vrouwen;4;2013/'14;225
466;Vrouwen;4;2014/'15;224
467;Vrouwen;4;2015/'16;245
468;Vrouwen;5;1990/'91;18
469;Vrouwen;5;1991/'92;19
470;Vrouwen;5;1992/'93;13
471;Vrouwen;5;1993/'94;42
472;Vrouwen;5;1994/'95;38
473;Vrouwen;5;1995/'96;39
474;Vrouwen;5;1996/'97;45
475;Vrouwen;5;1997/'98;49
476;Vrouwen;5;1998/'99;67
477;Vrouwen;5;1999/'00;59
478;Vrouwen;5;2000/'01;54
479;Vrouwen;5;2001/'02;80
480;Vrouwen;5;2002/'03;90
481;Vrouwen;5;2003/'04;113
482;Vrouwen;5;2004/'05;111
483;Vrouwen;5;2005/'06;109
484;Vrouwen;5;2006/'07;131
485;Vrouwen;5;2007/'08;134
486;Vrouwen;5;2008/'09;161
487;Vrouwen;5;2009/'10;159
488;Vrouwen;5;2010/'11;179
489;Vrouwen;5;2011/'12;195
490;Vrouwen;5;2012/'13;218
491;Vrouwen;5;2013/'14;224
492;Vrouwen;5;2014/'15;229
493;Vrouwen;5;2015/'16;231
494;Vrouwen;6;1990/'91;20
495;Vrouwen;6;1991/'92;27
496;Vrouwen;6;1992/'93;42
497;Vrouwen;6;1993/'94;35
498;Vrouwen;6;1994/'95;60
499;Vrouwen;6;1995/'96;55
500;Vrouwen;6;1996/'97;60
501;Vrouwen;6;1997/'98;44
502;Vrouwen;6;1998/'99;63
503;Vrouwen;6;1999/'00;66
504;Vrouwen;6;2000/'01;75
505;Vrouwen;6;2001/'02;92
506;Vrouwen;6;2002/'03;97
507;Vrouwen;6;2003/'04;101
508;Vrouwen;6;2004/'05;80
509;Vrouwen;6;2005/'06;95
510;Vrouwen;6;2006/'07;103
511;Vrouwen;6;2007/'08;135
512;Vrouwen;6;2008/'09;83
513;Vrouwen;6;2009/'10;108
514;Vrouwen;6;2010/'11;109
515;Vrouwen;6;2011/'12;147
516;Vrouwen;6;2012/'13;138
517;Vrouwen;6;2013/'14;171
518;Vrouwen;6;2014/'15;173
519;Vrouwen;6;2015/'16;208
520;Vrouwen;7;1990/'91;113
521;Vrouwen;7;1991/'92;131
522;Vrouwen;7;1992/'93;159
523;Vrouwen;7;1993/'94;177
524;Vrouwen;7;1994/'95;187
525;Vrouwen;7;1995/'96;237
526;Vrouwen;7;1996/'97;245
527;Vrouwen;7;1997/'98;295
528;Vrouwen;7;1998/'99;256
529;Vrouwen;7;1999/'00;268
530;Vrouwen;7;2000/'01;279
531;Vrouwen;7;2001/'02;330
532;Vrouwen;7;2002/'03;302
533;Vrouwen;7;2003/'04;356
534;Vrouwen;7;2004/'05;426
535;Vrouwen;7;2005/'06;474
536;Vrouwen;7;2006/'07;542
537;Vrouwen;7;2007/'08;537
538;Vrouwen;7;2008/'09;541
539;Vrouwen;7;2009/'10;614
540;Vrouwen;7;2010/'11;652
541;Vrouwen;7;2011/'12;755
542;Vrouwen;7;2012/'13;835
543;Vrouwen;7;2013/'14;889
544;Vrouwen;7;2014/'15;994
545;Vrouwen;7;2015/'16;1047
