ID;EconomicSectorsSIC93;Periods;JobsPersonsEmployed_1;LabourVolumePersonsEmployed_2;EmployeesOnTheCompanyPayroll_3;LabourVolumeEmployeesOnThePayroll_4;TotalBusinessReturns_5;NetTotalTurnover_6;NetTurnoverFromPrincipalActivity_7;NetTurnoverFromSecondaryActivities_8;OtherBusinessReturns_9;TotalBusinessCosts_10;TotalPurchasingCosts_11;CostsOfRawAndAuxiliaryMaterials_12;CostsOfCommodities_13;TotalPersonnelCosts_14;GrossWagesAndSalaries_15;OtherPersonnelCosts_16;OtherBusinessCostsTotal_17;EnergyCosts_18;HousingCosts_19;EquipmentAndInventoryCosts_20;TransportCosts_21;SalesCosts_22;CommunicationCosts_23;ServicesProvidedByThirdParties_24;BusinessCostsNotElsewhereClassified_25;DepreciationFixedAssets_26;ProfitLoss_27;ProfitLossBeforeTax_28
16;502 Service and repair of motor vehicles;2007;24.5;21.8;19.9;17.4;2367.0;2353.0;2332.0;21.0;14.0;2133.0;1011.0;965.0;15.0;651.0;492.0;159.0;397.0;37.0;128.0;23.0;46.0;36.0;14.0;39.0;76.0;73.0;235.0;226.0
17;502 Service and repair of motor vehicles;2008;25.6;22.7;20.7;18.0;2531.0;2510.0;2505.0;5.0;21.0;2285.0;1092.0;1036.0;0.0;679.0;512.0;167.0;440.0;36.0;143.0;22.0;;37.0;14.0;40.0;88.0;74.0;246.0;224.0
18;503 Sale of motor vehicle parts and ac..;2006;16.1;13.8;13.7;11.7;6602.0;6580.0;6566.0;14.0;22.0;6373.0;5450.0;83.0;5356.0;461.0;351.0;110.0;411.0;15.0;84.0;13.0;45.0;74.0;18.0;56.0;108.0;50.0;229.0;220.0
19;503 Sale of motor vehicle parts and ac..;2007;17.1;14.6;14.2;12.2;7245.0;7216.0;7191.0;25.0;29.0;6937.0;5896.0;68.0;5805.0;516.0;385.0;131.0;470.0;18.0;93.0;16.0;47.0;79.0;17.0;77.0;124.0;55.0;308.0;295.0
20;503 Sale of motor vehicle parts and ac..;2008;18.0;15.4;15.3;13.1;7747.0;7722.0;7666.0;57.0;24.0;7451.0;6382.0;44.0;6291.0;553.0;415.0;138.0;465.0;20.0;101.0;13.0;;71.0;17.0;92.0;95.0;52.0;295.0;277.0
21;5030a  Wholesale of motor vehicle parts;2006;13.3;11.5;11.5;9.9;6270.0;6249.0;6235.0;;21.0;6065.0;5234.0;82.0;;411.0;311.0;100.0;376.0;13.0;70.0;12.0;41.0;67.0;16.0;53.0;104.0;44.0;205.0;198.0
22;5030a  Wholesale of motor vehicle parts;2007;13.8;12.0;11.8;10.3;6880.0;6852.0;6828.0;25.0;28.0;6584.0;5658.0;67.0;5568.0;455.0;342.0;113.0;425.0;14.0;77.0;13.0;44.0;72.0;15.0;72.0;118.0;47.0;296.0;287.0
23;5030a  Wholesale of motor vehicle parts;2008;15.2;13.2;13.2;11.6;7392.0;7369.0;7313.0;56.0;24.0;7121.0;6146.0;43.0;6057.0;510.0;381.0;129.0;419.0;16.0;85.0;11.0;;64.0;15.0;88.0;87.0;46.0;272.0;256.0
24;50303  Retail of motor vehicle parts;2006;2.8;2.3;2.3;1.8;332.0;331.0;331.0;1.0;1.0;308.0;216.0;0.0;17.0;50.0;40.0;10.0;35.0;2.0;14.0;1.0;3.0;7.0;2.0;3.0;3.0;6.0;24.0;22.0
25;50303  Retail of motor vehicle parts;2007;3.2;2.5;2.4;1.9;365.0;364.0;364.0;1.0;1.0;353.0;238.0;1.0;237.0;61.0;44.0;18.0;45.0;4.0;17.0;3.0;2.0;7.0;2.0;5.0;5.0;9.0;12.0;9.0
26;50303  Retail of motor vehicle parts;2008;2.8;2.1;2.1;1.5;354.0;354.0;353.0;1.0;1.0;331.0;236.0;1.0;235.0;43.0;34.0;9.0;46.0;3.0;16.0;2.0;;7.0;2.0;4.0;8.0;6.0;24.0;20.0
27;504 Sale/repair of motorcycles and parts;2006;3.3;3.0;2.0;1.7;1364.0;1364.0;1352.0;12.0;1.0;1291.0;1095.0;34.0;1054.0;71.0;52.0;18.0;109.0;4.0;16.0;3.0;6.0;25.0;3.0;7.0;44.0;17.0;73.0;69.0
28;504 Sale/repair of motorcycles and parts;2007;3.9;3.4;2.4;2.0;1586.0;1585.0;1584.0;2.0;1.0;1516.0;1290.0;43.0;1246.0;81.0;60.0;20.0;129.0;5.0;19.0;3.0;5.0;30.0;3.0;11.0;53.0;16.0;70.0;60.0
29;504 Sale/repair of motorcycles and parts;2008;3.6;3.0;2.1;1.6;1503.0;1503.0;1500.0;3.0;0.0;1464.0;1235.0;36.0;1198.0;72.0;54.0;18.0;147.0;4.0;18.0;3.0;;35.0;3.0;13.0;65.0;10.0;39.0;28.0
30;505 Retail sale of automotive fuel;2006;16.1;10.7;14.6;9.6;8709.0;8694.0;8613.0;81.0;15.0;8561.0;7915.0;;;300.0;234.0;66.0;300.0;29.0;85.0;10.0;9.0;46.0;7.0;31.0;83.0;47.0;148.0;136.0
31;505 Retail sale of automotive fuel;2007;14.5;9.7;12.9;8.5;8404.0;8379.0;8319.0;60.0;25.0;8239.0;7632.0;11.0;7617.0;274.0;213.0;61.0;297.0;27.0;95.0;8.0;7.0;46.0;7.0;27.0;81.0;35.0;165.0;168.0
32;505 Retail sale of automotive fuel;2008;15.0;10.3;13.3;8.8;9189.0;9167.0;9087.0;80.0;23.0;9034.0;8385.0;8.0;8372.0;296.0;227.0;69.0;319.0;29.0;118.0;9.0;;41.0;8.0;30.0;75.0;35.0;156.0;148.0
33;55 Hotels and restaurants;2006;401.7;226.6;318.4;169.0;15589.0;15288.0;15068.0;220.0;301.0;13762.0;4408.0;4148.0;177.0;4324.0;3200.0;1124.0;4134.0;455.0;1705.0;245.0;136.0;425.0;84.0;261.0;821.0;897.0;1826.0;1711.0
34;55 Hotels and restaurants;2007;453.9;249.6;348.3;180.8;16917.0;16606.0;16378.0;228.0;312.0;14884.0;4757.0;4520.0;153.0;4811.0;3498.0;1313.0;4500.0;503.0;1757.0;279.0;138.0;466.0;100.0;312.0;945.0;817.0;2033.0;1923.0
35;55 Hotels and restaurants;2008;456.5;253.4;356.8;184.2;17773.0;17486.0;17257.0;229.0;287.0;15612.0;5137.0;4851.0;174.0;4895.0;3612.0;1283.0;4679.0;541.0;1895.0;282.0;155.0;488.0;104.0;294.0;919.0;902.0;2161.0;1998.0
36;551 Hotels;2006;59.7;38.1;52.8;32.8;3271.0;3250.0;3237.0;14.0;21.0;2882.0;522.0;506.0;5.0;1067.0;775.0;292.0;1059.0;98.0;427.0;52.0;18.0;96.0;15.0;65.0;287.0;235.0;389.0;334.0
37;551 Hotels;2007;65.6;40.7;57.1;34.3;3516.0;3493.0;3474.0;19.0;24.0;3022.0;547.0;536.0;6.0;1141.0;820.0;320.0;1112.0;106.0;448.0;56.0;16.0;105.0;17.0;71.0;292.0;221.0;495.0;464.0
38;551 Hotels;2008;66.6;41.0;57.8;35.4;3605.0;3584.0;3570.0;14.0;21.0;3154.0;559.0;549.0;5.0;1186.0;857.0;329.0;1158.0;118.0;488.0;52.0;20.0;108.0;17.0;61.0;295.0;251.0;452.0;413.0
39;552 Short-stay accommodation;2006;25.8;12.8;20.3;8.9;1385.0;1333.0;1235.0;;52.0;1231.0;345.0;300.0;34.0;294.0;220.0;74.0;463.0;70.0;185.0;25.0;13.0;66.0;14.0;29.0;61.0;129.0;154.0;169.0
40;552 Short-stay accommodation;2007;27.6;14.8;21.6;10.1;1540.0;1489.0;1388.0;101.0;50.0;1375.0;363.0;321.0;34.0;340.0;249.0;91.0;553.0;90.0;196.0;31.0;17.0;64.0;17.0;38.0;99.0;119.0;164.0;157.0
41;552 Short-stay accommodation;2008;27.7;14.4;20.6;9.5;1642.0;1601.0;1502.0;99.0;41.0;1407.0;376.0;334.0;35.0;335.0;248.0;87.0;566.0;90.0;227.0;34.0;14.0;70.0;19.0;35.0;78.0;130.0;235.0;214.0
42;553 Restaurants and cafeterias;2006;181.1;108.3;143.6;79.1;6118.0;5961.0;5866.0;94.0;157.0;5380.0;1847.0;1701.0;108.0;1550.0;1218.0;332.0;1632.0;178.0;727.0;95.0;52.0;162.0;30.0;87.0;302.0;351.0;738.0;667.0
43;553 Restaurants and cafeterias;2007;209.0;123.6;163.5;88.4;6624.0;6459.0;6362.0;97.0;165.0;5864.0;2041.0;1893.0;113.0;1727.0;1331.0;396.0;1789.0;202.0;746.0;122.0;59.0;181.0;34.0;102.0;343.0;307.0;760.0;705.0
44;553 Restaurants and cafeterias;2008;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45;55301 Restaurants;2006;114.5;68.9;93.6;53.2;3917.0;3862.0;3802.0;61.0;55.0;3476.0;1152.0;1043.0;;1114.0;872.0;243.0;990.0;103.0;464.0;59.0;26.0;93.0;19.0;57.0;169.0;219.0;441.0;399.0
46;55301 Restaurants;2007;132.5;77.6;106.5;58.3;4225.0;4168.0;4102.0;66.0;57.0;3755.0;1247.0;1136.0;87.0;1239.0;944.0;296.0;1069.0;116.0;460.0;79.0;31.0;106.0;22.0;66.0;189.0;200.0;471.0;439.0
47;55301 Restaurants;2008;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48;55302 Cafeterias;2006;66.6;39.3;50.0;25.9;2201.0;2099.0;2065.0;34.0;102.0;1904.0;695.0;659.0;;436.0;347.0;89.0;642.0;75.0;263.0;36.0;26.0;69.0;10.0;30.0;133.0;132.0;296.0;268.0
49;55302 Cafeterias;2007;76.5;46.0;57.0;30.1;2399.0;2291.0;2259.0;32.0;108.0;2109.0;794.0;757.0;25.0;488.0;387.0;100.0;721.0;86.0;286.0;43.0;28.0;75.0;12.0;37.0;154.0;107.0;289.0;265.0
50;55302 Cafeterias;2008;;;;;;;;;;;;;;;;;;;;;;;;;;;;
51;554 Pubs;2006;89.3;39.1;67.7;26.8;2601.0;2584.0;2574.0;9.0;18.0;2237.0;793.0;791.0;2.0;594.0;449.0;145.0;717.0;88.0;290.0;56.0;21.0;67.0;15.0;55.0;125.0;133.0;365.0;358.0
52;554 Pubs;2007;;;;;;;;;;;;;;;;;;;;;;;;;;;;
53;554 Pubs;2008;85.8;35.5;64.2;22.9;2743.0;2718.0;2711.0;6.0;25.0;2354.0;933.0;895.0;10.0;610.0;450.0;160.0;701.0;86.0;264.0;50.0;21.0;77.0;21.0;61.0;123.0;109.0;389.0;352.0
54;555 Canteens and catering;2006;45.7;28.4;34.1;21.3;2213.0;2160.0;2156.0;4.0;53.0;2032.0;901.0;849.0;;818.0;538.0;280.0;263.0;22.0;76.0;18.0;33.0;33.0;10.0;25.0;46.0;50.0;181.0;183.0
55;555 Canteens and catering;2007;60.3;31.2;39.4;23.5;2485.0;2433.0;2426.0;7.0;52.0;2248.0;966.0;940.0;0.0;907.0;600.0;307.0;321.0;24.0;94.0;17.0;33.0;39.0;13.0;32.0;68.0;54.0;237.0;238.0
56;555 Canteens and catering;2008;56.0;32.3;41.6;23.2;2624.0;2569.0;2560.0;9.0;54.0;2352.0;1059.0;1027.0;0.0;899.0;607.0;292.0;328.0;31.0;93.0;24.0;39.0;39.0;13.0;34.0;56.0;65.0;272.0;278.0
57;71 Renting of machinery and equipment;2006;31.2;25.3;22.6;18.5;7970.0;7871.0;7261.0;611.0;99.0;7317.0;3218.0;2654.0;358.0;867.0;626.0;241.0;725.0;20.0;132.0;33.0;123.0;118.0;40.0;98.0;159.0;2507.0;653.0;668.0
58;71 Renting of machinery and equipment;2007;33.3;26.8;24.9;20.2;8743.0;8623.0;7842.0;781.0;120.0;7872.0;3230.0;2527.0;401.0;990.0;708.0;281.0;848.0;24.0;158.0;30.0;154.0;110.0;42.0;115.0;215.0;2803.0;872.0;
59;71 Renting of machinery and equipment;2008;35.1;26.7;25.8;20.0;9364.0;9233.0;8382.0;851.0;131.0;8445.0;3663.0;2837.0;488.0;1003.0;715.0;288.0;829.0;23.0;160.0;33.0;140.0;115.0;42.0;114.0;202.0;2950.0;920.0;737.0
60;7110a Renting of vehicles;2006;8.5;7.3;7.0;6.2;5424.0;5365.0;5219.0;146.0;59.0;5122.0;2333.0;2185.0;103.0;346.0;252.0;94.0;296.0;6.0;50.0;8.0;31.0;54.0;20.0;52.0;76.0;2146.0;302.0;320.0
61;7110a Renting of vehicles;2007;9.9;8.2;8.5;7.2;5907.0;5826.0;5615.0;211.0;81.0;5501.0;2320.0;2164.0;112.0;398.0;285.0;113.0;368.0;7.0;66.0;8.0;55.0;45.0;20.0;61.0;105.0;2415.0;407.0;
62;7110a Renting of vehicles;2008;9.6;7.8;8.4;6.9;6226.0;6151.0;5901.0;249.0;75.0;5805.0;2545.0;2308.0;173.0;393.0;280.0;114.0;325.0;7.0;55.0;7.0;32.0;46.0;20.0;54.0;105.0;2542.0;421.0;254.0
63;713 Renting of other machinery/equipment;2006;9.9;8.4;7.1;6.2;1397.0;1385.0;1071.0;314.0;11.0;1204.0;494.0;242.0;;284.0;208.0;77.0;235.0;6.0;44.0;13.0;51.0;42.0;11.0;25.0;42.0;190.0;193.0;201.0
64;713 Renting of other machinery/equipment;2007;10.7;9.2;7.9;7.0;1664.0;1655.0;1291.0;363.0;9.0;1361.0;501.0;217.0;205.0;347.0;251.0;97.0;275.0;9.0;51.0;14.0;55.0;41.0;12.0;34.0;60.0;237.0;303.0;306.0
65;713 Renting of other machinery/equipment;2008;12.0;9.5;8.8;7.3;1944.0;1914.0;1542.0;373.0;30.0;1604.0;675.0;301.0;208.0;376.0;271.0;104.0;299.0;8.0;63.0;15.0;61.0;47.0;14.0;36.0;54.0;255.0;341.0;328.0
66;714 Renting of other moveable property;2006;12.9;9.7;8.5;6.1;1150.0;1121.0;971.0;150.0;29.0;992.0;390.0;226.0;66.0;237.0;166.0;70.0;194.0;8.0;38.0;12.0;41.0;23.0;9.0;21.0;41.0;170.0;158.0;147.0
67;714 Renting of other moveable property;2007;12.7;9.4;8.5;6.0;1172.0;1143.0;936.0;207.0;29.0;1011.0;409.0;147.0;83.0;244.0;172.0;72.0;206.0;8.0;41.0;8.0;44.0;23.0;10.0;20.0;50.0;152.0;161.0;143.0
68;714 Renting of other moveable property;2008;13.5;9.5;8.7;5.9;1194.0;1168.0;939.0;229.0;26.0;1037.0;444.0;228.0;107.0;234.0;164.0;70.0;206.0;8.0;42.0;10.0;47.0;23.0;9.0;24.0;43.0;153.0;158.0;156.0
69;72 Computer programming and consultancy;2006;164.9;145.0;133.9;120.8;18466.0;18321.0;17093.0;1228.0;144.0;16489.0;5002.0;3410.0;790.0;7650.0;5593.0;2057.0;3317.0;55.0;503.0;210.0;675.0;484.0;172.0;352.0;866.0;520.0;1976.0;2327.0
70;72 Computer programming and consultancy;2007;174.0;150.5;138.8;125.6;20899.0;20720.0;19221.0;1499.0;179.0;18659.0;5914.0;3715.0;1067.0;8344.0;6071.0;2273.0;3856.0;56.0;547.0;181.0;739.0;532.0;193.0;450.0;1157.0;545.0;2240.0;2746.0
71;72 Computer programming and consultancy;2008;189.8;162.3;148.7;133.5;23355.0;23137.0;21438.0;1698.0;218.0;20876.0;6539.0;4230.0;1130.0;9454.0;6847.0;2607.0;4254.0;66.0;597.0;216.0;847.0;511.0;188.0;573.0;1256.0;630.0;2478.0;2817.0
72;74 Other business services;2006;797.8;588.8;790.0;573.5;72254.0;71549.0;70385.0;1164.0;706.0;62245.0;19953.0;17005.0;530.0;28961.0;20357.0;8604.0;11667.0;262.0;2159.0;515.0;1605.0;1206.0;666.0;1400.0;3853.0;1664.0;10009.0;10122.0
73;74 Other business services;2007;857.9;651.7;906.0;640.9;81563.0;80949.0;79880.0;1069.0;614.0;69598.0;22062.0;18848.0;365.0;32961.0;22942.0;10019.0;12921.0;294.0;2310.0;582.0;1829.0;1350.0;748.0;1575.0;4234.0;1655.0;11965.0;12232.0
74;74 Other business services;2008;913.3;681.7;940.8;670.7;88603.0;87909.0;86948.0;960.0;694.0;76000.0;23007.0;18860.0;382.0;36911.0;25309.0;11602.0;14107.0;326.0;2560.0;600.0;2023.0;1445.0;779.0;1769.0;4605.0;1975.0;12602.0;12376.0
75;7411b Legal activities, accounting and..;2006;268.0;210.4;198.5;161.0;24190.0;23981.0;23592.0;389.0;209.0;19169.0;3299.0;2304.0;131.0;10370.0;7288.0;3082.0;4851.0;91.0;928.0;191.0;631.0;454.0;305.0;542.0;1710.0;649.0;5021.0;5081.0
76;7411b Legal activities, accounting and..;2007;288.1;237.6;212.0;175.2;27515.0;27282.0;26827.0;455.0;233.0;21469.0;3756.0;2489.0;144.0;11592.0;8095.0;3497.0;5474.0;107.0;992.0;224.0;714.0;543.0;343.0;619.0;1932.0;648.0;6046.0;6224.0
77;7411b Legal activities, accounting and..;2008;309.7;247.4;225.6;181.3;29882.0;29584.0;29183.0;401.0;298.0;23347.0;3926.0;2529.0;123.0;12709.0;8885.0;3825.0;5980.0;115.0;1104.0;229.0;762.0;596.0;361.0;706.0;2109.0;732.0;6534.0;6491.0
78;7411 Legal activities;2006;44.3;35.8;38.2;31.0;4884.0;4821.0;4635.0;186.0;63.0;3716.0;253.0;168.0;33.0;2324.0;1385.0;939.0;991.0;20.0;242.0;46.0;51.0;73.0;60.0;114.0;386.0;149.0;1168.0;1195.0
79;7411 Legal activities;2007;48.8;39.6;41.0;33.1;5136.0;5083.0;4922.0;161.0;53.0;4036.0;299.0;222.0;40.0;2591.0;1474.0;1117.0;1016.0;23.0;246.0;50.0;60.0;87.0;65.0;120.0;364.0;130.0;1101.0;1208.0
80;7411 Legal activities;2008;49.3;39.8;41.6;33.6;5367.0;5307.0;5140.0;167.0;61.0;4232.0;300.0;197.0;42.0;2694.0;1563.0;1131.0;1086.0;26.0;272.0;47.0;57.0;92.0;69.0;139.0;385.0;151.0;1135.0;1184.0
81;7412 Accounting;2006;104.6;84.8;81.0;67.8;8337.0;8288.0;8238.0;50.0;49.0;6633.0;498.0;196.0;5.0;4040.0;2916.0;1124.0;1797.0;42.0;420.0;75.0;228.0;130.0;120.0;211.0;572.0;298.0;1704.0;1663.0
82;7412 Accounting;2007;111.6;91.7;83.3;69.7;9057.0;8988.0;8903.0;86.0;68.0;7122.0;544.0;191.0;7.0;4339.0;3110.0;1229.0;1967.0;46.0;430.0;86.0;238.0;144.0;121.0;244.0;659.0;271.0;1935.0;1875.0
83;7412 Accounting;2008;113.0;91.6;84.0;69.4;9725.0;9635.0;9556.0;80.0;90.0;7573.0;512.0;142.0;4.0;4661.0;3316.0;1345.0;2103.0;52.0;460.0;81.0;263.0;170.0;128.0;279.0;670.0;297.0;2152.0;2057.0
84;7413a Market and economic research, in..;2006;119.1;89.8;79.3;62.2;10970.0;10872.0;10719.0;153.0;97.0;8820.0;2549.0;1940.0;;4006.0;2988.0;1019.0;2063.0;30.0;266.0;69.0;352.0;250.0;125.0;217.0;752.0;202.0;2150.0;2222.0
85;7413a Market and economic research, in..;2007;127.7;106.3;87.7;72.4;13322.0;13210.0;13002.0;208.0;112.0;10311.0;2914.0;2076.0;98.0;4662.0;3511.0;1151.0;2490.0;38.0;316.0;88.0;415.0;312.0;156.0;255.0;909.0;246.0;3011.0;3140.0
86;7413a Market and economic research, in..;2008;147.4;116.0;99.9;78.3;14789.0;14642.0;14488.0;154.0;148.0;11542.0;3113.0;2190.0;77.0;5354.0;4005.0;1349.0;2791.0;37.0;372.0;102.0;442.0;334.0;164.0;287.0;1053.0;284.0;3247.0;3249.0
87;7413 Market research, polling activities;2006;22.3;13.0;15.5;9.8;1391.0;1379.0;1371.0;9.0;11.0;1186.0;387.0;318.0;6.0;493.0;367.0;126.0;276.0;5.0;44.0;10.0;32.0;38.0;19.0;26.0;104.0;30.0;205.0;200.0
88;7413 Market research, polling activities;2007;18.0;12.8;13.0;9.4;1658.0;1648.0;1609.0;40.0;10.0;1304.0;479.0;415.0;12.0;503.0;381.0;123.0;296.0;5.0;51.0;12.0;33.0;43.0;21.0;35.0;94.0;26.0;354.0;348.0
89;7413 Market research, polling activities;2008;22.3;14.6;18.1;11.3;1768.0;1762.0;1751.0;11.0;6.0;1487.0;529.0;456.0;7.0;612.0;468.0;144.0;313.0;6.0;58.0;12.0;35.0;46.0;22.0;37.0;99.0;34.0;281.0;272.0
90;7414 Economic research;2006;96.8;76.8;63.8;52.4;9579.0;9493.0;9348.0;145.0;86.0;7634.0;2162.0;1622.0;;3513.0;2621.0;893.0;1786.0;25.0;223.0;59.0;320.0;212.0;106.0;191.0;649.0;173.0;1945.0;2023.0
91;7414 Economic research;2007;109.7;93.5;74.7;63.0;11664.0;11562.0;11394.0;169.0;102.0;9007.0;2434.0;1660.0;86.0;4158.0;3130.0;1028.0;2194.0;33.0;265.0;76.0;382.0;269.0;135.0;220.0;815.0;220.0;2657.0;2792.0
92;7414 Economic research;2008;125.1;101.4;81.8;67.0;13022.0;12880.0;12737.0;144.0;141.0;10055.0;2584.0;1733.0;70.0;4742.0;3537.0;1205.0;2478.0;32.0;314.0;90.0;408.0;289.0;142.0;251.0;954.0;250.0;2967.0;2978.0
93;742 Architects, engineers, etc.;2006;120.8;103.0;91.7;81.8;12183.0;12021.0;11845.0;176.0;163.0;10683.0;3450.0;2799.0;65.0;4982.0;3518.0;1465.0;1983.0;45.0;372.0;86.0;256.0;182.0;94.0;254.0;695.0;267.0;1501.0;1542.0
94;742 Architects, engineers, etc.;2007;126.1;111.3;95.7;85.1;13180.0;13066.0;12918.0;147.0;114.0;11445.0;3656.0;3048.0;6.0;5410.0;3754.0;1656.0;2108.0;47.0;388.0;90.0;283.0;192.0;109.0;292.0;707.0;271.0;1735.0;1758.0
95;742 Architects, engineers, etc.;2008;137.1;120.8;103.7;91.7;14519.0;14425.0;14294.0;131.0;94.0;12552.0;3721.0;2771.0;24.0;6131.0;4246.0;1885.0;2392.0;53.0;441.0;105.0;334.0;216.0;114.0;319.0;811.0;307.0;1967.0;1926.0
96;743 Testing and analysis;2006;12.2;11.0;10.3;9.3;1159.0;1144.0;1104.0;40.0;15.0;1047.0;191.0;110.0;;543.0;380.0;164.0;263.0;10.0;37.0;25.0;32.0;23.0;19.0;43.0;73.0;49.0;112.0;108.0
97;743 Testing and analysis;2007;13.6;12.1;11.3;10.2;1304.0;1289.0;1242.0;47.0;15.0;1185.0;223.0;126.0;22.0;626.0;428.0;198.0;283.0;10.0;41.0;20.0;37.0;26.0;21.0;38.0;91.0;54.0;119.0;175.0
