ID;HousingCharacteristics;Regions;Periods;AverageConsumptionOfNaturalGas_1;AverageSupplyOfElectricity_2;AverageNetSupplyOfElectricity_3;DistrictHeating_4
121;Total dwellings;Overijssel (PV);2014;1300.0;3250.0;;2.0
122;Total dwellings;Overijssel (PV);2015;1390.0;3130.0;;2.8
123;Total dwellings;Overijssel (PV);2016;1430.0;3070.0;;3.0
124;Total dwellings;Overijssel (PV);2017;1390.0;3010.0;;3.1
125;Total dwellings;Overijssel (PV);2018;1410.0;2940.0;;
126;Total dwellings;Overijssel (PV);2019;1280.0;2850.0;;3.3
127;Total dwellings;Overijssel (PV);2020;1220.0;2870.0;;3.3
128;Total dwellings;Overijssel (PV);2021;1400.0;2930.0;2540.0;3.2
129;Total dwellings;Overijssel (PV);2022;1100.0;2770.0;2220.0;3.2
130;Total dwellings;Flevoland (PV);2010;1150.0;3650.0;;31.0
131;Total dwellings;Flevoland (PV);2011;950.0;3600.0;;32.0
132;Total dwellings;Flevoland (PV);2012;950.0;3500.0;;32.9
133;Total dwellings;Flevoland (PV);2013;1000.0;3450.0;;32.8
134;Total dwellings;Flevoland (PV);2014;750.0;3350.0;;32.5
135;Total dwellings;Flevoland (PV);2015;760.0;3270.0;;33.1
136;Total dwellings;Flevoland (PV);2016;850.0;3140.0;;33.0
137;Total dwellings;Flevoland (PV);2017;810.0;3050.0;;32.7
138;Total dwellings;Flevoland (PV);2018;830.0;2930.0;;
139;Total dwellings;Flevoland (PV);2019;770.0;2950.0;;33.0
140;Total dwellings;Flevoland (PV);2020;760.0;3010.0;;33.6
141;Total dwellings;Flevoland (PV);2021;850.0;3040.0;2660.0;33.3
142;Total dwellings;Flevoland (PV);2022;670.0;2880.0;2340.0;32.7
143;Total dwellings;Gelderland (PV);2010;2000.0;3450.0;;
144;Total dwellings;Gelderland (PV);2011;1600.0;3450.0;;
145;Total dwellings;Gelderland (PV);2012;1650.0;3400.0;;2.6
146;Total dwellings;Gelderland (PV);2013;1750.0;3300.0;;2.4
147;Total dwellings;Gelderland (PV);2014;1300.0;3200.0;;2.5
148;Total dwellings;Gelderland (PV);2015;1390.0;3130.0;;2.9
149;Total dwellings;Gelderland (PV);2016;1440.0;3030.0;;2.9
150;Total dwellings;Gelderland (PV);2017;1390.0;2950.0;;2.8
151;Total dwellings;Gelderland (PV);2018;1400.0;2850.0;;
152;Total dwellings;Gelderland (PV);2019;1290.0;2850.0;;3.7
153;Total dwellings;Gelderland (PV);2020;1220.0;2910.0;;3.8
154;Total dwellings;Gelderland (PV);2021;1370.0;2950.0;2560.0;3.9
155;Total dwellings;Gelderland (PV);2022;1080.0;2790.0;2260.0;4.1
156;Total dwellings;Utrecht (PV);2010;1750.0;3350.0;;11.0
157;Total dwellings;Utrecht (PV);2011;1350.0;3350.0;;10.0
158;Total dwellings;Utrecht (PV);2012;1350.0;3250.0;;12.5
159;Total dwellings;Utrecht (PV);2013;1450.0;3200.0;;11.5
160;Total dwellings;Utrecht (PV);2014;1050.0;3100.0;;11.2
161;Total dwellings;Utrecht (PV);2015;1150.0;3020.0;;11.9
162;Total dwellings;Utrecht (PV);2016;1200.0;2980.0;;12.0
163;Total dwellings;Utrecht (PV);2017;1140.0;2930.0;;12.0
164;Total dwellings;Utrecht (PV);2018;1160.0;2850.0;;
165;Total dwellings;Utrecht (PV);2019;1070.0;2750.0;;12.4
166;Total dwellings;Utrecht (PV);2020;1020.0;2760.0;;12.6
167;Total dwellings;Utrecht (PV);2021;1150.0;2830.0;2540.0;12.4
168;Total dwellings;Utrecht (PV);2022;890.0;2650.0;2250.0;12.4
169;Total dwellings;Noord-Holland (PV);2010;1650.0;3000.0;;
170;Total dwellings;Noord-Holland (PV);2011;1300.0;3000.0;;
171;Total dwellings;Noord-Holland (PV);2012;1350.0;2950.0;;5.1
172;Total dwellings;Noord-Holland (PV);2013;1450.0;2900.0;;4.9
173;Total dwellings;Noord-Holland (PV);2014;1100.0;2800.0;;4.8
174;Total dwellings;Noord-Holland (PV);2015;1140.0;2740.0;;6.0
175;Total dwellings;Noord-Holland (PV);2016;1190.0;2680.0;;6.2
176;Total dwellings;Noord-Holland (PV);2017;1130.0;2620.0;;6.5
177;Total dwellings;Noord-Holland (PV);2018;1160.0;2550.0;;
178;Total dwellings;Noord-Holland (PV);2019;1070.0;2520.0;;7.5
179;Total dwellings;Noord-Holland (PV);2020;1020.0;2550.0;;8.1
180;Total dwellings;Noord-Holland (PV);2021;1150.0;2600.0;2390.0;8.1
181;Total dwellings;Noord-Holland (PV);2022;900.0;2430.0;2160.0;8.4
182;Total dwellings;Zuid-Holland (PV);2010;1600.0;3100.0;;6.0
183;Total dwellings;Zuid-Holland (PV);2011;1250.0;3050.0;;6.0
184;Total dwellings;Zuid-Holland (PV);2012;1300.0;3000.0;;6.2
185;Total dwellings;Zuid-Holland (PV);2013;1400.0;2950.0;;6.1
186;Total dwellings;Zuid-Holland (PV);2014;1050.0;2850.0;;5.9
187;Total dwellings;Zuid-Holland (PV);2015;1090.0;2810.0;;6.6
188;Total dwellings;Zuid-Holland (PV);2016;1120.0;2770.0;;6.7
189;Total dwellings;Zuid-Holland (PV);2017;1080.0;2730.0;;6.7
190;Total dwellings;Zuid-Holland (PV);2018;1100.0;2670.0;;
191;Total dwellings;Zuid-Holland (PV);2019;1020.0;2590.0;;7.1
192;Total dwellings;Zuid-Holland (PV);2020;980.0;2620.0;;7.6
193;Total dwellings;Zuid-Holland (PV);2021;1100.0;2680.0;2480.0;7.6
194;Total dwellings;Zuid-Holland (PV);2022;850.0;2520.0;2240.0;7.7
195;Total dwellings;Zeeland (PV);2010;1850.0;3100.0;;
196;Total dwellings;Zeeland (PV);2011;1450.0;3100.0;;
197;Total dwellings;Zeeland (PV);2012;1550.0;3000.0;;0.5
198;Total dwellings;Zeeland (PV);2013;1650.0;3000.0;;0.5
199;Total dwellings;Zeeland (PV);2014;1250.0;2850.0;;0.5
200;Total dwellings;Zeeland (PV);2015;1330.0;2800.0;;0.5
201;Total dwellings;Zeeland (PV);2016;1360.0;2740.0;;0.5
202;Total dwellings;Zeeland (PV);2017;1280.0;2670.0;;0.5
203;Total dwellings;Zeeland (PV);2018;1310.0;2600.0;;
204;Total dwellings;Zeeland (PV);2019;1220.0;2520.0;;0.4
205;Total dwellings;Zeeland (PV);2020;1170.0;2540.0;;
206;Total dwellings;Zeeland (PV);2021;1330.0;2710.0;2290.0;
207;Total dwellings;Zeeland (PV);2022;1050.0;2570.0;1990.0;
208;Total dwellings;Noord-Brabant (PV);2010;1950.0;3600.0;;
209;Total dwellings;Noord-Brabant (PV);2011;1500.0;3550.0;;
210;Total dwellings;Noord-Brabant (PV);2012;1600.0;3550.0;;5.3
211;Total dwellings;Noord-Brabant (PV);2013;1700.0;3450.0;;5.0
212;Total dwellings;Noord-Brabant (PV);2014;1250.0;3350.0;;4.8
213;Total dwellings;Noord-Brabant (PV);2015;1340.0;3290.0;;5.5
214;Total dwellings;Noord-Brabant (PV);2016;1380.0;3230.0;;5.5
215;Total dwellings;Noord-Brabant (PV);2017;1320.0;3190.0;;5.5
216;Total dwellings;Noord-Brabant (PV);2018;1340.0;3120.0;;
217;Total dwellings;Noord-Brabant (PV);2019;1250.0;3010.0;;5.7
218;Total dwellings;Noord-Brabant (PV);2020;1180.0;3020.0;;5.9
219;Total dwellings;Noord-Brabant (PV);2021;1320.0;3060.0;2660.0;5.8
220;Total dwellings;Noord-Brabant (PV);2022;1030.0;2870.0;2340.0;5.6
221;Total dwellings;Limburg (PV);2010;2150.0;3550.0;;
222;Total dwellings;Limburg (PV);2011;1650.0;3450.0;;
223;Total dwellings;Limburg (PV);2012;1750.0;3450.0;;1.0
224;Total dwellings;Limburg (PV);2013;1850.0;3400.0;;0.9
225;Total dwellings;Limburg (PV);2014;1350.0;3250.0;;0.9
226;Total dwellings;Limburg (PV);2015;1450.0;3170.0;;1.0
227;Total dwellings;Limburg (PV);2016;1510.0;3110.0;;1.0
228;Total dwellings;Limburg (PV);2017;1450.0;3080.0;;1.0
229;Total dwellings;Limburg (PV);2018;1450.0;3000.0;;
230;Total dwellings;Limburg (PV);2019;1350.0;2900.0;;1.1
231;Total dwellings;Limburg (PV);2020;1270.0;2910.0;;
232;Total dwellings;Limburg (PV);2021;1430.0;2940.0;2460.0;
233;Total dwellings;Limburg (PV);2022;1120.0;2800.0;2180.0;
234;Total dwellings;Aa en Hunze;2010;2700.0;3700.0;;
235;Total dwellings;Aa en Hunze;2011;2100.0;3700.0;;
236;Total dwellings;Aa en Hunze;2012;2300.0;3650.0;;
237;Total dwellings;Aa en Hunze;2013;2400.0;3600.0;;
238;Total dwellings;Aa en Hunze;2014;1800.0;3450.0;;
239;Total dwellings;Aa en Hunze;2015;1880.0;3350.0;;
240;Total dwellings;Aa en Hunze;2016;2010.0;3290.0;;
241;Total dwellings;Aa en Hunze;2017;1880.0;3220.0;;
242;Total dwellings;Aa en Hunze;2018;1900.0;3140.0;;
243;Total dwellings;Aa en Hunze;2019;1740.0;3030.0;;
244;Total dwellings;Aa en Hunze;2020;1660.0;3090.0;;
245;Total dwellings;Aa en Hunze;2021;1850.0;3150.0;2500.0;
246;Total dwellings;Aa en Hunze;2022;1440.0;3000.0;2120.0;
247;Total dwellings;Aalburg;2010;2450.0;4200.0;;
248;Total dwellings;Aalburg;2011;1850.0;4100.0;;
249;Total dwellings;Aalburg;2012;1950.0;3950.0;;
250;Total dwellings;Aalburg;2013;2050.0;3900.0;;
251;Total dwellings;Aalburg;2014;1550.0;3750.0;;
252;Total dwellings;Aalburg;2015;1650.0;3730.0;;
253;Total dwellings;Aalburg;2016;1730.0;3690.0;;
254;Total dwellings;Aalburg;2017;1640.0;3620.0;;
255;Total dwellings;Aalburg;2018;1680.0;3630.0;;
256;Total dwellings;Aalburg;2019;;;;
257;Total dwellings;Aalburg;2020;;;;
258;Total dwellings;Aalburg;2021;;;;
259;Total dwellings;Aalburg;2022;;;;
260;Total dwellings;Aalsmeer;2010;2000.0;3700.0;;
261;Total dwellings;Aalsmeer;2011;1550.0;3750.0;;
262;Total dwellings;Aalsmeer;2012;1650.0;3650.0;;
263;Total dwellings;Aalsmeer;2013;1750.0;3550.0;;
264;Total dwellings;Aalsmeer;2014;1350.0;3450.0;;
265;Total dwellings;Aalsmeer;2015;1410.0;3380.0;;
266;Total dwellings;Aalsmeer;2016;1470.0;3330.0;;
267;Total dwellings;Aalsmeer;2017;1400.0;3230.0;;
268;Total dwellings;Aalsmeer;2018;1410.0;3130.0;;
269;Total dwellings;Aalsmeer;2019;1320.0;3080.0;;
270;Total dwellings;Aalsmeer;2020;1230.0;3080.0;;
271;Total dwellings;Aalsmeer;2021;1390.0;3150.0;2790.0;
272;Total dwellings;Aalsmeer;2022;1100.0;2960.0;2480.0;
273;Total dwellings;Aalten;2010;2150.0;3500.0;;
274;Total dwellings;Aalten;2011;1700.0;3550.0;;
275;Total dwellings;Aalten;2012;1750.0;3450.0;;
276;Total dwellings;Aalten;2013;1850.0;3350.0;;
277;Total dwellings;Aalten;2014;1350.0;3250.0;;
278;Total dwellings;Aalten;2015;1470.0;3140.0;;
279;Total dwellings;Aalten;2016;1520.0;3060.0;;
280;Total dwellings;Aalten;2017;1500.0;2950.0;;
281;Total dwellings;Aalten;2018;1480.0;2810.0;;
282;Total dwellings;Aalten;2019;1380.0;2900.0;;
283;Total dwellings;Aalten;2020;1310.0;2960.0;;
284;Total dwellings;Aalten;2021;1480.0;3010.0;2530.0;
285;Total dwellings;Aalten;2022;1180.0;2830.0;2180.0;
286;Total dwellings;Abcoude;2010;2500.0;3950.0;;
287;Total dwellings;Abcoude;2011;;;;
288;Total dwellings;Abcoude;2012;;;;
289;Total dwellings;Abcoude;2013;;;;
290;Total dwellings;Abcoude;2014;;;;
291;Total dwellings;Abcoude;2015;;;;
292;Total dwellings;Abcoude;2016;;;;
293;Total dwellings;Abcoude;2017;;;;
294;Total dwellings;Abcoude;2018;;;;
295;Total dwellings;Abcoude;2019;;;;
296;Total dwellings;Abcoude;2020;;;;
297;Total dwellings;Abcoude;2021;;;;
298;Total dwellings;Abcoude;2022;;;;
299;Total dwellings;Achtkarspelen;2010;2350.0;3150.0;;
300;Total dwellings;Achtkarspelen;2011;1850.0;3200.0;;
301;Total dwellings;Achtkarspelen;2012;1950.0;3150.0;;
302;Total dwellings;Achtkarspelen;2013;2050.0;3000.0;;
303;Total dwellings;Achtkarspelen;2014;1500.0;2900.0;;
304;Total dwellings;Achtkarspelen;2015;1620.0;2830.0;;
305;Total dwellings;Achtkarspelen;2016;1690.0;2760.0;;
306;Total dwellings;Achtkarspelen;2017;1590.0;2700.0;;
307;Total dwellings;Achtkarspelen;2018;1630.0;2660.0;;
308;Total dwellings;Achtkarspelen;2019;1500.0;2690.0;;
309;Total dwellings;Achtkarspelen;2020;1460.0;2770.0;;
310;Total dwellings;Achtkarspelen;2021;1630.0;2840.0;2430.0;
311;Total dwellings;Achtkarspelen;2022;1270.0;2690.0;2120.0;
312;Total dwellings;Alblasserdam;2010;1750.0;3200.0;;
313;Total dwellings;Alblasserdam;2011;1350.0;3150.0;;
314;Total dwellings;Alblasserdam;2012;1350.0;3100.0;;
315;Total dwellings;Alblasserdam;2013;1400.0;3050.0;;
316;Total dwellings;Alblasserdam;2014;1100.0;3000.0;;
317;Total dwellings;Alblasserdam;2015;1180.0;2970.0;;
318;Total dwellings;Alblasserdam;2016;1200.0;2940.0;;
319;Total dwellings;Alblasserdam;2017;1150.0;2880.0;;
320;Total dwellings;Alblasserdam;2018;1140.0;2830.0;;
321;Total dwellings;Alblasserdam;2019;1080.0;2740.0;;
322;Total dwellings;Alblasserdam;2020;1030.0;2730.0;;
323;Total dwellings;Alblasserdam;2021;1140.0;2810.0;2610.0;
324;Total dwellings;Alblasserdam;2022;890.0;2670.0;2360.0;
325;Total dwellings;Albrandswaard;2010;1850.0;3650.0;;
326;Total dwellings;Albrandswaard;2011;1400.0;3600.0;;
327;Total dwellings;Albrandswaard;2012;1450.0;3450.0;;
328;Total dwellings;Albrandswaard;2013;1550.0;3400.0;;
329;Total dwellings;Albrandswaard;2014;1150.0;3300.0;;
330;Total dwellings;Albrandswaard;2015;1250.0;3250.0;;
331;Total dwellings;Albrandswaard;2016;1300.0;3180.0;;
332;Total dwellings;Albrandswaard;2017;1280.0;3140.0;;
333;Total dwellings;Albrandswaard;2018;1260.0;3110.0;;
334;Total dwellings;Albrandswaard;2019;1180.0;3010.0;;
335;Total dwellings;Albrandswaard;2020;1130.0;3090.0;;
336;Total dwellings;Albrandswaard;2021;1280.0;3150.0;2860.0;
337;Total dwellings;Albrandswaard;2022;990.0;2950.0;2480.0;
338;Total dwellings;Alkmaar;2010;1650.0;3000.0;;
339;Total dwellings;Alkmaar;2011;1300.0;2950.0;;
340;Total dwellings;Alkmaar;2012;1350.0;2850.0;;
341;Total dwellings;Alkmaar;2013;1450.0;2800.0;;
342;Total dwellings;Alkmaar;2014;1100.0;2700.0;;
343;Total dwellings;Alkmaar;2015;1180.0;2720.0;;
344;Total dwellings;Alkmaar;2016;1230.0;2650.0;;
345;Total dwellings;Alkmaar;2017;1170.0;2610.0;;
346;Total dwellings;Alkmaar;2018;1200.0;2530.0;;
347;Total dwellings;Alkmaar;2019;1090.0;2490.0;;3.5
348;Total dwellings;Alkmaar;2020;1040.0;2510.0;;4.9
349;Total dwellings;Alkmaar;2021;1190.0;2530.0;2260.0;5.1
350;Total dwellings;Alkmaar;2022;910.0;2370.0;2020.0;5.8
351;Total dwellings;Almelo;2010;2050.0;3350.0;;
352;Total dwellings;Almelo;2011;1650.0;3300.0;;
353;Total dwellings;Almelo;2012;1750.0;3250.0;;
354;Total dwellings;Almelo;2013;1900.0;3200.0;;
355;Total dwellings;Almelo;2014;1200.0;3100.0;;
356;Total dwellings;Almelo;2015;1320.0;3000.0;;
357;Total dwellings;Almelo;2016;1340.0;2930.0;;
358;Total dwellings;Almelo;2017;1350.0;2870.0;;
359;Total dwellings;Almelo;2018;1350.0;2770.0;;
360;Total dwellings;Almelo;2019;1190.0;2660.0;;
361;Total dwellings;Almelo;2020;1150.0;2700.0;;
362;Total dwellings;Almelo;2021;1400.0;2760.0;2490.0;
363;Total dwellings;Almelo;2022;1110.0;2630.0;2230.0;
364;Total dwellings;Almere;2010;650.0;3600.0;;58.0
365;Total dwellings;Almere;2011;500.0;3600.0;;58.0
366;Total dwellings;Almere;2012;500.0;3500.0;;58.5
367;Total dwellings;Almere;2013;550.0;3450.0;;58.7
368;Total dwellings;Almere;2014;400.0;3350.0;;58.0
369;Total dwellings;Almere;2015;440.0;3270.0;;58.5
370;Total dwellings;Almere;2016;460.0;3180.0;;58.1
371;Total dwellings;Almere;2017;440.0;3090.0;;56.9
372;Total dwellings;Almere;2018;450.0;2940.0;;
373;Total dwellings;Almere;2019;420.0;2930.0;;58.2
374;Total dwellings;Almere;2020;410.0;3020.0;;59.3
375;Total dwellings;Almere;2021;460.0;3030.0;2720.0;58.4
376;Total dwellings;Almere;2022;380.0;2860.0;2430.0;57.2
377;Total dwellings;Alphen aan den Rijn;2010;1650.0;3300.0;;
378;Total dwellings;Alphen aan den Rijn;2011;1300.0;3300.0;;
379;Total dwellings;Alphen aan den Rijn;2012;1350.0;3250.0;;
380;Total dwellings;Alphen aan den Rijn;2013;1450.0;3200.0;;
381;Total dwellings;Alphen aan den Rijn;2014;1150.0;3100.0;;
382;Total dwellings;Alphen aan den Rijn;2015;1240.0;3090.0;;
383;Total dwellings;Alphen aan den Rijn;2016;1260.0;2990.0;;
384;Total dwellings;Alphen aan den Rijn;2017;1240.0;2930.0;;
385;Total dwellings;Alphen aan den Rijn;2018;1230.0;2840.0;;
386;Total dwellings;Alphen aan den Rijn;2019;1160.0;2800.0;;
387;Total dwellings;Alphen aan den Rijn;2020;1090.0;2830.0;;
388;Total dwellings;Alphen aan den Rijn;2021;1220.0;2860.0;2500.0;
389;Total dwellings;Alphen aan den Rijn;2022;950.0;2670.0;2190.0;
390;Total dwellings;Alphen-Chaam;2010;2650.0;4200.0;;
391;Total dwellings;Alphen-Chaam;2011;2050.0;4200.0;;
392;Total dwellings;Alphen-Chaam;2012;2200.0;4150.0;;
393;Total dwellings;Alphen-Chaam;2013;2350.0;4100.0;;
394;Total dwellings;Alphen-Chaam;2014;1750.0;3900.0;;
395;Total dwellings;Alphen-Chaam;2015;1790.0;3780.0;;
396;Total dwellings;Alphen-Chaam;2016;1860.0;3730.0;;
397;Total dwellings;Alphen-Chaam;2017;1800.0;3650.0;;
398;Total dwellings;Alphen-Chaam;2018;1800.0;3700.0;;
399;Total dwellings;Alphen-Chaam;2019;1670.0;3600.0;;
400;Total dwellings;Alphen-Chaam;2020;1560.0;3610.0;;
401;Total dwellings;Alphen-Chaam;2021;1730.0;3670.0;3170.0;
402;Total dwellings;Alphen-Chaam;2022;1360.0;3480.0;2750.0;
