ID;TypeOfBuilding;BuildingPhase;Periods;BuildingCosts_1
42;Total buildings;Orders received by contractors;2017 July;1826.0
43;Total buildings;Orders received by contractors;2017 August;1162.0
44;Total buildings;Orders received by contractors;2017 September;1438.0
45;Total buildings;Orders received by contractors;2017 3rd quarter;4426.0
46;Total buildings;Orders received by contractors;2017 October;1703.0
47;Total buildings;Orders received by contractors;2017 November;1619.0
48;Total buildings;Orders received by contractors;2017 December;1353.0
49;Total buildings;Orders received by contractors;2017 4th quarter;4675.0
50;Total buildings;Orders received by contractors;2017;17016.0
51;Total buildings;Orders received by contractors;2018 January;1160.0
52;Total buildings;Orders received by contractors;2018 February;1459.0
53;Total buildings;Orders received by contractors;2018 March;1509.0
54;Total buildings;Orders received by contractors;2018 1st quarter;4128.0
55;Total buildings;Orders received by contractors;2018 April;1483.0
56;Total buildings;Orders received by contractors;2018 May;1382.0
57;Total buildings;Orders received by contractors;2018 June;1589.0
58;Total buildings;Orders received by contractors;2018 2nd quarter;4454.0
59;Total buildings;Orders received by contractors;2018 July;1723.0
60;Total buildings;Orders received by contractors;2018 August;1416.0
61;Total buildings;Orders received by contractors;2018 September;1540.0
62;Total buildings;Orders received by contractors;2018 3rd quarter;4678.0
63;Total buildings;Orders received by contractors;2018 October;2159.0
64;Total buildings;Orders received by contractors;2018 November;1448.0
65;Total buildings;Orders received by contractors;2018 December;1432.0
66;Total buildings;Orders received by contractors;2018 4th quarter;5039.0
67;Total buildings;Orders received by contractors;2018;18299.0
68;Total buildings;Orders received by contractors;2019 January;1238.0
69;Total buildings;Orders received by contractors;2019 February;1278.0
70;Total buildings;Orders received by contractors;2019 March;1420.0
71;Total buildings;Orders received by contractors;2019 1st quarter;3936.0
72;Total buildings;Orders received by contractors;2019 April;1482.0
73;Total buildings;Orders received by contractors;2019 May;1218.0
74;Total buildings;Orders received by contractors;2019 June;1290.0
75;Total buildings;Orders received by contractors;2019 2nd quarter;3989.0
76;Total buildings;Orders received by contractors;2019 July;1885.0
77;Total buildings;Orders received by contractors;2019 August;963.0
78;Total buildings;Orders received by contractors;2019 September;1286.0
79;Total buildings;Orders received by contractors;2019 3rd quarter;4133.0
80;Total buildings;Orders received by contractors;2019 October;1815.0
81;Total buildings;Orders received by contractors;2019 November;1690.0
82;Total buildings;Orders received by contractors;2019 December;1740.0
83;Total buildings;Orders received by contractors;2019 4th quarter;5244.0
84;Total buildings;Orders received by contractors;2019;17303.0
85;Total buildings;Orders received by contractors;2020 January;1228.0
86;Total buildings;Orders received by contractors;2020 February;1472.0
87;Total buildings;Orders received by contractors;2020 March;1652.0
88;Total buildings;Orders received by contractors;2020 1st quarter;4352.0
89;Total buildings;Orders received by contractors;2020 April;1777.0
90;Total buildings;Orders received by contractors;2020 May;1372.0
91;Total buildings;Orders received by contractors;2020 June;1566.0
92;Total buildings;Orders received by contractors;2020 2nd quarter;4715.0
93;Total buildings;Orders received by contractors;2020 July;2048.0
94;Total buildings;Orders received by contractors;2020 August;1178.0
95;Total buildings;Orders received by contractors;2020 September;1728.0
96;Total buildings;Orders received by contractors;2020 3rd quarter;4954.0
97;Total buildings;Orders received by contractors;2020 October;1959.0
98;Total buildings;Orders received by contractors;2020 November;1700.0
99;Total buildings;Orders received by contractors;2020 December;1994.0
100;Total buildings;Orders received by contractors;2020 4th quarter;5652.0
101;Total buildings;Orders received by contractors;2020;19674.0
102;Total buildings;Orders received by contractors;2021 January;1484.0
103;Total buildings;Orders received by contractors;2021 February;1714.0
104;Total buildings;Orders received by contractors;2021 March;2464.0
105;Total buildings;Orders received by contractors;2021 1st quarter;5662.0
106;Total buildings;Orders received by contractors;2021 April;2023.0
107;Total buildings;Orders received by contractors;2021 May;1763.0
108;Total buildings;Orders received by contractors;2021 June;1836.0
109;Total buildings;Orders received by contractors;2021 2nd quarter;5622.0
110;Total buildings;Orders received by contractors;2021 July;2340.0
111;Total buildings;Orders received by contractors;2021 August;1284.0
112;Total buildings;Orders received by contractors;2021 September;1862.0
113;Total buildings;Orders received by contractors;2021 3rd quarter;5485.0
114;Total buildings;Orders received by contractors;2021 October;1879.0
115;Total buildings;Orders received by contractors;2021 November;1989.0
116;Total buildings;Orders received by contractors;2021 December;2006.0
117;Total buildings;Orders received by contractors;2021 4th quarter;5874.0
118;Total buildings;Orders received by contractors;2021;22643.0
119;Total buildings;Orders received by contractors;2022 January;1523.0
120;Total buildings;Orders received by contractors;2022 February;1450.0
121;Total buildings;Orders received by contractors;2022 March;2322.0
122;Total buildings;Orders received by contractors;2022 1st quarter;5295.0
123;Total buildings;Orders received by contractors;2022 April;1484.0
124;Total buildings;Orders received by contractors;2022 May;1894.0
125;Total buildings;Orders received by contractors;2022 June;2156.0
126;Total buildings;Orders received by contractors;2022 2nd quarter;5534.0
127;Total buildings;Orders received by contractors;2022 July;2157.0
128;Total buildings;Orders received by contractors;2022 August;1380.0
129;Total buildings;Orders received by contractors;2022 September;1858.0
130;Total buildings;Orders received by contractors;2022 3rd quarter;5395.0
131;Total buildings;Orders received by contractors;2022 October;2135.0
132;Total buildings;Orders received by contractors;2022 November;1808.0
133;Total buildings;Orders received by contractors;2022 December;1583.0
134;Total buildings;Orders received by contractors;2022 4th quarter;5526.0
135;Total buildings;Orders received by contractors;2022;21750.0
136;Total buildings;Orders received by contractors;2023 January;1586.0
137;Total buildings;Orders received by contractors;2023 February;1578.0
138;Total buildings;Orders received by contractors;2023 March;1772.0
139;Total buildings;Orders received by contractors;2023 1st quarter;4936.0
140;Total buildings;Orders received by contractors;2023 April;1873.0
141;Total buildings;Orders received by contractors;2023 May;1494.0
142;Total buildings;Orders received by contractors;2023 June;1898.0
143;Total buildings;Orders received by contractors;2023 2nd quarter;5265.0
144;Total buildings;Orders received by contractors;2023 July;1527.0
145;Total buildings;Orders received by contractors;2023 August;1295.0
146;Total buildings;Orders received by contractors;2023 September;1395.0
147;Total buildings;Orders received by contractors;2023 3rd quarter;4218.0
148;Total buildings;Orders received by contractors;2023 October;2048.0
149;Total buildings;Orders received by contractors;2023 November;1572.0
150;Total buildings;Orders received by contractors;2023 December;1674.0
151;Total buildings;Orders received by contractors;2023 4th quarter;5295.0
152;Total buildings;Orders received by contractors;2023;19714.0
153;Total buildings;Orders received by contractors;2024 January;1209.0
154;Total buildings;Orders received by contractors;2024 February;1909.0
155;Total buildings;Orders received by contractors;2024 March;2351.0
156;Total buildings;Orders received by contractors;2024 1st quarter;5469.0
157;Total buildings;Orders received by contractors;2024 April;2398.0
158;Total buildings;Orders received by contractors;2024 May;2432.0
159;Total buildings;Orders received by contractors;2024 June;1835.0
160;Total buildings;Orders received by contractors;2024 2nd quarter;6665.0
161;Total buildings;Orders received by contractors;2024 July;2370.0
162;Total buildings;Orders received by contractors;2024 August;1003.0
163;Total buildings;Orders received by contractors;2024 September;1334.0
164;Total buildings;Orders received by contractors;2024 3rd quarter;4706.0
165;Total buildings;Orders received by contractors;2024 October;2024.0
166;Total buildings;Orders received by contractors;2024 November;1722.0
167;Total buildings;Orders received by contractors;2024 December;2151.0
168;Total buildings;Orders received by contractors;2024 4th quarter;5897.0
169;Total buildings;Orders received by contractors;2024;22738.0
170;Total buildings;Orders received by contractors;2025 January;1204.0
171;Total buildings;Building projects started;2015 January;1083.0
172;Total buildings;Building projects started;2015 February;1070.0
173;Total buildings;Building projects started;2015 March;942.0
174;Total buildings;Building projects started;2015 1st quarter;3095.0
175;Total buildings;Building projects started;2015 April;1356.0
176;Total buildings;Building projects started;2015 May;1563.0
177;Total buildings;Building projects started;2015 June;1401.0
178;Total buildings;Building projects started;2015 2nd quarter;4321.0
179;Total buildings;Building projects started;2015 July;995.0
180;Total buildings;Building projects started;2015 August;995.0
181;Total buildings;Building projects started;2015 September;905.0
182;Total buildings;Building projects started;2015 3rd quarter;2895.0
183;Total buildings;Building projects started;2015 October;1040.0
184;Total buildings;Building projects started;2015 November;890.0
185;Total buildings;Building projects started;2015 December;856.0
186;Total buildings;Building projects started;2015 4th quarter;2786.0
187;Total buildings;Building projects started;2015;13097.0
188;Total buildings;Building projects started;2016 January;988.0
189;Total buildings;Building projects started;2016 February;991.0
190;Total buildings;Building projects started;2016 March;832.0
191;Total buildings;Building projects started;2016 1st quarter;2811.0
192;Total buildings;Building projects started;2016 April;955.0
193;Total buildings;Building projects started;2016 May;1069.0
194;Total buildings;Building projects started;2016 June;1042.0
195;Total buildings;Building projects started;2016 2nd quarter;3066.0
196;Total buildings;Building projects started;2016 July;1193.0
197;Total buildings;Building projects started;2016 August;1156.0
198;Total buildings;Building projects started;2016 September;1131.0
199;Total buildings;Building projects started;2016 3rd quarter;3479.0
200;Total buildings;Building projects started;2016 October;1052.0
201;Total buildings;Building projects started;2016 November;1296.0
202;Total buildings;Building projects started;2016 December;1154.0
203;Total buildings;Building projects started;2016 4th quarter;3502.0
204;Total buildings;Building projects started;2016;12859.0
205;Total buildings;Building projects started;2017 January;1352.0
206;Total buildings;Building projects started;2017 February;1177.0
207;Total buildings;Building projects started;2017 March;1130.0
208;Total buildings;Building projects started;2017 1st quarter;3659.0
209;Total buildings;Building projects started;2017 April;1377.0
210;Total buildings;Building projects started;2017 May;1751.0
211;Total buildings;Building projects started;2017 June;1201.0
212;Total buildings;Building projects started;2017 2nd quarter;4329.0
213;Total buildings;Building projects started;2017 July;1147.0
214;Total buildings;Building projects started;2017 August;1744.0
215;Total buildings;Building projects started;2017 September;1470.0
216;Total buildings;Building projects started;2017 3rd quarter;4361.0
217;Total buildings;Building projects started;2017 October;1282.0
218;Total buildings;Building projects started;2017 November;1533.0
219;Total buildings;Building projects started;2017 December;1571.0
220;Total buildings;Building projects started;2017 4th quarter;4386.0
221;Total buildings;Building projects started;2017;16735.0
222;Total buildings;Building projects started;2018 January;1530.0
223;Total buildings;Building projects started;2018 February;1294.0
224;Total buildings;Building projects started;2018 March;1331.0
225;Total buildings;Building projects started;2018 1st quarter;4155.0
226;Total buildings;Building projects started;2018 April;1351.0
227;Total buildings;Building projects started;2018 May;1571.0
228;Total buildings;Building projects started;2018 June;1427.0
229;Total buildings;Building projects started;2018 2nd quarter;4348.0
230;Total buildings;Building projects started;2018 July;1523.0
231;Total buildings;Building projects started;2018 August;1538.0
232;Total buildings;Building projects started;2018 September;1554.0
233;Total buildings;Building projects started;2018 3rd quarter;4614.0
234;Total buildings;Building projects started;2018 October;1454.0
235;Total buildings;Building projects started;2018 November;2082.0
236;Total buildings;Building projects started;2018 December;1637.0
237;Total buildings;Building projects started;2018 4th quarter;5173.0
238;Total buildings;Building projects started;2018;18290.0
239;Total buildings;Building projects started;2019 January;1634.0
240;Total buildings;Building projects started;2019 February;1376.0
241;Total buildings;Building projects started;2019 March;1075.0
242;Total buildings;Building projects started;2019 1st quarter;4086.0
243;Total buildings;Building projects started;2019 April;1430.0
244;Total buildings;Building projects started;2019 May;1462.0
245;Total buildings;Building projects started;2019 June;1393.0
246;Total buildings;Building projects started;2019 2nd quarter;4285.0
247;Total buildings;Building projects started;2019 July;1164.0
248;Total buildings;Building projects started;2019 August;1598.0
249;Total buildings;Building projects started;2019 September;1516.0
250;Total buildings;Building projects started;2019 3rd quarter;4278.0
251;Total buildings;Building projects started;2019 October;1222.0
252;Total buildings;Building projects started;2019 November;1480.0
253;Total buildings;Building projects started;2019 December;1602.0
254;Total buildings;Building projects started;2019 4th quarter;4305.0
255;Total buildings;Building projects started;2019;16953.0
256;Total buildings;Building projects started;2020 January;1708.0
257;Total buildings;Building projects started;2020 February;1453.0
258;Total buildings;Building projects started;2020 March;1283.0
259;Total buildings;Building projects started;2020 1st quarter;4444.0
260;Total buildings;Building projects started;2020 April;1641.0
261;Total buildings;Building projects started;2020 May;1534.0
262;Total buildings;Building projects started;2020 June;1751.0
263;Total buildings;Building projects started;2020 2nd quarter;4927.0
264;Total buildings;Building projects started;2020 July;1564.0
265;Total buildings;Building projects started;2020 August;1738.0
266;Total buildings;Building projects started;2020 September;1552.0
267;Total buildings;Building projects started;2020 3rd quarter;4853.0
268;Total buildings;Building projects started;2020 October;1590.0
269;Total buildings;Building projects started;2020 November;1872.0
270;Total buildings;Building projects started;2020 December;1631.0
271;Total buildings;Building projects started;2020 4th quarter;5093.0
272;Total buildings;Building projects started;2020;19317.0
273;Total buildings;Building projects started;2021 January;1974.0
274;Total buildings;Building projects started;2021 February;1632.0
275;Total buildings;Building projects started;2021 March;1606.0
276;Total buildings;Building projects started;2021 1st quarter;5213.0
277;Total buildings;Building projects started;2021 April;1990.0
278;Total buildings;Building projects started;2021 May;2236.0
279;Total buildings;Building projects started;2021 June;2121.0
280;Total buildings;Building projects started;2021 2nd quarter;6347.0
281;Total buildings;Building projects started;2021 July;1842.0
282;Total buildings;Building projects started;2021 August;1946.0
283;Total buildings;Building projects started;2021 September;1649.0
284;Total buildings;Building projects started;2021 3rd quarter;5438.0
285;Total buildings;Building projects started;2021 October;1871.0
286;Total buildings;Building projects started;2021 November;1899.0
287;Total buildings;Building projects started;2021 December;1961.0
288;Total buildings;Building projects started;2021 4th quarter;5731.0
289;Total buildings;Building projects started;2021;22728.0
290;Total buildings;Building projects started;2022 January;1900.0
291;Total buildings;Building projects started;2022 February;1756.0
292;Total buildings;Building projects started;2022 March;1585.0
293;Total buildings;Building projects started;2022 1st quarter;5241.0
294;Total buildings;Building projects started;2022 April;1868.0
295;Total buildings;Building projects started;2022 May;1765.0
296;Total buildings;Building projects started;2022 June;1636.0
297;Total buildings;Building projects started;2022 2nd quarter;5270.0
298;Total buildings;Building projects started;2022 July;1897.0
299;Total buildings;Building projects started;2022 August;2225.0
300;Total buildings;Building projects started;2022 September;1760.0
301;Total buildings;Building projects started;2022 3rd quarter;5883.0
302;Total buildings;Building projects started;2022 October;2004.0
303;Total buildings;Building projects started;2022 November;1936.0
304;Total buildings;Building projects started;2022 December;1841.0
305;Total buildings;Building projects started;2022 4th quarter;5781.0
306;Total buildings;Building projects started;2022;22174.0
307;Total buildings;Building projects started;2023 January;1587.0
308;Total buildings;Building projects started;2023 February;1577.0
309;Total buildings;Building projects started;2023 March;1761.0
310;Total buildings;Building projects started;2023 1st quarter;4926.0
311;Total buildings;Building projects started;2023 April;1556.0
312;Total buildings;Building projects started;2023 May;1982.0
313;Total buildings;Building projects started;2023 June;1601.0
314;Total buildings;Building projects started;2023 2nd quarter;5140.0
315;Total buildings;Building projects started;2023 July;1871.0
316;Total buildings;Building projects started;2023 August;1556.0
317;Total buildings;Building projects started;2023 September;1369.0
318;Total buildings;Building projects started;2023 3rd quarter;4796.0
319;Total buildings;Building projects started;2023 October;1494.0
320;Total buildings;Building projects started;2023 November;1642.0
321;Total buildings;Building projects started;2023 December;1766.0
322;Total buildings;Building projects started;2023 4th quarter;4902.0
323;Total buildings;Building projects started;2023;19763.0
324;Total buildings;Building projects started;2024 January;1497.0
325;Total buildings;Building projects started;2024 February;1443.0
326;Total buildings;Building projects started;2024 March;1893.0
327;Total buildings;Building projects started;2024 1st quarter;4833.0
328;Total buildings;Building projects started;2024 April;1927.0
329;Total buildings;Building projects started;2024 May;1920.0
330;Total buildings;Building projects started;2024 June;2700.0
331;Total buildings;Building projects started;2024 2nd quarter;6547.0
332;Total buildings;Building projects started;2024 July;2179.0
333;Total buildings;Building projects started;2024 August;2072.0
334;Total buildings;Building projects started;2024 September;1655.0
335;Total buildings;Building projects started;2024 3rd quarter;5906.0
336;Total buildings;Building projects started;2024 October;1357.0
337;Total buildings;Building projects started;2024 November;1940.0
338;Total buildings;Building projects started;2024 December;2068.0
339;Total buildings;Building projects started;2024 4th quarter;5365.0
340;Total buildings;Building projects started;2024;22651.0
341;Total buildings;Building projects started;2025 January;1789.0
342;Total buildings;Building projects not yet started;2015 January;2269.0
343;Total buildings;Building projects not yet started;2015 February;2614.0
344;Total buildings;Building projects not yet started;2015 March;3069.0
345;Total buildings;Building projects not yet started;2015 1st quarter;3069.0
346;Total buildings;Building projects not yet started;2015 April;3093.0
347;Total buildings;Building projects not yet started;2015 May;2576.0
348;Total buildings;Building projects not yet started;2015 June;2128.0
349;Total buildings;Building projects not yet started;2015 2nd quarter;2128.0
350;Total buildings;Building projects not yet started;2015 July;2188.0
351;Total buildings;Building projects not yet started;2015 August;2030.0
352;Total buildings;Building projects not yet started;2015 September;2113.0
353;Total buildings;Building projects not yet started;2015 3rd quarter;2113.0
354;Total buildings;Building projects not yet started;2015 October;2025.0
355;Total buildings;Building projects not yet started;2015 November;2002.0
356;Total buildings;Building projects not yet started;2015 December;2200.0
357;Total buildings;Building projects not yet started;2015 4th quarter;2200.0
358;Total buildings;Building projects not yet started;2015;2200.0
359;Total buildings;Building projects not yet started;2016 January;1992.0
360;Total buildings;Building projects not yet started;2016 February;1944.0
361;Total buildings;Building projects not yet started;2016 March;2193.0
362;Total buildings;Building projects not yet started;2016 1st quarter;2193.0
363;Total buildings;Building projects not yet started;2016 April;2402.0
364;Total buildings;Building projects not yet started;2016 May;2412.0
365;Total buildings;Building projects not yet started;2016 June;2577.0
366;Total buildings;Building projects not yet started;2016 2nd quarter;2577.0
367;Total buildings;Building projects not yet started;2016 July;2453.0
368;Total buildings;Building projects not yet started;2016 August;2321.0
369;Total buildings;Building projects not yet started;2016 September;2572.0
370;Total buildings;Building projects not yet started;2016 3rd quarter;2572.0
371;Total buildings;Building projects not yet started;2016 October;2641.0
372;Total buildings;Building projects not yet started;2016 November;2601.0
373;Total buildings;Building projects not yet started;2016 December;2814.0
374;Total buildings;Building projects not yet started;2016 4th quarter;2814.0
375;Total buildings;Building projects not yet started;2016;2814.0
376;Total buildings;Building projects not yet started;2017 January;2462.0
377;Total buildings;Building projects not yet started;2017 February;2654.0
378;Total buildings;Building projects not yet started;2017 March;3083.0
379;Total buildings;Building projects not yet started;2017 1st quarter;3083.0
380;Total buildings;Building projects not yet started;2017 April;3054.0
381;Total buildings;Building projects not yet started;2017 May;2737.0
382;Total buildings;Building projects not yet started;2017 June;2740.0
383;Total buildings;Building projects not yet started;2017 2nd quarter;2740.0
384;Total buildings;Building projects not yet started;2017 July;3419.0
385;Total buildings;Building projects not yet started;2017 August;2837.0
386;Total buildings;Building projects not yet started;2017 September;2805.0
387;Total buildings;Building projects not yet started;2017 3rd quarter;2805.0
388;Total buildings;Building projects not yet started;2017 October;3226.0
389;Total buildings;Building projects not yet started;2017 November;3312.0
390;Total buildings;Building projects not yet started;2017 December;3093.0
391;Total buildings;Building projects not yet started;2017 4th quarter;3093.0
392;Total buildings;Building projects not yet started;2017;3093.0
393;Total buildings;Building projects not yet started;2018 January;2723.0
394;Total buildings;Building projects not yet started;2018 February;2888.0
395;Total buildings;Building projects not yet started;2018 March;3066.0
396;Total buildings;Building projects not yet started;2018 1st quarter;3066.0
397;Total buildings;Building projects not yet started;2018 April;3198.0
398;Total buildings;Building projects not yet started;2018 May;3009.0
399;Total buildings;Building projects not yet started;2018 June;3171.0
400;Total buildings;Building projects not yet started;2018 2nd quarter;3171.0
401;Total buildings;Building projects not yet started;2018 July;3371.0
402;Total buildings;Building projects not yet started;2018 August;3249.0
403;Total buildings;Building projects not yet started;2018 September;3234.0
404;Total buildings;Building projects not yet started;2018 3rd quarter;3234.0
405;Total buildings;Building projects not yet started;2018 October;3940.0
406;Total buildings;Building projects not yet started;2018 November;3306.0
407;Total buildings;Building projects not yet started;2018 December;3100.0
408;Total buildings;Building projects not yet started;2018 4th quarter;3100.0
409;Total buildings;Building projects not yet started;2018;3100.0
410;Total buildings;Building projects not yet started;2019 January;2704.0
411;Total buildings;Building projects not yet started;2019 February;2605.0
412;Total buildings;Building projects not yet started;2019 March;2950.0
413;Total buildings;Building projects not yet started;2019 1st quarter;2950.0
414;Total buildings;Building projects not yet started;2019 April;3002.0
415;Total buildings;Building projects not yet started;2019 May;2758.0
416;Total buildings;Building projects not yet started;2019 June;2654.0
417;Total buildings;Building projects not yet started;2019 2nd quarter;2654.0
418;Total buildings;Building projects not yet started;2019 July;3375.0
419;Total buildings;Building projects not yet started;2019 August;2739.0
420;Total buildings;Building projects not yet started;2019 September;2509.0
421;Total buildings;Building projects not yet started;2019 3rd quarter;2509.0
422;Total buildings;Building projects not yet started;2019 October;3102.0
423;Total buildings;Building projects not yet started;2019 November;3312.0
424;Total buildings;Building projects not yet started;2019 December;3449.0
425;Total buildings;Building projects not yet started;2019 4th quarter;3449.0
426;Total buildings;Building projects not yet started;2019;3449.0
427;Total buildings;Building projects not yet started;2020 January;2970.0
428;Total buildings;Building projects not yet started;2020 February;2988.0
429;Total buildings;Building projects not yet started;2020 March;3356.0
430;Total buildings;Building projects not yet started;2020 1st quarter;3356.0
431;Total buildings;Building projects not yet started;2020 April;3492.0
432;Total buildings;Building projects not yet started;2020 May;3329.0
433;Total buildings;Building projects not yet started;2020 June;3144.0
434;Total buildings;Building projects not yet started;2020 2nd quarter;3144.0
435;Total buildings;Building projects not yet started;2020 July;3628.0
436;Total buildings;Building projects not yet started;2020 August;3068.0
437;Total buildings;Building projects not yet started;2020 September;3244.0
438;Total buildings;Building projects not yet started;2020 3rd quarter;3244.0
439;Total buildings;Building projects not yet started;2020 October;3613.0
440;Total buildings;Building projects not yet started;2020 November;3440.0
441;Total buildings;Building projects not yet started;2020 December;3803.0
442;Total buildings;Building projects not yet started;2020 4th quarter;3803.0
443;Total buildings;Building projects not yet started;2020;3803.0
444;Total buildings;Building projects not yet started;2021 January;3312.0
445;Total buildings;Building projects not yet started;2021 February;3394.0
446;Total buildings;Building projects not yet started;2021 March;4252.0
447;Total buildings;Building projects not yet started;2021 1st quarter;4252.0
448;Total buildings;Building projects not yet started;2021 April;4286.0
449;Total buildings;Building projects not yet started;2021 May;3812.0
450;Total buildings;Building projects not yet started;2021 June;3527.0
451;Total buildings;Building projects not yet started;2021 2nd quarter;3527.0
452;Total buildings;Building projects not yet started;2021 July;4024.0
453;Total buildings;Building projects not yet started;2021 August;3361.0
454;Total buildings;Building projects not yet started;2021 September;3573.0
455;Total buildings;Building projects not yet started;2021 3rd quarter;3573.0
456;Total buildings;Building projects not yet started;2021 October;3581.0
457;Total buildings;Building projects not yet started;2021 November;3671.0
458;Total buildings;Building projects not yet started;2021 December;3715.0
459;Total buildings;Building projects not yet started;2021 4th quarter;3715.0
460;Total buildings;Building projects not yet started;2021;3715.0
461;Total buildings;Building projects not yet started;2022 January;3339.0
462;Total buildings;Building projects not yet started;2022 February;3032.0
463;Total buildings;Building projects not yet started;2022 March;3769.0
464;Total buildings;Building projects not yet started;2022 1st quarter;3769.0
465;Total buildings;Building projects not yet started;2022 April;3385.0
466;Total buildings;Building projects not yet started;2022 May;3513.0
467;Total buildings;Building projects not yet started;2022 June;4033.0
468;Total buildings;Building projects not yet started;2022 2nd quarter;4033.0
469;Total buildings;Building projects not yet started;2022 July;4293.0
470;Total buildings;Building projects not yet started;2022 August;3448.0
471;Total buildings;Building projects not yet started;2022 September;3545.0
472;Total buildings;Building projects not yet started;2022 3rd quarter;3545.0
473;Total buildings;Building projects not yet started;2022 October;3676.0
474;Total buildings;Building projects not yet started;2022 November;3548.0
475;Total buildings;Building projects not yet started;2022 December;3291.0
476;Total buildings;Building projects not yet started;2022 4th quarter;3291.0
477;Total buildings;Building projects not yet started;2022;3291.0
478;Total buildings;Building projects not yet started;2023 January;3289.0
479;Total buildings;Building projects not yet started;2023 February;3290.0
480;Total buildings;Building projects not yet started;2023 March;3301.0
481;Total buildings;Building projects not yet started;2023 1st quarter;3301.0
482;Total buildings;Building projects not yet started;2023 April;3619.0
483;Total buildings;Building projects not yet started;2023 May;3130.0
484;Total buildings;Building projects not yet started;2023 June;3427.0
485;Total buildings;Building projects not yet started;2023 2nd quarter;3427.0
486;Total buildings;Building projects not yet started;2023 July;3083.0
487;Total buildings;Building projects not yet started;2023 August;2822.0
488;Total buildings;Building projects not yet started;2023 September;2849.0
489;Total buildings;Building projects not yet started;2023 3rd quarter;2849.0
490;Total buildings;Building projects not yet started;2023 October;3403.0
491;Total buildings;Building projects not yet started;2023 November;3334.0
492;Total buildings;Building projects not yet started;2023 December;3242.0
493;Total buildings;Building projects not yet started;2023 4th quarter;3242.0
494;Total buildings;Building projects not yet started;2023;3242.0
495;Total buildings;Building projects not yet started;2024 January;2954.0
496;Total buildings;Building projects not yet started;2024 February;3419.0
497;Total buildings;Building projects not yet started;2024 March;3878.0
498;Total buildings;Building projects not yet started;2024 1st quarter;3878.0
499;Total buildings;Building projects not yet started;2024 April;4348.0
500;Total buildings;Building projects not yet started;2024 May;4861.0
501;Total buildings;Building projects not yet started;2024 June;3995.0
502;Total buildings;Building projects not yet started;2024 2nd quarter;3995.0
503;Total buildings;Building projects not yet started;2024 July;4186.0
504;Total buildings;Building projects not yet started;2024 August;3117.0
505;Total buildings;Building projects not yet started;2024 September;2796.0
506;Total buildings;Building projects not yet started;2024 3rd quarter;2796.0
507;Total buildings;Building projects not yet started;2024 October;3463.0
508;Total buildings;Building projects not yet started;2024 November;3245.0
509;Total buildings;Building projects not yet started;2024 December;3328.0
510;Total buildings;Building projects not yet started;2024 4th quarter;3328.0
511;Total buildings;Building projects not yet started;2024;3328.0
512;Total buildings;Building projects not yet started;2025 January;2743.0
513;Total buildings;Building projects under construction;2015 January;15179.0
514;Total buildings;Building projects under construction;2015 February;15341.0
515;Total buildings;Building projects under construction;2015 March;15197.0
516;Total buildings;Building projects under construction;2015 1st quarter;15197.0
