ID;TransportModes;CommodityFlows;CommodityGroups;Continents;Periods;Estimate_1;LowerBound95ConfidenceInterval_2;UpperBound95ConfidenceInterval_3;ConfidenceInterval_4;ShareInCommodityFlow_5;GrowthIndication_6;Estimate_7;LowerBound95ConfidenceInterval_8;UpperBound95ConfidenceInterval_9;ConfidenceInterval_10;ShareInCommodityFlow_11;GrowthIndication_12
69;Total;"Inbound transport; total";Total;Unspecified countries and areas;2010;16;6;26;64.0;0;1.0;3;2;4;27.0;0;1.0
70;Total;"Inbound transport; total";Total;Unspecified countries and areas;2011;2421;383;4458;84.0;0;5.0;4048;3278;4817;19.0;1;5.0
71;Total;"Inbound transport; total";Total;Unspecified countries and areas;2012;2662;405;4920;85.0;0;9.0;5145;4116;6175;20.0;1;5.0
72;Total;"Inbound transport; total";Total;Unspecified countries and areas;2013;2657;667;4646;75.0;0;9.0;5579;4555;6603;18.0;1;9.0
73;Total;"Inbound transport; total";Total;Unspecified countries and areas;2014;408;271;546;34.0;0;1.0;612;526;697;14.0;0;1.0
74;Total;"Inbound transport; total";Total;Unspecified countries and areas;2015;345;213;477;38.0;0;9.0;759;631;887;17.0;0;5.0
75;Total;"Inbound transport; total";Total;Unspecified countries and areas;2016;197;115;280;42.0;0;1.0;556;454;658;18.0;0;1.0
76;Total;"Inbound transport; total";Total;Unspecified countries and areas;2017;149;85;212;43.0;0;9.0;340;278;403;18.0;0;1.0
77;Total;"Inbound transport; total";0 Agricultural products and live animals;Total all continents;2007;14836;13602;16071;8.0;3;;28048;26488;29608;6.0;5;
78;Total;"Inbound transport; total";0 Agricultural products and live animals;Total all continents;2008;15097;14001;16194;7.0;3;9.0;25496;24266;26725;5.0;4;2.0
79;Total;"Inbound transport; total";0 Agricultural products and live animals;Total all continents;2009;14426;13250;15601;8.0;3;9.0;24606;23435;25778;5.0;5;9.0
80;Total;"Inbound transport; total";0 Agricultural products and live animals;Total all continents;2010;15481;14296;16665;8.0;3;9.0;27421;25955;28886;5.0;5;5.0
81;Total;"Inbound transport; total";0 Agricultural products and live animals;Total all continents;2011;20460;18572;22348;9.0;4;5.0;31348;29912;32784;5.0;5;5.0
82;Total;"Inbound transport; total";0 Agricultural products and live animals;Total all continents;2012;19060;17512;20608;8.0;3;9.0;29835;28420;31249;5.0;5;2.0
83;Total;"Inbound transport; total";0 Agricultural products and live animals;Total all continents;2013;20480;18690;22270;9.0;4;9.0;32130;30529;33730;5.0;6;4.0
84;Total;"Inbound transport; total";0 Agricultural products and live animals;Total all continents;2014;18591;17135;20047;8.0;3;2.0;31506;30008;33004;5.0;5;9.0
85;Total;"Inbound transport; total";0 Agricultural products and live animals;Total all continents;2015;23538;21350;25727;9.0;4;5.0;31911;30344;33479;5.0;5;9.0
86;Total;"Inbound transport; total";0 Agricultural products and live animals;Total all continents;2016;21897;20051;23743;8.0;4;9.0;32581;31058;34105;5.0;6;9.0
87;Total;"Inbound transport; total";0 Agricultural products and live animals;Total all continents;2017;25136;22872;27401;9.0;4;5.0;38071;36214;39929;5.0;6;5.0
88;Total;"Inbound transport; total";0 Agricultural products and live animals;Africa;2007;1105;797;1413;28.0;0;;981;764;1197;22.0;0;
89;Total;"Inbound transport; total";0 Agricultural products and live animals;Africa;2008;1137;873;1402;23.0;0;9.0;427;306;548;28.0;0;1.0
90;Total;"Inbound transport; total";0 Agricultural products and live animals;Africa;2009;1192;857;1527;28.0;0;9.0;897;740;1054;17.0;0;5.0
91;Total;"Inbound transport; total";0 Agricultural products and live animals;Africa;2010;1234;906;1563;27.0;0;9.0;785;578;992;26.0;0;9.0
92;Total;"Inbound transport; total";0 Agricultural products and live animals;Africa;2011;1321;832;1810;37.0;0;9.0;1004;802;1206;20.0;0;5.0
93;Total;"Inbound transport; total";0 Agricultural products and live animals;Africa;2012;1299;945;1654;27.0;0;9.0;1035;861;1210;17.0;0;9.0
94;Total;"Inbound transport; total";0 Agricultural products and live animals;Africa;2013;1384;963;1805;30.0;0;9.0;1152;917;1387;20.0;0;9.0
95;Total;"Inbound transport; total";0 Agricultural products and live animals;Africa;2014;1351;1024;1678;24.0;0;9.0;954;774;1134;19.0;0;1.0
96;Total;"Inbound transport; total";0 Agricultural products and live animals;Africa;2015;1688;1101;2275;35.0;0;9.0;1059;831;1287;22.0;0;9.0
97;Total;"Inbound transport; total";0 Agricultural products and live animals;Africa;2016;1668;1203;2134;28.0;0;9.0;1095;902;1287;18.0;0;9.0
98;Total;"Inbound transport; total";0 Agricultural products and live animals;Africa;2017;1832;1297;2368;29.0;0;9.0;1453;1167;1739;20.0;0;5.0
99;Total;"Inbound transport; total";0 Agricultural products and live animals;America;2007;2115;1555;2676;26.0;0;;3427;2891;3963;16.0;1;
100;Total;"Inbound transport; total";0 Agricultural products and live animals;America;2008;2152;1720;2583;20.0;0;9.0;877;659;1095;25.0;0;1.0
101;Total;"Inbound transport; total";0 Agricultural products and live animals;America;2009;2107;1590;2624;25.0;0;9.0;2049;1807;2291;12.0;0;5.0
102;Total;"Inbound transport; total";0 Agricultural products and live animals;America;2010;2035;1537;2533;24.0;0;9.0;2241;1891;2591;16.0;0;9.0
103;Total;"Inbound transport; total";0 Agricultural products and live animals;America;2011;3025;2164;3886;28.0;1;5.0;3685;3305;4065;10.0;1;5.0
104;Total;"Inbound transport; total";0 Agricultural products and live animals;America;2012;2740;2090;3390;24.0;0;9.0;3424;3070;3777;10.0;1;9.0
105;Total;"Inbound transport; total";0 Agricultural products and live animals;America;2013;3238;2497;3979;23.0;1;9.0;3943;3559;4327;10.0;1;5.0
106;Total;"Inbound transport; total";0 Agricultural products and live animals;America;2014;3125;2538;3713;19.0;1;9.0;3605;3265;3944;9.0;1;2.0
107;Total;"Inbound transport; total";0 Agricultural products and live animals;America;2015;4105;3068;5142;25.0;1;5.0;3072;2723;3421;11.0;1;1.0
108;Total;"Inbound transport; total";0 Agricultural products and live animals;America;2016;3981;3132;4829;21.0;1;9.0;3623;3273;3973;10.0;1;5.0
109;Total;"Inbound transport; total";0 Agricultural products and live animals;America;2017;4467;3511;5423;21.0;1;9.0;4313;3842;4783;11.0;1;5.0
110;Total;"Inbound transport; total";0 Agricultural products and live animals;Asia;2007;1267;827;1707;35.0;0;;1412;1086;1738;23.0;0;
111;Total;"Inbound transport; total";0 Agricultural products and live animals;Asia;2008;1182;853;1510;28.0;0;9.0;275;145;405;47.0;0;1.0
112;Total;"Inbound transport; total";0 Agricultural products and live animals;Asia;2009;1230;814;1646;34.0;0;9.0;646;509;784;21.0;0;5.0
113;Total;"Inbound transport; total";0 Agricultural products and live animals;Asia;2010;1333;931;1736;30.0;0;9.0;737;520;955;30.0;0;9.0
114;Total;"Inbound transport; total";0 Agricultural products and live animals;Asia;2011;1947;1188;2706;39.0;0;9.0;1187;940;1433;21.0;0;5.0
115;Total;"Inbound transport; total";0 Agricultural products and live animals;Asia;2012;1609;1076;2142;33.0;0;9.0;1200;977;1423;19.0;0;9.0
116;Total;"Inbound transport; total";0 Agricultural products and live animals;Asia;2013;1643;1025;2262;38.0;0;9.0;1326;1093;1559;18.0;0;9.0
117;Total;"Inbound transport; total";0 Agricultural products and live animals;Asia;2014;1487;991;1983;33.0;0;9.0;1202;951;1454;21.0;0;9.0
118;Total;"Inbound transport; total";0 Agricultural products and live animals;Asia;2015;2352;1420;3284;40.0;0;5.0;1318;1051;1586;20.0;0;9.0
119;Total;"Inbound transport; total";0 Agricultural products and live animals;Asia;2016;1998;1249;2747;37.0;0;9.0;1283;991;1575;23.0;0;9.0
120;Total;"Inbound transport; total";0 Agricultural products and live animals;Asia;2017;2412;1519;3306;37.0;0;9.0;1851;1508;2193;19.0;0;5.0
121;Total;"Inbound transport; total";0 Agricultural products and live animals;Europe;2007;10285;9327;11243;9.0;2;;22159;20748;23570;6.0;4;
122;Total;"Inbound transport; total";0 Agricultural products and live animals;Europe;2008;10576;9661;11490;9.0;2;9.0;23892;22695;25089;5.0;4;4.0
123;Total;"Inbound transport; total";0 Agricultural products and live animals;Europe;2009;9798;8891;10705;9.0;2;9.0;20920;19794;22046;5.0;4;1.0
124;Total;"Inbound transport; total";0 Agricultural products and live animals;Europe;2010;10808;9869;11747;9.0;2;5.0;23544;22154;24934;6.0;4;5.0
125;Total;"Inbound transport; total";0 Agricultural products and live animals;Europe;2011;13693;12355;15031;10.0;3;5.0;24964;23621;26306;5.0;4;4.0
126;Total;"Inbound transport; total";0 Agricultural products and live animals;Europe;2012;13121;11901;14341;9.0;2;9.0;23748;22411;25084;6.0;4;2.0
127;Total;"Inbound transport; total";0 Agricultural products and live animals;Europe;2013;13836;12439;15233;10.0;2;9.0;25315;23799;26831;6.0;4;4.0
128;Total;"Inbound transport; total";0 Agricultural products and live animals;Europe;2014;12364;11201;13527;9.0;2;1.0;25382;23959;26804;6.0;4;9.0
129;Total;"Inbound transport; total";0 Agricultural products and live animals;Europe;2015;15068;13508;16628;10.0;2;5.0;26069;24584;27553;6.0;4;9.0
130;Total;"Inbound transport; total";0 Agricultural products and live animals;Europe;2016;14019;12649;15389;10.0;2;9.0;26245;24806;27683;5.0;4;9.0
131;Total;"Inbound transport; total";0 Agricultural products and live animals;Europe;2017;16106;14357;17856;11.0;2;5.0;29889;28153;31625;6.0;5;5.0
132;Total;"Inbound transport; total";0 Agricultural products and live animals;Oceania;2007;64;8;120;88.0;0;;69;19;119;72.0;0;
133;Total;"Inbound transport; total";0 Agricultural products and live animals;Oceania;2008;51;4;97;92.0;0;9.0;25;3;48;88.0;0;1.0
134;Total;"Inbound transport; total";0 Agricultural products and live animals;Oceania;2009;98;16;179;83.0;0;9.0;95;52;138;45.0;0;5.0
135;Total;"Inbound transport; total";0 Agricultural products and live animals;Oceania;2010;69;20;118;71.0;0;9.0;113;63;164;44.0;0;9.0
136;Total;"Inbound transport; total";0 Agricultural products and live animals;Oceania;2011;472;7;937;98.0;0;5.0;509;395;623;22.0;0;5.0
137;Total;"Inbound transport; total";0 Agricultural products and live animals;Oceania;2012;290;18;562;94.0;0;9.0;428;326;529;24.0;0;9.0
138;Total;"Inbound transport; total";0 Agricultural products and live animals;Oceania;2013;378;0;757;;0;9.0;393;307;480;22.0;0;9.0
139;Total;"Inbound transport; total";0 Agricultural products and live animals;Oceania;2014;264;1;527;100.0;0;9.0;363;267;460;27.0;0;9.0
140;Total;"Inbound transport; total";0 Agricultural products and live animals;Oceania;2015;325;63;588;81.0;0;9.0;393;303;483;23.0;0;9.0
141;Total;"Inbound transport; total";0 Agricultural products and live animals;Oceania;2016;230;46;414;80.0;0;9.0;335;257;413;23.0;0;9.0
142;Total;"Inbound transport; total";0 Agricultural products and live animals;Oceania;2017;318;56;580;82.0;0;9.0;566;441;691;22.0;0;5.0
143;Total;"Inbound transport; total";0 Agricultural products and live animals;Unspecified countries and areas;2007;0;0;0;;0;;0;0;0;;0;
144;Total;"Inbound transport; total";0 Agricultural products and live animals;Unspecified countries and areas;2008;0;0;0;;0;;0;0;0;;0;
145;Total;"Inbound transport; total";0 Agricultural products and live animals;Unspecified countries and areas;2009;0;0;0;;0;;0;0;0;;0;
146;Total;"Inbound transport; total";0 Agricultural products and live animals;Unspecified countries and areas;2010;1;0;1;96.0;0;;0;0;1;84.0;0;
147;Total;"Inbound transport; total";0 Agricultural products and live animals;Unspecified countries and areas;2011;2;1;2;39.0;0;9.0;0;0;1;57.0;0;9.0
148;Total;"Inbound transport; total";0 Agricultural products and live animals;Unspecified countries and areas;2012;0;0;0;;0;;0;0;0;;0;
149;Total;"Inbound transport; total";0 Agricultural products and live animals;Unspecified countries and areas;2013;1;0;2;85.0;0;;1;0;1;88.0;0;
150;Total;"Inbound transport; total";0 Agricultural products and live animals;Unspecified countries and areas;2014;0;0;0;;0;;0;0;0;;0;
151;Total;"Inbound transport; total";0 Agricultural products and live animals;Unspecified countries and areas;2015;1;0;1;;0;;0;0;0;;0;
152;Total;"Inbound transport; total";0 Agricultural products and live animals;Unspecified countries and areas;2016;0;0;0;;0;;0;0;0;;0;
153;Total;"Inbound transport; total";0 Agricultural products and live animals;Unspecified countries and areas;2017;0;0;0;;0;;0;0;0;;0;
154;Total;"Inbound transport; total";1 Foodstuffs and animal fodder;Total all continents;2007;33045;29888;36202;10.0;7;;53604;50181;57027;6.0;9;
155;Total;"Inbound transport; total";1 Foodstuffs and animal fodder;Total all continents;2008;37671;34408;40935;9.0;7;5.0;53428;50301;56556;6.0;9;9.0
156;Total;"Inbound transport; total";1 Foodstuffs and animal fodder;Total all continents;2009;31818;29484;34152;7.0;7;1.0;50153;47419;52887;5.0;10;2.0
157;Total;"Inbound transport; total";1 Foodstuffs and animal fodder;Total all continents;2010;38206;35008;41405;8.0;7;5.0;53024;50124;55924;5.0;9;4.0
158;Total;"Inbound transport; total";1 Foodstuffs and animal fodder;Total all continents;2011;44159;40732;47585;8.0;8;5.0;59371;56472;62270;5.0;10;5.0
159;Total;"Inbound transport; total";1 Foodstuffs and animal fodder;Total all continents;2012;48323;44385;52261;8.0;8;4.0;53746;51149;56343;5.0;9;2.0
160;Total;"Inbound transport; total";1 Foodstuffs and animal fodder;Total all continents;2013;47650;43944;51356;8.0;8;9.0;56418;53654;59181;5.0;10;4.0
161;Total;"Inbound transport; total";1 Foodstuffs and animal fodder;Total all continents;2014;50646;46300;54993;9.0;9;9.0;56597;53756;59438;5.0;10;9.0
162;Total;"Inbound transport; total";1 Foodstuffs and animal fodder;Total all continents;2015;53167;48600;57734;9.0;9;9.0;55448;52680;58217;5.0;9;9.0
163;Total;"Inbound transport; total";1 Foodstuffs and animal fodder;Total all continents;2016;51930;47853;56007;8.0;9;9.0;54997;52217;57778;5.0;9;9.0
164;Total;"Inbound transport; total";1 Foodstuffs and animal fodder;Total all continents;2017;59276;53948;64604;9.0;9;5.0;57515;54591;60438;5.0;10;9.0
165;Total;"Inbound transport; total";1 Foodstuffs and animal fodder;Africa;2007;1373;824;1922;40.0;0;;927;703;1152;24.0;0;
166;Total;"Inbound transport; total";1 Foodstuffs and animal fodder;Africa;2008;1792;1206;2377;33.0;0;9.0;944;692;1195;27.0;0;9.0
167;Total;"Inbound transport; total";1 Foodstuffs and animal fodder;Africa;2009;1813;1378;2248;24.0;0;9.0;828;609;1047;26.0;0;9.0
168;Total;"Inbound transport; total";1 Foodstuffs and animal fodder;Africa;2010;2386;1645;3127;31.0;0;9.0;1002;706;1298;30.0;0;9.0
169;Total;"Inbound transport; total";1 Foodstuffs and animal fodder;Africa;2011;2105;1498;2712;29.0;0;9.0;974;833;1114;14.0;0;9.0
170;Total;"Inbound transport; total";1 Foodstuffs and animal fodder;Africa;2012;2061;1503;2619;27.0;0;9.0;905;767;1043;15.0;0;9.0
171;Total;"Inbound transport; total";1 Foodstuffs and animal fodder;Africa;2013;1533;1094;1973;29.0;0;1.0;726;609;844;16.0;0;1.0
172;Total;"Inbound transport; total";1 Foodstuffs and animal fodder;Africa;2014;1821;1297;2345;29.0;0;9.0;757;601;913;21.0;0;9.0
173;Total;"Inbound transport; total";1 Foodstuffs and animal fodder;Africa;2015;2615;1893;3337;28.0;0;5.0;1007;856;1158;15.0;0;5.0
174;Total;"Inbound transport; total";1 Foodstuffs and animal fodder;Africa;2016;1999;1380;2617;31.0;0;1.0;785;666;904;15.0;0;1.0
175;Total;"Inbound transport; total";1 Foodstuffs and animal fodder;Africa;2017;1526;879;2172;42.0;0;9.0;724;603;845;17.0;0;9.0
176;Total;"Inbound transport; total";1 Foodstuffs and animal fodder;America;2007;5642;4111;7173;27.0;1;;12391;10633;14149;14.0;2;
177;Total;"Inbound transport; total";1 Foodstuffs and animal fodder;America;2008;6951;5422;8480;22.0;1;9.0;14013;12330;15695;12.0;2;9.0
178;Total;"Inbound transport; total";1 Foodstuffs and animal fodder;America;2009;5180;4176;6183;19.0;1;1.0;11701;10317;13085;12.0;2;1.0
179;Total;"Inbound transport; total";1 Foodstuffs and animal fodder;America;2010;7042;5557;8528;21.0;1;5.0;12595;11253;13937;11.0;2;9.0
180;Total;"Inbound transport; total";1 Foodstuffs and animal fodder;America;2011;8043;6415;9671;20.0;2;9.0;12738;11612;13864;9.0;2;9.0
181;Total;"Inbound transport; total";1 Foodstuffs and animal fodder;America;2012;9068;7207;10929;21.0;2;9.0;11630;10618;12643;9.0;2;2.0
182;Total;"Inbound transport; total";1 Foodstuffs and animal fodder;America;2013;8974;7274;10674;19.0;2;9.0;12787;11681;13893;9.0;2;4.0
183;Total;"Inbound transport; total";1 Foodstuffs and animal fodder;America;2014;10016;7854;12178;22.0;2;9.0;12715;11529;13902;9.0;2;9.0
184;Total;"Inbound transport; total";1 Foodstuffs and animal fodder;America;2015;9715;7622;11808;22.0;2;9.0;12696;11570;13822;9.0;2;9.0
185;Total;"Inbound transport; total";1 Foodstuffs and animal fodder;America;2016;8801;7074;10528;20.0;2;9.0;12123;11031;13214;9.0;2;9.0
186;Total;"Inbound transport; total";1 Foodstuffs and animal fodder;America;2017;9568;7254;11883;24.0;1;9.0;11830;10749;12911;9.0;2;9.0
187;Total;"Inbound transport; total";1 Foodstuffs and animal fodder;Asia;2007;2758;1530;3986;45.0;1;;5356;3832;6879;28.0;1;
188;Total;"Inbound transport; total";1 Foodstuffs and animal fodder;Asia;2008;3278;2110;4445;36.0;1;9.0;5569;4275;6862;23.0;1;9.0
189;Total;"Inbound transport; total";1 Foodstuffs and animal fodder;Asia;2009;2498;1779;3218;29.0;1;1.0;5156;4133;6180;20.0;1;9.0
190;Total;"Inbound transport; total";1 Foodstuffs and animal fodder;Asia;2010;3135;1963;4307;37.0;1;9.0;4569;3602;5535;21.0;1;9.0
191;Total;"Inbound transport; total";1 Foodstuffs and animal fodder;Asia;2011;4095;2818;5373;31.0;1;9.0;5275;4509;6041;15.0;1;9.0
192;Total;"Inbound transport; total";1 Foodstuffs and animal fodder;Asia;2012;5089;3633;6544;29.0;1;9.0;5982;5195;6770;13.0;1;9.0
193;Total;"Inbound transport; total";1 Foodstuffs and animal fodder;Asia;2013;4838;3535;6140;27.0;1;9.0;6657;5799;7514;13.0;1;9.0
194;Total;"Inbound transport; total";1 Foodstuffs and animal fodder;Asia;2014;5257;3572;6942;32.0;1;9.0;6064;5135;6993;15.0;1;9.0
195;Total;"Inbound transport; total";1 Foodstuffs and animal fodder;Asia;2015;5509;3738;7280;32.0;1;9.0;6211;5348;7074;14.0;1;9.0
196;Total;"Inbound transport; total";1 Foodstuffs and animal fodder;Asia;2016;4981;3473;6488;30.0;1;9.0;5795;4903;6688;15.0;1;9.0
197;Total;"Inbound transport; total";1 Foodstuffs and animal fodder;Asia;2017;6549;4269;8829;35.0;1;9.0;6480;5376;7583;17.0;1;9.0
198;Total;"Inbound transport; total";1 Foodstuffs and animal fodder;Europe;2007;23001;20603;25398;10.0;5;;34767;32268;37266;7.0;6;
