ID;Bedrijfskenmerken;Perioden;OpenstaandeVacatures_1;OntstaneVacatures_2;VervuldeVacatures_3;OpenstaandeVacatures_4;OntstaneVacatures_5;VervuldeVacatures_6
46;A-O Totaal SBI'93;2006 2e kwartaal;;;;210.0;283.0;259.0
47;A-O Totaal SBI'93;2006 3e kwartaal;;;;200.5;264.0;274.0
48;A-O Totaal SBI'93;2006 4e kwartaal;221.2;257.0;256.0;208.0;246.0;238.0
49;A-O Totaal SBI'93;2006 jaarcijfer;;;;194.6;1045.0;994.0
50;A-O Totaal SBI'93;2007 1e kwartaal;239.0;293.0;275.0;;;
51;A-O Totaal SBI'93;2007 2e kwartaal;251.1;302.0;290.0;;;
52;A-O Totaal SBI'93;2007 3e kwartaal;238.2;272.0;285.0;;;
53;A-O Totaal SBI'93;2007 4e kwartaal;240.2;260.0;258.0;;;
54;A-O Totaal SBI'93;2007 jaarcijfer;239.8;1127.0;1108.0;;;
55;A-O Totaal SBI'93;2008 1e kwartaal;250.0;275.0;266.0;;;
56;A-O Totaal SBI'93;2008 2e kwartaal;255.9;287.0;281.0;;;
57;A-O Totaal SBI'93;2008 3e kwartaal;237.5;263.0;289.0;;;
58;A-O Totaal SBI'93;2008 4e kwartaal;187.8;204.0;254.0;;;
59;A-O Totaal SBI'93;2008 jaarcijfer;239.3;1030.0;1089.0;;;
60;A-O Totaal SBI'93;2009 1e kwartaal;153.9;187.0;221.0;;;
61;A-O Totaal SBI'93;2009 2e kwartaal;136.8;185.0;202.0;;;
62;A-O Totaal SBI'93;2009 3e kwartaal;124.4;182.0;195.0;;;
63;A-O Totaal SBI'93;2009 4e kwartaal;119.1;171.0;176.0;;;
64;A-O Totaal SBI'93;2009 jaarcijfer;142.1;725.0;793.0;;;
65;A, B Landbouw, bosbouw en visserij;1997 1e kwartaal;;;;0.9;3.0;3.0
66;A, B Landbouw, bosbouw en visserij;1997 2e kwartaal;;;;2.0;7.0;6.0
67;A, B Landbouw, bosbouw en visserij;1997 3e kwartaal;;;;1.8;3.0;4.0
68;A, B Landbouw, bosbouw en visserij;1997 4e kwartaal;;;;1.5;3.0;3.0
69;A, B Landbouw, bosbouw en visserij;1997 jaarcijfer;;;;;;
70;A, B Landbouw, bosbouw en visserij;1998 1e kwartaal;;;;2.4;8.0;7.0
71;A, B Landbouw, bosbouw en visserij;1998 2e kwartaal;;;;1.8;5.0;5.0
72;A, B Landbouw, bosbouw en visserij;1998 3e kwartaal;;;;2.0;7.0;7.0
73;A, B Landbouw, bosbouw en visserij;1998 4e kwartaal;;;;2.1;4.0;4.0
74;A, B Landbouw, bosbouw en visserij;1998 jaarcijfer;;;;2.0;24.0;23.0
75;A, B Landbouw, bosbouw en visserij;1999 1e kwartaal;;;;2.6;7.0;6.0
76;A, B Landbouw, bosbouw en visserij;1999 2e kwartaal;;;;3.2;8.0;7.0
77;A, B Landbouw, bosbouw en visserij;1999 3e kwartaal;;;;2.3;5.0;6.0
78;A, B Landbouw, bosbouw en visserij;1999 4e kwartaal;;;;2.5;4.0;4.0
79;A, B Landbouw, bosbouw en visserij;1999 jaarcijfer;;;;2.6;23.0;23.0
80;A, B Landbouw, bosbouw en visserij;2000 1e kwartaal;;;;3.4;7.0;6.0
81;A, B Landbouw, bosbouw en visserij;2000 2e kwartaal;;;;4.1;6.0;5.0
82;A, B Landbouw, bosbouw en visserij;2000 3e kwartaal;;;;2.8;8.0;9.0
83;A, B Landbouw, bosbouw en visserij;2000 4e kwartaal;;;;3.8;6.0;5.0
84;A, B Landbouw, bosbouw en visserij;2000 jaarcijfer;;;;3.4;26.0;25.0
85;A, B Landbouw, bosbouw en visserij;2001 1e kwartaal;;;;4.4;6.0;6.0
86;A, B Landbouw, bosbouw en visserij;2001 2e kwartaal;;;;3.4;4.0;5.0
87;A, B Landbouw, bosbouw en visserij;2001 3e kwartaal;;;;2.7;4.0;5.0
88;A, B Landbouw, bosbouw en visserij;2001 4e kwartaal;;;;2.6;3.0;3.0
89;A, B Landbouw, bosbouw en visserij;2001 jaarcijfer;;;;3.4;18.0;19.0
90;A, B Landbouw, bosbouw en visserij;2002 1e kwartaal;;;;4.6;6.0;4.0
91;A, B Landbouw, bosbouw en visserij;2002 2e kwartaal;;;;4.0;4.0;5.0
92;A, B Landbouw, bosbouw en visserij;2002 3e kwartaal;;;;1.2;2.0;5.0
93;A, B Landbouw, bosbouw en visserij;2002 4e kwartaal;;;;1.9;3.0;3.0
94;A, B Landbouw, bosbouw en visserij;2002 jaarcijfer;;;;3.0;16.0;17.0
95;A, B Landbouw, bosbouw en visserij;2003 1e kwartaal;;;;2.9;5.0;4.0
96;A, B Landbouw, bosbouw en visserij;2003 2e kwartaal;;;;2.8;4.0;4.0
97;A, B Landbouw, bosbouw en visserij;2003 3e kwartaal;;;;1.1;4.0;5.0
98;A, B Landbouw, bosbouw en visserij;2003 4e kwartaal;;;;1.4;4.0;4.0
99;A, B Landbouw, bosbouw en visserij;2003 jaarcijfer;;;;2.1;17.0;17.0
100;A, B Landbouw, bosbouw en visserij;2004 1e kwartaal;;;;3.9;7.0;5.0
101;A, B Landbouw, bosbouw en visserij;2004 2e kwartaal;;;;4.1;9.0;8.0
102;A, B Landbouw, bosbouw en visserij;2004 3e kwartaal;;;;2.5;8.0;9.0
103;A, B Landbouw, bosbouw en visserij;2004 4e kwartaal;;;;2.5;5.0;5.0
104;A, B Landbouw, bosbouw en visserij;2004 jaarcijfer;;;;3.1;29.0;28.0
105;A, B Landbouw, bosbouw en visserij;2005 1e kwartaal;;;;5.0;9.0;7.0
106;A, B Landbouw, bosbouw en visserij;2005 2e kwartaal;;;;4.3;8.0;8.0
107;A, B Landbouw, bosbouw en visserij;2005 3e kwartaal;;;;3.9;11.0;12.0
108;A, B Landbouw, bosbouw en visserij;2005 4e kwartaal;;;;3.1;6.0;7.0
109;A, B Landbouw, bosbouw en visserij;2005 jaarcijfer;;;;4.0;34.0;33.0
110;A, B Landbouw, bosbouw en visserij;2006 1e kwartaal;;;;3.9;7.0;6.0
111;A, B Landbouw, bosbouw en visserij;2006 2e kwartaal;;;;5.1;10.0;9.0
112;A, B Landbouw, bosbouw en visserij;2006 3e kwartaal;;;;3.5;11.0;13.0
113;A, B Landbouw, bosbouw en visserij;2006 4e kwartaal;4.5;9.0;10.0;4.0;8.0;7.0
114;A, B Landbouw, bosbouw en visserij;2006 jaarcijfer;;;;4.0;36.0;35.0
115;A, B Landbouw, bosbouw en visserij;2007 1e kwartaal;5.2;9.0;8.0;;;
116;A, B Landbouw, bosbouw en visserij;2007 2e kwartaal;6.3;13.0;12.0;;;
117;A, B Landbouw, bosbouw en visserij;2007 3e kwartaal;4.9;8.0;9.0;;;
118;A, B Landbouw, bosbouw en visserij;2007 4e kwartaal;3.8;5.0;6.0;;;
119;A, B Landbouw, bosbouw en visserij;2007 jaarcijfer;5.1;34.0;35.0;;;
120;A, B Landbouw, bosbouw en visserij;2008 1e kwartaal;4.4;7.0;6.0;;;
121;A, B Landbouw, bosbouw en visserij;2008 2e kwartaal;4.6;8.0;8.0;;;
122;A, B Landbouw, bosbouw en visserij;2008 3e kwartaal;3.7;7.0;7.0;;;
123;A, B Landbouw, bosbouw en visserij;2008 4e kwartaal;2.4;4.0;6.0;;;
124;A, B Landbouw, bosbouw en visserij;2008 jaarcijfer;4.0;26.0;27.0;;;
125;A, B Landbouw, bosbouw en visserij;2009 1e kwartaal;2.2;4.0;4.0;;;
126;A, B Landbouw, bosbouw en visserij;2009 2e kwartaal;2.4;4.0;4.0;;;
127;A, B Landbouw, bosbouw en visserij;2009 3e kwartaal;2.2;4.0;4.0;;;
128;A, B Landbouw, bosbouw en visserij;2009 4e kwartaal;1.7;3.0;3.0;;;
129;A, B Landbouw, bosbouw en visserij;2009 jaarcijfer;2.2;15.0;16.0;;;
130;C-F Nijverheid;1997 1e kwartaal;;;;20.6;31.0;27.0
131;C-F Nijverheid;1997 2e kwartaal;;;;24.9;44.0;40.0
132;C-F Nijverheid;1997 3e kwartaal;;;;21.6;33.0;37.0
133;C-F Nijverheid;1997 4e kwartaal;;;;25.4;32.0;29.0
134;C-F Nijverheid;1997 jaarcijfer;;;;;;
135;C-F Nijverheid;1998 1e kwartaal;;;;27.1;40.0;38.0
136;C-F Nijverheid;1998 2e kwartaal;;;;32.1;46.0;41.0
137;C-F Nijverheid;1998 3e kwartaal;;;;26.8;32.0;37.0
138;C-F Nijverheid;1998 4e kwartaal;;;;28.8;34.0;32.0
139;C-F Nijverheid;1998 jaarcijfer;;;;28.2;152.0;148.0
140;C-F Nijverheid;1999 1e kwartaal;;;;33.3;47.0;43.0
141;C-F Nijverheid;1999 2e kwartaal;;;;43.2;52.0;42.0
142;C-F Nijverheid;1999 3e kwartaal;;;;38.6;39.0;43.0
143;C-F Nijverheid;1999 4e kwartaal;;;;40.3;39.0;37.0
144;C-F Nijverheid;1999 jaarcijfer;;;;37.4;177.0;165.0
145;C-F Nijverheid;2000 1e kwartaal;;;;50.9;59.0;48.0
146;C-F Nijverheid;2000 2e kwartaal;;;;54.2;53.0;49.0
147;C-F Nijverheid;2000 3e kwartaal;;;;42.7;38.0;49.0
148;C-F Nijverheid;2000 4e kwartaal;;;;43.8;42.0;41.0
149;C-F Nijverheid;2000 jaarcijfer;;;;47.5;191.0;188.0
150;C-F Nijverheid;2001 1e kwartaal;;;;45.2;49.0;48.0
151;C-F Nijverheid;2001 2e kwartaal;;;;45.5;42.0;42.0
152;C-F Nijverheid;2001 3e kwartaal;;;;35.0;33.0;43.0
153;C-F Nijverheid;2001 4e kwartaal;;;;33.8;30.0;31.0
154;C-F Nijverheid;2001 jaarcijfer;;;;41.1;154.0;164.0
155;C-F Nijverheid;2002 1e kwartaal;;;;35.1;35.0;33.0
156;C-F Nijverheid;2002 2e kwartaal;;;;31.6;31.0;34.0
157;C-F Nijverheid;2002 3e kwartaal;;;;18.7;20.0;33.0
158;C-F Nijverheid;2002 4e kwartaal;;;;19.6;21.0;20.0
159;C-F Nijverheid;2002 jaarcijfer;;;;28.0;106.0;120.0
160;C-F Nijverheid;2003 1e kwartaal;;;;20.0;27.0;27.0
161;C-F Nijverheid;2003 2e kwartaal;;;;18.4;25.0;26.0
162;C-F Nijverheid;2003 3e kwartaal;;;;12.5;18.0;24.0
163;C-F Nijverheid;2003 4e kwartaal;;;;14.3;18.0;16.0
164;C-F Nijverheid;2003 jaarcijfer;;;;17.0;88.0;94.0
165;C-F Nijverheid;2004 1e kwartaal;;;;17.6;25.0;22.0
166;C-F Nijverheid;2004 2e kwartaal;;;;19.6;28.0;26.0
167;C-F Nijverheid;2004 3e kwartaal;;;;15.6;22.0;26.0
168;C-F Nijverheid;2004 4e kwartaal;;;;17.7;24.0;22.0
169;C-F Nijverheid;2004 jaarcijfer;;;;17.2;99.0;96.0
170;C-F Nijverheid;2005 1e kwartaal;;;;21.3;30.0;26.0
171;C-F Nijverheid;2005 2e kwartaal;;;;23.4;32.0;30.0
172;C-F Nijverheid;2005 3e kwartaal;;;;24.6;31.0;30.0
173;C-F Nijverheid;2005 4e kwartaal;;;;25.4;31.0;30.0
174;C-F Nijverheid;2005 jaarcijfer;;;;22.7;125.0;117.0
175;C-F Nijverheid;2006 1e kwartaal;;;;30.6;38.0;33.0
176;C-F Nijverheid;2006 2e kwartaal;;;;35.3;42.0;38.0
177;C-F Nijverheid;2006 3e kwartaal;;;;36.9;41.0;39.0
178;C-F Nijverheid;2006 4e kwartaal;38.3;37.0;37.0;37.3;36.0;35.0
179;C-F Nijverheid;2006 jaarcijfer;;;;33.5;157.0;145.0
180;C-F Nijverheid;2007 1e kwartaal;42.1;44.0;40.0;;;
181;C-F Nijverheid;2007 2e kwartaal;45.4;45.0;42.0;;;
182;C-F Nijverheid;2007 3e kwartaal;45.7;40.0;40.0;;;
183;C-F Nijverheid;2007 4e kwartaal;44.8;38.0;39.0;;;
184;C-F Nijverheid;2007 jaarcijfer;43.7;167.0;160.0;;;
185;C-F Nijverheid;2008 1e kwartaal;49.2;42.0;38.0;;;
186;C-F Nijverheid;2008 2e kwartaal;47.0;38.0;40.0;;;
187;C-F Nijverheid;2008 3e kwartaal;41.7;33.0;38.0;;;
188;C-F Nijverheid;2008 4e kwartaal;28.1;21.0;34.0;;;
189;C-F Nijverheid;2008 jaarcijfer;43.6;134.0;151.0;;;
190;C-F Nijverheid;2009 1e kwartaal;19.6;19.0;28.0;;;
191;C-F Nijverheid;2009 2e kwartaal;16.1;17.0;21.0;;;
192;C-F Nijverheid;2009 3e kwartaal;14.6;17.0;19.0;;;
193;C-F Nijverheid;2009 4e kwartaal;13.7;17.0;18.0;;;
194;C-F Nijverheid;2009 jaarcijfer;17.8;70.0;85.0;;;
195;C Delfstoffenwinning;1997 1e kwartaal;;;;0.4;0.0;0.0
196;C Delfstoffenwinning;1997 2e kwartaal;;;;0.4;0.0;0.0
197;C Delfstoffenwinning;1997 3e kwartaal;;;;0.2;0.0;0.0
198;C Delfstoffenwinning;1997 4e kwartaal;;;;0.4;0.0;0.0
199;C Delfstoffenwinning;1997 jaarcijfer;;;;;;
200;C Delfstoffenwinning;1998 1e kwartaal;;;;0.3;0.0;0.0
201;C Delfstoffenwinning;1998 2e kwartaal;;;;0.4;0.0;0.0
202;C Delfstoffenwinning;1998 3e kwartaal;;;;0.1;0.0;0.0
203;C Delfstoffenwinning;1998 4e kwartaal;;;;0.1;0.0;0.0
204;C Delfstoffenwinning;1998 jaarcijfer;;;;0.2;0.0;1.0
205;C Delfstoffenwinning;1999 1e kwartaal;;;;0.1;0.0;0.0
206;C Delfstoffenwinning;1999 2e kwartaal;;;;0.1;0.0;0.0
207;C Delfstoffenwinning;1999 3e kwartaal;;;;0.1;0.0;0.0
208;C Delfstoffenwinning;1999 4e kwartaal;;;;0.2;0.0;0.0
209;C Delfstoffenwinning;1999 jaarcijfer;;;;0.1;0.0;0.0
210;C Delfstoffenwinning;2000 1e kwartaal;;;;0.2;0.0;0.0
211;C Delfstoffenwinning;2000 2e kwartaal;;;;0.2;0.0;0.0
212;C Delfstoffenwinning;2000 3e kwartaal;;;;0.2;0.0;0.0
213;C Delfstoffenwinning;2000 4e kwartaal;;;;0.2;0.0;0.0
214;C Delfstoffenwinning;2000 jaarcijfer;;;;0.2;1.0;1.0
215;C Delfstoffenwinning;2001 1e kwartaal;;;;0.1;0.0;0.0
216;C Delfstoffenwinning;2001 2e kwartaal;;;;0.2;0.0;0.0
217;C Delfstoffenwinning;2001 3e kwartaal;;;;0.1;0.0;0.0
218;C Delfstoffenwinning;2001 4e kwartaal;;;;0.1;0.0;0.0
219;C Delfstoffenwinning;2001 jaarcijfer;;;;0.2;1.0;1.0
220;C Delfstoffenwinning;2002 1e kwartaal;;;;0.3;0.0;0.0
221;C Delfstoffenwinning;2002 2e kwartaal;;;;0.2;0.0;0.0
222;C Delfstoffenwinning;2002 3e kwartaal;;;;0.3;0.0;0.0
223;C Delfstoffenwinning;2002 4e kwartaal;;;;0.3;0.0;0.0
224;C Delfstoffenwinning;2002 jaarcijfer;;;;0.2;1.0;1.0
225;C Delfstoffenwinning;2003 1e kwartaal;;;;0.3;0.0;0.0
226;C Delfstoffenwinning;2003 2e kwartaal;;;;0.3;0.0;0.0
227;C Delfstoffenwinning;2003 3e kwartaal;;;;0.1;0.0;0.0
228;C Delfstoffenwinning;2003 4e kwartaal;;;;0.1;0.0;0.0
229;C Delfstoffenwinning;2003 jaarcijfer;;;;0.2;1.0;1.0
230;C Delfstoffenwinning;2004 1e kwartaal;;;;0.1;0.0;0.0
231;C Delfstoffenwinning;2004 2e kwartaal;;;;0.3;0.0;0.0
232;C Delfstoffenwinning;2004 3e kwartaal;;;;0.2;0.0;0.0
233;C Delfstoffenwinning;2004 4e kwartaal;;;;0.2;0.0;0.0
234;C Delfstoffenwinning;2004 jaarcijfer;;;;0.2;1.0;1.0
235;C Delfstoffenwinning;2005 1e kwartaal;;;;0.1;0.0;0.0
236;C Delfstoffenwinning;2005 2e kwartaal;;;;0.3;0.0;0.0
237;C Delfstoffenwinning;2005 3e kwartaal;;;;0.2;0.0;0.0
238;C Delfstoffenwinning;2005 4e kwartaal;;;;0.1;0.0;0.0
239;C Delfstoffenwinning;2005 jaarcijfer;;;;0.2;1.0;1.0
240;C Delfstoffenwinning;2006 1e kwartaal;;;;0.1;0.0;0.0
241;C Delfstoffenwinning;2006 2e kwartaal;;;;0.1;0.0;0.0
242;C Delfstoffenwinning;2006 3e kwartaal;;;;0.1;0.0;0.0
243;C Delfstoffenwinning;2006 4e kwartaal;0.4;0.0;0.0;0.1;0.0;0.0
244;C Delfstoffenwinning;2006 jaarcijfer;;;;0.1;1.0;1.0
245;C Delfstoffenwinning;2007 1e kwartaal;0.4;0.0;0.0;;;
246;C Delfstoffenwinning;2007 2e kwartaal;0.3;0.0;0.0;;;
247;C Delfstoffenwinning;2007 3e kwartaal;0.3;0.0;0.0;;;
248;C Delfstoffenwinning;2007 4e kwartaal;0.4;0.0;0.0;;;
249;C Delfstoffenwinning;2007 jaarcijfer;0.4;1.0;1.0;;;
250;C Delfstoffenwinning;2008 1e kwartaal;0.4;0.0;0.0;;;
251;C Delfstoffenwinning;2008 2e kwartaal;0.3;0.0;0.0;;;
252;C Delfstoffenwinning;2008 3e kwartaal;0.3;0.0;0.0;;;
253;C Delfstoffenwinning;2008 4e kwartaal;0.3;0.0;0.0;;;
254;C Delfstoffenwinning;2008 jaarcijfer;0.4;1.0;1.0;;;
255;C Delfstoffenwinning;2009 1e kwartaal;0.4;0.0;0.0;;;
256;C Delfstoffenwinning;2009 2e kwartaal;0.4;0.0;0.0;;;
257;C Delfstoffenwinning;2009 3e kwartaal;0.2;0.0;0.0;;;
258;C Delfstoffenwinning;2009 4e kwartaal;0.3;0.0;0.0;;;
259;C Delfstoffenwinning;2009 jaarcijfer;0.3;1.0;1.0;;;
260;D Industrie;1997 1e kwartaal;;;;13.7;18.0;16.0
261;D Industrie;1997 2e kwartaal;;;;15.7;23.0;21.0
262;D Industrie;1997 3e kwartaal;;;;14.8;21.0;22.0
263;D Industrie;1997 4e kwartaal;;;;17.2;21.0;19.0
264;D Industrie;1997 jaarcijfer;;;;;;
265;D Industrie;1998 1e kwartaal;;;;17.9;23.0;22.0
266;D Industrie;1998 2e kwartaal;;;;21.0;26.0;23.0
267;D Industrie;1998 3e kwartaal;;;;17.8;20.0;23.0
268;D Industrie;1998 4e kwartaal;;;;18.9;23.0;22.0
269;D Industrie;1998 jaarcijfer;;;;18.7;91.0;89.0
270;D Industrie;1999 1e kwartaal;;;;20.2;24.0;23.0
271;D Industrie;1999 2e kwartaal;;;;24.2;28.0;24.0
272;D Industrie;1999 3e kwartaal;;;;23.6;26.0;26.0
273;D Industrie;1999 4e kwartaal;;;;25.7;25.0;23.0
274;D Industrie;1999 jaarcijfer;;;;22.6;103.0;96.0
275;D Industrie;2000 1e kwartaal;;;;28.9;32.0;29.0
276;D Industrie;2000 2e kwartaal;;;;32.6;33.0;29.0
277;D Industrie;2000 3e kwartaal;;;;25.3;23.0;30.0
278;D Industrie;2000 4e kwartaal;;;;26.4;27.0;26.0
279;D Industrie;2000 jaarcijfer;;;;28.2;114.0;114.0
280;D Industrie;2001 1e kwartaal;;;;24.5;27.0;28.0
281;D Industrie;2001 2e kwartaal;;;;24.8;27.0;26.0
282;D Industrie;2001 3e kwartaal;;;;20.0;20.0;25.0
283;D Industrie;2001 4e kwartaal;;;;18.5;18.0;19.0
284;D Industrie;2001 jaarcijfer;;;;22.9;91.0;98.0
285;D Industrie;2002 1e kwartaal;;;;18.4;19.0;19.0
286;D Industrie;2002 2e kwartaal;;;;16.8;17.0;19.0
287;D Industrie;2002 3e kwartaal;;;;11.2;13.0;18.0
288;D Industrie;2002 4e kwartaal;;;;12.3;13.0;12.0
289;D Industrie;2002 jaarcijfer;;;;15.5;62.0;68.0
290;D Industrie;2003 1e kwartaal;;;;11.3;15.0;16.0
291;D Industrie;2003 2e kwartaal;;;;9.9;14.0;15.0
292;D Industrie;2003 3e kwartaal;;;;8.2;13.0;14.0
293;D Industrie;2003 4e kwartaal;;;;9.5;12.0;11.0
294;D Industrie;2003 jaarcijfer;;;;10.1;54.0;57.0
295;D Industrie;2004 1e kwartaal;;;;10.8;15.0;14.0
296;D Industrie;2004 2e kwartaal;;;;10.6;15.0;15.0
297;D Industrie;2004 3e kwartaal;;;;8.9;13.0;15.0
298;D Industrie;2004 4e kwartaal;;;;9.9;14.0;13.0
299;D Industrie;2004 jaarcijfer;;;;10.0;56.0;56.0
300;D Industrie;2005 1e kwartaal;;;;11.4;15.0;14.0
301;D Industrie;2005 2e kwartaal;;;;12.9;18.0;16.0
302;D Industrie;2005 3e kwartaal;;;;13.8;18.0;17.0
303;D Industrie;2005 4e kwartaal;;;;13.8;17.0;17.0
304;D Industrie;2005 jaarcijfer;;;;12.5;68.0;64.0
305;D Industrie;2006 1e kwartaal;;;;15.9;20.0;18.0
306;D Industrie;2006 2e kwartaal;;;;18.9;23.0;20.0
307;D Industrie;2006 3e kwartaal;;;;18.9;22.0;22.0
308;D Industrie;2006 4e kwartaal;21.9;23.0;21.0;21.7;23.0;20.0
309;D Industrie;2006 jaarcijfer;;;;17.8;87.0;79.0
310;D Industrie;2007 1e kwartaal;22.5;24.0;23.0;;;
311;D Industrie;2007 2e kwartaal;24.4;26.0;24.0;;;
312;D Industrie;2007 3e kwartaal;24.9;23.0;22.0;;;
313;D Industrie;2007 4e kwartaal;24.8;23.0;23.0;;;
314;D Industrie;2007 jaarcijfer;23.8;96.0;93.0;;;
315;D Industrie;2008 1e kwartaal;26.7;25.0;23.0;;;
316;D Industrie;2008 2e kwartaal;26.1;22.0;23.0;;;
317;D Industrie;2008 3e kwartaal;23.5;19.0;22.0;;;
318;D Industrie;2008 4e kwartaal;14.9;12.0;21.0;;;
319;D Industrie;2008 jaarcijfer;24.0;79.0;89.0;;;
320;D Industrie;2009 1e kwartaal;10.0;11.0;16.0;;;
321;D Industrie;2009 2e kwartaal;8.2;10.0;12.0;;;
322;D Industrie;2009 3e kwartaal;7.6;10.0;11.0;;;
323;D Industrie;2009 4e kwartaal;7.3;10.0;10.0;;;
324;D Industrie;2009 jaarcijfer;9.2;41.0;49.0;;;
325;DA Voedings- en genotmiddelenind.;1997 1e kwartaal;;;;2.0;3.0;2.0
326;DA Voedings- en genotmiddelenind.;1997 2e kwartaal;;;;1.9;3.0;4.0
327;DA Voedings- en genotmiddelenind.;1997 3e kwartaal;;;;1.7;3.0;3.0
328;DA Voedings- en genotmiddelenind.;1997 4e kwartaal;;;;1.8;3.0;3.0
329;DA Voedings- en genotmiddelenind.;1997 jaarcijfer;;;;;;
330;DA Voedings- en genotmiddelenind.;1998 1e kwartaal;;;;2.3;3.0;3.0
331;DA Voedings- en genotmiddelenind.;1998 2e kwartaal;;;;2.4;3.0;3.0
332;DA Voedings- en genotmiddelenind.;1998 3e kwartaal;;;;2.2;3.0;3.0
333;DA Voedings- en genotmiddelenind.;1998 4e kwartaal;;;;2.7;4.0;3.0
334;DA Voedings- en genotmiddelenind.;1998 jaarcijfer;;;;2.3;14.0;13.0
335;DA Voedings- en genotmiddelenind.;1999 1e kwartaal;;;;3.7;5.0;4.0
336;DA Voedings- en genotmiddelenind.;1999 2e kwartaal;;;;4.2;5.0;5.0
337;DA Voedings- en genotmiddelenind.;1999 3e kwartaal;;;;3.7;5.0;5.0
338;DA Voedings- en genotmiddelenind.;1999 4e kwartaal;;;;4.4;5.0;4.0
339;DA Voedings- en genotmiddelenind.;1999 jaarcijfer;;;;3.8;19.0;18.0
340;DA Voedings- en genotmiddelenind.;2000 1e kwartaal;;;;3.8;5.0;6.0
341;DA Voedings- en genotmiddelenind.;2000 2e kwartaal;;;;4.0;5.0;5.0
