ID;Binnenvaartdiensten;Perioden;Prijsindex_1;Kwartaalmutaties_2;Jaarmutaties_3
85;Binnenvaart, natte bulk;2022 2e kwartaal;119.0;6.8;25.4
86;Binnenvaart, natte bulk;2022 3e kwartaal;140.7;18.2;51.5
87;Binnenvaart, natte bulk;2022 4e kwartaal;134.4;-4.5;17.7
88;Binnenvaart, natte bulk;2022;126.4;;27.2
89;Binnenvaart, natte bulk;2023 1e kwartaal;128.3;-4.6;15.1
90;Binnenvaart, natte bulk;2023 2e kwartaal;127.8;-0.4;7.4
91;Binnenvaart, natte bulk;2023 3e kwartaal;127.4;-0.3;-9.4
92;Binnenvaart, natte bulk;2023 4e kwartaal;141.8;11.2;5.5
93;Binnenvaart, natte bulk;2023;131.3;;3.9
94;Binnenvaart, droge bulk contractprijzen;2014 4e kwartaal;;;
95;Binnenvaart, droge bulk contractprijzen;2014;;;
96;Binnenvaart, droge bulk contractprijzen;2015 1e kwartaal;;;
97;Binnenvaart, droge bulk contractprijzen;2015 2e kwartaal;;;
98;Binnenvaart, droge bulk contractprijzen;2015 3e kwartaal;;;
99;Binnenvaart, droge bulk contractprijzen;2015 4e kwartaal;;;
100;Binnenvaart, droge bulk contractprijzen;2015;;;
101;Binnenvaart, droge bulk contractprijzen;2016 1e kwartaal;;;
102;Binnenvaart, droge bulk contractprijzen;2016 2e kwartaal;;;
103;Binnenvaart, droge bulk contractprijzen;2016 3e kwartaal;;;
104;Binnenvaart, droge bulk contractprijzen;2016 4e kwartaal;;;
105;Binnenvaart, droge bulk contractprijzen;2016;;;
106;Binnenvaart, droge bulk contractprijzen;2017 1e kwartaal;;;
107;Binnenvaart, droge bulk contractprijzen;2017 2e kwartaal;;;
108;Binnenvaart, droge bulk contractprijzen;2017 3e kwartaal;;;
109;Binnenvaart, droge bulk contractprijzen;2017 4e kwartaal;;;
110;Binnenvaart, droge bulk contractprijzen;2017;;;
111;Binnenvaart, droge bulk contractprijzen;2018 1e kwartaal;119.3;;
112;Binnenvaart, droge bulk contractprijzen;2018 2e kwartaal;121.7;2.0;
113;Binnenvaart, droge bulk contractprijzen;2018 3e kwartaal;155.4;27.7;
114;Binnenvaart, droge bulk contractprijzen;2018 4e kwartaal;172.0;10.7;
115;Binnenvaart, droge bulk contractprijzen;2018;142.1;;
116;Binnenvaart, droge bulk contractprijzen;2019 1e kwartaal;133.6;-22.4;11.9
117;Binnenvaart, droge bulk contractprijzen;2019 2e kwartaal;131.7;-1.4;8.2
118;Binnenvaart, droge bulk contractprijzen;2019 3e kwartaal;130.1;-1.2;-16.3
119;Binnenvaart, droge bulk contractprijzen;2019 4e kwartaal;129.7;-0.3;-24.6
120;Binnenvaart, droge bulk contractprijzen;2019;131.3;;-7.6
121;Binnenvaart, droge bulk contractprijzen;2020 1e kwartaal;126.6;-2.4;-5.2
122;Binnenvaart, droge bulk contractprijzen;2020 2e kwartaal;121.9;-3.7;-7.4
123;Binnenvaart, droge bulk contractprijzen;2020 3e kwartaal;122.4;0.4;-6.0
124;Binnenvaart, droge bulk contractprijzen;2020 4e kwartaal;123.9;1.3;-4.5
125;Binnenvaart, droge bulk contractprijzen;2020;123.7;;-5.8
126;Binnenvaart, droge bulk contractprijzen;2021 1e kwartaal;122.5;-1.1;-3.2
127;Binnenvaart, droge bulk contractprijzen;2021 2e kwartaal;125.7;2.6;3.1
128;Binnenvaart, droge bulk contractprijzen;2021 3e kwartaal;127.0;1.0;3.8
129;Binnenvaart, droge bulk contractprijzen;2021 4e kwartaal;143.3;12.8;15.6
130;Binnenvaart, droge bulk contractprijzen;2021;129.6;;4.8
131;Binnenvaart, droge bulk contractprijzen;2022 1e kwartaal;147.0;2.6;20.0
132;Binnenvaart, droge bulk contractprijzen;2022 2e kwartaal;162.2;10.3;29.0
133;Binnenvaart, droge bulk contractprijzen;2022 3e kwartaal;201.1;24.0;58.4
134;Binnenvaart, droge bulk contractprijzen;2022 4e kwartaal;182.3;-9.3;27.2
135;Binnenvaart, droge bulk contractprijzen;2022;173.1;;33.6
136;Binnenvaart, droge bulk contractprijzen;2023 1e kwartaal;167.3;-8.2;13.8
137;Binnenvaart, droge bulk contractprijzen;2023 2e kwartaal;150.7;-9.9;-7.1
138;Binnenvaart, droge bulk contractprijzen;2023 3e kwartaal;147.4;-2.1;-26.7
139;Binnenvaart, droge bulk contractprijzen;2023 4e kwartaal;153.8;4.3;-15.7
140;Binnenvaart, droge bulk contractprijzen;2023;154.8;;-10.6
141;Binnenvaart, droge bulk spotmarkt;2014 4e kwartaal;;;
142;Binnenvaart, droge bulk spotmarkt;2014;;;
143;Binnenvaart, droge bulk spotmarkt;2015 1e kwartaal;;;
144;Binnenvaart, droge bulk spotmarkt;2015 2e kwartaal;;;
145;Binnenvaart, droge bulk spotmarkt;2015 3e kwartaal;;;
146;Binnenvaart, droge bulk spotmarkt;2015 4e kwartaal;;;
147;Binnenvaart, droge bulk spotmarkt;2015;;;
148;Binnenvaart, droge bulk spotmarkt;2016 1e kwartaal;;;
149;Binnenvaart, droge bulk spotmarkt;2016 2e kwartaal;;;
150;Binnenvaart, droge bulk spotmarkt;2016 3e kwartaal;;;
151;Binnenvaart, droge bulk spotmarkt;2016 4e kwartaal;;;
152;Binnenvaart, droge bulk spotmarkt;2016;;;
153;Binnenvaart, droge bulk spotmarkt;2017 1e kwartaal;;;
154;Binnenvaart, droge bulk spotmarkt;2017 2e kwartaal;;;
155;Binnenvaart, droge bulk spotmarkt;2017 3e kwartaal;;;
156;Binnenvaart, droge bulk spotmarkt;2017 4e kwartaal;;;
157;Binnenvaart, droge bulk spotmarkt;2017;;;
158;Binnenvaart, droge bulk spotmarkt;2018 1e kwartaal;113.0;;
159;Binnenvaart, droge bulk spotmarkt;2018 2e kwartaal;109.8;-2.9;
160;Binnenvaart, droge bulk spotmarkt;2018 3e kwartaal;155.3;41.5;
161;Binnenvaart, droge bulk spotmarkt;2018 4e kwartaal;205.2;32.1;
162;Binnenvaart, droge bulk spotmarkt;2018;145.8;;
163;Binnenvaart, droge bulk spotmarkt;2019 1e kwartaal;137.2;-33.2;21.4
164;Binnenvaart, droge bulk spotmarkt;2019 2e kwartaal;125.2;-8.7;14.1
165;Binnenvaart, droge bulk spotmarkt;2019 3e kwartaal;119.7;-4.4;-23.0
166;Binnenvaart, droge bulk spotmarkt;2019 4e kwartaal;117.5;-1.8;-42.8
167;Binnenvaart, droge bulk spotmarkt;2019;124.9;;-14.4
168;Binnenvaart, droge bulk spotmarkt;2020 1e kwartaal;113.8;-3.1;-17.1
169;Binnenvaart, droge bulk spotmarkt;2020 2e kwartaal;107.3;-5.6;-14.3
170;Binnenvaart, droge bulk spotmarkt;2020 3e kwartaal;107.3;0.0;-10.3
171;Binnenvaart, droge bulk spotmarkt;2020 4e kwartaal;111.1;3.5;-5.4
172;Binnenvaart, droge bulk spotmarkt;2020;109.9;;-12.0
173;Binnenvaart, droge bulk spotmarkt;2021 1e kwartaal;111.8;0.7;-1.7
174;Binnenvaart, droge bulk spotmarkt;2021 2e kwartaal;113.6;1.6;5.8
175;Binnenvaart, droge bulk spotmarkt;2021 3e kwartaal;118.0;3.9;9.9
176;Binnenvaart, droge bulk spotmarkt;2021 4e kwartaal;159.1;34.8;43.2
177;Binnenvaart, droge bulk spotmarkt;2021;125.6;;14.3
178;Binnenvaart, droge bulk spotmarkt;2022 1e kwartaal;166.0;4.3;48.5
179;Binnenvaart, droge bulk spotmarkt;2022 2e kwartaal;181.9;9.6;60.1
180;Binnenvaart, droge bulk spotmarkt;2022 3e kwartaal;240.9;32.4;104.1
181;Binnenvaart, droge bulk spotmarkt;2022 4e kwartaal;203.9;-15.4;28.1
182;Binnenvaart, droge bulk spotmarkt;2022;198.2;;57.7
183;Binnenvaart, droge bulk spotmarkt;2023 1e kwartaal;179.7;-11.9;8.2
184;Binnenvaart, droge bulk spotmarkt;2023 2e kwartaal;152.4;-15.2;-16.2
185;Binnenvaart, droge bulk spotmarkt;2023 3e kwartaal;144.3;-5.3;-40.1
186;Binnenvaart, droge bulk spotmarkt;2023 4e kwartaal;147.1;1.9;-27.9
187;Binnenvaart, droge bulk spotmarkt;2023;155.9;;-21.4
188;Binnenvaart, container;2014 4e kwartaal;;;
189;Binnenvaart, container;2014;;;
190;Binnenvaart, container;2015 1e kwartaal;;;
191;Binnenvaart, container;2015 2e kwartaal;;;
192;Binnenvaart, container;2015 3e kwartaal;;;
193;Binnenvaart, container;2015 4e kwartaal;;;
194;Binnenvaart, container;2015;;;
195;Binnenvaart, container;2016 1e kwartaal;;;
196;Binnenvaart, container;2016 2e kwartaal;;;
197;Binnenvaart, container;2016 3e kwartaal;;;
198;Binnenvaart, container;2016 4e kwartaal;;;
199;Binnenvaart, container;2016;;;
200;Binnenvaart, container;2017 1e kwartaal;;;
201;Binnenvaart, container;2017 2e kwartaal;;;
202;Binnenvaart, container;2017 3e kwartaal;;;
203;Binnenvaart, container;2017 4e kwartaal;;;
204;Binnenvaart, container;2017;;;
205;Binnenvaart, container;2018 1e kwartaal;104.5;;
206;Binnenvaart, container;2018 2e kwartaal;104.0;-0.5;
207;Binnenvaart, container;2018 3e kwartaal;108.6;4.4;
208;Binnenvaart, container;2018 4e kwartaal;111.0;2.3;
209;Binnenvaart, container;2018;107.0;;
210;Binnenvaart, container;2019 1e kwartaal;109.9;-1.0;5.2
211;Binnenvaart, container;2019 2e kwartaal;112.5;2.4;8.2
212;Binnenvaart, container;2019 3e kwartaal;112.1;-0.3;3.3
213;Binnenvaart, container;2019 4e kwartaal;112.1;0.0;1.0
214;Binnenvaart, container;2019;111.7;;4.4
215;Binnenvaart, container;2020 1e kwartaal;109.7;-2.1;-0.2
216;Binnenvaart, container;2020 2e kwartaal;99.8;-9.1;-11.3
217;Binnenvaart, container;2020 3e kwartaal;100.8;1.0;-10.1
218;Binnenvaart, container;2020 4e kwartaal;102.6;1.8;-8.5
219;Binnenvaart, container;2020;103.2;;-7.6
220;Binnenvaart, container;2021 1e kwartaal;103.4;0.8;-5.8
221;Binnenvaart, container;2021 2e kwartaal;105.2;1.8;5.4
222;Binnenvaart, container;2021 3e kwartaal;106.5;1.3;5.7
223;Binnenvaart, container;2021 4e kwartaal;114.2;7.1;11.3
224;Binnenvaart, container;2021;107.3;;4.0
225;Binnenvaart, container;2022 1e kwartaal;117.9;3.3;14.1
226;Binnenvaart, container;2022 2e kwartaal;120.1;1.8;14.1
227;Binnenvaart, container;2022 3e kwartaal;147.9;23.2;38.8
228;Binnenvaart, container;2022 4e kwartaal;144.6;-2.2;26.7
229;Binnenvaart, container;2022;132.6;;23.6
230;Binnenvaart, container;2023 1e kwartaal;142.5;-1.5;20.9
231;Binnenvaart, container;2023 2e kwartaal;135.3;-5.1;12.7
232;Binnenvaart, container;2023 3e kwartaal;131.2;-3.0;-11.3
233;Binnenvaart, container;2023 4e kwartaal;132.9;1.3;-8.1
234;Binnenvaart, container;2023;135.5;;2.2
