ID;Arbeidspositie;ArbeidspositieDrieMaandenEerder;Perioden;Seizoengecorrigeerd_1;NietSeizoengecorrigeerd_2
39;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2005 3e kwartaal;12194;12194
40;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2005 oktober;12199;12199
41;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2005 november;12202;12202
42;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2005 december;12205;12205
43;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2005 4e kwartaal;12202;12202
44;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2006 januari;12208;12208
45;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2006 februari;12210;12210
46;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2006 maart;12212;12212
47;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2006 1e kwartaal;12210;12210
48;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2006 april;12215;12215
49;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2006 mei;12217;12217
50;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2006 juni;12219;12219
51;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2006 2e kwartaal;12217;12217
52;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2006 juli;12222;12222
53;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2006 augustus;12224;12224
54;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2006 september;12226;12226
55;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2006 3e kwartaal;12224;12224
56;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2006 oktober;12229;12229
57;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2006 november;12231;12231
58;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2006 december;12233;12233
59;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2006 4e kwartaal;12231;12231
60;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2007 januari;12237;12237
61;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2007 februari;12240;12240
62;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2007 maart;12244;12244
63;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2007 1e kwartaal;12240;12240
64;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2007 april;12248;12248
65;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2007 mei;12251;12251
66;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2007 juni;12255;12255
67;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2007 2e kwartaal;12251;12251
68;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2007 juli;12259;12259
69;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2007 augustus;12263;12263
70;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2007 september;12266;12266
71;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2007 3e kwartaal;12263;12263
72;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2007 oktober;12270;12270
73;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2007 november;12274;12274
74;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2007 december;12277;12277
75;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2007 4e kwartaal;12274;12274
76;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2008 januari;12282;12282
77;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2008 februari;12288;12288
78;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2008 maart;12294;12294
79;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2008 1e kwartaal;12288;12288
80;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2008 april;12300;12300
81;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2008 mei;12306;12306
82;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2008 juni;12312;12312
83;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2008 2e kwartaal;12306;12306
84;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2008 juli;12318;12318
85;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2008 augustus;12324;12324
86;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2008 september;12330;12330
87;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2008 3e kwartaal;12324;12324
88;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2008 oktober;12336;12336
89;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2008 november;12342;12342
90;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2008 december;12348;12348
91;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2008 4e kwartaal;12342;12342
92;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2009 januari;12353;12353
93;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2009 februari;12356;12356
94;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2009 maart;12360;12360
95;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2009 1e kwartaal;12356;12356
96;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2009 april;12363;12363
97;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2009 mei;12366;12366
98;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2009 juni;12370;12370
99;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2009 2e kwartaal;12366;12366
100;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2009 juli;12373;12373
101;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2009 augustus;12377;12377
102;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2009 september;12380;12380
103;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2009 3e kwartaal;12377;12377
104;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2009 oktober;12383;12383
105;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2009 november;12387;12387
106;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2009 december;12390;12390
107;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2009 4e kwartaal;12387;12387
108;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2010 januari;12394;12394
109;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2010 februari;12397;12397
110;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2010 maart;12401;12401
111;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2010 1e kwartaal;12397;12397
112;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2010 april;12404;12404
113;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2010 mei;12407;12407
114;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2010 juni;12411;12411
115;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2010 2e kwartaal;12407;12407
116;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2010 juli;12414;12414
117;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2010 augustus;12417;12417
118;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2010 september;12421;12421
119;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2010 3e kwartaal;12417;12417
120;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2010 oktober;12424;12424
121;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2010 november;12428;12428
122;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2010 december;12431;12431
123;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2010 4e kwartaal;12428;12428
124;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2011 januari;12434;12434
125;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2011 februari;12438;12438
126;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2011 maart;12441;12441
127;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2011 1e kwartaal;12438;12438
128;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2011 april;12444;12444
129;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2011 mei;12447;12447
130;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2011 juni;12451;12451
131;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2011 2e kwartaal;12447;12447
132;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2011 juli;12454;12454
133;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2011 augustus;12457;12457
134;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2011 september;12460;12460
135;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2011 3e kwartaal;12457;12457
136;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2011 oktober;12463;12463
137;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2011 november;12467;12467
138;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2011 december;12470;12470
139;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2011 4e kwartaal;12467;12467
140;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2012 januari;12477;12477
141;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2012 februari;12489;12489
142;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2012 maart;12500;12500
143;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2012 1e kwartaal;12489;12489
144;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2012 april;12512;12512
145;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2012 mei;12523;12523
146;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2012 juni;12535;12535
147;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2012 2e kwartaal;12523;12523
148;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2012 juli;12546;12546
149;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2012 augustus;12558;12558
150;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2012 september;12569;12569
151;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2012 3e kwartaal;12558;12558
152;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2012 oktober;12581;12581
153;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2012 november;12592;12592
154;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2012 december;12604;12604
155;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2012 4e kwartaal;12592;12592
156;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2013 januari;12612;12612
157;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2013 februari;12617;12617
158;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2013 maart;12621;12621
159;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2013 1e kwartaal;12617;12617
160;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2013 april;12626;12626
161;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2013 mei;12631;12631
162;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2013 juni;12635;12635
163;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2013 2e kwartaal;12631;12631
164;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2013 juli;12640;12640
165;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2013 augustus;12645;12645
166;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2013 september;12649;12649
167;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2013 3e kwartaal;12645;12645
168;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2013 oktober;12654;12654
169;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2013 november;12659;12659
170;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2013 december;12663;12663
171;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2013 4e kwartaal;12659;12659
172;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2014 januari;12665;12665
173;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2014 februari;12665;12665
174;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2014 maart;12665;12665
175;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2014 1e kwartaal;12665;12665
176;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2014 april;12665;12665
177;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2014 mei;12665;12665
178;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2014 juni;12665;12665
179;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2014 2e kwartaal;12665;12665
180;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2014 juli;12665;12665
181;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2014 augustus;12664;12664
182;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2014 september;12664;12664
183;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2014 3e kwartaal;12664;12664
184;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2014 oktober;12664;12664
185;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2014 november;12664;12664
186;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2014 december;12664;12664
187;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2014 4e kwartaal;12664;12664
188;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2015 januari;12666;12666
189;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2015 februari;12669;12669
190;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2015 maart;12673;12673
191;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2015 1e kwartaal;12669;12669
192;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2015 april;12676;12676
193;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2015 mei;12680;12680
194;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2015 juni;12683;12683
195;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2015 2e kwartaal;12680;12680
196;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2015 juli;12687;12687
197;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2015 augustus;12691;12691
198;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2015 september;12694;12694
199;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2015 3e kwartaal;12691;12691
200;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2015 oktober;12698;12698
201;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2015 november;12701;12701
202;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2015 december;12705;12705
203;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2015 4e kwartaal;12701;12701
204;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2016 januari;12712;12712
205;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2016 februari;12722;12722
206;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2016 maart;12732;12732
207;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2016 1e kwartaal;12722;12722
208;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2016 april;12742;12742
209;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2016 mei;12753;12753
210;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2016 juni;12763;12763
211;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2016 2e kwartaal;12753;12753
212;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2016 juli;12773;12773
213;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2016 augustus;12783;12783
214;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2016 september;12794;12794
215;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2016 3e kwartaal;12783;12783
216;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2016 oktober;12804;12804
217;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2016 november;12814;12814
218;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2016 december;12824;12824
219;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2016 4e kwartaal;12814;12814
220;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2017 januari;12833;12833
221;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2017 februari;12840;12840
222;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2017 maart;12846;12846
223;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2017 1e kwartaal;12840;12840
224;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2017 april;12853;12853
225;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2017 mei;12860;12860
226;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2017 juni;12867;12867
227;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2017 2e kwartaal;12860;12860
228;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2017 juli;12873;12873
229;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2017 augustus;12880;12880
230;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2017 september;12887;12887
231;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2017 3e kwartaal;12880;12880
232;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2017 oktober;12894;12894
233;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2017 november;12901;12901
234;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2017 december;12907;12907
235;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2017 4e kwartaal;12901;12901
236;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2018 januari;12913;12913
237;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2018 februari;12917;12917
238;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2018 maart;12922;12922
239;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2018 1e kwartaal;12917;12917
240;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2018 april;12926;12926
241;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2018 mei;12930;12930
242;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2018 juni;12934;12934
243;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2018 2e kwartaal;12930;12930
244;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2018 juli;12939;12939
245;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2018 augustus;12943;12943
246;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2018 september;12947;12947
247;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2018 3e kwartaal;12943;12943
248;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2018 oktober;12951;12951
249;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2018 november;12956;12956
250;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2018 december;12960;12960
251;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2018 4e kwartaal;12956;12956
252;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2019 januari;12967;12967
253;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2019 februari;12975;12975
254;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2019 maart;12984;12984
255;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2019 1e kwartaal;12975;12975
256;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2019 april;12993;12993
257;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2019 mei;13002;13002
258;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2019 juni;13011;13011
259;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2019 2e kwartaal;13002;13002
260;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2019 juli;13020;13020
