ID;SIC2008;ClassificationOfOccupation;Periods;NewVacancies_1
133;A-U All economic activities;074 Metal, machinery and related trad...;2019;66.4
134;A-U All economic activities;074 Metal, machinery and related trad...;2020;53.1
135;A-U All economic activities;074 Metal, machinery and related trad...;2021;64.6
136;A-U All economic activities;074 Metal, machinery and related trad...;2022;62.4
137;A-U All economic activities;074 Metal, machinery and related trad...;2023;68.7
138;A-U All economic activities;076 Electrical and electronics trades...;2018;
139;A-U All economic activities;076 Electrical and electronics trades...;2019;
140;A-U All economic activities;076 Electrical and electronics trades...;2020;
141;A-U All economic activities;076 Electrical and electronics trades...;2021;
142;A-U All economic activities;076 Electrical and electronics trades...;2022;
143;A-U All economic activities;076 Electrical and electronics trades...;2023;
144;A-U All economic activities;08 ICT occupations;2018;60.2
145;A-U All economic activities;08 ICT occupations;2019;70.0
146;A-U All economic activities;08 ICT occupations;2020;66.1
147;A-U All economic activities;08 ICT occupations;2021;87.9
148;A-U All economic activities;08 ICT occupations;2022;90.3
149;A-U All economic activities;08 ICT occupations;2023;77.6
150;A-U All economic activities;081 Information and communications te...;2018;50.7
151;A-U All economic activities;081 Information and communications te...;2019;58.7
152;A-U All economic activities;081 Information and communications te...;2020;56.8
153;A-U All economic activities;081 Information and communications te...;2021;74.4
154;A-U All economic activities;081 Information and communications te...;2022;76.3
155;A-U All economic activities;081 Information and communications te...;2023;65.4
156;A-U All economic activities;082 Information and communications te...;2018;9.4
157;A-U All economic activities;082 Information and communications te...;2019;11.2
158;A-U All economic activities;082 Information and communications te...;2020;9.2
159;A-U All economic activities;082 Information and communications te...;2021;13.5
160;A-U All economic activities;082 Information and communications te...;2022;14.1
161;A-U All economic activities;082 Information and communications te...;2023;12.2
162;A-U All economic activities;10 Health and welfare occupations;2018;118.1
163;A-U All economic activities;10 Health and welfare occupations;2019;122.0
164;A-U All economic activities;10 Health and welfare occupations;2020;115.3
165;A-U All economic activities;10 Health and welfare occupations;2021;148.3
166;A-U All economic activities;10 Health and welfare occupations;2022;155.9
167;A-U All economic activities;10 Health and welfare occupations;2023;152.5
168;A-U All economic activities;101 Health professionals;2018;30.1
169;A-U All economic activities;101 Health professionals;2019;31.0
170;A-U All economic activities;101 Health professionals;2020;29.5
171;A-U All economic activities;101 Health professionals;2021;36.9
172;A-U All economic activities;101 Health professionals;2022;39.1
173;A-U All economic activities;101 Health professionals;2023;38.2
174;A-U All economic activities;102 Social and religious professionals;2018;10.1
175;A-U All economic activities;102 Social and religious professionals;2019;11.5
176;A-U All economic activities;102 Social and religious professionals;2020;10.4
177;A-U All economic activities;102 Social and religious professionals;2021;14.4
178;A-U All economic activities;102 Social and religious professionals;2022;16.8
179;A-U All economic activities;102 Social and religious professionals;2023;17.5
180;A-U All economic activities;103 Health associate professionals;2018;31.3
181;A-U All economic activities;103 Health associate professionals;2019;32.6
182;A-U All economic activities;103 Health associate professionals;2020;29.9
183;A-U All economic activities;103 Health associate professionals;2021;38.4
184;A-U All economic activities;103 Health associate professionals;2022;38.8
185;A-U All economic activities;103 Health associate professionals;2023;36.8
186;A-U All economic activities;105 Personal care workers;2018;24.9
187;A-U All economic activities;105 Personal care workers;2019;24.4
188;A-U All economic activities;105 Personal care workers;2020;25.3
189;A-U All economic activities;105 Personal care workers;2021;29.8
190;A-U All economic activities;105 Personal care workers;2022;29.9
191;A-U All economic activities;105 Personal care workers;2023;32.0
192;A-U All economic activities;11 Service occupations;2018;132.3
193;A-U All economic activities;11 Service occupations;2019;137.9
194;A-U All economic activities;11 Service occupations;2020;87.2
195;A-U All economic activities;11 Service occupations;2021;139.3
196;A-U All economic activities;11 Service occupations;2022;171.2
197;A-U All economic activities;11 Service occupations;2023;146.1
198;A-U All economic activities;111 Personal services workers;2018;
199;A-U All economic activities;111 Personal services workers;2019;
200;A-U All economic activities;111 Personal services workers;2020;
201;A-U All economic activities;111 Personal services workers;2021;
202;A-U All economic activities;111 Personal services workers;2022;
203;A-U All economic activities;111 Personal services workers;2023;
204;A-U All economic activities;112 Cleaners and kitchen helpers;2018;70.2
205;A-U All economic activities;112 Cleaners and kitchen helpers;2019;73.8
206;A-U All economic activities;112 Cleaners and kitchen helpers;2020;53.0
207;A-U All economic activities;112 Cleaners and kitchen helpers;2021;74.4
208;A-U All economic activities;112 Cleaners and kitchen helpers;2022;90.6
209;A-U All economic activities;112 Cleaners and kitchen helpers;2023;71.1
210;A-U All economic activities;12 Transport and logistics occupations;2018;97.6
211;A-U All economic activities;12 Transport and logistics occupations;2019;98.8
212;A-U All economic activities;12 Transport and logistics occupations;2020;84.6
213;A-U All economic activities;12 Transport and logistics occupations;2021;106.4
214;A-U All economic activities;12 Transport and logistics occupations;2022;110.1
215;A-U All economic activities;12 Transport and logistics occupations;2023;101.3
216;A-U All economic activities;121 Drivers and mobile plant operators;2018;
217;A-U All economic activities;121 Drivers and mobile plant operators;2019;
218;A-U All economic activities;121 Drivers and mobile plant operators;2020;
219;A-U All economic activities;121 Drivers and mobile plant operators;2021;
220;A-U All economic activities;121 Drivers and mobile plant operators;2022;
221;A-U All economic activities;121 Drivers and mobile plant operators;2023;
222;A-U All economic activities;122 Transport and storage labourers;2018;
223;A-U All economic activities;122 Transport and storage labourers;2019;
224;A-U All economic activities;122 Transport and storage labourers;2020;
225;A-U All economic activities;122 Transport and storage labourers;2021;
226;A-U All economic activities;122 Transport and storage labourers;2022;
227;A-U All economic activities;122 Transport and storage labourers;2023;
228;B-E Industry (no construction), energy;01 Teaching occupations;2018;
229;B-E Industry (no construction), energy;01 Teaching occupations;2019;
230;B-E Industry (no construction), energy;01 Teaching occupations;2020;
231;B-E Industry (no construction), energy;01 Teaching occupations;2021;
232;B-E Industry (no construction), energy;01 Teaching occupations;2022;
233;B-E Industry (no construction), energy;01 Teaching occupations;2023;
234;B-E Industry (no construction), energy;011 Teaching professionals;2018;
235;B-E Industry (no construction), energy;011 Teaching professionals;2019;
236;B-E Industry (no construction), energy;011 Teaching professionals;2020;
237;B-E Industry (no construction), energy;011 Teaching professionals;2021;
238;B-E Industry (no construction), energy;011 Teaching professionals;2022;
239;B-E Industry (no construction), energy;011 Teaching professionals;2023;
240;B-E Industry (no construction), energy;013 Child care workers and teachers' ...;2018;
241;B-E Industry (no construction), energy;013 Child care workers and teachers' ...;2019;
242;B-E Industry (no construction), energy;013 Child care workers and teachers' ...;2020;
243;B-E Industry (no construction), energy;013 Child care workers and teachers' ...;2021;
244;B-E Industry (no construction), energy;013 Child care workers and teachers' ...;2022;
245;B-E Industry (no construction), energy;013 Child care workers and teachers' ...;2023;
246;B-E Industry (no construction), energy;02 Artistic occupations;2018;
247;B-E Industry (no construction), energy;02 Artistic occupations;2019;
248;B-E Industry (no construction), energy;02 Artistic occupations;2020;
249;B-E Industry (no construction), energy;02 Artistic occupations;2021;
250;B-E Industry (no construction), energy;02 Artistic occupations;2022;
251;B-E Industry (no construction), energy;02 Artistic occupations;2023;
252;B-E Industry (no construction), energy;021 Authors, creative and performing...;2018;
253;B-E Industry (no construction), energy;021 Authors, creative and performing...;2019;
254;B-E Industry (no construction), energy;021 Authors, creative and performing...;2020;
255;B-E Industry (no construction), energy;021 Authors, creative and performing...;2021;
256;B-E Industry (no construction), energy;021 Authors, creative and performing...;2022;
257;B-E Industry (no construction), energy;021 Authors, creative and performing...;2023;
258;B-E Industry (no construction), energy;03 Sales and PR occupations;2018;
259;B-E Industry (no construction), energy;03 Sales and PR occupations;2019;
260;B-E Industry (no construction), energy;03 Sales and PR occupations;2020;
261;B-E Industry (no construction), energy;03 Sales and PR occupations;2021;
262;B-E Industry (no construction), energy;03 Sales and PR occupations;2022;
263;B-E Industry (no construction), energy;03 Sales and PR occupations;2023;
264;B-E Industry (no construction), energy;031 Sales, marketing and public rel...;2018;2.0
265;B-E Industry (no construction), energy;031 Sales, marketing and public rel...;2019;1.8
266;B-E Industry (no construction), energy;031 Sales, marketing and public rel...;2020;1.5
267;B-E Industry (no construction), energy;031 Sales, marketing and public rel...;2021;2.6
268;B-E Industry (no construction), energy;031 Sales, marketing and public rel...;2022;3.0
269;B-E Industry (no construction), energy;031 Sales, marketing and public rel...;2023;2.8
270;B-E Industry (no construction), energy;032 Sales and purchasing agents and...;2018;
271;B-E Industry (no construction), energy;032 Sales and purchasing agents and...;2019;
272;B-E Industry (no construction), energy;032 Sales and purchasing agents and...;2020;
273;B-E Industry (no construction), energy;032 Sales and purchasing agents and...;2021;
274;B-E Industry (no construction), energy;032 Sales and purchasing agents and...;2022;
275;B-E Industry (no construction), energy;032 Sales and purchasing agents and...;2023;
276;B-E Industry (no construction), energy;033 Sales workers;2018;
277;B-E Industry (no construction), energy;033 Sales workers;2019;
278;B-E Industry (no construction), energy;033 Sales workers;2020;
279;B-E Industry (no construction), energy;033 Sales workers;2021;
280;B-E Industry (no construction), energy;033 Sales workers;2022;
281;B-E Industry (no construction), energy;033 Sales workers;2023;
282;B-E Industry (no construction), energy;04 Business and administrative occup...;2018;12.4
283;B-E Industry (no construction), energy;04 Business and administrative occup...;2019;13.5
284;B-E Industry (no construction), energy;04 Business and administrative occup...;2020;10.2
285;B-E Industry (no construction), energy;04 Business and administrative occup...;2021;15.6
286;B-E Industry (no construction), energy;04 Business and administrative occup...;2022;18.1
287;B-E Industry (no construction), energy;04 Business and administrative occup...;2023;16.9
288;B-E Industry (no construction), energy;041 Business and administration profe...;2018;2.9
289;B-E Industry (no construction), energy;041 Business and administration profe...;2019;3.3
290;B-E Industry (no construction), energy;041 Business and administration profe...;2020;2.8
291;B-E Industry (no construction), energy;041 Business and administration profe...;2021;4.4
292;B-E Industry (no construction), energy;041 Business and administration profe...;2022;5.8
293;B-E Industry (no construction), energy;041 Business and administration profe...;2023;6.2
294;B-E Industry (no construction), energy;042 Business and administration assoc...;2018;
295;B-E Industry (no construction), energy;042 Business and administration assoc...;2019;
296;B-E Industry (no construction), energy;042 Business and administration assoc...;2020;
297;B-E Industry (no construction), energy;042 Business and administration assoc...;2021;
298;B-E Industry (no construction), energy;042 Business and administration assoc...;2022;
299;B-E Industry (no construction), energy;042 Business and administration assoc...;2023;
300;B-E Industry (no construction), energy;043 Clerical support workers;2018;
301;B-E Industry (no construction), energy;043 Clerical support workers;2019;
302;B-E Industry (no construction), energy;043 Clerical support workers;2020;
303;B-E Industry (no construction), energy;043 Clerical support workers;2021;
304;B-E Industry (no construction), energy;043 Clerical support workers;2022;
305;B-E Industry (no construction), energy;043 Clerical support workers;2023;
306;B-E Industry (no construction), energy;05 Managers;2018;
307;B-E Industry (no construction), energy;05 Managers;2019;
308;B-E Industry (no construction), energy;05 Managers;2020;
309;B-E Industry (no construction), energy;05 Managers;2021;
310;B-E Industry (no construction), energy;05 Managers;2022;
311;B-E Industry (no construction), energy;05 Managers;2023;
312;B-E Industry (no construction), energy;052 Administrative and commercial m...;2018;
313;B-E Industry (no construction), energy;052 Administrative and commercial m...;2019;
314;B-E Industry (no construction), energy;052 Administrative and commercial m...;2020;
315;B-E Industry (no construction), energy;052 Administrative and commercial m...;2021;
316;B-E Industry (no construction), energy;052 Administrative and commercial m...;2022;
317;B-E Industry (no construction), energy;052 Administrative and commercial m...;2023;
318;B-E Industry (no construction), energy;053 Production and specialised servic...;2018;
319;B-E Industry (no construction), energy;053 Production and specialised servic...;2019;
320;B-E Industry (no construction), energy;053 Production and specialised servic...;2020;
321;B-E Industry (no construction), energy;053 Production and specialised servic...;2021;
322;B-E Industry (no construction), energy;053 Production and specialised servic...;2022;
323;B-E Industry (no construction), energy;053 Production and specialised servic...;2023;
324;B-E Industry (no construction), energy;06 Public administration, protective...;2018;
325;B-E Industry (no construction), energy;06 Public administration, protective...;2019;
326;B-E Industry (no construction), energy;06 Public administration, protective...;2020;
327;B-E Industry (no construction), energy;06 Public administration, protective...;2021;
328;B-E Industry (no construction), energy;06 Public administration, protective...;2022;
329;B-E Industry (no construction), energy;06 Public administration, protective...;2023;
330;B-E Industry (no construction), energy;061 Legislators and senior officials;2018;
331;B-E Industry (no construction), energy;061 Legislators and senior officials;2019;
332;B-E Industry (no construction), energy;061 Legislators and senior officials;2020;
333;B-E Industry (no construction), energy;061 Legislators and senior officials;2021;
334;B-E Industry (no construction), energy;061 Legislators and senior officials;2022;
335;B-E Industry (no construction), energy;061 Legislators and senior officials;2023;
336;B-E Industry (no construction), energy;062 Legal professionals;2018;
337;B-E Industry (no construction), energy;062 Legal professionals;2019;
338;B-E Industry (no construction), energy;062 Legal professionals;2020;
339;B-E Industry (no construction), energy;062 Legal professionals;2021;
340;B-E Industry (no construction), energy;062 Legal professionals;2022;
341;B-E Industry (no construction), energy;062 Legal professionals;2023;
342;B-E Industry (no construction), energy;07 Technical occupations;2018;51.5
343;B-E Industry (no construction), energy;07 Technical occupations;2019;54.3
344;B-E Industry (no construction), energy;07 Technical occupations;2020;43.1
345;B-E Industry (no construction), energy;07 Technical occupations;2021;59.1
346;B-E Industry (no construction), energy;07 Technical occupations;2022;58.7
347;B-E Industry (no construction), energy;07 Technical occupations;2023;58.3
348;B-E Industry (no construction), energy;072 Science and engineering associate...;2018;7.2
349;B-E Industry (no construction), energy;072 Science and engineering associate...;2019;8.0
350;B-E Industry (no construction), energy;072 Science and engineering associate...;2020;7.0
351;B-E Industry (no construction), energy;072 Science and engineering associate...;2021;11.4
352;B-E Industry (no construction), energy;072 Science and engineering associate...;2022;10.3
353;B-E Industry (no construction), energy;072 Science and engineering associate...;2023;10.8
354;B-E Industry (no construction), energy;073 Building construction workers;2018;
355;B-E Industry (no construction), energy;073 Building construction workers;2019;
356;B-E Industry (no construction), energy;073 Building construction workers;2020;
357;B-E Industry (no construction), energy;073 Building construction workers;2021;
358;B-E Industry (no construction), energy;073 Building construction workers;2022;
359;B-E Industry (no construction), energy;073 Building construction workers;2023;
360;B-E Industry (no construction), energy;074 Metal, machinery and related trad...;2018;16.7
361;B-E Industry (no construction), energy;074 Metal, machinery and related trad...;2019;18.6
362;B-E Industry (no construction), energy;074 Metal, machinery and related trad...;2020;13.0
363;B-E Industry (no construction), energy;074 Metal, machinery and related trad...;2021;17.1
364;B-E Industry (no construction), energy;074 Metal, machinery and related trad...;2022;17.3
365;B-E Industry (no construction), energy;074 Metal, machinery and related trad...;2023;17.0
366;B-E Industry (no construction), energy;076 Electrical and electronics trades...;2018;
367;B-E Industry (no construction), energy;076 Electrical and electronics trades...;2019;
368;B-E Industry (no construction), energy;076 Electrical and electronics trades...;2020;
369;B-E Industry (no construction), energy;076 Electrical and electronics trades...;2021;
370;B-E Industry (no construction), energy;076 Electrical and electronics trades...;2022;
371;B-E Industry (no construction), energy;076 Electrical and electronics trades...;2023;
372;B-E Industry (no construction), energy;08 ICT occupations;2018;3.9
373;B-E Industry (no construction), energy;08 ICT occupations;2019;4.4
374;B-E Industry (no construction), energy;08 ICT occupations;2020;4.5
375;B-E Industry (no construction), energy;08 ICT occupations;2021;7.2
376;B-E Industry (no construction), energy;08 ICT occupations;2022;7.2
377;B-E Industry (no construction), energy;08 ICT occupations;2023;6.3
378;B-E Industry (no construction), energy;081 Information and communications te...;2018;3.2
379;B-E Industry (no construction), energy;081 Information and communications te...;2019;3.7
380;B-E Industry (no construction), energy;081 Information and communications te...;2020;3.8
381;B-E Industry (no construction), energy;081 Information and communications te...;2021;6.1
382;B-E Industry (no construction), energy;081 Information and communications te...;2022;6.1
383;B-E Industry (no construction), energy;081 Information and communications te...;2023;5.3
384;B-E Industry (no construction), energy;082 Information and communications te...;2018;
385;B-E Industry (no construction), energy;082 Information and communications te...;2019;
386;B-E Industry (no construction), energy;082 Information and communications te...;2020;
387;B-E Industry (no construction), energy;082 Information and communications te...;2021;
388;B-E Industry (no construction), energy;082 Information and communications te...;2022;
389;B-E Industry (no construction), energy;082 Information and communications te...;2023;
390;B-E Industry (no construction), energy;10 Health and welfare occupations;2018;
391;B-E Industry (no construction), energy;10 Health and welfare occupations;2019;
392;B-E Industry (no construction), energy;10 Health and welfare occupations;2020;
393;B-E Industry (no construction), energy;10 Health and welfare occupations;2021;
394;B-E Industry (no construction), energy;10 Health and welfare occupations;2022;
395;B-E Industry (no construction), energy;10 Health and welfare occupations;2023;
396;B-E Industry (no construction), energy;101 Health professionals;2018;
397;B-E Industry (no construction), energy;101 Health professionals;2019;
398;B-E Industry (no construction), energy;101 Health professionals;2020;
399;B-E Industry (no construction), energy;101 Health professionals;2021;
400;B-E Industry (no construction), energy;101 Health professionals;2022;
401;B-E Industry (no construction), energy;101 Health professionals;2023;
402;B-E Industry (no construction), energy;102 Social and religious professionals;2018;
403;B-E Industry (no construction), energy;102 Social and religious professionals;2019;
404;B-E Industry (no construction), energy;102 Social and religious professionals;2020;
405;B-E Industry (no construction), energy;102 Social and religious professionals;2021;
406;B-E Industry (no construction), energy;102 Social and religious professionals;2022;
407;B-E Industry (no construction), energy;102 Social and religious professionals;2023;
408;B-E Industry (no construction), energy;103 Health associate professionals;2018;
409;B-E Industry (no construction), energy;103 Health associate professionals;2019;
410;B-E Industry (no construction), energy;103 Health associate professionals;2020;
411;B-E Industry (no construction), energy;103 Health associate professionals;2021;
412;B-E Industry (no construction), energy;103 Health associate professionals;2022;
413;B-E Industry (no construction), energy;103 Health associate professionals;2023;
414;B-E Industry (no construction), energy;105 Personal care workers;2018;
415;B-E Industry (no construction), energy;105 Personal care workers;2019;
416;B-E Industry (no construction), energy;105 Personal care workers;2020;
417;B-E Industry (no construction), energy;105 Personal care workers;2021;
418;B-E Industry (no construction), energy;105 Personal care workers;2022;
419;B-E Industry (no construction), energy;105 Personal care workers;2023;
420;B-E Industry (no construction), energy;11 Service occupations;2018;
421;B-E Industry (no construction), energy;11 Service occupations;2019;
422;B-E Industry (no construction), energy;11 Service occupations;2020;
423;B-E Industry (no construction), energy;11 Service occupations;2021;
424;B-E Industry (no construction), energy;11 Service occupations;2022;
425;B-E Industry (no construction), energy;11 Service occupations;2023;
426;B-E Industry (no construction), energy;111 Personal services workers;2018;
427;B-E Industry (no construction), energy;111 Personal services workers;2019;
428;B-E Industry (no construction), energy;111 Personal services workers;2020;
429;B-E Industry (no construction), energy;111 Personal services workers;2021;
430;B-E Industry (no construction), energy;111 Personal services workers;2022;
431;B-E Industry (no construction), energy;111 Personal services workers;2023;
432;B-E Industry (no construction), energy;112 Cleaners and kitchen helpers;2018;
433;B-E Industry (no construction), energy;112 Cleaners and kitchen helpers;2019;
434;B-E Industry (no construction), energy;112 Cleaners and kitchen helpers;2020;
435;B-E Industry (no construction), energy;112 Cleaners and kitchen helpers;2021;
436;B-E Industry (no construction), energy;112 Cleaners and kitchen helpers;2022;
437;B-E Industry (no construction), energy;112 Cleaners and kitchen helpers;2023;
438;B-E Industry (no construction), energy;12 Transport and logistics occupations;2018;
439;B-E Industry (no construction), energy;12 Transport and logistics occupations;2019;
440;B-E Industry (no construction), energy;12 Transport and logistics occupations;2020;
441;B-E Industry (no construction), energy;12 Transport and logistics occupations;2021;
442;B-E Industry (no construction), energy;12 Transport and logistics occupations;2022;
443;B-E Industry (no construction), energy;12 Transport and logistics occupations;2023;
444;B-E Industry (no construction), energy;121 Drivers and mobile plant operators;2018;
445;B-E Industry (no construction), energy;121 Drivers and mobile plant operators;2019;
446;B-E Industry (no construction), energy;121 Drivers and mobile plant operators;2020;
447;B-E Industry (no construction), energy;121 Drivers and mobile plant operators;2021;
448;B-E Industry (no construction), energy;121 Drivers and mobile plant operators;2022;
449;B-E Industry (no construction), energy;121 Drivers and mobile plant operators;2023;
450;B-E Industry (no construction), energy;122 Transport and storage labourers;2018;
451;B-E Industry (no construction), energy;122 Transport and storage labourers;2019;
452;B-E Industry (no construction), energy;122 Transport and storage labourers;2020;
453;B-E Industry (no construction), energy;122 Transport and storage labourers;2021;
454;B-E Industry (no construction), energy;122 Transport and storage labourers;2022;
455;B-E Industry (no construction), energy;122 Transport and storage labourers;2023;
456;B-F Manufacturing and energy;01 Teaching occupations;2018;
457;B-F Manufacturing and energy;01 Teaching occupations;2019;
458;B-F Manufacturing and energy;01 Teaching occupations;2020;
459;B-F Manufacturing and energy;01 Teaching occupations;2021;
460;B-F Manufacturing and energy;01 Teaching occupations;2022;
461;B-F Manufacturing and energy;01 Teaching occupations;2023;
462;B-F Manufacturing and energy;011 Teaching professionals;2018;
463;B-F Manufacturing and energy;011 Teaching professionals;2019;
464;B-F Manufacturing and energy;011 Teaching professionals;2020;
