ID;GemeentelijkeTaakvelden;Regiokenmerken;Perioden;Baten_1;Lasten_2;Saldo_3;Baten_4;Lasten_5;Saldo_6
38;Totaal gemeentelijke taakvelden;Zuid-Nederland (LD);2019;11874;11874;0;3243;3243;0
39;Totaal gemeentelijke taakvelden;Zuid-Nederland (LD);2020;12170;12170;0;3307;3307;0
40;Totaal gemeentelijke taakvelden;Zuid-Nederland (LD);2021;12308;12308;0;3336;3336;0
41;Totaal gemeentelijke taakvelden;Zuid-Nederland (LD);2022;12849;12849;0;3462;3462;0
42;Totaal gemeentelijke taakvelden;Zuid-Nederland (LD);2023;13877;13877;0;3696;3696;0
43;Totaal gemeentelijke taakvelden;Zuid-Nederland (LD);2024;15047;15047;0;3983;3983;0
44;Totaal gemeentelijke taakvelden;Zuid-Nederland (LD);2025;16112;16112;0;4240;4240;0
45;Totaal gemeentelijke taakvelden;Groningen (PV);2017;2176;2176;0;3728;3728;0
46;Totaal gemeentelijke taakvelden;Groningen (PV);2018;2216;2216;0;3800;3800;0
47;Totaal gemeentelijke taakvelden;Groningen (PV);2019;2254;2254;0;3858;3858;0
48;Totaal gemeentelijke taakvelden;Groningen (PV);2020;2284;2284;0;3897;3897;0
49;Totaal gemeentelijke taakvelden;Groningen (PV);2021;2376;2376;0;4049;4049;0
50;Totaal gemeentelijke taakvelden;Groningen (PV);2022;2582;2582;0;4375;4375;0
51;Totaal gemeentelijke taakvelden;Groningen (PV);2023;2751;2751;0;4614;4614;0
52;Totaal gemeentelijke taakvelden;Groningen (PV);2024;2994;2994;0;4978;4978;0
53;Totaal gemeentelijke taakvelden;Groningen (PV);2025;3197;3197;0;5300;5299;0
54;Totaal gemeentelijke taakvelden;Fryslân (PV);2017;2062;2062;0;3188;3188;0
55;Totaal gemeentelijke taakvelden;Fryslân (PV);2018;2072;2072;0;3201;3201;0
56;Totaal gemeentelijke taakvelden;Fryslân (PV);2019;2110;2110;0;3257;3258;0
57;Totaal gemeentelijke taakvelden;Fryslân (PV);2020;2196;2196;0;3378;3378;0
58;Totaal gemeentelijke taakvelden;Fryslân (PV);2021;2231;2231;0;3425;3425;0
59;Totaal gemeentelijke taakvelden;Fryslân (PV);2022;2342;2342;0;3580;3580;0
60;Totaal gemeentelijke taakvelden;Fryslân (PV);2023;2515;2515;0;3814;3813;0
61;Totaal gemeentelijke taakvelden;Fryslân (PV);2024;2714;2714;0;4101;4101;0
62;Totaal gemeentelijke taakvelden;Fryslân (PV);2025;2912;2912;0;4385;4384;0
63;Totaal gemeentelijke taakvelden;Drenthe (PV);2017;1550;1550;0;3152;3152;0
64;Totaal gemeentelijke taakvelden;Drenthe (PV);2018;1603;1603;0;3256;3256;0
65;Totaal gemeentelijke taakvelden;Drenthe (PV);2019;1618;1618;0;3288;3288;0
66;Totaal gemeentelijke taakvelden;Drenthe (PV);2020;1652;1652;0;3346;3346;0
67;Totaal gemeentelijke taakvelden;Drenthe (PV);2021;1652;1652;0;3338;3338;0
68;Totaal gemeentelijke taakvelden;Drenthe (PV);2022;1713;1713;0;3441;3441;0
69;Totaal gemeentelijke taakvelden;Drenthe (PV);2023;1827;1827;0;3639;3639;0
70;Totaal gemeentelijke taakvelden;Drenthe (PV);2024;1973;1973;0;3914;3914;0
71;Totaal gemeentelijke taakvelden;Drenthe (PV);2025;2140;2140;0;4224;4224;0
72;Totaal gemeentelijke taakvelden;Overijssel (PV);2017;3529;3529;0;3075;3075;0
73;Totaal gemeentelijke taakvelden;Overijssel (PV);2018;3657;3657;0;3176;3176;0
74;Totaal gemeentelijke taakvelden;Overijssel (PV);2019;3801;3801;0;3287;3287;0
75;Totaal gemeentelijke taakvelden;Overijssel (PV);2020;3928;3928;0;3379;3379;0
76;Totaal gemeentelijke taakvelden;Overijssel (PV);2021;3959;3959;0;3394;3394;0
77;Totaal gemeentelijke taakvelden;Overijssel (PV);2022;4229;4229;0;3609;3609;0
78;Totaal gemeentelijke taakvelden;Overijssel (PV);2023;4549;4549;0;3841;3840;0
79;Totaal gemeentelijke taakvelden;Overijssel (PV);2024;5016;5016;0;4218;4218;0
80;Totaal gemeentelijke taakvelden;Overijssel (PV);2025;5422;5422;0;4534;4534;0
81;Totaal gemeentelijke taakvelden;Flevoland (PV);2017;1346;1346;0;3300;3301;0
82;Totaal gemeentelijke taakvelden;Flevoland (PV);2018;1421;1421;0;3452;3452;0
83;Totaal gemeentelijke taakvelden;Flevoland (PV);2019;1545;1545;0;3709;3709;0
84;Totaal gemeentelijke taakvelden;Flevoland (PV);2020;1663;1663;0;3932;3932;0
85;Totaal gemeentelijke taakvelden;Flevoland (PV);2021;1653;1653;0;3860;3860;0
86;Totaal gemeentelijke taakvelden;Flevoland (PV);2022;1771;1771;0;4073;4073;0
87;Totaal gemeentelijke taakvelden;Flevoland (PV);2023;1858;1858;0;4177;4177;0
88;Totaal gemeentelijke taakvelden;Flevoland (PV);2024;2041;2041;0;4526;4526;0
89;Totaal gemeentelijke taakvelden;Flevoland (PV);2025;2181;2181;0;4779;4779;0
90;Totaal gemeentelijke taakvelden;Gelderland (PV);2017;5892;5892;0;2877;2877;0
91;Totaal gemeentelijke taakvelden;Gelderland (PV);2018;6159;6159;0;2989;2989;0
92;Totaal gemeentelijke taakvelden;Gelderland (PV);2019;6431;6431;0;3104;3104;0
93;Totaal gemeentelijke taakvelden;Gelderland (PV);2020;6584;6584;0;3156;3156;0
94;Totaal gemeentelijke taakvelden;Gelderland (PV);2021;6723;6723;0;3206;3206;0
95;Totaal gemeentelijke taakvelden;Gelderland (PV);2022;6932;6932;0;3284;3284;0
96;Totaal gemeentelijke taakvelden;Gelderland (PV);2023;7611;7611;0;3567;3567;0
97;Totaal gemeentelijke taakvelden;Gelderland (PV);2024;8144;8145;0;3790;3790;0
98;Totaal gemeentelijke taakvelden;Gelderland (PV);2025;8917;8917;0;4126;4126;0
99;Totaal gemeentelijke taakvelden;Utrecht (PV);2017;3655;3655;0;2845;2845;0
100;Totaal gemeentelijke taakvelden;Utrecht (PV);2018;3798;3798;0;2931;2931;0
101;Totaal gemeentelijke taakvelden;Utrecht (PV);2019;4091;4091;0;3048;3048;0
102;Totaal gemeentelijke taakvelden;Utrecht (PV);2020;4199;4199;0;3099;3099;0
103;Totaal gemeentelijke taakvelden;Utrecht (PV);2021;4393;4393;0;3228;3228;0
104;Totaal gemeentelijke taakvelden;Utrecht (PV);2022;4505;4505;0;3289;3289;0
105;Totaal gemeentelijke taakvelden;Utrecht (PV);2023;4913;4913;0;3540;3540;0
106;Totaal gemeentelijke taakvelden;Utrecht (PV);2024;5513;5513;0;3937;3937;0
107;Totaal gemeentelijke taakvelden;Utrecht (PV);2025;5858;5858;0;4158;4158;0
108;Totaal gemeentelijke taakvelden;Noord-Holland (PV);2017;10573;10573;0;3758;3758;0
109;Totaal gemeentelijke taakvelden;Noord-Holland (PV);2018;10907;10907;0;3850;3850;0
110;Totaal gemeentelijke taakvelden;Noord-Holland (PV);2019;11252;11252;0;3943;3943;0
111;Totaal gemeentelijke taakvelden;Noord-Holland (PV);2020;12285;12285;0;4266;4266;0
112;Totaal gemeentelijke taakvelden;Noord-Holland (PV);2021;13001;13001;0;4502;4502;0
113;Totaal gemeentelijke taakvelden;Noord-Holland (PV);2022;12988;12988;0;4461;4462;0
114;Totaal gemeentelijke taakvelden;Noord-Holland (PV);2023;13475;13475;0;4558;4558;0
115;Totaal gemeentelijke taakvelden;Noord-Holland (PV);2024;14550;14550;0;4882;4882;0
