ID;BeroepsEnEigenVervoer;Afstandsklassen;Perioden;VervoerdLadinggewicht_1
106;Beroeps- en eigen vervoer;500 tot 1 000 km;2016;16651
107;Beroeps- en eigen vervoer;500 tot 1 000 km;2017;16411
108;Beroeps- en eigen vervoer;500 tot 1 000 km;2018;16183
109;Beroeps- en eigen vervoer;500 tot 1 000 km;2019;15646
110;Beroeps- en eigen vervoer;500 tot 1 000 km;2020;14863
111;Beroeps- en eigen vervoer;500 tot 1 000 km;2021;15070
112;Beroeps- en eigen vervoer;500 tot 1 000 km;2022;12873
113;Beroeps- en eigen vervoer;500 tot 1 000 km;2023;12916
114;Beroeps- en eigen vervoer;1 000 tot 2 000 km;2005;11859
115;Beroeps- en eigen vervoer;1 000 tot 2 000 km;2006;11210
116;Beroeps- en eigen vervoer;1 000 tot 2 000 km;2007;8876
117;Beroeps- en eigen vervoer;1 000 tot 2 000 km;2008;8683
118;Beroeps- en eigen vervoer;1 000 tot 2 000 km;2009;7837
119;Beroeps- en eigen vervoer;1 000 tot 2 000 km;2010;6576
120;Beroeps- en eigen vervoer;1 000 tot 2 000 km;2011;6066
121;Beroeps- en eigen vervoer;1 000 tot 2 000 km;2012;5155
122;Beroeps- en eigen vervoer;1 000 tot 2 000 km;2013;5453
123;Beroeps- en eigen vervoer;1 000 tot 2 000 km;2014;5251
124;Beroeps- en eigen vervoer;1 000 tot 2 000 km;2015;4313
125;Beroeps- en eigen vervoer;1 000 tot 2 000 km;2016;3667
126;Beroeps- en eigen vervoer;1 000 tot 2 000 km;2017;3595
127;Beroeps- en eigen vervoer;1 000 tot 2 000 km;2018;3777
128;Beroeps- en eigen vervoer;1 000 tot 2 000 km;2019;3777
129;Beroeps- en eigen vervoer;1 000 tot 2 000 km;2020;3473
130;Beroeps- en eigen vervoer;1 000 tot 2 000 km;2021;3610
131;Beroeps- en eigen vervoer;1 000 tot 2 000 km;2022;3079
132;Beroeps- en eigen vervoer;1 000 tot 2 000 km;2023;2916
133;Beroeps- en eigen vervoer;2 000 km of meer;2005;1119
134;Beroeps- en eigen vervoer;2 000 km of meer;2006;1078
135;Beroeps- en eigen vervoer;2 000 km of meer;2007;1007
136;Beroeps- en eigen vervoer;2 000 km of meer;2008;1506
137;Beroeps- en eigen vervoer;2 000 km of meer;2009;1282
138;Beroeps- en eigen vervoer;2 000 km of meer;2010;510
139;Beroeps- en eigen vervoer;2 000 km of meer;2011;462
140;Beroeps- en eigen vervoer;2 000 km of meer;2012;438
141;Beroeps- en eigen vervoer;2 000 km of meer;2013;535
142;Beroeps- en eigen vervoer;2 000 km of meer;2014;488
143;Beroeps- en eigen vervoer;2 000 km of meer;2015;332
144;Beroeps- en eigen vervoer;2 000 km of meer;2016;222
145;Beroeps- en eigen vervoer;2 000 km of meer;2017;196
146;Beroeps- en eigen vervoer;2 000 km of meer;2018;343
147;Beroeps- en eigen vervoer;2 000 km of meer;2019;252
148;Beroeps- en eigen vervoer;2 000 km of meer;2020;259
149;Beroeps- en eigen vervoer;2 000 km of meer;2021;249
150;Beroeps- en eigen vervoer;2 000 km of meer;2022;149
151;Beroeps- en eigen vervoer;2 000 km of meer;2023;248
152;Beroepsvervoer;Totaal alle afstanden;2005;483558
153;Beroepsvervoer;Totaal alle afstanden;2006;495676
154;Beroepsvervoer;Totaal alle afstanden;2007;524446
155;Beroepsvervoer;Totaal alle afstanden;2008;530989
156;Beroepsvervoer;Totaal alle afstanden;2009;485601
157;Beroepsvervoer;Totaal alle afstanden;2010;508001
158;Beroepsvervoer;Totaal alle afstanden;2011;500985
159;Beroepsvervoer;Totaal alle afstanden;2012;480511
160;Beroepsvervoer;Totaal alle afstanden;2013;481647
161;Beroepsvervoer;Totaal alle afstanden;2014;488280
162;Beroepsvervoer;Totaal alle afstanden;2015;494521
163;Beroepsvervoer;Totaal alle afstanden;2016;519654
164;Beroepsvervoer;Totaal alle afstanden;2017;535520
165;Beroepsvervoer;Totaal alle afstanden;2018;549105
166;Beroepsvervoer;Totaal alle afstanden;2019;550297
167;Beroepsvervoer;Totaal alle afstanden;2020;549667
168;Beroepsvervoer;Totaal alle afstanden;2021;564456
169;Beroepsvervoer;Totaal alle afstanden;2022;561205
170;Beroepsvervoer;Totaal alle afstanden;2023;519177
171;Beroepsvervoer;Tot 50 km;2005;168284
172;Beroepsvervoer;Tot 50 km;2006;180282
173;Beroepsvervoer;Tot 50 km;2007;215531
174;Beroepsvervoer;Tot 50 km;2008;207421
175;Beroepsvervoer;Tot 50 km;2009;189265
176;Beroepsvervoer;Tot 50 km;2010;189160
177;Beroepsvervoer;Tot 50 km;2011;181938
178;Beroepsvervoer;Tot 50 km;2012;180296
179;Beroepsvervoer;Tot 50 km;2013;191940
180;Beroepsvervoer;Tot 50 km;2014;196775
181;Beroepsvervoer;Tot 50 km;2015;205149
182;Beroepsvervoer;Tot 50 km;2016;217838
183;Beroepsvervoer;Tot 50 km;2017;230247
184;Beroepsvervoer;Tot 50 km;2018;237210
185;Beroepsvervoer;Tot 50 km;2019;233796
186;Beroepsvervoer;Tot 50 km;2020;236939
187;Beroepsvervoer;Tot 50 km;2021;237451
188;Beroepsvervoer;Tot 50 km;2022;245952
189;Beroepsvervoer;Tot 50 km;2023;220730
190;Beroepsvervoer;50 tot 150 km;2005;132319
191;Beroepsvervoer;50 tot 150 km;2006;131002
192;Beroepsvervoer;50 tot 150 km;2007;142971
193;Beroepsvervoer;50 tot 150 km;2008;145128
194;Beroepsvervoer;50 tot 150 km;2009;132434
195;Beroepsvervoer;50 tot 150 km;2010;165697
196;Beroepsvervoer;50 tot 150 km;2011;168110
197;Beroepsvervoer;50 tot 150 km;2012;157932
198;Beroepsvervoer;50 tot 150 km;2013;148485
199;Beroepsvervoer;50 tot 150 km;2014;152966
200;Beroepsvervoer;50 tot 150 km;2015;156464
201;Beroepsvervoer;50 tot 150 km;2016;169118
202;Beroepsvervoer;50 tot 150 km;2017;173073
203;Beroepsvervoer;50 tot 150 km;2018;175228
204;Beroepsvervoer;50 tot 150 km;2019;181804
205;Beroepsvervoer;50 tot 150 km;2020;179947
206;Beroepsvervoer;50 tot 150 km;2021;191237
207;Beroepsvervoer;50 tot 150 km;2022;192014
208;Beroepsvervoer;50 tot 150 km;2023;178401
209;Beroepsvervoer;150 tot 300 km;2005;89078
210;Beroepsvervoer;150 tot 300 km;2006;97974
211;Beroepsvervoer;150 tot 300 km;2007;92562
212;Beroepsvervoer;150 tot 300 km;2008;93418
213;Beroepsvervoer;150 tot 300 km;2009;87342
214;Beroepsvervoer;150 tot 300 km;2010;88195
215;Beroepsvervoer;150 tot 300 km;2011;89453
216;Beroepsvervoer;150 tot 300 km;2012;86054
217;Beroepsvervoer;150 tot 300 km;2013;86861
218;Beroepsvervoer;150 tot 300 km;2014;88627
219;Beroepsvervoer;150 tot 300 km;2015;86984
220;Beroepsvervoer;150 tot 300 km;2016;90392
221;Beroepsvervoer;150 tot 300 km;2017;89379
222;Beroepsvervoer;150 tot 300 km;2018;94273
223;Beroepsvervoer;150 tot 300 km;2019;93834
224;Beroepsvervoer;150 tot 300 km;2020;93525
225;Beroepsvervoer;150 tot 300 km;2021;96548
226;Beroepsvervoer;150 tot 300 km;2022;89371
227;Beroepsvervoer;150 tot 300 km;2023;86781
228;Beroepsvervoer;300 tot 500 km;2005;46608
229;Beroepsvervoer;300 tot 500 km;2006;43515
230;Beroepsvervoer;300 tot 500 km;2007;38850
231;Beroepsvervoer;300 tot 500 km;2008;46364
232;Beroepsvervoer;300 tot 500 km;2009;41786
233;Beroepsvervoer;300 tot 500 km;2010;32420
234;Beroepsvervoer;300 tot 500 km;2011;30101
235;Beroepsvervoer;300 tot 500 km;2012;29497
236;Beroepsvervoer;300 tot 500 km;2013;28074
237;Beroepsvervoer;300 tot 500 km;2014;25819
238;Beroepsvervoer;300 tot 500 km;2015;24921
239;Beroepsvervoer;300 tot 500 km;2016;23386
240;Beroepsvervoer;300 tot 500 km;2017;23818
241;Beroepsvervoer;300 tot 500 km;2018;23604
242;Beroepsvervoer;300 tot 500 km;2019;22655
243;Beroepsvervoer;300 tot 500 km;2020;22039
244;Beroepsvervoer;300 tot 500 km;2021;21795
245;Beroepsvervoer;300 tot 500 km;2022;19163
246;Beroepsvervoer;300 tot 500 km;2023;18682
247;Beroepsvervoer;500 tot 1 000 km;2005;35098
248;Beroepsvervoer;500 tot 1 000 km;2006;31350
249;Beroepsvervoer;500 tot 1 000 km;2007;25885
250;Beroepsvervoer;500 tot 1 000 km;2008;29580
251;Beroepsvervoer;500 tot 1 000 km;2009;26420
252;Beroepsvervoer;500 tot 1 000 km;2010;25772
253;Beroepsvervoer;500 tot 1 000 km;2011;25171
254;Beroepsvervoer;500 tot 1 000 km;2012;21629
255;Beroepsvervoer;500 tot 1 000 km;2013;20710
256;Beroepsvervoer;500 tot 1 000 km;2014;18854
257;Beroepsvervoer;500 tot 1 000 km;2015;16694
258;Beroepsvervoer;500 tot 1 000 km;2016;15296
259;Beroepsvervoer;500 tot 1 000 km;2017;15401
260;Beroepsvervoer;500 tot 1 000 km;2018;14933
261;Beroepsvervoer;500 tot 1 000 km;2019;14447
262;Beroepsvervoer;500 tot 1 000 km;2020;13713
263;Beroepsvervoer;500 tot 1 000 km;2021;13802
264;Beroepsvervoer;500 tot 1 000 km;2022;11836
265;Beroepsvervoer;500 tot 1 000 km;2023;11673
266;Beroepsvervoer;1 000 tot 2 000 km;2005;11106
267;Beroepsvervoer;1 000 tot 2 000 km;2006;10537
268;Beroepsvervoer;1 000 tot 2 000 km;2007;7807
269;Beroepsvervoer;1 000 tot 2 000 km;2008;7674
270;Beroepsvervoer;1 000 tot 2 000 km;2009;7137
271;Beroepsvervoer;1 000 tot 2 000 km;2010;6288
272;Beroepsvervoer;1 000 tot 2 000 km;2011;5767
273;Beroepsvervoer;1 000 tot 2 000 km;2012;4691
274;Beroepsvervoer;1 000 tot 2 000 km;2013;5104
275;Beroepsvervoer;1 000 tot 2 000 km;2014;4812
276;Beroepsvervoer;1 000 tot 2 000 km;2015;4019
277;Beroepsvervoer;1 000 tot 2 000 km;2016;3431
278;Beroepsvervoer;1 000 tot 2 000 km;2017;3409
279;Beroepsvervoer;1 000 tot 2 000 km;2018;3539
280;Beroepsvervoer;1 000 tot 2 000 km;2019;3531
281;Beroepsvervoer;1 000 tot 2 000 km;2020;3286
282;Beroepsvervoer;1 000 tot 2 000 km;2021;3391
283;Beroepsvervoer;1 000 tot 2 000 km;2022;2744
284;Beroepsvervoer;1 000 tot 2 000 km;2023;2669
285;Beroepsvervoer;2 000 km of meer;2005;1065
286;Beroepsvervoer;2 000 km of meer;2006;1015
287;Beroepsvervoer;2 000 km of meer;2007;840
288;Beroepsvervoer;2 000 km of meer;2008;1405
289;Beroepsvervoer;2 000 km of meer;2009;1216
290;Beroepsvervoer;2 000 km of meer;2010;469
291;Beroepsvervoer;2 000 km of meer;2011;444
292;Beroepsvervoer;2 000 km of meer;2012;411
293;Beroepsvervoer;2 000 km of meer;2013;472
294;Beroepsvervoer;2 000 km of meer;2014;426
295;Beroepsvervoer;2 000 km of meer;2015;290
296;Beroepsvervoer;2 000 km of meer;2016;193
297;Beroepsvervoer;2 000 km of meer;2017;193
298;Beroepsvervoer;2 000 km of meer;2018;318
299;Beroepsvervoer;2 000 km of meer;2019;229
300;Beroepsvervoer;2 000 km of meer;2020;218
301;Beroepsvervoer;2 000 km of meer;2021;231
302;Beroepsvervoer;2 000 km of meer;2022;125
303;Beroepsvervoer;2 000 km of meer;2023;241
304;Eigen vervoer;Totaal alle afstanden;2005;191390
305;Eigen vervoer;Totaal alle afstanden;2006;184733
306;Eigen vervoer;Totaal alle afstanden;2007;175846
307;Eigen vervoer;Totaal alle afstanden;2008;151145
308;Eigen vervoer;Totaal alle afstanden;2009;189714
309;Eigen vervoer;Totaal alle afstanden;2010;149701
310;Eigen vervoer;Totaal alle afstanden;2011;156874
311;Eigen vervoer;Totaal alle afstanden;2012;151194
312;Eigen vervoer;Totaal alle afstanden;2013;160403
313;Eigen vervoer;Totaal alle afstanden;2014;151411
314;Eigen vervoer;Totaal alle afstanden;2015;146919
315;Eigen vervoer;Totaal alle afstanden;2016;136763
316;Eigen vervoer;Totaal alle afstanden;2017;130473
317;Eigen vervoer;Totaal alle afstanden;2018;131064
318;Eigen vervoer;Totaal alle afstanden;2019;138442
319;Eigen vervoer;Totaal alle afstanden;2020;134575
320;Eigen vervoer;Totaal alle afstanden;2021;134867
321;Eigen vervoer;Totaal alle afstanden;2022;129521
322;Eigen vervoer;Totaal alle afstanden;2023;123018
323;Eigen vervoer;Tot 50 km;2005;109142
324;Eigen vervoer;Tot 50 km;2006;105391
325;Eigen vervoer;Tot 50 km;2007;99108
326;Eigen vervoer;Tot 50 km;2008;80994
327;Eigen vervoer;Tot 50 km;2009;111433
328;Eigen vervoer;Tot 50 km;2010;89176
329;Eigen vervoer;Tot 50 km;2011;91305
330;Eigen vervoer;Tot 50 km;2012;87882
331;Eigen vervoer;Tot 50 km;2013;94200
332;Eigen vervoer;Tot 50 km;2014;85916
333;Eigen vervoer;Tot 50 km;2015;82848
334;Eigen vervoer;Tot 50 km;2016;77107
335;Eigen vervoer;Tot 50 km;2017;75649
336;Eigen vervoer;Tot 50 km;2018;72388
337;Eigen vervoer;Tot 50 km;2019;77527
338;Eigen vervoer;Tot 50 km;2020;74448
339;Eigen vervoer;Tot 50 km;2021;72879
340;Eigen vervoer;Tot 50 km;2022;72226
341;Eigen vervoer;Tot 50 km;2023;69225
342;Eigen vervoer;50 tot 150 km;2005;48921
343;Eigen vervoer;50 tot 150 km;2006;48260
344;Eigen vervoer;50 tot 150 km;2007;44566
345;Eigen vervoer;50 tot 150 km;2008;40383
346;Eigen vervoer;50 tot 150 km;2009;48821
347;Eigen vervoer;50 tot 150 km;2010;41323
348;Eigen vervoer;50 tot 150 km;2011;45655
349;Eigen vervoer;50 tot 150 km;2012;43332
350;Eigen vervoer;50 tot 150 km;2013;44573
351;Eigen vervoer;50 tot 150 km;2014;44205
352;Eigen vervoer;50 tot 150 km;2015;43546
353;Eigen vervoer;50 tot 150 km;2016;40345
354;Eigen vervoer;50 tot 150 km;2017;37885
355;Eigen vervoer;50 tot 150 km;2018;40908
356;Eigen vervoer;50 tot 150 km;2019;43001
357;Eigen vervoer;50 tot 150 km;2020;42637
358;Eigen vervoer;50 tot 150 km;2021;43344
359;Eigen vervoer;50 tot 150 km;2022;40291
360;Eigen vervoer;50 tot 150 km;2023;37247
361;Eigen vervoer;150 tot 300 km;2005;22566
362;Eigen vervoer;150 tot 300 km;2006;22105
363;Eigen vervoer;150 tot 300 km;2007;20253
364;Eigen vervoer;150 tot 300 km;2008;19303
365;Eigen vervoer;150 tot 300 km;2009;19683
366;Eigen vervoer;150 tot 300 km;2010;13937
367;Eigen vervoer;150 tot 300 km;2011;14684
368;Eigen vervoer;150 tot 300 km;2012;14318
369;Eigen vervoer;150 tot 300 km;2013;16148
370;Eigen vervoer;150 tot 300 km;2014;16242
371;Eigen vervoer;150 tot 300 km;2015;15879
372;Eigen vervoer;150 tot 300 km;2016;14673
373;Eigen vervoer;150 tot 300 km;2017;13175
374;Eigen vervoer;150 tot 300 km;2018;13887
375;Eigen vervoer;150 tot 300 km;2019;13564
376;Eigen vervoer;150 tot 300 km;2020;13589
377;Eigen vervoer;150 tot 300 km;2021;14546
378;Eigen vervoer;150 tot 300 km;2022;13326
379;Eigen vervoer;150 tot 300 km;2023;13174
380;Eigen vervoer;300 tot 500 km;2005;6873
381;Eigen vervoer;300 tot 500 km;2006;5590
382;Eigen vervoer;300 tot 500 km;2007;6796
383;Eigen vervoer;300 tot 500 km;2008;6581
384;Eigen vervoer;300 tot 500 km;2009;6626
385;Eigen vervoer;300 tot 500 km;2010;3245
386;Eigen vervoer;300 tot 500 km;2011;3090
387;Eigen vervoer;300 tot 500 km;2012;3627
388;Eigen vervoer;300 tot 500 km;2013;3322
389;Eigen vervoer;300 tot 500 km;2014;2973
390;Eigen vervoer;300 tot 500 km;2015;3066
391;Eigen vervoer;300 tot 500 km;2016;3018
392;Eigen vervoer;300 tot 500 km;2017;2565
393;Eigen vervoer;300 tot 500 km;2018;2367
394;Eigen vervoer;300 tot 500 km;2019;2882
395;Eigen vervoer;300 tot 500 km;2020;2522
396;Eigen vervoer;300 tot 500 km;2021;2593
397;Eigen vervoer;300 tot 500 km;2022;2283
398;Eigen vervoer;300 tot 500 km;2023;1875
399;Eigen vervoer;500 tot 1 000 km;2005;3082
400;Eigen vervoer;500 tot 1 000 km;2006;2650
401;Eigen vervoer;500 tot 1 000 km;2007;3886
402;Eigen vervoer;500 tot 1 000 km;2008;2774
403;Eigen vervoer;500 tot 1 000 km;2009;2385
404;Eigen vervoer;500 tot 1 000 km;2010;1693
405;Eigen vervoer;500 tot 1 000 km;2011;1824
406;Eigen vervoer;500 tot 1 000 km;2012;1544
407;Eigen vervoer;500 tot 1 000 km;2013;1748
408;Eigen vervoer;500 tot 1 000 km;2014;1575
409;Eigen vervoer;500 tot 1 000 km;2015;1244
410;Eigen vervoer;500 tot 1 000 km;2016;1356
411;Eigen vervoer;500 tot 1 000 km;2017;1011
412;Eigen vervoer;500 tot 1 000 km;2018;1250
413;Eigen vervoer;500 tot 1 000 km;2019;1199
414;Eigen vervoer;500 tot 1 000 km;2020;1151
415;Eigen vervoer;500 tot 1 000 km;2021;1268
416;Eigen vervoer;500 tot 1 000 km;2022;1037
417;Eigen vervoer;500 tot 1 000 km;2023;1242
418;Eigen vervoer;1 000 tot 2 000 km;2005;753
419;Eigen vervoer;1 000 tot 2 000 km;2006;673
420;Eigen vervoer;1 000 tot 2 000 km;2007;1069
421;Eigen vervoer;1 000 tot 2 000 km;2008;1009
422;Eigen vervoer;1 000 tot 2 000 km;2009;700
423;Eigen vervoer;1 000 tot 2 000 km;2010;288
424;Eigen vervoer;1 000 tot 2 000 km;2011;299
425;Eigen vervoer;1 000 tot 2 000 km;2012;463
426;Eigen vervoer;1 000 tot 2 000 km;2013;349
427;Eigen vervoer;1 000 tot 2 000 km;2014;439
428;Eigen vervoer;1 000 tot 2 000 km;2015;294
429;Eigen vervoer;1 000 tot 2 000 km;2016;236
430;Eigen vervoer;1 000 tot 2 000 km;2017;186
431;Eigen vervoer;1 000 tot 2 000 km;2018;238
432;Eigen vervoer;1 000 tot 2 000 km;2019;246
433;Eigen vervoer;1 000 tot 2 000 km;2020;186
434;Eigen vervoer;1 000 tot 2 000 km;2021;219
435;Eigen vervoer;1 000 tot 2 000 km;2022;335
436;Eigen vervoer;1 000 tot 2 000 km;2023;247
437;Eigen vervoer;2 000 km of meer;2005;53
438;Eigen vervoer;2 000 km of meer;2006;64
439;Eigen vervoer;2 000 km of meer;2007;167
440;Eigen vervoer;2 000 km of meer;2008;102
441;Eigen vervoer;2 000 km of meer;2009;67
442;Eigen vervoer;2 000 km of meer;2010;40
443;Eigen vervoer;2 000 km of meer;2011;17
444;Eigen vervoer;2 000 km of meer;2012;27
445;Eigen vervoer;2 000 km of meer;2013;63
446;Eigen vervoer;2 000 km of meer;2014;62
447;Eigen vervoer;2 000 km of meer;2015;42
448;Eigen vervoer;2 000 km of meer;2016;29
449;Eigen vervoer;2 000 km of meer;2017;3
450;Eigen vervoer;2 000 km of meer;2018;25
451;Eigen vervoer;2 000 km of meer;2019;23
452;Eigen vervoer;2 000 km of meer;2020;42
453;Eigen vervoer;2 000 km of meer;2021;18
454;Eigen vervoer;2 000 km of meer;2022;23
455;Eigen vervoer;2 000 km of meer;2023;6
