ID;Gewassen;BiologischeBestrijders;Perioden;BedrijvenMetBiologischeBestrijders_1;BedrijvenMetBiologischeBestrijders_2;OppervlakteMetBestrijders_3;OppervlakteMetBestrijdersRelatief_4;IngezetteBiologischeBestrijders_5;TotaalOppervlakte_6;OppervlakteMetBiologischeBestrijders_7
80;Totaal gewassen/teeltsectoren;D Aaltje totaal;2020;;;583.0;8.7;5202210319.0;772413.0;8924155.0
81;Totaal gewassen/teeltsectoren;D01 Steinernema carpocapsae;2012;;;;;;;
82;Totaal gewassen/teeltsectoren;D01 Steinernema carpocapsae;2016;;;171.0;2.8;;;
83;Totaal gewassen/teeltsectoren;D01 Steinernema carpocapsae;2020;;;248.0;3.7;1470044836.0;218269.0;5929493.0
84;Totaal gewassen/teeltsectoren;D02 Steinernema feltiae;2012;;;498.0;7.8;;;
85;Totaal gewassen/teeltsectoren;D02 Steinernema feltiae;2016;;;708.0;11.7;;;
86;Totaal gewassen/teeltsectoren;D02 Steinernema feltiae;2020;;;452.0;6.7;3613991235.0;536598.0;7999525.0
87;Totaal gewassen/teeltsectoren;D99 Aaltje, overig;2012;;;;;;;
88;Totaal gewassen/teeltsectoren;D99 Aaltje, overig;2016;;;141.0;2.3;;;
89;Totaal gewassen/teeltsectoren;D99 Aaltje, overig;2020;;;64.0;0.9;118174249.0;17546.0;1854231.0
90;Aardbeien, onder glas;Totaal bestrijders;2012;152.0;54.0;197.0;68.3;;;
91;Aardbeien, onder glas;Totaal bestrijders;2016;127.0;50.2;193.0;57.5;;;
92;Aardbeien, onder glas;Totaal bestrijders;2020;208.0;86.5;493.0;97.8;;;
93;Aardbeien, onder glas;A Roofmijt en rooftrips totaal;2012;147.0;52.3;189.0;65.5;952103.0;3304.0;5047.0
94;Aardbeien, onder glas;A Roofmijt en rooftrips totaal;2016;124.0;49.0;180.0;53.8;329383.0;981.0;1825.0
95;Aardbeien, onder glas;A Roofmijt en rooftrips totaal;2020;202.0;83.9;493.0;97.7;3614875.0;7169.0;7335.0
96;Aardbeien, onder glas;A01 Amblydromalus limonicus;2012;;;;;;;
97;Aardbeien, onder glas;A01 Amblydromalus limonicus;2016;20.0;7.8;30.0;9.1;17016.0;51.0;559.0
98;Aardbeien, onder glas;A01 Amblydromalus limonicus;2020;72.0;29.9;269.0;53.4;87179.0;173.0;324.0
99;Aardbeien, onder glas;A02 Amblyseius degenerans;2012;;;;;;;
100;Aardbeien, onder glas;A02 Amblyseius degenerans;2016;;;;;;;
101;Aardbeien, onder glas;A02 Amblyseius degenerans;2020;4.0;1.7;6.0;1.2;602.0;1.0;96.0
102;Aardbeien, onder glas;A03 Amblyseius swirskii;2012;62.0;22.1;89.0;30.9;52861.0;183.0;593.0
103;Aardbeien, onder glas;A03 Amblyseius swirskii;2016;16.0;6.3;18.0;5.4;6706.0;20.0;370.0
104;Aardbeien, onder glas;A03 Amblyseius swirskii;2020;9.0;3.9;57.0;11.2;56236.0;112.0;995.0
105;Aardbeien, onder glas;A04 Macrocheles robustulus;2012;;;;;;;
106;Aardbeien, onder glas;A04 Macrocheles robustulus;2016;;;;;;;
107;Aardbeien, onder glas;A04 Macrocheles robustulus;2020;8.0;3.3;28.0;5.5;15178.0;30.0;547.0
108;Aardbeien, onder glas;A05 Neioseiulus californicus;2012;;;;;;;
109;Aardbeien, onder glas;A05 Neioseiulus californicus;2016;47.0;18.6;116.0;34.5;57975.0;173.0;501.0
110;Aardbeien, onder glas;A05 Neioseiulus californicus;2020;122.0;50.6;372.0;73.8;336037.0;666.0;903.0
111;Aardbeien, onder glas;A06 Neioseiulus cucumeris;2012;114.0;40.6;152.0;52.8;821011.0;2849.0;5392.0
112;Aardbeien, onder glas;A06 Neioseiulus cucumeris;2016;99.0;39.1;158.0;46.9;237544.0;707.0;1507.0
113;Aardbeien, onder glas;A06 Neioseiulus cucumeris;2020;160.0;66.3;452.0;89.6;2950392.0;5851.0;6533.0
114;Aardbeien, onder glas;A07 Phytoseiulus persimilis;2012;50.0;17.7;63.0;21.8;3345.0;12.0;53.0
115;Aardbeien, onder glas;A07 Phytoseiulus persimilis;2016;34.0;13.6;39.0;11.7;2437.0;7.0;62.0
116;Aardbeien, onder glas;A07 Phytoseiulus persimilis;2020;101.0;42.0;243.0;48.1;45140.0;90.0;186.0
117;Aardbeien, onder glas;A08 Stratiolaelaps scimitus;2012;;;;;;;
118;Aardbeien, onder glas;A08 Stratiolaelaps scimitus;2016;;;;;;;
119;Aardbeien, onder glas;A08 Stratiolaelaps scimitus;2020;2.0;0.8;3.0;0.6;201.0;0.0;63.0
120;Aardbeien, onder glas;A09 Transeius montdorensis;2012;;;;;;;
121;Aardbeien, onder glas;A09 Transeius montdorensis;2016;;;;;;;
122;Aardbeien, onder glas;A09 Transeius montdorensis;2020;10.0;4.1;24.0;4.8;44408.0;88.0;1838.0
123;Aardbeien, onder glas;A99 Roofmijt en rooftrips, overig;2012;;;;;;;
124;Aardbeien, onder glas;A99 Roofmijt en rooftrips, overig;2016;;;;;;;
125;Aardbeien, onder glas;A99 Roofmijt en rooftrips, overig;2020;22.0;9.1;43.0;8.5;79502.0;158.0;1854.0
126;Aardbeien, onder glas;B Sluipwesp en galmug totaal;2012;;;;;;;
127;Aardbeien, onder glas;B Sluipwesp en galmug totaal;2016;37.0;14.7;91.0;27.2;2304.0;7.0;25.0
128;Aardbeien, onder glas;B Sluipwesp en galmug totaal;2020;93.0;38.5;247.0;49.0;14610.0;29.0;59.0
129;Aardbeien, onder glas;B01 Aphidius colemani;2012;;;;;;;
130;Aardbeien, onder glas;B01 Aphidius colemani;2016;31.0;12.3;67.0;20.0;316.0;1.0;5.0
131;Aardbeien, onder glas;B01 Aphidius colemani;2020;71.0;29.6;179.0;35.5;1171.0;2.0;7.0
132;Aardbeien, onder glas;B02 Aphidius ervi;2012;;;;;;;
133;Aardbeien, onder glas;B02 Aphidius ervi;2016;18.0;7.2;41.0;12.1;254.0;1.0;6.0
134;Aardbeien, onder glas;B02 Aphidius ervi;2020;54.0;22.3;118.0;23.4;260.0;1.0;2.0
135;Aardbeien, onder glas;B03 Aphidoletes aphidimyza;2012;;;;;;;
136;Aardbeien, onder glas;B03 Aphidoletes aphidimyza;2016;18.0;7.2;50.0;14.8;812.0;2.0;16.0
137;Aardbeien, onder glas;B03 Aphidoletes aphidimyza;2020;43.0;18.0;107.0;21.1;4347.0;9.0;41.0
138;Aardbeien, onder glas;B04 Diglyphus isaea;2012;0.0;0.0;0.0;0.0;0.0;0.0;
139;Aardbeien, onder glas;B04 Diglyphus isaea;2016;0.0;0.0;0.0;0.0;0.0;0.0;
140;Aardbeien, onder glas;B04 Diglyphus isaea;2020;0.0;0.0;0.0;0.0;0.0;0.0;
141;Aardbeien, onder glas;B05 Encarsia formosa;2012;;;;;;;
142;Aardbeien, onder glas;B05 Encarsia formosa;2016;;;;;;;
143;Aardbeien, onder glas;B05 Encarsia formosa;2020;16.0;6.5;47.0;9.3;7907.0;16.0;168.0
144;Aardbeien, onder glas;B06 Eretmocerus eremicus;2012;;;;;;;
145;Aardbeien, onder glas;B06 Eretmocerus eremicus;2016;;;;;;;
146;Aardbeien, onder glas;B06 Eretmocerus eremicus;2020;4.0;1.7;2.0;0.3;198.0;0.0;119.0
147;Aardbeien, onder glas;B07 Feltiella acarisuga;2012;;;;;;;
148;Aardbeien, onder glas;B07 Feltiella acarisuga;2016;;;;;;;
149;Aardbeien, onder glas;B07 Feltiella acarisuga;2020;10.0;4.2;13.0;2.6;10.0;0.0;1.0
150;Aardbeien, onder glas;B99 Sluipwesp en galmug, overig;2012;;;;;;;
151;Aardbeien, onder glas;B99 Sluipwesp en galmug, overig;2016;12.0;4.8;25.0;7.4;58.0;0.0;2.0
152;Aardbeien, onder glas;B99 Sluipwesp en galmug, overig;2020;56.0;23.2;120.0;23.8;717.0;1.0;6.0
153;Aardbeien, onder glas;C Roofwants, -vlieg, -kever totaal;2012;;;;;;;
154;Aardbeien, onder glas;C Roofwants, -vlieg, -kever totaal;2016;15.0;6.0;38.0;11.3;436.0;1.0;11.0
155;Aardbeien, onder glas;C Roofwants, -vlieg, -kever totaal;2020;44.0;18.1;113.0;22.4;1769.0;4.0;16.0
156;Aardbeien, onder glas;C01 Delphastus pusillus;2012;0.0;0.0;0.0;0.0;0.0;0.0;
157;Aardbeien, onder glas;C01 Delphastus pusillus;2016;0.0;0.0;0.0;0.0;0.0;0.0;
158;Aardbeien, onder glas;C01 Delphastus pusillus;2020;0.0;0.0;0.0;0.0;0.0;0.0;
159;Aardbeien, onder glas;C02 Macrolophus pygmaeus;2012;;;;;;;
160;Aardbeien, onder glas;C02 Macrolophus pygmaeus;2016;;;;;;;
161;Aardbeien, onder glas;C02 Macrolophus pygmaeus;2020;2.0;0.8;2.0;0.4;11.0;0.0;6.0
162;Aardbeien, onder glas;C03 Orius laevigatus;2012;;;;;;;
163;Aardbeien, onder glas;C03 Orius laevigatus;2016;;;;;;;
164;Aardbeien, onder glas;C03 Orius laevigatus;2020;22.0;9.1;40.0;7.9;1228.0;2.0;31.0
165;Aardbeien, onder glas;C99 Roofwants, -vlieg, -kever, overig;2012;;;;;;;
166;Aardbeien, onder glas;C99 Roofwants, -vlieg, -kever, overig;2016;;;;;;;
167;Aardbeien, onder glas;C99 Roofwants, -vlieg, -kever, overig;2020;23.0;9.7;86.0;17.1;530.0;1.0;6.0
168;Aardbeien, onder glas;D Aaltje totaal;2012;;;;;;;
169;Aardbeien, onder glas;D Aaltje totaal;2016;;;;;;;
